,https://roic.ai/company/MANT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,812000,215000,361000,332000,344000,608000,394000,160000,121000,104000,161000,450000,247000,128000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,3978000,1141000,12567000,15791000,16304000,16266000,5802000,1193000,1097000,1375000,2378000,2594000,1900000,2389000
14,Depreciation and Amortization,3275000,5548000,5228000,3993000,7772000,7235000,8642000,10019000,14244000,17323000,17747000,28878000,55189000,52742000,30504000,30446000,30276000,30191000,33792000,52569000,55879000,70300000,77075000
15,EBITDA,12810000,13261000,18106000,38834000,66984000,47124000,87152000,95545000,124249000,171260000,197396000,243896000,286482000,224000000,52463000,115067000,116962000,121465000,132449000,165574000,194575000,228595000,264022000
16,EBITDA ratio,0.0362,0.0350,0.0420,0.0776,0.0955,0.0559,0.0889,0.0840,0.0858,0.0915,0.0977,0.0937,0.0998,0.0867,0.0227,0.0649,0.0755,0.0758,0.0771,0.0845,0.0875,0.0908,0.1034
17,Operating Income,15168000,18589000,30050000,38540000,60964000,40945000,84354000,90650000,113704000,153358000,179079000,215140000,227354000,170988000,22243000,94816000,84886000,90963000,98194000,112742000,138325000,158049000,186816000
18,Operating Income ratio,0.0429,0.0491,0.0697,0.0770,0.0869,0.0486,0.0861,0.0797,0.0785,0.0820,0.0886,0.0826,0.0792,0.0662,0.0096,0.0534,0.0548,0.0568,0.0572,0.0576,0.0622,0.0628,0.0731
19,Total Other Income Expenses (Gains),-2869000,-5477000,-1720000,-18000,-1745000,-1049000,3190000,-195000,-3579000,-3399000,-571000,-12689000,-11852000,-16034000,-15690000,-15715000,468000,-893000,-952000,-2137000,-2227000,-1652000,-2538000
20,Income Before Tax,12299000,13112000,28330000,38522000,59219000,39896000,87544000,90455000,110125000,149959000,178508000,202451000,215502000,154954000,6553000,79101000,85354000,90070000,97242000,110605000,136098000,156397000,184278000
21,Income Before Tax Ratio,0.0348,0.0346,0.0657,0.0770,0.0844,0.0474,0.0893,0.0795,0.0760,0.0802,0.0884,0.0777,0.0751,0.0600,0.0028,0.0446,0.0551,0.0562,0.0566,0.0565,0.0612,0.0621,0.0722
22,Income Tax expense (Gain),5466000,5974000,12083000,15690000,24052000,15182000,34317000,34825000,42798000,59667000,66744000,77355000,82196000,59935000,11842000,31525000,34366000,33786000,-16859000,28530000,22212000,35865000,47541000
23,Net Income,4069000,1739000,795000,19151000,35160000,24707000,44193000,50701000,67207000,90292000,111764000,125096000,133306000,95019000,-6149000,47294000,51127000,56391000,114141000,82097000,113890000,120530000,137017000
24,Net Income ratio,0.0115,0.0046,0.0018,0.0383,0.0501,0.0293,0.0451,0.0446,0.0464,0.0483,0.0553,0.0480,0.0464,0.0368,-0.0027,0.0267,0.0330,0.0352,0.0665,0.0419,0.0512,0.0479,0.0536
25,EPS,0.37,1.53,0.69,0.75,1.10,0.76,1.35,1.51,1.97,2.58,3.13,3.45,3.64,2.57,-0.17,1.27,1.36,1.48,2.94,2.08,2.85,2.99,3.37
26,EPS Diluted,0.36,1.52,0.69,0.74,1.09,0.76,1.33,1.49,1.95,2.55,3.11,3.43,3.63,2.57,-0.17,1.27,1.36,1.47,2.91,2.06,2.83,2.97,3.35
27,Weighted Average Shares Outstanding,10997297,1132140,1140058,25685239,31988143,32302285,32832317,33512000,34114000,20982000,21980000,22847000,23415000,36920000,36170588,37239370,37593382,38136000,38823469,39469712,39961404,40311037,40657864
28,Weighted Average Shares Outstanding Diluted,11302778,1141929,1149847,25957761,32190523,32478946,33273654,33955000,34533000,21413000,22278000,23054000,23530000,36961000,36170588,37239370,37593382,38338000,39223711,39852913,40243816,40582492,40900597
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/892537/000091664103000912/0000916641-03-000912-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253704000005/final.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312505052331/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312506051100/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312507050996/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312508059002/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312509040876/0001193125-09-040876-index.html,https://www.sec.gov/Archives/edgar/data/892537/000119312510042861/0001193125-10-042861-index.html,https://www.sec.gov/Archives/edgar/data/892537/000119312511047275/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000144530512000430/0001445305-12-000430-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253713000005/0000892537-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253714000004/mant12-31x201310k.htm,https://www.sec.gov/Archives/edgar/data/892537/000089253715000006/mant12-31x201410k.htm,https://www.sec.gov/Archives/edgar/data/892537/000089253716000031/0000892537-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253717000004/0000892537-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253718000014/0000892537-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253719000007/0000892537-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253720000006/0000892537-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253721000008/0000892537-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/892537/000089253722000007/0000892537-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,29578000,26902000,81096000,9166000,22935000,5662000,41484000,8048000,4375000,86190000,84829000,114483000,134896000,269001000,23781000,41314000,64936000,9451000,5294000,8854000,41193000,53374000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,29578000,26902000,81096000,9166000,22935000,5662000,41484000,8048000,4375000,86190000,84829000,114483000,134896000,269001000,23781000,41314000,64936000,9451000,5294000,8854000,41193000,53374000
34,Net Receivables,- -,83481000,92056000,133122000,204539000,215767000,239676000,236436000,337467000,407248000,399239000,528765000,540468000,548309000,457898000,377156000,304253000,320677000,311410000,405378000,420972000,422589000,498175000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34762000,3962000,- -,- -,1277000,96000,- -,- -,- -,- -
36,Other Current Assets,- -,38414000,28925000,15693000,19688000,10330000,12224000,16990000,19104000,14200000,11182000,16642000,33115000,27185000,19384000,18207000,23605000,34423000,46207000,29313000,24908000,32597000,45972000
37,Total Current Assets,- -,151473000,147883000,229911000,233393000,249032000,257562000,294910000,364619000,425823000,496611000,630236000,688066000,745152000,750245000,419144000,369172000,421313000,367164000,439985000,454734000,496379000,597521000
38,PP&E,- -,7033000,6615000,9131000,10920000,9360000,11713000,13881000,14170000,16563000,14498000,27086000,47435000,28588000,30156000,25743000,22439000,23121000,46082000,51427000,203359000,216121000,208616000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,238322000,451832000,479516000,488217000,729558000,808455000,861912000,752867000,851640000,919591000,955874000,1084560000,1085806000,1191259000,1237894000,1498988000
40,Intangible Assets,- -,- -,10956000,104234000,165289000,180654000,263349000,40180000,82976000,78710000,73684000,168487000,177764000,167910000,152523000,155250000,154176000,154931000,194348000,171962000,196778000,202231000,265555000
41,Intangible Assets,- -,12347000,10956000,104234000,165289000,180654000,263349000,278502000,534808000,558226000,561901000,898045000,986219000,1029822000,905390000,1006890000,1073767000,1110805000,1278908000,1257768000,1388037000,1440125000,1764543000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10853000,11691000,11843000,11830000,11550000,11549000,11555000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,15990000,20788000,21112000,26532000,28536000,23361000,25959000,23906000,21100000,27737000,35110000,38486000,38347000,37611000,35625000,30193000,31534000,40478000,42861000,50234000,49490000,57330000
45,Total Non-Current Assets,- -,35370000,38359000,134477000,202741000,218550000,298423000,318342000,572884000,595889000,604136000,960241000,1072140000,1096757000,973157000,1068258000,1137252000,1177151000,1377311000,1363886000,1653180000,1717285000,2042044000
46,Other Assets,186070000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,186070000,186843000,186242000,364388000,436134000,467582000,555985000,613252000,937503000,1021712000,1100747000,1590477000,1760206000,1841909000,1723402000,1487402000,1506424000,1598464000,1744475000,1803871000,2107914000,2213664000,2639565000
48,Accounts Payable,- -,- -,26212000,32905000,45157000,53596000,57933000,77385000,108781000,157407000,157358000,- -,- -,315582000,226287000,149506000,106271000,108888000,122405000,126066000,146016000,142360000,169140000
49,Short-Term Debt,- -,- -,- -,1000000,77000,25080000,42502000,- -,126000000,44100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30105000,32557000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7737000,11118000,34956000,15031000,13781000,13408000,12685000,11998000,18816000,28209000,27620000,37218000,36197000
52,Other Current Liabilities,- -,79591000,54049000,43306000,56318000,48073000,53680000,49364000,61429000,83572000,55429000,336622000,352744000,56630000,56617000,60739000,60940000,70768000,87064000,89058000,126345000,139130000,139334000
53,Total Current Liabilities,- -,79591000,80261000,77211000,101552000,126749000,154115000,126749000,296210000,285079000,220524000,347740000,387700000,387243000,296685000,223653000,179896000,191654000,228285000,243333000,299981000,348813000,377228000
54,Long-Term Debt,72005000,73000000,70343000,25000000,25184000,104000,21000,- -,39000000,- -,- -,200000000,200000000,200000000,200000000,- -,- -,- -,31000000,7500000,36500000,95242000,363575000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2139000,2140000,4744000,4553000,923000,6920000,7452000,24167000,32398000,33848000,43110000,49223000,50645000,48093000,65103000,102035000,122081000,97194000,108956000,131782000,141638000,174060000
57,Other Non-Current Liabilities,- -,10285000,10900000,11393000,17092000,19227000,16336000,20052000,26821000,23699000,28910000,33284000,34026000,38793000,44853000,43867000,40756000,43062000,45022000,42888000,149009000,48559000,49282000
58,Total Non-Current Liabilities,72005000,85424000,83383000,41137000,46829000,20254000,23277000,27504000,89988000,56097000,62758000,276394000,283249000,289438000,292946000,108970000,142791000,165143000,173216000,159344000,317291000,285439000,586917000
59,Other Liabilities,238527000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132195000,110347000,96132000
61,Total Liabilities,166522000,165015000,163644000,118348000,148381000,147003000,177392000,154253000,386198000,341176000,283282000,624134000,670949000,676681000,589631000,332623000,322687000,356797000,401501000,402677000,617272000,634252000,964145000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1200000,1200000,319000,321000,325000,331000,340000,348000,358000,362000,367000,371000,373000,374000,376000,379000,390000,395000,400000,404000,407000,411000
64,Retained Earnings,- -,33509000,34304000,40843000,76003000,100710000,144903000,195604000,262686000,352978000,464742000,589838000,692272000,756241000,718892000,734873000,754457000,778710000,860027000,903084000,973767000,1042676000,1117867000
65,Other Comprehensive Income/Loss,- -,- -,-18765000,-20938000,-24015000,-22305000,-20374000,-23350000,-23289000,-26176000,-30458000,-34133000,-64533000,-95278000,-54368000,-53517000,-58012000,-65124000,-72158000,-89215000,-115275000,-230000,-273000
66,Other Total Stockholders Equity,19548000,- -,5818000,225774000,235395000,241793000,253733000,286405000,311560000,353376000,382819000,410271000,461147000,503892000,468873000,473047000,486913000,527691000,554710000,586925000,631746000,536559000,- -
67,Total Stockholders Equity,19548000,21794000,22557000,245998000,287704000,320523000,378593000,458999000,551305000,680536000,817465000,966343000,1089257000,1165228000,1133771000,1154779000,1183737000,1241667000,1342974000,1401194000,1490642000,1579412000,1675420000
68,Total Liabilities And Stockholders Equity,186070000,186809000,186201000,364346000,436085000,467526000,555985000,613252000,937503000,1021712000,1100747000,1590477000,1760206000,1841909000,1723402000,1487402000,1506424000,1598464000,1744475000,1803871000,2107914000,2213664000,2639565000
69,Minority Interest,- -,34000,41000,42000,49000,56000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,186070000,186843000,186242000,364388000,436134000,467582000,555985000,613252000,937503000,1021712000,1100747000,1590477000,1760206000,1841909000,1723402000,1487402000,1506424000,1598464000,1744475000,1803871000,2107914000,2213664000,2639565000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/892537/000091664103000912/0000916641-03-000912-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253704000005/final.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312505052331/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312506051100/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312507050996/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312508059002/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312509040876/0001193125-09-040876-index.html,https://www.sec.gov/Archives/edgar/data/892537/000119312510042861/0001193125-10-042861-index.html,https://www.sec.gov/Archives/edgar/data/892537/000119312511047275/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000144530512000430/0001445305-12-000430-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253713000005/0000892537-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253714000004/mant12-31x201310k.htm,https://www.sec.gov/Archives/edgar/data/892537/000089253715000006/mant12-31x201410k.htm,https://www.sec.gov/Archives/edgar/data/892537/000089253716000031/0000892537-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253717000004/0000892537-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253718000014/0000892537-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253719000007/0000892537-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253720000006/0000892537-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253721000008/0000892537-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/892537/000089253722000007/0000892537-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,1739000,795000,19151000,35160000,24707000,44193000,50701000,67207000,90292000,111764000,125096000,133306000,95019000,-6149000,47294000,51127000,56391000,114141000,82097000,113890000,120530000,137017000
74,Depreciation and Amortization,- -,5548000,5228000,3993000,7772000,7235000,8642000,10019000,14244000,17323000,17747000,28878000,55189000,52742000,30504000,30446000,30276000,30191000,33792000,52569000,55879000,70300000,77075000
75,Deferred Income Tax,- -,981000,4479000,-4774000,8334000,-17702000,-1625000,-1423000,284000,8157000,-201000,4688000,-3259000,17539000,-10915000,18668000,30553000,18254000,-24815000,11762000,15739000,9856000,17450000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,6626000,8289000,7443000,9170000,8142000,5236000,4400000,4379000,3323000,6319000,5073000,7493000,11366000,15369000
77,Change in Working Capital,- -,253000,-4260000,85078000,-20859000,-9558000,-18836000,64714000,-99752000,72335000,135343000,6409000,17870000,57543000,95651000,-258069000,-6215000,40383000,-90780000,57773000,-41899000,-7187000,-64783000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24660000,1298000,-3954000
79,Inventory,- -,755000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34762000,30800000,3963000,- -,-1277000,1181000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,59888000,997000,- -,- -,- -,- -,- -,- -,- -,- -,- -,10850000,-303000,14475000
81,Other Working Capital,- -,71882000,67622000,152700000,131841000,122283000,103447000,168161000,68409000,140744000,276087000,282496000,300366000,357909000,453560000,195491000,189276000,229659000,138879000,196652000,154753000,147566000,-5568000
82,Other Non-Cash Items,- -,11331000,1803000,-96113000,-29419000,22316000,29113000,-39665000,81341000,-67467000,-140695000,-1069000,9079000,-104727000,73952000,284186000,43763000,-52778000,114301000,-115835000,70304000,42379000,30043000
83,Cash Provided by Operating Activities,- -,19852000,8045000,7335000,988000,26998000,61487000,84346000,63324000,127266000,132247000,171445000,221355000,126258000,188279000,126925000,153883000,95764000,152958000,93439000,221406000,247244000,212171000
84,CAPEX,- -,-1660000,-2184000,-2686000,-3336000,-4848000,-5614000,-7399000,-4834000,-7792000,-6239000,-13308000,-59687000,-14900000,-13623000,-11482000,-6227000,-10410000,-38862000,-35132000,-58472000,-76322000,-54917000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-98000000,-18000000,-273000000,-36000000,-14000000,-369000000,-109000000,-61000000,-11000000,-124000000,-102000000,-61000000,-177000000,-5000000,-153000000,-78815000,-370811000
86,Purchases of Investments,- -,-1550000,-3900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4500000,-1183000,-110000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,600000,5126000,- -,- -,3255000,185000,239000,- -,13000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-1303000,275000,-105518000,-70590000,-12235000,-1643000,155000,-1052000,-3238000,-1993000,-2904000,-5270000,-3476000,-2938000,-7805000,-1059000,-2287000,-10811000,-9230000,-7102000,-187000,563000
89,Cash Used for Investing Activites,- -,-4197000,-5809000,-108204000,-73926000,-17083000,-105257000,-25244000,-278286000,-39162000,-20014000,-382161000,-165475000,-76009000,-24786000,-135888000,-112748000,-72132000,-219039000,-44344000,-214897000,-150131000,-425156000
90,Debt Repayment,- -,-3676000,- -,- -,- -,- -,- -,- -,- -,-120900000,-44100000,- -,- -,- -,- -,-367250000,-163200000,- -,-105500000,-599000000,-595136000,-324159000,-222687000
91,Common Stock Issued,- -,- -,- -,201364000,2121000,3931000,9507000,16790000,13075000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-775000,- -,- -,- -,- -,- -,- -,-9114000,- -,- -,- -,-44000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30846000,-31029000,-31208000,-31312000,-31543000,-32139000,-32705000,-39624000,-43205000,-51618000,-61823000
94,Other Financing Activites,- -,4413000,-4845000,-46312000,-1000000,-77000,17339000,-39605000,174539000,29123000,13682000,209355000,4664000,1193000,1820000,162305000,171141000,32129000,148801000,585372000,635392000,311003000,509676000
95,Cash Used/Provided by Financing Activities,- -,-38000,-4845000,155052000,1121000,3854000,26846000,-22815000,178500000,-91777000,-30418000,209355000,-26226000,-29836000,-29388000,-236257000,-23602000,-10000,10596000,-53252000,-2949000,-64774000,225166000
96,Effect of Forex Changes on Cash,- -,167000,-67000,11000,-113000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,10007000,-2676000,54194000,-71930000,13769000,-17284000,35822000,-33462000,-3673000,81815000,-1361000,29654000,20413000,134105000,-245220000,17533000,23622000,-55485000,-4157000,3560000,32339000,12181000
98,Cash at the End of Period,- -,29578000,26902000,81096000,9166000,22935000,5662000,41484000,8048000,4375000,86190000,84829000,114483000,134896000,269001000,23781000,41314000,64936000,9451000,5294000,8854000,41193000,53374000
99,Cash at the Beginning of Period,- -,19571000,29578000,26902000,81096000,9166000,22946000,5662000,41510000,8048000,4375000,86190000,84829000,114483000,134896000,269001000,23781000,41314000,64936000,9451000,5294000,8854000,41193000
100,Free Cash Flow,- -,18192000,5861000,4649000,-2348000,22150000,55873000,76947000,58490000,119474000,126008000,158137000,161668000,111358000,174656000,115443000,147656000,85354000,114096000,58307000,162934000,170922000,157254000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/892537/000091664103000912/0000916641-03-000912-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253704000005/final.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312505052331/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312506051100/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312507050996/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312508059002/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000119312509040876/0001193125-09-040876-index.html,https://www.sec.gov/Archives/edgar/data/892537/000119312510042861/0001193125-10-042861-index.html,https://www.sec.gov/Archives/edgar/data/892537/000119312511047275/d10k.htm,https://www.sec.gov/Archives/edgar/data/892537/000144530512000430/0001445305-12-000430-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253713000005/0000892537-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253714000004/mant12-31x201310k.htm,https://www.sec.gov/Archives/edgar/data/892537/000089253715000006/mant12-31x201410k.htm,https://www.sec.gov/Archives/edgar/data/892537/000089253716000031/0000892537-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253717000004/0000892537-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253718000014/0000892537-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253719000007/0000892537-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253720000006/0000892537-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/892537/000089253721000008/0000892537-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/892537/000089253722000007/0000892537-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
