,https://roic.ai/company/NDSN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,15600000,22500000,39500000,49300000,52800000,49700000,58400000,67200000,67400000,74400000,83900000,84200000,74100000,71100000,80000000,100412000,59537000,53019000,68596000,110598000,121667000,147615000,152142000,190338000,-127807000,234833000,315543000,335480000,323849000,367105000,317730000,388431000,457702000,494557000,483113000,349545000,615127000
18,Operating Income ratio,0.1114,0.1334,0.1925,0.2012,0.1872,0.1441,0.1505,0.1579,0.1460,0.1468,0.1443,0.1382,0.1164,0.1076,0.1142,0.1356,0.0814,0.0818,0.1028,0.1394,0.1462,0.1654,0.1531,0.1692,-0.1560,0.2255,0.2559,0.2380,0.2099,0.2154,0.1882,0.2147,0.2214,0.2193,0.2202,0.1648,0.2604
19,Total Other Income Expenses (Gains),300000,-300000,200000,-700000,-1000000,-4900000,-6400000,-6500000,-5100000,-3500000,-3300000,-3100000,-2400000,-32200000,-8600000,-17012000,-21837000,-20119000,-16096000,-16770000,-1367000,-11181000,-16420000,-10550000,616000,-3514000,-982000,-9227000,-12726000,-14592000,-16868000,-19937000,-37411000,-46038000,-52009000,-48056000,-40951000
20,Income Before Tax,15900000,22200000,39700000,48600000,51800000,44800000,52000000,60700000,62300000,70900000,80600000,81100000,71700000,38900000,71400000,83400000,37700000,32900000,52500000,93828000,120300000,136434000,135722000,179788000,-127191000,231319000,314561000,326253000,311123000,352513000,300862000,368494000,420291000,448519000,431104000,301489000,574176000
21,Income Before Tax Ratio,0.1136,0.1316,0.1935,0.1984,0.1836,0.1299,0.1340,0.1426,0.1350,0.1399,0.1386,0.1331,0.1126,0.0589,0.1019,0.1126,0.0515,0.0508,0.0787,0.1182,0.1446,0.1529,0.1366,0.1598,-0.1553,0.2221,0.2551,0.2315,0.2016,0.2069,0.1782,0.2037,0.2033,0.1989,0.1965,0.1421,0.2431
22,Income Tax expense (Gain),6200000,8400000,15000000,17000000,17600000,15500000,18200000,21200000,21500000,24200000,28000000,28000000,21800000,18100000,23900000,28800000,13100000,10900000,17300000,30494000,35800000,38767000,45030000,62284000,32864000,63271000,92197000,101424000,89306000,105740000,89751000,96651000,124489000,71144000,94013000,51950000,119808000
23,Net Income,9700000,13800000,24700000,31600000,34200000,29300000,33800000,39500000,36000000,46700000,52700000,53100000,50000000,20800000,47500000,54600000,24600000,22100000,35200000,63334000,78300000,90598000,90692000,117504000,-160055000,168048000,222364000,224829000,221817000,246773000,211111000,271843000,295802000,377375000,337091000,249539000,454368000
24,Net Income ratio,0.0693,0.0818,0.1204,0.1290,0.1212,0.0850,0.0871,0.0928,0.0780,0.0922,0.0906,0.0871,0.0785,0.0315,0.0678,0.0737,0.0336,0.0341,0.0527,0.0798,0.0941,0.1015,0.0913,0.1045,-0.1954,0.1613,0.1803,0.1595,0.1438,0.1448,0.1250,0.1503,0.1431,0.1674,0.1536,0.1176,0.1923
25,EPS,0.11,0.17,0.29,0.39,0.45,0.39,0.45,0.51,0.47,0.61,0.71,0.74,0.72,0.32,0.72,0.84,0.38,0.33,0.52,0.89,1.09,1.36,1.35,1.74,-2.38,2.48,3.29,3.49,3.45,3.88,3.48,4.76,5.14,6.51,5.87,4.32,7.82
26,EPS Diluted,0.11,0.17,0.29,0.39,0.45,0.39,0.45,0.51,0.47,0.61,0.71,0.73,0.71,0.32,0.71,0.83,0.37,0.33,0.52,0.86,1.07,1.32,1.32,1.72,-2.38,2.46,3.25,3.45,3.42,3.84,3.45,4.73,5.08,6.40,5.79,4.27,7.74
27,Weighted Average Shares Outstanding,88181818,81176471,83728814,81025641,76853933,76103896,75955056,77450980,76595745,75934959,74225352,71275168,68965517,66031746,66096000,64910000,66100000,66766000,67406000,70978000,71436000,66730000,67094000,67492000,67130000,67610000,66524000,64407000,64214000,63656000,60652000,57060000,57533000,57970000,57462000,57757000,58091000
28,Weighted Average Shares Outstanding Diluted,88181818,81176471,83728814,81025641,76853933,76103896,75955056,77450980,76595745,75934959,74225352,72739726,69930070,66031746,66968000,65534000,66100000,67380000,67798000,73092000,73054000,68360000,68364000,68614000,67130000,68442000,67169000,65103000,64908000,64281000,61151000,57530000,58204000,58931000,58202000,58473000,58734000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72331/000095015295000063/0000950152-95-000063-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72331/000095015203000680/l97324ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015204000365/l04976ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015205000245/l10447ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015206000197/l17741ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015207000253/l22480ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015207009783/0000950152-07-009783-index.html,https://www.sec.gov/Archives/edgar/data/72331/000095015208010466/0000950152-08-010466-index.html,https://www.sec.gov/Archives/edgar/data/72331/000095012309071805/0000950123-09-071805-index.html,https://www.sec.gov/Archives/edgar/data/72331/000095012310114569/0000950123-10-114569-index.html,https://www.sec.gov/Archives/edgar/data/72331/000119312511343516/0001193125-11-343516-index.html,https://www.sec.gov/Archives/edgar/data/72331/000119312512504725/0001193125-12-504725-index.html,https://www.sec.gov/Archives/edgar/data/72331/000119312513474384/0001193125-13-474384-index.html,https://www.sec.gov/Archives/edgar/data/72331/000119312514442368/0001193125-14-442368-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459015011507/0001564590-15-011507-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459016030237/0001564590-16-030237-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459017024983/0001564590-17-024983-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459018030928/0001564590-18-030928-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459019045927/0001564590-19-045927-index.html,https://www.sec.gov/Archives/edgar/data/72331/000007233120000024/0000072331-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/72331/000007233121000079/0000072331-21-000079-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,4600000,400000,9200000,1500000,6800000,16000000,800000,7900000,5900000,6900000,60251000,11300000,48859000,31136000,11755000,18781000,42329000,37408000,41239000,42375000,42314000,50268000,67239000,90383000,95678000,151164000,208293000,299972000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,1200000,300000,200000,- -,- -,- -,100000,- -,- -,328000,200000,9000,9000,5000,43000,7840000,- -,279000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,11100000,1600000,9500000,1700000,6800000,16000000,800000,8000000,5900000,6900000,60579000,11500000,48868000,31145000,11760000,18824000,50169000,37408000,41518000,42375000,42314000,50268000,67239000,90383000,95678000,151164000,208293000,299972000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,120100000,146800000,159600000,163700000,165300000,170500000,191400000,167800000,135700000,151700000,173852000,179200000,190459000,229993000,224813000,191201000,243790000,254310000,324563000,308707000,365844000,389550000,428560000,505087000,491423000,530765000,471873000,489389000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,93600000,110200000,118400000,122100000,124400000,119500000,134900000,139200000,87100000,78600000,85330000,80600000,83688000,119650000,118034000,97636000,117721000,141912000,169585000,198401000,210871000,225672000,220361000,264266000,264477000,283399000,277033000,327195000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,25500000,27300000,30200000,31300000,32000000,35300000,42100000,47200000,45900000,40200000,43350000,42300000,24289000,29136000,29706000,39010000,39351000,43327000,50957000,51087000,53654000,46101000,29415000,28636000,32524000,45867000,63413000,48282000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,250300000,285900000,317700000,318800000,328500000,341300000,369200000,362200000,274600000,277400000,363111000,313600000,347304000,409924000,384313000,346671000,451031000,476957000,586623000,600570000,672683000,711591000,745575000,888372000,884102000,1011195000,1020612000,1164838000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,88700000,99500000,107000000,101700000,101200000,128600000,126900000,133300000,118800000,115300000,111607000,108300000,105415000,132917000,133843000,118291000,116395000,130883000,174931000,200979000,224439000,249940000,273129000,346411000,386666000,398895000,480743000,466416000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28800000,59800000,55000000,78700000,- -,88400000,335000000,327900000,328600000,- -,331400000,331915000,571976000,571933000,341762000,347326000,547826000,812817000,939211000,1052537000,1082375000,1107137000,1589210000,1608018000,1614739000,1713354000,1713148000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,29900000,3000000,5400000,5400000,5700000,101400000,5400000,8100000,16300000,15400000,348990000,10400000,8806000,66766000,53874000,42144000,42927000,120699000,227891000,269073000,291310000,277426000,260302000,547180000,499741000,445575000,407586000,357367000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,29900000,31800000,65200000,60400000,84400000,101400000,93800000,343100000,344200000,344000000,348990000,341800000,340721000,638742000,625807000,383906000,390253000,668525000,1040708000,1208284000,1343847000,1359801000,1367439000,2136390000,2107759000,2060314000,2120940000,2070515000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9961000,861000,- -,18119000,- -,- -,- -,- -,6559000,5705000,10681000,11020000,9780000,11261000,9831000,11381000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,17500000,20600000,22100000,24800000,20500000,20100000,23900000,26900000,30100000,15679000,26700000,19489000,29396000,22706000,23687000,28675000,28085000,27253000,32456000,32602000,33407000,25541000,32346000,32705000,34782000,42530000,77811000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,130600000,148800000,192800000,184200000,210400000,250500000,240800000,500300000,489900000,489400000,476276000,476800000,475586000,801916000,782356000,544003000,535323000,827493000,1242892000,1441719000,1607447000,1648853000,1676790000,2526167000,2536910000,2505252000,2654044000,2626123000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,380900000,434700000,510500000,503000000,538900000,591800000,610000000,862500000,764500000,766800000,839387000,790400000,822890000,1211840000,1166669000,890674000,986354000,1304450000,1829515000,2042289000,2280130000,2360444000,2422365000,3414539000,3421012000,3516447000,3674656000,3790961000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,26900000,28300000,35000000,37700000,33800000,35800000,74200000,55400000,48800000,48000000,58740000,51500000,38680000,51939000,42916000,33368000,40262000,46381000,62869000,62123000,68500000,68229000,75130000,86016000,83590000,85139000,70949000,91689000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,26900000,43200000,97700000,74500000,93900000,149000000,91700000,195000000,108600000,58200000,27591000,18400000,74837000,329404000,220945000,5577000,16420000,5697000,105669000,14436000,116932000,23950000,40234000,326587000,28734000,168738000,38043000,57209000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4362000,2666000,- -,10290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7841000,29731000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40264000,33722000,- -,30954000,- -,- -,- -,- -,- -,9375000,20894000,28341000,25578000,22884000,26175000,34654000,38997000,41131000,42323000,77868000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,69500000,83900000,74500000,67500000,79400000,67100000,87100000,105300000,54936000,71778000,109418000,151146000,127808000,128571000,110135000,117477000,135232000,120708000,154252000,130571000,159858000,175713000,190004000,200489000,198959000,182618000,211774000,218628000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,123300000,155400000,207200000,179700000,207100000,251900000,253000000,355700000,252600000,211700000,195749000,252000000,241325000,509914000,373996000,156422000,191914000,182161000,343684000,235471000,370868000,290776000,331543000,647746000,350280000,477626000,363089000,445394000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,19300000,17100000,20600000,66500000,70400000,66000000,60800000,191800000,174900000,176700000,148033000,106400000,47130000,22840000,68550000,152260000,96000000,313459000,528041000,638158000,682868000,1092643000,944553000,1256397000,1285357000,1075404000,1067952000,894338000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,666000,- -,- -,- -,2250000,- -,9745000,17415000,26159000,79977000,87092000,89770000,61836000,134090000,100704000,83564000,66995000,88467000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,25900000,30900000,37400000,36300000,46700000,52500000,49000000,51200000,68100000,78300000,91606000,101100000,103907000,147969000,147761000,212016000,183623000,220092000,261861000,200820000,234505000,227239000,232830000,220813000,233930000,298808000,417629000,203632000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,45200000,48000000,58000000,102800000,117100000,118500000,109800000,243000000,243000000,255000000,240305000,207500000,151037000,170809000,218561000,364276000,289368000,550966000,816061000,918955000,1004465000,1409652000,1239219000,1611300000,1619991000,1457776000,1552576000,1186437000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3581000,4106000,4446000,4931000,5071000,7038000,6098000,7020000,7080000,9333000,15893000,15633000,16126000,14582000,14158000,14506000,13405000,14875000,142689000,135650000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,168500000,203400000,265200000,282500000,324200000,370400000,362800000,598700000,495600000,466700000,436054000,459500000,392362000,680723000,592557000,520698000,481282000,733127000,1159745000,1154426000,1375333000,1700428000,1570762000,2259046000,1970271000,1935402000,1915665000,1631831000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,12300000,12300000,12300000,12300000,12300000,12300000,12300000,12300000,12300000,12300000,12253000,12300000,- -,- -,- -,- -,- -,- -,12253000,12253000,12253000,12253000,12253000,12253000,12253000,12253000,12253000,12253000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,300200000,341200000,381400000,417600000,423900000,455500000,493300000,499600000,502600000,517400000,558620000,613600000,681018000,748229000,840888000,656086000,797695000,990221000,1181245000,1362584000,1560966000,1717228000,1932635000,2164597000,2488375000,2747650000,2908738000,3265027000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,19600000,14000000,-2800000,-10000000,-130100000,-25000000,-37600000,-55200000,-42600000,-204023000,-26000000,-13000000,8000000,-41000000,-55000000,-66000000,-80000000,-104000000,-57000000,-103000000,-145000000,-168000000,-134000000,-179000000,-232000000,-226000000,-175835000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-190810000,-186991000,36483000,-268988000,- -,- -,- -,- -,- -,- -,-419728000,-429974000,-565422000,-924465000,-925285000,-887357000,-870887000,-946858000,-936000000,-942315000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,212400000,231300000,245300000,220500000,214800000,221400000,247200000,263700000,268890000,300109000,403333000,330912000,430528000,531117000,574112000,369976000,505072000,571323000,669770000,887863000,904797000,660016000,851603000,1155493000,1450741000,1581045000,1758991000,2159130000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,380900000,434700000,510500000,503000000,539000000,591800000,610000000,862400000,764490000,766809000,839387000,790412000,822890000,1211840000,1166669000,890674000,986354000,1304450000,1829515000,2042289000,2280130000,2360444000,2422365000,3414539000,3421012000,3516447000,3674656000,3790961000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,100000,10000,-9000,- -,-12000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,380900000,434700000,510500000,503000000,538900000,591800000,610000000,862500000,764500000,766800000,839387000,790400000,822890000,1211840000,1166669000,890674000,986354000,1304450000,1829515000,2042289000,2280130000,2360444000,2422365000,3414539000,3421012000,3516447000,3674656000,3790961000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/72331/000095015295000063/0000950152-95-000063-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72331/000095015203000680/l97324ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015204000365/l04976ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015205000245/l10447ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015206000197/l17741ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015207000253/l22480ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015207009783/0000950152-07-009783-index.html,https://www.sec.gov/Archives/edgar/data/72331/000095015208010466/0000950152-08-010466-index.html,https://www.sec.gov/Archives/edgar/data/72331/000095012309071805/0000950123-09-071805-index.html,https://www.sec.gov/Archives/edgar/data/72331/000095012310114569/0000950123-10-114569-index.html,https://www.sec.gov/Archives/edgar/data/72331/000119312511343516/0001193125-11-343516-index.html,https://www.sec.gov/Archives/edgar/data/72331/000119312512504725/0001193125-12-504725-index.html,https://www.sec.gov/Archives/edgar/data/72331/000119312513474384/0001193125-13-474384-index.html,https://www.sec.gov/Archives/edgar/data/72331/000119312514442368/0001193125-14-442368-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459015011507/0001564590-15-011507-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459016030237/0001564590-16-030237-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459017024983/0001564590-17-024983-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459018030928/0001564590-18-030928-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459019045927/0001564590-19-045927-index.html,https://www.sec.gov/Archives/edgar/data/72331/000007233120000024/0000072331-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/72331/000007233121000079/0000072331-21-000079-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,34200000,29300000,33800000,39500000,36000000,46700000,52700000,53100000,50000000,20800000,47500000,54600000,24600000,22100000,35200000,63334000,78300000,90598000,90692000,117504000,-160055000,168048000,222364000,224829000,221817000,246773000,211111000,271843000,295802000,377375000,337091000,249539000,454368000
74,Depreciation and Amortization,- -,- -,- -,- -,8400000,12300000,14700000,16700000,17100000,18400000,20600000,23500000,25300000,25000000,29400000,30325000,41855000,29487000,29240000,26876000,25683000,23310000,27933000,32237000,31410000,28888000,28776000,38990000,54438000,59754000,65194000,70304000,90854000,108407000,110244000,113302000,103883000
75,Deferred Income Tax,- -,- -,- -,- -,100000,-1500000,-3300000,-1800000,-6000000,-3900000,-4900000,-2200000,-600000,-1200000,200000,-3077000,2058000,854000,7553000,10344000,8362000,61000,417000,7355000,4055000,26830000,-6208000,5036000,-409000,-2896000,-1561000,-7073000,-7551000,-33949000,-1018000,-13956000,4071000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-814000,7633000,8845000,10365000,11762000,17407000,15262000,18211000,20168000,21550000,18086000,12856000,22757000
77,Change in Working Capital,- -,- -,- -,- -,-30000000,- -,- -,- -,- -,127000000,3500000,-20000000,28600000,-17700000,-32000000,26800000,-109700000,15500000,43700000,101662000,-105762000,44379000,-205969000,110307000,179932000,68868000,35679000,-51857000,122160000,-63284000,119000000,-6783000,-173406000,293196000,-253000,123954000,29011000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-18700000,5600000,-7400000,-2000000,-2100000,-7300000,-14400000,-6300000,-8900000,-5200000,6100000,-20606000,-849000,41567000,12501000,-2433000,3686000,-1769000,-1075000,-5413000,22688000,-15004000,-14666000,171000,-10741000,-8699000,-14208000,1784000,-19667000,5532000,-23117000,5785000,-50584000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10257000,7046000,4389000,4882000,-2549000,6906000,-1261000,7296000,4805000,-2671000,654000,-10673000,20769000
