,https://roic.ai/company/CW,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.1187,0.0347,0.1113,0.1208,-0.0359,0.1185,0.1179,0.0944,0.1272,0.1167,0.1330,0.1246,0.1832,0.0879,0.0701,0.0681,0.0666,0.0628,0.0655,0.0598,0.0526,0.0563,0.0635,0.0543,0.0550,0.0505,0.0659,0.0888,0.0946,0.1143,0.1236,0.0842,0.1066
25,EPS,0.55,0.17,0.53,0.54,-0.14,0.48,0.45,0.40,0.69,0.71,0.96,1.02,1.56,1.11,1.26,1.53,1.74,1.84,2.35,2.45,2.10,2.33,2.81,2.44,2.94,2.36,3.12,4.22,4.86,6.28,7.20,4.83,6.43
26,EPS Diluted,0.55,0.17,0.53,0.54,-0.14,0.48,0.45,0.40,0.68,0.70,0.95,1.01,1.53,1.08,1.25,1.51,1.72,1.82,2.32,2.41,2.08,2.30,2.77,2.40,2.88,2.31,3.05,4.15,4.80,6.22,7.15,4.80,6.43
27,Weighted Average Shares Outstanding,40180995,40000000,40379147,40372093,40714286,40524934,40557103,40630915,40729927,40842105,40414508,40072195,40243200,40754853,41318577,42388274,43264368,43787500,44394894,44716000,45237000,45823000,46372000,46743000,46991000,48019000,46624000,44389000,44182000,43892000,42739000,41738000,41545000
28,Weighted Average Shares Outstanding Diluted,40180995,40000000,40379147,40372093,40714286,40524934,40557103,40630915,41180812,41276596,40837696,40768238,40964169,41696074,41814400,43090066,43767442,44268681,44968966,45374000,45695000,46322000,47013000,47412000,47912000,49075000,47616000,45045000,44761000,44316000,43016000,41999000,41545000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/26324/000002632495000002/0000026324-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632496000001/0000026324-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632497000001/0000026324-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632498000001/0000026324-98-000001-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632499000001/0000026324-99-000001-index.html,- -,https://www.sec.gov/Archives/edgar/data/26324/000002632401500003/0000026324-01-500003-index.html,https://www.sec.gov/Archives/edgar/data/26324/000095011702000522/0000950117-02-000522-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/26324/000095011706001076/a41425.htm,https://www.sec.gov/Archives/edgar/data/26324/000093041307001676/c46896_10-k.htm,https://www.sec.gov/Archives/edgar/data/26324/000093041308001248/c52417_10k.htm,https://www.sec.gov/Archives/edgar/data/26324/000093041309001137/0000930413-09-001137-index.html,https://www.sec.gov/Archives/edgar/data/26324/000093041310000953/0000930413-10-000953-index.html,https://www.sec.gov/Archives/edgar/data/26324/000093041311001217/c64106_10-k.htm,https://www.sec.gov/Archives/edgar/data/26324/000093041312001077/0000930413-12-001077-index.html,https://www.sec.gov/Archives/edgar/data/26324/000093041313000998/0000930413-13-000998-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632414000004/a20131231-10k.htm,https://www.sec.gov/Archives/edgar/data/26324/000002632415000004/a20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/26324/000002632416000040/0000026324-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632417000003/0000026324-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632418000003/0000026324-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632419000003/0000026324-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632420000004/0000026324-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632421000007/0000026324-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/26324/000002632422000004/0000026324-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2000000,14300000,3400000,28100000,20300000,4200000,8900000,6300000,6900000,5800000,9500000,8692000,25495000,47717000,98672000,41038000,59021000,124517000,66520000,60705000,65010000,68119000,194387000,112023000,175294000,450116000,288697000,553848000,475120000,276066000,391033000,198248000,171004000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25600000,62766000,41658000,330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2000000,14300000,3400000,28100000,20300000,4200000,8900000,6300000,6900000,5800000,35100000,71458000,67153000,48047000,98672000,41038000,59021000,124517000,66520000,60705000,65010000,68119000,194387000,112023000,175294000,450116000,288697000,553848000,475120000,276066000,391033000,198248000,171004000
34,Net Receivables,29900000,36600000,32700000,27300000,27300000,32500000,36300000,37700000,41600000,60900000,70700000,67815000,86354000,142800000,143362000,214084000,244689000,284774000,392918000,395659000,404539000,461632000,556026000,578313000,603592000,495480000,566289000,463062000,494923000,593755000,632194000,588718000,647148000
35,Inventory,36100000,35600000,29000000,23700000,22500000,24900000,29100000,47000000,49700000,54000000,60600000,50002000,57115000,80166000,97880000,115979000,146297000,161528000,241728000,281508000,285608000,281103000,320633000,397471000,452087000,388670000,379591000,366974000,378866000,423426000,424835000,428879000,411567000
36,Other Current Assets,169800000,6600000,49200000,45000000,66100000,82700000,79300000,66800000,73200000,77900000,14000000,12797000,15335000,30673000,34609000,38153000,40459000,51826000,57015000,64147000,82344000,89173000,96088000,87954000,106310000,236809000,82043000,30927000,52951000,50719000,81729000,84979000,78089000
37,Total Current Assets,237800000,93100000,114300000,124100000,136200000,144300000,153600000,157800000,171400000,198600000,180400000,202072000,225957000,301686000,374523000,409254000,490466000,622645000,758181000,802019000,837501000,900027000,1167134000,1175761000,1337283000,1571075000,1316620000,1414811000,1401860000,1343966000,1529791000,1300824000,1307808000
38,PP&E,94700000,94300000,88600000,79600000,71400000,60400000,56300000,64000000,65900000,74500000,94600000,90453000,104521000,219049000,238139000,265243000,274821000,296652000,329657000,364032000,401149000,397280000,443555000,489593000,515718000,458919000,413644000,388903000,390235000,374660000,551083000,529098000,503644000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,411101000,570419000,608898000,648452000,693572000,759442000,1013300000,1110429000,998506000,972606000,951057000,1096329000,1088032000,1166680000,1455137000,1463026000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,30700000,50400000,47543000,90914000,203083000,268326000,504682000,546425000,158080000,240842000,234596000,242506000,240197000,261448000,419021000,471379000,349227000,310763000,271461000,329668000,429567000,479907000,609630000,538077000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,30700000,50400000,47543000,90914000,203083000,268326000,504682000,546425000,569181000,811261000,843494000,890958000,933769000,1020890000,1432321000,1581808000,1347733000,1283369000,1222518000,1425997000,1517599000,1646587000,2064767000,2001103000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1994000,1033000,12137000,1709000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,20100000,42300000,30300000,35200000,29300000,34000000,36300000,45400000,47400000,48900000,61700000,69348000,79036000,89106000,92677000,99261000,88573000,103678000,86461000,32485000,10439000,9909000,9121000,15204000,23465000,21784000,15745000,11549000,18229000,19160000,36800000,126645000,290990000
45,Total Non-Current Assets,114800000,136600000,118900000,114800000,100700000,94400000,92600000,109400000,113300000,154100000,206700000,207344000,274471000,511238000,599142000,869186000,909819000,969511000,1227379000,1240011000,1304540000,1341991000,1485703000,1938827000,2120991000,1828436000,1712758000,1622970000,1834461000,1911419000,2234470000,2720510000,2795737000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,352600000,229700000,233200000,238900000,236900000,238700000,246200000,267200000,284700000,352700000,387100000,409416000,500428000,812924000,973665000,1278440000,1400285000,1592156000,1985560000,2042030000,2142041000,2242018000,2652837000,3114588000,3458274000,3399511000,3029378000,3037781000,3236321000,3255385000,3764261000,4021334000,4103545000
48,Accounts Payable,6700000,6600000,5900000,4300000,3800000,5500000,6300000,13100000,9900000,13400000,13300000,13766000,19362000,41188000,43776000,65364000,80460000,96023000,137401000,140954000,129880000,133180000,150281000,157825000,186941000,152266000,163286000,177911000,185176000,232983000,222000000,201237000,211640000
49,Short-Term Debt,- -,3000000,5000000,2500000,100000,5400000,- -,- -,- -,20500000,4000000,5347000,- -,32837000,997000,1630000,885000,5874000,923000,3249000,80981000,2602000,2502000,128225000,1334000,1069000,1259000,150668000,150000,243000,26773000,127263000,25389000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4212000,3111000,4161000,10902000,5415000,22472000,7956000,18274000,4564000,5811000,7670000,6633000,3235000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26575000,- -,57305000,105421000,138753000,167683000,146770000,200268000,171624000,164343000,176693000,181671000,170143000,214891000,236508000,276115000,253411000,260157000
52,Other Current Liabilities,29300000,33000000,32300000,31000000,39600000,25100000,26800000,29300000,28700000,33900000,38600000,33180000,56734000,90424000,91110000,103526000,140158000,132923000,154870000,168728000,145775000,145387000,152333000,182074000,181975000,241965000,178971000,176540000,190780000,217594000,219843000,228466000,237681000
53,Total Current Liabilities,36000000,42600000,43200000,37800000,43500000,36000000,33100000,42400000,38600000,67800000,55900000,52293000,76096000,164449000,135883000,197095000,221503000,292125000,398615000,451684000,524319000,427939000,505384000,639748000,534593000,571993000,525187000,675262000,590997000,687328000,744731000,810377000,734867000
54,Long-Term Debt,28400000,27300000,22300000,16300000,14400000,9000000,10300000,10300000,10300000,20200000,34200000,24730000,21361000,119041000,224151000,340860000,364017000,359000000,510981000,513460000,384112000,394042000,583928000,751990000,958604000,953279000,953083000,815630000,813989000,762313000,749406000,958292000,1170103000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,7500000,6500000,9500000,6400000,6400000,7400000,8700000,8800000,9700000,14100000,21689000,26043000,6605000,21798000,40043000,53570000,57055000,62416000,26850000,25549000,26815000,24980000,50450000,123644000,51554000,91115000,49722000,49360000,47121000,80159000,115007000,147349000
57,Other Non-Current Liabilities,18800000,29100000,21100000,20100000,28400000,28500000,23200000,22400000,22100000,25400000,24500000,20480000,26974000,111601000,112952000,124828000,122975000,121902000,98763000,183274000,181304000,233119000,309506000,359808000,288728000,344252000,204570000,205976000,254175000,227842000,415593000,350084000,224736000
58,Total Non-Current Liabilities,47200000,63900000,49900000,45900000,49200000,43900000,40900000,41400000,41200000,55300000,72800000,66899000,74378000,237247000,358901000,505731000,540562000,537957000,672160000,723584000,590965000,653976000,918414000,1162248000,1370976000,1349085000,1248768000,1071328000,1117524000,1037276000,1245158000,1423383000,1542188000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19091000,- -,- -,- -,- -,- -,- -,- -,- -,171897000,160332000,152541000
61,Total Liabilities,83200000,106500000,93100000,83700000,92700000,79900000,74000000,83800000,79800000,123100000,128700000,119192000,150474000,401696000,494784000,702826000,762065000,830082000,1070775000,1175268000,1115284000,1081915000,1423798000,1801996000,1905569000,1921078000,1773955000,1746590000,1708521000,1724604000,1989889000,2233760000,2277055000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,15000000,15000000,15000000,25376000,25411000,25493000,47533000,47715000,47903000,48214000,48558000,48879000,49190000,49190000,49190000,49190000,49187000,49187000,49187000,49187000,49187000,49187000
64,Retained Earnings,389400000,239200000,255400000,272000000,261400000,275600000,288700000,299700000,318500000,406000000,376000000,411866000,469303000,508298000,543670000,601070000,667892000,716030000,807413000,899928000,980590000,1072459000,1187989000,1261377000,1380981000,1469306000,1590645000,1754907000,1944324000,2191471000,2497111000,2670328000,2908827000
65,Other Comprehensive Income/Loss,-103400000,-114400000,-123300000,-129500000,-137400000,-14300000,-141800000,-146300000,-153700000,-162700000,-147400000,-156443000,-121914000,6422000,22579000,36763000,20643000,55806000,93327000,-72551000,-19605000,-2813000,-65131000,-55508000,25259000,-128411000,-225928000,-291756000,-216840000,-288447000,-325274000,-310856000,-190465000
66,Other Total Stockholders Equity,- -,- -,8000000,12700000,20200000,- -,25300000,30000000,40100000,- -,14800000,19801000,- -,-118492000,-112744000,-87630000,-75808000,-57295000,-33670000,-8518000,17558000,41899000,57302000,57533000,97275000,88348000,-158484000,-221147000,-248871000,-421430000,-446652000,-621085000,- -
67,Total Stockholders Equity,269400000,123200000,140100000,155200000,144200000,158800000,172200000,183400000,204900000,229600000,258400000,290224000,349954000,411228000,478881000,575614000,638220000,762074000,914785000,866762000,1026757000,1160103000,1229039000,1312592000,1552705000,1478433000,1255423000,1291191000,1527800000,1530781000,1774372000,1787574000,1826490000
68,Total Liabilities And Stockholders Equity,352600000,229700000,233200000,238900000,236900000,238700000,246200000,267200000,284700000,352700000,387100000,409416000,500428000,812924000,973665000,1278440000,1400285000,1592156000,1985560000,2042030000,2142041000,2242018000,2652837000,3114588000,3458274000,3399511000,3029378000,3037781000,3236321000,3255385000,3764261000,4021334000,4103545000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,352600000,229700000,233200000,238900000,236900000,238700000,246200000,267200000,284700000,352700000,387100000,409416000,500428000,812924000,973665000,1278440000,1400285000,1592156000,1985560000,2042030000,2142041000,2242018000,2652837000,3114588000,3458274000,3399511000,3029378000,3037781000,3236321000,3255385000,3764261000,4021334000,4103545000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/26324/000002632495000002/0000026324-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632496000001/0000026324-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632497000001/0000026324-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632498000001/0000026324-98-000001-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632499000001/0000026324-99-000001-index.html,- -,https://www.sec.gov/Archives/edgar/data/26324/000002632401500003/0000026324-01-500003-index.html,https://www.sec.gov/Archives/edgar/data/26324/000095011702000522/0000950117-02-000522-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/26324/000095011706001076/a41425.htm,https://www.sec.gov/Archives/edgar/data/26324/000093041307001676/c46896_10-k.htm,https://www.sec.gov/Archives/edgar/data/26324/000093041308001248/c52417_10k.htm,https://www.sec.gov/Archives/edgar/data/26324/000093041309001137/0000930413-09-001137-index.html,https://www.sec.gov/Archives/edgar/data/26324/000093041310000953/0000930413-10-000953-index.html,https://www.sec.gov/Archives/edgar/data/26324/000093041311001217/c64106_10-k.htm,https://www.sec.gov/Archives/edgar/data/26324/000093041312001077/0000930413-12-001077-index.html,https://www.sec.gov/Archives/edgar/data/26324/000093041313000998/0000930413-13-000998-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632414000004/a20131231-10k.htm,https://www.sec.gov/Archives/edgar/data/26324/000002632415000004/a20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/26324/000002632416000040/0000026324-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632417000003/0000026324-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632418000003/0000026324-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632419000003/0000026324-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632420000004/0000026324-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632421000007/0000026324-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/26324/000002632422000004/0000026324-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,22200000,6900000,21300000,21700000,-5700000,19300000,18200000,16100000,27900000,29100000,39000000,41074000,62880000,45136000,52268000,65066000,75280000,80569000,104328000,109390000,95221000,106598000,130423000,113844000,137981000,113338000,145461000,187329000,214891000,275749000,307583000,201392000,267159000
74,Depreciation and Amortization,11300000,11800000,12200000,11900000,11500000,10900000,9500000,8900000,9100000,9700000,12900000,14346000,14734000,18693000,31327000,40742000,47851000,50791000,62699000,74251000,76480000,79946000,88300000,93896000,121497000,118931000,100810000,96008000,99995000,102949000,102412000,115903000,114384000
75,Deferred Income Tax,- -,-5100000,2500000,-3800000,-1500000,900000,2100000,-200000,100000,1500000,2300000,6886000,4167000,4011000,6035000,-3500000,141000,-11419000,-8144000,-6370000,-6470000,2828000,3345000,-3871000,5928000,-27241000,63535000,1224000,-5782000,8562000,40787000,-7048000,-10200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15264000,13378000,9621000,9428000,7349000,8500000,9473000,9478000,11572000,14094000,13669000,14437000,13450000
77,Change in Working Capital,-2800000,-151300000,20600000,15200000,6400000,15600000,12200000,-5100000,17400000,-2000000,-6300000,25279000,82000,-12624000,101403000,-26481000,56804000,61557000,29046000,-9231000,-37153000,158906000,189662000,-125737000,266677000,196392000,-207649000,-51884000,71314000,-154225000,128422000,-294613000,-11973000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26524000,6599000,12845000,-77106000,91692000,-16388000,-57492000,- -,71147000,- -
79,Inventory,-5000000,500000,7000000,8300000,2500000,-2400000,-6500000,-12100000,-3600000,700000,2800000,11534000,-3232000,197000,1893000,7578000,-26908000,-11245000,-50290000,-46564000,17819000,10640000,-23429000,-30100000,-25499000,-19375000,-4039000,4391000,19711000,-41197000,-3485000,15535000,15321000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7290000,8567000,16147000,-447000,4125000,4323000,48930000,-18629000,-55513000,- -
81,Other Working Capital,201800000,50500000,71100000,86300000,92700000,108300000,120500000,115400000,132800000,130800000,124500000,149779000,149861000,137237000,238640000,212159000,268963000,330520000,359566000,350335000,313182000,472088000,661750000,536013000,802690000,999082000,791433000,739549000,810863000,656638000,785060000,490447000,14365000
82,Other Non-Cash Items,-300000,178200000,-15300000,-12400000,10800000,-54300000,-24600000,13500000,-41000000,-12400000,33200000,-63456000,-20603000,33746000,-107509000,29520000,-74898000,-37627000,-48793000,11781000,53237000,-189946000,-218989000,64914000,-301605000,-78154000,50849000,181042000,-3278000,89144000,-171469000,231109000,14848000
83,Cash Provided by Operating Activities,30400000,40500000,41300000,32600000,21500000,-7600000,17400000,33200000,13500000,25900000,81100000,24129000,61260000,88962000,83524000,105347000,105178000,143871000,139136000,179821000,196579000,171710000,202362000,152474000,237827000,331766000,162479000,423197000,388712000,336273000,421404000,261180000,387668000
84,CAPEX,-12600000,-11600000,-7700000,-6800000,-4900000,-4600000,-7000000,-14200000,-11200000,-52300000,-69200000,-9506000,-19354000,-34954000,-33329000,-32452000,-42444000,-41866000,-58155000,-103968000,-76316000,-54588000,-84853000,-84715000,-72242000,-67115000,-35512000,-46776000,-52705000,-54964000,-69752000,-47499000,-41108000
