,https://roic.ai/company/MDLZ,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,1034000000,1642000000,716000000,813000000,879000000,879000000,891000000,886000000,986000000,931000000,1440000000,1485000000,1345000000,1077000000,1059000000,894000000,823000000,816000000,811000000,1047000000,1116000000,1113000000
15,EBITDA,1632000000,1753000000,4449000000,5089000000,5979000000,6155000000,4818000000,4720000000,4902000000,4613000000,4615000000,6471000000,8491000000,7882000000,5757000000,6069000000,4374000000,9363000000,3126000000,4822000000,5427000000,5403000000,6318000000,6603000000
16,EBITDA ratio,0.0676,0.0748,0.1677,0.1502,0.2012,0.1985,0.1498,0.1384,0.1427,0.1239,0.1094,0.1602,0.1726,0.1450,0.1644,0.1719,0.1277,0.3159,0.1206,0.1862,0.2092,0.2089,0.2377,0.2299
17,Operating Income,3535000000,3579000000,4012000000,4884000000,6114000000,6011000000,4612000000,4752000000,4526000000,4331000000,3817000000,5524000000,5666000000,6657000000,3637000000,3971000000,3242000000,8897000000,2569000000,3506000000,3312000000,3843000000,3853000000,4653000000
18,Operating Income ratio,0.1464,0.1528,0.1512,0.1442,0.2057,0.1938,0.1434,0.1393,0.1317,0.1163,0.0904,0.1368,0.1151,0.1225,0.1039,0.1125,0.0947,0.3002,0.0991,0.1354,0.1277,0.1486,0.1450,0.1620
19,Total Other Income Expenses (Gains),-536000000,-539000000,-597000000,-1437000000,-847000000,-669000000,-666000000,-636000000,-510000000,-604000000,-1240000000,-1237000000,-2024000000,-1885000000,-1863000000,-1579000000,-688000000,-1013000000,-1115000000,-382000000,-470000000,-396000000,-470000000,-284000000
20,Income Before Tax,2999000000,3040000000,3415000000,3447000000,5267000000,5342000000,3946000000,4116000000,4016000000,3727000000,2577000000,4287000000,3642000000,4772000000,1774000000,2392000000,2554000000,7884000000,1454000000,3124000000,2842000000,3447000000,3383000000,4369000000
21,Income Before Tax Ratio,0.1242,0.1297,0.1287,0.1018,0.1772,0.1723,0.1227,0.1207,0.1169,0.1001,0.0611,0.1062,0.0740,0.0878,0.0507,0.0678,0.0746,0.2660,0.0561,0.1206,0.1096,0.1333,0.1273,0.1521
22,Income Tax expense (Gain),- -,- -,1414000000,1565000000,1869000000,1866000000,1274000000,1209000000,951000000,1137000000,728000000,1259000000,1147000000,1225000000,207000000,60000000,353000000,593000000,129000000,688000000,773000000,2000000,1224000000,1190000000
23,Net Income,1632000000,1753000000,2001000000,1882000000,3394000000,3476000000,2665000000,2632000000,3060000000,2590000000,2901000000,3021000000,4114000000,3527000000,3028000000,3915000000,2184000000,7267000000,1659000000,2922000000,3381000000,3870000000,3555000000,4300000000
24,Net Income ratio,0.0676,0.0748,0.0754,0.0556,0.1142,0.1121,0.0828,0.0772,0.0891,0.0695,0.0687,0.0748,0.0836,0.0649,0.0865,0.1109,0.0638,0.2452,0.0640,0.1128,0.1303,0.1496,0.1337,0.1497
25,EPS,1.12,1.20,1.38,1.17,1.96,2.01,1.56,1.56,1.86,1.64,1.95,2.04,2.40,2.00,1.70,2.21,1.29,4.49,1.07,1.93,2.30,2.68,2.48,3.00
26,EPS Diluted,1.12,1.20,1.38,1.17,1.96,2.01,1.55,1.55,1.85,1.62,1.92,2.03,2.39,1.99,1.69,2.19,1.28,4.44,1.05,1.91,2.28,2.65,2.47,3.00
27,Weighted Average Shares Outstanding,1457142857,1460833333,1455000000,1608547009,1731632653,1729353234,1708333333,1687179487,1645161290,1579268293,1491000000,1478000000,1715000000,1765000000,1777000000,1774000000,1691000000,1618000000,1556000000,1513000000,1472000000,1445000000,1431000000,1431000000
28,Weighted Average Shares Outstanding Diluted,1457142857,1460833333,1455000000,1608547009,1731632653,1729353234,1719354839,1698064516,1654054054,1598765432,1510000000,1486000000,1720000000,1772000000,1789000000,1789000000,1709000000,1637000000,1573000000,1531000000,1486000000,1458000000,1441000000,1431000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1103982/000095012302002512/0000950123-02-002512-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000104746903010159/0001047469-03-010159-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000104746904007643/0001047469-04-007643-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000104746905006214/0001047469-05-006214-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000104746906003200/a2168110z10-k.htm,https://www.sec.gov/Archives/edgar/data/1103982/000104746907001530/a2176027z10-k.htm,https://www.sec.gov/Archives/edgar/data/1103982/000119312508037590/d10k.htm,https://www.sec.gov/Archives/edgar/data/1103982/000119312509040798/0001193125-09-040798-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000119312510040106/0001193125-10-040106-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000119312511048979/d10k.htm,https://www.sec.gov/Archives/edgar/data/1103982/000119312512080318/0001193125-12-080318-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000119312513073227/0001193125-13-073227-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000119312514079175/d645322d10k.htm,https://www.sec.gov/Archives/edgar/data/1103982/000119312515055355/d840894d10k.htm,https://www.sec.gov/Archives/edgar/data/1103982/000119312516469394/0001193125-16-469394-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000119312517055858/0001193125-17-055858-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000119312518037332/0001193125-18-037332-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000005/0001103982-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000003/0001103982-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000004/0001103982-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000003/0001103982-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,162000000,215000000,514000000,282000000,316000000,239000000,567000000,1244000000,2101000000,2481000000,1974000000,4475000000,2664000000,1631000000,1870000000,1741000000,761000000,1100000000,1291000000,3619000000,3546000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,162000000,215000000,514000000,282000000,316000000,239000000,567000000,1244000000,2101000000,2481000000,1974000000,4475000000,2664000000,1631000000,1870000000,1741000000,761000000,1100000000,1291000000,3619000000,3546000000
34,Net Receivables,- -,- -,- -,3131000000,3116000000,3369000000,3541000000,3385000000,3869000000,5197000000,4704000000,5197000000,6539000000,6361000000,6129000000,5403000000,4751000000,3846000000,3470000000,3526000000,3006000000,2927000000,2954000000,3188000000
35,Inventory,- -,- -,- -,3026000000,3382000000,3343000000,3447000000,3343000000,3506000000,4096000000,3729000000,3775000000,5310000000,5706000000,3741000000,3743000000,3480000000,2609000000,2469000000,2557000000,2592000000,2546000000,2647000000,2708000000
36,Other Current Assets,- -,- -,- -,687000000,743000000,898000000,2452000000,1109000000,640000000,877000000,1689000000,1381000000,1891000000,2161000000,1277000000,1406000000,1888000000,633000000,800000000,676000000,906000000,866000000,759000000,900000000
37,Total Current Assets,- -,- -,- -,7006000000,7456000000,8124000000,9722000000,8153000000,8254000000,10737000000,11366000000,12454000000,16221000000,16202000000,15622000000,13216000000,11750000000,8958000000,8480000000,7520000000,7604000000,7630000000,9979000000,10342000000
38,PP&E,- -,- -,- -,9109000000,9559000000,10155000000,9985000000,9817000000,9693000000,10778000000,9917000000,10693000000,13792000000,13813000000,10010000000,10247000000,9827000000,8362000000,8229000000,8677000000,8482000000,9301000000,9664000000,9271000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,25553000000,31193000000,27581000000,28764000000,37856000000,37297000000,25801000000,25597000000,23389000000,20664000000,20276000000,21085000000,20725000000,20848000000,21895000000,21978000000
40,Intangible Assets,- -,- -,- -,35957000000,36420000000,36879000000,35811000000,35164000000,10177000000,12200000000,12926000000,13429000000,25963000000,25186000000,22552000000,21994000000,20335000000,18768000000,18101000000,18639000000,18002000000,17957000000,18482000000,18291000000
41,Intangible Assets,- -,- -,- -,35957000000,36420000000,36879000000,35811000000,35164000000,35730000000,43393000000,40507000000,42193000000,63819000000,62483000000,48353000000,47591000000,43724000000,39432000000,38377000000,39724000000,38727000000,38805000000,40377000000,40269000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5387000000,5585000000,6345000000,7123000000,7212000000,6036000000,5289000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358000000,319000000,255000000,726000000,790000000,541000000
44,Other Non-Current Assets,- -,- -,- -,3726000000,3665000000,4126000000,4410000000,4494000000,1897000000,3085000000,1288000000,1374000000,1457000000,1339000000,1493000000,1503000000,1514000000,704000000,509000000,524000000,538000000,875000000,964000000,1380000000
45,Total Non-Current Assets,- -,- -,- -,48792000000,49644000000,51160000000,50206000000,49475000000,47320000000,57256000000,51712000000,54260000000,79068000000,77635000000,59856000000,59341000000,55065000000,53885000000,53058000000,55589000000,55125000000,56919000000,57831000000,56750000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,55798000000,57100000000,59284000000,59928000000,57628000000,55574000000,67993000000,63078000000,66714000000,95289000000,93837000000,75478000000,72557000000,66815000000,62843000000,61538000000,63109000000,62729000000,64549000000,67810000000,67092000000
48,Accounts Payable,- -,- -,- -,1897000000,1939000000,2005000000,2207000000,2270000000,2602000000,4065000000,3373000000,3766000000,5409000000,5525000000,4642000000,5345000000,5299000000,4890000000,5318000000,5705000000,5794000000,5853000000,6209000000,6730000000
49,Short-Term Debt,- -,- -,- -,2873000000,1467000000,1871000000,2795000000,2073000000,3740000000,8107000000,1662000000,966000000,1865000000,3836000000,3577000000,1003000000,1530000000,605000000,1451000000,1163000000,2648000000,1581000000,2770000000,1962000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,4105000000,3763000000,3985000000,4076000000,4381000000,4131000000,4914000000,6009000000,6759000000,8386000000,9084000000,6654000000,8048000000,7178000000,5427000000,7648000000,8925000000,8295000000,7888000000,6180000000,5316000000
53,Total Current Liabilities,- -,- -,- -,8875000000,7169000000,7861000000,9078000000,8724000000,10473000000,17086000000,11044000000,11491000000,15660000000,18445000000,14873000000,14396000000,14007000000,10922000000,14417000000,15793000000,16737000000,15322000000,15159000000,14008000000
54,Long-Term Debt,- -,- -,- -,13134000000,12976000000,11591000000,9723000000,8475000000,7081000000,12902000000,18589000000,18024000000,26859000000,23095000000,15574000000,14482000000,13865000000,14557000000,13217000000,12972000000,12532000000,14207000000,17746000000,18009000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,5031000000,5428000000,5856000000,5850000000,6067000000,3930000000,4876000000,4064000000,4508000000,7984000000,6738000000,6302000000,6282000000,5512000000,4750000000,4721000000,3376000000,3552000000,3338000000,3346000000,3444000000
57,Other Non-Current Liabilities,- -,- -,- -,5280000000,5695000000,5446000000,5366000000,4769000000,5535000000,5834000000,7181000000,6719000000,8844000000,10231000000,6374000000,4865000000,5578000000,4514000000,3968000000,4777000000,4195000000,4331000000,3905000000,3308000000
58,Total Non-Current Liabilities,- -,- -,- -,23445000000,24099000000,22893000000,20939000000,19311000000,16546000000,23612000000,29834000000,29251000000,43687000000,40064000000,28250000000,25629000000,24955000000,23821000000,21906000000,21125000000,20279000000,21876000000,24997000000,24761000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,403000000,726000000,459000000
61,Total Liabilities,- -,- -,- -,32320000000,31268000000,30754000000,30017000000,28035000000,27019000000,40698000000,40878000000,40742000000,59347000000,58509000000,43123000000,40025000000,38962000000,34743000000,36323000000,36918000000,37016000000,37198000000,40156000000,38769000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,2391000000,4814000000,7020000000,8304000000,9453000000,11128000000,12209000000,13345000000,14636000000,16619000000,18012000000,10457000000,13419000000,14529000000,20700000000,21149000000,22749000000,24491000000,26653000000,28402000000,30806000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-4163000000,-4891000000,-5650000000,-6498000000,-1663000000,-3069000000,-1835000000,-5994000000,-3955000000,-3890000000,-6637000000,-2666000000,-2889000000,-7318000000,-9986000000,-11122000000,-9997000000,-10630000000,-10254000000,-10690000000,-10624000000
66,Other Total Stockholders Equity,- -,- -,- -,25250000000,25909000000,27160000000,28105000000,21803000000,20496000000,16921000000,14849000000,15195000000,23105000000,23842000000,24424000000,21843000000,20539000000,17298000000,15134000000,13359000000,11776000000,10876000000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,23478000000,25832000000,28530000000,29911000000,29593000000,28555000000,27295000000,22200000000,25876000000,35834000000,35217000000,32215000000,32373000000,27750000000,28012000000,25161000000,26111000000,25637000000,27275000000,27578000000,28269000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,55798000000,57100000000,59284000000,59928000000,57628000000,55574000000,67993000000,63078000000,66618000000,95181000000,93726000000,75338000000,72398000000,66712000000,62755000000,61484000000,63029000000,62653000000,64473000000,67734000000,67038000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000,108000000,111000000,140000000,159000000,103000000,88000000,54000000,80000000,76000000,76000000,76000000,54000000
70,Total Liabilities & Equity,- -,- -,- -,55798000000,57100000000,59284000000,59928000000,57628000000,55574000000,67993000000,63078000000,66714000000,95289000000,93837000000,75478000000,72557000000,66815000000,62843000000,61538000000,63109000000,62729000000,64549000000,67810000000,67092000000
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1103982/000095012302002512/0000950123-02-002512-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000104746903010159/0001047469-03-010159-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000104746904007643/0001047469-04-007643-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000104746905006214/0001047469-05-006214-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000104746906003200/a2168110z10-k.htm,https://www.sec.gov/Archives/edgar/data/1103982/000104746907001530/a2176027z10-k.htm,https://www.sec.gov/Archives/edgar/data/1103982/000119312508037590/d10k.htm,https://www.sec.gov/Archives/edgar/data/1103982/000119312509040798/0001193125-09-040798-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000119312510040106/0001193125-10-040106-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000119312511048979/d10k.htm,https://www.sec.gov/Archives/edgar/data/1103982/000119312512080318/0001193125-12-080318-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000119312513073227/0001193125-13-073227-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000119312514079175/d645322d10k.htm,https://www.sec.gov/Archives/edgar/data/1103982/000119312515055355/d840894d10k.htm,https://www.sec.gov/Archives/edgar/data/1103982/000119312516469394/0001193125-16-469394-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000119312517055858/0001193125-17-055858-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000119312518037332/0001193125-18-037332-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000005/0001103982-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000003/0001103982-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000004/0001103982-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000003/0001103982-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1632000000,1753000000,2001000000,1882000000,3394000000,3476000000,2665000000,2632000000,3060000000,2590000000,2901000000,3021000000,4114000000,3527000000,3028000000,3915000000,2184000000,7267000000,1659000000,2922000000,3381000000,3870000000,3555000000,4300000000
74,Depreciation and Amortization,- -,- -,1034000000,1642000000,716000000,813000000,879000000,879000000,891000000,886000000,986000000,931000000,1440000000,1485000000,1345000000,1077000000,1059000000,894000000,823000000,816000000,811000000,1047000000,1116000000,1113000000
75,Deferred Income Tax,- -,- -,245000000,414000000,278000000,244000000,41000000,-408000000,-168000000,-436000000,-262000000,38000000,251000000,-351000000,410000000,-64000000,-186000000,-30000000,-141000000,111000000,195000000,-626000000,-70000000,205000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164000000,174000000,181000000,162000000,128000000,141000000,136000000,140000000,137000000,128000000,135000000,126000000,121000000
77,Change in Working Capital,- -,- -,-1869000000,2156000000,-24000000,381000000,-1215000000,-1648000000,-4130000000,6671000000,641000000,-402000000,-2804000000,2992000000,-1929000000,-1077000000,293000000,-3973000000,-2336000000,-860000000,1441000000,2512000000,1376000000,-649000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,175000000,-107000000,-220000000,197000000,-65000000,-42000000,-149000000,-191000000,-130000000,299000000,-359000000,-556000000,-129000000,-116000000,-188000000,-49000000,62000000,-18000000,-204000000,31000000,-24000000,-170000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126000000,83000000,300000000,505000000,793000000,387000000,659000000,409000000,5000000,236000000,4000000,436000000,702000000
81,Other Working Capital,- -,- -,-1869000000,287000000,263000000,644000000,-571000000,-2219000000,-6349000000,322000000,963000000,561000000,-2243000000,749000000,-1180000000,-2257000000,-1964000000,-5937000000,-8273000000,-9133000000,-7692000000,-5180000000,-3804000000,-313000000
82,Other Non-Cash Items,-1632000000,-1753000000,1843000000,-2766000000,-644000000,-795000000,1638000000,2009000000,4067000000,-6140000000,-125000000,1332000000,573000000,-3314000000,907000000,2431000000,71000000,-566000000,2693000000,-533000000,-2008000000,-2973000000,-2139000000,-949000000
83,Cash Provided by Operating Activities,- -,- -,3254000000,3328000000,3720000000,4119000000,4008000000,3464000000,3720000000,3571000000,4141000000,5084000000,3748000000,4520000000,3923000000,6410000000,3562000000,3728000000,2838000000,2593000000,3948000000,3965000000,3964000000,4141000000
84,CAPEX,-841000000,-860000000,-16430000000,-1101000000,-1184000000,-1085000000,-1006000000,-1171000000,-1169000000,-1241000000,-1367000000,-1330000000,-1661000000,-1771000000,-1610000000,-1622000000,-1642000000,-1514000000,-1224000000,-1014000000,-1095000000,-925000000,-863000000,-965000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,1668000000,946000000,-7221000000,-2000000,41000000,-5809000000,- -,200000000,-59000000,-7000000,3597000000,57000000,604000000,-527000000,-117000000,1353000000,706000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,292000000,-121000000,132000000,36000000,-50000000,28000000,107000000,46000000,49000000,50000000,8000000,43000000,-277000000,198000000,7000000,566000000,138000000,109000000,398000000,82000000,-853000000,-732000000
89,Cash Used for Investing Activites,- -,- -,-16138000000,-1222000000,-1052000000,-1049000000,-1056000000,525000000,-116000000,-8416000000,-1320000000,-1239000000,-7462000000,-1728000000,-1687000000,-1483000000,-1642000000,2649000000,-1029000000,-301000000,-1224000000,-960000000,500000000,-26000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1414000000,-2998000000,-1114000000,-4495000000,-8166000000,-5730000000,-6616000000,-7217000000,-3381000000,-4677000000,-5044000000,-5052000000,-6247000000
91,Common Stock Issued,- -,- -,- -,8425000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-170000000,-372000000,-688000000,-1175000000,-1254000000,-3708000000,-777000000,- -,- -,- -,- -,-2900000000,-1700000000,-3622000000,-2601000000,-2174000000,-2020000000,-1480000000,-1390000000,-2110000000
93,Dividends Paid,- -,- -,-1009000000,-225000000,-936000000,-1089000000,-1280000000,-1437000000,-1562000000,-1638000000,-1663000000,-1712000000,-2175000000,-2043000000,-2058000000,-943000000,-964000000,-1008000000,-1094000000,-1198000000,-1359000000,-1542000000,-1678000000,-1826000000
94,Other Financing Activites,- -,- -,13991000000,-10331000000,-1510000000,-1325000000,-1250000000,-1339000000,-904000000,10467000000,383000000,-7000000,9361000000,-18000000,6757000000,5364000000,5706000000,5363000000,9050000000,3392000000,5727000000,5279000000,5905000000,6114000000
95,Cash Used/Provided by Financing Activities,- -,- -,12982000000,-2131000000,-2616000000,-2786000000,-3218000000,-3951000000,-3720000000,5121000000,-2057000000,-3133000000,4188000000,-3175000000,204000000,-6645000000,-2688000000,-5883000000,-1862000000,-3361000000,-2329000000,-2787000000,-2215000000,-4069000000
96,Effect of Forex Changes on Cash,- -,- -,-2000000,-4000000,1000000,15000000,34000000,-4000000,39000000,52000000,-87000000,145000000,-94000000,-124000000,61000000,-93000000,-223000000,-255000000,-76000000,89000000,-56000000,10000000,73000000,-143000000
97,Net Change In Cash,- -,- -,96000000,-29000000,53000000,299000000,-232000000,34000000,-77000000,328000000,677000000,857000000,380000000,-507000000,2501000000,-1811000000,-991000000,239000000,-129000000,-980000000,339000000,228000000,2322000000,-97000000
98,Cash at the End of Period,- -,- -,191000000,162000000,215000000,514000000,282000000,316000000,239000000,567000000,1244000000,2101000000,2481000000,1974000000,4475000000,2664000000,1631000000,1870000000,1741000000,761000000,1100000000,1328000000,3650000000,3553000000
99,Cash at the Beginning of Period,- -,- -,95000000,191000000,162000000,215000000,514000000,282000000,316000000,239000000,567000000,1244000000,2101000000,2481000000,1974000000,4475000000,2622000000,1631000000,1870000000,1741000000,761000000,1100000000,1328000000,3650000000
100,Free Cash Flow,- -,- -,-13176000000,2227000000,2536000000,3034000000,3002000000,2293000000,2551000000,2330000000,2774000000,3754000000,2087000000,2749000000,2313000000,4788000000,1920000000,2214000000,1614000000,1579000000,2853000000,3040000000,3101000000,3176000000
