,https://roic.ai/company/CALM,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/16160/000001616097000002/0000016160-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/16160/000001616098000003/0000016160-98-000003-index.html,https://www.sec.gov/Archives/edgar/data/16160/000090445699000086/0000904456-99-000086-index.html,https://www.sec.gov/Archives/edgar/data/16160/000090445600000047/0000904456-00-000047-index.html,- -,https://www.sec.gov/Archives/edgar/data/16160/000089706902000611/0000897069-02-000611-index.html,- -,https://www.sec.gov/Archives/edgar/data/16160/000089706904001485/0000897069-04-001485-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000089706905001989/0000897069-05-001989-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420406034408/0001144204-06-034408-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420407044438/0001144204-07-044438-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420408043734/0001144204-08-043734-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420409042014/0001144204-09-042014-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420410040719/0001144204-10-040719-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420411043870/0001144204-11-043870-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420412043035/0001144204-12-043035-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420413042925/0001144204-13-042925-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000001616014000015/0000016160-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000001616015000019/0000016160-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000001616016000061/0000016160-16-000061-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000001616017000017/0000016160-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000001616018000071/0000016160-18-000071-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000001616019000048/0000016160-19-000048-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000001616020000078/0000016160-20-000078-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000156276221000265/0001562762-21-000265-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4000000,23700000,41100000,36200000,6500000,13100000,4900000,6092000,36600000,20200000,13300000,15000000,94858000,66900000,99500000,57700000,97100000,25000000,14521000,8667000,29046000,17564000,48431000,69247000,78130000,57352000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,36400000,35400000,25000000,39500000,- -,15200000,99600000,118800000,163600000,157900000,194738000,249961000,360499000,138462000,282586000,250181000,154163000,112158000
33,Cash and Short-Term Investments,4000000,23700000,41100000,36200000,6500000,13100000,4900000,6092000,73000000,55600000,38300000,54500000,94858000,82100000,199100000,176500000,260700000,182900000,209259000,258628000,389545000,156026000,331017000,319428000,232293000,169510000
34,Net Receivables,13500000,13100000,13900000,14600000,19100000,16000000,23400000,19493000,27400000,23400000,26100000,38200000,47930000,44600000,43600000,62800000,62800000,82600000,87516000,101977000,79278000,117200000,85839000,71760000,98375000,126639000
35,Inventory,41000000,42600000,41400000,38400000,43900000,47100000,46100000,51005000,49900000,45600000,57800000,62200000,76766000,97500000,94000000,110000000,117200000,148000000,146117000,146260000,154799000,160692000,168644000,172237000,187216000,218375000
36,Other Current Assets,1900000,2100000,900000,700000,800000,600000,900000,8589000,1600000,1400000,3500000,1400000,4711000,17500000,1500000,5700000,1500000,1400000,2501000,2099000,2661000,2288000,2020000,4328000,4367000,5407000
37,Total Current Assets,60400000,81500000,97300000,89900000,70300000,76800000,75300000,85179000,151900000,126000000,125700000,156300000,224265000,241700000,338200000,355000000,442200000,414900000,445393000,508964000,626283000,436206000,587520000,567753000,522251000,519931000
38,PP&E,83700000,95300000,99400000,109900000,148100000,144600000,142200000,138192000,132100000,127400000,176300000,193600000,206493000,250000000,234100000,224900000,222600000,266000000,314935000,358790000,392274000,458184000,425384000,456294000,560584000,591666000
39,Goodwill,- -,- -,- -,4300000,3400000,3100000,3100000,- -,3100000,3100000,4000000,4200000,13452000,22500000,22100000,22100000,22100000,24400000,29196000,29196000,29196000,35525000,35525000,35525000,35525000,35525000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,3147000,- -,- -,- -,- -,- -,15100000,12500000,10100000,8000000,12300000,10423000,7560000,4958000,29149000,26307000,23762000,22816000,20341000
41,Intangible Assets,- -,- -,- -,4300000,3400000,3100000,3100000,3147000,3100000,3100000,4000000,4200000,13452000,37600000,34600000,32200000,30100000,36700000,39619000,36756000,34154000,64674000,61832000,59287000,58341000,55866000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,54000000,51219000,17708000,19142000,22330000,20413000,6786000,18843000,53975000,69296000,66806000,67554000,60982000,54941000
43,Tax Assets,- -,- -,10300000,10300000,4600000,7500000,7700000,- -,20100000,20300000,18900000,19800000,- -,26600000,28400000,34700000,38400000,38400000,- -,45614000,95382000,110282000,76055000,82597000,- -,- -
44,Other Non-Current Assets,5900000,5500000,-3800000,-700000,5500000,2800000,1400000,8874000,-5600000,-7300000,-7800000,-17300000,3026000,-24319000,-21708000,-25142000,-29330000,-30813000,4928000,-40314000,-90303000,-105548000,-67150000,-77207000,4536000,6770000
45,Total Non-Current Assets,89600000,100800000,105900000,123800000,161600000,158000000,154400000,150213000,149700000,143500000,191400000,208300000,276971000,341100000,293100000,285800000,284100000,330700000,366268000,419689000,485482000,596888000,562927000,588525000,684443000,709243000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,150000000,182300000,203200000,213700000,231900000,234800000,229700000,235392000,301600000,269500000,317100000,364600000,501236000,582800000,631300000,640800000,726300000,745600000,811661000,928653000,1111765000,1033094000,1150447000,1156278000,1206694000,1229174000
48,Accounts Payable,13800000,15300000,17700000,16600000,17100000,19000000,18500000,21386000,21500000,20000000,24200000,28000000,35691000,40300000,37500000,50100000,55200000,47200000,38974000,44709000,36262000,30629000,37840000,39210000,55904000,52784000
49,Short-Term Debt,4300000,4500000,- -,- -,7500000,- -,7000000,12592000,9597000,10149000,11902000,13442000,11470000,22206000,29974000,11743000,11458000,10373000,10216000,10065000,16320000,4826000,3536000,1696000,1001000,906000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12092000,359000,2983000,5288000,- -,- -,17446000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,10030000,9100000,11450000,11830000,- -,19635000,28356000,23770000,25474000,38419000,- -,30391000,95382000,110282000,76055000,82597000,- -,- -
52,Other Current Liabilities,15600000,16400000,23000000,24800000,27200000,29500000,32500000,23452000,17873000,13151000,17348000,22528000,55554000,21559000,22170000,21887000,48568000,34208000,71911000,46772000,-64513000,-81058000,-9593000,-48596000,36278000,36407000
53,Total Current Liabilities,33700000,36200000,40700000,41400000,51800000,48500000,58000000,57430000,59000000,52400000,64900000,75800000,102715000,103700000,118000000,107500000,140700000,130200000,121101000,131937000,83451000,64679000,107838000,74907000,93183000,90097000
54,Long-Term Debt,59200000,59900000,71000000,79900000,112600000,111200000,108000000,95652000,80400000,72800000,92000000,99400000,85680000,116000000,104700000,76400000,64800000,54600000,50877000,40795000,9250000,6113000,2554000,858000,2387000,1472000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,7700000,10000000,- -,- -,- -,- -,- -,14744000,- -,- -,- -,- -,21756000,- -,- -,- -,38405000,38419000,40502000,45614000,95382000,110282000,76055000,82597000,92768000,114408000
57,Other Non-Current Liabilities,1500000,1600000,11900000,11800000,6100000,8900000,9200000,1481000,22000000,22500000,40400000,33600000,13718000,31100000,30700000,38000000,3295000,4681000,4436000,6743000,8407000,9333000,10667000,11292000,8681000,10416000
58,Total Non-Current Liabilities,68400000,71500000,82900000,91700000,118700000,120100000,117200000,111877000,102400000,95300000,132400000,133000000,121154000,147100000,135400000,114400000,106500000,97700000,95815000,93152000,113039000,125728000,89276000,94747000,103836000,126296000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3388000,2378000
61,Total Liabilities,102100000,107700000,123600000,133100000,170500000,168600000,175200000,169307000,161400000,147700000,197300000,208800000,223869000,250800000,253400000,221900000,247200000,227900000,216916000,225089000,196490000,190407000,197114000,169654000,197019000,216393000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,200000,200000,200000,200000,200000,188000,400000,400000,400000,400000,375000,400000,400000,400000,400000,400000,375000,751000,751000,751000,751000,751000,751000,751000
64,Retained Earnings,47100000,61900000,67000000,71500000,53500000,59800000,48600000,60212000,125900000,114400000,112200000,147700000,267616000,320600000,365800000,406400000,466200000,498700000,572874000,679969000,890440000,816046000,924918000,954527000,975147000,975977000
65,Other Comprehensive Income/Loss,-58500000,-65800000,-70000000,-74400000,-89000000,-103600000,-116500000,-129479000,-143600000,-153900000,-163600000,-182700000,-852000,- -,-256600000,-320000,-222000,166000,561000,22000,-48000,-128000,-693000,355000,79000,-558000
66,Other Total Stockholders Equity,59300000,78500000,82300000,83300000,96700000,109800000,122200000,135164000,157465000,160955000,170775000,190339000,8541000,11051000,268329000,12426000,12747000,18466000,20023000,22822000,24132000,26018000,28357000,30991000,33698000,36611000
67,Total Stockholders Equity,47900000,74600000,79500000,80600000,61400000,66200000,54500000,66085000,140165000,121855000,119775000,155739000,275680000,332051000,377929000,418906000,479125000,517732000,593833000,703564000,915275000,842687000,953333000,986624000,1009675000,1012781000
68,Total Liabilities And Stockholders Equity,150000000,182300000,203100000,213700000,231900000,234800000,229700000,235392000,301565000,269555000,317075000,364539000,499549000,582851000,631329000,640806000,726325000,745632000,810749000,928653000,1111765000,1033094000,1150447000,1156278000,1206694000,1229174000
69,Minority Interest,- -,- -,100000,- -,- -,- -,- -,- -,35000,-55000,25000,61000,1687000,-51000,-29000,-6000,-25000,-32000,912000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,150000000,182300000,203200000,213700000,231900000,234800000,229700000,235392000,301600000,269500000,317100000,364600000,501236000,582800000,631300000,640800000,726300000,745600000,811661000,928653000,1111765000,1033094000,1150447000,1156278000,1206694000,1229174000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/16160/000001616097000002/0000016160-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/16160/000001616098000003/0000016160-98-000003-index.html,https://www.sec.gov/Archives/edgar/data/16160/000090445699000086/0000904456-99-000086-index.html,https://www.sec.gov/Archives/edgar/data/16160/000090445600000047/0000904456-00-000047-index.html,- -,https://www.sec.gov/Archives/edgar/data/16160/000089706902000611/0000897069-02-000611-index.html,- -,https://www.sec.gov/Archives/edgar/data/16160/000089706904001485/0000897069-04-001485-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000089706905001989/0000897069-05-001989-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420406034408/0001144204-06-034408-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420407044438/0001144204-07-044438-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420408043734/0001144204-08-043734-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420409042014/0001144204-09-042014-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420410040719/0001144204-10-040719-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420411043870/0001144204-11-043870-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420412043035/0001144204-12-043035-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000114420413042925/0001144204-13-042925-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000001616014000015/0000016160-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000001616015000019/0000016160-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000001616016000061/0000016160-16-000061-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000001616017000017/0000016160-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000001616018000071/0000016160-18-000071-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000001616019000048/0000016160-19-000048-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000001616020000078/0000016160-20-000078-index.htm,https://www.sec.gov/Archives/edgar/data/16160/000156276221000265/0001562762-21-000265-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10900000,14800000,5400000,5100000,-17400000,6800000,-10600000,12212000,66400000,-10400000,-1000000,36700000,151861000,79500000,67800000,60800000,89700000,50400000,109207000,161254000,316041000,-74278000,125932000,54229000,18391000,2060000
74,Depreciation and Amortization,10400000,10600000,12000000,12200000,15806000,17542000,17310000,16624000,16842000,16441000,20569000,21476000,25320000,28076000,31785000,30754000,30752000,34173000,37203000,40708000,44592000,49113000,54026000,54650000,58103000,59477000
75,Deferred Income Tax,4700000,2900000,800000,-100000,-4711000,3406000,241000,7035000,3550000,-710000,985000,1205000,3659000,11035000,2066000,10354000,5330000,-5747000,7625000,5108000,19392000,14833000,-33809000,6123000,10281000,22351000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2722000,-533000,-2392000,-702000,411000,1273000,2268000,3071000,3427000,3467000,3619000,3617000,3778000
77,Change in Working Capital,-1100000,18600000,11300000,-8100000,-30000000,9800000,-11000000,10449000,65151000,-19300000,-12800000,19700000,41050000,16450000,82200000,27300000,54000000,-16800000,39592000,52735000,165805000,-171305000,108155000,13164000,-63778000,766000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3580000,13106000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-2600000,1200000,3700000,6000000,1420000,-3209000,1014000,-4897000,-756000,3624000,2136000,47000,-14558000,-2911000,5311000,-16112000,-7137000,-6377000,8909000,-143000,-8539000,2386000,-7952000,-2285000,-9704000,-31159000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8137000,6486000,-8508000,- -,- -,-14338000,- -,- -
81,Other Working Capital,26700000,45300000,56600000,48500000,18500000,28300000,17300000,27749000,92900000,73600000,60800000,80500000,121550000,138000000,220200000,247500000,301500000,284700000,324292000,377027000,542832000,371527000,479682000,492846000,429068000,429834000
82,Other Non-Cash Items,400000,-14400000,-4600000,15000000,25239000,-7125000,4313000,-15589000,-66805000,23583000,13177000,-19357000,-63474000,-21057000,-66650000,-64506000,-81022000,-4899000,-70980000,-66743000,-167063000,128894000,-57356000,-16700000,46995000,-62296000
83,Cash Provided by Operating Activities,25300000,32500000,24900000,24100000,-11066000,30423000,264000,30731000,85138000,9614000,20931000,59724000,158416000,111282000,116668000,62310000,98058000,57538000,123920000,195330000,381838000,-49316000,200415000,115085000,73609000,26136000
84,CAPEX,-8800000,-16200000,-18600000,-28100000,-27922000,-14060000,-15552000,-12546000,-10673000,-11977000,-12372000,-23472000,-31686000,-26112000,-20786000,-20742000,-26845000,-26290000,-59188000,-82263000,-76125000,-66657000,-19671000,-67989000,-124178000,-95069000
85,Acquisitions Net,- -,- -,- -,- -,-35578000,- -,- -,- -,- -,- -,-23756000,-12053000,- -,-91223000,-508000,- -,- -,-74907000,-11548000,-8160000,-33959000,-105722000,-4100000,-22162000,-44650000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-36352000,-89499000,-60823000,-43250000,-122825000,-22349000,-83529000,-157422000,-160768000,-181721000,-142585000,-202506000,-403204000,-29849000,-275287000,-176951000,-107234000,-88283000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,75581000,71207000,28750000,120175000,17062000,36322000,137238000,121148000,188110000,108117000,146779000,292452000,251690000,127664000,209806000,204277000,129108000
88,Other Investing Activites,1200000,-4400000,500000,1300000,3529000,1102000,1177000,734000,2999000,2238000,2878000,754000,3001000,128000,6950000,10321000,39416000,6470000,5821000,4518000,8287000,6670000,7544000,9479000,10420000,10053000
89,Cash Used for Investing Activites,-7600000,-20600000,-18100000,-26800000,-59971000,-12958000,-14375000,-11812000,-44026000,-23657000,-22866000,-49271000,-31335000,-122494000,-61551000,-30605000,-27049000,-88338000,-99383000,-141632000,-212549000,56132000,-163850000,-47817000,-61365000,-44191000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37583000,-33816000,-49160000,-11941000,-11200000,-10745000,-10233000,-25290000,-16510000,-4849000,-3754000,-1696000,-205000
91,Common Stock Issued,- -,10600000,100000,- -,47795000,- -,- -,- -,8384000,314000,103000,262000,626000,427000,- -,- -,318000,380000,279000,531000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-500000,-400000,-300000,-3500000,-1241000,-1374000,-571000,- -,- -,-9344000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1760000,-1715000,-1128000,-985000,-910000,-871000
93,Dividends Paid,- -,- -,-300000,-600000,-611000,-607000,-591000,- -,-746000,-1184000,-1170000,-1172000,-19650000,-35268000,-19039000,-24883000,-19937000,-30524000,-24534000,-48910000,-120942000,- -,- -,-41713000,- -,-1652000
94,Other Financing Activites,-16300000,-2300000,11100000,1900000,-4563000,-8896000,7022000,-17705000,-18213000,-7037000,-3924000,-7806000,-28231000,55661000,30308000,564000,- -,- -,- -,-940000,-918000,-73000,279000,- -,-755000,5000
95,Cash Used/Provided by Financing Activities,-16800000,7900000,10600000,-2200000,41380000,-10877000,5860000,-17705000,-10575000,-17251000,-4991000,-8716000,-47255000,-16763000,-22547000,-73479000,-31560000,-41344000,-35000000,-59552000,-148910000,-18298000,-5698000,-46452000,-3361000,-2723000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-16800000,7900000,10600000,-4900000,-29657000,6588000,-8251000,1214000,30537000,-31294000,-6926000,1737000,79826000,-27975000,32570000,-41774000,39449000,-72144000,-10463000,-5854000,20379000,-11482000,30867000,20816000,8883000,-20778000
98,Cash at the End of Period,- -,- -,- -,36200000,6541000,13129000,4878000,6092000,36629000,20221000,13295000,15032000,94858000,66883000,99453000,57679000,97128000,24984000,14521000,8667000,29046000,17564000,48431000,69247000,78130000,57352000
99,Cash at the Beginning of Period,3100000,4000000,23700000,41100000,36198000,6541000,13129000,4878000,6092000,51515000,20221000,13295000,15032000,94858000,66883000,99453000,57679000,97128000,24984000,14521000,8667000,29046000,17564000,48431000,69247000,78130000
100,Free Cash Flow,16500000,16300000,6300000,-4000000,-38988000,16363000,-15288000,18185000,74465000,-2363000,8559000,36252000,126730000,85170000,95882000,41568000,71213000,31248000,64732000,113067000,305713000,-115973000,180744000,47096000,-50569000,-68933000
