,https://roic.ai/company/HBP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,114582000,6600000,15000000,173000000,157900000,165100000,153100000,180400000,209900000,172500000,150300000,104200000,103300000,98400000,97800000,104800000,114300000,119200000,128500000,155700000,167500000,165600000,145600000,155000000
11,COGS and Expenses,678818000,774200000,1036000000,922000000,860600000,898100000,909500000,1065100000,1106800000,882300000,698900000,475300000,485800000,488500000,518200000,555200000,615400000,645500000,691200000,753100000,840600000,815600000,778500000,884000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,11000000,10000000,9400000,6500000,4600000,4600000,5300000,4200000,- -,1500000,2100000,2800000,2900000,2600000,2500000,2300000,2200000,3100000,6500000,6600000,3600000,2000000
14,Depreciation and Amortization,5586000,6600000,15000000,9000000,7200000,7400000,5700000,6000000,6200000,4800000,4500000,4400000,3600000,2800000,2700000,2800000,3100000,3000000,3900000,4900000,5400000,5700000,5200000,4000
15,EBITDA,27407000,21000000,48000000,28200000,5500000,19300000,37400000,39400000,1500000,-2900000,-34900000,-17400000,-13600000,-7900000,5100000,8700000,7800000,14100000,29600000,4100000,4100000,2100000,8000000,52004000
16,EBITDA ratio,0.0387,0.0262,0.0447,0.0298,0.0063,0.0212,0.0399,0.0359,0.0014,-0.0033,-0.0520,-0.0382,-0.0291,-0.0165,0.0098,0.0155,0.0125,0.0214,0.0415,0.0054,0.0049,0.0026,0.0101,0.0555
17,Operating Income,28632000,26100000,37000000,21000000,10900000,11200000,28900000,32100000,-4100000,-7500000,-36600000,-21100000,-17700000,-10200000,2800000,6300000,8300000,14500000,22700000,100000,-900000,-3600000,2800000,53800000
18,Operating Income ratio,0.0405,0.0326,0.0345,0.0222,0.0125,0.0123,0.0308,0.0293,-0.0037,-0.0086,-0.0545,-0.0464,-0.0378,-0.0213,0.0054,0.0112,0.0133,0.0220,0.0318,0.0001,-0.0011,-0.0044,0.0035,0.0574
19,Total Other Income Expenses (Gains),-6781000,-11700000,-14000000,-11800000,-9200000,-5800000,-5100000,-4600000,-5900000,-4200000,-2600000,-1500000,-2100000,-2800000,-2900000,-2600000,-2500000,-2300000,-2200000,-3100000,-6500000,-6600000,-3600000,-2800000
20,Income Before Tax,21851000,14400000,23000000,9200000,1700000,5400000,23800000,27500000,-10000000,-11700000,-39200000,-22600000,-19800000,-13000000,-100000,3700000,5800000,12200000,20500000,-3000000,-7400000,-10200000,-800000,51000000
21,Income Before Tax Ratio,0.0309,0.0180,0.0214,0.0097,0.0020,0.0059,0.0254,0.0251,-0.0091,-0.0134,-0.0584,-0.0496,-0.0423,-0.0272,-0.0002,0.0066,0.0093,0.0185,0.0287,-0.0040,-0.0088,-0.0126,-0.0010,0.0544
22,Income Tax expense (Gain),8225000,5900000,9000000,3500000,600000,2000000,8200000,10400000,-2300000,-3700000,-4000000,-2800000,-400000,-300000,- -,100000,- -,-17200000,7200000,3200000,-1400000,11100000,100000,2000000
23,Net Income,13596000,8500000,13000000,5700000,-11700000,3400000,18900000,18400000,-7700000,-8200000,-35400000,-20500000,-18900000,-13200000,-500000,3200000,2200000,26000000,16300000,-7100000,-6400000,-21300000,-900000,48000000
24,Net Income ratio,0.0192,0.0106,0.0121,0.0060,-0.0134,0.0037,0.0201,0.0168,-0.0070,-0.0094,-0.0528,-0.0450,-0.0404,-0.0276,-0.0010,0.0057,0.0035,0.0394,0.0228,-0.0094,-0.0076,-0.0262,-0.0011,0.0512
25,EPS,0.97,0.59,0.66,0.28,-0.59,0.17,0.97,0.92,-0.38,-0.40,-1.69,-0.97,-0.88,-0.60,-0.02,0.13,0.09,1.04,0.64,-0.29,-0.26,-0.84,-0.03,1.77
26,EPS Diluted,0.97,0.59,0.66,0.28,-0.59,0.17,0.95,0.90,-0.38,-0.40,-1.69,-0.97,-0.88,-0.60,-0.02,0.13,0.09,1.04,0.64,-0.29,-0.26,-0.84,-0.03,1.77
27,Weighted Average Shares Outstanding,13972955,14259922,20584000,20300000,19700000,19500000,19484536,20000000,20263158,20500000,20923000,21190000,21547394,22160455,22891676,22800000,23500000,24100000,24500000,24900000,25100000,25400000,26000000,27500000
28,Weighted Average Shares Outstanding Diluted,13972955,14259922,20597000,20400000,19800000,19500000,19894737,20444444,20263158,20500000,20923000,21190000,21547394,22160455,22891676,22800000,23500000,24100000,24500000,24900000,25100000,25400000,26000000,27500000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1093082/000119312504037383/0001193125-04-037383-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000119312505049630/0001193125-05-049630-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000119312506049775/0001193125-06-049775-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000119312507056484/0001193125-07-056484-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000095013708003075/0000950137-08-003075-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000095013709001527/0000950137-09-001527-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000095012310018154/0000950123-10-018154-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000095012311017497/0000950123-11-017497-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000119312512076962/0001193125-12-076962-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000119312513069639/0001193125-13-069639-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000119312514059070/0001193125-14-059070-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000119312515065832/d840430d10k.htm,https://www.sec.gov/Archives/edgar/data/1093082/000156459016013424/0001564590-16-013424-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459017003236/0001564590-17-003236-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459018004735/0001564590-18-004735-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459019006307/0001564590-19-006307-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459020008427/0001564590-20-008427-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459021010338/0001564590-21-010338-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000156459022008528/0001564590-22-008528-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9423000,6800000,4000000,5600000,3400000,5000000,1900000,1400000,6100000,1800000,2800000,1300000,800000,700000,2300000,600000,500000,300000,300000,300000,800000,2200000,300000,3000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9423000,6800000,4000000,5600000,3400000,5000000,1900000,1400000,6100000,1800000,2800000,1300000,800000,700000,2300000,600000,500000,300000,300000,300000,800000,2200000,300000,3000000
34,Net Receivables,67028000,116600000,84000000,74000000,66800000,70900000,73100000,85300000,68900000,56100000,33000000,41800000,37100000,39400000,41700000,43800000,48900000,56300000,59300000,66800000,69000000,60500000,69300000,88000000
35,Inventory,43130000,78100000,72000000,70100000,84400000,79600000,74200000,99700000,97300000,88700000,59400000,45100000,46200000,44800000,55000000,66700000,67400000,64300000,81000000,111900000,134000000,139400000,105700000,128000000
36,Other Current Assets,17683000,4100000,3000000,9500000,8100000,7000000,15700000,15700000,11700000,13600000,5500000,7800000,4300000,4300000,7300000,7200000,7800000,7300000,9500000,11400000,14700000,12800000,10600000,20000000
37,Total Current Assets,137264000,205600000,163000000,159200000,162700000,162500000,164900000,202100000,184000000,160200000,100700000,96000000,88400000,89200000,106300000,118300000,124600000,128200000,150100000,190400000,218500000,214900000,185900000,239000000
38,PP&E,37308000,39500000,40000000,41500000,41600000,39300000,30300000,36400000,30000000,26600000,24400000,20900000,17900000,17200000,15600000,16600000,16900000,17200000,24900000,29500000,33300000,72100000,62300000,65000000
39,Goodwill,40783000,- -,- -,- -,- -,- -,- -,- -,19100000,18300000,9600000,8600000,8600000,8200000,6300000,6300000,6300000,6300000,9500000,9500000,9500000,9500000,- -,- -
40,Intangible Assets,- -,39000000,37000000,34300000,13600000,13600000,13600000,19100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,- -,- -,- -,- -,- -
41,Intangible Assets,40783000,39000000,37000000,34300000,13600000,13600000,13600000,19100000,19100000,18300000,9600000,8600000,8600000,8200000,6300000,6300000,6300000,6300000,9500000,9500000,9500000,9500000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,104000,- -,- -,7200000,11600000,7600000,2100000,1300000,2300000,2500000,8000000,8200000,8200000,- -,7100000,7900000,8000000,24000000,10300000,9700000,11100000,- -,- -,- -
44,Other Non-Current Assets,3003000,17300000,9000000,4100000,4000000,3000000,4100000,7900000,5800000,5100000,3300000,2500000,3000000,10400000,2200000,1900000,2200000,1700000,7500000,6800000,5600000,5000000,4400000,5000000
45,Total Non-Current Assets,81198000,95800000,86000000,87100000,70800000,63500000,50100000,64700000,57200000,52500000,45300000,40200000,37700000,35800000,31200000,32700000,33400000,49200000,52200000,55500000,59500000,86600000,66700000,70000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,218462000,301400000,249000000,246300000,233500000,226000000,215000000,266800000,241200000,212700000,146000000,136200000,126100000,125000000,137500000,151000000,158000000,177400000,202300000,245900000,278000000,301500000,252600000,309000000
48,Accounts Payable,54424000,72500000,63000000,66900000,76700000,63600000,58900000,88500000,62100000,50100000,23500000,25900000,26100000,28300000,31200000,40300000,39400000,43600000,47200000,51000000,51500000,56800000,53100000,66000000
49,Short-Term Debt,- -,300000,- -,900000,900000,1400000,5500000,9700000,2900000,1200000,400000,600000,200000,400000,600000,1200000,1300000,1200000,1000000,1200000,1800000,1700000,1700000,31000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,19961000,36500000,23000000,19700000,17000000,20800000,25700000,26200000,19700000,27500000,25600000,22200000,23700000,23100000,25500000,24500000,25400000,24200000,21900000,22900000,23000000,31000000,34800000,19000000
53,Total Current Liabilities,74385000,109300000,86000000,87500000,94600000,85800000,90100000,124400000,84700000,78800000,49500000,48700000,50000000,51800000,57300000,66000000,66100000,69000000,70100000,75100000,76300000,89500000,89600000,116000000
54,Long-Term Debt,1379000,121800000,81000000,72700000,67000000,66400000,32000000,23500000,42800000,25400000,23700000,34800000,41900000,52200000,59200000,60800000,62400000,47400000,54500000,101800000,137100000,135100000,92400000,96000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,101243000,3000000,1000000,7000000,3700000,1600000,1900000,4000000,4000000,4200000,2500000,2000000,1600000,1100000,1900000,1300000,3800000,8100000,7200000,2500000,2600000,34000000,27300000,4000000
58,Total Non-Current Liabilities,102622000,124800000,82000000,79700000,70700000,68000000,33900000,27500000,46800000,29600000,26200000,36800000,43500000,53300000,61100000,62100000,66200000,55500000,61700000,104300000,139700000,169100000,119700000,100000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41300000,34000000,- -
61,Total Liabilities,177007000,234100000,168000000,167200000,165300000,153800000,124000000,151900000,131500000,108400000,75700000,85500000,93500000,105100000,118400000,128100000,132300000,124500000,131800000,179400000,216000000,258600000,209300000,216000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,200000,- -,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,300000,300000,300000,300000,300000,- -
64,Retained Earnings,40699000,35400000,49000000,54800000,43000000,46400000,65300000,83700000,76000000,68200000,32800000,12300000,-6600000,-19800000,-20300000,-17100000,-14900000,11100000,27400000,22100000,15700000,-5600000,-6500000,42000000
65,Other Comprehensive Income/Loss,-33746000,-33200000,-33000000,-36600000,-37300000,-37400000,-31000000,-34800000,-40700000,-39200000,-40100000,-42300000,-40500000,-41900000,-43700000,-46100000,-48800000,-50900000,-53300000,-56400000,-60000000,-64400000,- -,- -
66,Other Total Stockholders Equity,34492000,64900000,65000000,60700000,62300000,63000000,56500000,65800000,74200000,75100000,77400000,80500000,79500000,81400000,82900000,85900000,89200000,92500000,96100000,100500000,106000000,112600000,49500000,51000000
67,Total Stockholders Equity,41455000,67300000,81000000,79100000,68200000,72200000,91000000,114900000,109700000,104300000,70300000,50700000,32600000,19900000,19100000,22900000,25700000,52900000,70500000,66500000,62000000,42900000,43300000,93000000
68,Total Liabilities And Stockholders Equity,218462000,301400000,249000000,246300000,233500000,226000000,215000000,266800000,241200000,212700000,146000000,136200000,126100000,125000000,137500000,151000000,158000000,177400000,202300000,245900000,278000000,301500000,252600000,309000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,218462000,301400000,249000000,246300000,233500000,226000000,215000000,266800000,241200000,212700000,146000000,136200000,126100000,125000000,137500000,151000000,158000000,177400000,202300000,245900000,278000000,301500000,252600000,309000000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1093082/000119312504037383/0001193125-04-037383-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000119312505049630/0001193125-05-049630-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000119312506049775/0001193125-06-049775-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000119312507056484/0001193125-07-056484-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000095013708003075/0000950137-08-003075-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000095013709001527/0000950137-09-001527-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000095012310018154/0000950123-10-018154-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000095012311017497/0000950123-11-017497-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000119312512076962/0001193125-12-076962-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000119312513069639/0001193125-13-069639-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000119312514059070/0001193125-14-059070-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000119312515065832/d840430d10k.htm,https://www.sec.gov/Archives/edgar/data/1093082/000156459016013424/0001564590-16-013424-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459017003236/0001564590-17-003236-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459018004735/0001564590-18-004735-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459019006307/0001564590-19-006307-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459020008427/0001564590-20-008427-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459021010338/0001564590-21-010338-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000156459022008528/0001564590-22-008528-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,13596000,8500000,13000000,5700000,-11700000,3400000,18900000,18400000,-7700000,-8200000,-35400000,-20500000,-18900000,-13200000,-500000,3200000,2200000,26000000,16300000,-7100000,-6400000,-21300000,-900000,48000000
74,Depreciation and Amortization,5586000,6600000,15000000,9000000,7200000,7400000,5700000,6000000,6200000,4800000,4500000,4400000,3600000,2800000,2700000,2800000,3100000,3000000,3900000,4900000,5400000,5700000,5200000,4000
75,Deferred Income Tax,-102000,3000000,7000000,1400000,5300000,500000,3800000,2400000,-1400000,- -,-4100000,1100000,- -,- -,- -,- -,- -,-19100000,8800000,2400000,-1300000,11100000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,900000,800000,500000,800000,1000000,1400000,1800000,1700000,2200000,2300000,2300000,1300000,1000
77,Change in Working Capital,19982000,33421000,-19300000,-5300000,-3600000,8600000,-1900000,2900000,21600000,-17900000,-30200000,-3900000,-8900000,-1000000,11600000,3300000,6200000,700000,20800000,35300000,26900000,-16800000,-29100000,26700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,-2300000,-2300000,-2100000,-4600000,-7800000,-1500000,-7500000,-2200000,8500000,-8800000,-19000
79,Inventory,2081000,5100000,7000000,2400000,-14300000,4800000,-7900000,-17200000,2400000,8600000,29300000,14300000,-1100000,1400000,-10200000,-11700000,-700000,1500000,-14600000,-30900000,-22100000,-5400000,33700000,-23000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,9100000,-1400000,4200000,2700000,3800000,500000,5300000,-3700000,13000
81,Other Working Capital,62879000,96300000,77000000,71700000,68100000,76700000,74800000,77700000,99300000,81400000,51200000,47300000,38400000,37400000,49000000,52300000,58500000,59200000,80000000,115300000,142200000,125400000,96300000,123000000
82,Other Non-Cash Items,-4828000,-28821000,18300000,12300000,13600000,-15500000,-21400000,-14900000,-17400000,35100000,67500000,4600000,16300000,2800000,-18900000,-9100000,-9100000,4700000,-34500000,-75800000,-53900000,25200000,66100000,-74677000
83,Cash Provided by Operating Activities,34234000,22700000,34000000,23100000,10800000,4400000,5100000,14800000,1300000,13800000,3600000,-13400000,-7100000,-8100000,-4300000,1200000,3800000,17100000,17000000,-38100000,-27000000,6200000,42600000,28000
84,CAPEX,-5765000,-8500000,-6000000,-3300000,-6600000,-2700000,-3100000,-6500000,-8200000,-3000000,-2000000,-900000,-800000,-2000000,-1900000,-2200000,-1800000,-2800000,-4100000,-6100000,-7800000,-1700000,-1700000,-1000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-42896000,2500000,10000000,-300000,1500000,1700000,26900000,2600000,200000,4000000,-500000,1400000,1400000,-2000000,1400000,-2200000,-1800000,-300000,-4400000,-6100000,-6600000,-1700000,-1500000,- -
89,Cash Used for Investing Activites,-42896000,-6000000,4000000,-3600000,-5100000,-1000000,23800000,-7900000,-8000000,1000000,-500000,1400000,1400000,-2000000,1400000,-2200000,-1800000,-300000,-21400000,-6100000,-6600000,-1700000,-1500000,- -
90,Debt Repayment,-376000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-244000000,-138000000,-199000000,-133200000,-144600000,-157700000,-206900000,-185500000,-199500000,-148400000,-255300000,-277500000,-215600000,-24000
91,Common Stock Issued,- -,- -,- -,- -,500000,- -,- -,3000000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-6700000,-1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,-400000,-800000,-600000,-400000,-900000,-400000,-100000,- -,- -
93,Dividends Paid,- -,-13700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,16251000,-5600000,-41000000,-10800000,-7300000,-1800000,-32000000,-10400000,10300000,-19100000,241900000,148500000,204200000,143200000,150200000,157400000,205600000,169100000,204300000,193500000,289800000,274500000,172600000,- -
95,Cash Used/Provided by Financing Activities,15875000,-19300000,-41000000,-17500000,-7900000,-1800000,-32000000,-7400000,11400000,-19100000,-2100000,10500000,5200000,10000000,4500000,-700000,-2100000,-17000000,4400000,44200000,34100000,-3100000,-43000000,-24000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,7213000,-2600000,-3000000,2000000,-2200000,1600000,-3100000,-500000,4700000,-4300000,1000000,-1500000,-500000,-100000,1600000,-1700000,-100000,-200000,- -,- -,500000,1400000,-1900000,3000
98,Cash at the End of Period,9423000,6800000,4000000,5600000,3400000,5000000,1900000,1400000,6100000,1800000,2800000,1300000,800000,700000,2300000,600000,500000,300000,300000,300000,800000,2200000,300000,3000
99,Cash at the Beginning of Period,2210000,9400000,7000000,3600000,5600000,3400000,5000000,1900000,1400000,6100000,1800000,2800000,1300000,800000,700000,2300000,600000,500000,300000,300000,300000,800000,2200000,- -
100,Free Cash Flow,28469000,14200000,28000000,19800000,4200000,1700000,2000000,8300000,-6900000,10800000,1600000,-14300000,-7900000,-10100000,-6200000,-1000000,2000000,14300000,12900000,-44200000,-34800000,4500000,40900000,27000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1093082/000119312504037383/0001193125-04-037383-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000119312505049630/0001193125-05-049630-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000119312506049775/0001193125-06-049775-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000119312507056484/0001193125-07-056484-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000095013708003075/0000950137-08-003075-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000095013709001527/0000950137-09-001527-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000095012310018154/0000950123-10-018154-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000095012311017497/0000950123-11-017497-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000119312512076962/0001193125-12-076962-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000119312513069639/0001193125-13-069639-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000119312514059070/0001193125-14-059070-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000119312515065832/d840430d10k.htm,https://www.sec.gov/Archives/edgar/data/1093082/000156459016013424/0001564590-16-013424-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459017003236/0001564590-17-003236-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459018004735/0001564590-18-004735-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459019006307/0001564590-19-006307-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459020008427/0001564590-20-008427-index.html,https://www.sec.gov/Archives/edgar/data/1093082/000156459021010338/0001564590-21-010338-index.htm,https://www.sec.gov/Archives/edgar/data/1093082/000156459022008528/0001564590-22-008528-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
