,https://roic.ai/company/HSY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,445100000,504500000,598200000,627400000,720700000,850600000,899900000,1055300000,1148600000,1163100000,1187700000,1257600000,1335900000,1326100000,1221100000,1127175000,1269964000,833426000,808112000,847540000,912986000,860378000,895874000,1073019000,1208672000,1426477000,1477750000,1703796000,1922508000,1900970000,1969308000,1915378000,1913403000,1874829000,1905929000,1890925000,2001351000
11,COGS and Expenses,1751200000,1899000000,2139700000,1902000000,2110600000,2365100000,2508900000,2791600000,3031000000,3131700000,3180100000,3426200000,3672000000,3793000000,3412500000,3598326000,3935530000,3394478000,3352838000,3527071000,3878526000,3937096000,4211021000,4448069000,4454203000,4682278000,5026646000,5488166000,5787739000,5986572000,5973259000,6197668000,5984310000,6090573000,6269703000,6339375000,6924090000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1802000,877000,1270000,2597000,2940000,3158000,4066000,3536000,1805000,1784000,8021000,7997000,4097000,2429000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99678000,91336000,97704000,94780000,98509000,91514000,87598000,80983000,91948000,100066000,146858000,152122000,153471000,129846000
14,Depreciation and Amortization,49600000,59000000,70600000,51900000,65700000,73900000,85400000,97100000,113100000,129000000,133900000,133500000,152800000,158200000,163300000,175964000,190494000,177908000,180567000,189665000,218032000,199911000,310925000,249491000,182411000,197116000,215763000,210037000,201033000,211532000,244928000,301837000,261853000,295144000,291544000,294907000,315002000
15,EBITDA,274000000,319900000,340000000,357400000,355700000,435400000,448800000,498100000,520000000,462100000,599800000,613300000,706800000,715200000,891200000,722603000,534035000,815473000,906026000,1025309000,990958000,1076413000,651167000,841191000,944878000,1103684000,1273388000,1324125000,1543866000,1605173000,1227758000,1493266000,1499031000,1858574000,1827390000,1946670000,2236765000
16,EBITDA ratio,0.1373,0.1474,0.1397,0.1649,0.1469,0.1603,0.1548,0.1547,0.1491,0.1281,0.1625,0.1537,0.1643,0.1612,0.2244,0.1712,0.1172,0.1979,0.2171,0.2315,0.2049,0.2177,0.1316,0.1639,0.1783,0.1946,0.2094,0.1993,0.2160,0.2163,0.1662,0.2007,0.1995,0.2386,0.2288,0.2389,0.2493
17,Operating Income,245000000,270600000,294100000,266000000,310400000,350500000,390300000,428200000,457200000,474600000,510600000,563100000,630200000,642600000,558400000,622650000,621711000,698287000,796356000,902177000,860911000,992558000,458827000,589898000,761590000,905298000,1055028000,1156086000,1358340000,1435196000,1037759000,1205783000,1274641000,1623664000,1595952000,1782698000,2043722000
18,Operating Income ratio,0.1227,0.1247,0.1208,0.1227,0.1282,0.1291,0.1346,0.1330,0.1311,0.1316,0.1383,0.1412,0.1465,0.1449,0.1406,0.1475,0.1364,0.1695,0.1909,0.2037,0.1780,0.2008,0.0928,0.1149,0.1437,0.1596,0.1735,0.1740,0.1901,0.1934,0.1405,0.1621,0.1696,0.2084,0.1998,0.2187,0.2278
19,Total Other Income Expenses (Gains),-12100000,-9700000,-24700000,-29900000,-20400000,11000000,-26900000,-27200000,53600000,-141500000,-44700000,-83300000,-76200000,-85600000,169500000,-76011000,-278170000,-60722000,-63529000,-66533000,-87985000,-116056000,-118585000,-97876000,-90459000,-96434000,-92183000,-140507000,-107021000,-129153000,-135912000,-106302000,-163973000,-213603000,-215168000,-287701000,-246498000
20,Income Before Tax,232900000,260900000,269400000,236100000,290000000,361500000,363400000,401000000,510800000,333100000,465900000,479800000,554000000,557000000,727900000,546639000,343541000,637565000,732827000,835644000,772926000,876502000,340242000,492022000,671131000,808864000,962845000,1015579000,1251319000,1306043000,901847000,1099481000,1110668000,1410061000,1380784000,1494997000,1797224000
21,Income Before Tax Ratio,0.1167,0.1203,0.1107,0.1089,0.1198,0.1331,0.1253,0.1245,0.1464,0.0924,0.1262,0.1203,0.1288,0.1256,0.1833,0.1295,0.0754,0.1547,0.1756,0.1887,0.1598,0.1773,0.0688,0.0959,0.1267,0.1426,0.1583,0.1529,0.1751,0.1760,0.1221,0.1478,0.1478,0.1810,0.1729,0.1834,0.2003
22,Income Tax expense (Gain),112300000,128100000,121200000,91600000,118900000,145600000,143900000,158400000,213600000,148900000,184000000,206600000,217700000,216100000,267600000,212096000,136385000,233987000,267875000,244765000,279682000,317441000,126088000,180617000,235137000,299065000,333883000,354648000,430849000,459131000,388896000,379437000,354131000,239010000,234032000,219584000,314405000
23,Net Income,112100000,132800000,148200000,213900000,171100000,215900000,219500000,242600000,193300000,184200000,281900000,273200000,336300000,340900000,460300000,334543000,207156000,403578000,457584000,590879000,493244000,559061000,214154000,311405000,435994000,509799000,628962000,660931000,820470000,846912000,512951000,720044000,782981000,1177562000,1149692000,1278708000,1477512000
24,Net Income ratio,0.0562,0.0612,0.0609,0.0987,0.0707,0.0795,0.0757,0.0753,0.0554,0.0511,0.0764,0.0685,0.0782,0.0769,0.1159,0.0793,0.0455,0.0979,0.1097,0.1334,0.1020,0.1131,0.0433,0.0607,0.0823,0.0899,0.1034,0.0995,0.1148,0.1141,0.0694,0.0968,0.1042,0.1511,0.1440,0.1569,0.1647
25,EPS,0.29,0.35,0.41,0.59,0.47,0.59,0.60,0.67,0.54,0.53,0.85,0.89,1.13,1.19,1.65,1.22,0.76,1.48,1.74,2.38,2.07,2.44,0.96,1.37,1.91,2.24,2.78,3.01,3.76,3.91,2.40,3.45,3.79,5.76,5.64,6.30,7.09
26,EPS Diluted,0.29,0.35,0.41,0.59,0.47,0.59,0.60,0.67,0.54,0.53,0.85,0.89,1.11,1.17,1.63,1.21,0.75,1.47,1.73,2.30,1.99,2.34,0.93,1.36,1.90,2.21,2.74,2.89,3.61,3.54,2.32,3.34,3.66,5.58,5.46,6.11,7.09
27,Weighted Average Shares Outstanding,380000000,374084507,361463415,362542373,360210526,362857143,362809917,362089552,361308411,347547170,331647059,308700565,298933333,286470588,279817629,274215574,272573684,272687838,262979310,248268487,238282126,229123361,223077083,227486000,227845000,227740000,226574000,225036000,224176000,222555000,219091000,214139000,212245000,209993000,209455000,208446000,200417568
28,Weighted Average Shares Outstanding Diluted,380000000,374084507,361463415,362542373,360210526,362857143,362809917,362089552,361308411,347547170,338653846,311200000,301614350,291367521,282392638,276481818,276208000,275479863,264499422,256903913,247861307,238914957,230273118,228697000,228995000,230313000,229919000,228337000,227203000,224837000,220651000,215304000,213742000,210989000,271316000,270028000,200417568
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/47111/000004711195000004/0000047111-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711196000010/0000047111-96-000010-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711197000008/0000047111-97-000008-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/47111/000004711101500079/0000047111-01-500079-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711102000069/form10k_2001.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/47111/000119312507037921/d10k.htm,https://www.sec.gov/Archives/edgar/data/47111/000119312508033182/d10k.htm,https://www.sec.gov/Archives/edgar/data/47111/000119312509033670/0001193125-09-033670-index.html,https://www.sec.gov/Archives/edgar/data/47111/000119312510034780/0001193125-10-034780-index.html,https://www.sec.gov/Archives/edgar/data/47111/000119312511039789/d10k.htm,https://www.sec.gov/Archives/edgar/data/47111/000119312512067143/0001193125-12-067143-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711113000007/0000047111-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711114000006/a2013_form10-kxdraftq4.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711115000010/a2014_formx10-k.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711116000095/0000047111-16-000095-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711117000005/0000047111-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711118000011/0000047111-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711119000010/0000047111-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711120000007/0000047111-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711121000007/0000047111-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711122000017/0000047111-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,26700000,32300000,61400000,54200000,39000000,118100000,31969000,134147000,297743000,114793000,54837000,67183000,97141000,129198000,37103000,253605000,884642000,693686000,728272000,1118508000,374854000,346529000,296967000,380179000,587998000,493262000,1143987000,329266000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97131000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,26700000,32300000,61400000,54200000,39000000,118100000,31969000,134147000,297743000,114793000,54837000,67183000,97141000,129198000,37103000,253605000,884642000,693686000,728272000,1118508000,471985000,346529000,296967000,380179000,587998000,493262000,1143987000,329266000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,331700000,326000000,294600000,360800000,451300000,352800000,379680000,361726000,370976000,407612000,408930000,559289000,522673000,487285000,455153000,410390000,390061000,399499000,461383000,477912000,596940000,599073000,581381000,588262000,594145000,568509000,615233000,671464000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,445700000,397600000,475000000,505500000,493200000,602200000,605173000,512134000,503291000,492859000,557180000,610284000,648820000,600185000,592530000,519712000,533622000,648953000,633262000,659541000,801036000,750970000,745678000,752836000,784879000,815251000,964207000,988511000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,144600000,166400000,155200000,114300000,150500000,206900000,278526000,159534000,91608000,116305000,161494000,172184000,149178000,209906000,260159000,201727000,196892000,304420000,290568000,231373000,377086000,152026000,192752000,280633000,272159000,240080000,254478000,256965000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,948700000,922300000,986200000,1034800000,1134000000,1280000000,1295348000,1167541000,1263618000,1131569000,1182441000,1408940000,1417812000,1426574000,1344945000,1385434000,2005217000,2046558000,2113485000,2487334000,2247047000,1848598000,1816778000,2001910000,2239181000,2117102000,2977905000,2246206000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1468400000,1436000000,1601900000,1648200000,1648100000,1510500000,1585388000,1534901000,1486055000,1661939000,1682698000,1659138000,1651300000,1539715000,1458949000,1404767000,1437702000,1559717000,1674071000,1805345000,2151901000,2240460000,2177248000,2106697000,2130294000,2373817000,2509523000,2937899000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501955000,584713000,554677000,571580000,524134000,516745000,588003000,576561000,792955000,684252000,812344000,821061000,1801103000,1985955000,1988215000,2633174000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,453600000,428700000,566000000,551800000,530500000,450200000,474448000,429128000,418351000,427471000,589180000,629964000,140314000,155862000,110772000,125520000,123080000,111913000,214713000,195244000,358093000,447309000,588038000,474037000,1404671000,1495008000,1482887000,2298244000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,453600000,428700000,566000000,551800000,530500000,450200000,474448000,429128000,418351000,427471000,589180000,629964000,642269000,740575000,665449000,697100000,647214000,628658000,802716000,771805000,1151048000,1131561000,1400382000,1295098000,3205774000,3480963000,3471102000,4931418000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93089000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13815000,4353000,21387000,38544000,12448000,- -,- -,36390000,56861000,3023000,1166000,31033000,29369000,40873000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,20300000,43600000,30700000,56400000,91500000,106000000,92580000,115860000,312527000,361561000,343212000,597194000,446184000,540249000,151561000,183377000,161212000,138722000,152119000,293004000,79520000,87362000,73064000,146998000,126605000,137480000,143946000,162746000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1942300000,1908300000,2198600000,2256400000,2270100000,2066700000,2152416000,2079889000,2216933000,2450971000,2615090000,2886296000,2739753000,2820539000,2289774000,2289597000,2267515000,2365641000,2641354000,2870154000,3382469000,3495773000,3707555000,3551816000,5463839000,6023293000,6153940000,8166025000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2891000000,2830600000,3184800000,3291200000,3404100000,3346700000,3447764000,3247430000,3480551000,3582540000,3797531000,4295236000,4157565000,4247113000,3634719000,3675031000,4272732000,4412199000,4754839000,5357488000,5629516000,5344371000,5524333000,5553726000,7703020000,8140395000,9131845000,10412231000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,115400000,127100000,134200000,146900000,156900000,136600000,149232000,133049000,124507000,132222000,148686000,167812000,155517000,223019000,249454000,287935000,410655000,420017000,441977000,461514000,482017000,474266000,522536000,523229000,502314000,550828000,580058000,692338000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,324700000,413700000,315000000,257500000,346000000,211600000,258123000,7926000,28124000,12509000,622320000,819115000,843998000,856392000,501504000,39313000,285480000,139673000,375898000,166875000,635501000,863436000,632714000,859457000,1203316000,764881000,549448000,978559000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15189000,36918000,9402000,1899000,2329000,79911000,4616000,23243000,3207000,17723000,33773000,19921000,17051000,3070000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,356100000,323600000,368100000,391300000,311900000,364600000,359546000,465469000,394215000,441079000,514376000,531296000,454023000,539359000,519254000,583380000,602710000,614085000,653235000,779633000,818129000,880210000,754193000,693857000,712936000,693084000,762239000,822416000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,796200000,864400000,817300000,795700000,814800000,712800000,766901000,606444000,546846000,585810000,1285382000,1518223000,1453538000,1618770000,1270212000,910628000,1298845000,1173775000,1471110000,1408022000,1935647000,2217912000,1909443000,2076543000,2418566000,2008793000,1891745000,2493313000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,157200000,357000000,655300000,1029100000,879100000,878200000,877654000,876972000,851800000,968499000,690602000,942755000,1248128000,1279965000,1505954000,1502730000,1541825000,1748500000,1530967000,1795142000,1548963000,1557091000,2347455000,2061023000,3254280000,3530813000,4271626000,4397526000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,193400000,192500000,224000000,267100000,321100000,326000000,300499000,255769000,348040000,377589000,328889000,400253000,286003000,180842000,3646000,- -,- -,- -,35657000,104204000,99373000,53188000,39587000,45656000,176860000,200018000,229028000,288004000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,303100000,333700000,327200000,346500000,346800000,331100000,327674000,361041000,362162000,370776000,403356000,412929000,486473000,544016000,504963000,501334000,494461000,617276000,668732000,434068000,526003000,468718000,400161000,438939000,446048000,655777000,501563000,476159000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,653700000,883200000,1206500000,1642700000,1547000000,1535300000,1505827000,1493782000,1562002000,1716864000,1422847000,1755937000,2020604000,2004823000,2014563000,2004064000,2036286000,2365776000,2235356000,2333414000,2174339000,2078997000,2787203000,2545618000,3877188000,4386608000,5002217000,5161689000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293015000,299204000,416337000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1449900000,1747600000,2023800000,2438400000,2361800000,2248100000,2272728000,2100226000,2108848000,2302674000,2708229000,3274160000,3474142000,3623593000,3284775000,2914692000,3335131000,3539551000,3706466000,3741436000,4109986000,4296909000,4696646000,4622161000,6295754000,6395401000,6893962000,7655002000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000000,179950000,179950000,179950000,179950000,359901000,359901000,359901000,359901000,359901000,359901000,359901000,359901000,359901000,359901000,359901000,359901000,359901000,359901000,359901000,221553000,221553000,221553000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1522900000,1694700000,1763100000,1977800000,2189700000,2513300000,2702927000,2755333000,2991090000,3263988000,3469169000,3646179000,3965415000,3927306000,3975762000,4148353000,4374718000,4699597000,5027617000,5454286000,5860784000,5897603000,6115961000,6371082000,7032020000,1290461000,1928673000,2719936000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-655100000,-754400000,-820800000,-939000000,-1054700000,-1061800000,-1061800000,-1365855000,8297000,-20665000,-6078000,-12515000,-138189000,-27979000,-359908000,-202844000,-215067000,-442331000,-385076000,-166567000,-358573000,-371025000,-375888000,-313746000,-356780000,-323966000,-338082000,-249215000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,573300000,142700000,218700000,- -,- -,- -,- -,- -,-1807634000,- -,- -,- -,-3503704000,-3666306000,-3657556000,-3584951000,-3617236000,-3768145000,-3965693000,-4042786000,-4407050000,-4888482000,-5314118000,-5501899000,-5636420000,551174000,422208000,64955000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1441100000,1083000000,1161000000,852800000,1042300000,1098600000,1175036000,1147204000,1371703000,1279866000,1089302000,1021076000,683423000,592922000,318199000,720459000,902316000,849022000,1036749000,1604834000,1455062000,997997000,785856000,915338000,1398721000,1739222000,2234352000,2757229000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2891000000,2830600000,3184800000,3291200000,3404100000,3346700000,3447764000,3247430000,3480551000,3582540000,3797531000,4295236000,4157565000,4216515000,3602974000,3635151000,4237447000,4388573000,4743215000,5346270000,5565048000,5294906000,5482502000,5537499000,7694475000,8134623000,9128314000,10412231000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30598000,31745000,39880000,35285000,23626000,11624000,11218000,64468000,49465000,41831000,16227000,8545000,5772000,3531000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2891000000,2830600000,3184800000,3291200000,3404100000,3346700000,3447764000,3247430000,3480551000,3582540000,3797531000,4295236000,4157565000,4247113000,3634719000,3675031000,4272732000,4412199000,4754839000,5357488000,5629516000,5344371000,5524333000,5553726000,7703020000,8140395000,9131845000,10412231000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/47111/000004711195000004/0000047111-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711196000010/0000047111-96-000010-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711197000008/0000047111-97-000008-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/47111/000004711101500079/0000047111-01-500079-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711102000069/form10k_2001.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/47111/000119312507037921/d10k.htm,https://www.sec.gov/Archives/edgar/data/47111/000119312508033182/d10k.htm,https://www.sec.gov/Archives/edgar/data/47111/000119312509033670/0001193125-09-033670-index.html,https://www.sec.gov/Archives/edgar/data/47111/000119312510034780/0001193125-10-034780-index.html,https://www.sec.gov/Archives/edgar/data/47111/000119312511039789/d10k.htm,https://www.sec.gov/Archives/edgar/data/47111/000119312512067143/0001193125-12-067143-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711113000007/0000047111-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711114000006/a2013_form10-kxdraftq4.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711115000010/a2014_formx10-k.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711116000095/0000047111-16-000095-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711117000005/0000047111-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711118000011/0000047111-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711119000010/0000047111-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711120000007/0000047111-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711121000007/0000047111-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711122000017/0000047111-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,171100000,215900000,219500000,242600000,193300000,184200000,281900000,273200000,336300000,340900000,460300000,334543000,207156000,403578000,457584000,590879000,493244000,559061000,214154000,311405000,435994000,509799000,628962000,660931000,820470000,846912000,512951000,720044000,782981000,1177562000,1149692000,1278708000,1477512000
74,Depreciation and Amortization,- -,- -,- -,- -,65700000,73900000,85400000,97100000,113100000,129000000,133900000,133500000,152800000,158200000,163300000,175964000,190494000,177908000,180567000,189665000,218032000,199911000,310925000,249491000,182411000,197116000,215763000,210037000,201033000,211532000,244928000,301837000,261853000,295144000,291544000,294907000,315002000
75,Deferred Income Tax,- -,- -,- -,- -,3400000,-8300000,20700000,21400000,11000000,-2300000,26400000,22900000,16900000,82200000,-8300000,-16400000,-49342000,137817000,38895000,-81931000,71038000,4173000,-124276000,-17125000,-40578000,-18654000,33611000,13785000,7457000,18796000,-38537000,-38097000,18582000,36255000,-15072000,26880000,13374000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23583000,34927000,32055000,28341000,50482000,53967000,54068000,51533000,54785000,51061000,49286000,51899000,57584000,66711000
77,Change in Working Capital,- -,- -,- -,- -,20300000,- -,- -,- -,- -,152500000,-94600000,111000000,70200000,80100000,248000000,-38753000,32650000,155675000,-171013000,-648700000,-6342000,73557000,-156470000,266929000,400073000,231566000,166411000,-230408000,436937000,-767912000,-680714000,276649000,18032000,-104752000,287694000,977851000,46306000
