,https://roic.ai/company/URBN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912615/000095011500000552/0000950115-00-000552-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/912615/000102140803006665/d10k.htm,https://www.sec.gov/Archives/edgar/data/912615/000119312504063219/d10k.htm,https://www.sec.gov/Archives/edgar/data/912615/000119312505078716/d10k.htm,https://www.sec.gov/Archives/edgar/data/912615/000119312506078640/d10k.htm,https://www.sec.gov/Archives/edgar/data/912615/000119312507070413/d10k.htm,https://www.sec.gov/Archives/edgar/data/912615/000119312508068073/d10k.htm,https://www.sec.gov/Archives/edgar/data/912615/000119312509069726/0001193125-09-069726-index.html,https://www.sec.gov/Archives/edgar/data/912615/000119312510073888/0001193125-10-073888-index.html,https://www.sec.gov/Archives/edgar/data/912615/000119312511085784/0001193125-11-085784-index.html,https://www.sec.gov/Archives/edgar/data/912615/000119312512146029/d276682d10k.htm,https://www.sec.gov/Archives/edgar/data/912615/000119312513136738/0001193125-13-136738-index.html,https://www.sec.gov/Archives/edgar/data/912615/000119312514125999/0001193125-14-125999-index.html,https://www.sec.gov/Archives/edgar/data/912615/000119312515116065/0001193125-15-116065-index.html,https://www.sec.gov/Archives/edgar/data/912615/000119312516525832/0001193125-16-525832-index.html,https://www.sec.gov/Archives/edgar/data/912615/000119312517108506/0001193125-17-108506-index.html,https://www.sec.gov/Archives/edgar/data/912615/000156459018007408/0001564590-18-007408-index.html,https://www.sec.gov/Archives/edgar/data/912615/000156459019010433/0001564590-19-010433-index.html,https://www.sec.gov/Archives/edgar/data/912615/000156459020014397/0001564590-20-014397-index.html,https://www.sec.gov/Archives/edgar/data/912615/000156459021017306/0001564590-21-017306-index.htm,https://www.sec.gov/Archives/edgar/data/912615/000156459022013232/0001564590-22-013232-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15500000,9100000,20100000,14600000,26700000,25200000,12727000,16286000,- -,72127000,67194000,29731000,49912000,27267000,105271000,316035000,159024000,340257000,145273000,245327000,242058000,154558000,265276000,248140000,282220000,358260000,221839000,395635000,206575000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,11225000,314000,- -,7379000,19979000,125953000,141883000,132011000,80127000,49948000,342512000,116420000,89854000,228486000,281813000,104246000,61061000,111067000,165125000,279232000,211453000,174695000,239420000
33,Cash and Short-Term Investments,15500000,9100000,20100000,14600000,26700000,25200000,23952000,16600000,- -,79506000,87173000,155684000,191795000,159278000,185398000,365983000,501536000,456677000,235127000,473813000,523871000,258804000,326337000,359207000,447345000,637492000,433292000,570330000,445995000
34,Net Receivables,700000,1200000,1600000,2800000,4500000,4800000,4825000,3444000,- -,3262000,6711000,8364000,14324000,20871000,26365000,36390000,38405000,36502000,36673000,39519000,55161000,70458000,75723000,54505000,76962000,80461000,88288000,89952000,63760000
35,Inventory,6900000,10400000,10500000,17000000,17100000,21900000,26868000,34786000,- -,48825000,63247000,98996000,140377000,154387000,171925000,169698000,186130000,229561000,250073000,282411000,311207000,358237000,330223000,338590000,351395000,370507000,409534000,389618000,569699000
36,Other Current Assets,12100000,14900000,14400000,16500000,17500000,19700000,10433000,10143000,- -,12991000,18704000,24824000,38687000,31869000,49922000,52331000,80142000,81237000,75119000,76541000,104741000,121618000,102078000,129095000,103055000,114296000,122282000,173432000,206293000
37,Total Current Assets,35200000,35600000,46600000,50900000,65800000,71600000,66078000,64973000,- -,144584000,175835000,287868000,385183000,366405000,433610000,624402000,806213000,803977000,596992000,872284000,994980000,809117000,834361000,881397000,978757000,1202756000,1053396000,1223332000,1285747000
38,PP&E,7000000,13400000,16700000,25200000,26900000,43100000,72819000,97901000,- -,108847000,121919000,192792000,299291000,445698000,488889000,505407000,539961000,586346000,684979000,733416000,806909000,889232000,863137000,867786000,813768000,796029000,2060563000,2082184000,2145340000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243445000,351988000,126913000,149585000,366422000,104448000,36600000,44288000,58688000,57292000,97096000,123662000,223557000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8925000,9526000,12567000,19983000,24826000,32040000,43974000,46474000,52010000,74824000,41926000,52903000,85944000,99203000,109166000,101567000,104438000,104578000,117167000,136703000
44,Other Non-Current Assets,1200000,7800000,7800000,13600000,14700000,18700000,14604000,5842000,- -,15640000,52315000,63457000,64748000,62322000,188252000,155226000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,8200000,21200000,24500000,38800000,41600000,61800000,87423000,103743000,- -,133412000,183760000,268816000,384022000,532846000,709181000,704607000,829880000,990344000,886716000,924927000,1226234000,1079624000,998940000,1021240000,974023000,957759000,2262237000,2323013000,2505600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,43400000,56800000,71100000,89700000,107400000,133400000,153501000,168716000,- -,277996000,359595000,556684000,769205000,899251000,1142791000,1329009000,1636093000,1794321000,1483708000,1797211000,2221214000,1888741000,1833301000,1902637000,1952780000,2160515000,3315633000,3546345000,3791347000
48,Accounts Payable,3100000,4400000,6900000,8700000,10400000,14800000,16760000,19387000,- -,19186000,27353000,39102000,41291000,57934000,74020000,62955000,78041000,82904000,95754000,99059000,137036000,156090000,118035000,119537000,128246000,144414000,167871000,237386000,304246000
49,Short-Term Debt,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,221593000,254703000,236315000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23551000,16157000,12379000,12171000,17145000,24794000,35596000,27176000,24953000,22417000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34331000,36687000,44311000,47943000,51549000,55144000,56210000,42480000,44906000,48171000,- -
52,Other Current Liabilities,3800000,4300000,3200000,2900000,3300000,9100000,11312000,13931000,- -,23886000,30409000,59169000,92217000,77384000,93358000,78195000,110508000,128120000,103381000,114449000,150483000,149707000,159647000,178247000,175758000,199750000,204400000,365872000,440912000
53,Total Current Liabilities,6900000,8700000,10100000,11600000,13700000,24000000,28072000,33318000,- -,43072000,57762000,98271000,133508000,135318000,167378000,141150000,188549000,211024000,233466000,250195000,331830000,353740000,329231000,352928000,360214000,386644000,638770000,906132000,981473000
54,Long-Term Debt,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000000,- -,- -,- -,- -,1074009000,951080000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1000000,1300000,1500000,2400000,3000000,3900000,4513000,5786000,- -,10539000,11703000,56169000,74817000,88650000,121982000,134084000,150769000,171749000,183974000,192428000,195214000,207032000,216843000,236625000,291663000,284773000,1221508000,88846000,113054000
58,Total Non-Current Liabilities,1000000,1300000,1500000,2400000,3000000,4100000,4513000,5786000,- -,10539000,11703000,56169000,74817000,88650000,121982000,134084000,150769000,171749000,183974000,192428000,195214000,207032000,366843000,236625000,291663000,284773000,1221508000,1162855000,1064134000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1359088000,1328712000,1187395000
61,Total Liabilities,7900000,10000000,11600000,14000000,16700000,28100000,32585000,39104000,- -,53611000,69465000,154440000,208325000,223968000,289360000,275234000,339318000,382773000,417440000,442623000,527044000,560772000,696074000,589553000,651877000,671417000,1860278000,2068987000,2045607000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,2000,2000,- -,2000,4000,8000,16000,17000,17000,17000,17000,17000,15000,15000,15000,13000,12000,12000,11000,11000,10000,10000,10000
64,Retained Earnings,18900000,29700000,42000000,55300000,69200000,84900000,103614000,114109000,- -,156529000,204905000,295394000,426190000,542396000,701975000,901339000,1121232000,1394190000,1077765000,1315079000,1597439000,1343383000,1160666000,1347141000,1310859000,1516190000,1473872000,1475108000,1770560000
65,Other Comprehensive Income/Loss,-4600000,-6700000,-9600000,-13100000,-17700000,-23300000,-30691000,-42486000,- -,692000,1938000,-2588000,-3377000,4284000,7235000,-17747000,-9094000,-10262000,-11512000,-8782000,-968000,-15427000,-23451000,-34069000,-10651000,-27103000,-28004000,-17120000,-24830000
66,Other Total Stockholders Equity,21200000,23800000,27100000,33500000,39200000,43700000,47991000,57987000,- -,67162000,83283000,109430000,138051000,128586000,144204000,170166000,184620000,27603000,- -,48276000,97684000,- -,- -,- -,684000,- -,9477000,19360000,- -
67,Total Stockholders Equity,35500000,46800000,59500000,75700000,90700000,105300000,120916000,129612000,- -,224385000,290130000,402244000,560880000,675283000,853431000,1053775000,1296775000,1411548000,1066268000,1354588000,1694170000,1327969000,1137227000,1313084000,1300903000,1489098000,1455355000,1477358000,1745740000
68,Total Liabilities And Stockholders Equity,43400000,56800000,71100000,89700000,107400000,133400000,153501000,168716000,- -,277996000,359595000,556684000,769205000,899251000,1142791000,1329009000,1636093000,1794321000,1483708000,1797211000,2221214000,1888741000,1833301000,1902637000,1952780000,2160515000,3315633000,3546345000,3791347000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,43400000,56800000,71100000,89700000,107400000,133400000,153501000,168716000,- -,277996000,359595000,556684000,769205000,899251000,1142791000,1329009000,1636093000,1794321000,1483708000,1797211000,2221214000,1888741000,1833301000,1902637000,1952780000,2160515000,3315633000,3546345000,3791347000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912615/000095011500000552/0000950115-00-000552-index.html,- -,undefined,https://www.sec.gov/Archives/edgar/data/912615/000102140803006665/d10k.htm,https://www.sec.gov/Archives/edgar/data/912615/000119312504063219/d10k.htm,https://www.sec.gov/Archives/edgar/data/912615/000119312505078716/d10k.htm,https://www.sec.gov/Archives/edgar/data/912615/000119312506078640/d10k.htm,https://www.sec.gov/Archives/edgar/data/912615/000119312507070413/d10k.htm,https://www.sec.gov/Archives/edgar/data/912615/000119312508068073/d10k.htm,https://www.sec.gov/Archives/edgar/data/912615/000119312509069726/0001193125-09-069726-index.html,https://www.sec.gov/Archives/edgar/data/912615/000119312510073888/0001193125-10-073888-index.html,https://www.sec.gov/Archives/edgar/data/912615/000119312511085784/0001193125-11-085784-index.html,https://www.sec.gov/Archives/edgar/data/912615/000119312512146029/d276682d10k.htm,https://www.sec.gov/Archives/edgar/data/912615/000119312513136738/0001193125-13-136738-index.html,https://www.sec.gov/Archives/edgar/data/912615/000119312514125999/0001193125-14-125999-index.html,https://www.sec.gov/Archives/edgar/data/912615/000119312515116065/0001193125-15-116065-index.html,https://www.sec.gov/Archives/edgar/data/912615/000119312516525832/0001193125-16-525832-index.html,https://www.sec.gov/Archives/edgar/data/912615/000119312517108506/0001193125-17-108506-index.html,https://www.sec.gov/Archives/edgar/data/912615/000156459018007408/0001564590-18-007408-index.html,https://www.sec.gov/Archives/edgar/data/912615/000156459019010433/0001564590-19-010433-index.html,https://www.sec.gov/Archives/edgar/data/912615/000156459020014397/0001564590-20-014397-index.html,https://www.sec.gov/Archives/edgar/data/912615/000156459021017306/0001564590-21-017306-index.htm,https://www.sec.gov/Archives/edgar/data/912615/000156459022013232/0001564590-22-013232-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7800000,10800000,12300000,13300000,13900000,15800000,18680000,10495000,15007000,27413000,48376000,90489000,130796000,116206000,160231000,199364000,219893000,272958000,185251000,237314000,282360000,232428000,224489000,218120000,108263000,298003000,168096000,1236000,310616000
74,Depreciation and Amortization,1500000,2100000,2900000,3500000,4600000,5600000,8667000,11997000,15462000,18208000,22415000,31858000,39340000,55713000,70017000,81949000,92350000,101105000,108112000,118664000,132664000,138110000,142722000,135330000,128408000,117986000,112256000,103771000,105672000
75,Deferred Income Tax,- -,-200000,-300000,-700000,500000,-600000,-3702000,- -,-1274000,-3079000,-1132000,-2884000,-6870000,-4959000,-2782000,-9351000,2161000,-8727000,-12150000,22248000,-28505000,-2221000,13662000,-4801000,8329000,-11414000,1451000,-14270000,-2695000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4766000,10725000,3068000,10892000,15742000,16736000,15623000,18291000,14517000,18104000,21109000,20300000,25741000
77,Change in Working Capital,-2000000,1400000,-1400000,9600000,2800000,12800000,-4500000,-9594000,-6351000,69857000,16561000,71524000,62078000,-20588000,35145000,217020000,134412000,-24711000,-229427000,258563000,41061000,-207773000,49753000,23339000,90074000,197569000,-401486000,-97426000,-12926000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-1700000,-3400000,-100000,-6500000,-200000,-4800000,-4987000,-7918000,-6348000,-7554000,-13125000,-35651000,-41597000,-13416000,-17430000,-272000,-15544000,-43372000,-20817000,-32237000,-27713000,-68992000,26739000,-9963000,-8644000,-21696000,-39101000,22381000,-181898000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,26900000,28300000,26900000,36500000,39300000,52100000,47600000,38006000,31655000,101512000,118073000,189597000,251675000,231087000,266232000,483252000,617664000,592953000,363526000,622089000,663150000,455377000,505130000,528469000,618543000,816112000,414626000,317200000,304274000
82,Other Non-Cash Items,700000,-5300000,2200000,-16700000,-2900000,-6400000,5116000,9982000,9896000,-70609000,-16443000,-40992000,-76153000,40745000,-8258000,-237412000,-128188000,33763000,227848000,-252001000,-20167000,145041000,-32829000,24623000,-46532000,-173624000,372467000,272203000,-67089000
83,Cash Provided by Operating Activities,8000000,8800000,15700000,9000000,18900000,27200000,24261000,22880000,32740000,41790000,69777000,149995000,149191000,187117000,254353000,251570000,325394000,385113000,282702000,395680000,423155000,322321000,413420000,414902000,303059000,446624000,273893000,285814000,359319000
84,CAPEX,-3200000,-8400000,-6200000,-12000000,-6300000,-21500000,-38149000,-36877000,-22309000,-22247000,-33079000,-75141000,-127730000,-212029000,-115370000,-112553000,-109260000,-143642000,-190010000,-168875000,-186101000,-229804000,-134950000,-143714000,-83813000,-114924000,-217433000,-159242000,-262429000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15325000,- -,- -,- -,- -,- -
86,Purchases of Investments,-9700000,-7200000,-8400000,-22900000,-17400000,-18000000,-12159000,-600000,- -,-43585000,-87322000,-586093000,-416018000,-182653000,-293633000,-809039000,-806546000,-463129000,-169467000,-372689000,-727987000,-405659000,-265872000,-318742000,-281385000,-396646000,-397220000,-338918000,-505936000
87,Sales/Maturities of Investments,- -,- -,9500000,17400000,15900000,11800000,17267000,19930000,307000,20230000,36751000,530301000,396304000,193274000,220101000,864685000,421040000,571236000,414769000,207576000,451866000,830297000,374057000,243159000,243818000,267072000,428508000,396260000,280701000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-600000,- -,- -,- -,- -,- -,3769000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-12900000,-15600000,-5100000,-17500000,-7800000,-27700000,-33641000,-17547000,-22002000,-45602000,-83650000,-130933000,-143675000,-201408000,-188902000,-56907000,-494766000,-35535000,55292000,-333988000,-462222000,194834000,-26765000,-234622000,-121380000,-244498000,-186145000,-101900000,-487664000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-141612000,-150000000,- -,- -,- -,-220000000,- -
91,Common Stock Issued,13700000,400000,500000,3000000,1100000,1600000,5570000,- -,1281000,47042000,8542000,6917000,15230000,6351000,5000000,8891000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-200000,- -,-100000,- -,- -,-2300000,-8715000,-1412000,- -,- -,- -,- -,- -,-20801000,- -,- -,- -,-204718000,-545478000,- -,-11092000,-615422000,-475424000,-47839000,-159226000,-131642000,-223021000,-10912000,-63555000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5394000,7341000,13434000,9688000,36976000,13131000,37384000,44758000,14515000,344206000,4446000,- -,13618000,974000,220495000,3290000
95,Cash Used/Provided by Financing Activities,12200000,400000,400000,3000000,1100000,-700000,-3145000,-1412000,1281000,47042000,8542000,6917000,15230000,-9056000,12341000,22325000,9688000,-167742000,-532347000,37384000,33666000,-600907000,-272830000,-193393000,-159226000,-118024000,-222047000,-10417000,-60265000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-500000,87000,-362000,-54000,646000,398000,433000,-565000,702000,212000,-6224000,2673000,-603000,-631000,978000,2132000,-3748000,-3107000,-4023000,11627000,-8062000,-2122000,299000,-450000
97,Net Change In Cash,12200000,400000,400000,3000000,1100000,-700000,-12438000,3559000,11965000,43876000,-4933000,26412000,20181000,-22645000,78004000,210764000,-157011000,181233000,-194984000,100054000,-3269000,-87500000,110718000,-17136000,34080000,76040000,-136421000,173796000,-189060000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,12727000,16286000,28251000,72127000,67194000,29731000,49912000,27267000,105271000,316035000,159024000,340257000,145273000,245327000,242058000,154558000,265276000,248140000,282220000,358260000,221839000,395635000,206575000
99,Cash at the Beginning of Period,8300000,15500000,9100000,20100000,14600000,26700000,25165000,12727000,16286000,28251000,72127000,3319000,29731000,49912000,27267000,105271000,316035000,159024000,340257000,145273000,245327000,242058000,154558000,265276000,248140000,282220000,358260000,221839000,395635000
