,https://roic.ai/company/LCUT,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,34600000,42100000,46000000,50600000,53600000,63300000,68900000,82400000,84500000,95800000,100300000,122904000,137678000,124323000,145710000,174609000,282725000,427600000,472941000,492456000,396815000,413388000,419834000,458438000,474168000,561117000,563002000,563122000,563272000,681434000,713872000,723888000,716550000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2500000,2100000,800000,200000,100000,100000,400000,700000,- -,200000,- -,913000,1289000,1004000,724000,835000,2489000,4576000,8397000,9142000,13185000,9351000,7758000,5898000,4847000,6418000,5746000,4803000,4291000,18004000,20378000,17277000,-15524000
14,Depreciation and Amortization,400000,400000,400000,400000,400000,600000,1000000,1600000,2000000,2500000,2800000,3461000,3709000,3457000,3673000,4074000,5641000,8782000,9659000,10782000,11472000,9810000,8397000,9324000,10415000,14200000,14203000,14148000,14189000,23329000,25115000,24664000,22520000
15,EBITDA,4300000,7100000,9500000,10900000,11900000,14800000,12700000,17800000,17600000,23700000,9600000,10625000,10393000,9113000,18386000,18983000,30886000,38613000,34378000,-39645000,29252000,44024000,36343000,41377000,33718000,27987000,38854000,41701000,29666000,42502000,2187000,48800000,43376000
16,EBITDA ratio,0.1117,0.1464,0.1734,0.1793,0.1839,0.1912,0.1578,0.1809,0.1760,0.2031,0.0899,0.0821,0.0724,0.0694,0.1147,0.1002,0.1003,0.0844,0.0696,-0.0813,0.0705,0.0993,0.0818,0.0850,0.0671,0.0478,0.0661,0.0704,0.0512,0.0603,0.0030,0.0634,0.0503
17,Operating Income,3900000,6400000,8800000,10200000,11100000,14100000,11600000,16000000,15500000,20900000,6500000,6471000,5860000,6896000,14645000,14849000,25172000,29800000,20784000,-51913000,15609000,29783000,24584000,27335000,28186000,21384000,24231000,27077000,15180000,18579000,-23395000,24970000,50842000
18,Operating Income ratio,0.1013,0.1320,0.1606,0.1678,0.1716,0.1822,0.1441,0.1626,0.1550,0.1791,0.0609,0.0500,0.0408,0.0526,0.0913,0.0784,0.0818,0.0652,0.0421,-0.1064,0.0376,0.0672,0.0553,0.0561,0.0561,0.0365,0.0412,0.0457,0.0262,0.0264,-0.0318,0.0325,0.0589
19,Total Other Income Expenses (Gains),-2500000,-1800000,-500000,100000,300000,- -,-300000,-500000,100000,100000,300000,-220000,-465000,-938000,-656000,-775000,-2416000,-4545000,-4462000,-9142000,-13185000,-10115000,-7758000,-7261000,-4949000,-7522000,-5900000,-5075000,-4401000,-18070000,-20378000,-19421000,-14462000
20,Income Before Tax,1400000,4600000,8300000,10300000,11400000,14100000,11300000,15500000,15600000,21000000,6800000,6251000,5395000,5958000,13989000,14074000,22756000,25255000,16322000,-61055000,2424000,19668000,16826000,20074000,23237000,13862000,18331000,22002000,10779000,509000,-43773000,5549000,36380000
21,Income Before Tax Ratio,0.0364,0.0948,0.1515,0.1694,0.1762,0.1822,0.1404,0.1575,0.1560,0.1799,0.0637,0.0483,0.0376,0.0454,0.0872,0.0743,0.0739,0.0552,0.0331,-0.1251,0.0058,0.0444,0.0379,0.0412,0.0462,0.0237,0.0312,0.0371,0.0186,0.0007,-0.0596,0.0072,0.0422
22,Income Tax expense (Gain),600000,1900000,3300000,4100000,4400000,5500000,4400000,6100000,6000000,8400000,2800000,2817000,2477000,2407000,5574000,5602000,8647000,9723000,7430000,-10540000,1880000,4602000,6122000,5208000,9175000,5825000,6627000,7030000,9032000,2889000,1109000,9866000,-16541000
23,Net Income,800000,2700000,5000000,6200000,7000000,8600000,6900000,9400000,9600000,12600000,4000000,3434000,2918000,2245000,8415000,8472000,14109000,15532000,8892000,-49029000,2715000,20261000,14066000,20947000,9281000,1544000,12278000,15720000,2154000,-1720000,-44415000,-3007000,52921000
24,Net Income ratio,0.0208,0.0557,0.0912,0.1020,0.1082,0.1111,0.0857,0.0955,0.0960,0.1080,0.0375,0.0265,0.0203,0.0171,0.0525,0.0447,0.0458,0.0340,0.0180,-0.1005,0.0065,0.0457,0.0317,0.0430,0.0185,0.0026,0.0209,0.0265,0.0037,-0.0024,-0.0604,-0.0039,0.0613
25,EPS,0.05,0.17,0.23,0.25,0.44,0.59,0.51,0.67,0.77,1.00,0.32,0.31,0.28,0.21,0.79,0.77,1.25,1.18,0.69,-4.09,0.23,1.68,1.16,1.67,0.73,0.11,0.89,1.11,0.15,-0.09,-2.16,-0.14,0.97
26,EPS Diluted,0.05,0.17,0.23,0.25,0.42,0.56,0.49,0.67,0.75,0.98,0.31,0.31,0.28,0.21,0.78,0.75,1.23,1.14,0.68,-4.09,0.22,1.64,1.12,1.64,0.71,0.11,0.86,1.08,0.14,-0.09,-2.16,-0.14,0.94
27,Weighted Average Shares Outstanding,16105100,15908696,8900187,11004000,11041000,14656338,13553571,13972973,12467532,12600000,12500000,11077419,10421429,10690476,10651899,11002597,11283000,13162712,12886957,11976000,11804348,12036000,12128000,12543114,12713699,14036364,13850000,14174000,14505000,19452000,20597000,20860000,21397000
28,Weighted Average Shares Outstanding Diluted,16105100,15908696,8900187,11004000,11041000,15302941,14055556,13972973,12800000,12857143,12903226,11077419,10421429,10690476,10788462,11296000,11506000,13624561,13076471,11976000,12340909,12376000,12529000,12772561,13071831,14036364,14266000,14549000,14955000,19452000,20597000,20860000,22037000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874396/000091068006000214/0000910680-06-000214-index.htm,- -,https://www.sec.gov/Archives/edgar/data/874396/000091068008000184/f10k123107.htm,https://www.sec.gov/Archives/edgar/data/874396/000091068009000143/0000910680-09-000143-index.html,https://www.sec.gov/Archives/edgar/data/874396/000091068010000088/0000910680-10-000088-index.html,https://www.sec.gov/Archives/edgar/data/874396/000091068011000103/f10k12312010.htm,https://www.sec.gov/Archives/edgar/data/874396/000119312512107317/0001193125-12-107317-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312513109741/0001193125-13-109741-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312514100576/d667369d10k.htm,https://www.sec.gov/Archives/edgar/data/874396/000119312515094037/d867597d10k.htm,https://www.sec.gov/Archives/edgar/data/874396/000119312516503689/0001193125-16-503689-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312517085508/0001193125-17-085508-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312518086046/0001193125-18-086046-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312519075025/0001193125-19-075025-index.html,https://www.sec.gov/Archives/edgar/data/874396/000162828020003560/0001628280-20-003560-index.html,https://www.sec.gov/Archives/edgar/data/874396/000162828021004467/0001628280-21-004467-index.htm,https://www.sec.gov/Archives/edgar/data/874396/000162828022005583/0001628280-22-005583-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200000,300000,6400000,7500000,6800000,2700000,100000,1100000,7800000,9400000,1600000,1325000,5021000,62000,1175000,1741000,786000,150000,4172000,3478000,682000,3351000,2972000,1871000,4947000,5068000,7131000,7883000,7600000,7647000,11370000,35963000,27982000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,200000,300000,6400000,7500000,6800000,2700000,100000,1100000,7800000,9400000,1600000,1325000,5021000,62000,1175000,1741000,786000,150000,4172000,3478000,682000,3351000,2972000,1871000,4947000,5068000,7131000,7883000,7600000,7647000,11370000,35963000,27982000
34,Net Receivables,6500000,6100000,6400000,12300000,10200000,14100000,12700000,14000000,13300000,13300000,22400000,18158000,20742000,19143000,31977000,34083000,49158000,60516000,65030000,79159000,61552000,72795000,77749000,97369000,87217000,107211000,90576000,104556000,108033000,126734000,130216000,170037000,175076000
35,Inventory,18000000,16500000,21100000,19100000,28800000,31000000,43300000,39900000,42800000,44900000,54000000,45595000,42303000,41333000,49294000,58934000,91953000,155350000,143684000,141612000,103931000,99935000,110337000,104584000,112791000,137924000,136890000,135212000,132436000,173601000,173427000,203164000,270516000
36,Other Current Assets,600000,1900000,2900000,3200000,3600000,6100000,6500000,6900000,5800000,4700000,4300000,7014000,5934000,4123000,5838000,7785000,13853000,15617000,15192000,8429000,7685000,6172000,7739000,8935000,9721000,7914000,8783000,8796000,10354000,10822000,14140000,12129000,11499000
37,Total Current Assets,25300000,24800000,36800000,42100000,49400000,53900000,62600000,61900000,69700000,72300000,82300000,72092000,74000000,64661000,88284000,102543000,155750000,231633000,228078000,232678000,173850000,182253000,198797000,212759000,214676000,258117000,243380000,256447000,258423000,318804000,329153000,421293000,485073000
38,PP&E,900000,800000,600000,600000,1100000,8000000,7900000,8700000,9400000,11800000,12600000,13085000,22376000,20850000,20563000,20003000,23989000,42722000,54332000,49908000,41623000,36093000,34324000,31646000,27698000,26801000,24877000,21131000,23065000,25762000,135039000,119663000,107235000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15498000,- -,- -,- -,- -,20951000,27432000,- -,- -,- -,- -,5085000,5085000,18101000,18101000,14201000,15772000,91690000,49371000,30271000,- -
40,Intangible Assets,2300000,2300000,2200000,2200000,2100000,2000000,4500000,13200000,12800000,19900000,20400000,25686000,9390000,23952000,25675000,31484000,40264000,42391000,35383000,38420000,37641000,30818000,46937000,52757000,50064000,85496000,78492000,75018000,72707000,247157000,231100000,213754000,212678000
41,Intangible Assets,2300000,2300000,2200000,2200000,2100000,2000000,4500000,13200000,12800000,19900000,20400000,25686000,24888000,23952000,25675000,31484000,40264000,63342000,62815000,38420000,37641000,30818000,46937000,57842000,55149000,103597000,96593000,89219000,88479000,338847000,280471000,244025000,212678000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17784000,20338000,24068000,34515000,43685000,36948000,28155000,24973000,22712000,23978000,22582000,21289000,20032000,22295000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6486000,8459000,5826000,733000,- -,- -,12842000
44,Other Non-Current Assets,400000,400000,600000,600000,1000000,800000,800000,1000000,1100000,1100000,1100000,1256000,2106000,2123000,2214000,2305000,2645000,5367000,26190000,2991000,3271000,4354000,4172000,2865000,2268000,4732000,2643000,1886000,1750000,1844000,4071000,2468000,-11049000
45,Total Non-Current Assets,3600000,3500000,3400000,3400000,4200000,10800000,13200000,22900000,23300000,32800000,34100000,40027000,49370000,46925000,48452000,53792000,66898000,111431000,143337000,109103000,102873000,95333000,119948000,136038000,122063000,163285000,155572000,143407000,143098000,389768000,440870000,386188000,344001000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,28900000,28300000,40200000,45500000,53600000,64700000,75800000,84800000,93000000,105100000,116400000,112119000,123370000,111586000,136736000,156335000,222648000,343064000,371415000,341781000,276723000,277586000,318745000,348797000,336739000,421402000,398952000,399854000,401521000,708572000,770023000,807481000,829074000
48,Accounts Payable,- -,- -,900000,1000000,1000000,1400000,3100000,4000000,5400000,2700000,5600000,6709000,4955000,2720000,8405000,7892000,17397000,15585000,21759000,24151000,21895000,19414000,18985000,23910000,26561000,31765000,31669000,35113000,29488000,41654000,39601000,72631000,82573000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,8100000,10746000,22847000,14200000,16800000,19400000,14500000,21500000,13500000,89300000,24601000,4100000,15000000,11375000,3937000,10765000,20252000,9456000,69000,1253000,19074000,29137000,12612000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000,680000,5036000,2100000,3615000,3036000,6556000,5376000,7568000,3040000,79000,- -,4788000,604000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10714000,- -
52,Other Current Liabilities,14700000,14200000,7300000,6400000,7400000,7500000,10800000,8200000,6700000,11200000,14000000,16619000,17123000,16357000,21769000,25621000,38010000,52642000,36024000,36530000,30714000,36998000,35977000,31614000,38996000,41339000,39794000,46717000,41958000,41969000,48632000,67588000,119116000
53,Total Current Liabilities,14700000,14200000,8200000,7400000,8400000,8900000,13900000,13200000,12100000,13900000,27700000,34074000,44925000,33277000,46974000,52913000,69907000,89727000,71283000,149981000,77210000,60512000,69962000,66899000,69494000,83869000,91715000,91286000,71515000,84876000,107307000,180070000,214301000
54,Long-Term Debt,8100000,5600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5000000,80000000,130200000,75000000,70527000,73557000,82625000,84593000,65919000,127655000,80617000,86201000,94744000,304774000,287103000,266279000,90824000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1728000,1444000,12842000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2088000,3412000,4967000,6204000,8211000,3373000,4447000,1429000,5385000,3510000,1777000,1485000,8596000,5666000,4423000,15141000,13685000,10714000,12842000
57,Other Non-Current Liabilities,1200000,900000,- -,-100000,- -,- -,- -,- -,- -,100000,- -,- -,- -,2300000,1593000,2072000,2287000,5522000,14481000,23054000,20527000,14482000,14598000,21565000,18644000,20160000,18556000,18973000,20560000,24288000,123883000,118838000,242619000
58,Total Non-Current Liabilities,9300000,6500000,- -,-100000,- -,- -,- -,- -,- -,100000,- -,- -,- -,2300000,3681000,10484000,12254000,91726000,152892000,101427000,95501000,89468000,102608000,109668000,86340000,149300000,107769000,110840000,119727000,344203000,426399000,397275000,359127000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121000,128000,21000,- -,122841000,113835000,- -
61,Total Liabilities,24000000,20700000,8200000,7300000,8400000,8900000,13900000,13200000,12100000,14000000,27700000,34074000,44925000,33277000,50655000,63397000,82161000,181453000,224175000,251408000,172711000,149980000,172570000,176567000,155834000,233169000,199484000,202126000,191242000,429079000,533706000,577345000,573428000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,105000,105000,106000,109000,111000,129000,133000,120000,120000,120000,121000,124000,128000,128000,137000,140000,146000,149000,208000,213000,218000,220000
64,Retained Earnings,4100000,6800000,11700000,17900000,24900000,33600000,1800000,72500000,6400000,15900000,16700000,17359000,17660000,17277000,23042000,28077000,38890000,50235000,33250000,-18023000,-18949000,1312000,14465000,33849000,38224000,37703000,47733000,60981000,60546000,55264000,7173000,424000,17419000
65,Other Comprehensive Income/Loss,-1600000,-1800000,-2100000,-2300000,-2400000,-2100000,-2800000,-4000000,-5500000,-6100000,-6100000,-9170000,-10694000,-479000,-479000,-479000,-23947000,78000,-125000,-8593000,-6814000,-5177000,-5881000,-4236000,-3720000,-9922000,-14185000,-36999000,-29325000,-34616000,-34455000,-39172000,-33549000
66,Other Total Stockholders Equity,2400000,2600000,22400000,22600000,22700000,24300000,62900000,3100000,80000000,81300000,78000000,69751000,71374000,61405000,63409000,65229000,125415000,111165000,113995000,116869000,129655000,131350000,137467000,142489000,146273000,160315000,165780000,173600000,178909000,258637000,263386000,268666000,271556000
67,Total Stockholders Equity,4900000,7600000,32000000,38200000,45200000,55800000,61900000,71600000,80900000,91100000,88700000,78045000,78445000,78309000,86081000,92938000,140487000,161611000,147240000,90373000,104012000,127606000,146175000,172230000,180905000,188233000,199468000,197728000,210279000,279493000,236317000,230136000,255646000
68,Total Liabilities And Stockholders Equity,28900000,28300000,40200000,45500000,53600000,64700000,75800000,84800000,93000000,105100000,116400000,112119000,123370000,111586000,136736000,156335000,222648000,343064000,371415000,341781000,276723000,277586000,318745000,348797000,336739000,421402000,398952000,399854000,401521000,708572000,770023000,807481000,829074000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,28900000,28300000,40200000,45500000,53600000,64700000,75800000,84800000,93000000,105100000,116400000,112119000,123370000,111586000,136736000,156335000,222648000,343064000,371415000,341781000,276723000,277586000,318745000,348797000,336739000,421402000,398952000,399854000,401521000,708572000,770023000,807481000,829074000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874396/000091068006000214/0000910680-06-000214-index.htm,- -,https://www.sec.gov/Archives/edgar/data/874396/000091068008000184/f10k123107.htm,https://www.sec.gov/Archives/edgar/data/874396/000091068009000143/0000910680-09-000143-index.html,https://www.sec.gov/Archives/edgar/data/874396/000091068010000088/0000910680-10-000088-index.html,https://www.sec.gov/Archives/edgar/data/874396/000091068011000103/f10k12312010.htm,https://www.sec.gov/Archives/edgar/data/874396/000119312512107317/0001193125-12-107317-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312513109741/0001193125-13-109741-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312514100576/d667369d10k.htm,https://www.sec.gov/Archives/edgar/data/874396/000119312515094037/d867597d10k.htm,https://www.sec.gov/Archives/edgar/data/874396/000119312516503689/0001193125-16-503689-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312517085508/0001193125-17-085508-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312518086046/0001193125-18-086046-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312519075025/0001193125-19-075025-index.html,https://www.sec.gov/Archives/edgar/data/874396/000162828020003560/0001628280-20-003560-index.html,https://www.sec.gov/Archives/edgar/data/874396/000162828021004467/0001628280-21-004467-index.htm,https://www.sec.gov/Archives/edgar/data/874396/000162828022005583/0001628280-22-005583-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,800000,2700000,5000000,6200000,7000000,8600000,6900000,9400000,9600000,12600000,4000000,3434000,2918000,2245000,8415000,8472000,14109000,15532000,8892000,-49029000,2715000,20261000,14066000,20947000,9281000,1544000,12278000,15720000,2154000,-1720000,-44415000,-3007000,52921000
74,Depreciation and Amortization,400000,400000,400000,400000,400000,600000,1000000,1600000,2000000,2500000,2800000,3461000,3709000,3457000,3673000,4074000,5641000,8782000,9659000,10782000,11472000,9810000,8397000,9324000,10415000,14200000,14203000,14148000,14189000,23329000,25115000,24664000,22520000
75,Deferred Income Tax,- -,- -,-100000,-100000,-100000,-200000,-400000,200000,600000,- -,-900000,387000,722000,133000,105000,-100000,-2726000,421000,2771000,155000,734000,-2691000,-1218000,-3011000,-2275000,-3757000,-1440000,-1951000,1030000,2086000,-1073000,-1861000,1799000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2857000,2099000,2928000,2795000,2793000,2881000,4493000,5286000,2942000,3390000,4135000,5041000,5951000,5217000
77,Change in Working Capital,- -,- -,18000000,6100000,6300000,4000000,3700000,- -,8900000,800000,-3800000,-16582000,-8943000,2309000,9926000,8320000,36213000,56063000,14889000,-74098000,13943000,25101000,7094000,17025000,-678000,29066000,-22583000,13496000,21747000,47020000,-12082000,19377000,29549000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3990000,6430000,-11619000,3297000,-14741000,10099000,-6209000,15481000,-17977000,1481000,8020000,-2259000,-43760000,-5531000
79,Inventory,- -,- -,-4600000,2000000,-9700000,-2200000,-12300000,6900000,- -,2300000,-7200000,11753000,3292000,1022000,-6960000,-4944000,4942000,-36410000,19925000,26154000,37680000,3996000,-5365000,9694000,-8207000,-6354000,-308000,4491000,10818000,-13819000,-7455000,-28979000,-67501000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166000,9437000,-950000,-397000,12255000,-9778000,-3153000,5108000,55721000,48579000
81,Other Working Capital,10600000,10600000,28600000,34700000,41000000,45000000,48700000,48700000,57600000,58400000,54600000,38018000,29075000,31384000,41310000,49630000,85843000,141906000,156795000,82697000,96640000,121741000,128835000,145860000,145182000,174248000,151665000,165161000,186908000,233928000,221846000,241223000,270772000
82,Other Non-Cash Items,-1200000,-3100000,-22200000,-7100000,-17200000,-11800000,-14400000,7800000,-14000000,- -,-4200000,31739000,9430000,-1331000,-16434000,-16337000,-24492000,-92249000,-4644000,116241000,33025000,-25309000,-18947000,-24381000,16140000,-40957000,38766000,-14606000,-25504000,-55675000,57286000,-311000,-75018000
83,Cash Provided by Operating Activities,- -,- -,1100000,5500000,-3600000,1200000,-3200000,19000000,7100000,15900000,-2100000,22439000,7836000,6813000,5685000,4429000,28745000,-11451000,31567000,6908000,63988000,30100000,12187000,22697000,35764000,4589000,46510000,29749000,17006000,19175000,29872000,44813000,36988000
84,CAPEX,- -,- -,-100000,-300000,-1100000,-7200000,-700000,-2000000,-2300000,-8700000,-4800000,-2025000,-13267000,-1807000,-2213000,-2911000,-5098000,-21144000,-19023000,-8859000,-2344000,-2864000,-4959000,-4955000,-3842000,-6171000,-5166000,-3380000,-6311000,-7902000,-9169000,-2082000,-3986000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1168000,-164000,- -,-3964000,-7000000,-52154000,-43763000,-10543000,-16312000,- -,- -,-20584000,-17265000,- -,-66130000,112000,-21132000,-9072000,-216527000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-8800000,- -,-9700000,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,-22950000,- -,- -,- -,-5123000,-2765000,- -,-764000,112000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,4800000,4000000,9600000,- -,- -,- -,- -,- -,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3061000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-2000000,-12700000,3100000,-2500000,-4300000,- -,- -,985000,- -,- -,- -,- -,8832000,362000,408000,70000,31000,2792000,11000,832000,-86000,64000,15000,249000,- -,- -,-178000
89,Cash Used for Investing Activites,- -,- -,-100000,-4300000,2900000,-7300000,-2700000,-14700000,800000,-11500000,-9100000,-3178000,-13431000,-822000,-6177000,-9911000,-57252000,-64907000,-43684000,-24809000,-1936000,-2794000,-30635000,-22193000,-3831000,-72233000,-5028000,-24448000,-15368000,-224180000,-9169000,-2082000,-1103000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-414000,-64924000,-75787000,-24178000,-40000000,-246334000,-260572000,-301198000,-272572000,-239529000,-323185000,-358572000,-143198000,-234000
91,Common Stock Issued,- -,- -,100000,- -,- -,1900000,300000,100000,600000,500000,100000,74000,20000,318000,1705000,1373000,35063000,196000,245000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
