,https://roic.ai/company/KMX,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1170010/000095016803001994/0000950168-03-001994-index.html,https://www.sec.gov/Archives/edgar/data/1170010/000119312504088404/0001193125-04-088404-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000119312505106899/0001193125-05-106899-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000119312506110797/0001193125-06-110797-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1170010/000117001008000043/0001170010-08-000043-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1170010/000117001010000032/0001170010-10-000032-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1170010/000119312512182512/0001193125-12-182512-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001013000010/0001170010-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001014000017/0001170010-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001015000008/0001170010-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001016000117/0001170010-16-000117-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001017000053/0001170010-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001018000054/0001170010-18-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001019000040/0001170010-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001020000033/0001170010-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001021000053/0001170010-21-000053-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,34615000,61643000,29099000,21759000,19455000,12965000,140597000,18278000,41121000,442658000,449364000,627901000,27606000,37394000,38416000,44525000,46938000,58211000,132319000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,34615000,61643000,29099000,21759000,19455000,12965000,140597000,18278000,41121000,442658000,449364000,627901000,27606000,37394000,38416000,44525000,46938000,58211000,132319000
34,Net Receivables,- -,- -,- -,- -,- -,- -,195044000,237127000,246282000,239068000,279877000,348973000,433886000,682389000,119597000,86434000,91961000,79923000,137690000,132171000,152388000,133321000,139850000,191090000,239070000
35,Inventory,- -,- -,- -,- -,- -,- -,466450000,466061000,576567000,669700000,836116000,975777000,703157000,843133000,1049477000,1092592000,1517813000,1641424000,2086874000,1932029000,2260563000,2390694000,2519455000,2846416000,3157159000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,12636000,8650000,13008000,11211000,15068000,19210000,10112000,12612000,199903000,231764000,250993000,293976000,346868000,370187000,422263000,492904000,507770000,567970000,588248000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,708745000,773481000,864956000,941738000,1150516000,1356925000,1287752000,1556412000,1410098000,1853448000,2310131000,2643224000,2599038000,2471781000,2873630000,3061444000,3214013000,3663687000,4116796000
38,PP&E,- -,- -,- -,- -,- -,- -,187158000,244064000,406301000,499298000,651850000,862497000,938259000,893453000,920045000,1278722000,1424098000,1651927000,1861347000,2161698000,2518393000,2667061000,2828058000,3518196000,3487215000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,185000,- -,4211000,40174000,67066000,103163000,57234000,92278000,133134000,145875000,152199000,167638000,161862000,150962000,63256000,61346000,89842000,164261000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,21714000,19287000,21756000,44000000,43033000,46673000,50013000,49092000,4417488000,5066239000,6008498000,7259807000,8570178000,9686235000,10736371000,11694511000,12614450000,13810457000,13773269000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,208872000,263536000,428057000,547509000,735057000,976236000,1091435000,999779000,5429811000,6478095000,7578471000,9063933000,10599163000,12009795000,13405726000,14424828000,15503854000,17418495000,17424745000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,917617000,1037017000,1293013000,1489247000,1885573000,2333161000,2379187000,2556191000,6839909000,8331543000,9888602000,11707157000,13198201000,14481576000,16279356000,17486272000,18717867000,21082182000,21541541000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,117587000,145517000,170646000,188614000,254895000,306013000,237312000,253267000,269763000,324827000,336721000,427492000,454810000,441746000,494989000,529733000,593171000,737144000,799333000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,56051000,4446000,65527000,60225000,151733000,100678000,158985000,123200000,134293000,189388000,199409000,242979000,290502000,315509000,343266000,365554000,398339000,464436000,483532000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26551000,6327000,772000,3125000,222000,2438000,1554000,2029000,1404000,- -,3784000,1389000,218000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,74465000,92435000,93158000,114476000,105394000,83333000,94473000,100884000,104161000,132098000,148043000,205026000,251861000,247938000,267532000,278771000,319999000,333127000,415683000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,248103000,242398000,329331000,363315000,512022000,490024000,490770000,477351000,508217000,646313000,684173000,875497000,997173000,1005193000,1105787000,1174058000,1311509000,1534707000,1698548000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,100000000,100000000,128419000,134787000,33744000,227153000,178062000,27371000,3909492000,4509752000,5672175000,7024506000,8512466000,9942000000,11339793000,12262443000,13291085000,14944056000,15043537000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117288000,117887000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,4041000,- -,5027000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,10904000,13866000,29260000,31407000,92432000,127058000,- -,- -,130570000,502366000,513087000,490157000,531777000,629597000,725196000,732922000,758245000,834544000,434843000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,114945000,113866000,162706000,166194000,126176000,354211000,295350000,145258000,4040062000,5012118000,6185262000,7514663000,9044243000,10571597000,12064989000,12995365000,14049330000,15778600000,15478380000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,367674000,353591000,334384000,327838000,414654000,496136000,500363000,527406000,471651000,454571000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,363048000,356264000,492037000,529509000,638198000,844235000,786120000,622609000,4548279000,5658431000,6869435000,8390160000,10041416000,11576790000,13170776000,14169423000,15360839000,17313307000,17176928000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,51542000,51889000,52152000,52477000,108014000,109308000,110196000,111533000,112943000,113559000,112953000,110843000,104435000,97356000,93274000,89874000,83739000,81541000,81586000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,30282000,146732000,259660000,407715000,572147000,754580000,813793000,1095461000,1383105000,1744519000,1993772000,2214216000,1994221000,1746804000,1883283000,2047240000,2104146000,2488417000,2887897000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-61112000,-69233000,-88164000,-104247000,-20332000,-16728000,-16860000,-19546000,-25057000,-62459000,-59808000,-46271000,-65391000,-70196000,-56555000,-54312000,-68010000,-150071000,-118691000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,533857000,551365000,577328000,603793000,- -,641766000,- -,746134000,- -,877493000,972250000,1038209000,1123520000,1130822000,1188578000,1234047000,1237153000,1348988000,1513821000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,554569000,680753000,800976000,959738000,1247375000,1488926000,1593067000,1933582000,2291630000,2673112000,3019167000,3316997000,3156785000,2904786000,3108580000,3316849000,3357028000,3768875000,4364613000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,917617000,1037017000,1293013000,1489247000,1885573000,2333161000,2379187000,2556191000,6839909000,8331543000,9888602000,11707157000,13198201000,14481576000,16279356000,17486272000,18717867000,21082182000,21541541000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,917617000,1037017000,1293013000,1489247000,1885573000,2333161000,2379187000,2556191000,6839909000,8331543000,9888602000,11707157000,13198201000,14481576000,16279356000,17486272000,18717867000,21082182000,21541541000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1170010/000095016803001994/0000950168-03-001994-index.html,https://www.sec.gov/Archives/edgar/data/1170010/000119312504088404/0001193125-04-088404-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000119312505106899/0001193125-05-106899-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000119312506110797/0001193125-06-110797-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1170010/000117001008000043/0001170010-08-000043-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1170010/000117001010000032/0001170010-10-000032-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1170010/000119312512182512/0001193125-12-182512-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001013000010/0001170010-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001014000017/0001170010-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001015000008/0001170010-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001016000117/0001170010-16-000117-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001017000053/0001170010-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001018000054/0001170010-18-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001019000040/0001170010-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001020000033/0001170010-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001021000053/0001170010-21-000053-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-9300000,-34200000,-23500000,1118000,45564000,90802000,94802000,116450000,112928000,148055000,198597000,182025000,59213000,281668000,380878000,413795000,434284000,492586000,597358000,623428000,626970000,664112000,842413000,888433000,746919000
74,Depreciation and Amortization,1700000,4600000,10000000,15241000,18116000,16340000,14950000,16303000,20253000,26746000,34551000,46615000,54741000,58328000,59421000,82812000,95283000,101911000,115173000,137360000,168875000,179942000,182247000,215811000,242156000
75,Deferred Income Tax,1700000,-1900000,11300000,1225000,8758000,3162000,8880000,-1298000,-1184000,-11991000,-14169000,-24405000,-41502000,29761000,19393000,-872000,3858000,-17185000,-4299000,17237000,2324000,81007000,2300000,-1102000,-35787000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35436000,37858000,43606000,48089000,62112000,66480000,81880000,51077000,91595000,61879000,75011000,108861000,121899000
77,Change in Working Capital,-19400000,- -,- -,- -,- -,- -,460642000,70441000,4542000,42798000,-118984000,228407000,145975000,282079000,-549388000,305254000,418823000,141769000,-165862000,-135277000,301255000,119543000,15118000,226476000,289268000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2648000,-23558000,-40538000,33163000,-5527000,12038000,-57767000,5519000,-20217000,19067000,-6529000,-51240000,-43507000
79,Inventory,-23900000,-58900000,-55800000,-39909000,-62745000,-51947000,-67366000,389000,-110506000,-93133000,-166416000,-139661000,272620000,-139976000,-206344000,-43115000,-425221000,-123611000,-445450000,154845000,-328534000,-130131000,-128761000,-326961000,-323318000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-575000,117405000,51960000,-55187000,61752000,38286000,86360000,85442000,106788000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,460642000,531083000,535625000,578423000,6465000,866901000,-10546000,1079061000,-5405000,1207135000,1625958000,1767727000,1601865000,1466588000,1767843000,1887386000,1902504000,2128980000,2418248000
82,Other Non-Cash Items,-100000,-54600000,-79800000,-42677000,-54632000,-67663000,-507307000,-53432000,-91803000,-83313000,36805000,-353122000,10728000,-639404000,28892000,-911242000,-1792801000,-1398724000,-1592380000,-842718000,-1659157000,-1187033000,-954118000,-1675085000,-696695000
83,Cash Provided by Operating Activities,-25400000,-86100000,-82000000,-25093000,17806000,42641000,71967000,148464000,44736000,122295000,136800000,79520000,264591000,50290000,-17198000,-62164000,-778441000,-613163000,-968130000,-148893000,-468138000,-80550000,162971000,-236606000,667760000
84,CAPEX,-90400000,-234300000,-179900000,-45395000,-10834000,-41417000,-122032000,-181338000,-230080000,-194433000,-191760000,-253106000,-185700000,-22434000,-76580000,-172616000,-235707000,-310317000,-309817000,-315584000,-418144000,-296816000,-304636000,-331896000,-164536000
85,Acquisitions Net,- -,- -,- -,-34849000,-1325000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29911000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16765000,-26665000,-3987000,-2196000,- -,-3316000,-33895000,-5712000,-12418000,-11463000,-6724000,-8649000,-6147000,-59050000,-3729000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16765000,21665000,- -,2200000,4001000,52000,30318000,466000,655000,324000,730000,1692000,1578000,1579000,8325000
88,Other Investing Activites,-31700000,146300000,139400000,25340000,15506000,98965000,41621000,107493000,88999000,78340000,4569000,1089000,-151359000,-21325000,-76213000,-216138000,-251697000,-331435000,-348981000,-367656000,-459579000,-319830000,-303944000,-331893000,-162690000
89,Cash Used for Investing Activites,-122100000,-88000000,-40500000,-54904000,3347000,57548000,-80411000,-73845000,-141081000,-116093000,-187191000,-257017000,-155346000,-21321000,-72212000,-219402000,-255274000,-336681000,-360744000,-378795000,-465573000,-326787000,-308513000,-389364000,-128183000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-781966000,-792981000,-3526354000,-4472132000,-4694082000,-5533242000,-7254058000,-10165201000,-11140777000,-13466420000,-14158324000,-16912508000,-12878780000
91,Common Stock Issued,412300000,2400000,4000000,3456000,- -,- -,570000,4014000,3559000,6035000,35411000,14730000,10162000,31307000,38277000,15577000,63396000,39000000,82463000,47038000,59869000,73520000,58130000,124397000,143148000
92,Common Stock Repurchased,- -,- -,- -,- -,-109000,- -,- -,- -,- -,-804000,- -,- -,- -,- -,- -,- -,-203405000,-307248000,-916981000,-983941000,-564337000,-579570000,-904726000,-567747000,-229938000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-28400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-96500000,27700000,109800000,68843000,-22223000,-105705000,67603000,-51605000,60242000,-6798000,12676000,156277000,790191000,610386000,3600330000,5139658000,5874512000,6929871000,8817155000,11639580000,12579978000,14385916000,15190941000,18042841000,12541550000
95,Cash Used/Provided by Financing Activities,315800000,30100000,113800000,72299000,-22332000,-105705000,39773000,-47591000,63801000,-1567000,48087000,171007000,18387000,-151288000,112253000,683103000,1040421000,1128381000,728579000,537476000,934733000,413446000,186021000,686983000,-424020000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,315800000,30100000,113800000,-7698000,-1179000,-5516000,31329000,27028000,-32544000,4635000,-2304000,-6490000,127632000,-122319000,22843000,401537000,6706000,178537000,-600295000,9788000,1022000,6109000,40479000,61013000,115557000
98,Cash at the End of Period,- -,- -,- -,9981000,8802000,3286000,34615000,61643000,29099000,21759000,19455000,12965000,140597000,18278000,41121000,442658000,449364000,627901000,27606000,37394000,38416000,44525000,595377000,656390000,771947000
99,Cash at the Beginning of Period,2200000,170400000,26400000,17679000,9981000,8802000,3286000,34615000,61643000,17124000,21759000,19455000,12965000,140597000,18278000,41121000,442658000,449364000,627901000,27606000,37394000,38416000,554898000,595377000,656390000
100,Free Cash Flow,-115800000,-320400000,-261900000,-70488000,6972000,1224000,-50065000,-32874000,-185344000,-72138000,-54960000,-173586000,78891000,27856000,-93778000,-234780000,-1014148000,-923480000,-1277947000,-464477000,-886282000,-377366000,-141665000,-568502000,503224000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1170010/000095016803001994/0000950168-03-001994-index.html,https://www.sec.gov/Archives/edgar/data/1170010/000119312504088404/0001193125-04-088404-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000119312505106899/0001193125-05-106899-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000119312506110797/0001193125-06-110797-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1170010/000117001008000043/0001170010-08-000043-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1170010/000117001010000032/0001170010-10-000032-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1170010/000119312512182512/0001193125-12-182512-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001013000010/0001170010-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001014000017/0001170010-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001015000008/0001170010-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001016000117/0001170010-16-000117-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001017000053/0001170010-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001018000054/0001170010-18-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001019000040/0001170010-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001020000033/0001170010-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1170010/000117001021000053/0001170010-21-000053-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
