,https://roic.ai/company/SMG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,10000000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56400000,46800000,51000000,61800000,59200000,47300000,50500000,65600000,76100000,86400000,101800000,79600000,- -
14,Depreciation and Amortization,10300000,10700000,15800000,18100000,22000000,25700000,29300000,30400000,37800000,60200000,66300000,63600000,43500000,52200000,57700000,67200000,67000000,67500000,70300000,60400000,59400000,61700000,62400000,66100000,64400000,69000000,73500000,80100000,83400000,89300000,94700000,- -
15,EBITDA,3500000,15100000,42500000,40200000,62800000,66400000,30600000,100000000,99000000,171300000,182600000,92300000,187900000,215500000,216600000,225500000,279900000,255600000,86100000,327500000,435700000,353500000,299300000,379200000,369400000,364700000,593800000,491100000,221600000,796700000,685400000,672000000
16,EBITDA ratio,0.0100,0.0389,0.1030,0.0863,0.1036,0.0906,0.0407,0.1110,0.0889,0.1039,0.1035,0.0528,0.1067,0.1128,0.1063,0.0952,0.1038,0.0890,0.0289,0.1042,0.1388,0.1247,0.1059,0.1346,0.1300,0.1209,0.2094,0.1859,0.0832,0.2524,0.1659,0.1364
17,Operating Income,30700000,37500000,42600000,44400000,59200000,66800000,48000000,102600000,113500000,163600000,174900000,116400000,239200000,232500000,252800000,200900000,252500000,277200000,98000000,267100000,384600000,247000000,243600000,313200000,314600000,294600000,459300000,433400000,198900000,409600000,585200000,723000000
18,Operating Income ratio,0.0876,0.0966,0.1032,0.0953,0.0976,0.0912,0.0638,0.1139,0.1020,0.0993,0.0991,0.0666,0.1359,0.1217,0.1240,0.0848,0.0936,0.0965,0.0329,0.0850,0.1225,0.0871,0.0862,0.1112,0.1107,0.0977,0.1619,0.1640,0.0747,0.1298,0.1416,0.1468
19,Total Other Income Expenses (Gains),-37500000,-33100000,-16400000,-9100000,-17400000,-26100000,-46700000,-33000000,-51600000,-46600000,-58600000,-87700000,-76300000,-216200000,-94300000,-42800000,-39600000,-89100000,-82200000,-56400000,-46800000,-52200000,-61800000,-59200000,-58000000,-50500000,-66600000,-118500000,-83200000,172000000,-74600000,-210000000
20,Income Before Tax,-6800000,4400000,26200000,35300000,41800000,40700000,1300000,69600000,61900000,117000000,116300000,28700000,162900000,16300000,158500000,158100000,212900000,188100000,15800000,210700000,337800000,194800000,181800000,254000000,256600000,244100000,392700000,314900000,115700000,581600000,510600000,513000000
21,Income Before Tax Ratio,-0.0194,0.0113,0.0635,0.0758,0.0689,0.0555,0.0017,0.0773,0.0556,0.0710,0.0659,0.0164,0.0925,0.0085,0.0778,0.0667,0.0789,0.0655,0.0053,0.0671,0.1076,0.0687,0.0643,0.0902,0.0903,0.0809,0.1385,0.1192,0.0434,0.1843,0.1236,0.1042
22,Income Tax expense (Gain),100000,2700000,11100000,14300000,17900000,15600000,3800000,30100000,24900000,47900000,43200000,13200000,61900000,59500000,58000000,57700000,80200000,74700000,26700000,57400000,125400000,72900000,68600000,92800000,91200000,85400000,139400000,116600000,-11900000,144900000,123700000,159000000
23,Net Income,-6900000,1700000,15600000,7800000,22900000,25100000,-2500000,39500000,36300000,63200000,73100000,15500000,82500000,103800000,100900000,100600000,132700000,113400000,-10900000,153300000,204100000,167900000,106500000,161100000,166500000,159800000,315300000,218300000,63700000,460700000,387400000,513000000
24,Net Income ratio,-0.0197,0.0044,0.0378,0.0167,0.0378,0.0343,-0.0033,0.0438,0.0326,0.0383,0.0414,0.0089,0.0469,0.0543,0.0495,0.0425,0.0492,0.0395,-0.0037,0.0488,0.0650,0.0592,0.0377,0.0572,0.0586,0.0530,0.1112,0.0826,0.0239,0.1460,0.0938,0.1042
25,EPS,-0.19,0.07,0.43,0.20,0.61,0.56,-0.33,0.68,0.71,1.47,1.20,0.28,1.41,1.68,1.56,1.51,1.97,1.74,-0.17,2.36,3.08,2.60,1.75,2.61,2.70,2.62,5.24,3.68,1.13,8.30,6.96,9.20
26,EPS Diluted,-0.19,0.07,0.43,0.20,0.61,0.56,-0.33,0.68,0.60,1.04,1.13,0.26,1.30,1.61,1.51,1.47,1.91,1.69,-0.17,2.32,3.02,2.54,1.71,2.57,2.65,2.57,5.17,3.63,1.12,8.18,6.81,8.96
27,Weighted Average Shares Outstanding,36315789,50000000,35862069,39000000,37570000,45234000,37572000,58600000,37400000,36600000,55800000,56800000,58600000,61800000,64600000,66622517,67360406,65172414,64500000,64957627,66300000,64700000,61000000,61700000,61600000,61100000,61100000,59400000,56200000,55500000,55700000,55700000
28,Weighted Average Shares Outstanding Diluted,36315789,50000000,35862069,39000000,37657658,45234000,38000000,58600000,60600000,61000000,59200000,60800000,63400000,64200000,66600000,68435374,69476440,67100592,64500000,66077586,67600000,66200000,62100000,62600000,62700000,62200000,62000000,60200000,57100000,56300000,56900000,57200000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/825542/000089646394000118/0000896463-94-000118-index.html,https://www.sec.gov/Archives/edgar/data/825542/000089646395000153/0000896463-95-000153-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/825542/000095015200008701/0000950152-00-008701-index.html,https://www.sec.gov/Archives/edgar/data/825542/000095015201506415/0000950152-01-506415-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/825542/000095015205009969/l17406ae10vk.htm,https://www.sec.gov/Archives/edgar/data/825542/000095015206010156/l23626ae10vk.htm,https://www.sec.gov/Archives/edgar/data/825542/000095015207009349/0000950152-07-009349-index.html,https://www.sec.gov/Archives/edgar/data/825542/000095015208009725/0000950152-08-009725-index.html,https://www.sec.gov/Archives/edgar/data/825542/000095012309065759/0000950123-09-065759-index.html,https://www.sec.gov/Archives/edgar/data/825542/000095012310108803/0000950123-10-108803-index.html,https://www.sec.gov/Archives/edgar/data/825542/000119312511320616/0001193125-11-320616-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638012000025/0001546380-12-000025-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638013000032/0001546380-13-000032-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638014000035/0001546380-14-000035-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638015000033/0001546380-15-000033-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638016000078/0001546380-16-000078-index.html,- -,https://www.sec.gov/Archives/edgar/data/825542/000154638018000030/0001546380-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638019000034/0001546380-19-000034-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638020000045/0001546380-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/825542/000154638021000037/0001546380-21-000037-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,10700000,7000000,10600000,13000000,10600000,30300000,33000000,18700000,99700000,155900000,115600000,80200000,48100000,67900000,84700000,71600000,89100000,130900000,131900000,129800000,89300000,71400000,50100000,120500000,33900000,18800000,16600000,244000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207000
33,Cash and Short-Term Investments,- -,- -,- -,- -,10700000,7000000,10600000,13000000,10600000,30300000,33000000,18700000,99700000,155900000,172800000,80200000,48100000,67900000,84700000,71600000,89100000,130900000,131900000,129800000,89300000,71400000,50100000,120500000,33900000,18800000,16600000,451000
34,Net Receivables,- -,- -,- -,- -,115800000,176500000,110400000,104300000,146600000,201400000,216000000,220800000,249900000,284700000,292400000,323300000,380400000,397800000,406400000,401300000,408400000,323500000,344300000,219500000,236700000,202500000,214100000,197700000,226000000,339100000,474800000,483000
35,Inventory,- -,- -,- -,- -,106600000,144000000,148800000,146100000,177700000,313200000,307500000,368400000,269100000,276100000,290100000,324900000,409200000,405900000,415900000,458900000,403600000,387000000,414900000,324900000,385100000,407600000,448200000,407500000,481400000,540300000,621900000,1126000
36,Other Current Assets,- -,- -,- -,- -,17200000,21700000,22200000,22400000,32300000,96800000,87400000,86300000,111400000,93500000,75000000,59400000,104300000,127700000,137900000,159100000,136500000,151100000,108900000,206800000,223900000,267100000,279300000,156000000,144400000,143500000,103300000,- -
37,Total Current Assets,- -,- -,- -,- -,250300000,349200000,292000000,285800000,367200000,641700000,643900000,694200000,730100000,810200000,830300000,787800000,942000000,999300000,1044900000,1090900000,1037600000,992500000,1000000000,881000000,935000000,948600000,991700000,881700000,885700000,1041700000,1216600000,2060000
38,PP&E,- -,- -,- -,- -,140100000,148800000,139500000,146100000,197000000,259400000,290500000,310700000,329200000,338200000,328000000,337000000,367600000,365900000,344100000,369700000,394800000,394700000,427400000,422300000,437000000,453700000,470800000,467700000,530800000,546000000,716000000,622000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,458100000,462900000,377700000,375200000,372800000,309100000,309400000,315100000,350900000,432400000,373200000,441600000,543000000,538700000,544100000,605000
40,Intangible Assets,- -,- -,- -,- -,133500000,293700000,286700000,352200000,435100000,794100000,743100000,771100000,791700000,835500000,848900000,872400000,424700000,418800000,367200000,364200000,330200000,319600000,307100000,284400000,302700000,663500000,750900000,748900000,857300000,707500000,679200000,709000
41,Intangible Assets,- -,- -,- -,- -,133500000,293700000,286700000,352200000,435100000,794100000,743100000,771100000,791700000,835500000,848900000,872400000,882800000,881700000,744900000,739400000,703000000,628700000,616500000,599500000,653600000,1095900000,1124100000,1190500000,1400300000,1246200000,1223300000,1314000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000000,31100000,36100000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,4700000,15700000,13500000,3500000,35900000,74400000,83900000,67000000,50400000,44000000,40600000,21700000,25200000,30300000,22400000,20100000,28600000,36300000,30500000,34400000,32700000,29000000,121200000,176000000,201600000,194800000,224600000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,278300000,458200000,439700000,501800000,668000000,1127900000,1117500000,1148800000,1171300000,1217700000,1217500000,1231100000,1275600000,1277900000,1111400000,1129200000,1126400000,1059700000,1074400000,1056200000,1123300000,1578600000,1817100000,1865300000,2168800000,1987000000,2163900000,1936000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4676000
47,Total Assets,- -,- -,- -,- -,528600000,807400000,731700000,787600000,1035200000,1769600000,1761400000,1843000000,1901400000,2027900000,2047800000,2018900000,2217600000,2277200000,2156300000,2220100000,2164000000,2052200000,2074400000,1937200000,2058300000,2527200000,2808800000,2747000000,3054500000,3028700000,3380500000,4800000
48,Accounts Payable,- -,- -,- -,- -,42900000,63200000,46300000,54100000,77800000,133500000,153000000,150900000,134000000,177800000,130300000,151700000,200400000,202500000,207600000,190000000,153100000,150000000,152300000,137700000,193300000,197900000,165900000,153100000,150500000,214200000,391000000,609000
49,Short-Term Debt,- -,- -,- -,- -,27200000,500000,2200000,1500000,13300000,56400000,49400000,71300000,98200000,55400000,22100000,11100000,6000000,86400000,150000000,160400000,195000000,3200000,1500000,92400000,91900000,134800000,185000000,143100000,132600000,128100000,66400000,-2179000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,39600000,55700000,62300000,83700000,140800000,177000000,207400000,222900000,219600000,212600000,281200000,323400000,289800000,297700000,320500000,406400000,375800000,315400000,279800000,279700000,259500000,280400000,242200000,248300000,329600000,278200000,493000000,2710000
53,Total Current Liabilities,- -,- -,- -,- -,109700000,119400000,110800000,139300000,231900000,366900000,409800000,445100000,451800000,445800000,433600000,486200000,496200000,586600000,678100000,756800000,723900000,468600000,433600000,509800000,544700000,613100000,593100000,544500000,612700000,620500000,950400000,1140000
54,Long-Term Debt,- -,- -,- -,- -,220100000,272000000,223100000,219800000,359200000,893600000,813400000,816500000,731200000,702200000,608500000,382400000,475200000,1031400000,849500000,649700000,436700000,791800000,781100000,478100000,692400000,1028500000,1131100000,1258000000,1883800000,1523500000,1455100000,2236000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12600000,10700000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49200000,67900000,- -,- -,- -,65200000,71600000,96200000,120400000,125400000,219100000,157500000,69600000,36300000,25200000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,30600000,32400000,33500000,39200000,40200000,65800000,60300000,75200000,124500000,151700000,131100000,124100000,115300000,112000000,192000000,229100000,238900000,166800000,186200000,142600000,133600000,127100000,131200000,112700000,118100000,125200000,246900000,410000
58,Total Non-Current Liabilities,- -,- -,- -,- -,250700000,304400000,256600000,259000000,399400000,959400000,873700000,891700000,855700000,853900000,739600000,506500000,639700000,1211300000,1041500000,878800000,675600000,1023800000,1038900000,716900000,946400000,1281000000,1481400000,1540800000,2082200000,1685000000,1727200000,2646000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160800000,- -
61,Total Liabilities,- -,- -,- -,- -,360400000,423800000,367400000,398300000,631300000,1326300000,1283500000,1336800000,1307500000,1299700000,1173200000,992700000,1135900000,1797900000,1719600000,1635600000,1399500000,1492400000,1472500000,1226700000,1491100000,1894100000,2074500000,2085300000,2694900000,2305500000,2677600000,3786000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,300000,300000,300000,300000,300000,300000,- -,- -,472400000,451500000,434000000,- -,408600000,397500000,395300000,400400000,401700000,407600000,420300000,442200000,482500000,- -
64,Retained Earnings,- -,- -,- -,- -,13900000,35400000,20400000,50100000,76600000,130100000,196800000,212300000,294800000,398600000,499500000,591500000,690700000,260500000,216700000,337500000,499600000,599200000,630200000,703400000,636900000,684200000,881800000,978200000,919900000,1274700000,1235600000,1605000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-67900000,-82500000,-94800000,-102400000,-134200000,-162600000,-182300000,-204600000,-246000000,-270500000,-301400000,-57000000,-52000000,-42000000,-67000000,-73000000,-77000000,-78000000,-87000000,-78000000,-86000000,-107000000,-117000000,-69200000,-46000000,-94000000,-99000000,-66000
66,Other Total Stockholders Equity,- -,- -,- -,- -,222200000,430700000,438700000,441600000,461500000,475600000,463100000,498200000,544800000,599800000,676200000,491400000,443000000,260800000,-185400000,-131500000,-92100000,38600000,-349900000,-312400000,-392500000,-356900000,-451300000,- -,-939600000,-904200000,-921900000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,168200000,383600000,364300000,389300000,403900000,443300000,477900000,506200000,593900000,728200000,874600000,1026200000,1081700000,479300000,436700000,584500000,764500000,559800000,601900000,710500000,553700000,620700000,715200000,648800000,354600000,718700000,697200000,1013300000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,528600000,807400000,731700000,787600000,1035200000,1769600000,1761400000,1843000000,1901400000,2027900000,2047800000,2018900000,2217600000,2277200000,2156300000,2220100000,2164000000,2052200000,2074400000,1937200000,2044800000,2514800000,2789700000,2734100000,3049500000,3024200000,3374800000,1017086000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13500000,12400000,19100000,12900000,5000000,4500000,5700000,-1012286000
70,Total Liabilities & Equity,- -,- -,- -,- -,528600000,807400000,731700000,787600000,1035200000,1769600000,1761400000,1843000000,1901400000,2027900000,2047800000,2018900000,2217600000,2277200000,2156300000,2220100000,2164000000,2052200000,2074400000,1937200000,2058300000,2527200000,2808800000,2747000000,3054500000,3028700000,3380500000,4800000
71,SEC Link,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/825542/000089646394000118/0000896463-94-000118-index.html,https://www.sec.gov/Archives/edgar/data/825542/000089646395000153/0000896463-95-000153-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/825542/000095015200008701/0000950152-00-008701-index.html,https://www.sec.gov/Archives/edgar/data/825542/000095015201506415/0000950152-01-506415-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/825542/000095015205009969/l17406ae10vk.htm,https://www.sec.gov/Archives/edgar/data/825542/000095015206010156/l23626ae10vk.htm,https://www.sec.gov/Archives/edgar/data/825542/000095015207009349/0000950152-07-009349-index.html,https://www.sec.gov/Archives/edgar/data/825542/000095015208009725/0000950152-08-009725-index.html,https://www.sec.gov/Archives/edgar/data/825542/000095012309065759/0000950123-09-065759-index.html,https://www.sec.gov/Archives/edgar/data/825542/000095012310108803/0000950123-10-108803-index.html,https://www.sec.gov/Archives/edgar/data/825542/000119312511320616/0001193125-11-320616-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638012000025/0001546380-12-000025-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638013000032/0001546380-13-000032-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638014000035/0001546380-14-000035-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638015000033/0001546380-15-000033-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638016000078/0001546380-16-000078-index.html,- -,https://www.sec.gov/Archives/edgar/data/825542/000154638018000030/0001546380-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638019000034/0001546380-19-000034-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638020000045/0001546380-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/825542/000154638021000037/0001546380-21-000037-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6900000,1700000,15600000,7800000,22900000,25100000,-2500000,39500000,36300000,63200000,73100000,15500000,82500000,103800000,100900000,100600000,132700000,113400000,-10900000,153300000,204100000,167900000,106500000,161100000,166500000,159800000,315300000,218300000,63700000,460700000,387400000,513000000
74,Depreciation and Amortization,10300000,10700000,15800000,18100000,22000000,25700000,29300000,30400000,37800000,60200000,66300000,63600000,43500000,52200000,57700000,67200000,67000000,67500000,70300000,60400000,59400000,61700000,62400000,66100000,64400000,69000000,73500000,80100000,83400000,89300000,94700000,- -
75,Deferred Income Tax,- -,- -,1600000,2400000,5400000,-900000,-5700000,-1500000,-2400000,500000,- -,-19900000,21200000,48300000,17600000,-13600000,-400000,6300000,-16500000,-6000000,37700000,-11300000,24200000,24200000,12100000,1300000,83600000,-17400000,-87600000,-33300000,-11100000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14500000,16400000,16000000,12500000,10300000,11100000,13200000,15600000,25200000,40400000,38400000,57900000,- -
77,Change in Working Capital,-7100000,- -,- -,140600000,- -,89200000,-48600000,-34700000,-11200000,139500000,-40700000,15000000,29200000,86100000,32300000,-95100000,144200000,-33100000,-45900000,-32700000,-20400000,210200000,42500000,-195200000,19100000,-54800000,63100000,-61400000,-64200000,148200000,-155000000,-265280000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7100000,-10700000,10400000,-6900000,17900000,-29400000,-12500000,-29800000,48600000,-2700000,600000,-188100000,- -
79,Inventory,3000000,1700000,-3300000,-11100000,-10400000,-23000000,-4900000,17300000,-5700000,-21600000,5800000,-68500000,99400000,-5300000,-14000000,-15800000,-60600000,13200000,-17900000,-47400000,50800000,-37800000,-23100000,89000000,-38700000,-17500000,-29400000,3600000,14300000,-65000000,-80600000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17300000,-31200000,6100000,-6900000,-5200000,52600000,6900000,-45300000,9000000,-3900000,54300000,172200000,- -
81,Other Working Capital,- -,- -,- -,140600000,140600000,229800000,181200000,146500000,135300000,274800000,234100000,249100000,278300000,364400000,396700000,301600000,445800000,412700000,366800000,334100000,313700000,523900000,566400000,371200000,390300000,335500000,398600000,337200000,273000000,421200000,266200000,920000
82,Other Non-Cash Items,14300000,14200000,-5600000,-144200000,-40400000,-134600000,109800000,87400000,10500000,-185200000,72800000,-8500000,47900000,-72400000,5700000,167600000,-161100000,92500000,203900000,75100000,-1300000,-322400000,-94700000,275500000,-32300000,58400000,-313700000,109200000,306800000,-476500000,184100000,-247720000
83,Cash Provided by Operating Activities,10600000,26600000,27400000,24700000,9900000,4500000,82300000,121100000,71000000,78200000,171500000,65700000,224300000,218000000,214200000,226700000,182400000,246600000,200900000,264600000,295900000,122100000,153400000,342000000,240900000,246900000,237400000,354000000,342500000,226800000,558000000,- -
84,CAPEX,-8500000,-8800000,-19900000,-15200000,-150500000,-23600000,-18200000,-28600000,-192700000,-572900000,-72500000,-63400000,-57000000,-51800000,-35100000,-40400000,-57000000,-54000000,-56100000,-75400000,-83400000,-72700000,-69400000,-60100000,-87600000,-361700000,-58300000,-69600000,-68200000,-42400000,-62700000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26500000,-31000000,-20400000,-8200000,-77700000,-118400000,-18700000,- -,-9300000,- -,246000000,-7000000,-3200000,-106800000,-180200000,-182600000,58600000,-528200000,267700000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-121400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64200000,57200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-400000,200000,100000,-16100000,400000,16900000,800000,-43900000,600000,1300000,-16000000,-11100000,-25000000,-36700000,-12300000,- -,1300000,500000,-3000000,1400000,24500000,-19800000,700000,-900000,38800000,-294500000,106500000,33400000,15700000,29900000,109600000,- -
89,Cash Used for Investing Activites,-8900000,-8600000,-19800000,-31300000,-150100000,-6700000,-17400000,-72500000,-192100000,-571600000,-88500000,-101000000,-113000000,-108900000,-112800000,-60900000,-174100000,-72200000,-59100000,-83300000,-58900000,153500000,-75700000,-64200000,-155600000,-536400000,-134400000,22400000,-580700000,255200000,46900000,- -
