,https://roic.ai/company/CUZ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,200000,-3000000,100000,900000,-1100000,2500000,100000,10400000,-7400000,15400000,2700000,2692000,-5159000,3562000,-6317000,-1645000,1894000,4210000,7923000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-16100000,-26900000,-25700000,-20800000,-174100000,-182900000,-176200000,-164000000,-169400000,-63600000,925414000,1069701000,-255700000,53810000,72840000,6150000,34911000,18232000,195401000,4214000,-14569000,18657000,1988000,87500000,-5588000,276968000,97695000,-2110869000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-5800000,-10300000,-500000,-6600000,16100000,15850000,5838000,3969000,159930000,37866000,-35613000,-2179000,-16970000,-105766000,-1183170000,-343353000,1293018000,-359609000,-83585000,35758000,-81365000,48644000,-49337000,186098000,-42116000,-83852000,-92650000,-200784000,-111277000,-317467000,71053000,2028428000,-200389000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,12000000,9400000,10800000,11400000,15100000,35607000,37720000,57104000,57953000,89538000,91827000,103586000,94020000,102745000,100904000,245949000,57076000,226282000,8372000,40568000,43164000,79696000,55581000,95322000,137340000,142400000,151661000,111282000,211649000,229034000,303177000,351088000,389478000
84,CAPEX,- -,- -,- -,- -,-21800000,-6900000,-1400000,-6000000,-31400000,-53573000,-87234000,-162154000,-80628000,-194255000,-337961000,-215958000,-140346000,-87988000,-109758000,-174512000,-256428000,-460913000,-283966000,-159131000,-53874000,-33761000,-181909000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24603000,-404000,- -,- -,1628000,-7345000,-18342000,-9985000,34662000,-7566000,-50933000,-23361000,49316000,1989000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48883000,-9318000,-268000,-8863000,-34712000,-36195000,-36820000,-44030000,-9485000,-34419000,-36010000,-35430000,-23747000,-14413000,-49000,-34000,-26229000,-23341000,- -,- -,- -,- -,-26190000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,45011000,841000,27703000,3472000,30528000,6258000,2742000,2916000,5000,28038000,2479000,29615000,88126000,14871000,62717000,11778000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,14700000,-12700000,-400000,-600000,-92100000,11900000,6344000,9981000,30456000,98481000,209021000,19143000,60766000,14508000,290916000,578092000,46992000,574535000,34961000,-12664000,-2812000,86842000,160388000,240333000,-1258848000,-443273000,48467000,452467000,119676000,-233551000,-334063000,-181779000,-193055000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-7100000,-19600000,-1800000,-6600000,-123500000,-45545000,-89367000,-124738000,-55563000,-99958000,-158877000,-230893000,-120694000,-82960000,174777000,370049000,-215251000,178001000,-248547000,-133730000,-45346000,26852000,-44862000,241961000,-1266193000,-461615000,38482000,460939000,112110000,-284484000,-357424000,-132463000,-191066000
90,Debt Repayment,- -,- -,- -,- -,-7900000,- -,-500000,-35000000,- -,-67114000,-87056000,-92003000,-145114000,-237924000,-259155000,-313028000,-324340000,-320029000,-300820000,-630845000,-650059000,-1560173000,-1650074000,-254396000,-511819000,-208033000,-222968000,-644958000,-402887000,-687393000,-426951000,-1582100000,-1219213000,-39402000,-1651679000,-633300000,-1218869000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,-100000,99600000,77000,5848000,12074000,71795000,10956000,12651000,15017000,16414000,12984000,9850000,9120000,7547000,14664000,5548000,1156000,318406000,- -,- -,- -,826233000,321845000,8000,- -,211521000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-900000,- -,- -,57800000,- -,- -,- -,- -,- -,- -,-4990000,- -,-12475000,-41891000,-5538000,- -,- -,- -,-21946000,-15841000,- -,- -,- -,- -,-74827000,-94775000,-47790000,-13743000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-22700000,-10400000,-10400000,-11500000,-17200000,-25064000,-27691000,-31912000,-37606000,-47064000,-53886000,-60315000,-68595000,-73345000,-174627000,-456031000,-91771000,-21202000,-2637000,-92710000,-42893000,-25083000,-31556000,-31655000,-37200000,-64510000,-69196000,-243303000,-99151000,-107167000,-142941000,-176263000,-182840000
94,Other Financing Activites,- -,- -,- -,- -,18700000,8600000,1400000,9400000,26700000,73762000,158691000,179521000,139631000,253105000,372554000,485856000,424530000,401045000,193113000,528993000,812304000,1164630000,1915571000,520091000,164989000,124703000,241064000,511364000,641617000,843073000,355789000,1300609000,937508000,-1031000,1863780000,579468000,1207327000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-12800000,-1800000,-9500000,20600000,109100000,-18339000,49792000,67680000,28706000,-20927000,67174000,127530000,35534000,-21236000,-278022000,-548763000,78021000,-402081000,246462000,158300000,-71317000,-108413000,-13460000,-165249000,952936000,318240000,-188140000,-538537000,-169335000,-147600000,69160000,-230095000,-194382000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-12800000,-1800000,-9500000,20600000,109100000,-28277000,-1855000,46000,31096000,-31347000,124000,223000,8860000,-1085000,6406000,76429000,-80154000,2202000,6287000,65138000,-73499000,-1865000,-2741000,172034000,-175917000,318240000,-188140000,33684000,154424000,-203050000,14913000,-11470000,4030000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,3407000,1552000,1598000,32694000,1347000,1473000,1696000,10556000,9471000,13061000,89490000,9336000,11538000,17825000,82963000,9464000,7599000,4858000,176892000,975000,- -,2003000,35687000,205745000,2695000,17608000,6138000,10168000
99,Cash at the Beginning of Period,- -,- -,- -,- -,25900000,18000000,6000000,5600000,31000000,31684000,3407000,1552000,1598000,32694000,1349000,1473000,1696000,10556000,6655000,13061000,89490000,9336000,11538000,17825000,82963000,9464000,7599000,4858000,176892000,975000,- -,2003000,51321000,205745000,2695000,17608000,6138000
100,Free Cash Flow,- -,- -,- -,- -,-9800000,2500000,9400000,5400000,-16300000,-17966000,-49514000,-105050000,-22675000,-104717000,-246134000,-112372000,-46326000,14757000,-8854000,71437000,-199352000,-234631000,-275594000,-118563000,-10710000,45935000,-126328000,95322000,137340000,142400000,151661000,111282000,211649000,229034000,303177000,351088000,389478000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25232/000002523295000014/0000025232-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/25232/000002523296000005/0000025232-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/25232/000002523297000010/0000025232-97-000010-index.html,https://www.sec.gov/Archives/edgar/data/25232/000002523298000007/0000025232-98-000007-index.html,https://www.sec.gov/Archives/edgar/data/25232/000002523299000006/0000025232-99-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/25232/000002523201000008/0000025232-01-000008-index.html,https://www.sec.gov/Archives/edgar/data/25232/000002523202000004/0000025232-02-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/25232/000095014404002365/g87647e10vk.htm,https://www.sec.gov/Archives/edgar/data/25232/000095014405003010/g92428e10vk.htm,https://www.sec.gov/Archives/edgar/data/25232/000095014406002214/g00095e10vk.htm,https://www.sec.gov/Archives/edgar/data/25232/000095014407001708/g05656e10vk.htm,https://www.sec.gov/Archives/edgar/data/25232/000095014408001400/g11894e10vk.htm,https://www.sec.gov/Archives/edgar/data/25232/000095014409001718/0000950144-09-001718-index.html,https://www.sec.gov/Archives/edgar/data/25232/000095012310017665/0000950123-10-017665-index.html,https://www.sec.gov/Archives/edgar/data/25232/000095012311019590/g26200e10vk.htm,https://www.sec.gov/Archives/edgar/data/25232/000119312512070500/0001193125-12-070500-index.html,https://www.sec.gov/Archives/edgar/data/25232/000002523213000004/0000025232-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/25232/000002523214000004/form10-kdecember312013.htm,https://www.sec.gov/Archives/edgar/data/25232/000002523215000006/form10-kdecember312014.htm,https://www.sec.gov/Archives/edgar/data/25232/000002523216000046/0000025232-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/25232/000002523217000006/0000025232-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/25232/000002523218000007/0000025232-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/25232/000002523219000006/0000025232-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/25232/000002523220000004/0000025232-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/25232/000002523221000008/0000025232-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/25232/000002523222000005/0000025232-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
