,https://roic.ai/company/SRI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0795,0.1166,0.1125,0.1441,0.1127,0.0607,0.1150,0.0962,-0.1842,0.0346,0.0495,0.0479,-0.0575,-0.0384,0.0359,0.0177,0.0306,0.0419,-0.0391,0.0431,0.0633,0.0696,0.0774,0.0854,-0.0118,0.0200
19,Total Other Income Expenses (Gains),-4300000,-1500000,-700000,-30200000,-28372000,-31599000,-35098000,-27350000,-23586000,-18791000,-15424000,-11575000,-7504000,-15083000,-11500000,58116000,-24169000,-18970000,-27237000,-7585000,-4897000,-4788000,-1946000,-2888000,-3060000,32932000
20,Income Before Tax,24600000,50900000,56000000,67100000,46794000,3896000,38089000,31020000,-149156000,4436000,19639000,23224000,-50775000,-33326000,11303000,71642000,4560000,20734000,-53060000,20230000,39185000,52582000,65058000,68393000,-10724000,- -
21,Income Before Tax Ratio,0.0676,0.1132,0.1112,0.0994,0.0701,0.0067,0.0598,0.0511,-0.2188,0.0066,0.0277,0.0319,-0.0675,-0.0701,0.0178,0.0936,0.0049,0.0219,-0.0803,0.0314,0.0563,0.0638,0.0751,0.0820,-0.0165,- -
22,Income Tax expense (Gain),500000,3900000,22600000,25900000,14085000,950000,13426000,9641000,-56653000,3503000,5126000,6553000,46752000,-1003000,678000,26105000,812000,4226000,-1856000,-547000,-36389000,7533000,11210000,8102000,-2774000,9030000
23,Net Income,24100000,47000000,33400000,41200000,32709000,2946000,-48778000,21379000,-92503000,933000,14513000,16671000,-97527000,-32405000,10809000,49357000,5361000,15131000,-47108000,22774000,77461000,45179000,53848000,60291000,-7950000,3406000
24,Net Income ratio,0.0663,0.1046,0.0663,0.0610,0.0490,0.0050,-0.0766,0.0352,-0.1357,0.0014,0.0205,0.0229,-0.1296,-0.0682,0.0170,0.0645,0.0057,0.0160,-0.0713,0.0353,0.1113,0.0548,0.0622,0.0723,-0.0123,0.0044
25,EPS,1.73,2.92,1.49,1.84,1.46,0.13,-2.18,0.95,-4.09,0.04,0.63,0.72,-4.17,-1.37,0.45,2.04,0.20,0.57,-1.75,0.83,2.79,1.61,1.90,2.17,-0.29,0.13
26,EPS Diluted,1.73,2.92,1.49,1.84,1.46,0.13,-2.18,0.94,-4.09,0.04,0.63,0.71,-4.17,-1.37,0.44,2.00,0.20,0.56,-1.75,0.81,2.74,1.57,1.85,2.13,-0.29,0.12
27,Weighted Average Shares Outstanding,13930636,16073000,22397000,22397000,22397000,22397000,22375229,22415000,22622000,22709000,22866000,23133000,23367000,23626000,23946000,24181000,26377000,26671000,26924000,27338000,27764000,28082000,28402000,27792000,27025000,27114000
28,Weighted Average Shares Outstanding Diluted,13930636,16125000,22477876,22408759,22397000,22467000,22582407,22683000,22622000,22775000,23062000,23548000,23367000,23626000,24333000,24645000,27032000,27193000,26924000,27959000,28309000,28772000,29080000,28270000,27025000,27416000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1043337/000095013098001599/0000950130-98-001599-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000095013099001880/0000950130-99-001880-index.html,- -,https://www.sec.gov/Archives/edgar/data/1043337/000102140801001952/0001021408-01-001952-index.html,- -,https://www.sec.gov/Archives/edgar/data/1043337/000102140803005254/0001021408-03-005254-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000119312504041801/0001193125-04-041801-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000095015205001973/0000950152-05-001973-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000095015206002168/l17338ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1043337/000095015207002240/l24291ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1043337/000095015208002026/l30036ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1043337/000114420409014239/0001144204-09-014239-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000114420410013862/0001144204-10-013862-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000114420411011167/v212433_10k.htm,https://www.sec.gov/Archives/edgar/data/1043337/000114420412015319/0001144204-12-015319-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000114420413014041/0001144204-13-014041-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000114420414014122/v370738_10k.htm,https://www.sec.gov/Archives/edgar/data/1043337/000114420415015961/v404038_10k.htm,https://www.sec.gov/Archives/edgar/data/1043337/000114420416087901/0001144204-16-087901-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000114420417012328/0001144204-17-012328-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000114420418013135/0001144204-18-013135-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000155837019001215/0001558370-19-001215-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000155837020001657/0001558370-20-001657-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000155837021001646/0001558370-21-001646-index.htm,https://www.sec.gov/Archives/edgar/data/1043337/000155837022002389/0001558370-22-002389-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,400000,1300000,1900000,3900000,5594000,4369000,27235000,24142000,52332000,40784000,65882000,95924000,92692000,91907000,71974000,78731000,44555000,62825000,43021000,54361000,50389000,66003000,81092000,69403000,73919000,85547000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,400000,1300000,1900000,3900000,5594000,4369000,27235000,24142000,52332000,40784000,65882000,95924000,92692000,91907000,71974000,78731000,44555000,62825000,43021000,54361000,50389000,66003000,81092000,69403000,73919000,85547000
34,Net Receivables,46800000,57900000,84700000,98700000,91680000,91018000,79342000,89161000,100615000,100362000,106985000,122288000,96535000,81272000,102600000,162354000,141503000,133736000,105102000,94937000,113225000,142438000,139076000,138564000,136745000,- -
35,Inventory,30200000,38600000,53300000,65700000,70159000,54504000,51139000,48642000,56397000,53791000,58521000,57392000,54800000,40244000,51828000,120645000,96032000,114058000,71253000,61009000,60117000,73471000,79278000,93449000,90548000,138115000
36,Other Current Assets,5300000,12700000,17600000,24000000,27321000,22854000,17959000,17681000,26275000,23743000,22644000,25755000,10564000,17247000,20443000,28393000,28964000,29617000,26135000,21602000,17162000,21457000,20731000,29850000,33452000,- -
37,Total Current Assets,82700000,110500000,157500000,192300000,194754000,172745000,175675000,179626000,235619000,218680000,254032000,301359000,254591000,230670000,246845000,390123000,311054000,340236000,245511000,231909000,240893000,303369000,320177000,331266000,334664000,- -
38,PP&E,55200000,58700000,94800000,106200000,113855000,118061000,111838000,116262000,114004000,113478000,114586000,92752000,87701000,76991000,76576000,124802000,119147000,110872000,85311000,85264000,91500000,110402000,112213000,144510000,138268000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65176000,65176000,- -,- -,- -,68808000,66381000,58521000,1078000,981000,931000,38419000,36717000,35874000,39104000,- -
40,Intangible Assets,30800000,46900000,355400000,369300000,357526000,347724000,255292000,255292000,65176000,65176000,- -,- -,- -,- -,- -,102731000,84397000,68842000,56637000,35718000,39260000,75243000,62032000,58122000,55394000,- -
41,Intangible Assets,30800000,46900000,355400000,369300000,357526000,347724000,255292000,255292000,65176000,65176000,65176000,65176000,- -,- -,- -,171539000,150778000,127363000,57715000,36699000,40191000,113662000,98749000,93996000,94498000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54864000,60184000,11193000,11712000,9851000,10214000,10380000,21945000,31604000,28380000,32437000,53978000,42081000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,34800000,38290000,37138000,29028000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,9800000,19000000,30400000,30500000,30860000,28313000,28322000,28487000,24979000,26491000,30875000,39454000,40145000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,95800000,124600000,480600000,506000000,502241000,494098000,395452000,400041000,238959000,243435000,247775000,226410000,127846000,131855000,136760000,307534000,281637000,248086000,153240000,132343000,153636000,255668000,239342000,270943000,286744000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254575000
47,Total Assets,178500000,235100000,638100000,698300000,696995000,666843000,571127000,579667000,474578000,462115000,501807000,527769000,382437000,362525000,383605000,697657000,592691000,588322000,398751000,364252000,394529000,559037000,559519000,602209000,621408000,254575000
48,Accounts Payable,21400000,31500000,45800000,42300000,45199000,50792000,43151000,53594000,57709000,55344000,72493000,69373000,50719000,50947000,68341000,83859000,76303000,84884000,58593000,55225000,62594000,79386000,87894000,80701000,86103000,- -
49,Short-Term Debt,- -,500000,21200000,25800000,34562000,41621000,1992000,417000,109000,44000,- -,- -,- -,- -,- -,83427000,20085000,12187000,19655000,13905000,8626000,4192000,1533000,2672000,7673000,5248000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,21300000,33600000,48300000,47100000,34924000,33933000,45070000,54569000,54484000,46603000,45624000,47198000,43485000,36827000,44442000,91417000,57081000,56651000,42066000,38920000,41489000,52546000,57880000,55223000,52272000,- -
53,Total Current Liabilities,42700000,65600000,115300000,115200000,114685000,126346000,90213000,108580000,112302000,101991000,118117000,116571000,94204000,87774000,112783000,258703000,153469000,153722000,120314000,108050000,112709000,136124000,147307000,138596000,146048000,5248000
54,Long-Term Debt,51200000,9100000,322700000,331900000,296079000,249720000,248918000,200245000,200052000,200000000,200000000,200000000,183000000,183431000,167903000,183711000,181311000,185045000,110651000,104458000,75060000,124852000,96983000,126454000,151434000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,3100000,8100000,16000000,22352000,24352000,15278000,25288000,- -,- -,1923000,2665000,7002000,- -,- -,69110000,59819000,57026000,50006000,41332000,9760000,18874000,14895000,12530000,12935000,10706000
57,Other Non-Current Liabilities,- -,100000,1500000,3600000,1693000,6818000,816000,2148000,6619000,6133000,3145000,2344000,6473000,17263000,14831000,5494000,4258000,3995000,3974000,3983000,4923000,35115000,17068000,34725000,14357000,- -
58,Total Non-Current Liabilities,51200000,12300000,332300000,351500000,320124000,280890000,265012000,227681000,206671000,206133000,205068000,205009000,196475000,200694000,182734000,258315000,245388000,246066000,164631000,149773000,89743000,178841000,128946000,173709000,178726000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191135000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17971000,15434000,- -
61,Total Liabilities,93900000,77900000,447600000,466700000,434809000,407236000,355225000,336261000,318973000,308124000,323185000,321580000,290679000,288468000,295517000,517018000,398857000,399788000,284945000,257823000,202452000,314965000,276253000,312305000,324774000,196383000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,75400000,15900000,49300000,90500000,123211000,126157000,77379000,98758000,6255000,7188000,21701000,38372000,-59155000,-91560000,-80751000,-28263000,-22902000,-7771000,-54879000,-32105000,45356000,92264000,146251000,206542000,212342000,- -
65,Other Comprehensive Income/Loss,-36400000,-45000000,-56300000,-68600000,-86305000,-99468000,-117017000,-136438000,-163558000,-1000000,7000000,14000000,-7000000,3000000,4000000,-10000000,-10000000,-30000000,-45000000,-70000000,-68000000,-70000000,-86000000,-91000000,-89635000,-97024000
66,Other Total Stockholders Equity,45600000,186300000,197500000,209700000,225280000,232918000,255540000,281086000,312908000,147803000,149921000,153817000,157913000,158125000,160531000,169290000,182655000,186765000,191135000,195224000,200959000,221808000,223015000,174362000,- -,- -
67,Total Stockholders Equity,84600000,157200000,190500000,231600000,262186000,259607000,215902000,243406000,155605000,153991000,178622000,206189000,91758000,69565000,83780000,131027000,149753000,148994000,91256000,93119000,178315000,244072000,283266000,289904000,296634000,295950000
68,Total Liabilities And Stockholders Equity,178500000,235100000,638100000,698300000,696995000,666843000,571127000,579667000,474578000,462115000,501807000,527769000,382437000,358033000,379297000,648045000,548610000,548782000,376201000,350942000,380767000,559037000,559519000,602209000,621408000,492333000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4492000,4308000,49612000,44081000,39540000,22550000,13310000,13762000,- -,- -,- -,- -,-237758000
70,Total Liabilities & Equity,178500000,235100000,638100000,698300000,696995000,666843000,571127000,579667000,474578000,462115000,501807000,527769000,382437000,362525000,383605000,697657000,592691000,588322000,398751000,364252000,394529000,559037000,559519000,602209000,621408000,254575000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1043337/000095013098001599/0000950130-98-001599-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000095013099001880/0000950130-99-001880-index.html,- -,https://www.sec.gov/Archives/edgar/data/1043337/000102140801001952/0001021408-01-001952-index.html,- -,https://www.sec.gov/Archives/edgar/data/1043337/000102140803005254/0001021408-03-005254-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000119312504041801/0001193125-04-041801-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000095015205001973/0000950152-05-001973-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000095015206002168/l17338ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1043337/000095015207002240/l24291ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1043337/000095015208002026/l30036ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1043337/000114420409014239/0001144204-09-014239-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000114420410013862/0001144204-10-013862-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000114420411011167/v212433_10k.htm,https://www.sec.gov/Archives/edgar/data/1043337/000114420412015319/0001144204-12-015319-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000114420413014041/0001144204-13-014041-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000114420414014122/v370738_10k.htm,https://www.sec.gov/Archives/edgar/data/1043337/000114420415015961/v404038_10k.htm,https://www.sec.gov/Archives/edgar/data/1043337/000114420416087901/0001144204-16-087901-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000114420417012328/0001144204-17-012328-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000114420418013135/0001144204-18-013135-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000155837019001215/0001558370-19-001215-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000155837020001657/0001558370-20-001657-index.html,https://www.sec.gov/Archives/edgar/data/1043337/000155837021001646/0001558370-21-001646-index.htm,https://www.sec.gov/Archives/edgar/data/1043337/000155837022002389/0001558370-22-002389-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,24100000,47000000,33400000,41200000,32709000,2946000,-48778000,21379000,-92503000,933000,14513000,16671000,-97527000,-32405000,10809000,49357000,5361000,15131000,-47108000,22774000,77461000,45179000,53848000,60291000,-7950000,3406000
74,Depreciation and Amortization,10000000,13200000,14400000,27900000,28680000,29568000,26413000,25079000,26757000,27421000,27561000,29821000,27516000,20928000,19070000,18847000,35321000,35225000,30081000,22797000,23613000,28254000,29517000,31483000,33235000,- -
75,Deferred Income Tax,- -,-1100000,-1700000,8900000,7166000,7052000,12408000,8799000,-57563000,815000,3466000,3823000,46239000,-3200000,-778000,23938000,-2733000,-3081000,-3238000,-2165000,-39724000,-6817000,968000,5586000,-7953000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1252000,2266000,4423000,4890000,4974000,5406000,7224000,6134000,7265000,5632000,6191000,5888000,- -
77,Change in Working Capital,-9200000,4900000,-2700000,34900000,2969000,-33670000,39063000,-14416000,52271000,-6628000,19226000,48873000,-24401000,-17491000,-8834000,-2642000,26165000,28929000,-61317000,-1338000,4325000,39061000,5625000,19800000,-4054000,-43593000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16619000,-21012000,-11658000,19466000,4122000,-19400000,-489000,-18694000,-15156000,-3575000,-1353000,4164000,- -
79,Inventory,-3700000,-4000000,-1900000,-3600000,-5905000,14462000,5223000,4876000,-6386000,517000,-2350000,933000,-1786000,17255000,-11586000,-9895000,20995000,-23646000,3161000,-4340000,4519000,-2132000,-10002000,-15653000,4000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2111000,16705000,-23879000,-7282000,9485000,524000,6577000,10980000,10492000,11054000,-6980000,3642000,16515000
81,Other Working Capital,40000000,44900000,42200000,77100000,80069000,46399000,85462000,71046000,123317000,116689000,135915000,184788000,160387000,142896000,134062000,131420000,157585000,186514000,125197000,123859000,128184000,167245000,172870000,192670000,188616000,- -
82,Other Non-Cash Items,400000,-200000,2600000,-68700000,-19122000,56755000,66519000,31513000,119314000,-3480000,-18226000,-65663000,90629000,44740000,-8682000,-93002000,6541000,-37494000,95991000,5513000,-6532000,-34034000,-14818000,-98846000,9475000,40187000
83,Cash Provided by Operating Activities,25300000,63800000,46000000,44200000,52402000,62651000,95625000,72354000,48276000,19061000,46540000,33525000,42456000,13824000,13851000,921000,75545000,43684000,19815000,54805000,65277000,78908000,80772000,24505000,28641000,- -
84,CAPEX,-14100000,-12300000,-372400000,-51800000,-28720000,-23968000,-14656000,-26382000,-23917000,-28934000,-25895000,-18141000,-24573000,-11998000,-18574000,-26290000,-26352000,-25344000,-24754000,-28735000,-24476000,-32170000,-29027000,-39467000,-32462000,-27031000
85,Acquisitions Net,- -,- -,- -,- -,786000,44000,- -,- -,- -,-282000,-2133000,- -,-980000,-5967000,- -,-7753000,-19779000,- -,70364000,-1699000,- -,-77258000,- -,- -,- -,- -
86,Purchases of Investments,- -,-17700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-437000,-1600000,-1550000,-3199000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1153000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-4000000,2300000,3700000,- -,2176000,- -,313000,1209000,3994000,1664000,2266000,12315000,1652000,-11797000,-18518000,-22030000,-25831000,-25237000,-24644000,-28671000,-23824000,-31382000,-27513000,-4699000,-32335000,- -
89,Cash Used for Investing Activites,-18100000,-27700000,-368700000,-51800000,-25758000,-23924000,-14343000,-25173000,-19923000,-27552000,-24609000,-5826000,-23901000,-17764000,-18518000,-29783000,-45610000,-25237000,45720000,-30370000,-23824000,-108640000,-27950000,-6299000,-33885000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-191937000,-1522000,-107927000,-25542000,-208616000,-30586000,-58748000,-52573000,-57571000,-83587000,-98249000,-112125000
91,Common Stock Issued,200000,119500000,- -,- -,- -,- -,- -,444000,- -,1000,301000,2119000,1322000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-380000,- -,- -,- -,- -,- -,- -,- -,-1273000,-516000,-765000,-2924000,-1424000,-2481000,-4214000,-54119000,-6768000,-2665000
93,Dividends Paid,-13200000,-105000000,-2600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5900000,-49700000,325900000,9700000,-24499000,-39842000,-59175000,-52095000,-658000,-359000,-194000,-1219000,-17553000,336000,177908000,39044000,43725000,25555000,127323000,22491000,16801000,95839000,27915000,109448000,111530000,137666000
95,Cash Used/Provided by Financing Activities,-7100000,-35200000,323300000,9700000,-24499000,-39842000,-59175000,-51651000,-1038000,-358000,107000,900000,-16231000,336000,-14029000,37522000,-65475000,-503000,-82058000,-11019000,-43371000,40785000,-33870000,-28258000,6513000,22876000
96,Effect of Forex Changes on Cash,- -,- -,-100000,- -,-475000,-110000,759000,1377000,875000,-2699000,3060000,1443000,-5556000,2819000,-1237000,-1903000,1364000,326000,-3281000,-2076000,-2054000,4561000,-3863000,-1637000,3247000,-3041000
97,Net Change In Cash,-7100000,-35200000,323300000,2000000,1670000,-1225000,22866000,-3093000,28190000,-11548000,25098000,30042000,-3232000,-785000,-19933000,6757000,-34176000,18270000,-19804000,11340000,-3972000,15614000,15089000,-11689000,4516000,22876000
98,Cash at the End of Period,- -,- -,- -,3900000,5594000,4369000,27235000,24142000,52332000,40784000,65882000,95924000,92692000,91907000,71974000,78731000,44555000,62825000,43021000,54361000,50389000,66003000,81092000,69403000,73919000,85547000
99,Cash at the Beginning of Period,300000,400000,1300000,1900000,3924000,5594000,4369000,27235000,24142000,52332000,40784000,65882000,95924000,92692000,91907000,71974000,78731000,44555000,62825000,43021000,54361000,50389000,66003000,81092000,69403000,- -
100,Free Cash Flow,11200000,51500000,-326400000,-7600000,23682000,38683000,80969000,45972000,24359000,-9873000,20645000,15384000,17883000,1826000,-4723000,-25369000,49193000,18340000,-4939000,26070000,40801000,46738000,51745000,-14962000,-3821000,-63279000
