,https://roic.ai/company/BP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0160,0.0183,0.0491,0.0467,0.0720,0.0511,0.0127,-0.0138,0.0176,0.0476,0.0311,0.0571,0.0568,0.0477,0.0561,0.0802,0.0460,0.0383,0.0441,0.0552,0.0903,0.0825,0.0721,0.0579,0.0680,-0.0125,0.0677,0.0308,0.0619,0.0107,-0.0291,0.0006,0.0141,0.0314,0.0145,-0.1126,0.0480
25,EPS,0.27,0.20,0.54,0.30,0.58,0.47,0.12,-0.13,0.17,0.43,0.30,0.68,3.29,0.51,1.55,3.29,1.20,1.14,283.62,432.48,6.34,6.59,6.53,6.76,5.31,-1.19,8.16,3.65,7.43,1.23,-2.12,0.04,1.03,2.82,1.19,-6.03,2.24
26,EPS Diluted,0.27,0.20,0.54,0.30,0.58,0.47,0.12,-0.13,0.17,0.43,0.30,0.68,3.29,0.51,1.54,3.27,1.20,1.13,280.98,424.74,6.27,6.54,6.47,6.70,5.25,-1.19,8.06,3.63,7.39,1.23,-2.12,0.04,1.03,2.80,1.18,-6.03,2.24
27,Weighted Average Shares Outstanding,2437333333,2440000000,2598666667,4020000000,3649333333,3566666667,3586000000,3603333333,3623333333,3649333333,3692000000,3742000000,1900666667,6397333333,3231000000,3606333333,15926140000,3729775167,3687101667,3636755833,3520983667,3337921167,3193898167,3131637833,3122386710,3130985333,3150833333,3171321500,3155170167,3064243000,3053941000,3124133333,3282102167,3328369167,3380809833,3370252333,3370252333
28,Weighted Average Shares Outstanding Diluted,2437333333,2440000000,2598666667,4020000000,3649333333,3566666667,3586000000,3603333333,3623333333,3649333333,3692000000,3742000000,1900666667,6397333333,3231000000,3630690162,15926140000,3751577638,3695123500,3636755833,3563157895,3363914373,3222789116,3160419500,3156271419,3166301167,3189333333,3192981333,3174362167,3082882333,3053941000,3142553167,3302740333,3350415500,3399945000,3370252333,3370252333
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313807/0000950123-99-002941-index.html,https://www.sec.gov/Archives/edgar/data/313807/0000313807-00-000032-index.html,https://www.sec.gov/Archives/edgar/data/313807/000031380701000011/0000313807-01-000011-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000031380702000012/0000313807-02-000012-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163803000149/0001191638-03-000149-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163804000237/0001191638-04-000237-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163805000210/0001191638-05-000210-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163806000259/0001191638-06-000259-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163807000340/0001191638-07-000340-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000115697308000263/0001156973-08-000263-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163809000123/0001191638-09-000123-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163810000100/0001191638-10-000100-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163811000097/0001191638-11-000097-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163812000123/0001191638-12-000123-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163813000126/0001191638-13-000126-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163814000138/0001191638-14-000138-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163815000127/0001191638-15-000127-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163816001623/0001191638-16-001623-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000165495417000800/0001654954-17-000800-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000165495418001090/0001654954-18-001090-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000165495419001022/0001654954-19-001022-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000165495420001087/0001654954-20-001087-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000162828021005241/0001628280-21-005241-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,919000000,1182000000,682000000,183000000,268000000,469000000,215000000,179000000,126000000,137000000,294000000,95000000,286568000,405000000,1331000000,1170000000,1358000000,1520000000,1947000000,1156000000,2960000000,2590000000,3562000000,8197000000,8339000000,18556000000,14067000000,18004000000,20894000000,27499000000,26389000000,23484000000,25586000000,22468000000,22472000000,31111000000,30681000000
32,Short-Term Investments,1286000000,1347000000,601000000,157000000,151000000,152000000,502000000,71000000,84000000,51000000,101000000,58000000,134408000,- -,220000000,661000000,450000000,215000000,185000000,328000000,- -,- -,- -,168000000,4967000000,1532000000,288000000,319000000,467000000,329000000,219000000,44000000,125000000,222000000,169000000,333000000,280000000
33,Cash and Short-Term Investments,2205000000,2529000000,1283000000,340000000,419000000,621000000,717000000,250000000,210000000,188000000,395000000,153000000,420976000,405000000,1551000000,1831000000,1808000000,1735000000,2132000000,1484000000,2960000000,2590000000,3562000000,8365000000,13306000000,20088000000,14355000000,18323000000,21361000000,27828000000,26608000000,23528000000,25711000000,22690000000,22641000000,31444000000,30961000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,4163000000,2899000000,2716000000,2503000000,3381000000,3476000000,2993000000,3379000000,2668000000,2758000000,2814000000,3009000000,6545416000,3642000000,5124000000,9234000000,7631000000,10181000000,11617000000,15698000000,19760000000,18915000000,26554000000,16821000000,22605000000,26218000000,25661000000,27867000000,29231000000,18373000000,14142000000,17655000000,19011000000,17988000000,20880000000,16873000000,23711000000
36,Other Current Assets,5617000000,5066000000,4399000000,4243000000,5361000000,6259000000,6238000000,6908000000,5433000000,5951000000,6534000000,7590000000,17617592000,13179000000,16802000000,29054000000,26669000000,33150000000,40716000000,46696000000,52570000000,52756000000,48800000000,41198000000,31742000000,50547000000,57568000000,64791000000,46248000000,41061000000,29274000000,26630000000,30246000000,30632000000,38538000000,24665000000,37918000000
37,Total Current Assets,11985000000,10494000000,8398000000,7086000000,9161000000,10356000000,9948000000,10537000000,8311000000,8897000000,9743000000,10752000000,24583984000,17226000000,23477000000,40119000000,36108000000,45066000000,54465000000,63878000000,75290000000,74261000000,78916000000,66384000000,67653000000,96853000000,97584000000,110981000000,96840000000,87262000000,70024000000,67813000000,74968000000,71310000000,82059000000,72982000000,92590000000
38,PP&E,15904000000,15697000000,15472000000,18926000000,19285000000,17481000000,18681000000,20864000000,19954000000,19393000000,19538000000,18805000000,49804504000,54465000000,52631000000,75173000000,77410000000,87682000000,91911000000,96748000000,85947000000,90999000000,97989000000,103200000000,108275000000,110163000000,119214000000,143297000000,154555000000,150036000000,129758000000,146717000000,146497000000,151250000000,146733000000,114836000000,112902000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10371000000,10780000000,11006000000,9878000000,8620000000,8598000000,12100000000,11861000000,12181000000,11868000000,11627000000,11194000000,11551000000,12204000000,11868000000,12480000000,12373000000
40,Intangible Assets,- -,- -,- -,- -,- -,1447000000,1309000000,1285000000,777000000,750000000,878000000,959000000,2865680000,3037000000,3344000000,16893000000,15593000000,15566000000,13642000000,12076000000,4772000000,5246000000,6652000000,10260000000,11548000000,14298000000,21102000000,1192000000,1174000000,1563000000,18660000000,1223000000,1329000000,1295000000,1448000000,6093000000,6451000000
41,Intangible Assets,1295000000,1035000000,1031000000,1874000000,1672000000,1447000000,1309000000,1285000000,777000000,750000000,878000000,959000000,2865680000,3037000000,3344000000,16893000000,15593000000,15566000000,13642000000,12076000000,15143000000,16026000000,17658000000,20138000000,20168000000,22896000000,33202000000,13053000000,13355000000,13431000000,30287000000,12417000000,12880000000,13499000000,13316000000,18573000000,18824000000
42,Investments,- -,- -,1018000000,971000000,937000000,983000000,1140000000,1609000000,1647000000,1711000000,2092000000,1954000000,5454936000,- -,- -,- -,- -,- -,- -,- -,19773000000,21049000000,22692000000,27826000000,33791000000,33663000000,30926000000,18722000000,25835000000,19156000000,17834000000,22701000000,24985000000,26320000000,30325000000,27337000000,33247000000
43,Tax Assets,919000000,1182000000,682000000,183000000,268000000,469000000,215000000,179000000,126000000,137000000,294000000,95000000,286568000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,516000000,528000000,611000000,874000000,985000000,2309000000,1545000000,4741000000,4469000000,3706000000,4560000000,7744000000,6410000000
44,Other Non-Current Assets,432000000,246000000,273000000,283000000,292000000,-39000000,499000000,316000000,202000000,200000000,-193000000,7000000,380400000,9772000000,10109000000,11753000000,12047000000,10811000000,17554000000,18406000000,10761000000,15266000000,18821000000,10690000000,5565000000,8159000000,11531000000,13266000000,14120000000,12111000000,12384000000,8927000000,12716000000,16091000000,18201000000,26182000000,23299000000
45,Total Non-Current Assets,18550000000,18160000000,18476000000,22237000000,22454000000,20341000000,21844000000,24253000000,22706000000,22191000000,22609000000,21820000000,58792088000,67274000000,66084000000,103819000000,105050000000,114059000000,123107000000,127230000000,131624000000,143340000000,157160000000,161854000000,168315000000,175409000000,195484000000,189212000000,208850000000,197043000000,191808000000,195503000000,201547000000,210866000000,213135000000,194672000000,194682000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30535000000,28654000000,26874000000,29323000000,31615000000,30697000000,31792000000,34790000000,31017000000,31088000000,32352000000,32572000000,83376072000,84500000000,89561000000,143938000000,141158000000,159125000000,177572000000,191108000000,206914000000,217601000000,236076000000,228238000000,235968000000,272262000000,293068000000,300193000000,305690000000,284305000000,261832000000,263316000000,276515000000,282176000000,295194000000,267654000000,287272000000
48,Accounts Payable,2980000000,1952000000,1976000000,1752000000,2584000000,3255000000,2961000000,3555000000,2838000000,3661000000,4202000000,4512000000,9413632000,5091000000,8203000000,14363000000,13129000000,17454000000,20858000000,28340000000,42136000000,28319000000,31451000000,20716000000,35204000000,46329000000,52405000000,29703000000,28926000000,23074000000,16838000000,21575000000,26983000000,26252000000,30538000000,36014000000,52611000000
49,Short-Term Debt,1378000000,1254000000,1829000000,2319000000,2531000000,1713000000,1647000000,2432000000,1236000000,1042000000,738000000,1058000000,2883432000,2837000000,4900000000,6418000000,9090000000,10086000000,9456000000,10184000000,8932000000,12924000000,15394000000,15740000000,9109000000,14626000000,9044000000,10030000000,7381000000,6877000000,6944000000,6634000000,7739000000,9373000000,12554000000,11292000000,7304000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4131000000,4274000000,2635000000,3282000000,3144000000,2464000000,2920000000,1941000000,2501000000,1945000000,2011000000,1080000000,1666000000,1686000000,4373000000,4420000000,3141000000,1554000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,4348000000,4014000000,4428000000,3907000000,4453000000,4642000000,4896000000,5226000000,4283000000,3886000000,4761000000,5047000000,13359648000,10238000000,10172000000,16366000000,15395000000,18761000000,20270000000,26001000000,20929000000,34055000000,30223000000,33337000000,15007000000,21877000000,22869000000,37853000000,36505000000,33664000000,30845000000,30145000000,30004000000,32612000000,30503000000,12493000000,20372000000
53,Total Current Liabilities,8706000000,7220000000,8233000000,7978000000,9568000000,9610000000,9504000000,11213000000,8357000000,8589000000,9701000000,10617000000,25656712000,18166000000,23275000000,37147000000,37614000000,46301000000,50584000000,64525000000,71997000000,75298000000,77068000000,69793000000,59320000000,82832000000,84318000000,77586000000,72812000000,63615000000,54627000000,58354000000,64726000000,68237000000,73595000000,59799000000,80287000000
54,Long-Term Debt,4160000000,4185000000,3740000000,4864000000,5758000000,5207000000,6507000000,7827000000,7144000000,5705000000,4760000000,3474000000,8143096000,10918000000,9644000000,14772000000,12327000000,11922000000,12869000000,12907000000,10230000000,10331000000,15004000000,17464000000,25518000000,30710000000,35169000000,38412000000,40317000000,45240000000,45567000000,51074000000,54873000000,55803000000,57237000000,63305000000,62483000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,408000000,428000000,299000000,389000000,451000000,387000000,404000000,226000000,248000000,285000000,376000000,405000000,989040000,1632000000,1783000000,1822000000,1655000000,13514000000,15273000000,15050000000,16258000000,18116000000,19215000000,16198000000,18662000000,10908000000,15078000000,15064000000,17439000000,13893000000,9599000000,7238000000,7982000000,9812000000,9750000000,6831000000,8780000000
57,Other Non-Current Liabilities,4071000000,3481000000,3333000000,3960000000,4397000000,4252000000,4423000000,5666000000,5420000000,5343000000,5593000000,5172000000,12657176000,10926000000,10517000000,16196000000,14568000000,17341000000,21783000000,20627000000,27979000000,28391000000,30137000000,32674000000,30355000000,51921000000,46021000000,49511000000,44715000000,48915000000,53652000000,49807000000,48530000000,46776000000,53904000000,52151000000,45283000000
58,Total Non-Current Liabilities,8639000000,8094000000,7372000000,9213000000,10606000000,9846000000,11334000000,13719000000,12812000000,11333000000,10729000000,9051000000,21789312000,23476000000,21944000000,32790000000,28550000000,42777000000,49925000000,48584000000,54467000000,56838000000,64356000000,66336000000,74535000000,93539000000,96268000000,102987000000,102471000000,108048000000,108818000000,108119000000,111385000000,112391000000,120891000000,122287000000,116546000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,755000000,647000000,- -,- -,- -,- -,384000000,535000000,783000000,703000000,634000000,656000000,667000000,9722000000,9262000000,8611000000
61,Total Liabilities,17345000000,15314000000,15605000000,17191000000,20174000000,19456000000,20838000000,24932000000,21169000000,19922000000,20430000000,19668000000,47446024000,41642000000,45219000000,69937000000,66164000000,89078000000,100509000000,113109000000,126464000000,132136000000,141424000000,136129000000,133855000000,176371000000,180586000000,180573000000,175283000000,171663000000,163445000000,166473000000,176111000000,180628000000,194486000000,182086000000,196833000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,21000000,21000000,21000000,21000000,21000000,21000000,21000000,- -,- -,5261000000,21000000,21000000,21000000,21000000,21000000,21000000,- -,21000000,- -
63,Common Stock,457000000,458000000,1491000000,1524000000,1334000000,1341000000,1348000000,1355000000,1363000000,1376000000,1394000000,1413000000,3654376000,- -,4871000000,5632000000,5608000000,5595000000,5531000000,5382000000,5164000000,5364000000,5216000000,5155000000,5158000000,5183000000,43454000000,- -,5108000000,5002000000,5049000000,5263000000,5322000000,5402000000,5404000000,- -,- -
64,Retained Earnings,8447000000,8507000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32840000000,34008000000,36668000000,37518000000,32344000000,38700000000,37763000000,46794000000,58487000000,64510000000,67080000000,72655000000,- -,83063000000,87485000000,102082000000,92564000000,81368000000,75638000000,75226000000,78748000000,73706000000,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-12968000000,-14599000000,-18549000000,-19550000000,-20156000000,-22105000000,-21049000000,-56382888000,-62754000000,-65514000000,-66834000000,-70645000000,-81480000000,-83869000000,-91490000000,2943000000,4685000000,6540000000,2353000000,4811000000,4937000000,4509000000,5128000000,3525000000,-3409000000,-7267000000,-6878000000,-5156000000,-8902000000,-6495000000,- -,- -
66,Other Total Stockholders Equity,4274000000,4363000000,9766000000,10596000000,10095000000,22856000000,24193000000,27040000000,28023000000,29934000000,32621000000,32528000000,88628128000,72772000000,70977000000,98535000000,102513000000,112929000000,115555000000,124980000000,24739000000,16067000000,17403000000,16694000000,18968000000,84867000000,-19561000000,27007000000,18566000000,17263000000,18045000000,21242000000,23078000000,24175000000,25797000000,85568000000,- -
67,Total Stockholders Equity,13178000000,13328000000,11257000000,12120000000,11429000000,11229000000,10942000000,9846000000,9836000000,11154000000,11910000000,12892000000,35899616000,42858000000,44342000000,74001000000,74994000000,69409000000,75938000000,76656000000,79661000000,84624000000,93690000000,91303000000,101613000000,94987000000,111465000000,118414000000,129302000000,111441000000,97216000000,95286000000,98491000000,99444000000,98412000000,71250000000,75463000000
68,Total Liabilities And Stockholders Equity,30523000000,28642000000,26862000000,29311000000,31603000000,30685000000,31780000000,34778000000,31005000000,31076000000,32340000000,32560000000,83345640000,84500000000,89561000000,143938000000,141158000000,158487000000,176447000000,189765000000,206125000000,216760000000,235114000000,227432000000,235468000000,271358000000,292051000000,298987000000,304585000000,283104000000,260661000000,261759000000,274602000000,280072000000,292898000000,253336000000,272296000000
69,Minority Interest,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,30432000,- -,- -,- -,- -,638000000,1125000000,1343000000,789000000,841000000,962000000,806000000,500000000,904000000,1017000000,1206000000,1105000000,1201000000,1171000000,1557000000,1913000000,2104000000,2296000000,14318000000,14976000000
70,Total Liabilities & Equity,30535000000,28654000000,26874000000,29323000000,31615000000,30697000000,31792000000,34790000000,31017000000,31088000000,32352000000,32572000000,83376072000,84500000000,89561000000,143938000000,141158000000,159125000000,177572000000,191108000000,206914000000,217601000000,236076000000,228238000000,235968000000,272262000000,293068000000,300193000000,305690000000,284305000000,261832000000,263316000000,276515000000,282176000000,295194000000,267654000000,287272000000
