,https://roic.ai/company/PEG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-128300000,138300000,-165700000,-636600000,360000000,-1330000000,-439000000,1138000000,585000000,1182000000,-177000000,-82000000,183000000,382000000,-49000000,-157000000,1134000000,-612000000,-862000000,459000000,90000000,-722000000,59000000,-834000000,-572000000,-388000000,-76000000,-1099000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,41200000,18900000,-63700000,9000000,-27000000,9000000,-145000000,-84000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000000,-361700000,-527400000,-1164000000,-804000000,-2134000000,-2573000000,-1435000000,-850000000,332000000,155000000,73000000,256000000,638000000,589000000,432000000,1566000000,954000000,92000000,551000000,641000000,-81000000,-22000000,-856000000,-1428000000,-1816000000,-1892000000,-1028000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,542200000,547200000,923900000,1124600000,418000000,2858000000,822000000,-387000000,815000000,-1263000000,889000000,137000000,1118000000,82000000,1131000000,-865000000,-2614000000,873000000,426000000,-184000000,-390000000,850000000,212000000,503000000,134000000,468000000,-335000000,2897000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1231800000,1492900000,1434500000,1095000000,1422000000,1232000000,1136000000,1342000000,1528000000,1447000000,1610000000,940000000,1929000000,1918000000,2345000000,1855000000,2164000000,3557000000,2787000000,3158000000,3160000000,3919000000,3311000000,3261000000,2913000000,3379000000,3102000000,1736000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-998700000,-777600000,-585900000,-542000000,-535000000,-582000000,-959000000,-2053000000,-1814000000,-1351000000,-1255000000,-1024000000,-1015000000,-1348000000,-1771000000,-1794000000,-2160000000,-2083000000,-2574000000,-2811000000,-2820000000,-3863000000,-4298000000,-4307000000,-4058000000,-3264000000,-3034000000,-2817000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-756000000,-289000000,- -,- -,- -,- -,- -,- -,47000000,- -,687000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81300000,- -,- -,- -,-980000000,-603000000,-709000000,- -,- -,- -,- -,- -,- -,- -,-1798000000,-1140000000,-1386000000,-1700000000,-1170000000,-1934000000,-1552000000,-856000000,-2340000000,-1473000000,-1814000000,-2250000000,-2092000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,58400000,- -,- -,- -,- -,- -,- -,- -,380000000,47000000,438000000,315000000,- -,- -,- -,2688000000,1610000000,1534000000,1666000000,1159000000,1915000000,1501000000,824000000,2319000000,1501000000,1787000000,2234000000,2100000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62200000,-29400000,576700000,-1072000000,-177000000,-70000000,-49000000,-260000000,-264000000,-60000000,63000000,342000000,774000000,1347000000,996000000,65000000,21000000,-21000000,-17000000,21000000,-53000000,-28000000,-17000000,-45000000,-32000000,48000000,263000000,578000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1002500000,-888300000,-9200000,-1614000000,-712000000,-1632000000,-1611000000,-3778000000,-1987000000,-1364000000,-754000000,-367000000,-241000000,-1000000,-775000000,-792000000,-1669000000,-1269000000,-2625000000,-2801000000,-2892000000,-3942000000,-4248000000,-4256000000,-3916000000,-3145000000,-2676000000,-2244000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1329000000,-1022000000,-1738000000,-1004000000,-1251000000,-737000000,-859000000,-824000000,-500000000,-1350000000,-1250000000,-2217000000,-3676000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,253500000,- -,- -,95000000,525000000,- -,- -,- -,996000000,441000000,83000000,533000000,83000000,83000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120000000,-60000000,-519000000,-137000000,-207000000,-400000000,-298000000,-91000000,- -,- -,- -,- -,- -,- -,-92000000,- -,-80000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-528100000,-528500000,-522600000,-501000000,-499000000,-474000000,-464000000,-449000000,-456000000,-493000000,-523000000,-541000000,-574000000,-594000000,-655000000,-673000000,-693000000,-693000000,-718000000,-728000000,-748000000,-789000000,-830000000,-870000000,-910000000,-950000000,-991000000,-1031000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,161800000,-7800000,-166700000,866000000,-472000000,1394000000,1080000000,3043000000,-81000000,344000000,-590000000,-542000000,-1343000000,-1131000000,-882000000,968000000,1230000000,697000000,1105000000,1736000000,1126000000,1663000000,2620000000,2255000000,3147000000,1943000000,3178000000,5506000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-232800000,-596300000,-1208300000,323000000,-653000000,520000000,318000000,2503000000,459000000,292000000,-1030000000,-550000000,-1834000000,-1642000000,-1629000000,-1034000000,-565000000,-1734000000,-617000000,-243000000,-359000000,15000000,966000000,885000000,887000000,-257000000,-30000000,799000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,2000000,1000000,2000000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3500000,8300000,216900000,-196000000,57000000,120000000,-157000000,67000000,-2000000,377000000,-173000000,25000000,-147000000,275000000,-59000000,29000000,-70000000,554000000,-455000000,114000000,-91000000,-8000000,29000000,-110000000,-116000000,-23000000,396000000,291000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,67900000,76200000,278900000,83000000,140000000,259000000,102000000,169000000,165000000,548000000,279000000,288000000,141000000,381000000,321000000,350000000,280000000,834000000,379000000,493000000,402000000,394000000,423000000,313000000,199000000,176000000,572000000,863000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,71400000,67900000,62000000,279000000,83000000,139000000,259000000,102000000,167000000,171000000,452000000,263000000,288000000,106000000,380000000,321000000,350000000,280000000,834000000,379000000,493000000,402000000,394000000,423000000,315000000,199000000,176000000,572000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,233100000,715300000,848600000,553000000,887000000,650000000,177000000,-711000000,-286000000,96000000,355000000,-84000000,914000000,570000000,574000000,61000000,4000000,1474000000,213000000,347000000,340000000,56000000,-987000000,-1046000000,-1145000000,115000000,68000000,-1081000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/81033/000078878495000002/0000788784-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/81033/000078878496000002/0000788784-96-000002-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158659/000120677403000082/0001206774-03-000082-index.html,https://www.sec.gov/Archives/edgar/data/788784/000095011704000775/a37089.htm,https://www.sec.gov/Archives/edgar/data/788784/000095011705000790/a39290.htm,https://www.sec.gov/Archives/edgar/data/788784/000095011706000927/a41410.htm,https://www.sec.gov/Archives/edgar/data/788784/000093041307001699/c46564_10k.htm,https://www.sec.gov/Archives/edgar/data/788784/000093041308001260/c52299_10k.htm,https://www.sec.gov/Archives/edgar/data/1158659/000093041309001045/0000930413-09-001045-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000119312510040508/0001193125-10-040508-index.html,https://www.sec.gov/Archives/edgar/data/788784/000119312511047330/d10k.htm,https://www.sec.gov/Archives/edgar/data/81033/000119312512081813/0001193125-12-081813-index.html,https://www.sec.gov/Archives/edgar/data/81033/000078878413000003/0000788784-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/788784/000078878414000004/pseg201310k.htm,https://www.sec.gov/Archives/edgar/data/788784/000078878415000002/pseg201410kq4.htm,https://www.sec.gov/Archives/edgar/data/1158659/000078878416000014/0000788784-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000078878417000003/0000788784-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000078878418000004/0000788784-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000078878419000005/0000788784-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000078878420000004/0000788784-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/788784/000078878421000007/0000788784-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/788784/000162828022003860/0001628280-22-003860-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
