,https://roic.ai/company/RICK,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3600000,3300000,4800000,6400000,7300000,9500000,10766082,11542897,11963183,12506682,12910908,12659697,18580522,23874732,39249569,52964302,58922000,54270000,65731000,75927000,87604000,97442000,87705000,93724000,106093000,118801000,60528000,156710000
11,COGS and Expenses,4200000,3900000,5500000,7300000,8000000,10300000,12624714,18129783,14933322,14701622,14894115,14525327,21495834,27910254,46209458,61737614,68849000,64697000,78375000,90079000,104030000,117759000,108251000,114445000,129002000,143738000,119033000,186761000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,16875,- -,- -,- -,- -,136597,16384,18000,118000,19000,9000,148000,15000,131000,266000,234000,309000,324000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2712987,3416911,4473000,4289000,4313000,7077000,7752000,6969000,7982000,8764000,9954000,10209000,9811000,-9992000
14,Depreciation and Amortization,100000,100000,100000,300000,400000,600000,585797,849862,490021,531561,544137,590466,1084799,1632202,2541683,3205205,3743000,3904000,4921000,5314000,6316000,6894000,7173000,6920000,7722000,9072000,8836000,8238000
15,EBITDA,400000,700000,-800000,-1100000,-200000,700000,788384,2164580,-1781159,969855,1319390,375318,2837513,4923547,16355315,15244947,-2963000,21442000,21186000,27083000,31224000,28339000,28901000,30302000,36271000,43319000,12069000,32385000
16,EBITDA ratio,0.0870,0.1556,-0.1739,-0.1746,-0.0256,0.0673,0.0619,0.1101,-0.1145,0.0644,0.0827,0.0253,0.1159,0.1538,0.2729,0.2029,-0.0357,0.2568,0.2225,0.2414,0.2417,0.1959,0.2143,0.2091,0.2188,0.2393,0.0912,0.1659
17,Operating Income,400000,600000,-900000,-1000000,-200000,100000,114602,1529858,623980,357947,1065569,299080,2991381,4103686,13720020,13411982,-6373000,18794000,16513000,22113000,18875000,20878000,20848000,23139000,28396000,34701000,2746000,38548000
18,Operating Income ratio,0.0870,0.1333,-0.1957,-0.1587,-0.0256,0.0096,0.0090,0.0778,0.0401,0.0238,0.0668,0.0202,0.1222,0.1282,0.2289,0.1785,-0.0768,0.2251,0.1734,0.1971,0.1461,0.1443,0.1546,0.1597,0.1713,0.1917,0.0208,0.1974
19,Total Other Income Expenses (Gains),-100000,- -,- -,-200000,- -,500000,502645,109319,-340396,413335,30000,-1149,-318621,28809764,-2619375,-3368647,-4489000,-3139000,-4177000,-7067000,-1962000,-6725000,-7851000,-8498000,-9720000,-10512000,-9551000,-4409000
20,Income Before Tax,300000,600000,-900000,-1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,32913450,11100645,10043335,-10862000,15655000,12336000,15046000,16913000,14153000,12997000,14641000,18676000,24189000,-6805000,34139000
21,Income Before Tax Ratio,0.0652,0.1333,-0.1957,-0.1905,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0281,0.1852,0.1336,-0.1309,0.1875,0.1296,0.1341,0.1309,0.0978,0.0964,0.1010,0.1127,0.1336,-0.0514,0.1748
22,Income Tax expense (Gain),100000,200000,-200000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,236446,3439978,3414734,-3221000,5403000,4374000,5501000,5916000,5164000,2657000,6359000,-3118000,4863000,-493000,3989000
23,Net Income,200000,400000,-700000,-1300000,-600000,- -,202587,1314718,-2271180,438294,775253,-215148,1752714,3054899,7660667,5208097,-7958000,7846000,7578000,9191000,11240000,9312000,11089000,8259000,21713000,19175000,-6085000,30150000
24,Net Income ratio,0.0435,0.0889,-0.1522,-0.2063,-0.0769,- -,0.0159,0.0669,-0.1460,0.0291,0.0486,-0.0145,0.0716,0.0954,0.1278,0.0693,-0.0959,0.0940,0.0796,0.0819,0.0870,0.0644,0.0822,0.0570,0.1310,0.1059,-0.0460,0.1544
25,EPS,0.22,0.40,-0.40,-0.66,-0.28,-0.01,0.05,0.30,-0.54,0.12,0.21,-0.05,0.38,0.54,0.97,0.56,-0.82,0.79,0.78,0.97,1.15,0.90,1.12,0.85,2.23,1.99,-0.66,3.37
26,EPS Diluted,0.22,0.40,-0.40,-0.66,-0.28,-0.01,0.05,0.30,-0.54,0.12,0.21,-0.05,0.35,0.50,0.91,0.55,-0.82,0.79,0.78,0.96,1.13,0.90,1.10,0.85,2.23,1.99,-0.66,3.37
27,Weighted Average Shares Outstanding,909091,1000000,1767540,2057461,2169017,3355969,4198735,4411178,4241483,3729167,3700148,3937565,4640499,5700548,7931121,9265784,9697000,9930000,9691000,9518000,9816000,10359000,9941000,9731000,9719000,9657000,9199000,9005000
28,Weighted Average Shares Outstanding Diluted,909091,1000000,2000000,2333333,2169017,3571429,4198735,4411178,4241483,3729167,3700148,3938960,5065962,6215285,8413183,9427397,9697000,9932000,9697000,9615000,10637000,10406000,10229000,9743000,9719000,9657000,9199000,9005000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/935419/0001019056-98-000002-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/935419/000114036107024905/0001140361-07-024905-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114036108028818/0001140361-08-028818-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114036109029530/0001140361-09-029530-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114036110049553/0001140361-10-049553-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420411069777/0001144204-11-069777-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420412068015/0001144204-12-068015-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420413067468/0001144204-13-067468-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420414073951/0001144204-14-073951-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420415070732/0001144204-15-070732-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315216015847/0001493152-16-015847-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315218002134/0001493152-18-002134-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315218018121/0001493152-18-018121-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315220002216/0001493152-20-002216-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315220023525/0001493152-20-023525-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315221031404/0001493152-21-031404-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,200000,3200000,400000,600000,400000,374532,704628,733366,604865,278185,480330,854932,2998758,5602645,12751423,19168000,9698000,5520000,10656000,9964000,8020000,11327000,9922000,17726000,14097000,15605000,35686000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,135000,122350,28919,22245,33368,- -,- -,- -,515000,1059000,555000,596000,614000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,200000,3200000,400000,600000,400000,374532,704628,733366,739865,400535,509249,877177,3032126,5602645,12751423,19168000,10213000,6579000,11211000,10560000,8634000,11327000,9922000,17726000,14097000,15605000,35686000
34,Net Receivables,- -,- -,100000,- -,100000,200000,297761,379653,226637,259205,276252,429564,378939,776041,867333,911456,1092000,1940000,2039000,1701000,1745000,2154000,4365000,3187000,7320000,7243000,6968000,7570000
35,Inventory,- -,- -,- -,100000,100000,100000,200471,196300,210802,230451,261486,257626,291623,368557,1717237,1222041,1264000,1174000,1260000,1462000,1879000,2368000,2019000,2149000,2353000,2598000,2372000,2659000
36,Other Current Assets,100000,100000,200000,800000,600000,300000,267661,281477,63897,83647,1010416,87991,140428,286883,568599,3205490,2603000,6332000,4830000,6307000,9167000,7452000,11676000,10984000,9403000,10833000,6488000,7035000
37,Total Current Assets,200000,300000,3500000,1300000,1400000,1000000,1140425,1562058,1234702,1313168,1948689,1284430,1688167,4463607,8755814,18090410,24127000,19659000,14708000,20681000,23351000,20608000,29387000,26242000,36802000,34771000,31433000,52950000
38,PP&E,400000,700000,2400000,5700000,10200000,8600000,8572182,8802914,9122253,8777057,8833018,13416755,17423843,21365415,50038264,47265556,59559000,65892000,79940000,98611000,113962000,134150000,142003000,148410000,172403000,183956000,206929000,200260000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10505452,20179610,37159351,36139690,20931000,23550000,43421000,43987000,43374000,52641000,45921000,43866000,44425000,53630000,45686000,39379000
40,Intangible Assets,- -,- -,- -,- -,3200000,2800000,3412827,4415391,1883007,1962848,1982848,9962822,525076,698584,40633852,42348310,42342000,43183000,51785000,56031000,54643000,60997000,52189000,74424000,71532000,75951000,73077000,67824000
41,Intangible Assets,- -,- -,- -,- -,3200000,2800000,3412827,4415391,1883007,1962848,1982848,9962822,11030528,20878194,77793203,78488000,63273000,66733000,95206000,100018000,98017000,113638000,98110000,118290000,115957000,129581000,118763000,107203000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,400000,200000,100000,100000,200000,288223,168137,197358,202439,435204,365011,460337,368544,481525,1233392,1412000,1093000,2539000,3790000,3812000,2416000,6988000,6942000,5404000,5329000,3808000,4206000
45,Total Non-Current Assets,400000,1100000,2600000,5800000,13500000,11600000,12273232,13386442,11202618,10942344,11251070,23744588,28914708,42612153,128312992,126986948,124244000,133718000,177685000,202419000,215791000,250204000,247101000,273642000,293764000,318866000,329500000,311669000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,600000,1400000,6100000,7100000,14900000,12600000,13413657,14948500,12437320,12255512,13199759,25029018,30602875,47075760,137068806,145077358,148371000,153377000,192393000,223100000,239142000,270812000,276488000,299884000,330566000,353637000,360933000,364619000
48,Accounts Payable,300000,500000,300000,600000,1200000,500000,437083,234591,274659,189208,317278,1034508,554979,493499,1203555,784575,731000,1215000,1865000,1804000,2198000,2164000,1701000,2147000,2825000,3810000,4799000,4408000
49,Short-Term Debt,- -,- -,200000,400000,700000,400000,456749,327162,459972,449439,516845,1444782,2278315,3291154,2644541,6741327,9159000,5494000,6603000,8830000,12315000,9700000,9950000,17440000,19047000,15754000,16304000,5340000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256000,196000,134000,83000,336000,- -
52,Other Current Liabilities,300000,500000,200000,200000,300000,100000,380279,499049,533068,622216,650348,852865,1118974,1709426,4579918,3878461,8531000,10982000,14385000,18312000,24681000,10990000,12550000,11328000,11839000,14561000,15865000,13277000
53,Total Current Liabilities,600000,1000000,700000,1200000,2200000,1000000,1274111,1060802,1267699,1260863,1484471,3332155,3952268,5494079,8428014,11404363,18421000,17691000,22853000,28946000,39194000,22854000,24457000,31111000,33845000,34208000,37304000,23025000
54,Long-Term Debt,200000,200000,100000,1800000,6000000,4300000,3409767,3509914,4147381,3576896,3364765,11896942,11642418,11096185,30912865,31956855,34803000,30060000,56925000,69762000,58037000,85220000,95936000,106912000,121580000,127774000,125131000,141104000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4391499,16894256,18303390,15566000,23033000,23963000,26354000,27688000,31529000,25470000,25541000,19552000,21658000,20390000,19137000
57,Other Non-Current Liabilities,-100000,- -,- -,-100000,100000,- -,- -,- -,- -,- -,163739,193648,1099701,1870415,14472987,9968792,6328000,2371000,1040000,956000,924000,2723000,483000,1095000,1423000,1696000,25801000,2130000
58,Total Non-Current Liabilities,100000,200000,100000,1700000,6100000,4300000,3409767,3509914,4147381,3576896,3528504,12090590,12742119,17358099,62280108,60229037,56697000,55464000,81928000,97072000,86649000,119472000,121889000,133548000,142555000,151128000,171322000,162371000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27067000,- -
61,Total Liabilities,700000,1200000,800000,2900000,8300000,5300000,4683878,4570716,5415080,4837759,5012975,15422745,16694387,22852178,70708122,71633400,75118000,73155000,104781000,126018000,125843000,142326000,146346000,164659000,176400000,185336000,208626000,185396000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,43487,45987,46087,46087,46087,52207,58053,69034,96893,88796,98000,96000,96000,95000,101000,103000,97000,97000,97000,96000,91000,90000
64,Retained Earnings,-200000,200000,-500000,-1800000,-2400000,-2400000,-2245567,-930849,-3202029,-2763735,-1988482,-2203630,-450916,2603983,10264650,15472747,7515000,15361000,22939000,32130000,43370000,52682000,62909000,69195000,89740000,107049000,100797000,129693000
65,Other Comprehensive Income/Loss,-300000,-400000,-600000,-800000,-1200000,-1300000,-1296898,-1717214,-2094712,-2423464,-2798155,-3233468,-4234981,-5654202,-7932809,-10060013,-13877000,-16800000,-20596000,-25359000,-30674000,-36925000,-39811000,-45274000,-51005000,-55305000,-58945000,- -
66,Other Total Stockholders Equity,400000,400000,6400000,6800000,10200000,11000000,12164347,12901044,12192730,12522833,12886526,14959827,18536332,27024039,60573854,64590332,76203000,78256000,81867000,86915000,97492000,106763000,104363000,108727000,115437000,116617000,110778000,49440000
67,Total Stockholders Equity,-100000,200000,5300000,4200000,6600000,7300000,8665369,10298968,6942076,7381721,8145976,9574936,13908488,24042854,63002588,70091862,69939000,76913000,84306000,93781000,110289000,122623000,127558000,132745000,154269000,168457000,152721000,179223000
68,Total Liabilities And Stockholders Equity,600000,1400000,6100000,7100000,14900000,12600000,13349247,14869684,12357156,12219480,13158951,24997681,30602875,46895032,133710710,141725262,145057000,150068000,189087000,219799000,236132000,264949000,273904000,297404000,330669000,353793000,361347000,364619000
69,Minority Interest,- -,- -,- -,- -,- -,- -,64410,78816,80164,36032,40808,31337,- -,180728,3358096,3352096,3314000,3309000,3306000,3301000,3010000,5863000,2584000,2480000,-103000,-156000,-414000,- -
70,Total Liabilities & Equity,600000,1400000,6100000,7100000,14900000,12600000,13413657,14948500,12437320,12255512,13199759,25029018,30602875,47075760,137068806,145077358,148371000,153377000,192393000,223100000,239142000,270812000,276488000,299884000,330566000,353637000,360933000,364619000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/935419/0001019056-98-000002-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/935419/000114036107024905/0001140361-07-024905-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114036108028818/0001140361-08-028818-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114036109029530/0001140361-09-029530-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114036110049553/0001140361-10-049553-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420411069777/0001144204-11-069777-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420412068015/0001144204-12-068015-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420413067468/0001144204-13-067468-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420414073951/0001144204-14-073951-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420415070732/0001144204-15-070732-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315216015847/0001493152-16-015847-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315218002134/0001493152-18-002134-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315218018121/0001493152-18-018121-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315220002216/0001493152-20-002216-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315220023525/0001493152-20-023525-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315221031404/0001493152-21-031404-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,200000,400000,-700000,-1300000,-600000,- -,202587,1314718,-2271180,438294,775253,-215148,1752714,3054899,7660667,5208097,-7958000,7846000,7578000,9191000,11240000,9312000,11089000,8259000,21713000,19175000,-6085000,30150000
74,Depreciation and Amortization,100000,100000,100000,300000,400000,600000,585797,849862,490021,531561,544137,590466,1084799,1632202,2541683,3205205,3743000,3904000,4921000,5314000,6316000,6894000,7173000,6920000,7722000,9072000,8836000,8238000
75,Deferred Income Tax,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200364,1448472,853336,-5506000,3776000,1855000,261000,937000,-4232000,1427000,2171000,-6775000,821000,-1268000,-1253000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157080,96171,405000,8000,315000,847000,282000,480000,360000,- -,- -,- -,- -,- -
77,Change in Working Capital,-200000,3500000,-2700000,-900000,800000,-133686,634942,-534253,85302,411913,-2511943,-216376,1233629,1358272,6358247,-980047,-3738000,-10113000,-120000,-7578000,13597000,7176000,-9799000,7826000,-2394000,-6434000,35796000,-26357000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116130,-58296,-179000,-1075000,- -,337000,-36000,-339000,-3986000,878000,-3622000,1576000,-294000,-80000
79,Inventory,- -,- -,- -,- -,- -,-100000,-84698,4171,-14502,-19649,-42942,-24880,-3777,-40418,-832177,470269,-10000,-91000,-34000,-202000,-407000,54000,-124000,-19000,-199000,-216000,226000,-287000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6515000
81,Other Working Capital,-700000,2800000,100000,-800000,- -,-133686,501256,-32997,52305,464218,-2047725,-2264101,-1030472,327800,6686047,5706000,1968000,-8145000,-8265000,-15843000,-2246000,4930000,-4869000,2957000,563000,-5871000,29925000,3568000
82,Other Non-Cash Items,- -,-3200000,2300000,1400000,-200000,-966314,-649249,539163,2981402,-795442,1690494,1552456,-1345372,-1461888,-3346882,543568,30431000,13460000,3876000,10346000,-11937000,-3266000,12781000,-4082000,5503000,14540000,-21647000,31213000
83,Cash Provided by Operating Activities,200000,800000,-1000000,-500000,400000,-500000,774077,2169490,1285545,586326,497941,1711398,2725770,4383121,14819267,8926330,17377000,18881000,18425000,18381000,20435000,16364000,23031000,21094000,25769000,37174000,15632000,41991000
84,CAPEX,-100000,-400000,-1800000,-4300000,-1100000,-1000000,-552261,-1736340,-933472,-162220,-423964,-4242368,-1641735,-1210136,-3139391,-2114654,-5956000,-11533000,-6898000,-9675000,-21359000,-19259000,-28148000,-11249000,-25263000,-20708000,-5736000,830000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000,-265000,-2650000,-1497641,-5572245,-35672404,-2433579,-5851000,-4281000,-4882000,-1790000,-500000,-2328000,- -,-9527000,-2034000,-6277000,2221000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1009000,-505000,-500000,-600000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21459,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,621000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,800000,1300000,240136,- -,7900,227718,18844,584860,28536,-9413,99991,739636,- -,-21000,1245000,140000,-4887000,- -,3427000,2252000,958000,-162000,2521000,6697000
89,Cash Used for Investing Activites,-100000,-400000,-1800000,-4300000,-300000,300000,-312125,-1736340,-925572,-84502,-648661,-6307508,-3110840,-6791794,-38711804,-3808597,-12816000,-16340000,-11035000,-11425000,-21421000,-21587000,-24100000,-18524000,-26339000,-27147000,-994000,-6814000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3353776,-2808377,-2478000,-6855000,-8406000,-9341000,-8473000,-12579000,-19159000,-13080000,-72830000,-22924000,-8832000,-49178000
91,Common Stock Issued,- -,- -,5600000,200000,800000,600000,175175,- -,- -,- -,- -,928762,560694,6010971,27352500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-73619,-156211,-118649,- -,- -,- -,- -,- -,-1486208,-1599000,-3267000,-2092000,-1623000,-1150000,-2296000,-7311000,-1099000,- -,-2901000,-9484000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-862000,-1170000,-1168000,-1252000,-1286000,-1440000
94,Other Financing Activites,-300000,-300000,200000,1900000,-700000,100000,-640756,-29435,-175024,-511676,-175960,3872435,198978,-1458472,2497700,6499056,5834000,-1320000,-1070000,9144000,9935000,18154000,31708000,11374000,82372000,13421000,6472000,35522000
95,Cash Used/Provided by Financing Activities,-300000,-300000,5800000,2100000,100000,- -,-465581,-103054,-331235,-630325,-175960,4801197,759672,4552499,26496424,2204471,1757000,-11442000,-11568000,-1820000,312000,3279000,4376000,-3975000,8374000,-13656000,-13130000,-15096000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-300000,-300000,5800000,2100000,100000,-200000,-3629,330096,28738,-128501,-326680,205087,374602,2143826,2603887,7322204,6318000,-8901000,-4178000,5136000,-674000,-1944000,3307000,-1405000,7804000,-3629000,1508000,20081000
98,Cash at the End of Period,- -,- -,- -,- -,- -,400000,374532,704628,733366,604865,278185,480330,854932,2998758,5602645,12751423,19168000,9698000,5520000,10656000,9964000,8020000,11327000,9922000,17726000,14097000,15605000,35686000
99,Cash at the Beginning of Period,400000,100000,200000,3200000,400000,600000,378161,374532,704628,733366,604865,275243,480330,854932,2998758,5429219,12850000,18599000,9698000,5520000,10638000,9964000,8020000,11327000,9922000,17726000,14097000,15605000
100,Free Cash Flow,100000,400000,-2800000,-4800000,-700000,-1500000,221816,433150,352073,424106,73977,-2530970,1084035,3172985,11679876,6811676,11421000,7348000,11527000,8706000,-924000,-2895000,-5117000,9845000,506000,16466000,9896000,42821000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/935419/0001019056-98-000002-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/935419/000114036107024905/0001140361-07-024905-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114036108028818/0001140361-08-028818-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114036109029530/0001140361-09-029530-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114036110049553/0001140361-10-049553-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420411069777/0001144204-11-069777-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420412068015/0001144204-12-068015-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420413067468/0001144204-13-067468-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420414073951/0001144204-14-073951-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000114420415070732/0001144204-15-070732-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315216015847/0001493152-16-015847-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315218002134/0001493152-18-002134-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315218018121/0001493152-18-018121-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315220002216/0001493152-20-002216-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315220023525/0001493152-20-023525-index.htm,https://www.sec.gov/Archives/edgar/data/935419/000149315221031404/0001493152-21-031404-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
