,https://roic.ai/company/IMMR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-1300000,-2800000,-15303000,-13921000,-11253000,-13249000,-18376000,-9433000,-6937000,133443000,-40272000,-27022000,-2092000,2734000,-2564000,4335000,6886000,5465000,-12950000,-43843000,55590000,-17376000,5090000,18537000
16,EBITDA ratio,-0.2600,-0.3500,-1.0026,-0.7238,-0.5561,-0.6551,-0.7733,-0.3886,-0.2491,3.8454,-1.1023,-0.9746,-0.0672,0.0892,-0.0797,0.0913,0.1301,0.0862,-0.2269,-1.2522,0.5009,-0.4833,0.1671,0.5283
17,Operating Income,-1900000,-4900000,-20381000,-17428000,-15035000,-14850000,-20392000,-11900000,-8953000,125676000,-46307000,-30456000,-4828000,-53000,-5095000,3604000,5967000,4719000,-15263000,-45422000,53101000,-21451000,2220000,17775000
18,Operating Income ratio,-0.3800,-0.6125,-1.3353,-0.9062,-0.7430,-0.7343,-0.8581,-0.4902,-0.3214,3.6216,-1.2675,-1.0985,-0.1551,-0.0017,-0.1584,0.0759,0.1127,0.0744,-0.2674,-1.2973,0.4785,-0.5966,0.0729,0.5066
19,Total Other Income Expenses (Gains),200000,500000,-921000,-4771000,-143000,-1970000,-497000,-1027000,-1327000,4830000,3796000,1290000,272000,204000,170000,68000,352000,-270000,754000,611000,1634000,1878000,939000,-485000
20,Income Before Tax,- -,- -,- -,- -,- -,-16820000,-20889000,-12927000,-10280000,130506000,-42511000,-29166000,-4556000,151000,-4925000,3672000,6319000,4449000,-14509000,-44811000,54735000,-19573000,3159000,17290000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-0.8317,-0.8791,-0.5325,-0.3691,3.7608,-1.1636,-1.0520,-0.1464,0.0049,-0.1531,0.0774,0.1194,0.0702,-0.2542,-1.2798,0.4932,-0.5444,0.1037,0.4927
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,154000,-151000,158000,144000,13488000,5174000,-310000,1501000,1816000,792000,-36483000,2196000,1591000,25521000,480000,392000,471000,-2242000,4806000
23,Net Income,-1700000,-4400000,-22172000,-21746000,-16530000,-16974000,-20738000,-13085000,-10424000,117018000,-47685000,-28279000,-5927000,-1604000,-5564000,40155000,4123000,2858000,-39381000,-45291000,54343000,-20044000,5401000,12484000
24,Net Income ratio,-0.3400,-0.5500,-1.4527,-1.1307,-0.8169,-0.8393,-0.8727,-0.5390,-0.3743,3.3721,-1.3052,-1.0200,-0.1904,-0.0524,-0.1730,0.8459,0.0779,0.0451,-0.6899,-1.2935,0.4897,-0.5575,0.1773,0.3558
25,EPS,-0.43,-0.66,-1.25,-1.16,-0.83,-0.83,-0.91,-0.54,-0.42,4.23,-1.61,-1.01,-0.21,-0.06,-0.20,1.42,0.15,0.10,-1.37,-1.55,1.78,-0.64,0.19,0.40
26,EPS Diluted,-0.43,-0.66,-1.25,-1.16,-0.83,-0.83,-0.91,-0.54,-0.42,3.71,-1.61,-1.01,-0.21,-0.06,-0.20,1.37,0.14,0.10,-1.37,-1.55,1.73,-0.64,0.19,0.39
27,Weighted Average Shares Outstanding,3953488,6599000,17719000,18702000,19906000,20334000,22698000,24027000,24556000,27662000,29575000,27973000,28113000,28564000,27735000,28190000,28246000,28097000,28759000,29179000,30459000,31529000,28117000,31459000
28,Weighted Average Shares Outstanding Diluted,3953488,6599000,17719000,18702000,19906000,20334000,22698000,24027000,24556000,31667000,29575000,27973000,28113000,28564000,27735000,29338000,29144000,29015000,28759000,29179000,31407000,31529000,28477000,31769000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1058811/000089161801000265/0000891618-01-000265-index.html,https://www.sec.gov/Archives/edgar/data/1058811/000089161802001523/0000891618-02-001523-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000089161803001512/0000891618-03-001512-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013404004271/0000950134-04-004271-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013405004763/0000950134-05-004763-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013406004734/0000950134-06-004734-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000089161807000164/0000891618-07-000164-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013408004925/0000950134-08-004925-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013409004820/0000950134-09-004820-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095012310029996/0000950123-10-029996-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312511064314/0001193125-11-064314-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312512096776/0001193125-12-096776-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312513093838/0001193125-13-093838-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312514072940/0001193125-14-072940-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312515069693/0001193125-15-069693-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000105881116000019/0001058811-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000105881117000009/0001058811-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828018002309/0001628280-18-002309-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828019002045/0001628280-19-002045-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828020003100/0001628280-20-003100-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828021003998/0001628280-21-003998-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828022004000/0001628280-22-004000-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2600000,46500000,23474000,10381000,8717000,21738000,25538000,28171000,32012000,86493000,64769000,19828000,12243000,7298000,4558000,14136000,14380000,25013000,56865000,24622000,110988000,86478000,59522000,51490000
32,Short-Term Investments,400000,4800000,2360000,2545000,- -,- -,- -,- -,- -,51619000,20974000,43900000,48961000,48987000,38988000,56976000,42981000,39918000,32907000,21916000,13930000,3019000,- -,86431000
33,Cash and Short-Term Investments,3000000,51300000,25834000,12926000,8717000,21738000,25538000,28171000,32012000,138112000,85743000,63728000,61204000,56285000,43546000,71112000,57361000,64931000,89772000,46538000,124918000,89497000,59522000,137921000
34,Net Receivables,1100000,1100000,3675000,3779000,3645000,4927000,5435000,4650000,5153000,5494000,6829000,2988000,815000,1487000,1878000,598000,3021000,1213000,1382000,806000,1051000,3385000,2218000,14418000
35,Inventory,500000,700000,1709000,1965000,2128000,2099000,1805000,2655000,2639000,3674000,3396000,2001000,406000,423000,141000,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,1000000,1306000,1179000,1151000,1099000,1280000,1131000,1179000,6387000,3451000,4722000,4163000,694000,871000,8474000,10222000,2790000,2876000,736000,9856000,14078000,12610000,984000
37,Total Current Assets,4700000,54100000,32524000,19849000,15641000,29863000,34058000,36607000,40983000,153667000,99419000,73439000,66588000,58889000,46436000,80184000,70604000,68934000,94030000,48080000,135825000,106960000,74350000,153323000
38,PP&E,300000,600000,3606000,2918000,2044000,1454000,1174000,1366000,1647000,2112000,3827000,3498000,1931000,1737000,1281000,944000,1207000,4589000,4016000,3150000,2343000,3428000,1816000,1356000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,14864000,12058000,6616000,6596000,7018000,6787000,7385000,8391000,9945000,10897000,12356000,14053000,15725000,381000,291000,264000,365000,344000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,14864000,12058000,6616000,6596000,7018000,6787000,7385000,8391000,9945000,10897000,12356000,14053000,15725000,381000,291000,264000,365000,344000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7286000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4031000,- -,- -,- -,- -,- -,29066000,25419000,24633000,359000,401000,295000,470000,2659000,2115000
44,Other Non-Current Assets,1000000,4700000,6500000,2200000,1000000,- -,- -,- -,- -,167000,- -,- -,- -,- -,- -,- -,- -,6995000,4997000,- -,7532000,13990000,17305000,11440000
45,Total Non-Current Assets,1300000,5300000,24970000,17176000,9660000,8050000,8192000,8153000,9032000,14701000,13772000,14395000,14287000,15790000,17006000,30391000,26917000,36481000,9737000,3895000,10170000,17888000,21780000,22197000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6000000,59400000,57494000,37025000,25301000,37913000,42250000,44760000,50015000,168368000,113191000,87834000,80875000,74679000,63442000,110575000,97521000,105415000,103767000,51975000,145995000,124848000,96130000,175520000
48,Accounts Payable,400000,800000,1720000,722000,1160000,1752000,4038000,2179000,2334000,1657000,2842000,1382000,393000,365000,338000,682000,669000,650000,5951000,6647000,3612000,809000,149000,2000
49,Short-Term Debt,- -,- -,120000,4541000,86000,33000,11000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1150000,1382000,1098000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000,129000,164000,219000,204000,46000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,3515000,3116000,3420000,2741000,1646000,4478000,5037000,6578000,4429000,4120000,3934000,8920000,7779000,6696000,5909000,4424000,4591000,4692000,5173000,4826000
52,Other Current Liabilities,300000,2000000,3119000,2698000,1982000,2930000,3501000,2797000,3346000,4457000,6564000,4474000,4995000,4884000,3524000,6333000,4131000,7839000,9162000,8029000,7142000,5172000,2076000,10704000
53,Total Current Liabilities,700000,2800000,4959000,7961000,6743000,7831000,10970000,7722000,7326000,10592000,14443000,12434000,9817000,9369000,7796000,15935000,12579000,15185000,21022000,19100000,15345000,11823000,8780000,16630000
54,Long-Term Debt,- -,- -,3903000,83000,26000,16000,16917000,17490000,18122000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18851000,16494000,13229000,10221000,13441000,7827000,2516000,26393000,22303000,30203000,25952000,21334000,16699000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226000,248000,342000,215000,165000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,289000,167000,4584000,31285000,20330000,36343000,47559000,15989000,17099000,560000,538000,245000,619000,528000,512000,1099000,1012000,915000,787000,3316000,2035000,896000
58,Total Non-Current Liabilities,- -,- -,4192000,250000,4610000,31301000,37247000,53833000,65681000,15989000,17325000,19659000,17374000,13689000,11005000,13969000,8339000,3615000,27405000,23218000,30990000,29268000,23369000,17595000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1150000,1382000,1098000
61,Total Liabilities,700000,2800000,9151000,8211000,11353000,39132000,48217000,61555000,73007000,26581000,31768000,32093000,27191000,23058000,18801000,29904000,20918000,18800000,48427000,42318000,46335000,41091000,32149000,34225000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000000,65600000,89334000,89294000,89061000,89903000,104027000,106277000,110501000,- -,- -,172679000,176515000,182508000,186822000,198057000,204876000,212115000,221098000,228046000,246415000,253289000,258756000,323296000
64,Retained Earnings,-4200000,-8600000,-37749000,-59495000,-76025000,-92999000,-113737000,-126822000,-137246000,-20228000,-67913000,-98626000,-104553000,-106157000,-111721000,-86929000,-82806000,-79948000,-119329000,-171616000,-98521000,-118565000,-113164000,-100680000
65,Other Comprehensive Income/Loss,-300000,-500000,-1798000,-2944000,912000,1877000,3743000,3750000,3753000,1868000,1840000,66000,120000,118000,109000,112000,102000,86000,115000,99000,116000,124000,122000,412000
66,Other Total Stockholders Equity,8800000,100000,- -,1959000,- -,- -,- -,- -,- -,168109000,156110000,-18378000,-18398000,-24848000,-30569000,-30569000,-45569000,-45638000,-46544000,-46872000,-48350000,-51091000,-81733000,- -
67,Total Stockholders Equity,5300000,56600000,48343000,28814000,13948000,-1219000,-5967000,-16795000,-22992000,141787000,81423000,55741000,53684000,51621000,44641000,80671000,76603000,86615000,55340000,9657000,99660000,83757000,63981000,141295000
68,Total Liabilities And Stockholders Equity,6000000,59400000,57494000,37025000,25301000,37913000,42250000,44760000,50015000,168368000,113191000,87834000,80875000,74679000,63442000,110575000,97521000,105415000,103767000,51975000,145995000,124848000,96130000,175520000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6000000,59400000,57494000,37025000,25301000,37913000,42250000,44760000,50015000,168368000,113191000,87834000,80875000,74679000,63442000,110575000,97521000,105415000,103767000,51975000,145995000,124848000,96130000,175520000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1058811/000089161801000265/0000891618-01-000265-index.html,https://www.sec.gov/Archives/edgar/data/1058811/000089161802001523/0000891618-02-001523-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000089161803001512/0000891618-03-001512-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013404004271/0000950134-04-004271-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013405004763/0000950134-05-004763-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013406004734/0000950134-06-004734-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000089161807000164/0000891618-07-000164-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013408004925/0000950134-08-004925-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013409004820/0000950134-09-004820-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095012310029996/0000950123-10-029996-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312511064314/0001193125-11-064314-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312512096776/0001193125-12-096776-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312513093838/0001193125-13-093838-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312514072940/0001193125-14-072940-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312515069693/0001193125-15-069693-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000105881116000019/0001058811-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000105881117000009/0001058811-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828018002309/0001628280-18-002309-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828019002045/0001628280-19-002045-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828020003100/0001628280-20-003100-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828021003998/0001628280-21-003998-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828022004000/0001628280-22-004000-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1700000,-4400000,-22172000,-21746000,-16530000,-16974000,-20738000,-13085000,-10424000,117018000,-47685000,-28279000,-5927000,-1604000,-5564000,40155000,4123000,2858000,-39381000,-45291000,54343000,-20044000,5401000,12484000
74,Depreciation and Amortization,400000,1600000,5999000,6966000,4695000,3521000,2472000,1988000,1741000,1913000,1989000,1563000,2332000,2522000,2208000,663000,567000,1016000,910000,968000,855000,2197000,1931000,762000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7382000,7382000,- -,- -,- -,- -,- -,- -,- -,24274000,-32000,109000,431000,-2483000,531000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4524000,3409000,3555000,3146000,4644000,5295000,5470000,6111000,6102000,8686000,5464000,4756000,2338000
77,Change in Working Capital,-700000,47300000,-23735000,-15677000,-2990000,13134000,1056000,5797000,4772000,109418000,-58099000,-23971000,-4234000,-7251000,-10880000,25609000,-6224000,-4276000,19259000,-44028000,91500000,-25343000,-29567000,-2375000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3355000,2213000,- -,-504000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-200000,-200000,-524000,-256000,-163000,29000,293000,-814000,79000,-965000,360000,1395000,713000,-17000,282000,141000,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1441000,-902000,-24000,-18000,341000,-10000,-19000,5322000,696000,-3035000,-2815000,-660000,-148000
81,Other Working Capital,4000000,51300000,27565000,11888000,8898000,22032000,23088000,28885000,33657000,143075000,84976000,61005000,56771000,49520000,38640000,64249000,58025000,53749000,73008000,28980000,120480000,95137000,65570000,-5428000
82,Other Non-Cash Items,200000,-43800000,22659000,17530000,15713000,-12261000,1660000,7510000,9248000,-136452000,66064000,27845000,2621000,5155000,6841000,-49919000,-3470000,4977000,10869000,38452000,-85569000,3196000,19984000,3709000
83,Cash Provided by Operating Activities,-1800000,700000,-17249000,-12927000,888000,-12580000,-15550000,2210000,5337000,84515000,-30349000,-18318000,-1799000,2377000,-4249000,21152000,291000,10045000,22042000,-43829000,69924000,-34099000,22000,17449000
84,CAPEX,-100000,-500000,-2839000,-612000,-442000,-441000,-623000,-967000,-2744000,-3551000,-5479000,-4158000,-2666000,-3505000,-4244000,-234000,-779000,-4430000,-343000,-125000,-74000,-150000,-47000,-335000
85,Acquisitions Net,- -,- -,-2060000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-2900000,-4800000,-21873000,-3564000,-5000,- -,- -,- -,- -,-96719000,-59242000,-97980000,-48854000,-48905000,-43944000,-94931000,-42953000,-44910000,-32813000,-23807000,-17693000,-8930000,- -,-123424000
87,Sales/Maturities of Investments,3800000,400000,24274000,3381000,2550000,- -,- -,- -,- -,45110000,89978000,75000000,44964000,49000000,54000000,77000000,57000000,48000000,40000000,35000000,26004000,20000000,3000000,36075000
88,Other Investing Activites,-600000,-500000,-6490000,- -,- -,-1573000,-1918000,-1020000,- -,- -,- -,-2352000,-1969000,-3236000,-3244000,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,200000,-5400000,-8988000,-795000,2103000,-2014000,-2541000,-1987000,-2744000,-55160000,25257000,-26901000,-6204000,-3310000,5812000,-18165000,13268000,-1340000,6844000,11068000,8237000,10920000,2953000,-87684000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,5500000,48600000,779000,763000,319000,893000,1757000,2250000,1251000,13055000,1583000,134000,- -,145000,122000,198000,381000,367000,307000,328000,218000,165000,- -,59189000
92,Common Stock Repurchased,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18389000,- -,-9000,-6450000,-5721000,- -,-15000000,- -,-729000,-328000,- -,-2741000,-30642000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-281000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-96000,-103000,-4992000,25898000,19968000,-66000,31000,12105000,200000,144000,427000,2293000,1046000,6393000,1304000,1561000,2388000,518000,7987000,1245000,711000,3014000
95,Cash Used/Provided by Financing Activities,3700000,48600000,683000,660000,-4673000,26791000,21444000,2184000,1282000,25160000,-16606000,278000,418000,-4012000,-4553000,6591000,-13315000,1928000,1966000,518000,8205000,-1331000,-29931000,62203000
96,Effect of Forex Changes on Cash,- -,- -,-5000,-31000,18000,824000,447000,226000,-34000,-34000,-26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2100000,43900000,-25559000,-13093000,-1664000,13021000,3800000,2633000,3841000,54481000,-21724000,-44941000,-7585000,-4945000,-2740000,9578000,244000,10633000,31852000,-32243000,86366000,-24510000,-26956000,-8032000
98,Cash at the End of Period,2600000,46500000,23474000,10381000,8717000,21738000,25538000,28171000,32012000,86493000,64769000,19828000,12243000,7298000,4558000,14136000,14380000,25013000,56865000,24622000,110988000,86478000,59522000,51490000
99,Cash at the Beginning of Period,500000,2600000,49033000,23474000,10381000,8717000,21738000,25538000,28171000,32012000,86493000,64769000,19828000,12243000,7298000,4558000,14136000,14380000,25013000,56865000,24622000,110988000,86478000,59522000
100,Free Cash Flow,-1900000,200000,-20088000,-13539000,446000,-13021000,-16173000,1243000,2593000,80964000,-35828000,-22476000,-4465000,-1128000,-8493000,20918000,-488000,5615000,21699000,-43954000,69850000,-34249000,-25000,17114000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1058811/000089161801000265/0000891618-01-000265-index.html,https://www.sec.gov/Archives/edgar/data/1058811/000089161802001523/0000891618-02-001523-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000089161803001512/0000891618-03-001512-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013404004271/0000950134-04-004271-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013405004763/0000950134-05-004763-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013406004734/0000950134-06-004734-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000089161807000164/0000891618-07-000164-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013408004925/0000950134-08-004925-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095013409004820/0000950134-09-004820-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000095012310029996/0000950123-10-029996-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312511064314/0001193125-11-064314-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312512096776/0001193125-12-096776-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312513093838/0001193125-13-093838-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312514072940/0001193125-14-072940-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000119312515069693/0001193125-15-069693-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000105881116000019/0001058811-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000105881117000009/0001058811-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828018002309/0001628280-18-002309-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828019002045/0001628280-19-002045-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828020003100/0001628280-20-003100-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828021003998/0001628280-21-003998-index.htm,https://www.sec.gov/Archives/edgar/data/1058811/000162828022004000/0001628280-22-004000-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
