,https://roic.ai/company/ERIC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,- -,892157250,478639000,2835567000,3944214150,5388738940,7104984330,12004169720,13049054360,12119249870,21170059000,-21259212720,-19051263840,-10832180370,19147228840,24299778300,26177473500,21874576800,11273000000,3672000000,11146000000,12194000000,5775000000,12005000000,11568000000,13549000000,1716000000,-35206000000,-6530000000,2223000000,17483000000,22694000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,1875703500,2190993000,2651363500,3205277400,3780931700,4656412770,5783610560,6082530000,7375453540,11012228000,7743005520,6553217580,8388290970,4826752750,5703576600,7225611000,8567218800,8114000000,3550000000,8962000000,9036000000,9546000000,10155000000,9927000000,10223000000,8886000000,8451000000,7221000000,8599000000,7978000000,8969000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-149884000,-655131000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1032000000,-1011000000,351000000,- -,-1140000000,-1323000000,-1235000000,-2835000000,-6200000000,-9805000000,-1897000000,1652000000,6123000000,6576000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,516570750,-1150289000,-1272754500,1994757900,-6879903940,-2785594050,-3733924400,-6358271360,-5382548080,-20087822800,33989593920,10768483530,27299682180,-5585718010,-18477046200,-13966327500,-10114887200,-1985000000,3493000000,2858000000,-15200000000,3016000000,-4613000000,-3641000000,-3687000000,6003000000,26081000000,7788000000,2807000000,-3605000000,4002000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11434000000,7668000000,4406000000,-1700000000,-1103000000,-8504000000,1182000000,7000000000,5933000000,1380000000,-2047000000,10995000000,-3185000000,1551000000
79,Inventory,- -,- -,- -,- -,- -,202281750,-1102213000,-3564046000,955047900,-7170184060,1114237620,-3416143600,-2059950160,715401960,-18435988600,20096190240,8613048570,2285755380,-3455289210,-3662045700,-2547403500,-446816400,-3927000000,5207000000,-7917000000,-3243000000,2752000000,4868000000,-2924000000,-366000000,-613000000,3995000000,-4807000000,261000000,384000000,-5565000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3522000000,5964000000,-1648000000,-1311000000,-2158000000,1265000000,-2676000000,2775000000,2413000000,2436000000,-372000000,4303000000,1385000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,949330000,- -,-5553721530,12895110540,1351490770,- -,-2069338500,-2188752800,13376000000,-5860000000,405000000,-8609000000,3937000000,-628000000,-2454000000,-8469000000,-1142000000,17495000000,11121000000,-7219000000,-5477000000,6597000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,291999000,113120000,1792858500,296317350,505670620,316388460,921564320,-5376956520,-1200853290,-23021252500,-21154435920,-8378384280,-2005426890,4240884830,5131630200,-1003936500,-1081425200,5566000000,14772000000,3266000000,3952000000,4834000000,1165000000,2083000000,3347000000,3605000000,20080000000,2760000000,1592000000,954000000,-3176000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,3576430500,1482579000,5351903500,9440566800,2795437320,9292191510,14975420200,7396356480,12911302040,-10926788300,-681049200,-10107947010,22850365890,22629148410,16657938900,18432820500,19245483200,24000000000,24476000000,26583000000,9982000000,22031000000,17389000000,18702000000,20597000000,14010000000,9601000000,9342000000,16873000000,28933000000,39065000000
84,CAPEX,- -,- -,- -,- -,- -,-3607636500,-3843252000,-4345035500,-4901490000,-6363629480,-6286501140,-7269235800,-8969704240,-9078791540,-12379263200,-8298322560,-2746441320,-1804165410,-2469965890,-3360185100,-3817690500,-4325700800,-5542000000,-5449000000,-5330000000,-6509000000,-7070000000,-5418000000,-6845000000,-11640000000,-10612000000,-5321000000,-4900000000,-6663000000,-5310000000,-4625000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-536484780,-71500680,-8872383760,-4760829710,- -,- -,- -,-819421740,-1557876060,- -,-18023050500,-26252082400,1836000000,-18082000000,-2832000000,-3128000000,-2077000000,-2682000000,-4394000000,-2200000000,-622000000,276000000,-1285000000,-1505000000,-9598000000,59000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-951783000,- -,-315063000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,395011600,- -,- -,-3016000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,82719000,- -,- -,- -,- -,- -,- -,- -,- -,5322661440,2711676240,- -,- -,6370847400,6160209000,3503299600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-246861750,1520050000,-1461125500,795378150,1079603460,1575064290,150945880,608253000,-1507454130,29752002200,7837304640,3024561960,-783482190,-792253210,-1977981300,846858000,-900108400,-6247000000,-15374000000,-3007000000,12663000000,2618000000,-3924000000,2203000000,2551000000,-1532000000,-12469000000,1128000000,3082000000,-1110000000,-16279000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-4806281250,-2240483000,-6121224000,-4106111850,-5284026020,-5247921630,-7189790600,-17233835000,-15347075380,17372739000,4861643520,2989796880,-3407069340,-4820095160,1032681000,-14833674000,-27579580400,-8544000000,-37462000000,-12541000000,4541000000,-4888000000,-11109000000,-7513000000,-7987000000,-8283000000,-16070000000,-4132000000,-3541000000,-15201000000,-19883000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4216000000,-9804000000,-1449000000,-1259000000,-9670000000,-5094000000,-9384000000,-1336000000,-1072000000,-4830000000,-1748000000,-7466000000,-11060000000,-8159000000
91,Common Stock Issued,- -,- -,- -,- -,- -,18389250,- -,- -,- -,7758697180,- -,- -,- -,- -,2031566200,157165200,29002767990,158134020,13315180,119155500,122931000,97134000,- -,- -,- -,- -,159000000,90000000,- -,169000000,131000000,98000000,107000000,197000000,163000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-389225300,-157165200,- -,-150946110,- -,- -,- -,- -,- -,- -,- -,- -,-93000000,- -,- -,- -,-26000000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-758417250,-832846000,-940188000,-1186754700,-1495804180,-1918964790,-2820304600,-3803608760,-4002844300,-4205531900,-4295848800,-643153980,-208449390,-292933960,-4130724000,-7321224000,-8146304800,-8240000000,-6318000000,-6677000000,-7455000000,-8632000000,-9153000000,-9846000000,-11337000000,-12263000000,-3424000000,-3425000000,-4450000000,-5996000000,-6889000000
94,Other Financing Activites,- -,- -,- -,- -,- -,3371919750,3004750000,1281923000,-649076100,-579897500,110048160,4893824320,3008824840,17535864710,2325858500,32596062480,-22753744860,-11709105390,-14373736810,-2073305700,-8195400000,14317551600,5248000000,14421000000,2456000000,2220000000,8851000000,4649000000,1005000000,1794000000,1488000000,13634000000,989000000,4819000000,4401000000,5741000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,2631891750,2171904000,341735000,-1835830800,5682995500,-1808916630,2073519720,-794783920,13533020410,-237332500,28300213680,5605869150,-11910366870,-14653355590,-6084874200,-15393693000,6268380800,-7208000000,-1701000000,-5670000000,-6494000000,-9385000000,-9508000000,-18225000000,-10710000000,-11742000000,5478000000,-4077000000,-6900000000,-12492000000,-9307000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-409200150,266421480,1444382100,254224640,-275741360,-332150910,436691800,733437600,-1208086530,-539093250,213042880,-285973200,54636000,407962800,1255000000,-328000000,-306000000,-217000000,-1752000000,641000000,5929000000,-2664000000,2757000000,-91000000,1372000000,258000000,-2707000000,563000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3672857340,10121318480,-10899893760,10765096160,6645310000,33214245600,-2711676240,6986648520,3368740540,11319772500,-11739910500,-1657753600,9503000000,-15015000000,8066000000,7812000000,6006000000,-2587000000,-1107000000,-764000000,-3258000000,-1082000000,2505000000,6690000000,-1467000000,10438000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19045209690,29275556200,18247590000,28982296070,35865687400,68806924560,66357846450,73144172160,77061604250,41712368700,29879062500,28363128000,37813000000,22798000000,30864000000,38676000000,44682000000,42095000000,40988000000,40224000000,36966000000,35884000000,38389000000,45079000000,43612000000,54050000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,6464100000,7803866000,9228512000,8790005400,11782854460,15372352350,19154237720,29147483760,18217199910,29220377400,35592678960,69069522690,66157523640,73692863710,30392596200,41618973000,30020881600,28310000000,37813000000,22798000000,30864000000,38676000000,44682000000,42095000000,40988000000,40224000000,36966000000,35884000000,38389000000,45079000000,43612000000
100,Free Cash Flow,- -,- -,- -,- -,- -,-31206000,-2360673000,1006868000,4539076800,-3568192160,3005690370,7706184400,-1573347760,3832510500,-23306051500,-8979371760,-12854388330,21046200480,20159182520,13297753800,14615130000,14919782400,18458000000,19027000000,21253000000,3473000000,14961000000,11971000000,11857000000,8957000000,3398000000,4280000000,4442000000,10210000000,23623000000,34440000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717826/000119312504054554/0001193125-04-054554-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312505058488/0001193125-05-058488-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312506115498/0001193125-06-115498-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312507131377/0001193125-07-131377-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312508085247/0001193125-08-085247-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312509091164/0001193125-09-091164-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312510088419/0001193125-10-088419-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312511082214/0001193125-11-082214-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312512149674/0001193125-12-149674-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312513145407/0001193125-13-145407-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312514134810/0001193125-14-134810-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312515113168/0001193125-15-113168-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312516529446/0001193125-16-529446-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312517139501/0001193125-17-139501-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312518097690/0001193125-18-097690-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312519092671/0001193125-19-092671-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312520078974/0001193125-20-078974-index.htm,- -,- -
102,Forex Rate,- -,- -,- -,0.1614,0.1774,0.1802,0.1412,0.1199,0.1345,0.1506,0.146,0.126,0.1232,0.1175,0.1061,0.0956,0.1151,0.1389,0.1502,0.1259,0.146,0.1546,0.128,0.1396,0.1488,0.1448,0.1537,0.1553,0.1282,0.1184,0.1098,0.1219,0.1129,0.1068,0.1213,0.1106
