,https://roic.ai/company/VSEC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,4800000,6000000,10800000,1800000,1800000,1900000,1400000,3400000,3100000,2700000,2100000,2000000,5000000,2700000,2600000,1802000,237000,328000,352000,636000,580000,695000,1505000,1193000,1263000,2204000,5266000,3968000,3285000,4140000,3288000,22676000,18446000,19731000,23509000,20624000,22107000
11,COGS and Expenses,83100000,94500000,107300000,111500000,107300000,97600000,66100000,76100000,77700000,63100000,72300000,116600000,157500000,177100000,153400000,120176000,110227000,132634000,131250000,210477000,270360000,351673000,630856000,1012601000,976160000,827823000,581912000,494654000,427535000,387141000,483443000,640261000,705788000,644688000,692370000,606896000,729333000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000,- -,- -,69000,- -,210000,427000,- -,- -,- -,99000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,279000,- -,7224000,5789000,3983000,9544000,9855000,9240000,8982000,13830000,13496000,12069000
14,Depreciation and Amortization,800000,900000,1300000,1800000,1800000,1900000,1400000,1400000,1300000,1100000,1300000,1500000,4100000,1900000,1900000,1563000,1372000,1414000,1183000,1321000,1417000,1882000,3463000,5437000,7622000,8937000,15099000,21162000,20016000,18770000,25541000,26046000,25882000,25224000,26927000,24135000,25600000
15,EBITDA,4800000,6700000,5200000,5400000,4300000,4000000,-3100000,4300000,3500000,3700000,4000000,4200000,2100000,4600000,4300000,3337000,2668000,2559000,4461000,6956000,11406000,14371000,26470000,36686000,46221000,47249000,48071000,66168000,62981000,54576000,76080000,77575000,80207000,79454000,87184000,38058000,47120000
16,EBITDA ratio,0.0549,0.0666,0.0467,0.0469,0.0392,0.0402,-0.0454,0.0549,0.0440,0.0564,0.0533,0.0350,0.0135,0.0255,0.0273,0.0273,0.0239,0.0190,0.0332,0.0322,0.0407,0.0395,0.0405,0.0351,0.0456,0.0546,0.0777,0.1210,0.1335,0.1287,0.1425,0.1121,0.1055,0.1140,0.1158,0.0575,0.0628
17,Operating Income,4300000,6100000,4000000,3600000,2500000,2000000,2200000,2200000,1900000,2500000,2800000,3500000,-1600000,3100000,4000000,2093000,1345000,1745000,3209000,5534000,9779000,12061000,22308000,31134000,- -,38213000,36680000,51076000,44103000,36930000,50539000,51529000,54325000,54230000,60257000,13923000,21520000
18,Operating Income ratio,0.0492,0.0606,0.0359,0.0313,0.0228,0.0201,0.0322,0.0281,0.0239,0.0381,0.0373,0.0291,-0.0103,0.0172,0.0254,0.0171,0.0121,0.0130,0.0239,0.0256,0.0349,0.0332,0.0342,0.0298,- -,0.0441,0.0593,0.0934,0.0935,0.0871,0.0946,0.0745,0.0715,0.0778,0.0801,0.0210,0.0287
19,Total Other Income Expenses (Gains),-300000,-300000,-100000,- -,- -,100000,-2600000,-100000,- -,100000,-100000,-600000,-400000,-400000,-1600000,98000,-49000,-600000,69000,402000,210000,428000,699000,115000,120000,-180000,-3708000,-7224000,-5789000,-3983000,-9544000,-9855000,-9240000,-8982000,-13830000,-13496000,-12069000
20,Income Before Tax,4000000,5800000,3900000,3600000,2500000,2100000,-400000,2100000,1900000,2600000,2700000,2900000,-2000000,2700000,2400000,2191000,1296000,1145000,3278000,5936000,9989000,12489000,23007000,31249000,38599000,38033000,32972000,43852000,38314000,32947000,40995000,41674000,45085000,45248000,46427000,427000,9451000
21,Income Before Tax Ratio,0.0458,0.0577,0.0350,0.0313,0.0228,0.0211,-0.0059,0.0268,0.0239,0.0396,0.0360,0.0241,-0.0128,0.0150,0.0152,0.0179,0.0116,0.0085,0.0244,0.0275,0.0357,0.0343,0.0352,0.0299,0.0380,0.0439,0.0533,0.0802,0.0812,0.0777,0.0768,0.0602,0.0593,0.0649,0.0617,0.0006,0.0126
22,Income Tax expense (Gain),1500000,2500000,1300000,800000,400000,200000,200000,800000,700000,1000000,1100000,1000000,-600000,1100000,900000,806000,441000,493000,1267000,2191000,3820000,4700000,8905000,12209000,14575000,14346000,12420000,16488000,14324000,12458000,16077000,14881000,5989000,10168000,9403000,5598000,1485000
23,Net Income,2500000,3300000,2600000,2800000,2100000,1900000,-4700000,2100000,1500000,1600000,1600000,1700000,-1400000,1600000,1500000,968000,855000,652000,2011000,3444000,6169000,7789000,14102000,19040000,24024000,23687000,20552000,21294000,22852000,19365000,24918000,26793000,39096000,35080000,37024000,-5171000,7966000
24,Net Income ratio,0.0286,0.0328,0.0234,0.0243,0.0191,0.0191,-0.0688,0.0268,0.0188,0.0244,0.0213,0.0142,-0.0090,0.0089,0.0095,0.0079,0.0077,0.0049,0.0150,0.0159,0.0220,0.0214,0.0216,0.0182,0.0237,0.0274,0.0332,0.0389,0.0485,0.0457,0.0467,0.0387,0.0514,0.0503,0.0492,-0.0078,0.0106
25,EPS,0.14,0.18,0.14,0.15,0.12,0.11,-0.28,0.14,0.17,0.18,0.19,0.20,-0.17,0.19,0.18,0.12,0.10,0.07,0.23,0.39,0.67,0.82,1.43,1.88,2.34,2.28,1.97,2.02,2.15,1.81,2.32,2.48,3.61,3.23,3.38,-0.47,0.63
26,EPS Diluted,0.14,0.18,0.14,0.15,0.12,0.11,-0.28,0.14,0.17,0.18,0.19,0.20,-0.17,0.19,0.18,0.12,0.10,0.07,0.23,0.37,0.65,0.80,1.41,1.87,2.33,2.28,1.97,2.00,2.14,1.80,2.31,2.47,3.60,3.21,3.35,-0.47,0.63
27,Weighted Average Shares Outstanding,18518519,18591549,17931034,18064516,17872340,17674419,16936937,17500000,9090909,8888889,8663980,8658005,8494176,8504604,8462276,8490256,8547968,8689536,8756788,8927392,9290944,9474900,9906578,10144262,10256688,10378526,10464110,10564094,10658416,10707824,10747226,10793723,10834562,10876201,10957750,11034256,12551459
28,Weighted Average Shares Outstanding Diluted,18518519,18591549,17931034,18064516,17872340,17674419,16936937,17500000,9090909,8888889,8888889,8727273,8494176,8504604,8462276,8490256,8547968,8785560,8920904,9239728,9568108,9697768,10007350,10192372,10292694,10378526,10464110,10619724,10686534,10742400,10787270,10828152,10867834,10936057,11044731,11034256,12632874
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102752/000010275298000007/0000102752-98-000007-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102752/000010275203000006/0000102752-03-000006-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275204000005/0000102752-04-000005-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275205000005/0000102752-05-000005-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/102752/000010275208000006/0000102752-08-000006-index.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275209000018/0000102752-09-000018-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275210000008/0000102752-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275211000007/vseform10-k10.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275212000011/0000102752-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275213000009/0000102752-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275214000017/vseform10-k2013.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275215000017/form10k.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275216000074/0000102752-16-000074-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275217000009/0000102752-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275218000010/0000102752-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275219000013/0000102752-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275220000016/0000102752-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275221000039/0000102752-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275222000013/0000102752-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,900000,10200000,9800000,10200000,9200000,1700000,200000,800000,1000000,3100000,700000,500000,- -,- -,100000,647000,209000,4210000,9843000,130000,12717000,8745000,109000,638000,8024000,5764000,451000,1501000,220000,263000,740000,428000,624000,162000,734000,378000,518000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,900000,10200000,9800000,10200000,9200000,1700000,200000,800000,1000000,3100000,700000,500000,- -,- -,100000,647000,209000,4210000,9843000,130000,12717000,8745000,109000,638000,8024000,5764000,451000,1501000,220000,263000,740000,428000,624000,162000,734000,378000,518000
34,Net Receivables,22500000,31100000,28500000,29900000,30900000,20600000,13100000,12900000,15200000,10900000,16400000,33700000,24700000,27600000,19400000,19215000,20849000,17524000,21835000,40274000,43926000,66953000,132389000,206717000,175185000,156938000,117568000,90621000,78387000,59391000,78471000,101218000,98337000,101259000,116909000,80550000,111289000
35,Inventory,1100000,2100000,2300000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8504000,4273000,4459000,- -,- -,- -,- -,41990000,41555000,39315000,49363000,109123000,136340000,132591000,166392000,218627000,253422000,322702000
36,Other Current Assets,7300000,-100000,1500000,4400000,2600000,5700000,9100000,2100000,2100000,2400000,1900000,2300000,2200000,1700000,1800000,2386000,2679000,2554000,2198000,2672000,3238000,3445000,4001000,13242000,10015000,11154000,18438000,12298000,11504000,13351000,13036000,20477000,16988000,13407000,19071000,20607000,29484000
37,Total Current Assets,31800000,43300000,42100000,46500000,42700000,28000000,22400000,15800000,18300000,16400000,19000000,36500000,26900000,29300000,21300000,22248000,23737000,24288000,33876000,51580000,64154000,83602000,136499000,220597000,193224000,173856000,178447000,145975000,129426000,122368000,201370000,258463000,248540000,281220000,355341000,354957000,463993000
38,PP&E,6000000,8900000,11000000,15800000,23200000,25100000,3800000,3700000,3500000,3100000,4500000,5100000,5000000,5100000,4400000,3336000,4211000,3483000,3038000,4435000,4583000,8409000,14920000,21484000,24683000,42315000,57113000,62468000,57738000,52911000,64308000,62061000,55146000,49606000,64408000,56878000,69813000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1054000,5228000,17439000,19530000,36282000,98879000,92052000,92052000,92052000,198545000,198622000,198622000,198622000,276450000,238126000,248753000
40,Intangible Assets,200000,200000,200000,200000,- -,- -,- -,- -,- -,- -,3900000,3400000,3100000,2800000,1300000,2134000,1822000,1054000,1054000,1054000,1054000,- -,8034000,11176000,9336000,25003000,106536000,92421000,82257000,72209000,143043000,126926000,110909000,94892000,132175000,103595000,108263000
41,Intangible Assets,200000,200000,200000,200000,- -,- -,- -,- -,- -,- -,3900000,3400000,3100000,2800000,1300000,2134000,1822000,1054000,1054000,1054000,1054000,1054000,13262000,28615000,28866000,61285000,205415000,184473000,174309000,164261000,341588000,325548000,309531000,293514000,408625000,341721000,357016000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,793000,449000,297000,312000,682000,1133000,1888000,- -,- -,838000,231000,2099000,2545000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,7500000,4300000,4600000,9400000,6300000,6500000,8100000,1300000,1700000,1800000,1700000,3300000,3000000,3500000,4300000,3805000,2646000,2403000,2511000,2971000,3393000,4337000,5202000,5270000,7217000,10132000,13306000,15196000,16511000,15790000,14868000,15767000,15796000,14488000,17490000,26525000,27736000
45,Total Non-Current Assets,13700000,13400000,15800000,25400000,29500000,31600000,11900000,5000000,5200000,4900000,10100000,11800000,11100000,11400000,10000000,9275000,9472000,7389000,6900000,8772000,9712000,14933000,35272000,55369000,60766000,114570000,276065000,264236000,251103000,232962000,420764000,403376000,380473000,357608000,490523000,425124000,454565000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,45500000,56700000,57900000,71900000,72200000,59600000,34300000,20800000,23500000,21300000,29100000,48300000,38000000,40700000,31300000,31523000,33209000,31677000,40776000,60352000,73866000,98535000,171771000,275966000,253990000,288426000,454512000,410211000,380529000,355330000,622134000,661839000,629013000,638828000,845864000,780081000,918558000
48,Accounts Payable,- -,- -,- -,- -,- -,3700000,2600000,2500000,2800000,2500000,3200000,13500000,10200000,11800000,8200000,8678000,10609000,8785000,14634000,26853000,29752000,44302000,88565000,158015000,112995000,75724000,50353000,30063000,31757000,29424000,40084000,93999000,66015000,57408000,68099000,72682000,115064000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,1300000,- -,- -,- -,- -,- -,1578000,- -,- -,81000,6676000,- -,6667000,18587000,23274000,24837000,24837000,17557000,21023000,6960000,9466000,16883000,24391000,20153000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10938000,8234000
52,Other Current Liabilities,19100000,22800000,23500000,35900000,39100000,20900000,6300000,5400000,6100000,5800000,5800000,5900000,6200000,6500000,6000000,5206000,4321000,4741000,5848000,7566000,12374000,13654000,23097000,31727000,34327000,36896000,38384000,27662000,25141000,33236000,39336000,33420000,41002000,38004000,79201000,31217000,36513000
53,Total Current Liabilities,19100000,22800000,23500000,35900000,39100000,24600000,8900000,7900000,8900000,8300000,9000000,19400000,17000000,19600000,14200000,13884000,14930000,13526000,20482000,35997000,42126000,57956000,111743000,196418000,147322000,119287000,107324000,80999000,81735000,87497000,96977000,148442000,113977000,104878000,164183000,139228000,179964000
54,Long-Term Debt,6400000,5800000,5800000,8100000,7600000,7700000,2800000,2200000,2700000,- -,5000000,12700000,7100000,5400000,- -,- -,351000,- -,- -,- -,- -,- -,- -,- -,- -,11111000,144759000,116377000,64487000,23563000,216125000,193621000,165614000,151133000,253128000,253529000,297575000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,5300000,4100000,2000000,300000,500000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404000,- -,- -,- -,- -,- -,1634000,35137000,29872000,19423000,18482000,17865000,14897000,9108000
57,Other Non-Current Liabilities,- -,-100000,- -,- -,- -,- -,900000,1100000,1100000,900000,1500000,1600000,1400000,1800000,2000000,1846000,1453000,1108000,1236000,1312000,1589000,2343000,3652000,3021000,5358000,34252000,58829000,48500000,47504000,37147000,44586000,34710000,36904000,35940000,47587000,16110000,14578000
58,Total Non-Current Liabilities,6400000,11000000,9900000,10100000,7900000,8200000,3800000,3300000,3800000,900000,6500000,14300000,8500000,7200000,2000000,1846000,1804000,1108000,1236000,1312000,1589000,2343000,3652000,3425000,5358000,45363000,203588000,164877000,111991000,62344000,295848000,258203000,221941000,205555000,318580000,284536000,321261000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20258000,33938000,27435000,25721000,24584000,23251000,21959000,20581000,18913000,24441000,26827000,33159000
61,Total Liabilities,25500000,33800000,33400000,46000000,47000000,32800000,12700000,11200000,12700000,9200000,15500000,33700000,25500000,26800000,16200000,15730000,16734000,14634000,21718000,37309000,43715000,60299000,115395000,199843000,152680000,164650000,310912000,245876000,193726000,149841000,392825000,406645000,335918000,310433000,482763000,423764000,501225000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,110000,107000,109000,110000,114000,118000,120000,253000,255000,258000,260000,262000,265000,267000,268000,269000,540000,542000,544000,549000,553000,636000
64,Retained Earnings,12700000,15600000,17500000,19900000,19600000,21000000,15800000,17600000,18800000,20000000,21400000,22800000,9400000,10700000,11900000,12561000,13074000,13376000,15037000,18054000,23686000,30833000,44160000,62311000,85332000,107824000,126961000,146614000,167598000,184873000,207478000,231733000,267902000,301073000,334246000,325097000,328358000
65,Other Comprehensive Income/Loss,-5200000,-5700000,-5800000,-7100000,-8500000,-10000000,-8400000,-9300000,-8800000,-9500000,-9900000,-9900000,-11300000,-11000000,-11000000,-8810000,-6825000,-6464000,-17000,-4000,-1000,-9358000,-11518000,-12876000,-17373000,-22864000,-692000,-737000,-201000,- -,-75000,45000,181000,146000,-1105000,-1203000,-176000
66,Other Total Stockholders Equity,12500000,13000000,12800000,13100000,14100000,15800000,14200000,1300000,800000,1600000,2100000,1700000,14400000,14200000,14100000,11932000,10119000,10022000,3928000,4879000,6348000,16641000,23481000,26433000,33093000,38556000,17069000,18193000,19139000,20348000,21637000,22876000,24470000,26632000,29411000,31870000,- -
67,Total Stockholders Equity,20000000,22900000,24500000,25900000,25200000,26800000,21600000,9600000,10800000,12100000,13600000,14600000,12500000,13900000,15100000,15793000,16475000,17043000,19058000,23043000,30151000,38236000,56376000,76123000,101310000,123776000,143600000,164335000,186803000,205489000,229309000,255194000,293095000,328395000,363101000,356317000,417333000
68,Total Liabilities And Stockholders Equity,45500000,56700000,57900000,71900000,72200000,59600000,34300000,20800000,23500000,21300000,29100000,48300000,38000000,40700000,31300000,31523000,33209000,31677000,40776000,60352000,73866000,98535000,171771000,275966000,253990000,288426000,454512000,410211000,380529000,355330000,622134000,661839000,629013000,638828000,845864000,780081000,918558000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,45500000,56700000,57900000,71900000,72200000,59600000,34300000,20800000,23500000,21300000,29100000,48300000,38000000,40700000,31300000,31523000,33209000,31677000,40776000,60352000,73866000,98535000,171771000,275966000,253990000,288426000,454512000,410211000,380529000,355330000,622134000,661839000,629013000,638828000,845864000,780081000,918558000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102752/000010275298000007/0000102752-98-000007-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102752/000010275203000006/0000102752-03-000006-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275204000005/0000102752-04-000005-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275205000005/0000102752-05-000005-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/102752/000010275208000006/0000102752-08-000006-index.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275209000018/0000102752-09-000018-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275210000008/0000102752-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275211000007/vseform10-k10.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275212000011/0000102752-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275213000009/0000102752-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275214000017/vseform10-k2013.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275215000017/form10k.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275216000074/0000102752-16-000074-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275217000009/0000102752-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275218000010/0000102752-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275219000013/0000102752-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275220000016/0000102752-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275221000039/0000102752-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275222000013/0000102752-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,1900000,-4700000,2100000,1500000,1600000,1600000,1700000,-1400000,1600000,1500000,968000,855000,652000,2011000,3444000,6169000,7789000,14102000,19040000,24024000,23687000,20552000,21294000,22852000,19365000,24918000,26793000,39096000,35080000,37024000,-5171000,7966000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,1900000,1400000,1400000,1300000,1100000,1300000,1500000,4100000,1900000,1900000,1563000,1372000,1414000,1183000,1321000,1417000,1882000,3463000,5437000,7622000,8937000,15099000,21162000,20016000,18770000,25541000,26046000,25882000,25224000,26927000,24135000,25600000
75,Deferred Income Tax,- -,- -,- -,- -,- -,200000,- -,-100000,-100000,-200000,600000,500000,-1300000,300000,-500000,-45000,212000,-274000,646000,-273000,-326000,-614000,-805000,1241000,558000,-728000,1283000,-1253000,-874000,3083000,84000,-1146000,-10534000,-1371000,-505000,106000,-4356000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,956000,1235000,1705000,1033000,744000,1576000,1739000,2081000,2109000,3068000,3027000,3264000,2858000,3932000
77,Change in Working Capital,- -,- -,- -,- -,- -,7000000,10100000,-5600000,1500000,-1300000,1900000,7100000,-7200000,-200000,-2600000,1264000,443000,1955000,2632000,2189000,6445000,3618000,-890000,-577000,21723000,8667000,16554000,-6147000,-17285000,-12820000,69522000,5628000,24542000,41779000,14816000,24571000,-75100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14130000,18996000,-8139000,-22747000,2881000,-3754000,-3331000,7732000,-9413000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8504000,4231000,-186000,4459000,- -,- -,- -,-4758000,435000,2240000,-10048000,-10381000,-27217000,3749000,-35558000,-44219000,-50172000,-80021000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65513000,-43145000,-35682000,-31596000,-17279000,1922000,-1224000,-362000,54743000,-23587000,-7405000,7725000,3503000,33210000
81,Other Working Capital,- -,- -,- -,- -,- -,3400000,13500000,7900000,9400000,8100000,10000000,17100000,9900000,9700000,7100000,8364000,8807000,10762000,13394000,15583000,22028000,25646000,24756000,24179000,45902000,54569000,71123000,64976000,47691000,34871000,104393000,110021000,134563000,176342000,191158000,215729000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-1600000,-4700000,5300000,-2900000,4900000,-5800000,-15200000,13900000,-200000,3900000,-1730000,-1473000,1231000,-85000,-15388000,1921000,-11044000,-7622000,-3172000,-30777000,-24481000,-20261000,23675000,30313000,19578000,-84572000,-12237000,-31634000,-84884000,-63532000,-10738000,24356000
