,https://roic.ai/company/BCO,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,445834000,214700000,256800000,346700000,490700000,930500000,831557000,818100000,871200000,873200000,914000000,867400000,981900000,1118400000,534000000,549500000,698900000,749200000,793800000,758700000,669500000,549000000,531000000,640900000,699400000,1033600000,1160200000,1164700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124000000,141300000,139600000,213700000,244300000,231400000,243800000,240200000,215700000,185300000,186200000,453700000,678600000,784600000,1219200000,1411700000
40,Intangible Assets,- -,- -,28900000,28200000,18500000,62700000,298500000,232969000,224800000,227900000,244100000,259600000,103800000,23900000,- -,- -,- -,- -,63800000,56100000,46300000,39800000,28500000,19100000,105700000,228900000,272500000,426100000,491200000
41,Intangible Assets,- -,329441000,28900000,28200000,18500000,62700000,298500000,232969000,224800000,227900000,244100000,259600000,103800000,147900000,141300000,139600000,213700000,244300000,295200000,299900000,286500000,255500000,213800000,205300000,559400000,907500000,1057100000,1645300000,1902900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20900000,20300000,6400000,8400000,7600000,8100000,8700000,17000000,29700000,28900000
43,Tax Assets,- -,84214000,- -,- -,- -,- -,- -,- -,233200000,349300000,282700000,234700000,196900000,142200000,90100000,202600000,254100000,276000000,350800000,385300000,251700000,289500000,329800000,327900000,226200000,236500000,273500000,314900000,239400000
44,Other Non-Current Assets,- -,316314000,71800000,76600000,80000000,76700000,337700000,600557000,357400000,229500000,288100000,177300000,167000000,165200000,198800000,107200000,172400000,173900000,77100000,58500000,78100000,63700000,68000000,79300000,136800000,177400000,150000000,170700000,231300000
45,Total Non-Current Assets,- -,1175803000,315400000,361600000,445200000,630100000,1566700000,1665083000,1633500000,1677900000,1688100000,1585600000,1335100000,1437200000,1548600000,983400000,1189700000,1393100000,1472300000,1558400000,1395300000,1284600000,1169000000,1151100000,1571400000,2029500000,2531200000,3320800000,3567200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1337000000,- -
47,Total Assets,- -,1737778000,484700000,551700000,692300000,977000000,2468600000,2478709000,2394000000,2459900000,2548600000,2678200000,3036900000,2188000000,2394300000,1815800000,1879800000,2270500000,2406200000,2553900000,2498000000,2192200000,1946700000,1994800000,3059600000,3236000000,3763800000,5135600000,5566700000
48,Accounts Payable,- -,252615000,35500000,37000000,36300000,59600000,301200000,315956000,256600000,244000000,286900000,357000000,118800000,142800000,171900000,137800000,127200000,141500000,159500000,172800000,185600000,168600000,155300000,139300000,174600000,174600000,184500000,206000000,211200000
49,Short-Term Debt,- -,27071000,9000000,3900000,16600000,51900000,122300000,85381000,45000000,55100000,53000000,62600000,61000000,43900000,23400000,15600000,23300000,65500000,54100000,53700000,105500000,93500000,72400000,195600000,97100000,82400000,154700000,228700000,202300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21200000,5500000,- -,111500000,125900000,125000000,108200000,106200000,104000000,121700000,111200000,124800000,133800000,154200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15100000,17900000
52,Other Current Liabilities,- -,294784000,85900000,98500000,125400000,195100000,409600000,496970000,543300000,494200000,504200000,612500000,946000000,385500000,444600000,381700000,369800000,469000000,488500000,516500000,507500000,466300000,414100000,418900000,563200000,592400000,662800000,886400000,997600000
53,Total Current Liabilities,- -,574470000,130400000,139400000,178300000,306600000,833100000,898307000,844900000,793300000,844100000,1032100000,1125800000,606700000,639900000,535100000,520300000,676000000,702100000,743000000,798600000,728400000,641800000,753800000,834900000,849400000,1002000000,1336200000,1429000000
54,Long-Term Debt,- -,138071000,5800000,5500000,38700000,93300000,395100000,311418000,252900000,304200000,221500000,181600000,251900000,112500000,89200000,173000000,172300000,323700000,335300000,335600000,330500000,373300000,358100000,247600000,1139600000,1471600000,1554800000,2601400000,3083500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,19036000,37500000,38500000,45300000,53900000,16300000,16654000,20700000,28400000,26500000,26000000,18800000,20800000,29800000,21500000,30500000,30600000,23000000,18700000,18000000,10800000,8100000,7600000,25100000,16700000,21200000,42700000,49200000
57,Other Non-Current Liabilities,- -,558386000,30800000,32000000,24700000,36600000,474500000,776507000,799400000,952800000,960900000,724500000,802900000,642400000,520900000,780900000,560900000,657100000,863400000,879800000,571400000,605900000,608100000,631000000,721800000,731700000,978200000,952800000,752400000
58,Total Non-Current Liabilities,- -,715493000,74100000,76000000,108700000,183800000,885900000,1104579000,1073000000,1285400000,1208900000,932100000,1073600000,775700000,639900000,975400000,763700000,1011400000,1221700000,1234100000,919900000,990000000,974300000,886200000,1886500000,2220000000,2554200000,3596900000,3885100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284300000,344400000,319100000
61,Total Liabilities,- -,1289963000,204500000,215400000,287000000,490400000,1719000000,2002886000,1917900000,2078700000,2053000000,1964200000,2199400000,1382400000,1279800000,1510500000,1284000000,1687400000,1923800000,1977100000,1718500000,1718400000,1616100000,1640000000,2721400000,3069400000,3556200000,4933100000,5314100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,49985000,- -,- -,- -,- -,71800000,51778000,54300000,54300000,54300000,56700000,58700000,48500000,48400000,45700000,47900000,46400000,46900000,47800000,48400000,48600000,48900000,50000000,50500000,49700000,50100000,49500000,47400000
64,Retained Earnings,- -,107739000,- -,- -,- -,- -,443300000,182525000,-112900000,213100000,237200000,352900000,488000000,552000000,675800000,310000000,514800000,537500000,589500000,659100000,696400000,592900000,561300000,576000000,564900000,429100000,457400000,407500000,312900000
65,Other Comprehensive Income/Loss,- -,-394660000,-214400000,-240700000,-276500000,-318400000,-649600000,-563073000,-563073000,-269200000,-178900000,-193000000,-239800000,-261400000,-130500000,-628000000,-578000000,-610300000,-787900000,-773400000,-617300000,-792000000,-891900000,-907000000,-926600000,-953300000,-979000000,-1000000000,-907900000
66,Other Total Stockholders Equity,- -,684751000,494600000,577000000,681800000,805000000,884100000,804593000,1097773000,383000000,383000000,457400000,530600000,414700000,452600000,486300000,550200000,542600000,559500000,568300000,566400000,584500000,599600000,618100000,628600000,628200000,663300000,- -,670600000
67,Total Stockholders Equity,- -,447815000,280200000,336300000,405300000,486600000,749600000,475823000,476100000,381200000,495600000,674000000,837500000,753800000,1046300000,214000000,534900000,516200000,408000000,501800000,693900000,434000000,317900000,337100000,317400000,153700000,191800000,128800000,123000000
68,Total Liabilities And Stockholders Equity,- -,1737778000,484700000,551700000,692300000,977000000,2468600000,2478709000,2394000000,2459900000,2548600000,2638200000,3036900000,2136200000,2326100000,1724500000,1818900000,2203600000,2331800000,2478900000,2412400000,2152400000,1934000000,1977100000,3038800000,3223100000,3748000000,5061900000,5437100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,- -,51800000,68200000,91300000,60900000,66900000,74400000,75000000,85600000,39800000,12700000,17700000,20800000,12900000,15800000,73700000,129600000
70,Total Liabilities & Equity,- -,1737778000,484700000,551700000,692300000,977000000,2468600000,2478709000,2394000000,2459900000,2548600000,2678200000,3036900000,2188000000,2394300000,1815800000,1879800000,2270500000,2406200000,2553900000,2498000000,2192200000,1946700000,1994800000,3059600000,3236000000,3763800000,5135600000,5566700000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/78890/0000950117-96-000277-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78890/000007889005000014/0000078890-05-000014-index.htm,- -,https://www.sec.gov/Archives/edgar/data/78890/000119312507041211/d10k.htm,https://www.sec.gov/Archives/edgar/data/78890/000007889008000021/0000078890-08-000021-index.html,https://www.sec.gov/Archives/edgar/data/78890/000007889009000013/0000078890-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/78890/000007889010000008/0000078890-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/78890/000007889011000013/form_10-k.htm,https://www.sec.gov/Archives/edgar/data/78890/000007889012000013/0000078890-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/78890/000007889013000006/0000078890-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/78890/000007889014000004/form_10-k.htm,https://www.sec.gov/Archives/edgar/data/78890/000007889015000009/form_10k.htm,https://www.sec.gov/Archives/edgar/data/78890/000007889016000062/0000078890-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/78890/000007889017000013/0000078890-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/78890/000007889018000009/0000078890-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/78890/000007889019000013/0000078890-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/78890/000007889020000010/0000078890-20-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/78890/000007889022000077/0000078890-22-000077-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,26897000,51100000,59700000,73600000,79100000,34700000,-256643000,16600000,26100000,29400000,121500000,142400000,587200000,137300000,183300000,200200000,57100000,74500000,88900000,56800000,-83900000,-11900000,34500000,16700000,-33300000,29000000,16000000,105200000
74,Depreciation and Amortization,- -,- -,43000000,54600000,61300000,82600000,180300000,188950000,194400000,130900000,143000000,148900000,119800000,133100000,153500000,122300000,135100000,136600000,162400000,165500000,173600000,161900000,139900000,131600000,146600000,162300000,185000000,206800000,239500000
75,Deferred Income Tax,- -,-17777000,-1000000,- -,1000000,2100000,-25500000,-28038000,-6700000,-800000,30200000,21800000,11800000,151300000,19500000,-20000000,-91000000,-2300000,-31400000,-43900000,-34600000,-28400000,7100000,-2900000,94200000,-20500000,-33300000,-28200000,14600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7800000,6600000,6200000,6200000,8000000,9900000,17300000,14100000,9500000,17700000,28200000,42700000,31300000,33100000
77,Change in Working Capital,- -,-20334000,11800000,18100000,-28500000,28500000,-153481000,281000,73100000,27700000,44100000,515500000,-431900000,61700000,91500000,-127500000,31600000,30400000,20700000,51600000,-124900000,-43300000,-46000000,563400000,-296200000,-126500000,-1622600000,1870600000,54000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24100000,8900000,-37700000,-50900000,-72000000,-73300000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-4184000,-800000,-300000,-400000,-3300000,-3700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,38900000,50700000,68800000,40300000,68800000,-84681000,-84400000,-11300000,16400000,60500000,576000000,144100000,205800000,297300000,169800000,201400000,231800000,252500000,304100000,179200000,135900000,89900000,653300000,357100000,230600000,-1392000000,478600000,46900000
82,Other Non-Cash Items,- -,150543000,-14100000,-18600000,39600000,-22600000,293281000,460206000,38300000,57400000,54100000,-527600000,471900000,-901000000,51900000,261200000,-87300000,7300000,14600000,-19600000,120700000,117700000,105600000,-568600000,273100000,353900000,1767800000,-1778800000,31600000
83,Cash Provided by Operating Activities,- -,139329000,90800000,113800000,147000000,169700000,329300000,364756000,315700000,241300000,300800000,280100000,314000000,32300000,453700000,427100000,195200000,235300000,247000000,250500000,201500000,141300000,208800000,167500000,252100000,364100000,368600000,317700000,478000000
84,CAPEX,- -,-106312000,-69800000,-95800000,-116300000,-162300000,-339200000,-272350000,-208600000,-235200000,-226600000,-245400000,-271700000,-279300000,-319600000,-165300000,-170600000,-148800000,-196200000,-184500000,-177700000,-136100000,-101100000,-112200000,-174500000,-155100000,-164800000,-118500000,-167900000
85,Acquisitions Net,- -,-163262000,- -,- -,- -,- -,- -,-3880000,-8400000,-100000,-8100000,-14800000,-53200000,996100000,-13400000,-11700000,-74600000,-100700000,-3000000,-17200000,-18100000,-4600000,-14600000,-1300000,-223700000,-512500000,-172700000,-442300000,-313200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1663700000,-1800000,-3500000,-11100000,-3000000,-500000,- -,- -,- -,-27300000,-9200000,-38000000,-62400000,-11800000,-2900000,-15600000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,7300000,- -,- -,- -,- -,1654100000,1300000,2500000,4700000,1300000,12900000,15400000,9900000,900000,33900000,9100000,38300000,54200000,1300000,2000000,35100000
88,Other Investing Activites,- -,13053000,900000,3700000,-48900000,1900000,12400000,2548000,-15400000,26900000,72500000,37700000,-70300000,500000,16000000,-347200000,-160100000,-153000000,-181200000,-165500000,-114800000,-90300000,-95700000,-107500000,-171500000,-152000000,-149800000,-127200000,-161000000
89,Cash Used for Investing Activites,- -,-256521000,-68900000,-92100000,-165200000,-160400000,-326800000,-273682000,-225100000,-208400000,-162200000,-222500000,-395200000,707700000,-317500000,-359900000,-241100000,-255400000,-171800000,-167300000,-123000000,-94000000,-103700000,-108900000,-394900000,-672700000,-333000000,-565400000,-454700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000000,-22900000,-19500000,-32200000,-34100000,-27300000,-81000000,-675900000,-645200000,-1187300000,-715100000,-1196400000,-1121800000,-2977500000
91,Common Stock Issued,- -,7332000,1900000,2100000,2300000,6200000,2700000,630000,- -,- -,- -,24200000,28300000,18600000,12600000,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-9955000,-2300000,-6900000,-4300000,-6300000,-23500000,-2162000,- -,-11100000,- -,- -,- -,-630900000,-2700000,-56600000,-6900000,-33700000,- -,- -,- -,- -,- -,- -,- -,-93500000,- -,-50000000,-200000000
93,Dividends Paid,- -,-16709000,-3400000,-3900000,-3600000,- -,-9800000,-5643000,-5400000,-5300000,-5300000,-5400000,-12200000,-10100000,-16500000,-30600000,-32100000,-37300000,-34800000,-19000000,-19200000,-19400000,-19500000,-19800000,-27700000,-30400000,-29900000,-30100000,-37200000
94,Other Financing Activites,- -,146430000,-16400000,-14900000,41400000,5400000,75400000,-117307000,-96300000,-300000,-117700000,-40900000,77500000,-160600000,-78500000,104600000,15300000,150500000,-200000,-14900000,40500000,103700000,646400000,617100000,1800800000,932400000,1188300000,1885600000,3386000000
95,Cash Used/Provided by Financing Activities,- -,127098000,-20200000,-23600000,35800000,5300000,44800000,-124482000,-101700000,-16700000,-123000000,-22100000,93600000,-783000000,-85100000,400000,-46600000,60000000,-67200000,-68000000,-6000000,3300000,-49000000,-44900000,585800000,93400000,-38000000,683700000,171300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,10800000,4800000,-6600000,5400000,8100000,-13100000,-15400000,100000,-8100000,3600000,-18700000,-129900000,-34000000,-12100000,-12200000,-32200000,-8100000,37900000,-50800000
97,Net Change In Cash,- -,9906000,-20200000,-23600000,35800000,5300000,47300000,-33408000,-11100000,15600000,26400000,40300000,5800000,-37600000,59200000,54500000,-107900000,40000000,-100000,18800000,53800000,-79300000,22100000,1600000,430800000,-247400000,-10500000,473900000,143800000
98,Cash at the End of Period,- -,42318000,- -,- -,- -,- -,131200000,97751000,86700000,102300000,128700000,169000000,96200000,137200000,196400000,250900000,143000000,183000000,182900000,201700000,255500000,176200000,198300000,183500000,614300000,479500000,469000000,942900000,1086700000
