,https://roic.ai/company/GLDD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.1038,Infinity,Infinity,-Infinity,-Infinity,0.0601,0.0562,0.0445,0.0679,0.0996,0.0865,0.0225,0.0703,0.0296,0.0268,0.0191,-0.0335,0.0848,0.1379,0.1524,0.1149
19,Total Other Income Expenses (Gains),-21100000,-20800000,-32400000,- -,1120142,-22457000,-15525000,-17279000,-16534000,-14156000,-27498000,-20916000,-21084000,-14665000,-31645000,-28649000,-30648000,-36168000,-27207000,-25475000,-20607000
20,Income Before Tax,12000000,17400000,-300000,- -,599394,3156000,13455000,8818000,25717000,54274000,26796000,-5411000,30317000,9188000,-8686000,-13969000,-54173000,16453000,70921000,86290000,62823000
21,Income Before Tax Ratio,0.0376,Infinity,-Infinity,- -,Infinity,0.0074,0.0261,0.0150,0.0413,0.0790,0.0427,-0.0079,0.0414,0.0114,-0.0101,-0.0182,-0.0771,0.0265,0.0997,0.1176,0.0865
22,Income Tax expense (Gain),- -,4400000,1300000,- -,267848,971000,6399000,3839000,10983000,20554000,9545000,-2071000,10460000,-11530000,-2497000,-5792000,-35610000,5437000,15253000,20187000,13391000
23,Net Income,6500000,13000000,-1600000,-1100,331546,2185000,7056000,4979000,17468000,34609000,16528000,-2695000,-34361000,10295000,-6189000,-8177000,-31260000,-6293000,49339000,66103000,49432000
24,Net Income ratio,0.0204,Infinity,-Infinity,-Infinity,Infinity,0.0051,0.0137,0.0085,0.0281,0.0504,0.0263,-0.0039,-0.0470,0.0128,-0.0072,-0.0107,-0.0445,-0.0101,0.0693,0.0901,0.0681
25,EPS,129.62,260.00,-32.00,-0.00,-14.64,-0.90,0.14,0.09,0.30,0.59,0.28,-0.05,0.33,0.18,-0.10,-0.13,-0.51,-0.10,0.78,1.02,0.75
26,EPS Diluted,129.62,260.00,-32.00,-0.00,-14.64,-0.90,0.14,0.09,0.30,0.59,0.28,-0.05,0.33,0.17,-0.10,-0.13,-0.51,-0.10,0.76,1.00,0.75
27,Weighted Average Shares Outstanding,50000,50000,50000,2000000,1000000,9780000,48911000,58469000,58507000,58647000,58891000,59195000,59495000,59938000,60410000,60744000,61365000,62236000,63597000,64743000,65691000
28,Weighted Average Shares Outstanding Diluted,50000,50000,50000,2000000,9580952,11200000,52221000,58478000,58625000,58871000,59230000,59195000,60101000,60522000,60410000,60744000,61365000,63607000,65042000,65872000,66311000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372020/000104746908002963/a2183654z10-k.htm,https://www.sec.gov/Archives/edgar/data/1372020/000104746909002580/0001047469-09-002580-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000119312510051402/0001193125-10-051402-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000119312511066245/d10k.htm,https://www.sec.gov/Archives/edgar/data/1372020/000119312512107139/0001193125-12-107139-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000119312513134675/0001193125-13-134675-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000119312514094004/d689260d10k.htm,https://www.sec.gov/Archives/edgar/data/1372020/000119312515081253/d817806d10k.htm,https://www.sec.gov/Archives/edgar/data/1372020/000156459016013760/0001564590-16-013760-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459017002889/0001564590-17-002889-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459018003940/0001564590-18-003940-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459019004521/0001564590-19-004521-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459020006778/0001564590-20-006778-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459021008165/0001564590-21-008165-index.htm,https://www.sec.gov/Archives/edgar/data/1372020/000156459022006231/0001564590-22-006231-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2600000,1500000,2800000,11095,735354,3640000,8239000,10478000,3250000,48478000,113288000,24440000,75338000,42389000,14184000,11167000,15852000,34458000,186995000,216510000,145459000
32,Short-Term Investments,- -,- -,- -,- -,50700580,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2600000,1500000,2800000,11095,51435934,3640000,8239000,10478000,3250000,48478000,113288000,24440000,75338000,42389000,14184000,11167000,15852000,34458000,186995000,216510000,145459000
34,Net Receivables,- -,- -,- -,- -,- -,99066000,129537000,151536000,153901000,95548000,120268000,218716000,163947000,195745000,211972000,183103000,166321000,82732000,42345000,71096000,- -
35,Inventory,- -,- -,- -,- -,- -,21082000,29157000,28666000,29192000,31734000,33426000,28726000,32500000,34735000,35963000,37137000,34600000,28112000,30189000,34689000,- -
36,Other Current Assets,- -,- -,- -,83905,22524,30458000,23690000,25678000,46093000,47209000,58796000,41808000,89268000,69375000,67614000,75819000,45411000,61396000,41183000,40398000,181973000
37,Total Current Assets,- -,- -,- -,95000,51458458,154246000,190623000,216358000,232436000,222969000,325778000,313690000,361053000,342244000,329733000,307226000,262184000,206698000,300712000,362693000,327432000
38,PP&E,- -,- -,- -,- -,- -,239337000,296721000,296885000,291157000,323231000,310520000,346540000,345621000,399445000,430210000,413008000,407294000,369863000,447208000,448230000,- -
39,Goodwill,- -,- -,- -,- -,- -,98747000,96225000,97799000,98049000,98049000,98049000,100799000,79326000,86326000,83576000,83576000,83576000,76576000,76576000,76576000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,1268000,1006000,931000,1037000,3280000,814000,3232000,1976000,8963000,2428000,1499000,908000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,100015000,97231000,98730000,99086000,101329000,98863000,104031000,81302000,95289000,86004000,85075000,84484000,76576000,76576000,76576000,- -
42,Investments,- -,- -,- -,- -,- -,- -,10000000,9000000,7943000,7329000,6923000,7047000,8256000,7889000,3761000,4734000,2714000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,205612,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,34761000,29787000,45182000,34804000,38967000,46376000,55087000,56413000,48367000,51917000,83545000,75681000,77134000,73056000,70525000,670238000
45,Total Non-Current Assets,- -,- -,- -,- -,205612,374113000,433739000,449797000,432990000,470856000,462682000,512705000,491592000,550990000,571892000,586362000,570173000,523573000,596840000,595331000,670238000
46,Other Assets,282200000,287500000,522900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,282200000,287500000,522900000,95000,51664070,528359000,624362000,666155000,665426000,693825000,788460000,826395000,852645000,893234000,901625000,893588000,832357000,730271000,897552000,958024000,997670000
48,Accounts Payable,- -,- -,- -,- -,- -,77021000,82989000,96644000,83783000,82721000,82745000,123082000,116121000,119971000,118846000,103185000,87659000,71537000,76091000,71308000,- -
49,Short-Term Debt,- -,- -,- -,70000,- -,4085000,- -,1553000,26101000,2803000,3033000,13098000,- -,5859000,7506000,2465000,2758000,11500000,21351000,19472000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1261000,1699000,3709000,5857000,3726000,3208000,2794000,1175000,1597000,2164000,- -
51,Deferred Revenue,- -,- -,- -,- -,273500,- -,- -,- -,- -,- -,- -,11280000,6754000,4639000,7061000,5141000,3615000,17793000,55266000,32608000,- -
52,Other Current Liabilities,- -,- -,- -,1100,200149,30192000,25340000,30442000,31265000,47293000,44748000,38490000,71024000,70041000,72277000,69043000,56218000,62291000,51225000,52899000,154735000
53,Total Current Liabilities,- -,- -,- -,71100,473649,111298000,108329000,128639000,141149000,132817000,130526000,185950000,193899000,200510000,205690000,179834000,150250000,163121000,203933000,176287000,154735000
54,Long-Term Debt,- -,- -,- -,- -,- -,190600000,196500000,216500000,186000000,180000000,252500000,250000000,285000000,324377000,349291000,390402000,428141000,321950000,322843000,369614000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,84825000,79836000,81004000,81642000,92466000,104352000,106767000,108511000,92007000,74006000,68449000,25561000,22846000,35740000,56466000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,9862266,11109000,9301000,11899000,12086000,11717000,8545000,10253000,23134000,20377000,20465000,7013000,7109000,7426000,55637000,8989000,443938000
58,Total Non-Current Liabilities,- -,- -,- -,- -,9862266,286534000,285637000,309403000,279728000,284183000,365397000,367020000,416645000,436761000,443762000,465864000,460811000,352222000,414220000,435069000,443938000
59,Other Liabilities,308200000,299900000,512900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72482000,65351000,- -
61,Total Liabilities,308200000,299900000,512900000,71100,10335915,397832000,393966000,438042000,420877000,417000000,495923000,552970000,610544000,637271000,649452000,645698000,611061000,515343000,618153000,611356000,598673000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,200,1120,4000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,- -
64,Retained Earnings,- -,- -,- -,-1100,330446,-39030000,-32810000,-31812000,-18336000,12261000,24042000,2591000,-31770000,-21475000,-27664000,-35841000,-67101000,-74971000,-23091000,40937000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1282000,470000,-3415000,1000000,357000,3000,-380000,-473000,-734000,-1983000,-1145000,3000,-3809000,295000,968000,140000
66,Other Total Stockholders Equity,- -,- -,10000000,24800,40996589,168830000,260669000,262501000,263118000,266329000,267918000,271418000,275183000,278166000,281814000,284870000,288388000,293702000,302189000,304757000,- -
67,Total Stockholders Equity,-26000000,-12400000,10000000,23900,41328155,128522000,228335000,227280000,245788000,278953000,291969000,273635000,242946000,255963000,252173000,247890000,221296000,214928000,279399000,346668000,398997000
68,Total Liabilities And Stockholders Equity,282200000,287500000,522900000,95000,51664070,526354000,622301000,665322000,666665000,695953000,787892000,826605000,853490000,893234000,901625000,893588000,832357000,730271000,897552000,958024000,997670000
69,Minority Interest,- -,- -,- -,- -,- -,2005000,2061000,833000,-1239000,-2128000,568000,-210000,-845000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,282200000,287500000,522900000,95000,51664070,528359000,624362000,666155000,665426000,693825000,788460000,826395000,852645000,893234000,901625000,893588000,832357000,730271000,897552000,958024000,997670000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372020/000104746908002963/a2183654z10-k.htm,https://www.sec.gov/Archives/edgar/data/1372020/000104746909002580/0001047469-09-002580-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000119312510051402/0001193125-10-051402-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000119312511066245/d10k.htm,https://www.sec.gov/Archives/edgar/data/1372020/000119312512107139/0001193125-12-107139-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000119312513134675/0001193125-13-134675-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000119312514094004/d689260d10k.htm,https://www.sec.gov/Archives/edgar/data/1372020/000119312515081253/d817806d10k.htm,https://www.sec.gov/Archives/edgar/data/1372020/000156459016013760/0001564590-16-013760-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459017002889/0001564590-17-002889-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459018003940/0001564590-18-003940-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459019004521/0001564590-19-004521-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459020006778/0001564590-20-006778-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459021008165/0001564590-21-008165-index.htm,https://www.sec.gov/Archives/edgar/data/1372020/000156459022006231/0001564590-22-006231-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6500000,13000000,-1600000,-1100,331546,2185000,7056000,4979000,17468000,34609000,16528000,-2695000,-34361000,10295000,-6189000,-8177000,-31260000,-6293000,49339000,66103000,49432000
74,Depreciation and Amortization,15300000,15900000,16300000,- -,- -,28389000,29207000,30124000,33023000,34301000,42353000,40034000,46622000,50129000,64585000,63023000,60520000,50389000,37145000,38183000,43016000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-6780000,-918000,1596000,1401000,7405000,14332000,3100000,-304000,-14504000,-2689000,-6109000,-34684000,5760000,15134000,20508000,12311000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1078000,2094000,1838000,3081000,3251000,2694000,4040000,2455000,2963000,4643000,6908000,6754000,5188000
77,Change in Working Capital,- -,- -,- -,23900,50960909,-8036809,39346000,5425000,3568000,-1135000,105100000,-67512000,39414000,-25420000,-17691000,3349000,-15458000,-68357000,53202000,89627000,-13709000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-33281000,56603000,-25659000,-16597000,36260000,11012000,-20190000,41274000,12544000,-8364000,44994000,-19205000,-43963000
79,Inventory,- -,- -,- -,- -,- -,-6145000,-14038000,-16218000,9836000,2630000,-4667000,-2869000,-5144000,120000,-6612000,-6239000,-2237000,-921000,-1939000,-2383000,-2706000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-698000
81,Other Working Capital,- -,- -,- -,23900,50984809,42948000,82294000,87719000,91287000,90152000,195252000,127740000,167154000,141734000,124043000,127392000,111934000,43577000,96779000,186406000,172697000
82,Other Non-Cash Items,-1700000,-500000,5000000,-22800,-52081076,18141809,-80975000,-27319000,-2540000,46257000,-155588000,22132000,20201000,25608000,-12934000,-15871000,39437000,151511000,30821000,-142228000,-47231000
83,Cash Provided by Operating Activities,20100000,28400000,19700000,- -,-788621,33899000,-6284000,14805000,53998000,123531000,24563000,-1860000,74823000,48802000,29122000,38670000,21518000,137653000,192549000,78947000,49007000
84,CAPEX,-13800000,- -,-37700000,- -,- -,-29762000,-110988000,-44484000,-24666000,-25258000,-33433000,-62485000,-66654000,-91910000,-74455000,-83798000,-68229000,-49422000,-49412000,-47621000,-116658000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-1229000,-37869000,- -,- -,- -,-27048000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-42900000,-17200000,-183400000,- -,-49336000,8252000,33225000,18227000,1028000,431000,16717000,-958000,20553000,-3032000,1322000,11222000,17112000,13880000,5592000,4450000,4459000
89,Cash Used for Investing Activites,-42900000,-17200000,-183400000,- -,-49336000,-21510000,-77763000,-26257000,-24867000,-62696000,-16716000,-63443000,-46101000,-121990000,-73133000,-72576000,-51117000,-35542000,-43820000,-43171000,-112199000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-191244000,-27219000,-181675000,-3043000,-205047000,-272152000,-166144000,-251585000,-411786000,-112798000,-11500000,- -,- -
91,Common Stock Issued,- -,- -,- -,25000,55200000,40000,91769000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-65000,- -,-6000,- -,- -,- -,- -,- -,- -,-1433000,- -,- -,- -,- -,-3873000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-994000,-3981000,-3992000,-4012000,-4747000,-18756000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,24200000,-12300000,164900000,-13905,-4351120,-9325000,-2129000,17678000,158877000,15624000,243829000,-1753000,227511000,307280000,183480000,282395000,445955000,27342000,-2748000,-2388000,- -
95,Cash Used/Provided by Financing Activities,24200000,-12300000,164900000,11095,50848880,-9350000,88646000,13691000,-36359000,-15607000,57407000,-23552000,22464000,35128000,15903000,30810000,34169000,-85456000,-14248000,-6261000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-444000,7000,-135000,-164000,-97000,79000,115000,26000,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,724259,3039000,4599000,2239000,-7228000,45228000,64810000,-88848000,50898000,-32949000,-28205000,-3017000,4685000,17106000,152537000,29515000,- -
98,Cash at the End of Period,- -,- -,- -,11095,735354,3640000,8239000,10478000,3250000,48478000,113288000,24440000,75338000,42389000,14184000,11167000,15852000,34458000,186995000,216510000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,11095,601000,3640000,8239000,10478000,3250000,48478000,113288000,24440000,75338000,42389000,14184000,11167000,17352000,34458000,186995000,- -
100,Free Cash Flow,6300000,28400000,-18000000,- -,-788621,4137000,-117272000,-29679000,29332000,98273000,-8870000,-64345000,8169000,-43108000,-45333000,-45128000,-46711000,88231000,143137000,31326000,-67651000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372020/000104746908002963/a2183654z10-k.htm,https://www.sec.gov/Archives/edgar/data/1372020/000104746909002580/0001047469-09-002580-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000119312510051402/0001193125-10-051402-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000119312511066245/d10k.htm,https://www.sec.gov/Archives/edgar/data/1372020/000119312512107139/0001193125-12-107139-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000119312513134675/0001193125-13-134675-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000119312514094004/d689260d10k.htm,https://www.sec.gov/Archives/edgar/data/1372020/000119312515081253/d817806d10k.htm,https://www.sec.gov/Archives/edgar/data/1372020/000156459016013760/0001564590-16-013760-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459017002889/0001564590-17-002889-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459018003940/0001564590-18-003940-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459019004521/0001564590-19-004521-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459020006778/0001564590-20-006778-index.html,https://www.sec.gov/Archives/edgar/data/1372020/000156459021008165/0001564590-21-008165-index.htm,https://www.sec.gov/Archives/edgar/data/1372020/000156459022006231/0001564590-22-006231-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
