,https://roic.ai/company/TDG,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,47433000,-120399000,20304000,57314000,41435000,142071000,206602000,251002000,250835000,229425000,487869000,448489000,448510000,636824000,768116000,837430000,985557000,1062865000,740000000,715000000
21,Income Before Tax Ratio,0.1906,-0.4105,0.0675,0.1531,0.0952,0.2397,0.2895,0.3296,0.3031,0.1902,0.2869,0.2331,0.1890,0.2352,0.2422,0.2390,0.2586,0.2035,0.1450,0.1490
22,Income Tax expense (Gain),- -,- -,6682000,22627000,16318000,53426000,73476000,88100000,87390000,77200000,162900000,145700000,141600000,189612000,181702000,208889000,24021000,221986000,87000000,34000000
23,Net Income,30629000,-75728000,13622000,34687000,25117000,88645000,133126000,162902000,163445000,172134000,324969000,302789000,306910000,447212000,586414000,596887000,957062000,889770000,699000000,680000000
24,Net Income ratio,0.1231,-0.2582,0.0453,0.0927,0.0577,0.1495,0.1865,0.2139,0.1975,0.1427,0.1911,0.1573,0.1293,0.1652,0.1849,0.1703,0.2511,0.1703,0.1370,0.1417
25,EPS,231.44,-10.92,46.11,1.17,0.57,1.94,2.78,3.36,2.52,3.17,5.97,2.39,3.16,7.84,10.39,7.88,16.20,13.84,8.96,10.41
26,EPS Diluted,221.95,-10.92,44.01,1.11,0.53,1.83,2.65,3.23,2.52,3.17,5.97,2.39,3.16,7.84,10.39,7.88,16.20,13.84,8.96,10.41
27,Weighted Average Shares Outstanding,119800,7368000,295400,29545997,44415000,45630000,47856000,48481000,52923000,53333000,53882000,55080000,56993000,56606000,56157000,55530000,55597000,56265000,57300000,58400000
28,Weighted Average Shares Outstanding Diluted,138000,7368000,309500,31112207,47181000,48542000,50202000,50459000,52923000,53333000,53882000,55080000,56993000,56606000,56157000,55530000,55597000,56265000,57300000,58400000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1260221/000119312506242168/d10k.htm,https://www.sec.gov/Archives/edgar/data/1260221/000119312507252212/0001193125-07-252212-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312508243231/0001193125-08-243231-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312509241477/0001193125-09-241477-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312510260837/0001193125-10-260837-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312511316657/0001193125-11-316657-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312512473908/0001193125-12-473908-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312513443394/0001193125-13-443394-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312514412880/0001193125-14-412880-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000126022115000013/0001260221-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000126022116000107/0001260221-16-000107-index.html,- -,https://www.sec.gov/Archives/edgar/data/1260221/000126022118000070/0001260221-18-000070-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000126022119000043/0001260221-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000126022120000099/0001260221-20-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022121000134/0001260221-21-000134-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,18902000,48498000,104221000,61217000,105946000,159062000,190167000,234112000,376183000,440524000,564740000,819548000,714033000,1586994000,650561000,2073017000,1467486000,4717000000,4787000000
32,Short-Term Investments,- -,- -,50601000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,18902000,99099000,104221000,61217000,105946000,159062000,190167000,234112000,376183000,440524000,564740000,819548000,714033000,1586994000,650561000,2073017000,1467486000,4717000000,4787000000
34,Net Receivables,- -,- -,44489000,63554000,74934000,104566000,96196000,106446000,134461000,189293000,235783000,290449000,351307000,444072000,576339000,636127000,704310000,1067603000,720000000,791000000
35,Inventory,- -,- -,64385000,76077000,89243000,126763000,144114000,167766000,188756000,265317000,320503000,413581000,459074000,591401000,724011000,730681000,805292000,1232649000,1283000000,1185000000
36,Other Current Assets,- -,- -,12206000,14494000,8787000,28324000,24062000,30375000,26179000,39499000,53721000,51725000,59647000,82456000,43353000,116183000,74668000,1097509000,240000000,267000000
37,Total Current Assets,- -,- -,220179000,258346000,234181000,365599000,423434000,494754000,583508000,870292000,1050531000,1320495000,1689576000,1831962000,2930697000,2133552000,3657287000,4865247000,6960000000,7030000000
38,PP&E,- -,- -,60817000,63624000,62851000,87074000,96241000,96751000,99613000,150800000,172737000,208964000,212108000,260684000,310580000,324924000,388333000,756757000,752000000,770000000
39,Goodwill,- -,- -,- -,- -,877829000,1247870000,1354774000,1462310000,1571664000,2595747000,3035502000,3343907000,3525077000,4686220000,5679452000,5745338000,6223290000,7820103000,7889000000,8568000000
40,Intangible Assets,- -,- -,1041058000,1085635000,225959000,334898000,356194000,372921000,400394000,828366000,1123610000,1189490000,1217153000,1539851000,1764343000,1717862000,1788404000,2743820000,2610000000,2791000000
41,Intangible Assets,- -,- -,1041058000,1085635000,1103788000,1582768000,1710968000,1835231000,1972058000,3424113000,4159112000,4533397000,4742230000,6226071000,7443795000,7463200000,8011694000,10563923000,10499000000,11359000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,- -
44,Other Non-Current Assets,- -,- -,23858000,20143000,15892000,25612000,25178000,27704000,22639000,68431000,77237000,86023000,112934000,108333000,41205000,53985000,140153000,68804000,167000000,156000000
45,Total Non-Current Assets,- -,- -,1125733000,1169402000,1182531000,1695454000,1832387000,1959686000,2094310000,3643344000,4409086000,4828384000,5067272000,6595088000,7795580000,7842109000,8540180000,11389484000,11435000000,12285000000
46,Other Assets,- -,1315395000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1315395000,1345912000,1427748000,1416712000,2061053000,2255821000,2454440000,2677818000,4513636000,5459617000,6148879000,6756848000,8427050000,10726277000,9975661000,12197467000,16254731000,18395000000,19315000000
48,Accounts Payable,- -,- -,11468000,16419000,18764000,24753000,25140000,44680000,44226000,62110000,74178000,106768000,115741000,142822000,156075000,148761000,173603000,276590000,218000000,227000000
49,Short-Term Debt,- -,- -,4431000,2943000,- -,- -,- -,- -,- -,15500000,20500000,31045000,239295000,243840000,252416000,369041000,375336000,429732000,625000000,646000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,8937000,- -,- -,- -,- -,- -,- -,- -,44370000,19000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000
52,Other Current Liabilities,- -,- -,24895000,120425000,24675000,42466000,63362000,55072000,68786000,129249000,139237000,184687000,230871000,271553000,344112000,353192000,351443000,832434000,773000000,765000000
53,Total Current Liabilities,- -,- -,40794000,139787000,43439000,67219000,88502000,99752000,113012000,206859000,233915000,322500000,585907000,658215000,752603000,870994000,900382000,1538756000,1616000000,1663000000
54,Long-Term Debt,- -,894997000,889845000,886903000,925000000,1357854000,1357230000,1356761000,1771646000,3122875000,3598625000,5700193000,7233836000,8183502000,9943191000,11393620000,12501946000,16469221000,19384000000,19372000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,60672000,64950000,78109000,140251000,151672000,162745000,168588000,310451000,356896000,384301000,402247000,450372000,492255000,500949000,399496000,440817000,430000000,485000000
57,Other Non-Current Liabilities,- -,- -,57189000,3001000,7123000,8178000,4517000,16020000,31593000,62502000,51347000,78266000,90957000,173267000,189718000,161302000,204114000,691020000,933000000,705000000
58,Total Non-Current Liabilities,- -,894997000,1007706000,954854000,1010232000,1506283000,1513419000,1535526000,1971827000,3495828000,4006868000,6162760000,7727040000,8807141000,10625164000,12055871000,13105556000,17601058000,20747000000,20562000000
59,Other Liabilities,- -,1926841000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000
61,Total Liabilities,- -,1031844000,1048500000,1094641000,1053671000,1573502000,1601921000,1635278000,2084839000,3702687000,4240783000,6485260000,8312947000,9465356000,11377767000,12926865000,14005938000,19139814000,22363000000,22225000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3000,3000,446000,470000,486000,494000,499000,508000,521000,532000,538000,551000,558000,561000,569000,576000,1000000,1000000
64,Retained Earnings,- -,- -,7863000,42550000,67667000,156312000,287745000,450647000,192126000,364260000,689229000,-1004244000,-2150293000,-1717232000,-1146963000,-3187220000,-2246578000,-3119956000,-4359000000,-3705000000
65,Other Comprehensive Income/Loss,- -,- -,-282000,-336000,-1829000,-1753000,445000,-5509000,-3800000,-3277000,-8051000,-6516000,-25171000,-96009000,-149787000,-85143000,4100000,-378981000,-401000000,-248000000
66,Other Total Stockholders Equity,- -,283551000,289828000,290890000,296757000,332522000,365224000,373530000,404154000,449458000,537135000,673847000,618827000,774384000,644702000,- -,433438000,603456000,787000000,- -
67,Total Stockholders Equity,- -,283551000,297412000,333107000,363041000,487551000,653900000,819162000,592979000,810949000,1218834000,-336381000,-1556099000,-1038306000,-651490000,-2951204000,-1808471000,-2894905000,-3972000000,-2916000000
68,Total Liabilities And Stockholders Equity,- -,1315395000,1345912000,1427748000,1416712000,2061053000,2255821000,2454440000,2677818000,4513636000,5459617000,6148879000,6756848000,8427050000,10726277000,9975661000,12197467000,16244909000,18391000000,19309000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9822000,4000000,6000000
70,Total Liabilities & Equity,- -,1315395000,1345912000,1427748000,1416712000,2061053000,2255821000,2454440000,2677818000,4513636000,5459617000,6148879000,6756848000,8427050000,10726277000,9975661000,12197467000,16254731000,18395000000,19315000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1260221/000119312506242168/d10k.htm,https://www.sec.gov/Archives/edgar/data/1260221/000119312507252212/0001193125-07-252212-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312508243231/0001193125-08-243231-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312509241477/0001193125-09-241477-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312510260837/0001193125-10-260837-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312511316657/0001193125-11-316657-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312512473908/0001193125-12-473908-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312513443394/0001193125-13-443394-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312514412880/0001193125-14-412880-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000126022115000013/0001260221-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000126022116000107/0001260221-16-000107-index.html,- -,https://www.sec.gov/Archives/edgar/data/1260221/000126022118000070/0001260221-18-000070-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000126022119000043/0001260221-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000126022120000099/0001260221-20-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022121000134/0001260221-21-000134-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,30629000,-75728000,13622000,34687000,25117000,88645000,133126000,162902000,163445000,172134000,324969000,302789000,306910000,447212000,586414000,596887000,957062000,889770000,699000000,680000000
74,Depreciation and Amortization,6294000,2920000,22094000,20764000,42832000,27099000,25254000,27521000,30165000,60460000,68227000,73515000,96385000,93663000,121670000,141025000,129844000,225700000,283000000,253000000
75,Deferred Income Tax,- -,- -,2706000,693000,18227000,6230000,7335000,8800000,1900000,8888000,24800000,-2614000,-9416000,660000,5808000,-918000,-151640000,-349000,24000000,34000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,5813000,6704000,12574000,22151000,48884000,26332000,31500000,48306000,45524000,58481000,93362000,93000000,129000000
77,Change in Working Capital,- -,- -,179385000,-60826000,72183000,107638000,36552000,60070000,75494000,192937000,153183000,181379000,105674000,70078000,1004347000,-915536000,1494347000,569586000,2017509000,-124000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-346000,-17721000,-15150000,-1957000,-25006000,-24309000,-25418000,-80114000,-54669000,-43811000,-82268000,352000000,-78000000
79,Inventory,- -,- -,-2157000,-4566000,-10163000,-5624000,878000,-4518000,2893000,-9841000,-416000,-15289000,-8392000,-25974000,-2073000,5127000,-10808000,-35712000,-62000000,79000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,8808000,4933000,4383000,-3620000,23510000,-2415000,13480000,-6657000,-10354000,18075000,-1632000,-62000000,3000000
81,Other Working Capital,- -,- -,179385000,118559000,190742000,298380000,334932000,395002000,470496000,663433000,816616000,997995000,1103669000,1173747000,2178094000,1262558000,2756905000,3326491000,5344000000,- -
82,Other Non-Cash Items,19529000,55476000,-106668000,85377000,-155301000,-117176000,-12632000,-67994000,-80404000,-186415000,-179445000,-133748000,15337000,-122175000,-1097615000,921751000,-1465921000,-762597000,-1903509000,-59000000
83,Cash Provided by Operating Activities,56452000,-17332000,111139000,80695000,3058000,112436000,189635000,197112000,197304000,260578000,413885000,470205000,541222000,520938000,668930000,788733000,1022173000,1015472000,1213000000,913000000
84,CAPEX,-3816000,-5209000,-5416000,-7960000,-8350000,-10258000,-10884000,-13155000,-12887000,-18026000,-25246000,-35535000,-34146000,-54871000,-43982000,-71013000,-73341000,-101591000,-105000000,-105000000
85,Acquisitions Net,- -,- -,-21531000,-63171000,-26973000,-511407000,-154160000,-155233000,-166557000,-1379002000,-851046000,-483257000,-311872000,-1624278000,-1399064000,-215990000,-667619000,-3976155000,- -,-704000000
86,Purchases of Investments,- -,- -,-94675000,-65374000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,44003000,115975000,- -,- -,- -,- -,- -,- -,- -,16350000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-5439000,-526586000,- -,- -,- -,- -,- -,-13155000,-10002000,- -,-25246000,-35535000,-17766000,-54871000,-43982000,-71013000,-15958000,87175000,799000000,-81000000
89,Cash Used for Investing Activites,-5439000,-526586000,-77619000,-20530000,-35323000,-521665000,-165044000,-168388000,-176559000,-1397028000,-876292000,-502442000,-329638000,-1679149000,-1443046000,-287003000,-683577000,-3888980000,799000000,-785000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1833519000,-19250000,-2187885000,-1754121000,-1100568000,-834409000,-1813545000,-12174305000,-626428000,-1242000000,-2257000000
91,Common Stock Issued,- -,- -,24000,- -,1429000,8450000,9769000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-239000,- -,- -,- -,- -,-15242000,- -,- -,-846000,- -,-159852000,- -,-207755000,-389821000,- -,- -,-19000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-404868000,-2811000,-3299000,-1991350000,-1451391000,-3365000,-3000000,-2581552000,-56148000,-1712219000,-1928000000,-73000000
94,Other Financing Activites,-13028000,553819000,-3709000,-4442000,-12168000,445508000,18756000,17623000,428068000,3114851000,550581000,4335430000,3409337000,2158880000,2691999000,3341236000,13316053000,4610000000,4419000000,2260000000
95,Cash Used/Provided by Financing Activities,-13028000,553819000,-3924000,-4442000,-10739000,453958000,28525000,2381000,23200000,1278521000,527186000,156195000,43973000,1054947000,1646835000,-1443682000,1085600000,2271353000,1230000000,-70000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-438000,258000,-749000,-2251000,242000,5519000,-1740000,-3376000,8000000,12000000
97,Net Change In Cash,-13028000,553819000,29596000,55723000,-43004000,44729000,53116000,31105000,43945000,142071000,64341000,124216000,254808000,-105515000,872961000,-936433000,1422456000,-605531000,3250000000,70000000
98,Cash at the End of Period,- -,- -,48498000,104221000,61217000,105946000,159062000,190167000,234112000,376183000,440524000,564740000,819548000,714033000,1586994000,650561000,2073017000,1467486000,4717000000,4787000000
99,Cash at the Beginning of Period,- -,- -,18902000,48498000,104221000,61217000,105946000,159062000,190167000,234112000,376183000,440524000,564740000,819548000,714033000,1586994000,650561000,2073017000,1467000000,4717000000
100,Free Cash Flow,52636000,-22541000,105723000,72735000,-5292000,102178000,178751000,183957000,184417000,242552000,388639000,434670000,507076000,466067000,624948000,717720000,948832000,913881000,1108000000,808000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1260221/000119312506242168/d10k.htm,https://www.sec.gov/Archives/edgar/data/1260221/000119312507252212/0001193125-07-252212-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312508243231/0001193125-08-243231-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312509241477/0001193125-09-241477-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312510260837/0001193125-10-260837-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312511316657/0001193125-11-316657-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312512473908/0001193125-12-473908-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312513443394/0001193125-13-443394-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000119312514412880/0001193125-14-412880-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000126022115000013/0001260221-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000126022116000107/0001260221-16-000107-index.html,- -,https://www.sec.gov/Archives/edgar/data/1260221/000126022118000070/0001260221-18-000070-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000126022119000043/0001260221-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1260221/000126022120000099/0001260221-20-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1260221/000126022121000134/0001260221-21-000134-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
