,https://roic.ai/company/DVAX,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-Infinity,-7.8050,-12.1654,-20.3099,-0.8573,-1.1889,-10.4229,-4.0886,-0.2384,-0.6847,-2.2238,-2.0837,-6.8346,-5.8122,-8.0931,-25.8906,-9.9780,-277.4190,-16.4769,-3.2395,-1.0063,0.2178
17,Operating Income,-9664000,-19531000,-18659000,-17764000,-16860000,-22490000,-64983000,-71092000,-24120000,-15115000,-47589000,-47577000,-67596000,-66488000,-91311000,-105073000,-110707000,-96005000,-153319000,-134843000,-68371000,134486000
18,Operating Income ratio,-Infinity,-8.2794,-13.0757,-21.5061,-1.1383,-1.5346,-13.4068,-5.0445,-0.6502,-0.3749,-1.9870,-2.2012,-6.9586,-5.9095,-8.2769,-25.9440,-10.0251,-293.5933,-18.7020,-3.8287,-1.4687,0.3060
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-4180000,- -,5000000,- -,-8150000,834000,-2353000,-232000,589000,-1721000,-1737000,851000,-5580000,-17757000,-6869000,-56965000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69949000,-66720000,-90722000,-106794000,-112444000,-95154000,-158899000,-152600000,-75240000,77521000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7.2008,-5.9301,-8.2235,-26.3689,-10.1824,-290.9908,-19.3827,-4.3329,-1.6163,0.1764
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,808000
23,Net Income,-26724000,-18412000,-18038000,-17352000,-15971000,-20555000,-52052000,-59971000,-20829000,-30565000,-57308000,-48597000,-69949000,-66720000,-90722000,-106794000,-112444000,-95154000,-158899000,-152600000,-75240000,76713000
24,Net Income ratio,-Infinity,-7.8050,-12.6405,-21.0073,-1.0782,-1.4026,-10.7390,-4.2554,-0.5615,-0.7581,-2.3928,-2.2484,-7.2008,-5.9301,-8.2235,-26.3689,-10.1824,-290.9908,-19.3827,-4.3329,-1.6163,0.1746
25,EPS,-225.90,-122.90,-106.00,-100.40,-7.50,-7.90,-16.10,-15.10,-5.20,-7.60,-6.90,-3.90,-4.10,-3.80,-3.45,-3.25,-2.92,-1.81,-2.55,-2.16,-0.75,0.62
26,EPS Diluted,-225.90,-122.90,-106.00,-100.40,-7.50,-7.90,-16.10,-15.10,-5.20,-7.60,-6.90,-3.90,-4.10,-3.80,-3.45,-3.25,-2.92,-1.81,-2.55,-2.16,-0.78,0.57
27,Weighted Average Shares Outstanding,118300,149800,170100,179100,2118700,2591400,3233900,3974600,3981900,4035000,8246300,12510100,17046900,19627500,26289000,32881000,38506000,52613000,62362000,72024000,100753000,116264000
28,Weighted Average Shares Outstanding Diluted,118300,149800,170100,180300,2118700,2591400,3233900,3974600,3981900,4035000,8246300,12510100,17046900,19627500,26289000,32881000,38506000,52613000,62362000,72024000,101504000,133006000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1029142/000095014905000081/0000950149-05-000081-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000095013406005208/f17552e10vk.htm,https://www.sec.gov/Archives/edgar/data/1029142/000095013407005898/f27585e10vk.htm,https://www.sec.gov/Archives/edgar/data/1029142/000095013408004922/f38512e10vk.htm,https://www.sec.gov/Archives/edgar/data/1029142/000119312509047286/0001193125-09-047286-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000119312510057595/0001193125-10-057595-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000119312511064211/d10k.htm,https://www.sec.gov/Archives/edgar/data/1029142/000119312512109647/0001193125-12-109647-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000119312513098862/0001193125-13-098862-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459014000660/dvax-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1029142/000156459015001348/dvax-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1029142/000156459016014217/0001564590-16-014217-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459017004119/0001564590-17-004119-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459018004917/0001564590-18-004917-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459019004888/0001564590-19-004888-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459020010075/0001564590-20-010075-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459021008833/0001564590-21-008833-index.htm,https://www.sec.gov/Archives/edgar/data/1029142/000095017022002289/0000950170-22-002289-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,5171000,23468000,16590000,8725000,14154000,14293000,28103000,36720000,22453000,31941000,7599000,23122000,49511000,44812000,24289000,26584000,49348000,39884000,32073000,436189000
32,Short-Term Investments,- -,- -,24239000,5629000,49254000,66385000,58677000,42324000,40373000,- -,49701000,82020000,117531000,166254000,73141000,151313000,57126000,165270000,96188000,111171000,132963000,109761000
33,Cash and Short-Term Investments,- -,- -,29410000,29097000,65844000,75110000,72831000,56617000,68476000,36720000,72154000,113961000,125130000,189376000,122652000,196125000,81415000,191854000,145536000,151055000,165036000,545950000
34,Net Receivables,- -,- -,- -,220000,3131000,689000,2154000,7234000,6407000,895000,1001000,9527000,1005000,1627000,727000,1394000,1342000,854000,3704000,8886000,22661000,131816000
35,Inventory,- -,- -,- -,- -,- -,- -,257000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312000,19022000,41332000,63689000,61335000
36,Other Current Assets,- -,- -,717000,1422000,1804000,1685000,14444000,38088000,1659000,1267000,1360000,1130000,2052000,1375000,4058000,2427000,6842000,5003000,6102000,7380000,38629000,233419000
37,Total Current Assets,- -,- -,30127000,30739000,70779000,77484000,89686000,101939000,76542000,38882000,74515000,124618000,128187000,192378000,127437000,199946000,89599000,198023000,174364000,208653000,290015000,972520000
38,PP&E,- -,- -,1300000,828000,2465000,2197000,5200000,7314000,9510000,7997000,6404000,6163000,7965000,8706000,7924000,13804000,17174000,16619000,17064000,62274000,57150000,60984000
39,Goodwill,- -,- -,- -,- -,- -,- -,2312000,2312000,2312000,2312000,2312000,2312000,2475000,2579000,2277000,2043000,1971000,2244000,2144000,2081000,2297000,2125000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,4382000,3239000,2259000,1279000,299000,- -,- -,- -,- -,- -,- -,- -,11717000,2500000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,6694000,5551000,4571000,3591000,2611000,2312000,2475000,2579000,2277000,2043000,1971000,2244000,13861000,4581000,2297000,2125000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132963000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,51000,18000,402000,412000,1310000,5645000,- -,- -,719000,1009000,1125000,959000,652000,840000,936000,1899000,5595000,3560000,-129153000,3617000
45,Total Non-Current Assets,- -,- -,1351000,846000,2867000,2609000,13204000,18510000,14081000,11588000,9734000,9484000,11565000,12244000,10853000,16687000,20081000,20762000,36520000,70415000,63257000,66726000
46,Other Assets,29590000,15117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29590000,15117000,31478000,31585000,73646000,80093000,102890000,120449000,90623000,50470000,84249000,134102000,139752000,204622000,138290000,216633000,109680000,218785000,210884000,279068000,353272000,1039246000
48,Accounts Payable,- -,- -,1396000,1410000,1391000,952000,2181000,4418000,905000,1686000,2329000,2040000,2166000,1901000,1159000,3433000,3796000,4539000,5278000,9278000,3312000,2600000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12810000,- -,- -,- -,- -,- -,- -,- -,- -,3247000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,750000,750000,1000000,750000,778000,3427000,33133000,2718000,1429000,4210000,6785000,6125000,5865000,2654000,- -,- -,- -,- -,38212000,349864000
52,Other Current Liabilities,- -,- -,2068000,2989000,4371000,3841000,10742000,12059000,6816000,10074000,10943000,8159000,10063000,8166000,13255000,22698000,16240000,14054000,32755000,43769000,32640000,203938000
53,Total Current Liabilities,- -,- -,4214000,5149000,6762000,5543000,13701000,19904000,40854000,14478000,14701000,27219000,19014000,16192000,20279000,28785000,20036000,18593000,38033000,53047000,77411000,556402000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,9342000,11782000,- -,- -,- -,9559000,- -,- -,- -,100871000,178601000,179811000,254806000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,18512000,17083000,5655000,6386000,5283000,1173000,6900000,2654000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,83635000,83635000,7008000,187000,10117000,61414000,15101000,3191000,- -,617000,629000,963000,1070000,-1885000,443000,643000,8915000,39130000,37357000,5664000
58,Total Non-Current Liabilities,- -,- -,83635000,83635000,7008000,187000,10117000,61414000,33613000,29616000,17437000,7003000,5912000,2136000,17529000,769000,443000,643000,109786000,217731000,217168000,260470000
59,Other Liabilities,47589000,49534000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37845000,38036000,34316000
61,Total Liabilities,47589000,49534000,87849000,88784000,13770000,5730000,23818000,81318000,74467000,44094000,32138000,34222000,24926000,18328000,37808000,29554000,20479000,19236000,147819000,270778000,294579000,816872000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000,2000,25000,30000,40000,40000,40000,54000,116000,155000,183000,263000,26000,38000,39000,62000,63000,84000,110000,123000
64,Retained Earnings,-25563000,-43975000,-62013000,-79365000,-95336000,-115891000,-167943000,-227914000,-248743000,-259637000,-316945000,-365542000,-435491000,-502211000,-592933000,-699727000,-812171000,-907325000,-1066224000,-1218824000,-1294064000,-1217351000
65,Other Comprehensive Income/Loss,- -,- -,-2783000,-5331000,-3887000,-2616000,172000,398000,-354000,-168000,-746000,-1009000,-595000,-148000,-1669000,-2930000,-3624000,-881000,-2015000,-2387000,273000,-2266000
66,Other Total Stockholders Equity,7564000,9558000,8423000,12762000,159074000,192840000,244787000,258266000,262579000,266127000,369686000,466276000,550729000,688390000,695058000,889698000,904957000,1107693000,1131241000,1229417000,1352374000,1441868000
67,Total Stockholders Equity,-17999000,-34417000,-56371000,-71932000,59876000,74363000,77056000,30790000,13522000,6376000,52111000,99880000,114826000,186294000,100482000,187079000,89201000,199549000,63065000,8290000,58693000,222374000
68,Total Liabilities And Stockholders Equity,29590000,15117000,31478000,16852000,73646000,80093000,100874000,112108000,87989000,50470000,84249000,134102000,139752000,204622000,138290000,216633000,109680000,218785000,210884000,279068000,353272000,1039246000
69,Minority Interest,- -,- -,- -,14733000,- -,- -,2016000,8341000,2634000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,29590000,15117000,31478000,31585000,73646000,80093000,102890000,120449000,90623000,50470000,84249000,134102000,139752000,204622000,138290000,216633000,109680000,218785000,210884000,279068000,353272000,1039246000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1029142/000095014905000081/0000950149-05-000081-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000095013406005208/f17552e10vk.htm,https://www.sec.gov/Archives/edgar/data/1029142/000095013407005898/f27585e10vk.htm,https://www.sec.gov/Archives/edgar/data/1029142/000095013408004922/f38512e10vk.htm,https://www.sec.gov/Archives/edgar/data/1029142/000119312509047286/0001193125-09-047286-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000119312510057595/0001193125-10-057595-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000119312511064211/d10k.htm,https://www.sec.gov/Archives/edgar/data/1029142/000119312512109647/0001193125-12-109647-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000119312513098862/0001193125-13-098862-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459014000660/dvax-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1029142/000156459015001348/dvax-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1029142/000156459016014217/0001564590-16-014217-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459017004119/0001564590-17-004119-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459018004917/0001564590-18-004917-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459019004888/0001564590-19-004888-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459020010075/0001564590-20-010075-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459021008833/0001564590-21-008833-index.htm,https://www.sec.gov/Archives/edgar/data/1029142/000095017022002289/0000950170-22-002289-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-18038000,-17352000,-15971000,-20555000,-52052000,-59971000,-20829000,-30565000,-57308000,-48597000,-69949000,-66720000,-90722000,-106794000,-112444000,-95154000,-158899000,-152600000,-75240000,76713000
74,Depreciation and Amortization,- -,- -,678000,576000,3273000,3132000,1532000,632000,2830000,2837000,2395000,1602000,1207000,1327000,1404000,1365000,2257000,4438000,14483000,21530000,9335000,7011000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,3205000,3035000,2410000,5189000,10439000,12340000,6089000,9316000,14126000,14917000,23478000,25456000,13484000,21285000
77,Change in Working Capital,- -,- -,1256000,-323000,38427000,7924000,4044000,6050000,-46347000,-11284000,35410000,37585000,11774000,67013000,-69028000,64003000,-101598000,109867000,-43099000,19275000,56998000,172220000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,827000,5512000,-106000,-8526000,8522000,-622000,900000,-667000,- -,- -,- -,- -,-13775000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-257000,257000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-312000,-18710000,-22310000,-22357000,-234000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-3513000,781000,643000,-289000,126000,-657000,-523000,1246000,1181000,-1915000,3417000,4848000,-3448000,-767000
81,Other Working Capital,- -,- -,25913000,25590000,64017000,71941000,75985000,82035000,35688000,24404000,59814000,97399000,109173000,176186000,107158000,171161000,69563000,179430000,136331000,155606000,212604000,311652000
82,Other Non-Cash Items,- -,- -,1821000,2693000,-33061000,-13359000,9236000,21257000,44106000,2425000,-34277000,-42895000,2720000,-72633000,78519000,-60449000,90608000,-111586000,32736000,-34913000,-96828000,58299000
83,Cash Provided by Operating Activities,- -,- -,-14283000,-14406000,-7332000,-22858000,-37240000,-32032000,-17035000,-33552000,-51370000,-47116000,-43809000,-58673000,-73738000,-92559000,-107051000,-77518000,-131301000,-121252000,-92251000,335528000
84,CAPEX,- -,- -,-468000,-138000,-1863000,-562000,-1125000,-3647000,-4098000,-377000,-420000,-1142000,-2931000,-1629000,-1667000,-6970000,-7757000,-669000,-15187000,-29401000,-11072000,-9477000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-14045000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-28425000,-7022000,-49637000,-84014000,-79205000,-98500000,-35755000,-14289000,-80835000,-111205000,-206149000,-192044000,-44807000,-208936000,-126754000,-227672000,-213804000,-215191000,-201786000,-164928000
87,Sales/Maturities of Investments,- -,- -,11630000,25000000,5549000,65869000,73995000,98550000,69969000,34541000,30750000,77729000,169387000,142321000,137071000,130110000,220760000,119638000,284457000,201810000,179475000,187630000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000000,-7000000,-149000,1000000
89,Cash Used for Investing Activites,- -,- -,-17263000,17840000,-45951000,-18707000,-20380000,-3597000,30116000,19875000,-50505000,-34618000,-39693000,-51352000,90597000,-85796000,86249000,-108703000,55466000,-42782000,-26532000,14225000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-817000,- -,- -,- -,-15000000,- -,- -,-10988000,- -,- -,- -,- -,- -,-190194000
91,Common Stock Issued,- -,- -,32385000,14806000,46541000,33270000,45495000,171000,204000,2314000,87471000,91298000,71780000,80856000,130000,183897000,615000,185936000,- -,65948000,108538000,28156000
92,Common Stock Repurchased,- -,- -,- -,-43000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-15000,100000,-136000,435000,17405000,35481000,2005000,19745000,160000,142000,2262000,44545000,9771000,1050000,-84000,1906000,99071000,88403000,961000,217814000
95,Cash Used/Provided by Financing Activities,- -,- -,32370000,14863000,46405000,33705000,62900000,35652000,1392000,22059000,87631000,91440000,59042000,125401000,9901000,173959000,531000,187842000,99071000,154351000,109499000,55776000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-5000,149000,116000,-663000,235000,-23000,-218000,118000,147000,-371000,-303000,-252000,674000,-482000,-184000,1494000,-1431000
97,Net Change In Cash,- -,- -,824000,18297000,-6878000,-7865000,5429000,139000,13810000,8617000,-14267000,9488000,-24342000,15523000,26389000,-4699000,-20523000,2295000,22754000,-9867000,-7790000,404098000
98,Cash at the End of Period,- -,- -,5171000,23468000,16590000,8725000,14154000,14293000,28103000,36720000,22453000,31941000,7599000,23122000,49511000,44812000,24289000,26584000,49967000,40100000,32310000,436408000
99,Cash at the Beginning of Period,- -,- -,4347000,5171000,23468000,16590000,8725000,14154000,14293000,28103000,36720000,22453000,31941000,7599000,23122000,49511000,44812000,24289000,27213000,49967000,40100000,32310000
100,Free Cash Flow,- -,- -,-14751000,-14544000,-9195000,-23420000,-38365000,-35679000,-21133000,-33929000,-51790000,-48258000,-46740000,-60302000,-75405000,-99529000,-114808000,-78187000,-146488000,-150653000,-103323000,326051000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1029142/000095014905000081/0000950149-05-000081-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000095013406005208/f17552e10vk.htm,https://www.sec.gov/Archives/edgar/data/1029142/000095013407005898/f27585e10vk.htm,https://www.sec.gov/Archives/edgar/data/1029142/000095013408004922/f38512e10vk.htm,https://www.sec.gov/Archives/edgar/data/1029142/000119312509047286/0001193125-09-047286-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000119312510057595/0001193125-10-057595-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000119312511064211/d10k.htm,https://www.sec.gov/Archives/edgar/data/1029142/000119312512109647/0001193125-12-109647-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000119312513098862/0001193125-13-098862-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459014000660/dvax-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1029142/000156459015001348/dvax-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1029142/000156459016014217/0001564590-16-014217-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459017004119/0001564590-17-004119-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459018004917/0001564590-18-004917-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459019004888/0001564590-19-004888-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459020010075/0001564590-20-010075-index.html,https://www.sec.gov/Archives/edgar/data/1029142/000156459021008833/0001564590-21-008833-index.htm,https://www.sec.gov/Archives/edgar/data/1029142/000095017022002289/0000950170-22-002289-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
