,https://roic.ai/company/INGR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-1.05,0.59,1.03,0.68,0.80,0.89,1.05,1.25,1.19,1.63,2.59,3.52,0.54,2.20,5.32,5.47,5.05,4.74,5.51,6.55,7.06,6.17,6.13,5.15,1.73
27,Weighted Average Shares Outstanding,71428571,72000000,74600000,70600000,70600000,71200000,72000000,73400000,74700000,74100000,74700000,74500000,74900000,75600000,76400000,76500000,77000000,73600000,71600000,72300000,72000000,70900000,66900000,67200000,67100000
28,Weighted Average Shares Outstanding Diluted,71428571,72200000,74800000,70600000,71000000,71400000,72400000,74700000,75600000,75800000,76500000,75900000,75500000,76800000,78200000,78200000,78300000,74900000,73000000,74100000,73500000,71800000,67400000,67600000,67800000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1046257/000095013798001383/0000950137-98-001383-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013799000673/0000950137-99-000673-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013700001233/0000950137-00-001233-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013701000910/0000950137-01-000910-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013702001595/0000950137-02-001595-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013703001625/0000950137-03-001625-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013704001814/0000950137-04-001814-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013705002885/0000950137-05-002885-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013706002801/c03166e10vk.htm,https://www.sec.gov/Archives/edgar/data/1046257/000095013707002867/c12670e10vk.htm,https://www.sec.gov/Archives/edgar/data/1046257/000095013708003051/c24006e10vk.htm,https://www.sec.gov/Archives/edgar/data/1046257/000095013709001371/0000950137-09-001371-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000110465910010324/0001104659-10-010324-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000110465911010836/a11-2437_110k.htm,https://www.sec.gov/Archives/edgar/data/1046257/000110465912013085/0001104659-12-013085-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000110465913015305/0001104659-13-015305-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000110465914012704/a13-24815_110k.htm,https://www.sec.gov/Archives/edgar/data/1046257/000110465915012662/a14-24691_110k.htm,https://www.sec.gov/Archives/edgar/data/1046257/000110465916098429/0001104659-16-098429-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837017000769/0001558370-17-000769-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837018000857/0001558370-18-000857-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837019000999/0001558370-19-000999-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837020000978/0001558370-20-000978-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837021001632/0001558370-21-001632-index.htm,https://www.sec.gov/Archives/edgar/data/1046257/000155837022001549/0001558370-22-001549-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,85000000,36000000,41000000,41000000,65000000,36000000,70000000,101000000,116000000,131000000,175000000,107000000,175000000,302000000,401000000,609000000,574000000,580000000,434000000,512000000,595000000,327000000,264000000,665000000,328000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,- -,34000000,6000000,4000000,9000000,7000000,4000000,- -,4000000
33,Cash and Short-Term Investments,85000000,36000000,41000000,41000000,65000000,36000000,70000000,101000000,116000000,131000000,175000000,107000000,175000000,302000000,401000000,628000000,574000000,614000000,440000000,516000000,604000000,334000000,268000000,665000000,332000000
34,Net Receivables,175000000,224000000,261000000,274000000,279000000,244000000,252000000,291000000,287000000,357000000,460000000,627000000,440000000,735000000,837000000,814000000,832000000,762000000,775000000,923000000,961000000,951000000,977000000,1011000000,1130000000
35,Inventory,123000000,175000000,212000000,232000000,201000000,194000000,215000000,258000000,258000000,321000000,427000000,454000000,394000000,678000000,769000000,834000000,723000000,699000000,715000000,789000000,823000000,824000000,861000000,917000000,1172000000
36,Other Current Assets,40000000,30000000,23000000,8000000,10000000,11000000,10000000,11000000,24000000,28000000,27000000,109000000,36000000,38000000,95000000,84000000,85000000,69000000,20000000,24000000,27000000,29000000,54000000,54000000,63000000
37,Total Current Assets,423000000,465000000,537000000,555000000,555000000,485000000,547000000,661000000,685000000,837000000,1089000000,1297000000,1045000000,1753000000,2102000000,2360000000,2214000000,2144000000,1950000000,2252000000,2415000000,2138000000,2160000000,2647000000,2697000000
38,PP&E,1057000000,1298000000,1349000000,1407000000,1293000000,1154000000,1187000000,1211000000,1274000000,1356000000,1500000000,1447000000,1564000000,2123000000,2156000000,2193000000,2156000000,2073000000,1989000000,2116000000,2217000000,2198000000,2457000000,2628000000,2423000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,381000000,426000000,351000000,238000000,635000000,562000000,557000000,535000000,478000000,601000000,784000000,803000000,791000000,801000000,902000000,914000000
40,Intangible Assets,- -,129000000,270000000,313000000,283000000,280000000,319000000,353000000,359000000,- -,- -,8000000,7000000,364000000,347000000,329000000,311000000,290000000,410000000,502000000,493000000,460000000,437000000,444000000,434000000
41,Intangible Assets,- -,129000000,270000000,313000000,283000000,280000000,319000000,353000000,359000000,381000000,426000000,359000000,245000000,999000000,909000000,886000000,846000000,768000000,1011000000,1286000000,1296000000,1251000000,1238000000,1346000000,1348000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,11000000,33000000,13000000,7000000,10000000,12000000,10000000,10000000,11000000,5000000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,20000000,33000000,61000000,72000000,3000000,1000000,1000000,4000000,3000000,71000000,19000000,21000000,15000000,4000000,7000000,7000000,9000000,10000000,13000000,23000000,- -
44,Other Non-Current Assets,186000000,54000000,56000000,64000000,76000000,63000000,96000000,70000000,57000000,54000000,74000000,93000000,85000000,113000000,121000000,122000000,118000000,97000000,117000000,121000000,143000000,131000000,172000000,214000000,531000000
45,Total Non-Current Assets,1243000000,1481000000,1675000000,1784000000,1672000000,1530000000,1663000000,1706000000,1704000000,1825000000,2014000000,1910000000,1907000000,3318000000,3215000000,3232000000,3146000000,2947000000,3124000000,3530000000,3665000000,3590000000,3880000000,4211000000,4302000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1666000000,1946000000,2212000000,2339000000,2227000000,2015000000,2210000000,2367000000,2389000000,2662000000,3103000000,3207000000,2952000000,5071000000,5317000000,5592000000,5360000000,5091000000,5074000000,5782000000,6080000000,5728000000,6040000000,6858000000,6999000000
48,Accounts Payable,90000000,96000000,109000000,136000000,143000000,164000000,200000000,261000000,263000000,311000000,382000000,528000000,319000000,535000000,529000000,590000000,458000000,430000000,423000000,440000000,493000000,452000000,504000000,599000000,774000000
49,Short-Term Debt,337000000,250000000,222000000,267000000,444000000,84000000,98000000,88000000,57000000,74000000,130000000,206000000,136000000,88000000,148000000,76000000,93000000,23000000,19000000,106000000,120000000,169000000,123000000,484000000,355000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000000,58000000,46000000,72000000,80000000,148000000,59000000,60000000,52000000,70000000,44000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,- -
52,Other Current Liabilities,69000000,59000000,90000000,83000000,88000000,99000000,96000000,113000000,104000000,132000000,162000000,125000000,110000000,268000000,249000000,267000000,269000000,268000000,300000000,432000000,344000000,325000000,340000000,352000000,383000000
53,Total Current Liabilities,496000000,405000000,421000000,486000000,675000000,347000000,394000000,462000000,424000000,517000000,674000000,859000000,565000000,891000000,926000000,933000000,820000000,721000000,742000000,978000000,957000000,946000000,967000000,1458000000,1512000000
54,Long-Term Debt,13000000,154000000,322000000,453000000,312000000,516000000,452000000,480000000,471000000,480000000,519000000,660000000,408000000,1681000000,1801000000,1704000000,1704000000,1791000000,1812000000,1847000000,1743000000,1932000000,1765000000,1748000000,1892000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,128000000,180000000,180000000,185000000,186000000,163000000,210000000,177000000,128000000,121000000,133000000,105000000,111000000,249000000,199000000,160000000,207000000,180000000,139000000,171000000,199000000,189000000,195000000,217000000,165000000
57,Other Non-Current Liabilities,37000000,63000000,63000000,47000000,50000000,68000000,165000000,149000000,139000000,195000000,151000000,177000000,164000000,248000000,258000000,336000000,200000000,192000000,201000000,191000000,264000000,253000000,372000000,433000000,205000000
58,Total Non-Current Liabilities,178000000,397000000,565000000,685000000,548000000,747000000,827000000,806000000,738000000,796000000,803000000,942000000,683000000,2178000000,2258000000,2200000000,2111000000,2163000000,2152000000,2209000000,2206000000,2374000000,2332000000,2398000000,2262000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161000000,182000000,201000000
61,Total Liabilities,674000000,802000000,986000000,1171000000,1223000000,1094000000,1221000000,1268000000,1162000000,1313000000,1477000000,1801000000,1248000000,3069000000,3184000000,3133000000,2931000000,2884000000,2894000000,3187000000,3163000000,3320000000,3299000000,3856000000,3774000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,37000000,101000000,132000000,175000000,224000000,285000000,360000000,429000000,528000000,694000000,920000000,919000000,1046000000,1412000000,1769000000,2045000000,2275000000,2552000000,2899000000,3259000000,3536000000,3780000000,3957000000,3899000000
65,Other Comprehensive Income/Loss,-1141000000,-1355000000,-1425000000,-1508000000,-1453000000,-422000000,-346000000,-323000000,-252000000,-223000000,-115000000,-594000000,-308000000,-190000000,-413000000,-475000000,-583000000,-782000000,-1102000000,-1071000000,-1013000000,-1154000000,-1158000000,-1133000000,-897000000
66,Other Total Stockholders Equity,2133000000,2462000000,2549000000,2543000000,2281000000,1025000000,971000000,1043000000,1032000000,1024000000,1025000000,1057000000,1069000000,1119000000,1104000000,1142000000,941000000,683000000,693000000,736000000,644000000,5000000,97000000,156000000,133000000
67,Total Stockholders Equity,992000000,1144000000,1226000000,1168000000,1004000000,828000000,911000000,1081000000,1210000000,1330000000,1605000000,1384000000,1681000000,1976000000,2104000000,2437000000,2404000000,2177000000,2144000000,2565000000,2891000000,2388000000,2720000000,2981000000,3136000000
68,Total Liabilities And Stockholders Equity,1666000000,1946000000,2212000000,2339000000,2227000000,1922000000,2132000000,2349000000,2372000000,2643000000,3082000000,3185000000,2929000000,5045000000,5288000000,5570000000,5335000000,5061000000,5038000000,5752000000,6054000000,5708000000,6019000000,6837000000,6910000000
69,Minority Interest,- -,- -,- -,- -,- -,93000000,78000000,18000000,17000000,19000000,21000000,22000000,23000000,26000000,29000000,22000000,25000000,30000000,36000000,30000000,26000000,20000000,21000000,21000000,89000000
70,Total Liabilities & Equity,1666000000,1946000000,2212000000,2339000000,2227000000,2015000000,2210000000,2367000000,2389000000,2662000000,3103000000,3207000000,2952000000,5071000000,5317000000,5592000000,5360000000,5091000000,5074000000,5782000000,6080000000,5728000000,6040000000,6858000000,6999000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1046257/000095013798001383/0000950137-98-001383-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013799000673/0000950137-99-000673-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013700001233/0000950137-00-001233-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013701000910/0000950137-01-000910-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013702001595/0000950137-02-001595-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013703001625/0000950137-03-001625-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013704001814/0000950137-04-001814-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013705002885/0000950137-05-002885-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000095013706002801/c03166e10vk.htm,https://www.sec.gov/Archives/edgar/data/1046257/000095013707002867/c12670e10vk.htm,https://www.sec.gov/Archives/edgar/data/1046257/000095013708003051/c24006e10vk.htm,https://www.sec.gov/Archives/edgar/data/1046257/000095013709001371/0000950137-09-001371-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000110465910010324/0001104659-10-010324-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000110465911010836/a11-2437_110k.htm,https://www.sec.gov/Archives/edgar/data/1046257/000110465912013085/0001104659-12-013085-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000110465913015305/0001104659-13-015305-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000110465914012704/a13-24815_110k.htm,https://www.sec.gov/Archives/edgar/data/1046257/000110465915012662/a14-24691_110k.htm,https://www.sec.gov/Archives/edgar/data/1046257/000110465916098429/0001104659-16-098429-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837017000769/0001558370-17-000769-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837018000857/0001558370-18-000857-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837019000999/0001558370-19-000999-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837020000978/0001558370-20-000978-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837021001632/0001558370-21-001632-index.htm,https://www.sec.gov/Archives/edgar/data/1046257/000155837022001549/0001558370-22-001549-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-75000000,43000000,77000000,48000000,57000000,63000000,76000000,94000000,90000000,124000000,198000000,267000000,41000000,169000000,416000000,428000000,396000000,355000000,402000000,485000000,519000000,443000000,413000000,348000000,117000000
74,Depreciation and Amortization,103000000,95000000,122000000,135000000,127000000,103000000,101000000,102000000,106000000,114000000,125000000,128000000,130000000,155000000,211000000,211000000,194000000,195000000,194000000,196000000,209000000,247000000,220000000,213000000,220000000
75,Deferred Income Tax,10000000,10000000,7000000,15000000,2000000,-6000000,4000000,-9000000,-16000000,-6000000,7000000,12000000,- -,-30000000,18000000,-3000000,30000000,-11000000,-6000000,-5000000,67000000,-23000000,3000000,-7000000,-61000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5000000,6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,54000000,133000000,56000000,-47000000,-189000000,258000000,15000000,46000000,62000000,59000000,95000000,23000000,42000000,382000000,314000000,251000000,-33000000,29000000,-215000000,66000000,184000000,-266000000,1000000,-4000000,-280000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43000000,-3000000,-45000000,-134000000,22000000,-69000000,-15000000,-29000000,-131000000,-44000000,-70000000,-61000000,-3000000,-162000000
79,Inventory,34000000,-32000000,-28000000,-12000000,20000000,-6000000,-11000000,-34000000,5000000,-57000000,-86000000,-91000000,82000000,-51000000,-149000000,-69000000,76000000,-6000000,9000000,-19000000,-34000000,-50000000,-43000000,-14000000,-312000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-73000000,60000000,116000000,69000000,-120000000,138000000,153000000,199000000,261000000,320000000,415000000,438000000,480000000,862000000,1176000000,1427000000,1394000000,1423000000,1208000000,1274000000,1458000000,1192000000,1193000000,1189000000,-32000000
82,Other Non-Cash Items,123000000,-191000000,-64000000,61000000,174000000,-212000000,40000000,-67000000,3000000,-61000000,-167000000,-514000000,368000000,-288000000,-659000000,-155000000,32000000,163000000,311000000,29000000,-210000000,302000000,43000000,279000000,396000000
83,Cash Provided by Operating Activities,215000000,90000000,198000000,212000000,171000000,206000000,236000000,166000000,245000000,230000000,258000000,-79000000,586000000,394000000,300000000,732000000,619000000,731000000,686000000,771000000,769000000,703000000,680000000,829000000,392000000
84,CAPEX,-116000000,-122000000,-280000000,-143000000,-94000000,-78000000,-83000000,-104000000,-143000000,-171000000,-177000000,-228000000,-146000000,-159000000,-263000000,-313000000,-298000000,-276000000,-280000000,-284000000,-314000000,-350000000,-328000000,-340000000,-300000000
85,Acquisitions Net,- -,- -,- -,-120000000,-79000000,-42000000,-48000000,-68000000,-5000000,-42000000,-59000000,- -,-4000000,-1272000000,-15000000,- -,- -,- -,-434000000,-409000000,-17000000,-15000000,-52000000,-242000000,-40000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000000,- -,-34000000,- -,- -,-3000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,21000000,- -,- -,- -,- -,- -,- -,- -,- -,19000000,11000000,27000000,1000000,- -,1000000,3000000,11000000,- -
88,Other Investing Activites,-17000000,62000000,9000000,1000000,2000000,47000000,1000000,2000000,7000000,3000000,4000000,-219000000,-141000000,-156000000,-258000000,-304000000,-293000000,-271000000,-242000000,-281000000,-306000000,-347000000,-325000000,-340000000,-295000000
89,Cash Used for Investing Activites,-133000000,-60000000,-271000000,-262000000,-171000000,-73000000,-130000000,-149000000,-141000000,-210000000,-232000000,-219000000,-145000000,-1428000000,-273000000,-322000000,-274000000,-294000000,-649000000,-689000000,-326000000,-361000000,-374000000,-571000000,-335000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56000000,-340000000,-77000000,-22000000,-462000000,-53000000,-213000000,-1366000000,-874000000,-1240000000,-738000000,-1465000000,-1224000000,-1690000000
91,Common Stock Issued,- -,- -,- -,- -,4000000,4000000,5000000,30000000,- -,21000000,16000000,11000000,4000000,22000000,18000000,34000000,14000000,20000000,21000000,29000000,9000000,1000000,63000000,- -,- -
92,Common Stock Repurchased,- -,-1000000,-19000000,-44000000,- -,- -,- -,- -,-25000000,-23000000,-55000000,-1000000,-3000000,-5000000,-48000000,-18000000,-228000000,-304000000,-41000000,-8000000,-123000000,-657000000,- -,- -,- -
93,Dividends Paid,- -,-3000000,-13000000,-14000000,-23000000,-19000000,-20000000,-23000000,-22000000,-26000000,-33000000,-42000000,-45000000,-45000000,-50000000,-69000000,-112000000,-128000000,-126000000,-141000000,-165000000,-182000000,-174000000,-178000000,-184000000
94,Other Financing Activites,-29000000,-75000000,107000000,108000000,46000000,-144000000,-58000000,6000000,-44000000,22000000,87000000,318000000,9000000,1260000000,188000000,318000000,26000000,237000000,1396000000,-6000000,1144000000,987000000,1212000000,1545000000,1501000000
95,Cash Used/Provided by Financing Activities,-29000000,-79000000,75000000,50000000,27000000,-159000000,-73000000,13000000,-91000000,-6000000,15000000,230000000,-375000000,1155000000,86000000,-197000000,-353000000,-388000000,-116000000,- -,-375000000,-589000000,-364000000,143000000,-373000000
96,Effect of Forex Changes on Cash,- -,- -,3000000,- -,-3000000,-3000000,1000000,1000000,2000000,1000000,3000000,- -,2000000,6000000,-14000000,-5000000,-27000000,-43000000,-67000000,-4000000,15000000,-21000000,-5000000,- -,-21000000
97,Net Change In Cash,-29000000,-79000000,5000000,- -,24000000,-29000000,34000000,31000000,15000000,15000000,44000000,-68000000,68000000,127000000,99000000,208000000,-35000000,6000000,-146000000,78000000,83000000,-268000000,-63000000,401000000,-337000000
98,Cash at the End of Period,- -,- -,41000000,41000000,65000000,36000000,70000000,101000000,116000000,131000000,175000000,107000000,175000000,302000000,401000000,609000000,574000000,580000000,434000000,512000000,595000000,327000000,264000000,665000000,328000000
99,Cash at the Beginning of Period,32000000,85000000,36000000,41000000,41000000,65000000,36000000,70000000,101000000,116000000,131000000,175000000,107000000,175000000,302000000,401000000,609000000,574000000,580000000,434000000,512000000,595000000,327000000,264000000,665000000
100,Free Cash Flow,99000000,-32000000,-82000000,69000000,77000000,128000000,153000000,62000000,102000000,59000000,81000000,-307000000,440000000,235000000,37000000,419000000,321000000,455000000,406000000,487000000,455000000,353000000,352000000,489000000,92000000
