,https://roic.ai/company/SONY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
70,Total Liabilities & Equity,- -,1297292540280,1852666429503,2374042592450,4343764201233,4618594186905,4915626860770,4529826552944,4253298545376,4100517702638,5098092804108,5670298828800,6455919102575,6305108901600,6598746282200,7897498236480,8200002403840,8359228449540,9112802805500,9503726683220,10606520876850,11716362000000,12552739000000,12013511000000,12866114000000,12924988000000,13295667000000,14206292000000,15333720000000,15834331000000,16673390000000,17660556000000,19065538000000,20981586000000,23039343000000,26354840000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313838/0000950123-96-005178-index.html,https://www.sec.gov/Archives/edgar/data/313838/0000950123-97-007750-index.html,https://www.sec.gov/Archives/edgar/data/313838/0000950123-98-008354-index.html,https://www.sec.gov/Archives/edgar/data/313838/0000950123-99-005751-index.html,https://www.sec.gov/Archives/edgar/data/313838/000095012300007096/0000950123-00-007096-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000095014401503960/0000950144-01-503960-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000095010902002462/0000950109-02-002462-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000095016803001430/0000950168-03-001430-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000089109204001950/0000891092-04-001950-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119163805000708/0001191638-05-000708-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119163806000924/0001191638-06-000924-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119163807001408/0001191638-07-001408-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000114554908001104/0001145549-08-001104-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000115752309003868/0001157523-09-003868-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000115752310003107/0001157523-10-003107-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000115752311003391/0001157523-11-003391-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000115752312002738/0001157523-12-002738-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312513273660/0001193125-13-273660-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312514249964/0001193125-14-249964-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312515231346/0001193125-15-231346-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312516624169/0001193125-16-624169-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312517203939/0001193125-17-203939-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312518196263/0001193125-18-196263-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312519175182/0001193125-19-175182-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312520179707/0001193125-20-179707-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312521195631/0001193125-21-195631-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,102181056498,117338302620,120234913606,36258182884,15236082180,-284782413741,54813826062,139213373815,223901783087,179230675750,118064116200,16898709180,15284625850,115377809160,88719771050,164173508660,123587572500,126328000000,369435000000,-98938000000,-40802000000,-259585000000,-456660000000,43034000000,-128369000000,-125980000000,147791000000,73289000000,490794000000,916271000000,582191000000,1171776000000
74,Depreciation and Amortization,- -,- -,- -,- -,163760160414,214866242460,265449563932,274480301788,238195881408,213416170681,229676143005,266060802144,304156147957,307490767300,297163989600,598138639110,597828235420,663127469620,673686440100,649509433020,668432213550,400009000000,428010000000,405443000000,371004000000,325366000000,319594000000,538605000000,662368000000,627565000000,696678000000,624553000000,720718000000,722519000000,746451000000,663737000000
75,Deferred Income Tax,- -,- -,- -,- -,-1037850066,6236595690,17140351260,-33524750028,18673178160,-18385879568,5119384302,-5480269368,4794302871,18578063400,-25380188600,-5674939650,-49841171250,-97917772600,-34507925050,-69486893280,80155368450,-13193000000,20040000000,-153262000000,-34740000000,307421000000,206694000000,65771000000,-6661000000,7982000000,211000000,23798000000,24085000000,-121650000000,4799000000,-153427000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3838000000,4130000000,3446000000,2202000000,1952000000,1952000000,1232000000,1068000000,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-73467204672,-136824136665,-203212815636,128448374208,49114562556,-80835662236,-33340258017,334141210390,53618121534,226390375150,123921082800,-173653153290,127460488610,72199610640,-191201010700,-118599543160,-313794731700,-182465000000,-282513000000,-306011000000,301664000000,-131574000000,-56276000000,127176000000,128322000000,84574000000,-201965000000,-81019000000,1342000000,-26416000000,-137253000000,414235000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104515000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-109288756950,-132788692395,-158342299198,68726311808,12968624832,-84205254826,-69872098716,41751002786,-96931879036,43586994900,-67714754200,-104040560250,291338259680,35981832100,-78815683800,34100049480,-164783430000,-119202000000,-140725000000,160432000000,148584000000,-112089000000,29778000000,56987000000,20248000000,113485000000,-57804000000,11199000000,-51508000000,30455000000,40315000000,-57007000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18119000000,- -,-206621000000,103379000000,-118577000000,-49525000000,-1386000000,-87939000000,18534000000,-91435000000,211939000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84669131200,71882568900,-62866330670,- -,- -,64875880300,-186322978350,-122876000000,-201107000000,-148501000000,-92181000000,-64464000000,38150000000,-66743000000,-64577000000,-192506000000,-38317000000,-158884000000,-7095000000,-198960000000,-79493000000,-211972000000
82,Other Non-Cash Items,- -,- -,- -,- -,23147201472,-33553449210,-48604189852,9808200248,15277122132,347214916447,-19663576524,-12078650342,30936382852,-67762295350,47986024600,113877122310,48113343980,99805344120,97477069250,21661037720,-158545200150,226511000000,218582000000,556475000000,313579000000,372665000000,504235000000,-294306000000,7388000000,160499000000,106374000000,168641000000,18033000000,-231986000000,153557000000,-746171000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,214583363646,168063554895,151007823310,415470309100,336496826436,176627131583,236605518828,721856466638,617406738301,663927586250,561755024600,549586377660,738845522610,852592460940,634174344650,647257542960,399835222650,561028000000,757684000000,407153000000,912907000000,616245000000,519539000000,481512000000,664116000000,754640000000,749089000000,809262000000,1254972000000,1258738000000,1349745000000,1350150000000
84,CAPEX,- -,- -,- -,- -,-324013645605,-404362803810,-445237232846,-267853449864,-197361129168,-216353764221,-252756212400,-297659802118,-381174960622,-368703104400,-390669947600,-472154978880,-389159865120,-274877602600,-428377836950,-453702230660,-462452926050,-527515000000,-474552000000,-496125000000,-338050000000,-253688000000,-382549000000,-326490000000,-283457000000,-215916000000,-375411000000,-333509000000,-262989000000,-312644000000,-439761000000,-512239000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-53402103396,-69392709510,-121948948732,-484541171268,-450433993176,-111879113969,-550954992987,-578303710720,-563013234136,-121591043150,-67920261800,-24717514920,-797724559580,-1134784403180,-1204232756050,-1467910620540,-1404896443200,-1014906000000,-2386573000000,-2675118000000,-1623679000000,-1474228000000,-1056171000000,-1139128000000,-1047486000000,-980074000000,-1241923000000,-1250498000000,-977011000000,-1131775000000,-1367915000000,-1734160000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,85433930433,98586185715,208740246740,438704488376,422013826416,79055826150,419993002935,362250459397,373229883907,702631885000,269420463600,35184625830,379723270030,677402229240,828711468950,949868673880,881826755400,702600000000,1493443000000,1934833000000,1182824000000,904363000000,567631000000,478664000000,502038000000,532016000000,615607000000,305979000000,323755000000,311940000000,358196000000,469390000000
88,Other Investing Activites,- -,- -,- -,- -,-753290447904,65089176285,-58835252232,69495807612,10290767964,-20632274628,8867887452,-3369064726,-32685718470,-579969030500,-247020135200,-263821638840,38676748890,26779920940,40241870300,40105089640,114406781400,124391000000,457240000000,155068000000,32901000000,109114000000,-11797000000,281674000000,118403000000,24338000000,-28676000000,24055000000,94048000000,-174966000000,97202000000,-4507000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1045272266472,-310080151320,-417281187070,-244194325144,-215490527964,-269809326668,-374850315000,-517082118166,-603644029320,-367631293050,-436189881000,-725509506810,-768484405780,-705479855600,-763657253750,-931639087680,-871115832450,-715430000000,-910442000000,-1081342000000,-746004000000,-714439000000,-882886000000,-705280000000,-710502000000,-639636000000,-1030403000000,-1253973000000,-822197000000,-1307445000000,-1352278000000,-1781516000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-283074000000,-34701000000,-264467000000,-144105000000,-216212000000,-112043000000,-326164000000,-164540000000,-258102000000,-270669000000,-261299000000,-44561000000,-382671000000,-198055000000,-494634000000
91,Common Stock Issued,- -,- -,- -,- -,259053666474,1806072960,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9569504880,- -,- -,- -,6944444550,7783000000,36427000000,378000000,- -,- -,- -,- -,- -,- -,301708000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100177000000,-200211000000,-366000000
93,Dividends Paid,- -,- -,- -,- -,-14073875895,-16946043945,-17153638354,-18605719440,-18570578280,-18135320119,-18967425939,-18624053150,-21760223175,-24532570900,-19934237200,-22951978140,-22993393670,-22768831460,-23144288100,-22947832040,-24835216950,-25052000000,-25098000000,-42594000000,-25085000000,-25098000000,-25078000000,-25057000000,-25643000000,-13160000000,-12751000000,-25301000000,-28490000000,-38067000000,-49574000000,-61288000000
94,Other Financing Activites,- -,- -,- -,- -,735190971753,155660913240,262273948466,-79901228484,-99952803096,108466321474,150796926720,-228433431596,3843507554,-87769440550,-46033702400,158646090660,98619064180,-70194065900,337155980700,228191526080,377707162050,548246000000,528890000000,574141000000,534204000000,231198000000,394457000000,434402000000,398060000000,8067000000,361834000000,738902000000,319507000000,398031000000,513498000000,1223255000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,980170762332,140520942255,245120310112,-98506947924,-118523381376,90331001355,131829500781,-247057484745,-17916715621,-112302011450,-65967939600,135694112520,85195175390,-92962897360,314011692600,205243694040,359816389650,247903000000,505518000000,267458000000,365014000000,-10112000000,257336000000,83181000000,207877000000,-263195000000,380122000000,452302000000,246456000000,-122884000000,65658000000,666967000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,3365150214,-7224291840,-3454644440,-1895026980,-7469271264,-5564147764,-9971018379,11516561910,-1121150581,-14886268750,-26818741800,21186441360,21132656610,-24892349420,-48060886550,8900327380,35546139900,3300000000,-66228000000,-18911000000,-1098000000,-68890000000,-13825000000,72372000000,58614000000,51138000000,-64609000000,-31061000000,-53044000000,52465000000,-21643000000,36668000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30766574363,-5275157222,169108013000,32778462200,-19042575270,76688948830,29257358560,136467896950,-70130290440,-75918080250,96801000000,286532000000,-425642000000,530819000000,-177196000000,-119836000000,-68215000000,220105000000,-97053000000,34199000000,-23470000000,626187000000,-122866000000,38544000000,271687000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,427760312600,426781460416,592830766700,606863942800,612641262660,685017057660,712086355920,851230235750,779475659340,703036733850,799899000000,1086431000000,660789000000,1191608000000,1014412000000,894576000000,826361000000,1046466000000,949413000000,983612000000,960142000000,1586329000000,1470073000000,1512357000000,1786982000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,296101768830,453253763235,443377039686,418364532124,487339170012,470084086248,480493843776,458526886964,432056617637,423722753700,574085480600,631683837930,608328108830,682828997360,714762338800,849605949780,778954814100,703098000000,799899000000,1086431000000,660789000000,1191608000000,1014412000000,894576000000,826361000000,1046466000000,949413000000,983612000000,960142000000,1592939000000,1473813000000,1515295000000
100,Free Cash Flow,- -,- -,- -,- -,-109430281959,-236299248915,-294229409536,147616859236,139135697268,-39726632638,-16150693572,424196664520,236231777679,295224481850,171085077000,77431398780,349685657490,577714858340,205796507700,193555312300,-62617703400,33513000000,283132000000,-88972000000,574857000000,362557000000,136990000000,155022000000,380659000000,538724000000,373678000000,475753000000,991983000000,946094000000,909984000000,837911000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313838/0000950123-96-005178-index.html,https://www.sec.gov/Archives/edgar/data/313838/0000950123-97-007750-index.html,https://www.sec.gov/Archives/edgar/data/313838/0000950123-98-008354-index.html,https://www.sec.gov/Archives/edgar/data/313838/0000950123-99-005751-index.html,https://www.sec.gov/Archives/edgar/data/313838/000095012300007096/0000950123-00-007096-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000095014401503960/0000950144-01-503960-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000095010902002462/0000950109-02-002462-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000095016803001430/0000950168-03-001430-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000089109204001950/0000891092-04-001950-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119163805000708/0001191638-05-000708-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119163806000924/0001191638-06-000924-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119163807001408/0001191638-07-001408-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000114554908001104/0001145549-08-001104-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000115752309003868/0001157523-09-003868-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000115752310003107/0001157523-10-003107-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000115752311003391/0001157523-11-003391-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000115752312002738/0001157523-12-002738-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312513273660/0001193125-13-273660-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312514249964/0001193125-14-249964-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312515231346/0001193125-15-231346-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312516624169/0001193125-16-624169-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312517203939/0001193125-17-203939-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312518196263/0001193125-18-196263-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312519175182/0001193125-19-175182-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312520179707/0001193125-20-179707-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312521195631/0001193125-21-195631-index.htm
102,Forex Rate,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.07,1.2019,1.2071,1.061,0.9686,0.8323,0.8882,0.8976,0.9408,0.902,0.9297,0.9031
