,https://roic.ai/company/AMT,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.1296,-0.4524,-0.1966,-0.2647,-0.3968,-1.4483,-0.4243,-0.3504,-0.1816,0.0209,0.0387,0.2179,0.1430,0.1878,0.1622,0.2216,0.1640,0.2012,0.1436,0.1653,0.1859,0.1662,0.2490,0.2102,0.2744
25,EPS,-0.05,-0.59,-0.34,-1.15,-2.35,-5.84,-1.46,-1.10,-0.57,0.06,0.14,0.88,0.62,0.93,0.99,1.61,1.40,2.02,1.42,2.00,2.69,2.79,4.27,3.81,5.79
26,EPS Diluted,-0.05,-0.59,-0.34,-1.15,-2.35,-5.84,-1.46,-1.10,-0.57,0.06,0.13,0.84,0.61,0.92,0.98,1.60,1.38,2.00,1.41,1.98,2.67,2.77,4.24,3.79,5.76
27,Weighted Average Shares Outstanding,48691790,79786000,149749000,168715000,191586000,195454000,208098000,224336000,302510000,424525000,413167000,395947000,398375000,401152000,395711000,394772000,395040000,395958000,418907000,425143000,428181000,439606000,442319000,443640000,443640000
28,Weighted Average Shares Outstanding Diluted,70000000,79786000,149749000,168715000,191586000,195454000,208098000,224336000,302510000,436217000,426079000,418357000,406948000,404072000,400195000,399287000,399146000,400086000,423015000,429283000,431688000,442960000,445520000,446104000,446104000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1053507/000092701699001025/0000927016-99-001025-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000092701600001049/0000927016-00-001049-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000092701601001627/0000927016-01-001627-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000092701602001828/0000927016-02-001828-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000092701603001267/0000927016-03-001267-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312504040332/0001193125-04-040332-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312505064722/0001193125-05-064722-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312506054224/d10k.htm,https://www.sec.gov/Archives/edgar/data/1053507/000119312507042779/d10k.htm,https://www.sec.gov/Archives/edgar/data/1053507/000119312508057075/d10k.htm,https://www.sec.gov/Archives/edgar/data/1053507/000119312509039177/0001193125-09-039177-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312510044876/0001193125-10-044876-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312511050129/d10k.htm,https://www.sec.gov/Archives/edgar/data/1053507/000119312512086162/0001193125-12-086162-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312513077821/0001193125-13-077821-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312514068001/d636311d10k.htm,https://www.sec.gov/Archives/edgar/data/1053507/000119312515059026/d846752d10k.htm,https://www.sec.gov/Archives/edgar/data/1053507/000105350716000018/0001053507-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000105350717000009/0001053507-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000105350718000006/0001053507-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000105350719000012/0001053507-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000105350720000028/0001053507-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000105350721000026/0001053507-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1053507/000105350722000017/0001053507-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4595500,186175000,25212000,82038000,35958000,127292000,105465000,215557000,112701000,281264000,33123000,143077000,247293000,883963000,330191000,368618000,293576000,313492000,320686000,787161000,802100000,1208700000,1501200000,1746300000,1949900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,22986000,7224000,2028000,9776000,46428000,22270000,6018000,18612000,6302000,- -,4026000,1000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,4595500,186175000,25212000,82038000,35958000,127292000,105465000,215557000,112701000,304250000,40347000,145105000,257069000,930391000,352461000,374636000,312188000,319794000,320686000,791187000,803100000,1208700000,1501200000,1746300000,1949900000
34,Net Receivables,3238877,16850000,71845000,237663000,229065000,107265000,77668000,38634000,36995000,29368000,40316000,51313000,67949000,80961000,100971000,159414000,254758000,247294000,291766000,397600000,685700000,671400000,675800000,754800000,728900000
35,Inventory,- -,- -,11262000,47872000,49332000,9092000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,852237,4560000,31088000,103579000,207852000,292604000,228382000,54846000,76182000,152404000,165011000,277262000,326338000,392822000,389339000,295478000,385710000,380880000,384016000,501083000,549300000,505000000,376800000,404500000,1050600000
37,Total Current Assets,8686614,207585000,139407000,471152000,522207000,536253000,411515000,309037000,225878000,486022000,245674000,473680000,651356000,1404174000,842771000,829528000,952656000,947968000,996468000,1689870000,2038100000,2385100000,2553800000,2905600000,3729400000
38,PP&E,117617776,449476000,1092346000,2296670000,3287573000,2734885000,2546525000,2273356000,3460526000,3218124000,3045186000,3022636000,3175511000,3623835000,4883473000,5789995000,7262175000,7626817000,9866424000,10517258000,11101000000,11247100000,19441800000,20597900000,29009100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,2189767000,2188312000,2186233000,2237850000,2490295000,2805267000,2912046000,3729901000,4017082000,4091805000,5070680000,5638400000,5501900000,6178300000,7282700000,13350100000
40,Intangible Assets,8424406,718600000,1403897000,2505681000,2507911000,1745504000,1649760000,1577986000,4219863000,1820876000,1686434000,1566155000,1598633000,1985352000,2351955000,3115053000,6701459000,6889331000,9837876000,11274611000,11783300000,11174300000,12318400000,13839800000,20727200000
41,Intangible Assets,8424406,718600000,1403897000,2505681000,2507911000,1745504000,1649760000,1577986000,4219863000,4010643000,3874746000,3752388000,3836483000,4475647000,5157222000,6027099000,10431360000,10906413000,13929681000,16345291000,17421700000,16676200000,18496700000,21122500000,34077300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,109418000,114252000,140395000,245215000,383431000,449180000,633814000,504659000,482710000,479854000,381428000,198185000,78484000,245607000,213518000,262529000,253186000,212041000,195678000,204400000,157700000,131800000,123100000,131600000
44,Other Non-Current Assets,120627100,17264000,268964000,246781000,266817000,262130000,275508000,291779000,357294000,415720000,484997000,581533000,651133000,785874000,1103357000,1228989000,1363851000,1597161000,1899658000,2131053000,2449100000,2544300000,2177500000,2484400000,2940500000
45,Total Non-Current Assets,246669282,1294758000,2879459000,5189527000,6307516000,5125950000,4920973000,4776935000,8542342000,8127197000,7884783000,7737985000,7861312000,8963840000,11389659000,13259601000,19319915000,20383577000,25907804000,29189280000,31176200000,30625300000,40247800000,44327900000,66158500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,255355896,1502343000,3018866000,5660679000,6829723000,5662203000,5332488000,5085972000,8768220000,8613219000,8130457000,8211665000,8512668000,10368014000,12232430000,14089129000,20272571000,21331545000,26904272000,30879150000,33214300000,33010400000,42801600000,47233500000,69887900000
48,Accounts Payable,3738230,6696000,25564000,74046000,50125000,110430000,107557000,121672000,175558000,187634000,175464000,151985000,185138000,292543000,214739000,89578000,171050000,90366000,96714000,118666000,142900000,130800000,148100000,139100000,272400000
49,Short-Term Debt,110391,1652000,4736000,11178000,12585000,270142000,77622000,138386000,162153000,253907000,1817000,1837000,70521000,74896000,101816000,60031000,70132000,897624000,50202000,238806000,774800000,2754800000,3422700000,1329700000,5281300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36814000,54529000,61206000,75827000,149912000,195000000,229800000,253300000,239700000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,32681000,77655000,86769000,106395000,120188000,112047000,134135000,93099000,124147000,161926000,233819000,211001000,245387000,268800000,304100000,294300000,390600000,1204000000
52,Other Current Liabilities,7157936,107287000,94687000,212562000,280004000,289722000,109599000,39466000,37850000,41319000,33702000,28635000,23538000,40621000,369937000,358422000,521650000,707883000,842112000,1028410000,1325600000,1500200000,1622600000,1796100000,2309600000
53,Total Current Liabilities,11006557,115635000,124987000,297786000,342714000,670294000,294778000,332205000,453216000,569629000,317378000,302645000,391244000,542195000,779591000,632178000,924758000,1929692000,1200029000,1631269000,2512100000,4689900000,5487700000,3655500000,9067300000
54,Long-Term Debt,90066269,279477000,736086000,2457045000,3549375000,3194537000,3283603000,3155228000,3451276000,- -,4283467000,4331309000,4141060000,5512492000,7134492000,8693345000,14408146000,13711084000,17068807000,18294659000,19430300000,18405100000,21127200000,35382100000,46727300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164032000,278295000,415809000,451844000,457272000,509200000,504600000,525900000,576100000,- -
56,Deferred Tax Liabilities,417628,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,777572000,898100000,535900000,768300000,859500000,1830900000
57,Other Non-Current Liabilities,32750,11369000,4057000,12472000,54501000,41482000,23961000,121505000,327354000,3655083000,504178000,583232000,662239000,808769000,908205000,915393000,1071332000,1221608000,1470774000,2742178000,3036500000,2975300000,9402100000,2191900000,3192800000
58,Total Non-Current Liabilities,90516647,290846000,740143000,2469517000,3603876000,3236019000,3307564000,3276733000,3778630000,3655083000,4787645000,4914541000,4803299000,6321261000,8042697000,9772770000,15757773000,15348501000,18991425000,22271681000,23874100000,22420900000,31823500000,39009600000,51751000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74896000,101816000,- -,- -,- -,- -,- -,- -,- -,7004900000,7424300000,8754400000
61,Total Liabilities,101523204,406481000,865130000,2767303000,3946590000,3906313000,3602342000,3608938000,4231846000,4224712000,5105023000,5217186000,5194543000,6863456000,8822288000,10404948000,16682531000,17278193000,20191454000,23902950000,26386200000,27110800000,37311200000,42665100000,60818300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,74000,74000,- -,- -,- -,- -,- -
63,Common Stock,356340,1083000,1558000,1805000,1954000,1958000,2201000,2297000,4156000,4378000,4527000,4685000,4797000,4860000,3936000,3959000,3976000,3995000,4267000,4299000,4400000,4500000,4500000,4600000,4700000
64,Retained Earnings,-2860041,-49702000,-100429000,-295057000,-745151000,-1887030000,-2190447000,-2539403000,-2710993000,-2733920000,-2703373000,-2356127000,-2109532000,-1736596000,-1477899000,-1196907000,-1081467000,-837320000,-998535000,-1076965000,-1058100000,-1199500000,-1016800000,-1343000000,-1142400000
65,Other Comprehensive Income/Loss,-2939682,-23007000,-72490000,-195345000,-410446000,-12284000,-6720000,-996973000,-3300000,16079000,-3626000,-20031000,-12649000,38053000,-142617000,-183347000,-311220000,-794221000,-1836996000,-1999332000,-1978300000,-2642900000,-2823600000,-3759400000,-4738900000
66,Other Total Stockholders Equity,159276075,1167488000,2325097000,3381973000,4036776000,3637679000,3906513000,5005032000,7236717000,7098379000,5724564000,5362795000,5432466000,5195127000,4903800000,4949396000,4922876000,5581046000,9482869000,9835819000,9273500000,9174000000,8891300000,9191300000,- -
67,Total Stockholders Equity,153832692,1095862000,2153736000,2893376000,2883133000,1740323000,1711547000,1470953000,4526580000,4384916000,3022092000,2991322000,3315082000,3501444000,3287220000,3573101000,3534165000,3953560000,6651679000,6763895000,6241500000,5336100000,5055400000,4093500000,5081200000
68,Total Liabilities And Stockholders Equity,255355896,1502343000,3018866000,5660679000,6829723000,5646636000,5313889000,5079891000,8758426000,8609628000,8127115000,8208508000,8509625000,10364900000,12109508000,13978049000,20216696000,21231753000,26843133000,30666845000,32627700000,32446900000,42366600000,46758600000,65899500000
69,Minority Interest,- -,- -,- -,- -,- -,15567000,18599000,6081000,9794000,3591000,3342000,3157000,3043000,3114000,122922000,111080000,55875000,99792000,61139000,212305000,586600000,563500000,435000000,474900000,3988400000
70,Total Liabilities & Equity,255355896,1502343000,3018866000,5660679000,6829723000,5662203000,5332488000,5085972000,8768220000,8613219000,8130457000,8211665000,8512668000,10368014000,12232430000,14089129000,20272571000,21331545000,26904272000,30879150000,33214300000,33010400000,42801600000,47233500000,69887900000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1053507/000092701699001025/0000927016-99-001025-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000092701600001049/0000927016-00-001049-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000092701601001627/0000927016-01-001627-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000092701602001828/0000927016-02-001828-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000092701603001267/0000927016-03-001267-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312504040332/0001193125-04-040332-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312505064722/0001193125-05-064722-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312506054224/d10k.htm,https://www.sec.gov/Archives/edgar/data/1053507/000119312507042779/d10k.htm,https://www.sec.gov/Archives/edgar/data/1053507/000119312508057075/d10k.htm,https://www.sec.gov/Archives/edgar/data/1053507/000119312509039177/0001193125-09-039177-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312510044876/0001193125-10-044876-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312511050129/d10k.htm,https://www.sec.gov/Archives/edgar/data/1053507/000119312512086162/0001193125-12-086162-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312513077821/0001193125-13-077821-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000119312514068001/d636311d10k.htm,https://www.sec.gov/Archives/edgar/data/1053507/000119312515059026/d846752d10k.htm,https://www.sec.gov/Archives/edgar/data/1053507/000105350716000018/0001053507-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000105350717000009/0001053507-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000105350718000006/0001053507-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000105350719000012/0001053507-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000105350720000028/0001053507-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1053507/000105350721000026/0001053507-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1053507/000105350722000017/0001053507-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2269957,-46842000,-50727000,-194628000,-450094000,-1141879000,-303417000,-247587000,-171590000,27484000,56316000,347246000,246595000,372936000,396462000,637283000,551333000,824910000,685074000,956425000,1238900000,1236400000,1887800000,1690600000,2567700000
74,Depreciation and Amortization,6514233,53693000,136647000,299017000,459616000,335042000,389060000,402306000,458832000,537770000,530717000,- -,- -,- -,- -,644276000,800145000,1003802000,1285328000,1525635000,1715900000,2110800000,1778400000,1882300000,2332600000
75,Deferred Income Tax,146529,-4491000,-2054000,-60876000,-120411000,-67781000,-66137000,-92443000,-12752000,17535000,21239000,92513000,156780000,188327000,56852000,29300000,-29485000,1384000,7764000,26957000,-86600000,-303000000,-55100000,-22500000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54807000,60670000,52555000,47437000,51983000,68138000,80153000,90537000,89898000,108500000,137500000,111400000,120800000,119500000
77,Change in Working Capital,4526327,94269943,-77530000,158946000,6127000,-313534000,250778000,-139905000,-204170000,143731000,11903000,242739000,89077000,601867000,-798799000,134170000,-169452000,-1009622000,778163000,262162000,-532601000,-1830800000,-629100000,2184000000,134800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13550000,-17844000,-18974000,-28857000,-43679000,-19080000,-84529000,-56312000,11352000,-191100000,-32100000,12500000,-175500000,- -
79,Inventory,- -,- -,-6210000,-18643000,788000,11347000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27374000,-9609000,1603000,84699000,21880000,83746000,34711000,95858000,-42862000,95800000,69300000,-46800000,-69200000,- -
81,Other Working Capital,-2319943,91950000,14420000,173366000,179493000,-134041000,116737000,-23168000,-227338000,-83607000,-71704000,171035000,260112000,861979000,63180000,197350000,27898000,-981724000,-203561000,58601000,-474000000,-2304800000,-2933900000,-749900000,278200000
82,Other Non-Cash Items,995475,-78200943,90675000,-227500000,130832000,1293301000,-113898000,294329000,326884000,-105782000,72504000,35953000,289004000,-194708000,1463990000,-82621000,378368000,1233962000,-663814000,-157473000,481501000,2397400000,659200000,-1973800000,-334700000
83,Cash Provided by Operating Activities,9912607,18429000,97011000,-25041000,26070000,105149000,156386000,216700000,397204000,620738000,692679000,773258000,842126000,1020977000,1165942000,1414391000,1599047000,2134589000,2183052000,2703604000,2925600000,3748300000,3752600000,3881400000,4819900000
84,CAPEX,-20614412,-126455000,-294242000,-548991000,-568158000,-180497000,-61608000,-42181000,-88637000,-127098000,-154381000,-243484000,-250262000,-346664000,-523015000,-568048000,-724532000,-974404000,-728753000,-682505000,-803600000,-913200000,-991300000,-1031700000,-1376700000
85,Acquisitions Net,-184075851,-208717000,-588384000,-1368024000,-812782000,-56361000,-95077000,-37350000,-14749000,21050000,-43962000,-42817000,-295603000,-899606000,-2320673000,-1997955000,-4461764000,-1010637000,-1961056000,-1416373000,-2007000000,-1881400000,-2959600000,-3799100000,-19303900000
86,Purchases of Investments,- -,- -,- -,- -,-55356000,- -,- -,- -,- -,- -,- -,- -,-6304000,-76354000,-42590000,-352306000,-427267000,-1395316000,-1022816000,-750000,- -,-1154300000,-355900000,- -,-25000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,7668000,- -,2784000,- -,- -,22163000,5373000,9103000,21722000,69971000,374682000,421714000,1434831000,1032320000,13056000,14700000,1252200000,383500000,19600000,14300000
88,Other Investing Activites,-12092663,-15205000,-255074000,-93665000,-9007000,113933000,100675000,31531000,22852000,-23064000,-10000000,5988000,- -,- -,25495000,-14758000,18512000,-4022000,-5061430000,-20874000,-5000000,-52800000,-64200000,26600000,-900000
89,Cash Used for Investing Activites,-216782926,-350377000,-1137700000,-2010680000,-1445303000,-115257000,-56010000,-45216000,-80534000,-129112000,-186180000,-274940000,-543066000,-1300902000,-2790812000,-2558385000,-5173337000,-1949548000,-7741735000,-2107446000,-2800900000,-2749500000,-3987500000,-4784600000,-20692200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-327453000,-931199000,-983737000,-395384000,-2658566000,-5366573000,-3914737000,-6479077000,-5093833000,-6559700000,-4888100000,-9246300000,-13943600000,-13252100000
91,Common Stock Issued,- -,1007059000,634727000,535435000,366671000,1305000,126847000,40556000,65357000,40940000,124087000,- -,- -,- -,- -,- -,- -,- -,2440327000,- -,- -,- -,- -,- -,2361800000
92,Common Stock Repurchased,- -,-303117000,- -,- -,- -,- -,- -,- -,-68927000,-306856000,-1642821000,-714655000,-213288000,-430618000,-437402000,-62728000,-145012000,-59111000,- -,- -,-766300000,-232800000,-19600000,-56000000,- -
93,Dividends Paid,- -,- -,-396000,-667000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-137765000,-355574000,-434687000,-420644000,-795499000,-993241000,-1164400000,-1342400000,-1603000000,-1928200000,-2271000000
94,Other Financing Activites,209092459,-190415000,245395000,1557779000,1006482000,100137000,-249050000,-101948000,-415956000,-57147000,764094000,653936000,949545000,2324685000,2056646000,4247234000,9471837000,4259901000,10423350000,5987780000,8377400000,5855600000,11390600000,17143100000,29585800000
95,Cash Used/Provided by Financing Activities,209092459,513527000,879726000,2092547000,1373153000,101442000,-122203000,-61392000,-419526000,-323063000,-754640000,-388172000,-194942000,910330000,1086095000,1170366000,3525565000,-134591000,5589101000,-99294000,-113000000,-607700000,521700000,1215300000,16424500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-192000,98000,6265000,-14997000,12055000,-26317000,-30534000,-23224000,-30389000,6700000,-41100000,-13700000,-28700000,-70300000
97,Net Change In Cash,2222140,181579000,-160963000,56826000,-46080000,91334000,-21827000,110092000,-102856000,168563000,-248141000,109954000,104216000,636670000,-553772000,38427000,-75042000,19916000,7194000,466475000,18400000,350000000,273100000,283400000,481900000
98,Cash at the End of Period,4595500,186175000,25212000,82038000,35958000,127292000,105465000,215557000,112701000,281264000,33123000,143077000,247293000,883963000,330191000,368618000,293576000,313492000,320686000,787161000,954900000,1304900000,1578000000,1861400000,2343300000
99,Cash at the Beginning of Period,2373360,4596000,186175000,25212000,82038000,35958000,127292000,105465000,215557000,112701000,281264000,33123000,143077000,247293000,883963000,330191000,368618000,293576000,313492000,320686000,936500000,954900000,1304900000,1578000000,1861400000
100,Free Cash Flow,-10701805,-108026000,-197231000,-574032000,-542088000,-75348000,94778000,174519000,308567000,493640000,538298000,529774000,591864000,674313000,642927000,846343000,874515000,1160185000,1454299000,2021099000,2122000000,2835100000,2761300000,2849700000,3443200000
