,https://roic.ai/company/PPIH,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,2075472,2708333,2800000,2682927,2750000,4444444,4615385,4627000,5115000,5040000,4928000,4923000,4922000,4922000,4922000,5223000,5585000,5600000,6627000,6853000,6855000,6850000,6878000,6922000,7096000,7251000,7371000,7488000,7680000,7812000,8284000,8126000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914122/000091412206000017/0000914122-06-000017-index.htm,https://www.sec.gov/Archives/edgar/data/914122/000091412207000017/0000914122-07-000017-index.html,https://www.sec.gov/Archives/edgar/data/914122/000116923208001793/0001169232-08-001793-index.html,https://www.sec.gov/Archives/edgar/data/914122/000091412209000023/0000914122-09-000023-index.html,- -,https://www.sec.gov/Archives/edgar/data/914122/000091412211000003/0000914122-11-000003-index.html,https://www.sec.gov/Archives/edgar/data/914122/000091412212000005/0000914122-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/914122/000091412213000022/0000914122-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/914122/000091412214000010/0000914122-14-000010-index.html,https://www.sec.gov/Archives/edgar/data/914122/000091412215000008/0000914122-15-000008-index.html,https://www.sec.gov/Archives/edgar/data/914122/000091412216000052/0000914122-16-000052-index.html,https://www.sec.gov/Archives/edgar/data/914122/000091412217000012/0000914122-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/914122/000091412218000007/0000914122-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/914122/000143774919007256/0001437749-19-007256-index.html,- -,https://www.sec.gov/Archives/edgar/data/914122/000143774921009033/0001437749-21-009033-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,3400000,1000000,600000,665000,290000,119000,346000,154000,723000,1114000,565000,2665000,2735000,8067000,16718000,4209000,7035000,13395000,10508000,16631000,7603000,7084000,10156000,13371000,7174000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3049000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,3400000,1000000,600000,665000,290000,119000,346000,154000,723000,1114000,565000,2665000,2735000,8067000,16718000,4209000,7035000,13395000,10508000,19680000,7603000,7084000,10156000,13371000,7174000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,21900000,26600000,25400000,26448000,30414000,23171000,22275000,20714000,26122000,24142000,40706000,44976000,62238000,41824000,36838000,28109000,29777000,47135000,42547000,38880000,33362000,34438000,34161000,31568000,29233000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,17200000,19600000,22200000,20800000,21220000,18682000,19582000,18275000,21050000,23711000,35155000,43013000,52291000,35349000,35509000,39968000,42333000,33547000,29770000,15625000,13565000,16856000,12289000,14498000,12157000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,2700000,3600000,4000000,3582000,4047000,3640000,2873000,2734000,3730000,3811000,4248000,5293000,10991000,10068000,10003000,10148000,5201000,7015000,4777000,22863000,3294000,3940000,6354000,4818000,5311000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,45200000,50800000,52200000,51495000,55971000,45612000,45076000,41877000,51625000,52778000,80674000,95947000,128255000,95308000,99068000,82434000,84346000,101092000,87602000,97048000,57824000,62318000,62960000,64255000,53875000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,15100000,23000000,26800000,28473000,31351000,30065000,27888000,28828000,25800000,28320000,33441000,35401000,47256000,45812000,43655000,47842000,46401000,42541000,42020000,25400000,36275000,34509000,30398000,40104000,40281000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2509000,2613000,2826000,- -,- -,- -,- -,- -,- -,- -,- -,2279000,2423000,2269000,2254000,2332000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,9200000,13400000,15500000,14724000,14080000,13407000,3197000,3265000,3198000,453000,392000,349000,292000,238000,260000,331000,373000,373000,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,9200000,13400000,15500000,14724000,14080000,13407000,3197000,3265000,3198000,2962000,3005000,3175000,292000,238000,260000,331000,373000,373000,- -,- -,2279000,2423000,2269000,2254000,2332000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2097000,3078000,4636000,8968000,9660000,11770000,9112000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2421000,2756000,4187000,11339000,10967000,1766000,1667000,- -,- -,- -,391000,458000,293000,823000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,5800000,5700000,3500000,3084000,3383000,3445000,2815000,4957000,4893000,4575000,4320000,3468000,2589000,2905000,5875000,10837000,7625000,7936000,7146000,6563000,5233000,4943000,6120000,5319000,5380000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,30100000,42100000,45800000,46281000,48814000,46917000,33900000,37050000,33891000,35857000,40766000,44465000,52893000,55239000,64207000,74613000,65133000,62177000,60936000,41075000,43787000,42266000,39245000,47970000,48816000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,75300000,92900000,98000000,97776000,104785000,92529000,78976000,78927000,85516000,88635000,121440000,140412000,181148000,150547000,163275000,157047000,149479000,163269000,148538000,138123000,101611000,104584000,102205000,112225000,102691000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,6300000,9100000,9500000,9745000,12517000,9831000,9673000,12337000,13072000,11063000,22788000,25359000,29818000,13024000,19296000,20020000,22905000,15276000,11072000,11026000,10901000,14186000,12006000,9577000,10365000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,2100000,1000000,1700000,2774000,2745000,11100000,2415000,11864000,1334000,1562000,9191000,14532000,12793000,3914000,3082000,2736000,5419000,8274000,17032000,14006000,4471000,8026000,9530000,11075000,8169000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,664000,1155000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2432000,9143000,9594000,8022000,4866000,3740000,7203000,5277000,3375000,2850000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,9000000,9400000,11500000,11234000,11230000,9841000,8999000,8917000,10887000,11610000,17961000,16512000,27660000,21344000,17875000,14298000,11734000,20340000,15624000,36818000,10936000,9765000,10275000,8812000,6868000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,17400000,19500000,22700000,23753000,26492000,30772000,21087000,33118000,25293000,24235000,49940000,56403000,70271000,38282000,40253000,39486000,49201000,53484000,51750000,66716000,30048000,39180000,37088000,32839000,28252000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,23900000,35300000,36300000,33755000,36421000,21100000,29261000,16661000,26205000,29724000,29844000,19708000,42090000,34072000,36192000,34682000,36603000,23469000,12603000,1493000,7258000,7728000,6751000,17931000,19442000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,1100000,1500000,2200000,1974000,2090000,1143000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,309000,160000,1829000,1242000,1435000,1052000,914000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,600000,1000000,466000,983000,1527000,2016000,2275000,2748000,2866000,2840000,4521000,4609000,5631000,8409000,10760000,9420000,9680000,10353000,726000,3063000,4622000,4571000,4774000,4770000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,25000000,37400000,39500000,36195000,39494000,23770000,31277000,18936000,28953000,32590000,32684000,24229000,46699000,39703000,44601000,45442000,46023000,33149000,23265000,2379000,12150000,13592000,12757000,23757000,25126000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12254000,14576000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,42400000,56900000,62200000,59948000,65986000,54542000,52364000,52054000,54246000,56825000,82624000,80632000,116970000,77985000,84854000,84928000,95224000,86633000,75015000,69095000,42198000,52772000,49845000,56596000,53378000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000,49000,49000,49000,49000,52000,53000,55000,68000,68000,68000,69000,69000,69000,72000,73000,74000,76000,77000,79000,80000,82000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,11500000,14200000,14600000,16973000,18099000,17725000,6197000,5100000,7913000,8444000,13037000,12234000,18923000,23594000,28104000,22802000,4553000,25580000,25324000,20193000,8515000,-3103000,-3632000,-715000,-8357000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-5100000,-7000000,-9500000,-11788000,-14353000,-16623000,-19844000,-23151000,-25140000,-27477000,-30305000,-34414000,-38993000,814000,1000000,-1000000,-1000000,-1000000,-5000000,-4000000,-3000000,-1000000,-3000000,-3760000,-3287000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,26500000,28800000,30700000,32594000,35004000,36836000,40210000,44875000,48445000,50790000,56029000,81892000,84180000,- -,49248000,50248000,50633000,51984000,53126000,52761000,53822000,55838000,58913000,- -,60875000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,32900000,36000000,35800000,37828000,38799000,37987000,26612000,26873000,31270000,31810000,38816000,59780000,64178000,72562000,78421000,72119000,54255000,76636000,73523000,69028000,59413000,51812000,52360000,55629000,49313000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,75300000,92900000,98000000,97776000,104785000,92529000,78976000,78927000,85516000,88635000,121440000,140412000,181148000,150547000,163275000,157047000,149479000,163269000,148538000,138123000,101611000,104584000,102205000,112225000,102691000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,75300000,92900000,98000000,97776000,104785000,92529000,78976000,78927000,85516000,88635000,121440000,140412000,181148000,150547000,163275000,157047000,149479000,163269000,148538000,138123000,101611000,104584000,102205000,112225000,102691000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914122/000091412206000017/0000914122-06-000017-index.htm,https://www.sec.gov/Archives/edgar/data/914122/000091412207000017/0000914122-07-000017-index.html,https://www.sec.gov/Archives/edgar/data/914122/000116923208001793/0001169232-08-001793-index.html,https://www.sec.gov/Archives/edgar/data/914122/000091412209000023/0000914122-09-000023-index.html,- -,https://www.sec.gov/Archives/edgar/data/914122/000091412211000003/0000914122-11-000003-index.html,https://www.sec.gov/Archives/edgar/data/914122/000091412212000005/0000914122-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/914122/000091412213000022/0000914122-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/914122/000091412214000010/0000914122-14-000010-index.html,https://www.sec.gov/Archives/edgar/data/914122/000091412215000008/0000914122-15-000008-index.html,https://www.sec.gov/Archives/edgar/data/914122/000091412216000052/0000914122-16-000052-index.html,https://www.sec.gov/Archives/edgar/data/914122/000091412217000012/0000914122-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/914122/000091412218000007/0000914122-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/914122/000143774919007256/0001437749-19-007256-index.html,- -,https://www.sec.gov/Archives/edgar/data/914122/000143774921009033/0001437749-21-009033-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,700000,1100000,1500000,1200000,2400000,3200000,2800000,300000,2401000,1126000,-374000,-11528000,-1097000,2813000,531000,4593000,-298000,6689000,4671000,4510000,-4987000,-18485000,21027000,-256000,-4409000,-11678000,-9976000,-529000,3576000,-7642000
74,Depreciation and Amortization,- -,- -,200000,200000,200000,900000,1300000,1800000,2700000,3500000,3893000,4124000,4110000,- -,- -,3779000,3522000,4067000,4431000,5776000,6338000,6070000,5582000,5806000,5785000,5897000,5929000,5521000,5031000,4575000,4437000,4739000
75,Deferred Income Tax,- -,- -,- -,- -,100000,-300000,100000,-200000,300000,-300000,454000,-293000,-89000,365000,-1259000,-184000,-234000,89000,-1913000,-71000,-1231000,-3914000,-2095000,11849000,-3190000,1439000,-249000,-33000,-958000,215000,-213000,-669000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1076000,895000,621000,484000,196000,124000,278000,389000,1447000,1165000,1011000,1044000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,27800000,3500000,-1800000,-1758000,1737000,-14639000,9149000,-15230000,17573000,2211000,2191000,8810000,18440000,24638000,1789000,-15867000,-7803000,12463000,-11756000,-5520000,-2556000,-4638000,2734000,-5140000,-5793000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24309000,-449000,8075000,318000,-18592000,3314000,-2809000,13698000,-1076000,-354000,1749000,3394000
79,Inventory,- -,- -,200000,200000,-1500000,-200000,- -,100000,-1400000,-1800000,1240000,-718000,2378000,-7000,1594000,-2659000,-2662000,-12029000,-5452000,-8297000,15273000,1706000,-4593000,-2080000,8608000,3348000,4027000,5452000,-3274000,4360000,-2225000,2418000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9765000,4820000,1308000,2908000,-4438000,-4612000,5819000,-1917000,4551000,-3576000,-2609000,730000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,27800000,31300000,29500000,27742000,29479000,14840000,23989000,8759000,26332000,28543000,30734000,39544000,57984000,1472000,58815000,42948000,35145000,47608000,35852000,30332000,27776000,23138000,25872000,-2894000,25623000
82,Other Non-Cash Items,- -,- -,-100000,-400000,-800000,-5500000,-4900000,-27900000,-9600000,1400000,1106000,-3589000,19554000,4904000,24377000,-24230000,-3896000,-17860000,-18380000,-32999000,-905000,-663000,16556000,13497000,-29881000,8658000,1074000,4126000,7252000,-3182000,419000,8486000
83,Cash Provided by Operating Activities,- -,- -,800000,900000,1000000,-3700000,-1100000,4700000,-300000,3100000,6096000,3105000,8562000,2890000,6791000,-249000,2134000,-6920000,-7350000,-2165000,34587000,8687000,-190000,5348000,6400000,4106000,-2897000,-4231000,-1842000,4978000,4090000,165000
84,CAPEX,- -,- -,- -,-800000,-800000,-1800000,-2300000,-2700000,-4400000,-9200000,-5032000,-5534000,-3455000,-1185000,-4102000,-1755000,-6315000,-8269000,-5763000,-18464000,-5262000,-4030000,-10086000,-5360000,-2761000,-5878000,-6457000,-2257000,-2532000,-1361000,-1902000,-1963000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -,-279000,- -,- -,- -,- -,- -,- -,15172000,109000,16373000,4934000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1960000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,544000,- -,- -,- -,- -,- -,- -,- -,- -,3185000,142000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-3400000,-600000,-5700000,900000,-6300000,3600000,1440000,-326000,1561000,-57000,903000,1854000,316000,460000,149000,297000,17000,96000,18000,-6254000,-2745000,-5854000,-2508000,2099000,-2531000,-1361000,-1902000,-1961000
89,Cash Used for Investing Activites,- -,- -,- -,-800000,-4200000,-2400000,-8000000,-1800000,-10700000,-5600000,-3592000,-5860000,-1894000,-1742000,-3199000,99000,-5999000,-8088000,-5070000,-18167000,-7205000,-3934000,-10068000,-6254000,12427000,-5745000,13865000,10218000,-2389000,-1361000,-1902000,-1961000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-211182000,-149102000,-196964000,-189684000,-93133000,-86791000,-109838000,-59454000,-37565000,-63109000,-73331000,-43995000
91,Common Stock Issued,- -,- -,- -,- -,7300000,1100000,- -,- -,100000,100000,- -,- -,- -,- -,- -,1476000,146000,1160000,19264000,83000,- -,- -,210000,- -,- -,- -,- -,120000,170000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-290000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-4300000,4500000,9100000,- -,8500000,1900000,-2358000,2247000,-6804000,-702000,-3599000,-1173000,4057000,13225000,-4433000,21472000,188267000,152498000,194888000,193482000,81394000,86245000,107103000,44389000,40851000,64243000,73030000,39851000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,3000000,5600000,9100000,- -,8600000,2000000,-2358000,2247000,-6804000,-702000,-3599000,303000,4203000,14385000,14831000,21555000,-22915000,3396000,-1866000,3798000,-11739000,-546000,-3025000,-14945000,3456000,1134000,-301000,-4144000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60000,132000,-35000,-219000,-185000,-82000,53000,74000,-311000,-1153000,865000,502000,-385000,-66000,-727000,-702000,-1212000,-70000,395000,-335000,34000,-343000
97,Net Change In Cash,- -,- -,- -,- -,3000000,5600000,9100000,- -,8600000,2000000,86000,-375000,-171000,227000,-192000,71000,391000,-549000,2100000,70000,5332000,8651000,-12509000,2826000,6361000,-2887000,6731000,-9028000,-380000,4416000,1921000,-6283000
