,https://roic.ai/company/MPW,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,-44668273,4102844316638,-33963049,16698000,- -,- -,- -,- -,- -,58584000,27028000,44285000,55176000,61757000,90342000,87948000,- -
37,Total Current Assets,- -,29279863,4102873000000,94215134,169809000,62691000,153496000,166581000,277703000,311297000,876557000,1016485000,457805000,641419000,1502526000,2463048000,2032870000,2572631000
38,PP&E,150211823,371219561,651067945,820191516,1141631000,1123337000,921271000,1128569000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,35004000,43093000,- -,- -,- -,- -,- -,- -,- -,- -,1299081000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,35004000,43093000,- -,- -,- -,- -,- -,- -,- -,- -,1299081000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129337000,177430000,288398000,520058000,926990000,1123623000,1181025000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,100674122,-4102779311200,137254036,- -,123870000,239043000,283631000,1901183000,2593273000,2870779000,4463529000,5783301000,8090471000,6821059000,11077293000,12373440000,16766145000
45,Total Non-Current Assets,- -,471893683,-4102128243255,957445552,1141631000,1247207000,1195318000,1455293000,1901183000,2593273000,2870779000,4592866000,5960731000,8378869000,7341117000,12004283000,14796144000,17947170000
46,Other Assets,306506063,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,306506063,501173546,744756745,1051660686,1311440000,1309898000,1348814000,1621874000,2178886000,2904570000,3747336000,5609351000,6418536000,9020288000,8843643000,14467331000,16829014000,20519801000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,438750000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,369969691,- -,125000000,105000000,593490000,1100000000,290000000,840810000,28059000,- -,165407000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,16110000,15350000,23137000,23307000,- -,- -,- -,- -,- -,- -,- -,- -,36177000,25563000
52,Other Current Liabilities,- -,44400000,52900000,58000000,38363000,29247000,-333995691,51125000,65961000,94311000,112623000,137356000,207711000,211188000,204325000,291489000,-36177000,607792000
53,Total Current Liabilities,- -,44400000,52900000,58000000,54473000,44597000,59111000,74432000,190961000,199311000,706113000,1237356000,497711000,1051998000,232384000,291489000,604157000,633355000
54,Long-Term Debt,56000000,100484520,304961898,480525166,638366000,576678000,369970000,689849000,900160000,1316681000,1608164000,2222541000,2619341000,4057857000,4009330000,7023679000,8700051000,11440775000
55,Deferred Revenue,3578229,10922317,14615609,20839338,- -,- -,23136926,- -,20609000,23787000,27207000,29358000,19933000,18178000,13467000,16098000,36177000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,-10906837,28522493,-20864504,- -,17048000,-2979926,28778000,17342000,20583000,23805000,12831000,28323000,57050000,27524000,107911000,144772000,- -
58,Total Non-Current Liabilities,59578229,100500000,348100000,480500000,638366000,593726000,390127000,718627000,938111000,1361051000,1659176000,2264730000,2667597000,4133085000,4050321000,7147688000,8881000000,11440775000
59,Other Liabilities,133355848,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,13645259,17048000,20156716,- -,17342000,20583000,23805000,12831000,28323000,57050000,27524000,107911000,144772000,158005000
61,Total Liabilities,73777619,142722538,399983774,538385139,692839000,638323000,449238000,793059000,1129072000,1560362000,2365289000,3502086000,3165308000,5185083000,4282705000,7439177000,9485157000,12074130000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,26083,39345,39586,52133,65000,79000,110000,111000,136000,161000,172000,237000,321000,364000,371000,518000,541000,597000
64,Retained Earnings,-1924329,-3350565,-12996468,-27170405,-56698000,-88093000,-148530000,-214059000,-233494000,-264804000,-361330000,-418650000,-434114000,-485932000,162768000,83012000,-71411000,-87691000
65,Other Comprehensive Income/Loss,-1311757,-5260219,-10758514,-22712733,-40334000,-60302000,-4000000,-12000000,-12000000,-9000000,-22000000,-73000000,-93000000,-26000000,-58000000,-63000000,-51324000,-36727000
66,Other Total Stockholders Equity,234938447,364848581,367436532,562951448,715325000,819761000,1051882000,1054763000,1295172000,1617851000,1765205000,2593681000,3775171000,4332201000,4441969000,7007517000,7460726000,8564009000
67,Total Stockholders Equity,231728444,356277142,343721136,513120443,618358000,671445000,899462000,828815000,1049814000,1344208000,1382047000,2102268000,3248378000,3820633000,4547108000,7028047000,7338532000,8440188000
68,Total Liabilities And Stockholders Equity,305506063,498999680,743704910,1051505582,1311197000,1309768000,1348700000,1621874000,2178886000,2904570000,3747336000,5604354000,6413686000,9005716000,8829813000,14467224000,16823689000,20514318000
69,Minority Interest,1000000,2173866,1051835,155104,243000,130000,114000,- -,- -,- -,- -,4997000,4850000,14572000,13830000,107000,5325000,5483000
70,Total Liabilities & Equity,306506063,501173546,744756745,1051660686,1311440000,1309898000,1348814000,1621874000,2178886000,2904570000,3747336000,5609351000,6418536000,9020288000,8843643000,14467331000,16829014000,20519801000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1287865/000095014406003009/0000950144-06-003009-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000095014407002280/0000950144-07-002280-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000095014408001915/0000950144-08-001915-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000095014409002209/0000950144-09-002209-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000095012310012354/0000950123-10-012354-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000095012311018950/0000950123-11-018950-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000119312512089355/0001193125-12-089355-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000119312513071643/0001193125-13-071643-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000119312514080657/0001193125-14-080657-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000119312515073689/0001193125-15-073689-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000119312516485612/0001193125-16-485612-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000119312517065943/0001193125-17-065943-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000119312518067584/0001193125-18-067584-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000156459019005843/0001564590-19-005843-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000156459020006950/0001564590-20-006950-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000156459021009901/0001564590-21-009901-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000156459022008100/0001564590-22-008100-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,4576349,19640347,30159698,41239639,34487000,36330000,22913000,26536000,89900000,96991000,50522000,139598000,225048000,289793000,1016685000,374684000,431450000,656021000
74,Depreciation and Amortization,1517530,4567675,8318303,13172548,26535000,26309000,26312000,35477000,35593000,38818000,55162000,71827000,97601000,131979000,141492000,156575000,275953000,333781000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,6385000,5488000,6616000,6983000,7637000,8832000,9165000,11122000,7942000,9949000,16505000,32188000,47154000,52110000
77,Change in Working Capital,6124585,-15120137,4102835220137,-4102783884866,79120866,-97242000,76291000,-2236000,-5407000,25244000,58458000,-391315000,180965000,-370673000,1680721000,901417000,-742846000,-12680817000
78,Accounts Receivable,-729545,-2799202,-2693111,2974229,- -,- -,- -,- -,-17261000,-13211000,-3856000,-5599000,-13247000,-21116000,46498000,12906000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,6854130,6295115,6035331,-6754157,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54058000
81,Other Working Capital,- -,-15120137,4102820100000,36215134,115336000,18094000,94385000,92149000,86742000,111986000,170444000,-220871000,-39906000,-410579000,1270142000,2171559000,1428713000,-11252104000
82,Other Non-Cash Items,-2299566,15213379,-4102831614797,4102766302296,-76610866,91866000,-71495000,12510000,-22414000,-29084000,-22864000,375764000,-246873000,302053000,-2406315000,-970747000,605925000,12450561000
83,Cash Provided by Operating Activities,9918898,24301264,42083341,36829617,69917000,62751000,60637000,79270000,105309000,140801000,150443000,206996000,264683000,363101000,449088000,494117000,617636000,811656000
84,CAPEX,-128131582,-97813601,-235770706,-212980850,-430710000,-421000,-144446000,-269510000,26632000,-9043000,-67684000,-127197000,27558000,-9450000,1459699000,27968000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-138000000,-279000000,-621000000,-655000000,-768000000,-2219000000,-1682000000,-2247000000,-1431000000,-4566000000,- -,- -
86,Purchases of Investments,- -,-45999178,-68733148,-130297234,-95567000,-23243000,-20928000,-41530000,-31908000,-52115000,-13126000,-17339000,-119423000,-94970000,-138441000,-293163000,-36180000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,4305000,- -,- -,- -,- -,- -,- -,50000000,- -,- -,- -,- -,65546000
88,Other Investing Activites,-67469060,-70887885,7642332,143097352,157614000,7223000,326155000,324419000,35780000,-5462000,-68897000,290718000,824879000,-20096000,2133619000,-24794000,-2910593000,-3923959000
89,Cash Used for Investing Activites,-195600642,-214700664,-296861522,-200180732,-368663000,-12136000,22781000,-265621000,-617128000,-712577000,-850023000,-1945621000,-926544000,-2362066000,564178000,-4883957000,-2946773000,-3858413000
90,Debt Repayment,-300000,-60645833,-118607528,-427556088,-267900000,-57032000,-353965000,-246262000,-232000,-11249000,-100266000,-283000,-575299000,-1038221000,-811718000,-65736000,-800000000,-1390994000
91,Common Stock Issued,233703474,125347302,- -,135809396,128331000,68003000,288066000,- -,233048000,313331000,138173000,817389000,1173651000,547785000,94239000,2533210000,411101000,1051229000
92,Common Stock Repurchased,- -,-75000,- -,-262343,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-2608286,-16730414,-36105732,-53078830,-65098000,-61649000,-77087000,-89601000,-103952000,-120309000,-144365000,-182980000,-218393000,-326729000,-363906000,-411697000,-567969000,-643473000
94,Other Financing Activites,52330233,104075500,354478482,598551241,420946000,3622000,142669000,526532000,317540000,398051000,909021000,1166564000,172604000,2887442000,735515000,2986107000,2357942000,3930846000
95,Cash Used/Provided by Financing Activities,283125421,151971555,199765222,253463376,216279000,-47056000,-317000,190669000,446404000,579824000,802563000,1800690000,552563000,2070277000,-345870000,5041884000,1401074000,2947608000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,620000,-4421000,-11065000,-3003000,16920000,-17218000,-6478000,16441000,4662000
97,Net Change In Cash,97443677,-38427845,-55012959,90112261,-82467000,3559000,83101000,4318000,-65415000,8668000,98562000,51000000,-112301000,88232000,650178000,645566000,-911622000,-94487000
98,Cash at the End of Period,97543677,59115832,4102873,94215134,11748000,15307000,98408000,102726000,37311000,45979000,144541000,195541000,83240000,171472000,822425000,1467991000,556369000,461882000
99,Cash at the Beginning of Period,100000,97543677,59115832,4102873,94215000,11748000,15307000,98408000,102726000,37311000,45979000,144541000,195541000,83240000,172247000,822425000,1467991000,556369000
100,Free Cash Flow,-118212684,-73512337,-193687365,-176151233,-360793000,62330000,-83809000,-190240000,105309000,140801000,150443000,206996000,264683000,363101000,449088000,494117000,617636000,811656000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1287865/000095014406003009/0000950144-06-003009-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000095014407002280/0000950144-07-002280-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000095014408001915/0000950144-08-001915-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000095014409002209/0000950144-09-002209-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000095012310012354/0000950123-10-012354-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000095012311018950/0000950123-11-018950-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000119312512089355/0001193125-12-089355-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000119312513071643/0001193125-13-071643-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000119312514080657/0001193125-14-080657-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000119312515073689/0001193125-15-073689-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000119312516485612/0001193125-16-485612-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000119312517065943/0001193125-17-065943-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000119312518067584/0001193125-18-067584-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000156459019005843/0001564590-19-005843-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000156459020006950/0001564590-20-006950-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000156459021009901/0001564590-21-009901-index.htm,https://www.sec.gov/Archives/edgar/data/1287865/000156459022008100/0001564590-22-008100-index.htm
102,false,,,,,,,,,,,,,,,,,,
