,https://roic.ai/company/BTN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,587000,11354000,6542000,- -
61,Total Liabilities,14700000,8500000,11200000,22000000,20900000,16116954,9725978,6618568,8145678,7647602,6938422,7518553,11098650,11989092,17692634,39654612,50233000,32630000,28988000,24608000,22352000,17048000,14892000,28639000,31924000,28433000,23532000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,100000,146105,146461,147059,148146,150908,154953,158243,159562,161685,162836,164531,167000,167000,167000,168000,169000,169000,169000,169000,174000,176000,213000
64,Retained Earnings,- -,5000000,12700000,15600000,23400000,19443548,15390920,11786257,12364767,17438096,21746993,23315185,23543316,20839737,22580144,31013597,41361000,46903000,47066000,47062000,29595000,29885000,25570000,13319000,6001000,5654000,23591000
65,Other Comprehensive Income/Loss,-2200000,-2600000,-3400000,-4800000,-6900000,-9015693,-9709677,-9005041,-9681357,-10441921,-11426647,14746,16406,-1580124,-175421,340217,-56000,315000,-769000,-2186000,-6155000,-5476000,-3596000,-5378000,-4469000,-3891000,-3748000
66,Other Total Stockholders Equity,7300000,21600000,26300000,23800000,23300000,25435026,26143974,25462654,26257533,27376355,29522206,18900773,19322414,19702548,19950107,20858474,21751000,19531000,19992000,20418000,20903000,21274000,21979000,22888000,24003000,25127000,32221000
67,Total Stockholders Equity,5100000,24000000,35600000,34600000,39900000,36008986,31971678,28390929,29089089,34523438,39997505,42388947,43041698,39123846,42517666,52376819,63223000,66916000,66456000,65462000,44512000,45852000,44122000,30998000,25709000,27066000,52277000
68,Total Liabilities And Stockholders Equity,19800000,32500000,46800000,56600000,60800000,52125940,41697656,35009497,37234767,42171040,46935927,49907500,54140348,51112938,60210300,92031431,113456000,99546000,95444000,90070000,66864000,62900000,59014000,59637000,57633000,55499000,75809000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,19800000,32500000,46800000,56600000,60800000,52125940,41697656,35009497,37234767,42171040,46935927,49907500,54140348,51112938,60210300,92031431,113456000,99546000,95444000,90070000,66864000,62900000,59014000,59637000,57633000,55499000,75809000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/946454/000091205797011457/0000912057-97-011457-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946454/000091205702012936/0000912057-02-012936-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000104746903011277/0001047469-03-011277-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000091205704000338/0000912057-04-000338-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000110465905013847/0001104659-05-013847-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000110465906021094/0001104659-06-021094-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000110465907024871/0001104659-07-024871-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000104746908003944/0001047469-08-003944-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000104746909002757/0001047469-09-002757-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000104746910002627/0001047469-10-002627-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000104746911002228/0001047469-11-002228-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000104746912002480/0001047469-12-002480-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000143774913002596/0001437749-13-002596-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000143774914004182/0001437749-14-004182-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000143774915004315/0001437749-15-004315-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000149315216007878/0001493152-16-007878-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000149315217002510/0001493152-17-002510-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000149315218003429/0001493152-18-003429-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000149315219003195/0001493152-19-003195-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000149315220004033/0001493152-20-004033-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000149315221005768/0001493152-21-005768-index.htm,https://www.sec.gov/Archives/edgar/data/946454/000149315222007686/0001493152-22-007686-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3000000,5000000,7700000,8300000,7800000,-3925912,-4052628,-3604663,578510,5073329,4308897,1568192,228131,-2703579,2070518,8433453,10347000,5542000,163000,-4000,-17467000,290000,-3617000,-12327000,-10103000,-347000,12214000
74,Depreciation and Amortization,500000,600000,1000000,1900000,2500000,2823388,2837040,1474590,1203939,1082360,1136822,1117532,2151530,2338962,1752550,1490246,1757000,1268000,1511000,1924000,2332000,2187000,2140000,2712000,5265000,1972000,1306000
75,Deferred Income Tax,-200000,- -,-300000,- -,100000,-665725,-319081,1322515,- -,-1064583,-26114,-1084828,34876,-1554796,708846,242467,-1211000,71000,1339000,-4533000,9193000,-213000,1062000,-250000,-52000,374000,2511000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271498,379325,381129,373000,393000,461000,426000,501000,466000,736000,837000,1120000,1136000,892000
77,Change in Working Capital,-900000,11100000,7700000,3600000,3400000,-12762990,-487467,-1954807,1611650,6093307,5727639,2346761,-2584232,-10579565,13994863,4595593,10103248,6393000,-8236000,-3931000,-16551000,-8285000,-6332000,-1461000,-6383000,1003000,5974000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,665543,-1875812,-7272972,-16480000,6402000,8932000,759000,8044000,-4220000,4887000,-3540000,1753000,1465000,1126000
79,Inventory,-1400000,-2600000,-4700000,-3100000,-4800000,3489932,7721994,2894187,-428128,285886,2231901,361625,-7119818,223246,-4406796,-15655882,13684000,4265000,689000,1149000,1893000,718000,1508000,1020000,770000,26000,95000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293331,3320026,20774007,1418000,-15534000,-4813000,-3732000,-1588000,931000,-1687000,1399000,587000,103000,2095000
81,Other Working Capital,8600000,19700000,27400000,31000000,34400000,21637010,21149543,19194736,20806386,26899693,32627332,34974093,32389861,21810296,35805159,40400752,50504000,56897000,48661000,44730000,28179000,19894000,13562000,12101000,5718000,187000,7646000
82,Other Non-Cash Items,- -,-15800000,-10800000,-13300000,-6400000,18781641,9563695,8268448,-876050,-5278973,-5599468,851007,-1671614,16581069,-16538935,-11499656,-1317248,-14096000,13266000,2446000,29974000,2093000,5898000,3264000,12352000,2730000,-20858000
83,Cash Provided by Operating Activities,2400000,900000,5300000,500000,7400000,4250402,7541559,5506083,2518049,5905440,5547776,4798664,-1841309,4353589,2367167,3643232,20052000,-429000,8504000,-3672000,7982000,-3462000,-113000,-7225000,2199000,6868000,2039000
84,CAPEX,-200000,-1000000,-3500000,-7500000,-2700000,-1785581,-705555,-182217,-406717,-1131792,-827302,-514927,-613410,-818626,-907659,-6811667,-2886000,-2541000,-529000,-1982000,-442000,-3762000,-3275000,-1984000,-2467000,-545000,-1527000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1508258,-1269814,-8751,- -,- -,- -,- -,-18810000,- -,- -,- -,- -,- -,- -,-4000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-611391,-1429417,-94395,- -,- -,- -,- -,- -,- -,-5983000,-7048000,-2525000,- -,- -,- -,- -
