,https://roic.ai/company/BHE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,1900000,3100000,3300000,4700000,7000000,9100000,9500000,14482867,23952000,26890000,20276000,28430000,-58293000,54966000,83010000,94153000,105814000,131757000,101360000,-157488000,51921000,88293000,41132000,75439000,116177000,99850000,90039000,68188000,72782000,55541000,27269000,17293000,45407000
21,Income Before Tax Ratio,- -,- -,- -,0.1050,0.1455,0.0991,0.0929,0.0922,0.0927,0.0975,0.0719,0.0736,0.0513,0.0231,0.0167,-0.0457,0.0337,0.0451,0.0470,0.0469,0.0453,0.0348,-0.0608,0.0249,0.0368,0.0183,0.0306,0.0464,0.0357,0.0354,0.0295,0.0295,0.0216,0.0120,0.0084,0.0201
22,Income Tax expense (Gain),- -,- -,- -,500000,1100000,1200000,1600000,2500000,3300000,3400000,5619352,8862000,10518000,7005000,8529000,-3981000,19073000,27574000,23162000,25225000,20080000,8078000,-21856000,-1974000,7258000,-10827000,18832000,5018000,17408000,-5362000,4141000,104747000,32724000,3844000,3238000,9637000
23,Net Income,- -,- -,- -,1400000,2000000,2100000,3100000,4600000,5800000,6100000,8863515,15090000,16372000,11974000,19901000,-54312000,35893000,55436000,70991000,80589000,111677000,93282000,-135632000,53895000,81035000,51959000,56607000,111159000,82442000,95401000,64047000,-31965000,22817000,23425000,14055000,35770000
24,Net Income ratio,- -,- -,- -,0.0773,0.0939,0.0631,0.0613,0.0606,0.0591,0.0626,0.0440,0.0464,0.0312,0.0136,0.0117,-0.0425,0.0220,0.0301,0.0355,0.0357,0.0384,0.0320,-0.0524,0.0258,0.0337,0.0231,0.0229,0.0443,0.0295,0.0375,0.0277,-0.0130,0.0089,0.0103,0.0068,0.0159
25,EPS,- -,- -,- -,0.15,0.17,0.15,0.19,0.25,0.32,0.33,0.43,0.58,0.63,0.38,0.50,-1.23,0.69,0.97,1.15,1.29,1.74,1.29,-2.02,0.83,1.30,0.88,1.01,2.05,1.54,1.85,1.30,-0.64,0.49,0.61,0.38,0.98
26,EPS Diluted,- -,- -,- -,0.15,0.17,0.15,0.19,0.25,0.32,0.33,0.43,0.56,0.60,0.36,0.47,-1.23,0.67,0.93,1.11,1.25,1.71,1.28,-2.02,0.83,1.29,0.87,1.00,2.03,1.52,1.83,1.29,-0.64,0.49,0.60,0.38,0.97
27,Weighted Average Shares Outstanding,- -,- -,- -,9535940,11830259,14303910,16590582,18139731,18361926,18281700,20749671,25893915,26087109,31682778,39550500,44156250,51606000,57186000,61701000,62682000,64306000,72061000,67060000,64758000,62141000,59284000,56320000,54213000,53538000,51573000,49298000,49680000,46332000,38338000,36524000,36524000
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,9535940,11830259,14303910,16590582,18463663,18361926,18281700,20749671,27109597,27221285,33772144,42115500,44156250,53397000,62148000,63697500,64279500,65121000,72829000,67060000,65116000,62692000,59773000,56634000,54779000,54222000,52088000,49825000,49680000,46655000,38763000,36817000,36817000
29,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/863436/000089056699000406/0000890566-99-000406-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/863436/000104746903010138/0001047469-03-010138-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000104746904007820/0001047469-04-007820-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000110465905011357/0001104659-05-011357-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000110465906016084/0001104659-06-016084-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000110465907015596/0001104659-07-015596-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000110465908013833/0001104659-08-013833-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420409011400/0001144204-09-011400-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420410010661/0001144204-10-010661-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420411011119/0001144204-11-011119-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420412011728/0001144204-12-011728-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420413011827/0001144204-13-011827-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343614000006/0000863436-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343615000005/0000863436-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343616000039/0000863436-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343617000003/0000863436-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343618000005/0000863436-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343619000006/0000863436-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343620000009/0000863436-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000156459021009779/0001564590-21-009779-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000095017022002119/0000950170-22-002119-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,100000,3600000,3100000,6200000,5600000,6800000,2800000,13800013,21029000,23076000,9437000,23541000,59879000,312576000,356140000,124862000,110845000,123872000,199198000,359694000,421243000,346345000,283920000,384579000,345555000,427376000,465995000,681433000,742546000,458102000,347558000,390808000,271749000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242506000,215960000,100460000,182825000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,100000,3600000,3100000,6200000,5600000,6800000,2800000,13800013,21029000,23076000,9437000,23541000,59879000,312576000,356140000,367368000,326805000,224332000,382023000,359694000,421243000,346345000,283920000,384579000,345555000,427376000,465995000,681433000,742546000,458102000,347558000,390808000,271749000
34,Net Receivables,- -,- -,- -,2500000,4000000,6600000,8400000,12500000,16300000,20600000,39570493,40086000,58298000,200590000,277620000,181732000,178957000,208810000,251305000,365568000,462953000,485907000,422058000,420794000,458367000,432603000,467143000,562994000,520961000,479296000,440838000,436680000,608449000,486604000,452527000,511126000
35,Inventory,- -,- -,- -,2500000,4500000,5800000,8300000,18900000,13200000,23000000,48100338,61134000,53718000,214554000,346463000,197278000,195670000,238629000,256876000,361554000,420347000,361952000,343163000,315743000,362234000,391580000,324041000,396699000,401261000,411986000,381334000,397181000,309975000,314956000,327377000,523240000
36,Other Current Assets,- -,- -,- -,- -,3600000,100000,7400000,5000000,2200000,600000,1910976,2905000,4387000,17832000,21547000,22008000,21129000,28113000,26020000,30579000,62978000,75409000,39034000,40895000,52069000,92898000,38428000,37585000,38955000,31351000,28057000,42263000,27024000,45964000,31639000,42029000
37,Total Current Assets,- -,- -,- -,5100000,15700000,15600000,30300000,42000000,38500000,47000000,103381820,125154000,139479000,442413000,669171000,460897000,708332000,831692000,901569000,1084506000,1170610000,1305291000,1163949000,1198675000,1219015000,1201001000,1214191000,1342833000,1388553000,1388628000,1531662000,1618670000,1403550000,1195082000,1202351000,1348144000
38,PP&E,- -,- -,- -,1500000,1600000,4300000,4100000,5400000,9900000,10100000,30634703,30816000,45561000,122008000,136388000,93805000,94040000,85265000,71569000,94140000,110912000,144182000,134618000,126250000,127442000,163660000,176104000,185319000,190180000,178170000,166148000,186473000,210954000,282678000,265238000,285824000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24350291,22681000,48906000,172791000,166514000,- -,- -,- -,- -,- -,112999000,283725000,37912000,37912000,37912000,23989000,37912000,44691000,45970000,199290000,191616000,191616000,192116000,192116000,192116000,269912000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119209000,119823000,113478000,112853000,112978000,- -,- -,- -,- -,- -,13923000,- -,- -,- -,- -,- -,- -,- -,75793000,69977000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24350291,22681000,48906000,172791000,166514000,119209000,119823000,113478000,112853000,112978000,112999000,283725000,37912000,37912000,37912000,37912000,37912000,44691000,45970000,199290000,191616000,191616000,192116000,267909000,262093000,269912000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,45686000,35297000,24673000,10324000,9921000,1008000,927000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21656000,17713000,19735000,37420000,29535000,33856000,25017000,14088000,6572000,4034000,2478000,5274000,4924000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,100000,100000,- -,- -,-100000,-100000,9806717,11671000,7950000,23625000,19148000,12194000,10056000,7603000,6010000,6784000,11599000,29650000,32786000,39484000,38331000,35332000,33411000,40751000,28161000,112775000,102670000,96524000,90685000,8931000,9629000,- -
45,Total Non-Current Assets,- -,- -,- -,1500000,1700000,4400000,4100000,5400000,9800000,10000000,64791711,65168000,102417000,318424000,322050000,225208000,223919000,206346000,190432000,213902000,235510000,457557000,274972000,267045000,258717000,298997000,287286000,314538000,290336000,505250000,467006000,478647000,496233000,564792000,541884000,555736000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,6600000,17400000,20000000,34400000,47400000,48300000,57000000,168173531,190322000,241896000,760837000,991221000,686105000,932251000,1038038000,1092001000,1298408000,1406120000,1762848000,1438921000,1465720000,1477732000,1499998000,1501477000,1657371000,1678889000,1893878000,1998668000,2097317000,1899783000,1759874000,1744235000,1903880000
48,Accounts Payable,- -,- -,- -,- -,2200000,2800000,3600000,11800000,6400000,9100000,24350291,31694000,37046000,215971000,268358000,144150000,212938000,268034000,257054000,371887000,335470000,359422000,288045000,275900000,257295000,285671000,260622000,320953000,289786000,251163000,326249000,362701000,422053000,302994000,282208000,426555000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239165,156000,8199000,19184000,20275000,22367000,28628000,21017000,- -,- -,- -,430000,256000,300000,362000,419000,497000,582000,676000,12284000,12396000,18274000,6793000,8825000,9161000,985000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6464000,4846000,5224000,3828000,9570000,5470000,5069000,3534000,11662000,10435000,7895000,5572000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84122000,118124000
52,Other Current Liabilities,- -,- -,- -,2300000,600000,500000,900000,1100000,1200000,600000,6206716,5425000,7970000,29333000,33220000,26541000,74393000,76762000,74577000,66256000,74248000,61208000,53230000,63380000,63690000,65860000,69396000,76842000,68636000,69647000,73736000,97341000,108313000,147426000,105645000,108718000
53,Total Current Liabilities,- -,- -,- -,2300000,2800000,3300000,4500000,12900000,7600000,9700000,30796172,37275000,53215000,264488000,321853000,193058000,315959000,365813000,331631000,438143000,409718000,421060000,341531000,339580000,321347000,351950000,330515000,398377000,359098000,333094000,412381000,478316000,537159000,459245000,481136000,654382000
54,Long-Term Debt,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,30485333,30330000,46110000,202810000,173700000,124895000,108539000,11000,- -,- -,- -,12096000,11683000,- -,- -,- -,- -,- -,- -,222909000,211252000,- -,- -,138912000,131051000,220167000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,100000,200000,200000,300000,300000,600000,700000,1892612,1846000,4570000,5665000,9672000,8699000,5777000,5003000,6422000,11686000,9074000,9408000,- -,- -,- -,- -,1756000,2071000,2106000,- -,- -,7027000,14323000,13504000,4788000,- -
57,Other Non-Current Liabilities,- -,- -,- -,600000,200000,200000,- -,- -,- -,- -,- -,-1000,1000,5939000,74051000,7771000,2946000,2886000,2431000,2460000,2306000,31762000,29252000,35237000,35369000,32300000,29681000,29890000,26645000,15971000,9570000,283155000,216076000,133381000,137672000,55529000
58,Total Non-Current Liabilities,- -,- -,- -,800000,400000,400000,300000,300000,600000,700000,32377945,32175000,50681000,214414000,257423000,141365000,117262000,7900000,8853000,14146000,11380000,53266000,40935000,35237000,35369000,32300000,31437000,31961000,28751000,238880000,220822000,290182000,230399000,285797000,273511000,275696000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11681000,11381000,11019000,10600000,10103000,9521000,- -,- -,211680000,154070000,67898000,72120000,90878000
61,Total Liabilities,- -,- -,- -,3100000,3200000,3700000,4800000,13200000,8200000,10400000,63174117,69450000,103896000,478902000,579276000,334423000,433221000,373713000,340484000,452289000,421098000,474326000,382466000,374817000,356716000,384250000,361952000,430338000,387849000,571974000,633203000,768498000,767558000,745042000,754647000,930078000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,573853,1157000,1163000,1624000,1959000,1970000,2435000,4090000,4160000,4217000,6475000,7058000,6523000,6410000,6109000,5779000,5519000,5383000,5300000,5018000,4933000,4914000,4136000,3696000,3629000,- -
64,Retained Earnings,- -,- -,- -,2700000,4700000,6800000,10000000,14600000,20300000,26500000,35337868,50428000,66800000,78774000,98675000,44363000,80256000,135692000,206683000,287272000,398949000,486848000,318576000,356802000,415003000,449193000,493666000,586422000,645500000,704905000,748615000,697862000,584274000,515876000,492205000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-300000,-700000,-1500000,-2600000,-4000000,-5800000,-8900000,-13834261,-23245000,-35264000,-53766000,-66016000,-116751000,-19357000,-13798000,-11648000,-8175000,-6479000,1616000,-10185000,-4993000,-6962000,-13450000,-10536000,-9094000,-9475000,-13016000,-14176000,-8149000,-11124000,-16759000,-16651000,-17158000
66,Other Total Stockholders Equity,- -,- -,- -,1100000,10200000,11000000,22200000,23600000,25600000,29000000,82921954,92532000,105301000,255303000,377327000,422100000,435696000,538341000,552322000,562805000,586077000,793000000,741541000,732684000,706866000,674226000,650876000,644322000,649715000,624997000,626093000,634192000,554939000,512019000,510405000,- -
67,Total Stockholders Equity,- -,- -,- -,3500000,14200000,16300000,29600000,34200000,40100000,46600000,104999414,120872000,138000000,281935000,411945000,351682000,499030000,664325000,751517000,846119000,985022000,1288522000,1056455000,1090903000,1121016000,1115748000,1139525000,1227033000,1291040000,1321904000,1365465000,1328819000,1132225000,1014832000,989588000,973802000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,6600000,17400000,20000000,34400000,47400000,48300000,57000000,168173531,190322000,241896000,760837000,991221000,686105000,932251000,1038038000,1092001000,1298408000,1406120000,1762848000,1438921000,1465720000,1477732000,1499998000,1501477000,1657371000,1678889000,1893878000,1998668000,2097317000,1899783000,1759874000,1744235000,1903880000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,6600000,17400000,20000000,34400000,47400000,48300000,57000000,168173531,190322000,241896000,760837000,991221000,686105000,932251000,1038038000,1092001000,1298408000,1406120000,1762848000,1438921000,1465720000,1477732000,1499998000,1501477000,1657371000,1678889000,1893878000,1998668000,2097317000,1899783000,1759874000,1744235000,1903880000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/863436/000089056699000406/0000890566-99-000406-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/863436/000104746903010138/0001047469-03-010138-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000104746904007820/0001047469-04-007820-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000110465905011357/0001104659-05-011357-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000110465906016084/0001104659-06-016084-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000110465907015596/0001104659-07-015596-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000110465908013833/0001104659-08-013833-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420409011400/0001144204-09-011400-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420410010661/0001144204-10-010661-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420411011119/0001144204-11-011119-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420412011728/0001144204-12-011728-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420413011827/0001144204-13-011827-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343614000006/0000863436-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343615000005/0000863436-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343616000039/0000863436-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343617000003/0000863436-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343618000005/0000863436-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343619000006/0000863436-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343620000009/0000863436-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000156459021009779/0001564590-21-009779-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000095017022002119/0000950170-22-002119-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,2000000,2100000,3100000,4600000,5800000,6100000,8863515,15090000,16372000,11974000,19901000,-54312000,35893000,55436000,70991000,80589000,111677000,93282000,-135632000,53895000,81035000,51959000,56607000,111159000,82442000,95401000,64047000,-31965000,22817000,23425000,14055000,35770000
74,Depreciation and Amortization,- -,- -,- -,- -,400000,800000,1100000,1400000,2000000,2200000,6445584,12163000,16664000,31067000,52682000,51859000,31001000,29088000,26866000,26168000,27378000,43132000,40668000,39807000,39830000,35484000,35713000,40942000,46449000,49672000,55139000,48672000,51839000,48427000,48792000,44152000
75,Deferred Income Tax,- -,- -,- -,- -,100000,- -,100000,- -,100000,100000,408346,-314000,2305000,841000,3206000,-6360000,-1509000,-3563000,873000,7381000,-819000,6562000,-26502000,-1073000,280000,-17991000,9064000,-5786000,12027000,-12781000,7055000,9262000,7628000,-2367000,-7312000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5356000,5415000,5097000,6270000,7053000,6427000,7709000,5322000,7815000,10089000,10194000,10398000,15262000
77,Change in Working Capital,- -,- -,- -,- -,-3100000,-600000,13500000,3300000,1800000,6400000,35285648,15293352,-1615000,91661000,169393000,-79479000,124534000,73506000,104059000,76425000,114529000,123339000,-61813000,36677000,38573000,-48617000,34625000,60780000,23988000,26079000,63747000,21073000,-273963000,-130554000,-14622000,-97806000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6346000,-40190000,27703000,-34359000,-56633000,37862000,52847000,37573000,6354000,-33952000,134926000,13586000,-46967000
79,Inventory,- -,- -,- -,- -,-2000000,-1300000,-2500000,-10600000,5700000,-9800000,3131340,-13034000,30930000,-10681000,-132425000,145449000,36921000,-39320000,-18015000,-104313000,-58406000,134781000,15985000,36515000,-48158000,-72666000,66089000,-17832000,-6153000,3974000,27749000,-14015000,-43264000,-5238000,-10799000,-197867000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14922000,-17802000,28391000,-21081000,19725000,-36646000,-41388000,76039000,29542000,61391000,-121860000,-15553000,139952000
81,Other Working Capital,- -,- -,- -,- -,12900000,12300000,25800000,29100000,30900000,37300000,72585648,87879000,86264000,177925000,347318000,267839000,392373000,465879000,569938000,646363000,760892000,884231000,822418000,859095000,897668000,849051000,883676000,944456000,1029455000,1055534000,1119281000,1140354000,866391000,735837000,721215000,19540000
