,https://roic.ai/company/SEIC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,5900000,5800000,6800000,7400000,6721000,4977000,4058000,7427000,7415000,4954000,7119000,8690000,12308000,2851000,4582000,1999000,11248000,16235000,10588000,4511000,5966000,5268000,10920000,4423000,7766000,10312000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,2000000,2000000,2000000,2000000,7556000,9556000,14389000,9556000,5389000,13100000,8000000,7200000,6400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8579000,11328000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3402000,1206000,407000,2339000,287000,606000,1052000,1530000,860000,1608000,2030000,2452000,1977000,1749000,2385000,2880000,4723000,5154000,7185000,1085000,9721000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38600000,54100000,73900000,102000000,129500000,137732000,128408000,119427000,171251000,144259000,156840000,175302000,212625000,308856000,152944000,121410000,147044000,138305000,189776000,208843000,217587000,240525000,265058000,279634000,281957000,299845000,324382000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44900000,80000000,81700000,110800000,138900000,146453000,144343000,134247000,193474000,163569000,167470000,196127000,230367000,329894000,163055000,127600000,151073000,152005000,207988000,221180000,224483000,249371000,275049000,295708000,293565000,317275000,355743000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000,31000000,29000000,27000000,43055000,33500000,23944000,14389000,9000000,67538000,43971000,24332000,247152000,95000000,- -,- -,- -,- -,- -,- -,30000000,- -,- -,34058000,67639000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,5000000,7800000,7300000,6900000,4708000,2925000,6393000,11438000,32103000,58989000,76148000,73600000,104548000,86257000,92253000,93751000,93458000,66572000,63755000,63028000,69693000,48472000,57795000,55722000,55159000,48876000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,1472000,- -,- -,11895000,4067000,5726000,5645000,8276000,7032000,8607000,10327000,11397000,14645000,23009000,25018000,63305000,20857000,21681000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,4900000,40800000,38300000,35900000,31708000,45980000,39893000,35382000,47964000,67989000,143686000,129466000,132947000,339135000,192898000,102027000,100490000,75179000,74082000,74425000,84338000,101481000,82813000,119027000,110074000,138196000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47606000,42637000,38967000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45300000,84900000,122500000,149100000,174800000,178161000,190323000,174140000,228856000,211533000,235459000,339813000,359833000,462841000,502190000,320498000,253100000,252495000,283167000,295262000,298908000,333709000,376530000,378521000,412592000,427349000,493939000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,1086000,1092000,1062000,1049000,1022000,986000,990000,1944000,1912000,1902000,1861000,1765000,1722000,1692000,1667000,1637000,1590000,1571000,1536000,1497000,1434000,1384000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7200000,1100000,- -,2400000,7400000,72521000,85085000,74019000,111972000,134595000,148127000,258069000,298975000,289682000,384483000,471159000,443702000,405914000,431604000,420226000,402860000,384018000,467467000,517970000,601885000,565270000,632614000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61500000,-48100000,-49500000,-57500000,-71400000,-71415000,-95104000,-111210000,-99553000,-100524000,4000000,8000000,10000000,-8000000,1000000,3000000,2000000,6000000,1000000,-9000000,-25000000,-38000000,-20000000,-33000000,-24000000,-16798000,-19843000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110300000,103100000,95900000,114800000,142800000,195229000,279520000,326136000,350305000,368849000,268575000,363453000,445464000,482410000,522338000,565550000,577849000,624544000,721706000,834720000,910223000,955506000,1027801000,1106641000,1159396000,1190001000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000000,56100000,46400000,59700000,79000000,197421000,270593000,290007000,363773000,403942000,421688000,630512000,756383000,766004000,909723000,1041570000,1025316000,1038180000,1156002000,1247613000,1289720000,1303114000,1476839000,1593147000,1738778000,1739907000,1860763000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101300000,141000000,168900000,208800000,253800000,375582000,460916000,464147000,592629000,615475000,657147000,970325000,1116216000,1228845000,1411913000,1362068000,1278416000,1290675000,1439169000,1542875000,1588628000,1636823000,1853369000,1971668000,2151370000,2167256000,2354702000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109380000,136149000,112870000,121895000,15155000,16143000,19149000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101300000,141000000,168900000,208800000,253800000,375582000,460916000,464147000,592629000,615475000,657147000,1079705000,1252365000,1341715000,1533808000,1377223000,1294559000,1309824000,1439169000,1542875000,1588628000,1636823000,1853369000,1971668000,2151370000,2167256000,2354702000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/350894/000095010996001878/0000950109-96-001878-index.html,https://www.sec.gov/Archives/edgar/data/350894/000103605097000049/0001036050-97-000049-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350894/000103605001000535/0001036050-01-000535-index.html,https://www.sec.gov/Archives/edgar/data/350894/000093066102000926/0000930661-02-000926-index.html,- -,https://www.sec.gov/Archives/edgar/data/350894/000119312504041807/0001193125-04-041807-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312505049381/0001193125-05-049381-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312506056025/0001193125-06-056025-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312507038332/0001193125-07-038332-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312508038641/0001193125-08-038641-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312509037490/0001193125-09-037490-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312510040123/0001193125-10-040123-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312511045593/0001193125-11-045593-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312512081132/0001193125-12-081132-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089413000006/0000350894-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089414000008/0000350894-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089415000009/0000350894-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089416000102/0000350894-16-000102-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089417000010/0000350894-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089418000011/0000350894-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089419000012/0000350894-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089420000012/0000350894-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089421000010/0000350894-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089422000007/0000350894-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,12100000,12100000,12100000,12900000,16100000,19300000,19200000,6800000,26800000,43700000,68400000,98963000,124944000,140520000,142981000,169021000,188344000,236990000,259809000,139254000,174335000,231687000,204959000,206848000,288124000,318713000,331655000,333817000,404389000,505868000,501426000,447286000,546593000
74,Depreciation and Amortization,- -,- -,- -,- -,13800000,16500000,15800000,16300000,16100000,15700000,11600000,10000000,14100000,15700000,15800000,17305000,19650000,18060000,16788000,16183000,17585000,29147000,37136000,46959000,66139000,45950000,48759000,55844000,57099000,61127000,66674000,71832000,75586000,77687000,80855000,83934000,92633000
75,Deferred Income Tax,- -,- -,- -,- -,400000,-300000,-700000,-1200000,-900000,-2600000,-700000,3800000,900000,-3600000,-3500000,349000,3944000,4529000,3590000,19396000,26218000,12520000,420000,-34727000,67265000,6461000,1001000,-1191000,-22825000,-3330000,-1394000,4794000,-21046000,5998000,-3414000,-1036000,-7831000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16010000,14503000,26783000,14112000,15736000,37865000,13463000,17312000,16017000,36366000,23805000,24582000,27014000,41451000
77,Change in Working Capital,- -,- -,- -,- -,-1400000,- -,- -,- -,- -,9200000,-24200000,17300000,400000,5400000,94478000,19221000,5389000,31751000,33171000,-53604000,251840000,74221000,-54790000,268571000,-122229000,-72241000,65521000,89713000,95135000,44994000,9221000,76297000,30345000,116176000,-27578000,64784000,-33294000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36136000,-25793000,-16917000,-28174000,-18470000,-47631000,-25855000,-29801000,-45867000,-57709000
79,Inventory,- -,- -,- -,- -,200000,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3618000,-9457000,1734000,-2583000,9249000,5000000,-6283000,-5441000,1455000,-909000,5652000,-6497000,3343000,249000
