,https://roic.ai/company/TGB,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,600408,599365,599847,1900220,2027467,7393556,3300182,2056024,28262239,12544528,-132035,-5811388,- -,18453000,35212000,37833000,38216000,26865000,22798000,17413000,22895000,22791000,14998000,20976000,20163000,20926000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,600408,14199696,4699311,3900220,6492465,11465220,5949297,4161688,32765191,84398233,107039725,112688065,- -,159037000,188222000,203398000,240127000,273988000,388892000,305391000,284984000,271096000,317646000,389282000,339705000,290399000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7402000,18275000,6859000,6668000,5860000,4182000,1371000,1084000,935000,1254000,1202000,249000,678000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8265000,4542000,13957000,12041000,23553000,24357000,23371000,27649000,30965000,32077000,34593000,37288000,38853000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400587,717002,714857,714065,711170,723249,2657165,3412048,3155123,- -,8150000,10336000,12827000,19501000,34508000,47338000,49599000,53024000,47722000,70781000,109756000,95301000,66587000
15,EBITDA,- -,- -,-115594,-226296,-623519,-266809,-402739,-939093,3599727,-14899875,-4800306,-3300073,-5097450,-57446667,-4636546,-3582156,-3231646,9500416,42373496,91021565,- -,27670000,210260000,77540000,12986000,25881000,9024000,5013000,34564000,142127000,67532000,58630000,99969000,176253000
16,EBITDA ratio,- -,- -,-1.0000,-2.0000,-5.0000,-2.0000,-3.0000,-7.0000,36.2193,-149.8469,-48.2617,-33.0735,-3391832.9053,-51.7337,-Infinity,-Infinity,-Infinity,0.1084,0.2617,0.4167,- -,0.1465,0.7551,0.3079,0.0512,0.0892,0.0243,0.0173,0.1310,0.3757,0.1964,0.1781,0.2912,0.4068
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,4099387,-14100262,-4599847,-3800440,-6492463,-54579003,-6549297,-4161688,-61575487,3240066,54860338,105737852,- -,39035000,87907000,59965000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,41.2467,-141.8052,-46.2464,-38.0882,-4320071.7299,-49.1512,-Infinity,-Infinity,-Infinity,0.0370,0.3389,0.4841,- -,0.2066,0.3157,0.2381,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,-499660,-799613,-200459,99780,678011,-47733678,-598686,131638,4654916,3603185,-15898891,-17871411,- -,-27780000,107475000,-9209000,-32036000,-48248000,-44975000,-51864000,-24990000,-43763000,-61550000,-25600000,-36182000,-72066000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,3599727,-14899875,-4800306,-3700660,-5814452,- -,- -,- -,-56920571,6843251,38961447,87866441,- -,11255000,195382000,50756000,-18556000,-32180000,-62671000,-67957000,-46109000,63440000,-35326000,-85719000,-32620000,70813000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,36.2193,-149.8469,-48.2617,-37.0882,-3868924.5838,- -,- -,- -,-Infinity,0.0781,0.2407,0.4023,- -,0.0596,0.7017,0.2015,-0.0732,-0.1109,-0.1688,-0.2349,-0.1747,0.1677,-0.1027,-0.2604,-0.0950,0.1634
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,99387,200249,99464,299340,94836,- -,- -,- -,23744000,-17522000,6045001,39604492,- -,694000,46784000,23782000,-2891000,2659000,-8787000,-5605000,-14713000,29178000,448000,-32337000,-9096000,34341000
23,Net Income,- -,- -,-115594,-226296,-623519,-266809,-402739,-939093,3500340,-15100124,-4899770,-4000000,-5909288,-58161524,-6503929,-3510513,-80664571,24365251,32916447,48261950,- -,10561000,148598000,26974000,-15665000,-34839000,-53884000,-62352000,-31396000,34262000,-35774000,-53382000,-23524000,36472000
24,Net Income ratio,- -,- -,-1.0000,-2.0000,-5.0000,-2.0000,-3.0000,-7.0000,35.2193,-151.8608,-49.2617,-40.0882,-3932028.2661,-52.3774,-Infinity,-Infinity,-Infinity,0.2780,0.2033,0.2210,- -,0.0559,0.5336,0.1071,-0.0618,-0.1201,-0.1452,-0.2155,-0.1190,0.0906,-0.1040,-0.1622,-0.0685,0.0842
25,EPS,- -,- -,-0.03,-0.05,-0.06,-0.03,-0.04,-0.07,0.28,-1.09,-0.33,-0.22,-0.25,-2.32,-0.21,-0.09,-1.09,0.23,0.29,0.37,- -,0.06,0.80,0.14,-0.08,-0.18,-0.27,-0.28,-0.14,0.15,-0.16,-0.22,-0.09,0.15
26,EPS Diluted,- -,- -,-0.03,-0.05,-0.06,-0.03,-0.04,-0.07,0.28,-1.09,-0.33,-0.22,-0.25,-2.32,-0.21,-0.09,-1.09,0.21,0.26,0.36,- -,0.06,0.73,0.14,-0.08,-0.18,-0.27,-0.28,-0.14,0.15,-0.16,-0.22,-0.09,0.15
27,Weighted Average Shares Outstanding,- -,- -,3337973,6662456,9993893,9989105,10008424,13943474,12493629,13836061,14886583,17970000,23402726,25067697,30338098,46984378,75113426,100021655,113553556,128403927,173170000,173170000,186103000,193213000,192599000,192222000,197658000,221809000,221828000,225682000,227866000,243914000,250529000,250529000
28,Weighted Average Shares Outstanding Diluted,- -,- -,3337973,6662456,9993893,9989105,10008424,13943474,12493629,13836061,14886583,17970000,23402726,25067697,30338098,46984378,75113426,110732926,126462009,141381649,180835000,180835000,203006000,197748000,192599000,192222000,197658000,221809000,221828000,232039000,227866000,243914000,250529000,250529000
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/878518/000106299304000619/0001062993-04-000619-index.htm,https://www.sec.gov/Archives/edgar/data/878518/000106299305000836/0001062993-05-000836-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/878518/000106299310001066/0001062993-10-001066-index.html,- -,https://www.sec.gov/Archives/edgar/data/878518/000106299312001051/0001062993-12-001051-index.html,https://www.sec.gov/Archives/edgar/data/878518/000106299313001412/0001062993-13-001412-index.html,- -,https://www.sec.gov/Archives/edgar/data/878518/000106299315001698/0001062993-15-001698-index.html,https://www.sec.gov/Archives/edgar/data/878518/000106299316008609/0001062993-16-008609-index.html,https://www.sec.gov/Archives/edgar/data/878518/000106299317001399/0001062993-17-001399-index.html,https://www.sec.gov/Archives/edgar/data/878518/000119312518101899/0001193125-18-101899-index.html,https://www.sec.gov/Archives/edgar/data/878518/000119312519088268/0001193125-19-088268-index.html,https://www.sec.gov/Archives/edgar/data/878518/000119312520091214/0001193125-20-091214-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,10400272,99434,599847,1300073,6691634,82296,- -,2424221,14892947,21728789,89407801,37635894,4587000,35082000,211793000,318394000,134995000,82865000,53299000,76021000,89030000,80231000,45665000,53198000,85110000,236767000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,18542184,3138000,11856000,18521000,50000,17269000,4951000,977000,931000,1419000,2444000,3581000,730000,1791000,3110000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,10400272,99434,599847,1300073,6691634,82296,- -,2424221,14892947,21728789,100907801,56178078,7725000,46938000,230314000,318444000,152264000,87816000,54276000,76952000,90449000,82675000,49246000,53928000,86901000,239877000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,299523,299682,99464,24699927,1773544,231431,300000,1049092,2766184,6746377,11498763,14107125,7990000,17202000,27402000,55536000,42095000,86299000,39771000,13199000,12905000,21618000,14735000,13791000,6689000,9604000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6199560,5972433,2400000,2300000,2278096,2277397,20874231,24217881,18058233,20340000,21792000,21286000,23290000,27556000,47174000,36094000,40621000,60550000,39639000,38986000,43620000,58841000,79871000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,100750,1381,- -,99780,129884,27184,200000,358746,404872,9030714,12822297,6275465,5228000,6384000,2298000,39653000,6899000,7649000,6490000,2288000,1423000,1804000,1464000,2513000,4767000,7875000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,10800545,400497,699311,32299340,14567495,2740911,2800000,6110155,20341400,58380111,149446742,94618901,41283000,92316000,281300000,436923000,228814000,228938000,136631000,133060000,165327000,145736000,104431000,113852000,157198000,337227000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,49000681,28700456,28699311,51200293,56413661,11474591,39000000,38367482,35762634,9916992,43444944,176897545,325000000,337836000,310761000,440565000,631997000,678580000,793659000,794758000,730208000,797265000,821287000,758006000,742619000,837839000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4783000,5706000,5536000,5172000,5625000,5355000,5250000,5227000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5438000,5438000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5438000,5438000,- -,4783000,5706000,5536000,5172000,5625000,5355000,5250000,5227000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42895000,38272000,41484000,40685000,40868000,33037000,33880000,5483000,4025000,1634000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8944000,174000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,198774,-1381,1531,8400587,8517830,17854893,18500000,16757274,85819436,113755775,104395397,105746796,111962000,104943000,95551000,111806000,77303000,24438000,15985000,15985000,7500000,7500000,7500000,1300000,1273000,1268000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,49199455,28699075,28700842,59600880,64931491,29329484,57500000,55124756,121582070,132616767,148014341,282644341,436962000,442779000,406312000,557809000,757633000,741290000,855911000,857134000,784112000,842974000,868292000,770144000,753167000,845968000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,60000000,29099572,29400153,91900220,79498986,32070395,60300000,61234911,141923470,190996878,297461083,377263242,478245000,535095000,687612000,994732000,986447000,970228000,992542000,990194000,949439000,988710000,972723000,883996000,910365000,1183195000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,2200136,1499793,399388,500367,695657,2928589,3500000,1857740,14578172,12580463,21960232,30435258,90027000,14821000,22983000,31055000,39963000,22768000,36873000,26293000,28180000,23879000,21861000,24171000,32775000,30100000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600608,2000000,- -,- -,- -,- -,1993395,1857740,2307049,2156718,2085859,9061000,27678000,10315000,13753000,18067000,22625000,20157000,59801000,16157000,11270000,9856000,16460000,17617000,18305000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,937000,370000,24528000,- -,- -,- -,- -,1038000,889000,302000,1427000,1406000,2356000,2759000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14748000,19759132,174898,175000,175000,175000,175000,175000,131000,- -,- -,1163000,1312000,3907000,4558000,5604000,13441000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -,18999266,- -,- -,3500000,1,23744000,22387566,3985296,11893074,12790000,32505000,33163000,16031000,17008000,71385000,9414000,9357000,9298000,24948000,21810000,22104000,22488000,41631000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2200136,3100400,2399388,19499633,695657,2928589,7000000,3851136,40179912,52023078,47861378,44589089,112053000,75179000,66636000,61014000,75213000,116909000,66444000,95451000,54798000,61409000,57434000,67293000,78484000,103477000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,99387,- -,- -,32699927,- -,- -,- -,- -,- -,13166706,42774663,104337673,13100000,46525000,28018000,264482000,234793000,259515000,293506000,305401000,373133000,317948000,345625000,357025000,345787000,513444000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,831000,656000,481000,306000,131000,- -,- -,- -,- -,39640000,39367000,39433000,47154000,45356000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21540296,46015000,16315000,60203000,76091000,71480000,97350000,100071000,94113000,62202000,89045000,83793000,50703000,39060000,70186000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,100749,99434,- -,- -,32700000,32700000,32700000,32700000,101807000,84867299,105891232,43136241,71339000,99727000,62323000,96022000,141548000,70238000,110246000,124889000,120367000,113588000,99427000,67856000,82508000,92214000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,200136,99434,- -,32699927,32700000,32700000,32700000,32700000,101807000,98034005,148665895,169014210,131285000,163223000,151025000,436901000,447952000,427103000,503823000,524403000,555702000,560221000,568212000,515017000,514509000,721200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1993395,1857740,15291854,2156718,2085859,16424000,5782000,38333000,45980000,35241000,46812000,33326000,27589000,19976000,23761000,14110000,30385000,34446000,23149000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2400272,3199834,2399388,52199560,33395657,35628589,39700000,36551136,141986912,150057082,196527273,213603299,243338000,238402000,217661000,497915000,523165000,544012000,570267000,619854000,610500000,621630000,625646000,582310000,592993000,824677000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26642000,26642000,26642000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,368128000,372274000,417944000,417944000,417975000,422091000,423438000,436318000,472870000,476599000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35399807,-40399388,-44400587,-50293870,-108455394,-115000000,-121069356,-202711632,-173518911,-140602465,-92648316,-89138000,-78577000,70021000,86782000,63032000,10492000,-43392000,-105744000,-137140000,-102878000,-139699000,-193081000,-216605000,-180133000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400587,-1094504,-1809361,34000000,46306813,52166761,53629265,40296621,42635397,- -,4576000,6249000,-1398000,-5365000,4943000,6833000,15582000,12357000,389000,14064000,6827000,7674000,6649000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,57599728,61299545,67400153,84501834,97491703,106706560,9700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,37487000,38507000,40890000,42558000,45747000,47478000,49274000,51622000,53433000,55403000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,57599728,25899738,27000765,39700660,46103329,-3558195,20600000,24683775,-63442,40939796,100933810,163659942,234907000,296693000,469951000,496817000,463282000,426216000,422275000,370340000,338939000,367080000,347077000,301686000,317372000,358518000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,60000000,29099572,29400153,91900220,79498986,32070394,60300000,61234911,141923470,190996878,297461083,377263241,478245000,535095000,687612000,994732000,986447000,970228000,992542000,990194000,949439000,988710000,972723000,883996000,910365000,1183195000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,60000000,29099572,29400153,91900220,79498986,32070395,60300000,61234911,141923470,190996878,297461083,377263242,478245000,535095000,687612000,994732000,986447000,970228000,992542000,990194000,949439000,988710000,972723000,883996000,910365000,1183195000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/878518/000106299304000619/0001062993-04-000619-index.htm,https://www.sec.gov/Archives/edgar/data/878518/000106299305000836/0001062993-05-000836-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/878518/000106299310001066/0001062993-10-001066-index.html,- -,https://www.sec.gov/Archives/edgar/data/878518/000106299312001051/0001062993-12-001051-index.html,https://www.sec.gov/Archives/edgar/data/878518/000106299313001412/0001062993-13-001412-index.html,- -,https://www.sec.gov/Archives/edgar/data/878518/000106299315001698/0001062993-15-001698-index.html,https://www.sec.gov/Archives/edgar/data/878518/000106299316008609/0001062993-16-008609-index.html,https://www.sec.gov/Archives/edgar/data/878518/000106299317001399/0001062993-17-001399-index.html,https://www.sec.gov/Archives/edgar/data/878518/000119312518101899/0001193125-18-101899-index.html,https://www.sec.gov/Archives/edgar/data/878518/000119312519088268/0001193125-19-088268-index.html,https://www.sec.gov/Archives/edgar/data/878518/000119312520091214/0001193125-20-091214-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,3500340,-15100124,-4899770,-4000000,-5909288,-58161524,-6503929,-3510513,-80664571,24365251,32916447,48261950,43153000,10561000,148598000,26974000,-15665000,-34839000,-53884000,-62352000,-31396000,34262000,-35774000,-53382000,-23524000,36472000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400587,717002,714857,714065,711170,723249,2657165,3412048,3155123,- -,8150000,10336000,12827000,19501000,34508000,47338000,49599000,53024000,47722000,70781000,109756000,95301000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13423000,1648000,35645434,8083000,25000,42678000,- -,-2891000,2659000,-8787000,-5605000,-14713000,29178000,448000,-32337000,-9096000,34341000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5388000,5696000,10409000,8215000,5423000,2680000,3741000,2002000,3682000,7100000,-1282000,3126000,5310000,5762000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,1500340,-600746,-899770,-2300807,571374,3940713,700262,-450111,10928232,-20969009,10945720,-5092915,8905000,-57454000,-16098000,-12348000,1542000,13964000,17377000,-14823000,-13990000,15896000,5940000,-6614000,-3327000,-31971000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5274000,-7899000,-7649000,-17989000,10943000,24394000,-7855000,1497000,-1783000,-9199000,7018000,713000,7409000,-2915000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99780,244235,62968,117046,4858,699,-20874231,-3343650,6160191,-13058000,-1452000,-4730000,-2005000,-4266000,-19724000,8314000,-4527000,-16023000,16324000,653000,-4634000,-11292000,-16713000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2114000,6945000,13399000,-12337000,4010000,8995000,-1778000,-463000,2967000,-12984000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -,1,- -,- -,- -,- -,- -,- -,- -,7314032,-17225479,-1952000,197000,-4009000,-4846000,-175000,- -,- -,- -,- -,- -,- -,- -,- -,5297000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,-4501020,1381,-100996,199560,-455804,46896617,766383,-247045,63718317,4864017,6483151,4009738,8447000,6268000,-106111000,-24004000,45033000,48615000,44785000,82874000,37246000,76921000,53965000,22092000,41531000,130165000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,499660,-15699489,-5900536,-5700660,-5076716,-6609337,-4323219,-3496499,-5294773,-2505576,55405366,85979330,73976000,-26754000,89812000,11664000,52943000,67587000,50570000,51695000,33853000,211079000,94078000,42641000,106195000,174769000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-199560,- -,-2,- -,-135193,-26928697,-8263188,-16145999,-128832356,-105546000,-17019000,-55303000,-63915000,-181997000,-98524000,-38799000,-18960000,-18843000,-97223000,-94866000,-50751000,-65496000,-87727000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2230000,- -,- -,- -,- -,- -,- -,- -,186811000,- -,- -,- -,-1874000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11500000,-21564146,-254000,-4421000,-24009000,- -,-27763000,-7578000,-11935000,-5837000,-3777000,-5347000,-1316000,-2834000,-7796000,-15837000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16998907,3360000,9966000,203260000,- -,54434000,20050000,- -,21374000,3371000,- -,855000,241000,13374000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-5500340,- -,- -,-300807,3557943,-8500000,9803,2660000,-68573691,16433347,-8722718,-6210872,-32846000,3183000,-184951000,-60053000,662000,-7823000,13250000,658000,158000,758000,933000,36413000,275000,-131875000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-5500340,- -,- -,-500367,3557943,-8500002,-2220197,2524807,-95502388,8170159,-36368717,-139608467,-135286000,-8291000,125808000,-123968000,-154664000,-93875000,-39358000,-2765000,-19091000,-101812000,-94394000,-16931000,-59643000,-147712000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3667000,-42959000,-6032000,-10729000,-14491000,-22929000,-25953000,-13636000,-60353000,-373717000,-12293000,-18920000,-14362000,-345676000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,1900613,10900428,7600612,4899486,2421480,- -,465835,4057119,27167069,9606013,31893495,1857299,47623000,35937000,3837000,8420000,1571000,2779000,2584000,- -,- -,- -,- -,- -,34299000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20897000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,13298842,-5500621,-1201224,2000000,4500000,8500000,6034389,-700311,84348817,-8434754,16748868,- -,- -,72562000,-36714000,175847000,-2272000,-8392000,-20709000,-17006000,66613000,260784000,-21302000,2178000,-31873000,471463000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,15199455,5399807,6399388,6899486,6921480,8500000,6500224,3356808,111515886,1171259,48642363,1857299,43956000,65540000,-38909000,173538000,-36089000,-28542000,-44078000,-30642000,6260000,-112933000,-33595000,-16742000,-11936000,125787000
