,https://roic.ai/company/HI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,1433000000,1431000000,1690000000,1362600000,- -,- -,1639900000,506500000,528500000,494100000,611300000,724800000,834400000,1435300000,1492700000,1402800000,1347300000,1372500000,1536300000,1596500000,2313800000,2489600000
12,Interest Income ,- -,- -,- -,- -,- -,- -,42700000,1400000,- -,13500000,12200000,11800000,- -,- -,- -,- -,- -,- -,- -,- -,3200000,3400000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,21300000,- -,- -,2100000,4200000,11000000,12400000,24000000,23300000,23800000,25300000,25200000,23300000,27400000,77400000,77600000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,108800000,18500000,19100000,18600000,28500000,36100000,40400000,89400000,58400000,54300000,60400000,56600000,56500000,58500000,130600000,115100000
15,EBITDA,228000000,222000000,7000000,288700000,113800000,102800000,468800000,175500000,172400000,181500000,179100000,204900000,187700000,205100000,240100000,238600000,245800000,267900000,221700000,257800000,182800000,541200000
16,EBITDA ratio,0.1393,0.1327,0.0040,0.1704,0.1777,0.1559,0.2388,0.2630,0.2542,0.2796,0.2391,0.2319,0.1909,0.1320,0.1440,0.1494,0.1598,0.1685,0.1252,0.1426,0.0726,0.1889
17,Operating Income,204000000,242000000,46000000,331300000,640300000,659400000,323000000,160700000,149600000,155000000,137900000,158600000,148800000,118100000,174500000,194000000,191100000,217700000,233800000,210800000,203200000,375200000
18,Operating Income ratio,0.1246,0.1447,0.0265,0.1956,1.0000,1.0000,0.1646,0.2409,0.2206,0.2388,0.1841,0.1795,0.1513,0.0760,0.1047,0.1215,0.1242,0.1369,0.1321,0.1166,0.0807,0.1310
19,Total Other Income Expenses (Gains),- -,-21000000,-27000000,-51000000,- -,- -,16000000,-3700000,3700000,5800000,8500000,-800000,-13900000,-24400000,-14600000,-31700000,-27000000,-29400000,-87300000,-34100000,-221700000,-21400000
20,Income Before Tax,204000000,221000000,19000000,280300000,- -,- -,339000000,157000000,153300000,160800000,146400000,157800000,134900000,93700000,159900000,162300000,164100000,188300000,146500000,176700000,-18500000,353800000
21,Income Before Tax Ratio,0.1246,0.1321,0.0109,0.1655,- -,- -,0.1727,0.2353,0.2261,0.2477,0.1954,0.1786,0.1372,0.0603,0.0959,0.1016,0.1067,0.1184,0.0828,0.0978,-0.0074,0.1235
22,Income Tax expense (Gain),74000000,52000000,-37000000,99700000,- -,- -,117500000,57500000,60100000,58500000,54100000,51700000,30100000,28300000,48700000,49100000,47300000,59900000,65300000,50500000,34900000,98600000
23,Net Income,154000000,170000000,44000000,189000000,113800000,102800000,221200000,99500000,93200000,102300000,92300000,106100000,104800000,63400000,109700000,111400000,112800000,126200000,76600000,121400000,-60100000,249900000
24,Net Income ratio,0.0941,0.1016,0.0253,0.1116,0.1777,0.1559,0.1127,0.1491,0.1374,0.1576,0.1232,0.1201,0.1066,0.0408,0.0658,0.0698,0.0733,0.0794,0.0433,0.0672,-0.0239,0.0872
25,EPS,2.46,2.72,0.70,3.02,1.82,1.64,3.60,1.60,1.49,1.66,1.49,1.71,1.68,1.01,1.74,1.76,1.78,1.99,1.21,1.93,-0.82,3.34
26,EPS Diluted,2.46,2.72,0.70,3.02,1.82,1.64,3.59,1.60,1.49,1.66,1.49,1.71,1.68,1.01,1.72,1.74,1.77,1.97,1.20,1.92,-0.82,3.31
27,Weighted Average Shares Outstanding,62500000,62500000,62500000,62500000,62527473,62682927,61453642,62300000,62500000,61700000,61900000,62000000,62200000,62700000,63200000,63200000,63300000,63600000,63100000,62900000,73400000,74900000
28,Weighted Average Shares Outstanding Diluted,62682927,62682927,62682927,62682927,62527473,62682927,61576799,62300000,62500000,61700000,61900000,62000000,62400000,63000000,63800000,63900000,63800000,64000000,63800000,63300000,73400000,75400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417398/000136231008008000/0001362310-08-008000-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000095012309065475/0000950123-09-065475-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000095012310108162/0000950123-10-108162-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000110465911066404/0001104659-11-066404-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000110465912079928/0001104659-12-079928-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000110465913086893/0001104659-13-086893-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000110465914082061/0001104659-14-082061-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739815000046/0001417398-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739816000085/0001417398-16-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739817000038/0001417398-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739818000043/0001417398-18-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739819000037/0001417398-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739820000042/0001417398-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739821000045/0001417398-21-000045-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,81900000,11900000,14700000,35200000,98400000,115500000,20200000,42700000,58000000,48300000,52000000,66000000,56000000,399000000,302200000,446100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,30100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,81900000,11900000,14700000,65300000,98400000,115500000,20200000,42700000,58000000,48300000,52000000,66000000,56000000,399000000,302200000,446100000
34,Net Receivables,- -,- -,- -,- -,- -,- -,501000000,90900000,88400000,95200000,119000000,131700000,150700000,355500000,340300000,332800000,330800000,331300000,338800000,398500000,417600000,445400000
35,Inventory,- -,- -,- -,- -,- -,- -,129800000,47500000,48600000,42500000,64900000,83700000,90000000,177500000,168500000,153600000,153100000,151600000,172500000,176600000,385400000,411600000
36,Other Current Assets,724000000,891000000,971000000,720500000,- -,- -,51200000,19900000,29900000,29900000,40500000,49200000,44400000,63700000,71000000,69400000,64400000,44700000,43300000,49100000,264500000,131400000
37,Total Current Assets,724000000,891000000,971000000,720500000,- -,- -,763900000,170200000,181600000,232900000,322800000,380100000,305300000,639400000,637800000,604100000,600300000,593600000,610600000,1023200000,1369700000,1434500000
38,PP&E,- -,- -,- -,- -,- -,- -,208400000,88900000,90800000,85300000,109600000,120600000,117900000,171900000,159500000,158300000,152500000,150400000,142000000,140300000,468600000,433200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,196400000,300000000,303700000,585800000,570700000,544000000,634300000,647500000,581900000,578000000,1137800000,1168600000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,571700000,23000000,19700000,10500000,226600000,332800000,313900000,558600000,510500000,459600000,541500000,523900000,487300000,454900000,960700000,913800000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,571700000,23000000,19700000,16300000,423000000,632800000,617600000,1144400000,1081200000,1003600000,1175800000,1171400000,1069200000,1032900000,2098500000,2082400000
42,Investments,- -,- -,- -,- -,- -,- -,64300000,- -,76000000,37600000,30100000,17400000,15800000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,16200000,19700000,35000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3873000000,4181000000,4484000000,4754400000,- -,- -,343900000,18300000,157500000,154000000,166600000,29800000,30900000,47500000,40000000,42100000,32300000,41100000,42800000,32200000,50600000,64700000
45,Total Non-Current Assets,3873000000,4181000000,4484000000,4754400000,- -,- -,1188300000,146400000,363700000,328200000,729300000,800600000,782200000,1363800000,1280700000,1204000000,1360600000,1362900000,1254000000,1205400000,2617700000,2580300000
46,Other Assets,- -,- -,- -,- -,320500000,337100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5160700000
47,Total Assets,4597000000,5072000000,5455000000,5474900000,320500000,337100000,1952200000,316600000,545300000,561100000,1052100000,1180700000,1087500000,2003200000,1918500000,1808100000,1960900000,1956500000,1864600000,2228600000,3987400000,4014900000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,91700000,18300000,15800000,13100000,26900000,30500000,35300000,181400000,192600000,104300000,135700000,158000000,196800000,236200000,271600000,361300000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,10900000,- -,100000000,60000000,- -,- -,- -,10000000,15000000,9400000,13800000,18800000,- -,- -,36300000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80900000,76100000,79700000,78600000,132300000,125900000,158200000,189100000,296600000
52,Other Current Liabilities,282000000,343000000,564000000,378900000,- -,- -,222600000,57500000,70200000,61800000,91100000,105700000,116500000,193200000,207400000,210800000,205600000,202600000,209000000,194900000,355100000,377200000
53,Total Current Liabilities,282000000,343000000,564000000,378900000,- -,- -,325200000,75800000,186000000,134900000,118000000,136200000,151800000,465500000,491100000,404200000,433700000,511700000,531700000,589300000,852100000,1035100000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,347000000,- -,- -,- -,403400000,431500000,271600000,654300000,543500000,518700000,596300000,446900000,344600000,619500000,1516300000,1318500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,57000000,- -,- -,- -,35700000,30100000,21700000,75400000,55400000,29400000,22600000,75700000,76400000,73600000,185800000,206700000
57,Other Non-Current Liabilities,3484000000,3703000000,3892000000,3886200000,- -,- -,91300000,59900000,70900000,122200000,123100000,139800000,136100000,231700000,234700000,250000000,262100000,156300000,167800000,176400000,353800000,222400000
58,Total Non-Current Liabilities,3484000000,3703000000,3892000000,3886200000,- -,- -,495300000,59900000,70900000,122200000,562200000,601400000,429400000,961400000,833600000,798100000,881000000,678900000,588800000,869500000,2055900000,1747600000
59,Other Liabilities,- -,- -,- -,- -,320500000,337100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120900000,105600000
61,Total Liabilities,3766000000,4046000000,4456000000,4265100000,320500000,337100000,820500000,135700000,256900000,257100000,680200000,737600000,581200000,1426900000,1324700000,1202300000,1314700000,1190600000,1120500000,1458800000,2908000000,2782700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,4400000,193500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,1646800000,- -,23000000,79300000,124800000,182700000,238300000,252200000,311700000,372100000,433300000,507100000,531000000,599500000,481400000,666200000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-300000,-12600000,-14800000,-55400000,-43000000,-39500000,-42400000,-1400000,-52200000,-107900000,-129800000,-81200000,-84200000,-140600000,-102800000,-46300000
66,Other Total Stockholders Equity,831000000,1026000000,999000000,1209800000,- -,- -,-519200000,- -,280400000,279700000,290100000,300400000,310000000,325100000,334100000,341700000,342900000,339800000,297100000,311300000,701000000,- -
67,Total Stockholders Equity,831000000,1026000000,999000000,1209800000,- -,- -,1131700000,180900000,288400000,304000000,371900000,443100000,506300000,568300000,583300000,594100000,632300000,751400000,731100000,754100000,1059000000,1209600000
68,Total Liabilities And Stockholders Equity,4597000000,5072000000,5455000000,5474900000,320500000,337100000,1952200000,316600000,545300000,561100000,1052100000,1180700000,1087500000,1995200000,1908000000,1796400000,1947000000,1942000000,1851600000,2212900000,3967000000,3992300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,10500000,11700000,13900000,14500000,13000000,15700000,20400000,22600000
70,Total Liabilities & Equity,4597000000,5072000000,5455000000,5474900000,320500000,337100000,1952200000,316600000,545300000,561100000,1052100000,1180700000,1087500000,2003200000,1918500000,1808100000,1960900000,1956500000,1864600000,2228600000,3987400000,4014900000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417398/000136231008008000/0001362310-08-008000-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000095012309065475/0000950123-09-065475-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000095012310108162/0000950123-10-108162-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000110465911066404/0001104659-11-066404-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000110465912079928/0001104659-12-079928-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000110465913086893/0001104659-13-086893-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000110465914082061/0001104659-14-082061-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739815000046/0001417398-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739816000085/0001417398-16-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739817000038/0001417398-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739818000043/0001417398-18-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739819000037/0001417398-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739820000042/0001417398-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739821000045/0001417398-21-000045-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,154000000,170000000,44000000,189000000,113800000,102800000,221200000,99500000,93200000,102300000,92300000,106100000,104800000,63400000,109700000,111400000,112800000,126200000,76600000,121400000,-60100000,249900000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,108800000,18500000,19100000,18600000,28500000,36100000,40400000,89400000,58400000,54300000,60400000,56600000,56500000,58500000,130600000,115100000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,119800000,-7100000,-3100000,3200000,-18500000,-4500000,-5000000,-23600000,-8200000,-500000,-4700000,37100000,3700000,6700000,-19500000,12200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,7600000,11700000,8700000,6400000,7500000,12000000,8500000,10500000,12100000,12000000,19900000,19700000
77,Change in Working Capital,- -,106000000,-141000000,-65400000,-341600000,- -,438700000,-344300000,-98800000,102400000,106800000,39100000,-90400000,20400000,-27200000,53200000,-33300000,-84700000,-3000000,355000000,83700000,174300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-46600000,5900000,- -,3000000,-4900000,-8800000,-18500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-5200000,1800000,-1700000,6100000,20900000,-5900000,-6200000,26500000,3300000,5200000,11300000,5400000,-24000000,-8600000,58500000,-33400000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2600000,900000,-1700000,4900000,100000,18300000,-76600000,30200000,17200000,41600000,46400000,-68200000,91300000
81,Other Working Capital,442000000,548000000,407000000,341600000,- -,- -,438700000,94400000,-4400000,98000000,204800000,243900000,153500000,173900000,146700000,199900000,166600000,81900000,78900000,433900000,517600000,148200000
82,Other Non-Cash Items,141000000,169000000,494000000,242500000,359800000,-13900000,-859400000,360700000,91400000,-110000000,-98500000,1000000,79700000,-28800000,39400000,-125400000,94500000,100500000,102400000,-374700000,200200000,-42800000
83,Cash Provided by Operating Activities,295000000,445000000,397000000,366100000,132000000,88900000,29100000,127300000,101800000,123200000,118200000,189500000,138200000,127200000,179600000,105000000,238200000,246200000,248300000,178900000,354800000,528400000
84,CAPEX,-106000000,-101000000,-121000000,-114700000,-16300000,-16300000,-92600000,-15600000,-10000000,-10000000,-16300000,-21900000,-20900000,-29900000,-23600000,-31000000,-21200000,-22000000,-27000000,-25500000,-35900000,-40000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,5500000,-5600000,-400000,-600000,-371800000,-240900000,-4400000,-414400000,2000000,1500000,-234300000,3200000,- -,-25900000,-1281200000,165800000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,459300000,- -,4300000,5100000,39100000,108300000,2800000,1700000,5800000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-428000000,-14500000,1900000,200000,300000,- -,- -,1600000,7500000,- -,2000000,5300000,3900000,200000,-14700000,-39800000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,31800000,-20100000,-4200000,-5300000,-348700000,-154500000,-22500000,-441000000,-8300000,-29500000,-253500000,-13500000,-23100000,-51200000,-1295900000,126000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-6000000,- -,- -,-80000000,-276800000,-150900000,-708000000,-524700000,-420700000,-556000000,-636200000,-966500000,-1214200000,-990400000,-1540200000,-1083800000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,400000,700000,1800000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-700000,- -,-6200000,-12500000,- -,-3800000,- -,- -,-16500000,-11200000,-21200000,-28000000,-61000000,- -,- -,-121100000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-69800000,- -,-22800000,-45600000,-46200000,-46900000,-47600000,-48700000,-49700000,-50400000,-51100000,-51900000,-52100000,-52600000,-63400000,-64000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,20100000,-103500000,-65800000,40000000,611000000,179000000,544500000,909900000,331400000,534400000,730100000,831300000,1094800000,1260500000,2458500000,745600000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-56400000,-103500000,-94400000,-97400000,289800000,-22000000,-211100000,336500000,-155500000,-83200000,21600000,-215100000,-232500000,217500000,854900000,-523300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,600000,300000,-400000,- -,3900000,4100000,100000,-200000,-500000,-2000000,-2600000,-3600000,-2700000,-2300000,-1400000,8000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,5100000,4000000,2800000,20500000,63200000,17100000,-95300000,22500000,15300000,-9700000,3700000,14000000,-10000000,342900000,-87600000,139100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,81900000,11900000,14700000,35200000,98400000,115500000,20200000,42700000,58000000,48300000,52000000,66000000,56000000,399400000,311800000,450900000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,76800000,7900000,11900000,14700000,35200000,98400000,115500000,20200000,42700000,58000000,48300000,52000000,66000000,56500000,399400000,311800000
100,Free Cash Flow,189000000,344000000,276000000,251400000,115700000,72600000,-63500000,111700000,91800000,113200000,101900000,167600000,117300000,97300000,156000000,74000000,217000000,224200000,221300000,153400000,318900000,488400000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417398/000136231008008000/0001362310-08-008000-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000095012309065475/0000950123-09-065475-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000095012310108162/0000950123-10-108162-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000110465911066404/0001104659-11-066404-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000110465912079928/0001104659-12-079928-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000110465913086893/0001104659-13-086893-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000110465914082061/0001104659-14-082061-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739815000046/0001417398-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739816000085/0001417398-16-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739817000038/0001417398-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739818000043/0001417398-18-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739819000037/0001417398-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739820000042/0001417398-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1417398/000141739821000045/0001417398-21-000045-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
