,https://roic.ai/company/MCY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,12800000,19400000,-21900000,-52400000,-26000000,24200000,529021000,297993000,253443000,48970000,71420000,133478000,201436000,-1990150000,109202000,-28455000,105247000,23932000,-162772000,646352000,-722244000,3971996000,-879631000,-114775000,227792000,30528000,333378000,217427000,380376000,751492000,-93443000,-1931098000,-95334000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,105400000,73700000,46200000,33100000,75900000,92200000,136558000,196624000,268206000,192140000,188925000,153070000,199452000,342562000,444452000,468663000,489818000,361941000,216121000,64601000,189025000,91781000,158525000,148062000,209804000,246535000,190244000,287473000,341405000,383434000,519678000,605616000,501584000
84,CAPEX,- -,- -,- -,- -,-2000000,-2100000,-1100000,-7200000,-7100000,-3700000,-4115000,-5971000,-6854000,-7164000,-9268000,-8342000,-18095000,-29389000,-35015000,-26185000,-42211000,-40644000,-42036000,-48513000,-36336000,-28886000,-18079000,-15177000,-18671000,-26037000,-20112000,-16979000,-19443000,-27959000,-40088000,-39953000,-41442000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-115000000,- -,- -,- -,- -,- -,8000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-284200000,-176700000,-187700000,-421600000,-770600000,-359700000,-596504000,-712984000,-971192000,-1096343000,-691485000,-378199000,-431538000,-902725000,-1115570000,-1416614000,-2194853000,-3130759000,-2360779000,-1059816000,-726205000,-705388000,-824898000,-1007727000,-1448684000,-1467407000,-1715305000,-1983281000,-1610447000,-1733051000,-1909481000,-2108998000,-2418649000
87,Sales/Maturities of Investments,- -,- -,- -,- -,186000000,109200000,156300000,407800000,714100000,281400000,484474000,531493000,740310000,953558000,560702000,284247000,392731000,663489000,793265000,1038533000,1748017000,1954532000,2310515000,1137185000,842081000,759165000,961713000,948860000,1446443000,1295713000,1643350000,1769921000,1436120000,1528469000,1542121000,1717088000,2068998000
88,Other Investing Activites,- -,- -,- -,- -,100000,- -,- -,100000,-100000,-100000,494000,-33462000,1165000,11462000,-2136000,-4307000,-107818000,995000,8127000,797000,101781000,935264000,-576000,5798000,3763000,8209000,5879000,4299000,2561000,3696000,2385000,3619000,8173000,10105000,6247000,20577000,17423000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-100100000,-69600000,-32500000,-20900000,-63700000,-82100000,-115651000,-220924000,-236571000,-138487000,-142187000,-106601000,-164720000,-267630000,-349193000,-403469000,-387266000,-281607000,-92876000,34654000,-31697000,33100000,124615000,-69745000,-18351000,-194035000,-81682000,-226720000,-185597000,-222436000,-401201000,-411286000,-373670000
90,Debt Repayment,- -,- -,- -,- -,-2300000,-3000000,-3000000,-1500000,- -,-15000000,- -,-25000000,- -,- -,-3000000,-27000000,-103039000,-1000000,-1000000,- -,- -,- -,- -,-4500000,- -,- -,-143000000,- -,- -,- -,- -,- -,-320000000,- -,- -,-609000,-825000
91,Common Stock Issued,- -,- -,- -,- -,- -,100000,1100000,900000,600000,300000,458000,1324000,1400000,1965000,717000,1303000,1344000,1581000,1331000,2188000,2394000,1943000,2173000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24291000,-8436000,-6979000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-5700000,-8100000,-10900000,-13600000,-16400000,-19100000,-21837000,-26291000,-31879000,-38451000,-45854000,-51910000,-57430000,-65173000,-71817000,-80632000,-93867000,-104960000,-113802000,-127011000,-127617000,-129863000,-132142000,-134105000,-134776000,-135496000,-136386000,-137201000,-137886000,-138478000,-139071000,-139640000,-140226000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,-100000,- -,25000000,- -,75000000,-1750000,6000000,16000000,36000000,122309000,-1000000,- -,- -,- -,505000,-10977000,19407000,120398000,865000,22007000,2578000,51648000,106395000,2138000,32545000,373173000,358000,701000,- -,215000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-8000000,-11000000,-12800000,-14300000,-15800000,-8800000,-21379000,25033000,-32229000,-54777000,-40573000,-48586000,-36816000,-65592000,-71486000,-78444000,-91473000,-102512000,-122606000,-112104000,-7219000,-128998000,-253135000,-131527000,-83128000,-29101000,-134248000,-104656000,-84713000,-138120000,-138370000,-140249000,-140836000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-8000000,-11000000,-12800000,-14300000,-15800000,-8800000,-472000,733000,-594000,-1124000,6165000,-2117000,-2084000,9340000,23773000,-13250000,11079000,-22178000,639000,-12849000,150109000,-4117000,30005000,-53210000,108325000,23399000,-25686000,-43903000,71095000,22878000,-19893000,54081000,-12922000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2872000,3605000,3011000,1887000,8052000,5935000,3851000,13191000,36964000,23714000,34793000,47606000,48245000,35396000,185505000,181388000,211393000,158183000,266508000,289907000,264221000,220318000,291413000,314291000,294398000,348479000,335557000
99,Cash at the Beginning of Period,- -,- -,- -,- -,16300000,13600000,6600000,7600000,5600000,2000000,3344000,2872000,3605000,3011000,1887000,8052000,5935000,3851000,13191000,36964000,23714000,69784000,47606000,48245000,35396000,185505000,181388000,211393000,158183000,266508000,289907000,264221000,220318000,291413000,314291000,294398000,348479000
100,Free Cash Flow,- -,- -,- -,- -,103400000,71600000,45100000,25900000,68800000,88500000,132443000,190653000,261352000,184976000,179657000,144728000,181357000,313173000,409437000,442478000,447607000,321297000,174085000,16088000,152689000,62895000,140446000,132885000,191133000,220498000,170132000,270494000,321962000,355475000,479590000,565663000,460142000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64996/000089843096001096/0000898430-96-001096-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/64996/000094420999000354/0000944209-99-000354-index.html,- -,https://www.sec.gov/Archives/edgar/data/64996/000089843001001052/0000898430-01-001052-index.html,https://www.sec.gov/Archives/edgar/data/64996/000089843002001049/0000898430-02-001049-index.html,https://www.sec.gov/Archives/edgar/data/64996/000089843003001831/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312504028702/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312505049377/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312506049713/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312507039974/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312508039993/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000006499609000002/0000064996-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/64996/000119312510034302/0001193125-10-034302-index.html,https://www.sec.gov/Archives/edgar/data/64996/000119312511035565/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312512057301/0001193125-12-057301-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499613000004/0000064996-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499614000003/mcy-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000006499615000008/mcy-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000006499616000036/0000064996-16-000036-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499617000004/0000064996-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499618000010/0000064996-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499619000004/0000064996-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499620000012/0000064996-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499621000004/0000064996-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/64996/000006499622000004/0000064996-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
