,https://roic.ai/company/ARCB,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,- -,- -,0.0438,-0.0163,-0.0135,0.0383,0.0402,0.0637,0.0762,0.0498,0.0480,0.0479,0.0724,0.0829,0.0670,0.0462,0.0265,-0.1145,-0.0329,0.0051,-0.0071,0.0083,0.0265,0.0283,0.0107,0.0189,0.0353,0.0213,0.0334,0.0706
19,Total Other Income Expenses (Gains),-27500000,-21500000,-11000000,-11476000,-23528000,-34410000,-22550000,-15830000,-22070000,-11029000,-9215000,410000,1774000,1674000,17325000,6840000,5947000,1386000,3188000,748000,-266000,-2424000,391000,1373000,-2762000,-683000,-1934000,-24712000,-12299000,-5782000,-3832000
20,Income Before Tax,15600000,35700000,40300000,36639000,-46987000,-56738000,40358000,50580000,87637000,129123000,66719000,68631000,74954000,125973000,171510000,131519000,90791000,49910000,-165518000,-53797000,9493000,-16992000,19461000,70612000,72734000,28287000,51576000,84386000,51471000,92496000,277154000
21,Income Before Tax Ratio,0.0176,0.0372,0.0399,0.0334,-0.0327,-0.0342,0.0246,0.0306,0.0509,0.0702,0.0437,0.0483,0.0491,0.0734,0.0922,0.0707,0.0494,0.0272,-0.1124,-0.0324,0.0050,-0.0082,0.0085,0.0270,0.0273,0.0105,0.0182,0.0273,0.0172,0.0315,0.0696
22,Income Tax expense (Gain),7800000,16900000,19300000,17932000,-14195000,-20135000,19389000,21905000,36455000,52968000,25315000,27876000,28844000,50444000,66884000,51018000,33966000,20742000,-37996000,-21376000,3160000,-9260000,3650000,24435000,27880000,9635000,-8150000,17124000,11486000,21396000,63633000
23,Net Income,7300000,-600000,20300000,18707000,-32792000,-36603000,15347000,28675000,50396000,76155000,41404000,16820000,46110000,75529000,104626000,84094000,56825000,29168000,-127889000,-32693000,6159000,-7732000,15811000,46177000,44854000,18652000,59726000,67262000,39985000,71100000,213521000
24,Net Income ratio,0.0083,-0.0006,0.0201,0.0170,-0.0228,-0.0221,0.0093,0.0174,0.0293,0.0414,0.0271,0.0118,0.0302,0.0440,0.0562,0.0452,0.0309,0.0159,-0.0868,-0.0197,0.0032,-0.0037,0.0069,0.0177,0.0168,0.0069,0.0211,0.0217,0.0134,0.0242,0.0536
25,EPS,0.57,-0.03,0.84,0.74,-1.90,-2.10,0.56,1.24,2.34,3.62,1.79,0.68,1.85,3.00,4.13,3.35,2.29,1.17,-5.12,-1.30,0.23,-0.31,0.59,1.69,1.71,0.72,2.32,2.61,1.56,2.80,8.40
26,EPS Diluted,0.57,-0.03,0.84,0.74,-1.90,-2.10,0.56,1.21,2.11,3.17,1.66,0.66,1.81,2.94,4.06,3.30,2.26,1.15,-5.12,-1.30,0.23,-0.31,0.59,1.69,1.67,0.71,2.25,2.51,1.51,2.69,8.08
27,Weighted Average Shares Outstanding,12807018,20000000,24166667,19351796,19520756,19510589,19730357,19658871,19700000,19898619,21741341,24735294,24924324,25176333,25333172,25134308,24822673,24976412,25052303,25187723,25403073,25564752,25714205,25993255,26013716,25751544,25683745,25679736,25535529,25410232,25410232
28,Weighted Average Shares Outstanding Diluted,12807018,20000000,24166667,24347826,24285714,19510589,19730357,20146281,21847393,22723344,23443976,25484848,25475138,25690136,25769951,25503799,25117597,25279963,25052303,25187723,25403073,25564752,25714205,25993612,26530127,26256570,26424389,26698831,26450055,26422523,26422523
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/894405/000095013406003732/0000950134-06-003732-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000095013407003964/0000950134-07-003964-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000095013408003230/0000950134-08-003230-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000095013409003408/0000950134-09-003408-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000095012310016402/0000950123-10-016402-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000110465911009380/0001104659-11-009380-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000110465912014180/0001104659-12-014180-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000110465913015733/0001104659-13-015733-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000144530514000790/0001445305-14-000790-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000110465915015842/0001104659-15-015842-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837016003625/0001558370-16-003625-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837017001164/0001558370-17-001164-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837018001312/0001558370-18-001312-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837019001332/0001558370-19-001332-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837020001796/0001558370-20-001796-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837021002023/0001558370-21-002023-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837022002184/0001558370-22-002184-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7500000,5600000,7000000,3458000,16945000,1806000,7203000,4543000,4319000,36742000,14860000,39644000,5251000,70873000,5767000,5009000,93805000,100880000,39332000,102578000,141295000,90702000,105354000,157042000,164973000,114280000,120772000,190186000,201909000,303954000,76620000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121239000,135317000,79373000,117855000,93861000,39288000,33960000,29054000,35906000,45909000,61597000,56838000,56401000,106806000,116579000,65408000,48339000
33,Cash and Short-Term Investments,7500000,5600000,7000000,3458000,16945000,1806000,7203000,4543000,4319000,36742000,14860000,39644000,5251000,70873000,127006000,140326000,173178000,218735000,133193000,141866000,175255000,119756000,141260000,202951000,226570000,171118000,177173000,296992000,318488000,369362000,124959000
34,Net Receivables,84600000,89100000,104600000,136144000,205196000,186065000,175693000,172476000,187837000,173485000,116430000,130769000,132320000,150812000,165510000,152128000,150528000,118063000,122208000,153583000,157203000,187170000,209812000,234638000,242815000,273977000,298565000,316197000,301353000,335213000,595438000
35,Inventory,19600000,21400000,29100000,32463000,36850000,33831000,30685000,33150000,33050000,2928000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,6900000,8400000,9900000,13734000,63496000,37403000,23315000,19531000,17893000,21298000,35670000,37959000,39006000,51997000,60025000,58503000,58711000,71392000,129341000,104235000,112628000,79124000,67413000,77400000,82698000,76894000,46611000,36037000,44561000,53593000,55656000
37,Total Current Assets,118600000,124500000,150600000,185799000,322487000,259105000,236896000,229700000,243099000,234453000,166960000,208372000,176577000,273682000,352541000,350957000,382417000,408190000,384742000,399684000,445086000,386050000,418485000,514989000,552083000,521989000,522349000,649226000,664402000,758168000,776053000
38,PP&E,197900000,181700000,178200000,215581000,407283000,367633000,285355000,320102000,337094000,346019000,334177000,339403000,347128000,369998000,393759000,461883000,466138000,449575000,428852000,407246000,415418000,444028000,394397000,409850000,483047000,532526000,591164000,631188000,752062000,793885000,802607000
39,Goodwill,- -,- -,- -,151960000,145478000,150154000,130747000,124975000,109385000,105418000,101324000,63811000,63878000,63902000,63916000,63917000,63991000,63897000,3660000,- -,- -,73189000,76448000,77078000,96465000,108875000,108320000,108320000,88320000,88320000,300337000
40,Intangible Assets,110500000,108100000,106100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79561000,75387000,72809000,76787000,80507000,73469000,68949000,58832000,54981000,126580000
41,Intangible Assets,110500000,108100000,106100000,151960000,145478000,150154000,130747000,124975000,109385000,105418000,101324000,63811000,63878000,63902000,63916000,63917000,63991000,63897000,3660000,- -,- -,152750000,151835000,149887000,173252000,189382000,181789000,177269000,147152000,143301000,426917000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62544000,8183000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5965000,7468000,7725000,6158000,5470000
44,Other Non-Current Assets,20100000,14000000,12800000,15705000,110589000,66308000,45341000,35827000,42351000,111234000,120692000,82242000,101459000,99163000,106186000,61959000,70803000,50636000,52292000,54021000,55716000,51634000,52609000,52896000,54527000,66095000,64374000,74080000,79866000,77496000,101629000
45,Total Non-Current Assets,328500000,303800000,297100000,383246000,663350000,584095000,461443000,480904000,488830000,562671000,556193000,548000000,520648000,533063000,563861000,587759000,600932000,564108000,484804000,461267000,471134000,648412000,598841000,612633000,710826000,788003000,843292000,890005000,986805000,1020840000,1336623000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,447100000,428300000,447700000,569045000,985837000,843200000,698339000,710604000,731929000,797124000,723153000,756372000,697225000,806745000,916402000,938716000,983349000,972298000,869546000,860951000,916220000,1034462000,1017326000,1127622000,1262909000,1309992000,1365641000,1539231000,1651207000,1779008000,2112676000
48,Accounts Payable,29400000,32700000,36100000,49368000,74998000,79140000,77403000,72583000,76597000,59999000,50366000,58442000,55764000,62784000,62857000,63477000,60341000,51646000,59386000,62134000,66517000,84292000,89091000,104230000,130869000,133301000,129099000,143785000,134374000,170898000,311401000
49,Short-Term Debt,41300000,35100000,22900000,71150000,26634000,39082000,30285000,36020000,20452000,23948000,14834000,328000,353000,388000,317000,249000,171000,159000,3603000,27024000,45098000,56689000,45122000,41351000,44910000,64143000,61930000,54075000,77570000,88587000,73355000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5442000,2816000,2941000,12398000,5833000,2414000,758000,826000,196000,7089000,7425000,9200000,8549000,8062000,8284000,8539000,10145000,8734000,10784000,12087000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6158000,- -
52,Other Current Liabilities,79300000,83200000,81200000,102881000,201707000,182657000,160016000,155592000,185090000,197419000,127938000,136544000,136825000,167434000,201198000,194688000,184293000,163487000,173566000,144739000,152056000,158727000,175404000,195201000,188818000,190024000,211561000,253458000,232333000,240904000,317938000
53,Total Current Liabilities,150000000,151000000,140200000,223399000,303339000,300879000,267704000,264195000,282139000,281366000,193138000,195314000,192942000,230606000,264372000,258414000,244805000,215292000,236555000,233897000,263671000,299708000,309617000,340782000,364597000,387468000,402590000,451318000,444277000,506547000,702694000
54,Long-Term Debt,211000000,107100000,43700000,59295000,399144000,326950000,202604000,196079000,173702000,152997000,115003000,112151000,1826000,1430000,1433000,1184000,1400000,1457000,13373000,42657000,46750000,112941000,81332000,102474000,167599000,179530000,206989000,237600000,266214000,217119000,263752000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,27900000,26300000,26200000,28842000,48560000,22505000,24448000,22197000,25191000,39519000,31736000,23656000,29106000,37870000,37251000,19452000,30806000,24017000,31023000,19405000,19855000,45309000,64028000,64398000,78055000,91459000,49157000,56441000,66210000,72407000,64893000
57,Other Non-Current Liabilities,2800000,1700000,3900000,5915000,18665000,21416000,21921000,20706000,29845000,31052000,45480000,69791000,72614000,68444000,59265000,80271000,73952000,106786000,87699000,85248000,120329000,117505000,41888000,59085000,63930000,52638000,55443000,76190000,111463000,154342000,152270000
58,Total Non-Current Liabilities,241700000,135100000,73800000,94052000,466369000,370871000,248973000,238982000,228738000,223568000,192219000,205598000,103546000,107744000,97949000,100907000,106158000,132260000,132095000,147310000,186934000,275755000,187248000,225957000,309584000,323627000,311589000,370231000,443887000,443868000,480915000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72542000,119321000,111575000
61,Total Liabilities,391700000,286100000,214000000,317451000,769708000,671750000,516677000,503177000,510877000,504934000,385357000,400912000,296488000,338350000,362321000,359321000,350963000,347552000,368650000,381207000,450605000,575463000,496865000,566739000,674181000,711095000,714179000,821549000,888164000,950415000,1183609000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,195000,195000,195000,196000,196000,197000,202000,245000,250000,253000,258000,263000,264000,265000,267000,267000,269000,271000,273000,275000,277000,279000,282000,285000,287000,288000,290000,294000
64,Retained Earnings,-4100000,-5100000,10500000,24130000,-14782000,-55108000,-44059000,-19413000,26685000,98718000,137635000,154455000,192610000,256129000,347051000,415876000,457536000,471360000,327948000,292129000,295108000,284157000,296735000,338810000,376827000,387161000,438379000,501389000,533187000,595932000,801314000
65,Other Comprehensive Income/Loss,-122300000,-139600000,-147800000,-166436000,-190906000,-222308000,-225733000,-256510000,-286699000,-296679000,-306928000,-9857000,-4100000,-4319000,-5128000,-34389000,-26523000,-57507000,-44212000,-36053000,-58402000,-57372000,-14912000,-23479000,-27496000,-23417000,-20574000,-14238000,203000,1190000,3699000
66,Other Total Stockholders Equity,181800000,286900000,371000000,393705000,421622000,448671000,451258000,483154000,480869000,489949000,506844000,210612000,211974000,216327000,211895000,197644000,201108000,210626000,216893000,223399000,228638000,231941000,238363000,245275000,239118000,234871000,233372000,230244000,229365000,231181000,- -
67,Total Stockholders Equity,55400000,142200000,233700000,251594000,216129000,171450000,181662000,207427000,221052000,292190000,337796000,355460000,400737000,468395000,554081000,579395000,632386000,624746000,500896000,479744000,465615000,458999000,520461000,560883000,588728000,598897000,651462000,717682000,763043000,828593000,929067000
68,Total Liabilities And Stockholders Equity,447100000,428300000,447700000,569045000,985837000,843200000,698339000,710604000,731929000,797124000,723153000,756372000,697225000,806745000,916402000,938716000,983349000,972298000,869546000,860951000,916220000,1034462000,1017326000,1127622000,1262909000,1309992000,1365641000,1539231000,1651207000,1779008000,2112676000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,447100000,428300000,447700000,569045000,985837000,843200000,698339000,710604000,731929000,797124000,723153000,756372000,697225000,806745000,916402000,938716000,983349000,972298000,869546000,860951000,916220000,1034462000,1017326000,1127622000,1262909000,1309992000,1365641000,1539231000,1651207000,1779008000,2112676000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/894405/000095013406003732/0000950134-06-003732-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000095013407003964/0000950134-07-003964-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000095013408003230/0000950134-08-003230-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000095013409003408/0000950134-09-003408-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000095012310016402/0000950123-10-016402-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000110465911009380/0001104659-11-009380-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000110465912014180/0001104659-12-014180-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000110465913015733/0001104659-13-015733-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000144530514000790/0001445305-14-000790-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000110465915015842/0001104659-15-015842-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837016003625/0001558370-16-003625-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837017001164/0001558370-17-001164-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837018001312/0001558370-18-001312-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837019001332/0001558370-19-001332-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837020001796/0001558370-20-001796-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837021002023/0001558370-21-002023-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837022002184/0001558370-22-002184-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7300000,-600000,20300000,18707000,-32792000,-36603000,15347000,28675000,50396000,76155000,41404000,16820000,46110000,75529000,104626000,84094000,56825000,29168000,-127889000,-32693000,6159000,-7732000,15811000,46177000,44854000,18652000,59726000,67262000,39985000,71100000,213521000
74,Depreciation and Amortization,-39800000,-34500000,-28300000,32115000,52806000,64738000,53084000,47609000,49761000,56454000,54548000,49219000,51925000,55052000,62096000,67727000,77318000,77165000,76504000,71832000,73975000,87754000,88389000,86222000,93042000,103053000,103068000,108635000,112466000,118391000,124221000
75,Deferred Income Tax,100000,1200000,-2100000,3189000,-8995000,-3735000,16310000,1962000,3128000,10117000,-52000,8412000,2569000,7313000,-5370000,351000,6160000,12571000,-4942000,-11457000,3056000,-10359000,-10367000,4692000,16435000,9522000,-10213000,1872000,5411000,7715000,-7589000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6106000,6157000,5690000,6450000,6068000,5494000,6998000,8029000,7588000,6958000,8413000,9523000,10478000,11426000
77,Change in Working Capital,-4200000,4900000,36900000,-48000000,56748000,-60922000,10966000,-3687000,-4545000,-7873000,20735000,39236000,-29423000,59441000,45093000,4374000,45069000,55286000,-44711000,17600000,15628000,-95073000,22526000,65339000,13279000,-52965000,-14762000,78149000,22217000,31496000,-4087000
78,Accounts Receivable,-1400000,-12200000,-14200000,-15300000,-23800000,13500000,-7600000,-2900000,-24300000,-12568000,35236000,-15914000,-3125000,-19946000,-16838000,6108000,533000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-800000,-3400000,-6000000,-6400000,3500000,3200000,- -,-1800000,5500000,-1102000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1900000,15800000,-200000,14400000,-47500000,-24500000,10900000,-10500000,32000000,10996000,-51263000,21371000,4735000,32570000,26978000,-18327000,-377000,- -,- -,- -,- -,3610000,8571000,32464000,-15092000,-11256000,10393000,52020000,-27039000,41281000,106064000
81,Other Working Capital,-31400000,-26500000,10400000,-37600000,19148000,-41774000,-30808000,-34495000,-39040000,-46913000,-26178000,13058000,-16365000,43076000,88169000,92543000,137612000,192898000,148187000,165787000,181415000,86342000,108868000,174207000,187486000,134521000,119759000,197908000,220125000,251621000,623000
82,Other Non-Cash Items,77000000,88400000,8800000,42742000,-133991000,66718000,-19508000,-2287000,15660000,-7115000,-51788000,-25019000,3151000,-60363000,-58898000,11910000,-42239000,-74959000,106671000,-24685000,-4416000,103876000,-28349000,-65662000,-29620000,24408000,7138000,-8984000,-19238000,-33191000,-13977000
83,Cash Provided by Operating Activities,40400000,59400000,35600000,48753000,-66224000,30196000,76199000,72272000,114400000,127738000,64847000,88668000,74332000,136972000,147547000,168456000,143133000,105337000,11790000,26287000,100852000,84534000,93504000,143766000,146019000,110258000,151915000,255347000,170364000,205989000,323515000
84,CAPEX,-7500000,-21100000,-13700000,-47298000,-49690000,-27747000,-11645000,-60866000,-52590000,-97245000,-74670000,-55668000,-68171000,-95443000,-122248000,-151580000,-101269000,-64054000,-53220000,-15777000,-58522000,-44496000,-34037000,-43901000,-86937000,-78743000,-75621000,-54089000,-102431000,-57489000,-78473000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,39031000,- -,- -,- -,40455000,- -,- -,- -,- -,- -,- -,- -,-4873000,- -,- -,-180039000,-4146000,-2647000,-29813000,-22000000,2490000,4680000,- -,- -,-230367000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-378445000,-386358000,-292064000,-146655000,-109806000,-65171000,-59718000,-55858000,-39605000,-45831000,-61363000,-69400000,-73459000,-108495000,-129709000,-165133000,-81361000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295680000,372280000,348008000,107404000,133800000,119744000,64995000,60730000,32718000,35853000,45831000,74167000,73842000,58698000,120409000,216735000,73182000
88,Other Investing Activites,3400000,10400000,8300000,-41715000,-65818000,65313000,37340000,15283000,-11708000,6285000,7315000,7493000,77897000,27847000,54232000,29246000,7468000,11748000,-263000,1524000,1767000,-821000,-5474000,-3490000,-1873000,-1668000,-5561000,-5841000,2014000,-893000,-6246000
89,Cash Used for Investing Activites,-4100000,-10700000,-5400000,-89013000,-115508000,37566000,64726000,-45583000,-61793000,-87300000,-26900000,-48175000,9726000,-67596000,-150781000,-132295000,-33258000,-86232000,-29186000,44675000,-46183000,-213266000,-42876000,-51598000,-125643000,-87172000,-68469000,-94950000,-98241000,7461000,-303204000
90,Debt Repayment,-116000000,-224100000,-131200000,-57616000,-62119000,-347041000,-605235000,-587100000,-474416000,-117659000,-116034000,-76391000,-384031000,-76455000,-1954000,-2367000,-1360000,-354000,-1433000,-8077000,-16056000,-53000000,-43176000,-40440000,-100813000,-52202000,-68924000,-71260000,-58938000,-326098000,-173872000
91,Common Stock Issued,39300000,140900000,71900000,37000,171000,- -,- -,- -,- -,- -,- -,- -,- -,8652000,5394000,5877000,2683000,2976000,469000,1828000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-55800000,- -,- -,- -,- -,- -,- -,- -,-3924000,-828000,- -,-4852000,-7527000,-12621000,-26870000,-4945000,- -,- -,- -,- -,- -,- -,- -,-12765000,-9510000,-6019000,-9404000,-9110000,-6595000,-83100000
