,https://roic.ai/company/ACLS,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,4568000,3393000,3752000,4756000,5474000,12994000,16176000,9403000,9997000,3936000,3884000,4759000,5730000,5844000,7236000,-7775000,52973000,52371000,53357000,52036000,55353000,56754000,9744000
58,Total Non-Current Liabilities,14806000,10784000,3752000,129756000,130474000,137994000,141176000,86290000,89920000,5808000,4447000,7176000,7218000,6300000,22087000,7204000,53652000,53045000,55321000,55107000,60003000,58591000,64141000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47586000,47586000,47714000,47757000,48548000,48149000,47394000
61,Total Liabilities,80539000,180962000,88535000,216943000,232345000,245389000,235402000,276431000,183923000,135804000,34204000,75305000,54690000,36082000,57547000,59302000,98020000,100776000,134608000,140104000,128667000,143022000,214281000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,97000,97000,98000,99000,100000,101000,101000,103000,103000,104000,106000,107000,108000,110000,113000,116000,30000,32000,33000,33000,34000,33000
64,Retained Earnings,- -,58682000,38519000,12369000,-101507000,-27332000,-31187000,9583000,-1815000,-198479000,-275947000,-293520000,-288443000,-322477000,-339621000,-350887000,-336209000,-331704000,-204745000,-157260000,-140226000,-91969000,-22722000
65,Other Comprehensive Income/Loss,-44629000,-48847000,-55939000,-6274000,4487000,14602000,-8109000,-871000,10210000,35425000,5139000,6232000,4777000,5020000,5739000,1276000,-1431000,-2279000,2176000,448000,-258000,3435000,1765000
66,Other Total Stockholders Equity,386925000,481437000,480184000,446315000,450171000,456117000,465236000,468749000,477508000,482328000,487103000,492749000,498114000,503425000,509774000,517850000,527784000,535408000,556147000,565116000,559878000,570102000,- -
67,Total Stockholders Equity,342296000,491369000,462861000,452508000,353250000,443487000,426041000,477562000,486006000,319377000,216399000,205567000,214555000,186076000,176002000,168352000,190260000,201455000,353610000,408337000,419427000,481602000,538959000
68,Total Liabilities And Stockholders Equity,422835000,672331000,551396000,669451000,585595000,688876000,661443000,753993000,669929000,455181000,250603000,280872000,269245000,222158000,233549000,227654000,288280000,302231000,488218000,548441000,548094000,624624000,753240000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,422835000,672331000,551396000,669451000,585595000,688876000,661443000,753993000,669929000,455181000,250603000,280872000,269245000,222158000,233549000,227654000,288280000,302231000,488218000,548441000,548094000,624624000,753240000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1113232/000111323201500003/0001113232-01-500003-index.html,- -,https://www.sec.gov/Archives/edgar/data/1113232/000111323203000002/0001113232-03-000002-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000111323204000002/0001113232-04-000002-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000104746905006525/0001047469-05-006525-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000110465906016419/a06-2557_110k.htm,https://www.sec.gov/Archives/edgar/data/1113232/000110465907019614/a07-5787_110k.htm,https://www.sec.gov/Archives/edgar/data/1113232/000104746908002914/a2183706z10-k.htm,https://www.sec.gov/Archives/edgar/data/1113232/000104746909003537/0001047469-09-003537-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000104746910002204/0001047469-10-002204-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000104746911002119/a2202563z10-k.htm,https://www.sec.gov/Archives/edgar/data/1113232/000104746912001874/0001047469-12-001874-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000104746913002045/0001047469-13-002045-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000104746914001681/a2218577z10-k.htm,https://www.sec.gov/Archives/edgar/data/1113232/000104746915001994/a2223440z10-k.htm,https://www.sec.gov/Archives/edgar/data/1113232/000104746916010788/0001047469-16-010788-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000155837017001778/0001558370-17-001778-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000155837018002060/0001558370-18-002060-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000155837019001791/0001558370-19-001791-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000155837020001858/0001558370-20-001858-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000155837021001972/0001558370-21-001972-index.htm,https://www.sec.gov/Archives/edgar/data/1113232/000155837022002096/0001558370-22-002096-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,14428000,99115000,-20163000,-26150000,-113876000,74175000,-3855000,40770000,-11398000,-196664000,-77468000,-17573000,5077000,-34034000,-17144000,-11266000,14678000,11001000,126959000,45885000,17034000,49982000,98650000
74,Depreciation and Amortization,19082000,17814000,21215000,11758000,13563000,22981000,23732000,20137000,21911000,23571000,7436000,7045000,8497000,6877000,5075000,4589000,4869000,4258000,5002000,5772000,7880000,9939000,10818000
75,Deferred Income Tax,-2758000,-8355000,-16017000,-39648000,73685000,-4974000,-828000,-209000,-91000,189000,-765000,-1525000,585000,826000,-1465000,1266000,779000,519000,-82085000,11209000,3304000,4685000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,4709000,4651000,4088000,4687000,3976000,4337000,4812000,5575000,5179000,5672000,7784000,8173000,10485000,12067000
77,Change in Working Capital,-62822000,127589000,-70936000,65974000,-64398000,70210000,2945000,-16233000,-231000,-173497000,52667000,-3348000,4060000,-19118000,4005000,-16411000,59048000,913000,67490000,51286000,-4759000,79345000,82746000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,48644000,8572000,-38652000,22692000,10478000,-11528000,-7069000,5171000,-14135000,-23573000,-3877000,-6002000,-1393000,-18146000
79,Inventory,-16989000,-39431000,15822000,-7327000,-4410000,9896000,4120000,-47335000,-5700000,-6942000,26445000,3549000,-11870000,5903000,2209000,-12280000,-15938000,-6572000,5703000,-10512000,-17953000,-17652000,3755000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23330000,-11038000,32276000,-17940000,-13490000,7308000,772000,5997000,799000,25000000,-703000,-19150000,18062000,22046000
81,Other Working Capital,169759000,297348000,226412000,292386000,227988000,298198000,301143000,284910000,284679000,111182000,163849000,160501000,164561000,145443000,149448000,133037000,192085000,192998000,260488000,311774000,307015000,386360000,469106000
82,Other Non-Cash Items,-7035000,-136480000,69324000,-67918000,35217000,-90759000,-34164000,-25447000,-41295000,292973000,-20463000,5421000,-19373000,30876000,-9850000,965000,-66690000,-30669000,-66754000,-74971000,-45226000,-84733000,-54091000
83,Cash Provided by Operating Activities,-39105000,99683000,-16577000,-55984000,-55809000,71633000,-12170000,19018000,-31104000,-48719000,-33942000,-5892000,3533000,-10597000,-15042000,-16045000,18259000,-8799000,56284000,46965000,-13594000,69703000,150190000
84,CAPEX,-16914000,-21848000,-29577000,-11751000,-4993000,-5541000,-7794000,-6924000,-10386000,-3407000,-463000,-1403000,-2124000,-591000,-821000,-896000,-1830000,-2506000,-7285000,-4715000,-11969000,-7434000,-8718000
85,Acquisitions Net,-2205000,- -,- -,- -,-14572000,- -,-1500000,- -,- -,- -,122257000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-34992000,-2063000,-3545000,-108125000,-72329000,-13000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,20020000,- -,92965000,103763000,76200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,10829000,677000,-260000,575000,6035000,-4893000,-924000,-4862000,9624000,1491000,7056000,3000,8123000,485000,-896000,-1830000,-2236000,-7285000,-4715000,-11969000,-7266000,- -
89,Cash Used for Investing Activites,-19119000,-11019000,-28900000,-47003000,-1033000,-3051000,-29347000,23586000,47952000,6217000,123285000,5653000,-2121000,8123000,485000,-896000,-1830000,-2236000,-7285000,-4715000,-11969000,-7266000,-8718000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83344000,- -,- -,- -,- -,-470000,-14922000,- -,- -,- -,- -,-399000,-763000
91,Common Stock Issued,- -,348585000,3166000,5774000,3639000,4872000,3604000,3516000,2904000,786000,184000,569000,502000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1218000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17744000,-7501000,-49992000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,58416000,-272622000,- -,121578000,- -,- -,- -,24217000,-74217000,110000,45000,30000,89000,1299000,15720000,3226000,46344000,2430000,15070000,1186000,4336000,5513000,-1698000
95,Cash Used/Provided by Financing Activities,58416000,75963000,1948000,127352000,3639000,4872000,3604000,27733000,-71313000,896000,-83115000,599000,591000,1299000,15720000,2756000,31422000,2430000,15070000,1186000,-13408000,-2387000,-52453000
96,Effect of Forex Changes on Cash,- -,- -,-451000,2109000,154000,1792000,1035000,-1303000,-2109000,-4577000,1098000,363000,-869000,-716000,141000,-1352000,285000,507000,-844000,586000,603000,-2352000,2429000
97,Net Change In Cash,192000,164627000,-43980000,26474000,-53049000,75246000,-36878000,69034000,-56574000,-46183000,7326000,723000,1134000,-1891000,1304000,-15537000,48136000,-8098000,63225000,44022000,-38368000,57698000,91448000
98,Cash at the End of Period,3530000,168157000,124177000,150651000,93249000,168495000,71417000,140451000,83877000,37694000,45020000,45743000,46877000,44986000,46290000,30753000,78889000,70791000,140880000,184902000,146534000,204232000,295680000
99,Cash at the Beginning of Period,3338000,3530000,168157000,124177000,146298000,93249000,108295000,71417000,140451000,83877000,37694000,45020000,45743000,46877000,44986000,46290000,30753000,78889000,77655000,140880000,184902000,146534000,204232000
100,Free Cash Flow,-56019000,77835000,-46154000,-67735000,-60802000,66092000,-19964000,12094000,-41490000,-52126000,-34405000,-7295000,1409000,-11188000,-15863000,-16941000,16429000,-11305000,48999000,42250000,-25563000,62269000,141472000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1113232/000111323201500003/0001113232-01-500003-index.html,- -,https://www.sec.gov/Archives/edgar/data/1113232/000111323203000002/0001113232-03-000002-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000111323204000002/0001113232-04-000002-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000104746905006525/0001047469-05-006525-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000110465906016419/a06-2557_110k.htm,https://www.sec.gov/Archives/edgar/data/1113232/000110465907019614/a07-5787_110k.htm,https://www.sec.gov/Archives/edgar/data/1113232/000104746908002914/a2183706z10-k.htm,https://www.sec.gov/Archives/edgar/data/1113232/000104746909003537/0001047469-09-003537-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000104746910002204/0001047469-10-002204-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000104746911002119/a2202563z10-k.htm,https://www.sec.gov/Archives/edgar/data/1113232/000104746912001874/0001047469-12-001874-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000104746913002045/0001047469-13-002045-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000104746914001681/a2218577z10-k.htm,https://www.sec.gov/Archives/edgar/data/1113232/000104746915001994/a2223440z10-k.htm,https://www.sec.gov/Archives/edgar/data/1113232/000104746916010788/0001047469-16-010788-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000155837017001778/0001558370-17-001778-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000155837018002060/0001558370-18-002060-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000155837019001791/0001558370-19-001791-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000155837020001858/0001558370-20-001858-index.html,https://www.sec.gov/Archives/edgar/data/1113232/000155837021001972/0001558370-21-001972-index.htm,https://www.sec.gov/Archives/edgar/data/1113232/000155837022002096/0001558370-22-002096-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
