,https://roic.ai/company/MIDD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20400000,24300000,- -,24100000,24800000,25400000,60000000,63900000,- -,63500000,94045000,106200000,124800000,- -,141500000,146400000,549617000,242400000,311400000,- -,328314000,488409000,473653000,558952000,593137000,- -,700258000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41300000,37400000,- -,24300000,25900000,8300000,86200000,73600000,- -,42000000,107815000,66000000,93500000,- -,228300000,268100000,1504000,258200000,570200000,- -,588765000,726243000,1023732000,1888898000,1870246000,- -,1706652000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12170000,12870000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7878000,- -,8264000,8207000,5867000,- -,- -,33687000,14187000,37845000,44838000,61433000,- -,88800000,77760000,87815000,113896000,133500000,- -,147224000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,1800000,- -,2900000,4200000,7100000,25800000,17922000,- -,18736000,5351000,9733000,12400000,- -,23013000,45013000,46577000,48862000,37867000,- -,53492000,359406000,393365000,310662000,445576000,- -,671691000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43100000,39200000,- -,27200000,30100000,15400000,112000000,99400000,- -,69000000,121373000,81600000,105900000,- -,285000000,327300000,85926000,351900000,669500000,- -,731057000,1163409000,1504912000,2325626000,2462192000,- -,2525567000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21827000,- -,22493000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63500000,63500000,- -,51300000,54900000,40800000,172000000,163300000,- -,132500000,215418000,187800000,230700000,- -,426500000,473700000,635543000,594300000,980900000,- -,1059371000,1651818000,1978565000,2884578000,3055329000,- -,3225825000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,100000,100000,100000,100000,100000,- -,100000,117000,100000,100000,- -,100000,100000,137000,100000,100000,- -,144000,144000,145000,145000,145000,- -,147000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,-5600000,- -,-300000,-4300000,-2700000,-1000000,5100000,- -,21500000,73540000,115900000,166900000,- -,230800000,287400000,455727000,576400000,730400000,- -,923664000,1399490000,1697618000,2009233000,2361462000,- -,2568756000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-400000,- -,-2800000,-4800000,-3600000,-2600000,-5200000,- -,-4600000,-1000000,800000,1000000,- -,-5000000,-4000000,-21000000,-12000000,-9000000,- -,-76000000,-284000000,-266000000,-276000000,-351000000,- -,-488428000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28100000,28400000,- -,55300000,53700000,43700000,42900000,44632000,- -,45090000,-24157000,-16227000,14912000,- -,2060000,59155000,76105000,85527000,116847000,- -,158952000,149684000,-70615000,-68175000,-63793000,- -,-103826000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21800000,22500000,- -,52300000,44700000,37500000,39400000,44632000,- -,62090000,48500000,100573000,182912000,- -,227960000,342655000,510969000,650027000,838347000,- -,1006760000,1265318000,1361148000,1665203000,1946814000,- -,1976649000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85300000,86000000,- -,103600000,99600000,78300000,211400000,207932000,- -,194590000,263918000,288373000,413612000,- -,654460000,816355000,1146512000,1244327000,1819247000,- -,2066131000,2917136000,3339713000,4549781000,5002143000,- -,5202474000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,100000,- -,- -,68000,- -,10000,- -,-73000,-12000,- -,40000,-55000,- -,-27000,-47000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85200000,86000000,- -,103600000,99700000,78300000,211400000,208000000,- -,194600000,263918000,288300000,413600000,- -,654500000,816300000,1146512000,1244300000,1819200000,- -,2066131000,2917136000,3339713000,4549781000,5002143000,- -,5202474000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/769520/000089155401501703/0000891554-01-501703-index.html,https://www.sec.gov/Archives/edgar/data/769520/000089155402001659/0000891554-02-001659-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000116923203002421/0001169232-03-002421-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/769520/000115752304002960/0001157523-04-002960-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000114420406010303/0001144204-06-010303-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000114420407012915/0001144204-07-012915-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000114420408012109/0001144204-08-012109-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/769520/000114420409012162/0001144204-09-012162-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000114420410011289/0001144204-10-011289-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000114420412015141/0001144204-12-015141-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000144530513000370/0001445305-13-000370-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000144530514000623/0001445305-14-000623-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/769520/000076952015000003/0000769520-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000076952017000003/0000769520-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000076952018000003/0000769520-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000076952019000003/0000769520-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000076952020000004/0000769520-20-000004-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/769520/000076952021000003/0000769520-21-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,-1000000,-7500000,-1900000,3400000,3100000,3200000,1200000,- -,5200000,-4000000,3500000,1600000,6100000,- -,18700000,32178000,42400000,52600000,- -,63900000,61200000,95473000,120700000,153900000,- -,193312000,284216000,298128000,317152000,352240000,- -,207294000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,4100000,4200000,3900000,3100000,2400000,3400000,2800000,- -,3000000,3200000,3661000,3582000,6280000,- -,3990000,3554000,4861000,6360000,- -,12390000,15888000,19708000,26903000,43164000,- -,41252000,58234000,69774000,97238000,103428000,- -,110532000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,- -,- -,- -,- -,1386000,807000,677000,4582000,- -,-1542000,11123000,5421000,-83000,-2975000,- -,15341000,21363000,-14492000,20489000,22212000,- -,16421000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10721000,18133000,11984000,11862000,- -,16690000,27905000,6237000,2497000,8133000,- -,19613000
77,Change in Working Capital,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,28700000,-3700000,- -,13800000,-8200000,-9000000,-6400000,1200000,- -,-10400000,-3310000,3910000,50100000,- -,6600000,2400000,-262034000,352434000,64100000,- -,51517000,38173000,134946000,44406000,113417000,- -,-45824000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23145000,-18990000,-3880000,-17524000,- -,-20577000,-33908000,26180000,-25347000,-27748000,- -,90399000
79,Inventory,- -,- -,- -,- -,- -,2400000,2300000,-3000000,-3800000,1400000,-5500000,-2600000,- -,-3100000,1800000,-1488000,3682000,1719000,- -,2136000,-1323000,-4030000,-1150000,- -,-7105000,17257000,-2287000,-19026000,-19819000,- -,-2064000,-22246000,-9744000,-28378000,-28288000,- -,66690000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4564000,-2581000,2684000,-9248000,- -,-7872000,-7730000,-21631000,13611000,-29396000,- -,-3015000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28700000,25000000,- -,38800000,30600000,19100000,12700000,13900000,- -,3500000,7590000,11500000,61600000,- -,68200000,70600000,-182234000,170200000,234300000,- -,285817000,323290000,458236000,502642000,616059000,- -,570235000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,100000,6000000,-6500000,-10800000,-100000,-30000000,100000,- -,-20100000,12100000,19492000,14572000,5952000,- -,16114000,9030000,-1779000,-54147000,- -,4001000,-558000,253692000,-383592000,-123893000,- -,-84230000,-135781000,-190138000,-112868000,-222005000,- -,216749000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,3700000,2700000,-4500000,-4300000,5400000,5300000,400000,- -,1900000,2300000,17653000,13354000,19532000,- -,29790000,42259000,50069000,59495000,- -,85349000,100774000,130393000,128346000,146158000,- -,233882000,294110000,304455000,368914000,377425000,- -,524785000
