,https://roic.ai/company/MDRX,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,- -,-1.63,-0.91,-2.06,-11.07,-0.40,-0.13,0.08,0.24,0.23,0.37,0.31,0.21,- -,0.40,-0.01,-0.59,-0.37,-0.01,-0.14,-1.09,2.07,-1.10,4.40,1.09
26,EPS Diluted,- -,-1.63,-0.91,-2.06,-11.07,-0.40,-0.13,0.07,0.23,0.22,0.35,0.31,0.21,- -,0.40,-0.01,-0.59,-0.37,-0.01,-0.14,-1.09,2.04,-1.10,4.40,1.02
27,Weighted Average Shares Outstanding,- -,4601227,16426000,27900000,37835000,38337000,38621000,38979000,40045000,51058000,55712000,82900000,122600000,145100000,189300000,178700000,177000000,179800000,185100000,186200000,180800000,176000000,166300000,159281000,123900000
28,Weighted Average Shares Outstanding Diluted,- -,4601227,16426000,27900000,37835000,38337000,38621000,41592000,43068000,53367000,64671000,82900000,127600000,145100000,191000000,178700000,177000000,179800000,185100000,186200000,180800000,178500000,166300000,159281000,131400000
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1124804/000091205702011684/0000912057-02-011684-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000104746903011265/0001047469-03-011265-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000119312504040902/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312505042789/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312506055166/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312507044362/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312508043801/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312508091030/0001193125-08-091030-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1124804/000119312512089621/0001193125-12-089621-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000119312513087986/0001193125-13-087986-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000119312514080251/d637428d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000156459015001152/mdrx-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1124804/000156459016013600/0001564590-16-013600-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459017002448/0001564590-17-002448-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459018003105/0001564590-18-003105-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459019003905/0001564590-19-003905-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459020008173/0001564590-20-008173-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459021009410/0001564590-21-009410-index.htm,https://www.sec.gov/Archives/edgar/data/1124804/000095017022002112/0000950170-22-002112-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,700000,40600000,76513000,34124000,17247000,13336000,16972000,60905000,42461000,43785000,300000,71159000,129403000,157753000,103956000,62954000,53173000,116873000,96610000,155839000,174243000,129668000,531104000,188351000
32,Short-Term Investments,- -,- -,15000000,20663000,6352000,19117000,3435000,22796000,54408000,14553000,5759000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,700000,55600000,97176000,40476000,36364000,16771000,39768000,115313000,57014000,49544000,300000,71159000,129403000,157753000,103956000,62954000,53173000,116873000,96610000,155839000,174243000,129668000,531104000,188351000
34,Net Receivables,- -,9500000,5500000,15141000,15183000,19406000,18456000,22009000,29746000,55579000,81351000,48300000,155122000,317214000,362793000,337024000,313486000,331625000,327851000,405172000,567873000,531715000,555733000,479493000,451880000
35,Inventory,- -,2900000,3600000,5290000,6225000,3988000,3249000,2372000,2174000,3247000,4178000,1900000,2583000,3816000,2059000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,300000,700000,1724000,2962000,3337000,3863000,3571000,5811000,38057000,34051000,10800000,32113000,125023000,158044000,166522000,163379000,138013000,93622000,102551000,122122000,153007000,155861000,142625000,121111000
37,Total Current Assets,- -,13400000,65400000,119331000,64846000,63095000,42339000,67720000,153044000,153897000,169124000,61300000,260977000,575456000,680649000,607502000,539819000,522811000,538346000,604333000,845834000,858965000,841262000,1153222000,761342000
38,PP&E,- -,1800000,4900000,11792000,8501000,4384000,2237000,2366000,2753000,14094000,18238000,6100000,17343000,114294000,122563000,155494000,174013000,145830000,125617000,148810000,165603000,121913000,186359000,168763000,116811000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,188261000,240452000,82400000,418431000,1037004000,1039364000,1039364000,1189585000,1200746000,1222601000,1924052000,2004953000,1373744000,1362017000,974729000,974478000
40,Intangible Assets,- -,3700000,3600000,149690000,5516000,4793000,26359000,24546000,22911000,90335000,131618000,8600000,227766000,554669000,588226000,522565000,544215000,489515000,433421000,905282000,1049061000,640741000,618071000,479804000,408034000
41,Intangible Assets,- -,3700000,3600000,149690000,5516000,4793000,26359000,24546000,22911000,278596000,372070000,91000000,646197000,1591673000,1627590000,1561929000,1733800000,1690261000,1656022000,2829334000,3054014000,2014485000,1980088000,1454533000,1382512000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,2267000,1733000,1675000,1706000,1329000,1305000,223429000,178703000,52265000,37040000,43806000,35805000,61553000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5497000,5017000,7529000,7361000,708000,2298000,2791000,4574000,5036000,5704000,5790000,6607000
44,Other Non-Current Assets,- -,- -,100000,24607000,38581000,32081000,39457000,99545000,42256000,31023000,18711000,12900000,25872000,129934000,79847000,50304000,163341000,147249000,136236000,68188000,107860000,144045000,148520000,99505000,96404000
45,Total Non-Current Assets,- -,5500000,8600000,186089000,52598000,41258000,68053000,126457000,67920000,323713000,409019000,118000000,691679000,1843131000,1836692000,1776962000,2079844000,1985353000,2143602000,3227826000,3384316000,2322519000,2364477000,1764396000,1663887000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,18900000,74000000,305420000,117444000,104353000,110392000,194177000,220964000,477610000,578143000,179300000,952656000,2418587000,2517341000,2384464000,2619663000,2508164000,2681948000,3832159000,4230150000,3181484000,3205739000,2917618000,2425229000
48,Accounts Payable,- -,7800000,4400000,7269000,5626000,4488000,6082000,5981000,8630000,9294000,15911000,14300000,19239000,46592000,41215000,45874000,72956000,70824000,60004000,126144000,97583000,73166000,104014000,35905000,16836000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,258000,279000,3200000,800000,30751000,45477000,79305000,16350000,27504000,12609000,17609000,30442000,20059000,364465000,364465000,19599000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,1877000,3882000,6547000,10959000,14607000,17306000,35549000,45940000,- -,86032000,228606000,288900000,290653000,251038000,293022000,315925000,363772000,546830000,466797000,379843000,334764000,325900000
52,Other Current Liabilities,- -,5300000,2200000,5071000,8977000,7334000,7906000,12218000,13791000,26546000,31927000,50600000,58057000,125122000,135165000,137224000,176695000,130050000,124419000,159552000,193412000,237708000,362368000,199643000,184747000
53,Total Current Liabilities,- -,13100000,6600000,14217000,18485000,18369000,24947000,32806000,39727000,71647000,94057000,68100000,164128000,431071000,510757000,553056000,517039000,521400000,512957000,667077000,868267000,797730000,1210690000,934777000,547082000
54,Long-Term Debt,- -,100000,100000,- -,- -,- -,- -,82500000,82500000,85441000,135162000,- -,63699000,459750000,322664000,362697000,545133000,548682000,612405000,1294771000,1531918000,647539000,551004000,167587000,414884000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6451000,18891000,19750000,29080000,23168000,20273000,18009000,24047000,15984000,12337000,3471000,4407000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3915000,6179000,- -,20368000,88501000,119728000,125913000,79694000,55437000,22164000,141752000,93643000,58470000,21038000,18186000,16625000
57,Other Non-Current Liabilities,- -,- -,- -,228000,325000,163000,2055000,178000,318000,357000,2105000,500000,4091000,49046000,68581000,38707000,130572000,75257000,95076000,437349000,552203000,81334000,125482000,127354000,34093000
58,Total Non-Current Liabilities,- -,100000,100000,228000,325000,163000,2055000,82678000,82818000,89713000,143446000,500000,88158000,603748000,529864000,547067000,784479000,702544000,749918000,1891881000,2201811000,803327000,709861000,316598000,470009000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19003000,14970000,1764000,118299000,115727000,84421000
61,Total Liabilities,- -,13200000,6600000,14445000,18810000,18532000,27002000,115484000,122545000,161360000,237503000,68600000,252286000,1034819000,1040621000,1100123000,1301518000,1223944000,1262875000,2558958000,3070078000,1601057000,1920551000,1251375000,1017091000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,200000,294000,381000,385000,391000,401000,423000,543000,569000,800000,1423000,2507000,2547000,2571000,2635000,2651000,2665000,2680000,2693000,2709000,2725000,2745000,2766000
64,Retained Earnings,- -,-50800000,-62000000,-119375000,-538306000,-553539000,-558518000,-555410000,-545700000,-533805000,-513242000,-173300000,-147291000,-89986000,-16377000,-17530000,-121556000,-188009000,-190235000,-187351000,-338150000,132842000,-49336000,633118000,767556000
65,Other Comprehensive Income/Loss,- -,-4900000,-5500000,-8842000,-15547000,-19891000,-22866000,-24360000,-1000000,-32858000,-39619000,-27000000,-19000,2333000,-1000000,-128268000,-2000000,-2000000,-4000000,-62000000,-2000000,-5000000,-4000000,-1838000,-2765000
66,Other Total Stockholders Equity,- -,61400000,134700000,418898000,652106000,658866000,664383000,658062000,644696000,882370000,892932000,310100000,846257000,1468914000,1491550000,1427568000,1439066000,1471578000,1599454000,1479137000,1458339000,1420562000,1335799000,1032218000,640581000
67,Total Stockholders Equity,- -,5700000,67400000,290975000,98634000,85821000,83390000,78693000,98419000,316250000,340640000,110600000,700370000,1383768000,1476720000,1284341000,1318145000,1284220000,1407884000,1232466000,1120882000,1551113000,1285188000,1666243000,1408138000
68,Total Liabilities And Stockholders Equity,- -,18900000,74000000,305420000,117444000,104353000,110392000,194177000,220964000,477610000,578143000,179200000,952656000,2418587000,2517341000,2384464000,2619663000,2508164000,2670759000,3791424000,4190960000,3152170000,3205739000,2917618000,2425229000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,11189000,40735000,39190000,29314000,- -,- -,- -
70,Total Liabilities & Equity,- -,18900000,74000000,305420000,117444000,104353000,110392000,194177000,220964000,477610000,578143000,179300000,952656000,2418587000,2517341000,2384464000,2619663000,2508164000,2681948000,3832159000,4230150000,3181484000,3205739000,2917618000,2425229000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1124804/000091205702011684/0000912057-02-011684-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000104746903011265/0001047469-03-011265-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000119312504040902/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312505042789/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312506055166/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312507044362/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312508043801/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312508091030/0001193125-08-091030-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1124804/000119312512089621/0001193125-12-089621-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000119312513087986/0001193125-13-087986-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000119312514080251/d637428d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000156459015001152/mdrx-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1124804/000156459016013600/0001564590-16-013600-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459017002448/0001564590-17-002448-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459018003105/0001564590-18-003105-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459019003905/0001564590-19-003905-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459020008173/0001564590-20-008173-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459021009410/0001564590-21-009410-index.htm,https://www.sec.gov/Archives/edgar/data/1124804/000095017022002112/0000950170-22-002112-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-7500000,-11300000,-57367000,-418931000,-15233000,-4979000,3108000,9710000,11895000,20563000,25400000,26022000,62870000,73609000,-1153000,-104026000,-66453000,-2226000,-25652000,-196459000,363740000,-182178000,700407000,134438000
74,Depreciation and Amortization,- -,1500000,2500000,28632000,68010000,5558000,4932000,4972000,6528000,16455000,21468000,16200000,22787000,36522000,132400000,150234000,178815000,174263000,161011000,172390000,218537000,192346000,229640000,212989000,176137000
75,Deferred Income Tax,- -,- -,- -,- -,-48544000,- -,- -,- -,- -,6465000,9317000,2000000,-1194000,31562000,33395000,-12780000,-43880000,-56000,-2206000,-22621000,-55787000,4144000,-37970000,-3275000,-2099000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5770000,14849000,40752000,39126000,37010000,39254000,34663000,42877000,38769000,34638000,38982000,34036000,35169000
77,Change in Working Capital,- -,-800000,46314000,-58753000,-1635000,-27334000,17522000,78403000,-31067000,-7183000,-81867000,103649000,99212000,-51676000,25507000,-115446000,-31666000,-21369000,23978000,-88133000,40311000,83668000,-430663000,587873000,-23487000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33100000,-30303000,-34583000,-55912000,26173000,-7705000,-14644000,3215000,-17826000,-99431000,-109134000,-13273000,35163000,- -
79,Inventory,- -,- -,-1400000,-1525000,-1539000,2450000,739000,877000,198000,1291000,-931000,2300000,231000,-601000,1757000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,-2924000,13056000,-8546000,3440000,23794000,-1944000,-11953000,40456000,-18014000,-19159000,27799000,-66987000,-18729000
81,Other Working Capital,- -,58800000,105114000,46361000,44726000,17392000,34914000,113317000,82250000,75067000,-6800000,96849000,196061000,144385000,169892000,54446000,22780000,1411000,25389000,-62744000,-22433000,61235000,-369428000,218445000,-39726000
82,Other Non-Cash Items,- -,2600000,-50214000,62509000,367897000,26239000,-12270000,-74036000,31336000,-219000,61036000,-139449000,-116520000,45791000,-36909000,162689000,44734000,-22143000,-3641000,190143000,234044000,-610645000,428443000,-1638745000,-395586000
83,Cash Provided by Operating Activities,- -,-4200000,-12700000,-24979000,-33203000,-10770000,5205000,12447000,16507000,27413000,30517000,7800000,36077000,139918000,268754000,222670000,80987000,103496000,211579000,269004000,279415000,67891000,46254000,-106715000,-75428000
84,CAPEX,- -,-800000,-4400000,-9351000,-3637000,-1653000,-685000,-1623000,-1958000,-14780000,-21663000,-1200000,-18971000,-35016000,-105054000,-123131000,-116156000,-67099000,-67586000,-137982000,-185271000,-144617000,-130436000,-105018000,-78560000
85,Acquisitions Net,- -,- -,- -,-13223000,-5305000,- -,- -,-139000,-1763000,-209824000,-91545000,- -,-255766000,- -,- -,- -,-148875000,-20180000,-9372000,-994876000,-222310000,630531000,-23443000,1710000000,68806000
86,Purchases of Investments,- -,- -,-15000000,-61112000,-53635000,-35473000,-52162000,-112262000,-25907000,-29053000,-20480000,- -,-2522000,-4008000,-12900000,- -,- -,-21544000,-215786000,-21185000,-5606000,-16934000,-7191000,-7097000,-2421000
87,Sales/Maturities of Investments,- -,- -,- -,33296000,53368000,31805000,61881000,38299000,51872000,74026000,44374000,- -,8703000,7017000,55000,94000,12891000,50000,3763000,- -,- -,- -,- -,24967000,- -
88,Other Investing Activites,- -,- -,7400000,3353000,- -,-2572000,-18484000,-5512000,-4236000,-500000,- -,-8000000,-12521000,-35016000,-82829000,-123131000,-116156000,-67014000,-67571000,-137945000,-185056000,-365584000,-130422000,-112682000,-78560000
89,Cash Used for Investing Activites,- -,-800000,-12000000,-47037000,-9209000,-7893000,-9450000,-81237000,18008000,-180131000,-89314000,-9200000,-262106000,-32007000,-95674000,-123037000,-252140000,-108688000,-288966000,-1154006000,-412972000,248013000,-161056000,1615188000,-12175000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60158000,-45505000,-171851000,-251696000,-610051000,-97331000,-239109000,-163522000,-154951000,-714304000,-237222000,-1667361000,-75000000
91,Common Stock Issued,- -,9000000,103900000,110491000,23000,2008000,559000,4136000,9482000,155367000,10169000,- -,883000,1725000,35119000,5519000,11447000,1487000,103631000,84000,1568000,1283000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-34700000,- -,- -,- -,- -,-11250000,- -,-21078000,- -,- -,-51547000,- -,-51462000,-225961000,- -,- -,- -,-121241000,-12077000,-138928000,-111460000,-334863000,-417443000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-3400000,-4700000,-2523000,- -,-222000,-225000,79540000,-64000,-15000,49952000,300000,407685000,8120000,44555000,317234000,730537000,91564000,277743000,1149950000,364045000,558966000,416025000,892465000,233577000
95,Cash Used/Provided by Financing Activities,- -,5600000,64500000,107968000,23000,1786000,334000,72426000,9418000,134274000,60121000,300000,296863000,-35660000,-143639000,-154904000,131933000,-4280000,142265000,865271000,198585000,-292983000,67343000,-1109759000,-258866000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1091000,1474000,-1782000,-309000,-1178000,-532000,860000,-624000,203000,1212000,-476000
97,Net Change In Cash,- -,5600000,39900000,35952000,-42389000,-16877000,-3911000,3636000,43933000,-18444000,1324000,-1000000,70834000,72251000,28350000,-53797000,-41002000,-9781000,63700000,-20263000,65888000,22297000,-47256000,399926000,-346945000
98,Cash at the End of Period,- -,- -,40600000,76513000,34124000,17247000,13336000,16972000,60905000,42461000,43785000,42000000,71159000,143410000,157753000,103956000,62954000,53173000,116873000,96610000,162498000,184795000,137539000,537465000,190520000
99,Cash at the Beginning of Period,- -,200000,700000,40561000,76513000,34124000,17247000,13336000,16972000,60905000,42461000,43000000,325000,71159000,129403000,157753000,103956000,62954000,53173000,116873000,96610000,162498000,184795000,137539000,537465000
100,Free Cash Flow,- -,-5000000,-17100000,-34330000,-36840000,-12423000,4520000,10824000,14549000,12633000,8854000,6600000,17106000,104902000,163700000,99539000,-35169000,36397000,143993000,131022000,94144000,-76726000,-84182000,-211733000,-153988000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1124804/000091205702011684/0000912057-02-011684-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000104746903011265/0001047469-03-011265-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000119312504040902/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312505042789/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312506055166/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312507044362/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312508043801/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000119312508091030/0001193125-08-091030-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1124804/000119312512089621/0001193125-12-089621-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000119312513087986/0001193125-13-087986-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000119312514080251/d637428d10k.htm,https://www.sec.gov/Archives/edgar/data/1124804/000156459015001152/mdrx-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1124804/000156459016013600/0001564590-16-013600-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459017002448/0001564590-17-002448-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459018003105/0001564590-18-003105-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459019003905/0001564590-19-003905-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459020008173/0001564590-20-008173-index.html,https://www.sec.gov/Archives/edgar/data/1124804/000156459021009410/0001564590-21-009410-index.htm,https://www.sec.gov/Archives/edgar/data/1124804/000095017022002112/0000950170-22-002112-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
