,https://roic.ai/company/PAYX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,27800000,35500000,41100000,57400000,70300000,82200000,99000000,113400000,130400000,148600000,174900000,209500000,254600000,290700000,332229000,332803000,370519000,387339000,557596000,581861000,464590000,569937000,577321000,597041000,622440000,644300000,695100000,750100000,803700000,878000000,948200000,992100000,1075600000,1223400000,1299200000,1324900000
11,COGS and Expenses,43000000,53800000,68600000,87000000,108000000,123800000,142400000,163400000,187300000,216200000,257800000,638100000,858800000,987900000,469226000,533155000,591216000,644988000,861032000,911368000,1024845000,1185416000,1238056000,1277559000,1276025000,1297900000,1375900000,1421400000,1536200000,1686000000,1805300000,1911700000,2093400000,2401200000,2580000000,2596100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75454000,55031000,48100000,- -,- -,6900000,7800000,8400000,9900000,11900000,13300000,12300000,2300000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,700000,1100000,2500000,3900000,17600000,38800000,35800000
14,Depreciation and Amortization,- -,- -,- -,- -,7300000,8400000,9800000,10700000,11200000,11000000,13900000,21400000,27300000,32900000,36484000,39139000,47392000,64555000,82791000,91855000,94414000,96986000,99647000,85772000,86445000,88700000,97800000,98200000,105000000,106600000,115100000,126900000,138000000,181500000,209700000,192000000
15,EBITDA,7800000,10200000,11200000,14900000,20500000,22400000,29300000,38800000,50200000,65300000,86600000,125100000,171500000,233000000,311856000,403120000,442401000,496099000,532575000,638021000,769180000,840255000,954462000,897847000,815753000,880900000,958100000,1009600000,1094200000,1167300000,1267300000,1374200000,1438000000,1567100000,1685600000,1662000000
16,EBITDA ratio,0.1538,0.1596,0.1411,0.1472,0.1705,0.1634,0.1816,0.2042,0.2240,0.2444,0.2662,0.1703,0.1726,0.1982,0.4283,0.4634,0.4633,0.4743,0.4115,0.4415,0.4593,0.4453,0.4619,0.4473,0.4192,0.4326,0.4297,0.4340,0.4344,0.4261,0.4293,0.4361,0.4253,0.4154,0.4172,0.4097
17,Operating Income,7700000,10100000,10800000,14200000,12200000,13300000,18900000,26600000,36800000,51000000,67500000,96600000,134600000,187500000,258893000,336702000,363694000,401041000,433315000,533775000,649751000,701548000,828267000,805200000,724795000,786400000,853900000,904800000,982700000,1053600000,1146600000,1239600000,1287500000,1371300000,1460500000,1460700000
18,Operating Income ratio,0.1519,0.1581,0.1360,0.1403,0.1015,0.0970,0.1172,0.1400,0.1642,0.1909,0.2075,0.1315,0.1355,0.1595,0.3556,0.3871,0.3809,0.3834,0.3348,0.3694,0.3880,0.3718,0.4008,0.4011,0.3725,0.3862,0.3829,0.3890,0.3901,0.3846,0.3884,0.3934,0.3808,0.3635,0.3615,0.3601
19,Total Other Income Expenses (Gains),100000,100000,400000,700000,1000000,700000,600000,1500000,2200000,3300000,5200000,7100000,9600000,12600000,16479000,27279000,31315000,30503000,16469000,12391000,25015000,41721000,26548000,6875000,4513000,5800000,6400000,6600000,5400000,6400000,4500000,5200000,8600000,-3300000,-23400000,-26500000
20,Income Before Tax,7800000,10200000,11200000,14900000,13200000,14000000,19500000,28100000,39000000,54300000,72700000,103700000,144200000,200100000,275372000,363981000,395009000,431544000,449784000,546166000,674766000,743269000,854815000,812075000,729308000,792200000,860300000,911400000,988100000,1060000000,1151100000,1244800000,1296100000,1368000000,1437100000,1434200000
21,Income Before Tax Ratio,0.1538,0.1596,0.1411,0.1472,0.1098,0.1021,0.1209,0.1479,0.1740,0.2032,0.2235,0.1411,0.1452,0.1702,0.3782,0.4184,0.4137,0.4126,0.3475,0.3779,0.4029,0.3939,0.4137,0.4046,0.3748,0.3891,0.3858,0.3918,0.3923,0.3869,0.3900,0.3950,0.3834,0.3626,0.3557,0.3535
22,Income Tax expense (Gain),3600000,5100000,4300000,5500000,4600000,4400000,5800000,8100000,10900000,15300000,20400000,28500000,42000000,61000000,85365000,109112000,120478000,138092000,146834000,177317000,209852000,227822000,278670000,278530000,252309000,276900000,312300000,342400000,360600000,385100000,394300000,427500000,362400000,333600000,339000000,336700000
23,Net Income,4200000,5100000,6900000,9400000,8600000,9600000,13700000,20000000,28100000,39000000,52300000,75200000,102200000,139100000,190007000,254869000,274531000,293452000,302950000,368849000,464914000,515447000,576145000,533545000,476999000,515300000,548000000,569000000,627500000,674900000,756800000,817300000,933700000,1034400000,1098100000,1097500000
24,Net Income ratio,0.0828,0.0798,0.0869,0.0929,0.0715,0.0700,0.0849,0.1053,0.1254,0.1460,0.1608,0.1024,0.1029,0.1183,0.2610,0.2930,0.2875,0.2805,0.2341,0.2552,0.2776,0.2732,0.2788,0.2658,0.2451,0.2531,0.2458,0.2446,0.2491,0.2463,0.2564,0.2594,0.2762,0.2742,0.2718,0.2705
25,EPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.15,0.21,0.28,0.38,0.51,0.68,0.73,0.78,0.80,0.97,1.23,1.35,1.56,1.48,1.32,1.42,1.51,1.56,1.72,1.86,2.10,2.27,2.60,2.88,3.06,3.05
26,EPS Diluted,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.15,0.21,0.28,0.37,0.51,0.68,0.73,0.78,0.80,0.97,1.22,1.35,1.56,1.48,1.32,1.42,1.51,1.56,1.71,1.85,2.09,2.25,2.58,2.86,3.04,3.03
27,Weighted Average Shares Outstanding,326511244,333301349,329952024,332490255,333104948,333472264,336539730,338290855,339635682,341156812,346032000,364503375,366770250,368281500,370603000,372777000,374747000,376263000,377371000,378337000,379465000,381149000,368420000,360783000,361359000,361800000,362400000,363800000,364500000,362900000,360700000,359800000,359000000,359200000,358500000,359900000
28,Weighted Average Shares Outstanding Diluted,326511244,333301349,329952024,332490255,333104948,333472264,336539730,338290855,339635682,341156812,346032000,364503375,370829250,373182000,375081000,377510000,378002000,378083000,379524000,379763000,381351000,382802000,369528000,360985000,361728000,362400000,363000000,364700000,366100000,364600000,362500000,362600000,361500000,361800000,361000000,362100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723531/000072353195000026/0000723531-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353196000018/0000723531-96-000018-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353197000030/0000723531-97-000030-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353198000014/0000723531-98-000014-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353199000020/0000723531-99-000020-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353100000020/0000723531-00-000020-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353101500014/0000723531-01-500014-index.html,https://www.sec.gov/Archives/edgar/data/723531/000095015202005612/0000950152-02-005612-index.html,https://www.sec.gov/Archives/edgar/data/723531/000095015203007265/0000950152-03-007265-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015204005452/0000950152-04-005452-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015205006110/0000950152-05-006110-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015206005992/0000950152-06-005992-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015207005944/0000950152-07-005944-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015208005502/0000950152-08-005502-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095012309023519/0000950123-09-023519-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095012310066009/0000950123-10-066009-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095012311065947/0000950123-11-065947-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000119312512309041/0001193125-12-309041-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353113000021/0000723531-13-000021-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353114000014/0000723531-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353115000011/0000723531-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353116000046/0000723531-16-000046-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353117000023/0000723531-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353118000026/0000723531-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353119000032/0000723531-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353120000048/0000723531-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353121000035/0000723531-21-000035-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,12900000,15400000,50200000,35600000,52700000,47136000,45784000,61897000,79871000,219492000,280944000,137423000,79353000,164237000,472769000,284316000,119000000,108800000,107300000,152500000,170000000,131500000,184600000,358200000,673600000,905200000,995200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301328000,304348000,426666000,440007000,511772000,228727000,19710000,82496000,345000000,207500000,398200000,398700000,366600000,220600000,138800000,66000000,39000000,27200000,36700000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,12900000,15400000,50200000,35600000,52700000,47136000,45784000,61897000,381199000,523840000,707610000,577430000,591125000,392964000,492479000,366812000,464000000,316300000,505500000,551200000,536600000,352100000,323400000,424200000,712600000,932400000,1031900000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,37500000,44900000,56000000,67800000,81000000,110044000,128921000,135168000,141299000,158328000,192957000,227974000,239897000,219121000,205680000,215259000,190500000,173000000,165800000,185700000,214500000,444700000,543400000,563600000,854200000,790300000,1053600000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,73800000,105000000,1034500000,1375400000,1659400000,2205395000,2616568000,2617509000,2510144000,2598279000,2788503000,3638897000,4030297000,3853826000,3541667000,3577046000,3603400000,4586600000,4161300000,4274500000,4352100000,4066800000,4405200000,4796600000,4110900000,3741900000,4084000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,124200000,165300000,1140700000,1478800000,1793100000,2362575000,2791273000,2814574000,3032642000,3280447000,3689070000,4444301000,4861319000,4465911000,4239826000,4159117000,4257900000,5075900000,4832600000,5011400000,5103200000,4863600000,5272000000,5784400000,5677700000,5464600000,6169500000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,43700000,50000000,54200000,64700000,65900000,75375000,96078000,121566000,159039000,171346000,205319000,234664000,256087000,275297000,274530000,267583000,308700000,324300000,346000000,342200000,353900000,353000000,337200000,393500000,408700000,522200000,498800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405842000,407712000,433316000,433316000,421559000,513700000,517400000,533900000,540300000,561500000,657100000,657100000,814000000,1782600000,1791100000,1820700000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5584000,9612000,9040000,492045000,490203000,477450000,60704000,67213000,74500000,76641000,63262000,77200000,55800000,45200000,40600000,32400000,69500000,57600000,141400000,399100000,330600000,275800000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5584000,9612000,9040000,492045000,490203000,477450000,466546000,474925000,507816000,509957000,484821000,590900000,573200000,579100000,580900000,593900000,726600000,714700000,955400000,2181700000,2121700000,2096500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404000000,384000000,633000000,42000000,82234000,290106000,207300000,473700000,369100000,385600000,399800000,441100000,454000000,295500000,10200000,10200000,7100000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2494000,1361000,- -,- -,- -,- -,12783000,15209000,13818000,16487000,21080000,25400000,29200000,34100000,37100000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,4900000,6400000,6300000,14100000,9549000,8872000,7895000,7057000,8207000,-396723000,7008000,5979000,4949000,4381000,3592000,3600000,3300000,2800000,12900000,31700000,56500000,55800000,34900000,397700000,432000000,455300000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,44200000,54900000,60600000,71000000,80000000,93002000,115923000,138501000,658141000,669756000,690046000,1105001000,1385200000,843880000,887589000,1067182000,1135900000,1403700000,1331100000,1358700000,1379300000,1577200000,1561700000,1679300000,2998300000,3086100000,3057700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,168400000,220200000,1201300000,1549800000,1873100000,2455577000,2907196000,2953075000,3690783000,3950203000,4379116000,5549302000,6246519000,5309791000,5127415000,5226299000,5393800000,6479600000,6163700000,6370100000,6482500000,6440800000,6833700000,7463700000,8676000000,8550700000,9227200000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,3800000,5600000,10500000,10300000,17086000,16377000,14104000,22213000,22589000,30385000,46668000,46961000,40251000,37334000,37305000,45400000,69700000,42700000,48800000,51700000,56700000,57200000,74500000,75900000,79400000,89000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44704000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,7400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50500000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4719000,4421000,4137000,3645000,3650000,4271000,5809000,7758000,10326000,9542000,3447000,3000000,3000000,5200000,6900000,- -,26300000,22900000,24300000,40300000,39200000,37900000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,24300000,940400000,1205200000,1422000000,1865140000,2123044000,2005165000,2561667000,2695664000,2907168000,3785895000,4182751000,3986695000,3610313000,3701426000,3739900000,4673000000,4220300000,4383200000,4521300000,4282900000,4645000000,5188400000,4728800000,4303200000,4803900000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,26700000,28100000,946000000,1215700000,1432300000,1886945000,2143842000,2023406000,2587525000,2721903000,2941824000,3838372000,4237470000,4037272000,3701893000,3742178000,3788300000,4745700000,4268200000,4438900000,4573000000,4365900000,4725100000,5287200000,4845000000,4426900000,4938200000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45541000,- -,- -,- -,- -,- -,- -,- -,- -,- -,796400000,893700000,889700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,400000,- -,- -,- -,- -,- -,- -,7045000,14396000,17759000,15481000,9567000,9600000,12773000,7803000,23100000,40600000,53300000,69000000,16800000,22100000,33900000,48800000,223100000,240800000,218000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,900000,3800000,4500000,5000000,5200000,5512000,5688000,18842000,13931000,33858000,40606000,47234000,66277000,25730000,74339000,86200000,88800000,68500000,85200000,107200000,141100000,119400000,103200000,192000000,207900000,233300000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,1300000,3800000,4500000,5000000,5200000,5512000,5688000,25887000,28327000,51617000,56087000,56801000,75877000,84044000,82142000,109300000,129400000,121800000,154200000,124000000,163200000,153300000,152000000,1211500000,1342400000,1341000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3479977000,- -,- -,- -,- -,- -,- -,- -,- -,- -,96900000,92400000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,28500000,29400000,949800000,1220200000,1437300000,1892145000,2149354000,2029094000,2613412000,2750230000,2993441000,3894459000,4294271000,4113149000,3785937000,3824320000,3897600000,4875100000,4390000000,4593100000,4697000000,4529100000,4878400000,5439200000,6056500000,5769300000,6279200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3718000,3736000,3759000,3767000,3780000,3786000,3803000,3822000,3605000,3610000,3615000,3600000,3600000,3700000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,121800000,160100000,212900000,278100000,362300000,469385000,601142000,718192000,846196000,971738000,1147611000,1380971000,1595105000,745351000,829501000,856290000,919500000,1002100000,1088500000,957500000,894300000,926200000,901700000,930300000,1409500000,1431400000,1445900000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45000000,-60100000,-72100000,-87400000,-102600000,-117494000,-137911000,-151905000,-178063000,-208908000,-6000000,-14000000,-10000000,16000000,42000000,42000000,38000000,38000000,22000000,22000000,8000000,29000000,20000000,-36000000,-866100000,56500000,51800000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,63100000,90800000,110700000,138900000,176100000,207823000,290875000,353935000,405471000,433363000,240278000,284069000,363321000,431686000,466367000,500074000,535100000,560800000,659500000,793900000,879600000,952900000,1030000000,1126600000,2072500000,1289900000,1446700000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,139900000,190800000,251500000,329600000,435800000,563432000,757842000,923981000,1077371000,1199973000,1385675000,1654843000,1952248000,1196642000,1341478000,1401979000,1496200000,1604500000,1773700000,1777000000,1785500000,1911700000,1955300000,2024500000,2619500000,2781400000,2948000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,168400000,220200000,1201300000,1549800000,1873100000,2455577000,2907196000,2953075000,3690783000,3950203000,4379116000,5549302000,6246519000,5309791000,5127415000,5226299000,5393800000,6479600000,6163700000,6370100000,6482500000,6440800000,6833700000,7463700000,8676000000,8550700000,9227200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,168400000,220200000,1201300000,1549800000,1873100000,2455577000,2907196000,2953075000,3690783000,3950203000,4379116000,5549302000,6246519000,5309791000,5127415000,5226299000,5393800000,6479600000,6163700000,6370100000,6482500000,6440800000,6833700000,7463700000,8676000000,8550700000,9227200000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/723531/000072353195000026/0000723531-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353196000018/0000723531-96-000018-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353197000030/0000723531-97-000030-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353198000014/0000723531-98-000014-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353199000020/0000723531-99-000020-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353100000020/0000723531-00-000020-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353101500014/0000723531-01-500014-index.html,https://www.sec.gov/Archives/edgar/data/723531/000095015202005612/0000950152-02-005612-index.html,https://www.sec.gov/Archives/edgar/data/723531/000095015203007265/0000950152-03-007265-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015204005452/0000950152-04-005452-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015205006110/0000950152-05-006110-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015206005992/0000950152-06-005992-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015207005944/0000950152-07-005944-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015208005502/0000950152-08-005502-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095012309023519/0000950123-09-023519-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095012310066009/0000950123-10-066009-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095012311065947/0000950123-11-065947-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000119312512309041/0001193125-12-309041-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353113000021/0000723531-13-000021-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353114000014/0000723531-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353115000011/0000723531-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353116000046/0000723531-16-000046-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353117000023/0000723531-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353118000026/0000723531-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353119000032/0000723531-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353120000048/0000723531-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353121000035/0000723531-21-000035-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,8600000,9600000,13700000,20000000,28100000,39000000,52300000,75200000,102200000,139100000,190007000,254869000,274531000,293452000,302950000,368849000,464914000,515447000,576145000,533545000,476999000,515300000,548000000,569000000,627500000,674900000,756800000,817300000,933700000,1034400000,1098100000,1097500000
74,Depreciation and Amortization,- -,- -,- -,- -,7300000,8400000,9800000,10700000,11200000,11000000,13900000,21400000,27300000,32900000,36484000,39139000,47392000,64555000,82791000,91855000,94414000,96986000,99647000,85772000,86445000,88700000,97800000,98200000,105000000,106600000,115100000,126900000,138000000,181500000,209700000,192000000
75,Deferred Income Tax,- -,- -,- -,- -,-300000,-400000,-200000,-600000,-700000,- -,- -,-2100000,-1000000,-400000,-2786000,3411000,3750000,9663000,-8004000,9590000,-7716000,-16388000,3713000,- -,-3856000,13600000,11700000,5300000,-4900000,-4100000,7100000,17400000,19200000,4700000,-4000000,-21000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25707000,25580000,24800000,22900000,22800000,26300000,31400000,34600000,35400000,44600000,46200000,47400000,52500000
77,Change in Working Capital,- -,- -,- -,- -,-1600000,- -,- -,- -,- -,97500000,39700000,57500000,68400000,97700000,114830000,171801000,143737000,-346051000,113427000,188702000,-141317000,17920000,-195210000,109294000,-120994000,52661000,-139400000,234200000,8100000,-42300000,-32500000,49200000,-49700000,335500000,205000000,193600000
