,https://roic.ai/company/SSNT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-397605,-2390705,- -,-2321573,-1614008,-1486398,-1502262,-568505,2708931,-1235170,202548,410901,434305,1212665,907562,371078,-1922870,223038,43571
21,Income Before Tax Ratio,-294.5222,-1.4036,- -,-0.3525,-0.2188,-0.1924,-0.2026,-0.0759,0.2575,-0.0937,0.0116,0.0191,0.0157,0.0355,0.0260,0.0091,-0.0499,0.0054,0.0010
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120000,218000,60000,-2223734,1394031,108646,-455006,47391,-178005
23,Net Income,-397605,-2390705,-2408644,-2321573,-1614008,-1486398,-1540372,-468921,2616548,-1235170,322548,192901,374305,3436399,-486469,262432,6794226,175647,-134434
24,Net Income ratio,-294.5222,-1.4036,-0.5762,-0.3525,-0.2188,-0.1924,-0.2077,-0.0626,0.2487,-0.0937,0.0185,0.0090,0.0135,0.1007,-0.0140,0.0064,0.1765,0.0043,-0.0032
25,EPS,-0.09,-0.53,-2173.93,-1086.97,-83.21,-21.21,-17.81,-3.89,17.40,-0.30,0.08,0.05,0.09,0.78,-0.11,0.06,1.51,0.04,-0.03
26,EPS Diluted,-0.09,-0.53,-2173.93,-1086.97,-83.21,-21.21,-17.81,-3.89,0.60,-0.30,0.08,0.05,0.09,0.77,-0.11,0.06,1.51,0.04,-0.03
27,Weighted Average Shares Outstanding,4486153,4486153,1245,2632,19397,70082,86497,120602,149365,3846479,3901968,3942836,4301782,4414743,4489013,4499559,4500827,4501271,4501271
28,Weighted Average Shares Outstanding Diluted,4490153,4490153,1245,2632,19397,70082,86497,120602,3526731,3846479,3901968,3942836,4318449,4473403,4489013,4706487,4500827,4501271,4501271
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1236275/000118518510000336/0001185185-10-000336-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518511000378/0001185185-11-000378-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518512000562/0001185185-12-000562-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518513000673/0001185185-13-000673-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518514000693/0001185185-14-000693-index.htm,https://www.sec.gov/Archives/edgar/data/1236275/000118518515000716/0001185185-15-000716-index.htm,https://www.sec.gov/Archives/edgar/data/1236275/000118518516004077/0001185185-16-004077-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518517000646/0001185185-17-000646-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518518000498/0001185185-18-000498-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518519000423/0001185185-19-000423-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518520000350/0001185185-20-000350-index.htm,https://www.sec.gov/Archives/edgar/data/1236275/000118518521000371/0001185185-21-000371-index.htm,https://www.sec.gov/Archives/edgar/data/1236275/000118518522000335/0001185185-22-000335-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4548,346635,1016993,373437,146443,420042,300482,104344,233722,4483,762892,1308337,1193313,1621049,2235347,1900857,8658401,6595416,6814117
32,Short-Term Investments,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4548,396635,1016993,373437,146443,420042,300482,104344,233722,4483,762892,1308337,1193313,1621049,2235347,1900857,8658401,6595416,6814117
34,Net Receivables,54586,273086,744941,798805,753753,566084,568909,489280,881217,1509532,1574996,2327454,3218844,2965184,2764689,2550591,3863029,1632314,1926859
35,Inventory,- -,- -,45617,51294,45647,34565,- -,15285,11617,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,55000,37751,138467,97378,106722,73599,31670,189718,198852,131520,199276,233779,481619,686094,403911,434307,455434,400820,1969946
37,Total Current Assets,114134,707472,1946018,1320914,1052565,1094290,901061,798627,1325408,1645535,2537164,3869570,4893776,5272327,5403947,4885755,12976864,8628550,10710922
38,PP&E,- -,92834,157016,264949,270177,191451,163372,156621,137948,250233,241895,295054,425347,466202,567532,688122,1411467,1896760,1601891
39,Goodwill,- -,- -,700940,- -,- -,- -,- -,- -,- -,- -,- -,56000,401000,401000,401000,885000,891000,1011952,1011952
40,Intangible Assets,9000,1062040,- -,487901,298681,101711,- -,- -,- -,884513,687880,809481,2571537,2431111,2640457,3953662,2607301,3126336,3492234
41,Intangible Assets,9000,1062040,700940,487901,298681,101711,- -,- -,- -,884513,687880,865481,2972537,2832111,3041457,4838662,3498301,4138288,4504186
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000,- -,162000,2059902,1363000,1292055,874482,1039084,990958
44,Other Non-Current Assets,- -,40474,36818,281416,32267,25105,56280,65866,57921,21996,22836,26725,29889,28887,36312,39791,192158,198726,190805
45,Total Non-Current Assets,9000,1195348,894774,1034266,601125,318267,219652,222487,195869,1156742,1032611,1187260,3589773,5387102,5008301,6858630,5976408,7272858,7287840
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,123134,1902820,2840792,2355180,1653690,1412557,1120713,1021114,1521277,2802277,3569775,5056830,8483549,10659429,10412248,11744385,18953272,15901408,17998762
48,Accounts Payable,313467,2020655,2346394,1502591,1385998,1860610,1593561,1081201,1260045,1953182,1836229,1393541,1594100,1822071,2094297,2028218,2210618,1875115,2038025
49,Short-Term Debt,140000,1035243,476270,1495389,2278879,1987991,1582925,1434565,131117,287462,248726,239847,390200,401391,352289,513705,833546,1144908,926080
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000,250284,177466,97097,20000,152355,318031,69614
51,Deferred Revenue,- -,- -,23754,109651,127809,174104,180577,486019,1015750,1357800,1715555,2215114,2369999,1690147,2150771,1848821,2006983,2039241,2475583
52,Other Current Liabilities,- -,29322,- -,2220778,1700330,2644253,2685911,3131687,14010,18364,15963,884873,1215121,1196619,1248275,1842482,3608115,1670023,1949855
53,Total Current Liabilities,453467,3085220,2846418,5328409,5493016,6666958,6042974,6133472,2420922,3616808,3816473,4733375,5569420,5110228,5845632,6233226,8659262,6729287,7389543
54,Long-Term Debt,- -,19131,65345,374045,74261,- -,- -,- -,- -,- -,153141,309848,1085595,546600,297240,1176999,1399350,1892129,1149063
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,1702030,307896,- -,- -,- -,- -,- -,- -,- -,- -,272213,31685,42255,- -,- -,- -,103333
58,Total Non-Current Liabilities,- -,19131,1767375,681941,74261,- -,- -,- -,- -,- -,153141,309848,1357808,578285,339495,1176999,1399350,1892129,1252396
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,8328,97616,- -,- -,- -,55565,64367,88829,102350,132191,182612,154841,163057,195867,1042441,1554694,- -
61,Total Liabilities,453467,3104351,4613793,6010350,5567277,6666958,6042974,6133472,2420922,3616808,3969614,5043223,6927228,5688513,6185127,7410225,10058612,8621416,8641939
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,22887,1,1,1,- -,1,1,1,- -,- -,- -
63,Common Stock,1,287,1149,1606,31194,41055,58347,85536,446,1170,1177,40,45,46,46,46,46,46,52
64,Retained Earnings,-500620,-3073388,-5482032,-7803605,-9417613,-10904011,-12444383,-12913304,-10296756,-11531926,-11209378,-11016477,-10642172,-7205773,-7692242,-7429810,-635584,-459937,-594371
65,Other Comprehensive Income/Loss,135187,-44750,-56482,-134931,-237857,-337294,-419740,-498212,-593215,-685252,-790582,-910881,-1076478,-1308794,-1564156,-1890441,-2228544,- -,- -
66,Other Total Stockholders Equity,35099,1916320,3764364,4281760,5710689,5945849,7829108,8258799,9919787,11401476,11598943,11940924,13274926,13485436,13483472,13654364,11758742,7739883,9951142
67,Total Stockholders Equity,-330333,-1201531,-1773001,-3655170,-3913587,-5254401,-4976668,-5067181,-946851,-814531,-399839,13607,1556321,4970916,4227121,4334160,8894660,7279992,9356823
68,Total Liabilities And Stockholders Equity,123134,1902820,2840792,2355180,1653690,1412557,1066306,1066291,1474071,2802277,3569775,5056830,8483549,10659429,10412248,11744385,18953272,15901408,17998762
69,Minority Interest,- -,- -,- -,- -,- -,- -,54407,-45177,47206,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,123134,1902820,2840792,2355180,1653690,1412557,1120713,1021114,1521277,2802277,3569775,5056830,8483549,10659429,10412248,11744385,18953272,15901408,17998762
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1236275/000118518510000336/0001185185-10-000336-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518511000378/0001185185-11-000378-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518512000562/0001185185-12-000562-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518513000673/0001185185-13-000673-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518514000693/0001185185-14-000693-index.htm,https://www.sec.gov/Archives/edgar/data/1236275/000118518515000716/0001185185-15-000716-index.htm,https://www.sec.gov/Archives/edgar/data/1236275/000118518516004077/0001185185-16-004077-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518517000646/0001185185-17-000646-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518518000498/0001185185-18-000498-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518519000423/0001185185-19-000423-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518520000350/0001185185-20-000350-index.htm,https://www.sec.gov/Archives/edgar/data/1236275/000118518521000371/0001185185-21-000371-index.htm,https://www.sec.gov/Archives/edgar/data/1236275/000118518522000335/0001185185-22-000335-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-397605,-2390705,-2408644,-2321573,-1614008,-1486398,-1540372,-468921,2616548,-1235170,322548,192901,374305,3436399,-486469,262432,6794226,175647,-134434
74,Depreciation and Amortization,18455,180167,374870,-813618,1278991,296407,191004,82879,97011,195560,301963,364573,485092,684660,620296,703085,932200,1121993,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120000,82000,-162000,-2214902,1051902,70945,-455006,-164602,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,-65000,1136258,17616,130253,40860,42795,34265,28000,16910,10194,- -
77,Change in Working Capital,313467,-2038415,1477348,-3107095,-432956,-1132217,430755,-192932,4239331,-875759,691964,415504,188161,837743,-603784,-905786,5665073,-2418339,1422116
78,Accounts Receivable,- -,- -,- -,- -,- -,105652,-632,199629,-391937,-667315,-65464,-567458,-269658,-24320,120993,-137687,-605611,977451,- -
79,Inventory,- -,- -,-45617,-619,5647,11082,34565,-15285,3668,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,303084,- -,- -,- -,693137,-91953,233822,-175295,227970,272226,-66078,182400,-335503,- -
81,Other Working Capital,-339333,-2377748,-900400,-4007495,-4440451,-5572668,-5141913,-5334845,-1095514,-1971273,-1279309,-863805,-675644,162099,-441685,-1347471,4317602,1899263,3321379
82,Other Non-Cash Items,- -,3229917,-190007,5263125,225116,2885171,591930,540797,-5981984,1171914,-473095,-192282,-799759,-992535,1692615,1135888,-13350800,3004198,-1287682
83,Cash Provided by Operating Activities,-65683,-1019036,-746433,-979161,-542857,562963,-326683,-38177,905906,392803,740996,992949,126659,1794160,2308825,1294564,-397397,1729091,- -
84,CAPEX,- -,-25938,-106844,-98229,-115904,-20711,-55586,-31725,-40653,-302410,-30364,-152991,-67483,-496719,-815510,-763546,-152402,-124782,- -
85,Acquisitions Net,- -,- -,- -,-97000,- -,- -,- -,- -,- -,-441964,- -,- -,-575893,- -,- -,-300000,8305192,-185410,- -
86,Purchases of Investments,- -,- -,-328695,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,236017,248717,67379,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,2437,- -,- -,- -,- -,- -,- -,- -,-198591,- -,-71875,- -,-311917,-574280,-617545,-209409,1150000,- -
89,Cash Used for Investing Activites,- -,-23501,-435539,40788,132813,46668,-55586,-31725,-40653,-744374,-30364,-152991,-643376,-496719,-815510,-1063546,8025111,839808,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-292527,-146341,-171236,-1336875,-56301,-302223,-294513,-360350,-416173,-413924,-478760,-622584,-3731571,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,150000,- -,- -,- -,- -,- -,812023,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3661,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-264699,-359014,- -,-225038,-4051145,- -
94,Other Financing Activites,70231,1384624,1852330,294817,183050,-43505,259050,45000,601000,178633,350000,- -,-49980,-188833,-106079,-83087,-22548,3150832,- -
95,Cash Used/Provided by Financing Activities,70231,1384624,1852330,294817,183050,-336032,262709,-126236,-735875,122332,47777,-294513,401693,-869705,-879017,-565508,-870170,-4631884,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,70231,342087,670358,-643556,-226994,273599,-119560,-196138,129378,-229239,758409,545445,-115024,427736,614298,-334490,6757544,-2062985,- -
98,Cash at the End of Period,4548,346635,1016993,373437,146443,420042,300482,104344,233722,4483,762892,1308337,1193313,1621049,2235347,1900857,8658401,6595416,- -
99,Cash at the Beginning of Period,- -,4548,346635,1016993,373437,146443,420042,300482,104344,233722,4483,762892,1308337,1193313,1621049,2235347,1900857,8658401,6595416
100,Free Cash Flow,-65683,-1044974,-853277,-1077390,-658761,542252,-382269,-69902,865253,90393,710632,839958,59176,1297441,1493315,531018,-549799,1604309,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1236275/000118518510000336/0001185185-10-000336-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518511000378/0001185185-11-000378-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518512000562/0001185185-12-000562-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518513000673/0001185185-13-000673-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518514000693/0001185185-14-000693-index.htm,https://www.sec.gov/Archives/edgar/data/1236275/000118518515000716/0001185185-15-000716-index.htm,https://www.sec.gov/Archives/edgar/data/1236275/000118518516004077/0001185185-16-004077-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518517000646/0001185185-17-000646-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518518000498/0001185185-18-000498-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518519000423/0001185185-19-000423-index.html,https://www.sec.gov/Archives/edgar/data/1236275/000118518520000350/0001185185-20-000350-index.htm,https://www.sec.gov/Archives/edgar/data/1236275/000118518521000371/0001185185-21-000371-index.htm,https://www.sec.gov/Archives/edgar/data/1236275/000118518522000335/0001185185-22-000335-index.htm
102,false,,,,,,,,,,,,,,,,,,,
