,https://roic.ai/company/MCS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,- -,121000000,132700000,139900000,146100000,153300000,160100000,173300000,179800000,204700000,231200000,210500000,242600000,278200000,311100000,304000000,340301000,342400000,347500000,355800000,235200000,249700000,286492000,323400000,340100000,342900000,343500000,367383000,368600000,399600000,- -,502851000,576245000,623931000,752672000,391434000,499696000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13963000,11235000,10362000,9272000,9309000,10060000,- -,9176000,12100000,13079000,11791000,16275000,-18702000
14,Depreciation and Amortization,- -,9600000,11600000,13100000,13900000,14600000,15700000,17600000,18300000,20400000,23600000,25100000,28900000,32900000,38300000,41485000,44300000,45215000,46542000,46808000,28941000,27254000,26916000,31598000,32685000,32312000,33523000,34859000,34161000,34179000,- -,42166000,52053000,61676000,72277000,75052000,72127000
15,EBITDA,- -,24000000,26400000,30000000,29200000,31000000,34500000,39600000,45400000,56800000,63800000,95200000,80100000,80200000,77100000,78685000,73626000,78715000,79542000,87308000,139641000,65954000,69789000,65298000,74048000,68747000,65785000,81570000,72320000,86049000,- -,112238000,132774000,141273000,138405000,-104452000,-5569000
16,EBITDA ratio,- -,0.1765,0.1801,0.1859,0.1843,0.1836,0.1936,0.1938,0.2224,0.2341,0.2295,0.3629,0.2640,0.2388,0.2125,0.2235,0.1942,0.2019,0.2004,0.2134,0.5121,0.2281,0.2130,0.1760,0.1931,0.1813,0.1745,0.1971,0.1752,0.1921,- -,0.1954,0.2032,0.1998,0.1686,-0.4395,-0.0122
17,Operating Income,- -,15000000,13900000,21500000,12300000,15500000,18100000,31000000,24300000,28200000,32000000,33800000,50200000,57700000,21600000,11300000,38831000,47458000,49385000,53424000,37479000,39540000,41139000,42564000,43399000,36203000,33497000,46515000,38204000,48382000,- -,69954000,75595000,83189000,68191000,-178422000,-41452000
18,Operating Income ratio,- -,0.1103,0.0948,0.1332,0.0777,0.0918,0.1016,0.1517,0.1191,0.1162,0.1151,0.1289,0.1655,0.1718,0.0595,0.0321,0.1024,0.1217,0.1244,0.1306,0.1374,0.1367,0.1256,0.1147,0.1132,0.0955,0.0889,0.1124,0.0925,0.1080,- -,0.1218,0.1157,0.1176,0.0831,-0.7507,-0.0905
19,Total Other Income Expenses (Gains),- -,-600000,900000,-4600000,3000000,900000,700000,-9000000,2800000,6500000,8200000,36300000,1000000,-10300000,17300000,24500000,-18541000,-13958000,-17685000,-12924000,-6679000,-6640000,2364000,-8864000,-15999000,-11003000,-11697000,-9076000,-3504000,-10682000,- -,-9421000,-7485000,-16597000,-13756000,-17380000,-17542000
20,Income Before Tax,- -,14400000,14800000,16900000,15300000,16400000,18800000,22000000,27100000,34700000,40200000,70100000,51200000,47400000,38900000,35800000,20290000,33500000,31700000,40500000,30800000,32900000,43503000,33700000,27400000,25200000,21800000,37439000,34700000,37700000,- -,60533000,68110000,66592000,54435000,-195802000,-58994000
21,Income Before Tax Ratio,- -,0.1059,0.1010,0.1047,0.0966,0.0972,0.1055,0.1077,0.1328,0.1430,0.1446,0.2673,0.1688,0.1412,0.1072,0.1017,0.0535,0.0859,0.0799,0.0990,0.1129,0.1138,0.1328,0.0908,0.0714,0.0665,0.0578,0.0905,0.0841,0.0842,- -,0.1054,0.1042,0.0942,0.0663,-0.8238,-0.1287
22,Income Tax expense (Gain),- -,5700000,6700000,6800000,5300000,5600000,7200000,8700000,10600000,13600000,16100000,27800000,20300000,18900000,15700000,14600000,7550000,11000000,12400000,15900000,11500000,10400000,9576000,13200000,10200000,9100000,8300000,14705000,11350000,16810000,- -,22994000,3625000,13127000,12320000,-70936000,-15701000
23,Net Income,- -,8700000,8100000,10100000,10000000,10800000,11600000,13300000,16500000,22800000,24100000,42300000,30900000,28400000,23100000,22600000,21776000,22500000,20600000,24600000,99200000,28300000,33297000,20500000,17200000,16100000,13600000,22734000,17500000,25000000,- -,37902000,64996000,53391000,42017000,-124843000,-43293000
24,Net Income ratio,- -,0.0640,0.0553,0.0626,0.0631,0.0640,0.0651,0.0651,0.0808,0.0940,0.0867,0.1613,0.1018,0.0846,0.0637,0.0642,0.0574,0.0577,0.0519,0.0601,0.3638,0.0979,0.1016,0.0552,0.0449,0.0425,0.0361,0.0549,0.0424,0.0558,- -,0.0660,0.0995,0.0755,0.0512,-0.5252,-0.0945
25,EPS,- -,0.07,0.09,0.12,0.12,0.12,0.13,0.15,0.28,0.34,0.36,0.96,0.70,0.95,0.77,0.76,0.75,0.77,0.70,0.83,3.29,0.93,1.13,0.68,0.58,0.54,0.46,0.79,0.65,0.92,1.11,1.37,2.33,1.88,1.36,-4.02,-1.38
26,EPS Diluted,- -,0.07,0.09,0.12,0.12,0.12,0.13,0.15,0.28,0.34,0.36,0.95,0.69,0.94,0.77,0.76,0.74,0.76,0.70,0.82,3.25,0.91,1.08,0.68,0.58,0.54,0.46,0.78,0.63,0.92,1.10,1.36,2.29,1.86,1.35,-4.13,-1.42
27,Weighted Average Shares Outstanding,- -,25771000,14538000,25853000,25624000,25669000,25220000,25073000,29192000,29292000,29396373,29503744,29576781,29894737,30000000,29796000,29187000,29245000,29388000,29630000,30120000,30439000,29466372,29956000,29641000,29653000,29736346,28890609,27072296,27298642,27663851,27671565,27853768,28350434,30946660,31064755,31427370
28,Weighted Average Shares Outstanding Diluted,- -,25771000,14538000,25853000,25624000,25669000,25220000,25073000,29192000,29292000,29396373,29503744,29576781,30212766,30000000,29828000,29345000,29470000,29549000,29850000,30526000,30939000,30830556,30230000,29819000,29910000,29736346,29146154,27865000,27298642,27924000,27957000,28393000,28713000,31152000,31064755,31427370
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62234/000089706994000090/0000897069-94-000090-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/62234/000089706997000369/0000897069-97-000369-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/62234/000089706900000433/0000897069-00-000433-index.html,https://www.sec.gov/Archives/edgar/data/62234/000089706901500402/0000897069-01-500402-index.html,https://www.sec.gov/Archives/edgar/data/62234/000089706902000643/0000897069-02-000643-index.html,- -,https://www.sec.gov/Archives/edgar/data/62234/000089706904001448/cmw848.htm,https://www.sec.gov/Archives/edgar/data/62234/000089706905001970/cmw1617.htm,https://www.sec.gov/Archives/edgar/data/62234/000089706906001850/cmw2293.htm,https://www.sec.gov/Archives/edgar/data/62234/000089706907001668/0000897069-07-001668-index.html,https://www.sec.gov/Archives/edgar/data/62234/000089706908001284/0000897069-08-001284-index.html,https://www.sec.gov/Archives/edgar/data/62234/000089706909001281/0000897069-09-001281-index.html,https://www.sec.gov/Archives/edgar/data/62234/000119312510184689/0001193125-10-184689-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420411044975/0001144204-11-044975-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420412045605/0001144204-12-045605-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420413045159/0001144204-13-045159-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420414048883/0001144204-14-048883-index.html,- -,https://www.sec.gov/Archives/edgar/data/62234/000114420417014538/0001144204-17-014538-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420418014385/0001144204-18-014385-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420419013491/0001144204-19-013491-index.html,https://www.sec.gov/Archives/edgar/data/62234/000110465920024194/0001104659-20-024194-index.html,https://www.sec.gov/Archives/edgar/data/62234/000110465921032672/0001104659-21-032672-index.htm,https://www.sec.gov/Archives/edgar/data/62234/000006223422000010/0000062234-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,8000000,7800000,11900000,6400000,10200000,7400000,8100000,15800000,10000000,8800000,15500000,8000000,4700000,3500000,2900000,1499000,5600000,6000000,9600000,287700000,36300000,12018000,13400000,6800000,9100000,3600000,6020000,10200000,6800000,6723000,3239000,16248000,17114000,20862000,6745000,17658000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1415000,- -
33,Cash and Short-Term Investments,- -,8000000,7800000,11900000,6400000,10200000,7400000,8100000,15800000,10000000,8800000,15500000,8000000,4700000,3500000,2900000,1499000,5600000,6000000,9600000,287700000,36300000,12018000,13400000,6800000,9100000,3600000,6020000,10200000,6800000,6723000,3239000,16248000,17114000,20862000,8160000,17658000
34,Net Receivables,- -,10300000,7600000,7200000,7400000,8500000,9500000,14500000,15900000,14300000,8000000,13700000,6600000,20000000,18800000,17400000,16954000,24800000,33700000,15800000,12500000,17900000,26628000,21300000,12400000,16100000,10700000,11417000,8800000,12400000,20361000,16433000,42565000,31667000,35381000,39206000,28902000
35,Inventory,- -,2200000,1500000,1300000,1100000,1000000,900000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2456000,- -,- -,4138000,5673000,3434000,- -
36,Other Current Assets,- -,900000,900000,1300000,1800000,2400000,1700000,1300000,1700000,3100000,4800000,2400000,3600000,3700000,4400000,8100000,9812000,7000000,11200000,12800000,31900000,24700000,20707000,14500000,10900000,10100000,17900000,16199000,17100000,17500000,16033000,16471000,17908000,16030000,17348000,17017000,53386000
37,Total Current Assets,- -,21400000,17800000,21700000,16700000,22100000,19500000,24700000,33400000,27400000,21600000,31600000,18200000,28400000,26700000,28400000,28265000,37400000,50900000,38200000,332100000,78900000,59353000,49200000,30100000,35300000,32200000,33636000,36100000,36700000,45573000,36143000,76721000,68949000,79264000,67817000,99946000
38,PP&E,- -,126800000,142000000,151400000,168700000,195800000,218200000,239100000,267800000,321900000,374300000,411600000,487100000,560000000,611200000,658300000,680346000,683600000,655800000,654500000,399900000,450500000,559785000,587800000,595600000,586000000,577700000,614645000,625800000,647600000,680117000,789198000,860064000,840043000,1167109000,1077988000,988264000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11800000,11800000,11800000,11200000,11200000,37805000,44300000,44600000,44400000,44300000,44135000,44000000,43900000,43720000,43735000,43492000,43170000,75282000,75188000,75095000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12686000,- -,- -,- -,- -,- -,10700000,10300000,10014000,9486000,10192000,9708000,10057000,7297000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11800000,11800000,11800000,11200000,11200000,50491000,44300000,44600000,44400000,44300000,44135000,54700000,54200000,53734000,53221000,53684000,52878000,85339000,82485000,75095000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,1300000,1400000,1500000,2000000,2000000,- -,1400000,- -,- -,- -,- -,- -,- -,1391000,1322000,2921000,2621000,2713000,2025000,5643000,6096000,4239000,4069000,3595000,2084000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,20000000,20000000,22400000,26500000,31400000,32600000,- -,36500000,38800000,40400000,26600000,27900000,- -,32900000,32000000,39200000,44100000,- -,43500000,42600000,- -,46433000,38233000,41977000,48262000,- -,10032000
44,Other Non-Current Assets,- -,8100000,7500000,8300000,12500000,12900000,17400000,10600000,8300000,-3700000,-9400000,-9200000,-7100000,-7900000,4800000,2500000,50048000,4100000,-1800000,- -,17700000,18700000,28754000,7400000,7809000,-1822000,-6821000,37974000,-16113000,-14225000,23975000,-19825000,-15144000,-18585000,-24383000,23804000,15024000
45,Total Non-Current Assets,- -,134900000,149500000,159700000,181200000,208700000,235600000,249700000,276100000,334200000,385500000,423700000,503800000,580100000,649400000,695400000,730394000,737400000,704600000,706700000,455400000,508300000,639030000,672400000,681400000,669100000,662200000,699375000,710600000,732200000,763469000,875123000,941076000,920382000,1279922000,1186361000,1088415000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,156300000,167300000,181400000,197900000,230800000,255100000,274400000,309500000,361600000,407100000,455300000,522000000,608500000,676100000,723800000,758659000,774800000,755500000,744900000,787500000,587200000,698383000,721600000,711500000,704400000,694400000,733011000,746700000,768900000,809042000,911266000,1017797000,989331000,1359186000,1254178000,1188361000
48,Accounts Payable,- -,- -,- -,- -,- -,5100000,5100000,7200000,6900000,13200000,17900000,15600000,10300000,26400000,23000000,24500000,17123000,17200000,20700000,17500000,16000000,19400000,24242000,17000000,22700000,19000000,20700000,18945000,25300000,31000000,36776000,31206000,51541000,37452000,49370000,13158000,35781000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,4500000,5600000,5600000,5300000,4500000,4200000,22355000,3500000,1500000,2100000,1800000,500000,57250000,200000,200000,200000,200000,97918000,- -,- -,22795000,- -,- -,- -,- -,97742000,58313000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,14333000,15099000,17261000,19638000,18743000,20613000,- -,22435000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40410000,5464000,5898000,- -,1327000,3139000,2708000,2512000,- -,2877000,3056000,- -,46433000,38233000,41977000,48262000,33429000,- -
52,Other Current Liabilities,- -,19000000,19000000,21700000,22200000,19000000,24700000,26800000,30300000,23000000,29900000,29500000,30800000,34300000,31900000,41800000,31072000,52600000,104700000,24190000,56436000,82902000,45651000,74073000,54361000,79092000,59788000,54401000,63023000,67944000,65673000,53034000,69909000,69827000,77356000,73063000,119074000
53,Total Current Liabilities,- -,19000000,19000000,21700000,22200000,24100000,29800000,34000000,37200000,40700000,52300000,50700000,46700000,66000000,59400000,70500000,70550000,73300000,126900000,84200000,79700000,108700000,127143000,92600000,80400000,101000000,83200000,171264000,91200000,102000000,125244000,130673000,159683000,149256000,174988000,217392000,213168000
54,Long-Term Debt,- -,52300000,55300000,56600000,64200000,85600000,96200000,100000000,79000000,107700000,116400000,127100000,168100000,205600000,264300000,286300000,310239000,299800000,203300000,210800000,170900000,123100000,199425000,253000000,240900000,196800000,197200000,106276000,259800000,256900000,247986000,297449000,318095000,251071000,227234000,193036000,204177000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26183000
56,Deferred Tax Liabilities,- -,8700000,10100000,11700000,13300000,14100000,13900000,14600000,16100000,- -,- -,- -,- -,- -,- -,- -,30759000,- -,- -,- -,- -,- -,29376000,- -,- -,- -,- -,44372000,43516000,42561000,47502000,46433000,38233000,41977000,48262000,33429000,26183000
57,Other Non-Current Liabilities,- -,- -,-100000,100000,-100000,- -,500000,900000,3200000,19300000,23900000,26300000,29900000,34400000,38800000,41700000,9410000,47600000,55400000,56100000,43200000,54100000,22930000,58600000,62800000,70800000,74600000,67310000,45484000,41239000,42075000,46599000,56762000,57018000,287267000,311598000,265036000
58,Total Non-Current Liabilities,- -,61000000,65300000,68400000,77400000,99700000,110600000,115500000,98300000,127000000,140300000,153400000,198000000,240000000,303100000,328000000,350408000,347400000,258700000,266900000,214100000,177200000,251731000,311600000,303700000,267600000,271800000,217958000,348800000,340700000,337563000,390481000,413090000,350066000,562763000,538063000,521579000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35678000,32803000,28241000,23370000,32704000,35852000,28120000,268819000,272691000,- -
61,Total Liabilities,- -,80000000,84300000,90100000,99600000,123800000,140400000,149500000,135500000,167700000,192600000,204100000,244700000,306000000,362500000,398500000,420958000,420700000,385600000,351100000,293800000,285900000,378874000,404200000,384100000,368600000,355000000,389222000,440000000,442700000,462807000,521154000,572773000,499322000,737751000,755455000,734747000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,13600000,13600000,20400000,20400000,31200000,31200000,31200000,31190000,31200000,31200000,31200000,31200000,31200000,31190000,31200000,31200000,31200000,31200000,31190000,31200000,31200000,31190000,31190000,31190000,31190000,31190000,31190000,31475000
64,Retained Earnings,- -,54300000,60800000,69300000,77500000,86300000,95700000,106700000,120400000,139800000,159700000,195600000,220900000,235700000,252500000,268800000,284402000,300600000,314900000,333200000,425900000,231900000,255727000,266300000,273600000,279900000,283600000,296644000,278500000,294300000,307939000,351220000,403206000,439178000,461884000,331897000,289306000
65,Other Comprehensive Income/Loss,- -,-51700000,-61400000,-71200000,-75800000,-82400000,-92300000,-100300000,-109200000,-122600000,-133700000,-143400000,-162500000,-190200000,-400000,-600000,-268333000,-3800000,-4400000,-1800000,-1000000,-400000,-2000000,-3000000,-3000000,-3000000,-3000000,-4000000,-4000000,-5000000,-5312000,-5000000,-7000000,-7000000,-13000000,-14933000,-11444000
66,Other Total Stockholders Equity,- -,73700000,83600000,93200000,96600000,103100000,111300000,118500000,162800000,163100000,174900000,178600000,198500000,225800000,30300000,25800000,290442000,26100000,28200000,31123000,37561000,38623000,34592000,22993000,25640000,27696000,27680000,19955000,1002000,5711000,9962000,12702000,17628000,26641000,141361000,150569000,144277000
67,Total Stockholders Equity,- -,76300000,83000000,91300000,98300000,107000000,114700000,124900000,174000000,193900000,214500000,251200000,277300000,302500000,313600000,325200000,337701000,354100000,369900000,393723000,493661000,301323000,319509000,317493000,327440000,335796000,339480000,343789000,306702000,326211000,343779000,390112000,445024000,490009000,621435000,498723000,453614000
68,Total Liabilities And Stockholders Equity,- -,156300000,167300000,181400000,197900000,230800000,255100000,274400000,309500000,361600000,407100000,455300000,522000000,608500000,676100000,723700000,758659000,774800000,755500000,744823000,787461000,587223000,698383000,721693000,711540000,704396000,694480000,733011000,746702000,768911000,806586000,911266000,1017797000,989331000,1359186000,1254178000,1188361000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,77000,39000,-23000,- -,-93000,-40000,4000,-80000,- -,-2000,-11000,2456000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,156300000,167300000,181400000,197900000,230800000,255100000,274400000,309500000,361600000,407100000,455300000,522000000,608500000,676100000,723800000,758659000,774800000,755500000,744900000,787500000,587200000,698383000,721600000,711500000,704400000,694400000,733011000,746700000,768900000,809042000,911266000,1017797000,989331000,1359186000,1254178000,1188361000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62234/000089706994000090/0000897069-94-000090-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/62234/000089706997000369/0000897069-97-000369-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/62234/000089706900000433/0000897069-00-000433-index.html,https://www.sec.gov/Archives/edgar/data/62234/000089706901500402/0000897069-01-500402-index.html,https://www.sec.gov/Archives/edgar/data/62234/000089706902000643/0000897069-02-000643-index.html,- -,https://www.sec.gov/Archives/edgar/data/62234/000089706904001448/cmw848.htm,https://www.sec.gov/Archives/edgar/data/62234/000089706905001970/cmw1617.htm,https://www.sec.gov/Archives/edgar/data/62234/000089706906001850/cmw2293.htm,https://www.sec.gov/Archives/edgar/data/62234/000089706907001668/0000897069-07-001668-index.html,https://www.sec.gov/Archives/edgar/data/62234/000089706908001284/0000897069-08-001284-index.html,https://www.sec.gov/Archives/edgar/data/62234/000089706909001281/0000897069-09-001281-index.html,https://www.sec.gov/Archives/edgar/data/62234/000119312510184689/0001193125-10-184689-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420411044975/0001144204-11-044975-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420412045605/0001144204-12-045605-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420413045159/0001144204-13-045159-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420414048883/0001144204-14-048883-index.html,- -,https://www.sec.gov/Archives/edgar/data/62234/000114420417014538/0001144204-17-014538-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420418014385/0001144204-18-014385-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420419013491/0001144204-19-013491-index.html,https://www.sec.gov/Archives/edgar/data/62234/000110465920024194/0001104659-20-024194-index.html,https://www.sec.gov/Archives/edgar/data/62234/000110465921032672/0001104659-21-032672-index.htm,https://www.sec.gov/Archives/edgar/data/62234/000006223422000010/0000062234-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,10800000,11600000,13300000,16500000,22800000,24100000,42300000,30900000,28400000,23100000,22600000,21776000,22500000,20600000,24600000,99200000,28300000,33297000,20500000,17200000,16100000,13600000,22734000,17500000,25000000,23995000,37902000,64996000,53391000,42017000,-124843000,-43293000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,14600000,15700000,17600000,18300000,20400000,23600000,25100000,28900000,32900000,38300000,41485000,44300000,45215000,46542000,46808000,28941000,27254000,26916000,31598000,32685000,32312000,33523000,34859000,34161000,34179000,39144000,42166000,52053000,61676000,72277000,75052000,72127000
75,Deferred Income Tax,- -,- -,- -,- -,- -,800000,-200000,700000,1600000,1600000,4000000,100000,2400000,4100000,4900000,1197000,176000,5984000,460000,1252000,-15159000,-3598000,7405000,2260000,-3028000,7812000,5093000,1150000,-1146000,-451000,5614000,3022000,-6438000,3247000,9111000,-38836000,-15843000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5472000,2241000,1795000,2010000,1772000,1781000,1499000,1899000,2411000,2691000,3523000,4385000,9316000
77,Change in Working Capital,- -,- -,- -,- -,- -,-500000,-8300000,1000000,5500000,-9500000,-17400000,11600000,-9400000,-9100000,4900000,-9400000,-185000,6385000,-40100000,30000000,298400000,-282200000,-37990000,24390000,-6900000,-15400000,14700000,-86628000,82528000,-10200000,-14371000,-14859000,11568000,2655000,-15417000,-53851000,36353000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23106000,-22055000
79,Inventory,- -,- -,- -,- -,- -,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
