,https://roic.ai/company/WEX,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,46852000,19484000,10684000,17129000,10433000,29419000,36042000,46189000,113418000,107067000,105023000,134677000,157080000,128422000
14,Depreciation and Amortization,- -,- -,7284000,7376000,11100000,12081000,15719000,20588000,22559000,31504000,48112000,50267000,60563000,73022000,86174000,141651000,203724000,199805000,237129000,261926000,272641000
15,EBITDA,18731000,40123000,64218000,91536000,38973000,128557000,178856000,263205000,267287000,187270000,273846000,267096000,329292000,412896000,309563000,345331000,490582000,541966000,532035000,154771000,469007000
16,EBITDA ratio,0.1533,0.3169,0.4092,0.4841,0.1615,0.4414,0.5321,0.6687,0.8399,0.4797,0.4951,0.4286,0.4590,0.5050,0.3622,0.3391,0.3923,0.3631,0.3087,0.0992,0.2534
17,Operating Income,33434000,- -,68354000,96309000,121136000,135103000,152092000,161432000,118150000,150709000,233324000,221619000,276739000,306238000,228793000,195128000,239270000,380638000,385841000,-91673000,342000000
18,Operating Income ratio,0.2737,- -,0.4355,0.5093,0.5019,0.4639,0.4525,0.4102,0.3713,0.3860,0.4219,0.3556,0.3857,0.3745,0.2677,0.1916,0.1913,0.2550,0.2238,-0.0588,0.1848
19,Total Other Income Expenses (Gains),- -,-86478000,-11420000,-12149000,-93263000,-18627000,11045000,34333000,107094000,-5627000,-24719000,-15436000,-38339000,-4599000,-43885000,-108027000,-60575000,-142019000,-169325000,-209408000,-138054000
20,Income Before Tax,- -,40123000,56934000,84160000,27873000,116476000,163137000,195765000,225244000,145082000,208605000,206183000,238400000,301639000,184908000,87101000,178695000,238619000,216516000,-301081000,203946000
21,Income Before Tax Ratio,- -,0.3169,0.3628,0.4451,0.1155,0.3999,0.4853,0.4974,0.7078,0.3716,0.3772,0.3309,0.3323,0.3689,0.2164,0.0855,0.1429,0.1599,0.1256,-0.1930,0.1102
22,Income Tax expense (Gain),- -,15702000,22294000,32941000,9220000,41867000,111560000,68125000,85585000,57453000,74983000,109474000,90102000,101621000,75296000,29625000,19525000,68843000,61223000,-20597000,67807000
23,Net Income,18731000,24421000,34640000,51219000,18653000,74609000,51577000,127640000,139659000,87629000,133622000,96922000,149208000,202211000,101904000,60637000,160266000,168295000,99006000,-243638000,137000
24,Net Income ratio,0.1533,0.1929,0.2207,0.2709,0.0773,0.2562,0.1534,0.3243,0.4389,0.2245,0.2416,0.1555,0.2080,0.2473,0.1192,0.0595,0.1282,0.1127,0.0574,-0.1562,0.0001
25,EPS,0.47,0.61,0.87,1.28,0.46,1.85,1.29,3.28,3.65,2.28,3.45,2.50,3.83,5.20,2.63,1.49,3.73,3.90,2.29,-5.56,0.00
26,EPS Diluted,0.47,0.61,0.87,1.28,0.46,1.81,1.27,3.22,3.55,2.25,3.43,2.48,3.82,5.18,2.62,1.48,3.73,3.86,2.26,-5.56,0.00
27,Weighted Average Shares Outstanding,39853191,40000000,40000000,40000000,40194000,40373000,40042000,38885000,38303000,38486000,38686000,38840000,38946000,38890000,38771000,40809000,43022000,43156000,43316000,43842000,43842000
28,Weighted Average Shares Outstanding Diluted,39853191,40000000,40000000,40000000,40735000,41553000,40751000,39787000,39364000,39052000,38998000,39092000,39103000,39000000,38843000,40914000,43022000,43574000,43769000,43842000,43842000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1309108/000095013506001610/0000950135-06-001610-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000095013507001120/0000950135-07-001120-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000095013508001309/0000950135-08-001309-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000095013509001305/0000950135-09-001305-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000095012310017210/0000950123-10-017210-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000095012311019937/0000950123-11-019937-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000119312512085474/0001193125-12-085474-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000119312513085019/0001193125-13-085019-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910814000021/0001309108-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000130910815000016/wex2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/1309108/000130910816000146/0001309108-16-000146-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910817000014/0001309108-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910818000013/0001309108-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910819000020/0001309108-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910820000024/0001309108-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910821000018/0001309108-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000130910822000020/0001309108-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,22134000,31806000,44994000,35060000,43019000,183117000,39304000,18045000,25791000,197662000,361486000,284763000,279989000,190930000,508072000,541498000,810932000,852033000,588923000
32,Short-Term Investments,- -,- -,17601000,17792000,20878000,8023000,9494000,12533000,10596000,9202000,17044000,16350000,15963000,18940000,18562000,23525000,23358000,- -,- -,37273000,948677000
33,Cash and Short-Term Investments,- -,- -,39735000,49598000,65872000,43083000,52513000,195650000,49900000,27247000,42835000,214012000,377449000,303703000,298551000,214455000,531430000,541498000,810932000,889306000,1537600000
34,Net Receivables,- -,- -,302317000,447169000,655432000,802165000,1073593000,710128000,844152000,1160482000,1331670000,1555814000,1712061000,1865540000,1508605000,2054701000,2527840000,2584203000,2661108000,1993329000,2891242000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,63087000,134182000,- -,- -,- -,49294000,6152000,- -,410000,- -,- -,- -,87724000,97417000,150235000,272425000,370335000,620212000,870670000
37,Total Current Assets,- -,- -,405139000,630949000,721304000,845248000,1126106000,955072000,900204000,1187729000,1374915000,1769826000,2089510000,2169243000,1894880000,2366573000,3209505000,3398126000,3842375000,3502847000,5299512000
38,PP&E,- -,- -,36139000,37474000,38543000,39970000,45537000,44864000,44991000,60785000,62078000,60097000,72277000,105596000,138585000,167278000,163908000,187868000,212475000,188340000,179531000
39,Goodwill,- -,- -,- -,- -,- -,272861000,294365000,315230000,315227000,537055000,549504000,844285000,818402000,1116365000,1112878000,1838441000,1876132000,1832129000,2441201000,2688138000,- -
40,Intangible Assets,- -,- -,137468000,137468000,137468000,2421000,20932000,39922000,34815000,124727000,109656000,241810000,208997000,498045000,470712000,1265468000,1154047000,1034194000,1575050000,1552012000,- -
41,Intangible Assets,- -,- -,137468000,137468000,137468000,275282000,315297000,355152000,350042000,661782000,659160000,1086095000,1027399000,1614410000,1583590000,3103909000,3030179000,2866323000,4016251000,4240150000,4551353000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24406000,30460000,37273000,39650000
43,Tax Assets,- -,- -,- -,502000,513018000,377276000,283092000,239957000,183602000,161156000,143524000,100128000,88965000,5764000,10303000,6934000,7752000,9643000,12833000,17524000,5635000
44,Other Non-Current Assets,- -,- -,4864000,6296000,10088000,13239000,15044000,16810000,20823000,26499000,38383000,90538000,154892000,223334000,230588000,352403000,327831000,284229000,184024000,197227000,231147000
45,Total Non-Current Assets,- -,- -,178471000,181740000,699117000,705767000,658970000,656783000,599458000,910222000,903145000,1336858000,1343533000,1949104000,1963066000,3630524000,3529670000,3372469000,4456043000,4680514000,5007316000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,583610000,812689000,1420421000,1551015000,1785076000,1611855000,1499662000,2097951000,2278060000,3106684000,3433043000,4118347000,3857946000,5997097000,6739175000,6770595000,8298418000,8183361000,10306828000
48,Accounts Payable,- -,- -,125666000,197647000,254381000,297102000,363189000,249067000,283149000,379855000,388129000,500723000,481325000,376753000,313244000,520058000,720553000,690651000,852964000,647090000,1021911000
49,Short-Term Debt,- -,- -,23966000,27097000,92027000,- -,- -,170600000,199723000,59484000,302200000,- -,- -,- -,- -,- -,- -,216517000,248531000,152730000,155769000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,1758000,3638000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17524000,- -
52,Other Current Liabilities,- -,- -,101927000,211770000,397489000,26878000,35310000,578160000,457721000,574571000,474189000,87647000,123888000,186430000,221747000,428639000,414031000,1404403000,1948448000,1923509000,3222019000
53,Total Current Liabilities,- -,- -,251559000,436514000,743897000,323980000,398499000,997827000,940593000,1013910000,1164518000,588370000,605213000,563183000,534991000,948697000,1134584000,2311571000,3049943000,2740853000,4399699000
54,Long-Term Debt,- -,- -,- -,- -,167508000,215156000,207575000,309366000,107753000,407300000,295300000,669400000,685000000,1354539000,1201819000,2204903000,2424971000,2133923000,2686513000,2874113000,2695365000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14293000,43752000,83912000,152906000,119283000,151685000,218740000,220122000,192965000
57,Other Non-Current Liabilities,- -,- -,73719000,91925000,434277000,828752000,974743000,10000000,10000000,117734000,108927000,1030983000,1225240000,1079152000,941543000,1184844000,1339779000,377492000,406700000,430356000,1180026000
58,Total Non-Current Liabilities,- -,- -,73719000,91925000,601785000,1043908000,1182318000,319366000,117753000,525034000,404227000,1700383000,1924533000,2477443000,2227274000,3542653000,3884033000,2663100000,3311953000,3524591000,4068356000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,325278000,528439000,1345682000,1367888000,1580817000,1317193000,1058346000,1538944000,1568745000,2288753000,2529746000,3040626000,2762265000,4491350000,5018617000,4974671000,6361896000,6265444000,8468055000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,182379000,182379000,402000,404000,408000,410000,412000,419000,423000,426000,429000,430000,431000,472000,473000,475000,477000,485000,- -
64,Retained Earnings,- -,- -,75929000,101869000,18653000,93262000,144839000,272479000,412138000,499767000,633389000,730311000,879519000,1081730000,1183634000,1244271000,1404683000,1481593000,1539201000,1286976000,- -
65,Other Comprehensive Income/Loss,- -,- -,24000,2000,664000,136000,-1451000,-1844000,-287000,27605000,30588000,37379000,-15495000,-50581000,-103451000,-122839000,-90795000,-117291000,-115449000,-82935000,-122517000
66,Other Total Stockholders Equity,- -,- -,- -,- -,55020000,89325000,60463000,23617000,29053000,31216000,44915000,49815000,38325000,28746000,2630000,375285000,396977000,420920000,502718000,700369000,- -
67,Total Stockholders Equity,- -,- -,258332000,284250000,74739000,183127000,204259000,294662000,441316000,559007000,709315000,817931000,902778000,1060325000,1083244000,1497189000,1711338000,1785697000,1926947000,1904895000,1838773000
68,Total Liabilities And Stockholders Equity,- -,- -,583610000,812689000,1420421000,1551015000,1785076000,1611855000,1499662000,2097951000,2278060000,3106684000,3432524000,4100951000,3845509000,5988539000,6729955000,6760368000,8288843000,8170339000,10306828000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,519000,17396000,12437000,8558000,9220000,10227000,9575000,13022000,- -
70,Total Liabilities & Equity,- -,- -,583610000,812689000,1420421000,1551015000,1785076000,1611855000,1499662000,2097951000,2278060000,3106684000,3433043000,4118347000,3857946000,5997097000,6739175000,6770595000,8298418000,8183361000,10306828000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1309108/000095013506001610/0000950135-06-001610-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000095013507001120/0000950135-07-001120-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000095013508001309/0000950135-08-001309-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000095013509001305/0000950135-09-001305-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000095012310017210/0000950123-10-017210-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000095012311019937/0000950123-11-019937-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000119312512085474/0001193125-12-085474-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000119312513085019/0001193125-13-085019-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910814000021/0001309108-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000130910815000016/wex2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/1309108/000130910816000146/0001309108-16-000146-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910817000014/0001309108-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910818000013/0001309108-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910819000020/0001309108-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910820000024/0001309108-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910821000018/0001309108-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000130910822000020/0001309108-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,34640000,51219000,18653000,74609000,51577000,127640000,139659000,87629000,133622000,96922000,149208000,202211000,101904000,60637000,160266000,168295000,99006000,-243638000,137000
74,Depreciation and Amortization,- -,- -,7284000,7376000,11100000,12081000,15719000,20588000,22559000,31504000,48112000,50267000,60563000,73022000,86174000,141651000,203724000,199805000,237129000,261926000,272641000
75,Deferred Income Tax,- -,- -,1165000,-809000,4228000,34409000,95117000,41967000,59558000,21536000,21749000,35907000,26956000,46111000,37359000,19499000,-888000,31334000,19667000,-29342000,12878000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,5216000,5736000,7425000,9367000,11016000,9429000,13790000,12420000,19742000,30487000,33887000,45811000,63863000,74758000
77,Change in Working Capital,- -,- -,-40118000,40855000,-217028000,543861000,206339000,-770362000,2366000,214208000,36578000,971059000,302841000,121763000,-246171000,57987000,657045000,-988366000,-294123000,-30438000,137819000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,362444000,-159623000,-236100000,-198417000,-86763000,-194418000,55883000,199717000,-436071000,-542017000,- -,- -,592947000,-959128000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-156463000,34053000,41919000,29274000,-41040000,-6365000,-29154000,-33201000,75807000,194542000,-3588000,139187000,-183708000,252967000
81,Other Working Capital,- -,- -,153580000,194435000,-22593000,521268000,727607000,-42755000,-40389000,173819000,210397000,1181456000,1484297000,1606060000,1359889000,1417876000,2074921000,1086555000,792432000,761994000,899813000
82,Other Non-Cash Items,- -,- -,9698000,-139256000,142105000,-604511000,-460841000,914130000,-263045000,-372852000,-198260000,-1093360000,-509446000,-160484000,453414000,-450647000,-917685000,955274000,555681000,834648000,-347835000
83,Cash Provided by Operating Activities,- -,- -,12669000,-40615000,-40942000,60449000,-92089000,339179000,-33167000,-10550000,51168000,71811000,39551000,296413000,445100000,-151131000,132949000,400229000,663171000,857019000,150398000
84,CAPEX,- -,- -,-11700000,-11039000,-11017000,-12474000,-16624000,-16155000,-17848000,-28944000,-28489000,-28036000,-39455000,-58133000,-63491000,-65799000,-79276000,-87152000,-102860000,-80471000,-81663000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-40806000,-41613000,- -,-339994000,-4347000,-402475000,-11277000,-843401000,-63412000,-1089282000,-84382000,-165521000,-882417000,-243174000,- -
86,Purchases of Investments,- -,- -,-19183000,-1172000,-3637000,-2154000,-2518000,-4301000,-160000,-150000,-8509000,-864000,-1802000,-2837000,-349000,-5853000,-474000,-1768000,-5567000,-6459000,-318000
87,Sales/Maturities of Investments,- -,- -,- -,758000,425000,17170000,1123000,1255000,2201000,1654000,841000,1551000,1192000,337000,594000,495000,631000,266000,230000,181000,31338000
88,Other Investing Activites,- -,- -,43000,1346000,125000,-86784000,-1922000,-44000,- -,- -,-3344000,- -,- -,- -,- -,-4000000,- -,- -,- -,837000,-1546085000
89,Cash Used for Investing Activites,- -,- -,-30840000,-10107000,-14104000,-84242000,-60747000,-60814000,-15807000,-367434000,-40504000,-429824000,-51342000,-904034000,-126658000,-1160439000,-163501000,-254175000,-990614000,-329086000,-1601106000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-36975000,-42600000,-2269000,-420984000,-27753000,-686416000,-2126571000,-2430053000,-4183374000,-4273991000,-1805559000,-1374671000,-455047000,- -
91,Common Stock Issued,- -,- -,- -,- -,388000,2229000,3459000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-39899000,-41256000,-7732000,-19833000,-2551000,-11288000,-17911000,-19765000,-22011000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-25279000,-305887000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,25866000,85673000,373733000,11630000,197220000,-59971000,-44551000,378441000,420952000,568605000,883569000,2673043000,2132526000,5399455000,4633376000,1702831000,2124444000,185791000,1403269000
95,Cash Used/Provided by Financing Activities,- -,- -,25866000,60394000,68234000,13859000,160780000,-138202000,-94883000,356339000,-2583000,529564000,179242000,526707000,-319538000,1216081000,359385000,-102728000,749773000,-179256000,1403269000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,15000,-65000,44000,386000,-335000,320000,-3627000,4191000,-3678000,6430000,-11691000,-10680000,4020000,-405000,-25376000
97,Net Change In Cash,- -,- -,7695000,9672000,13188000,-9934000,7959000,140098000,-143813000,-21259000,7746000,171871000,163824000,-76723000,-4774000,-89059000,317142000,32646000,426350000,348272000,-72815000
98,Cash at the End of Period,- -,- -,22134000,31806000,44994000,35060000,43019000,183117000,39304000,18045000,25791000,197662000,361486000,284763000,279989000,190930000,508072000,555031000,981381000,1329653000,1256838000
99,Cash at the Beginning of Period,- -,- -,14439000,22134000,31806000,44994000,35060000,43019000,183117000,39304000,18045000,25791000,197662000,361486000,284763000,279989000,190930000,522385000,555031000,981381000,1329653000
100,Free Cash Flow,- -,- -,969000,-51654000,-51959000,47975000,-108713000,323024000,-51015000,-39494000,22679000,43775000,96000,238280000,381609000,-216930000,53673000,313077000,560311000,776548000,68735000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1309108/000095013506001610/0000950135-06-001610-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000095013507001120/0000950135-07-001120-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000095013508001309/0000950135-08-001309-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000095013509001305/0000950135-09-001305-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000095012310017210/0000950123-10-017210-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000095012311019937/0000950123-11-019937-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000119312512085474/0001193125-12-085474-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000119312513085019/0001193125-13-085019-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910814000021/0001309108-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000130910815000016/wex2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/1309108/000130910816000146/0001309108-16-000146-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910817000014/0001309108-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910818000013/0001309108-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910819000020/0001309108-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910820000024/0001309108-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/1309108/000130910821000018/0001309108-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1309108/000130910822000020/0001309108-22-000020-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
