,https://roic.ai/company/ATGE,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,75900000,77500000,72400000,57300000,58700000,65400000,69200000,78600000,98800000,117800000,138900000,166694000,167330000,188712000,225767000,275587000,300165000,323010000,338213000,426365000,556947000,678190000,762692000,808400000,756384000,727870000,708285000,654049000,618152000,373064000,400411000,395838000,420267000
11,COGS and Expenses,157800000,147200000,153000000,159700000,169500000,185800000,199700000,226200000,265700000,302100000,357300000,427341000,471862000,536698000,591842000,695695000,737510000,775625000,824934000,929498000,1226620000,1504279000,1688196000,1784042000,1718607000,1711306000,1708340000,1640827000,1580346000,1018668000,1023951000,885892000,909500000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5251000,2080000,1539000,818000,1652000,1731000,2063000,779000,4925000,5827000,7976000,3688000,4094000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2775000,1585000,1282000,2612000,3611000,3632000,5313000,5934000,9144000,14620000,23631000,19510000,41365000
14,Depreciation and Amortization,5500000,19900000,17100000,6800000,6800000,7300000,6200000,7600000,11300000,14000000,17800000,25251000,32036000,33536000,40332000,55584000,57566000,48108000,44007000,39874000,50450000,62222000,64571000,88689000,93250000,89817000,90556000,85551000,84061000,52824000,51741000,100972000,99051000
15,EBITDA,-16600000,13500000,13300000,32500000,22400000,28300000,31800000,40300000,51200000,64500000,80900000,103325000,127951000,144165000,126789000,136940000,94123000,105591000,148947000,212150000,290538000,476355000,559858000,296623000,242874000,255180000,254305000,73777000,225908000,185315000,204697000,28790000,242573000
16,EBITDA ratio,-0.1080,0.0862,0.0815,0.1814,0.1167,0.1339,0.1399,0.1557,0.1666,0.1833,0.1929,0.2045,0.2252,0.2226,0.1866,0.1745,0.1205,0.1252,0.1596,0.1943,0.1988,0.2487,0.2565,0.1419,0.1236,0.1327,0.1331,0.0400,0.1248,0.1505,0.1651,0.0274,0.2181
17,Operating Income,-4100000,9500000,10100000,19500000,22400000,25600000,27600000,32700000,41600000,49800000,62100000,77991000,96315000,110883000,87737000,89190000,43794000,67673000,102287000,162335000,234833000,410902000,494175000,204237000,166928000,181268000,156910000,-12143000,138613000,207476000,185989000,142260000,161483000
18,Operating Income ratio,-0.0267,0.0606,0.0619,0.1088,0.1167,0.1211,0.1214,0.1263,0.1354,0.1415,0.1481,0.1543,0.1695,0.1712,0.1291,0.1136,0.0561,0.0802,0.1096,0.1487,0.1607,0.2145,0.2264,0.0977,0.0850,0.0942,0.0822,-0.0066,0.0766,0.1685,0.1500,0.1352,0.1452
19,Total Other Income Expenses (Gains),-18000000,-15900000,-13900000,-9600000,-6800000,-4600000,-2000000,- -,-1700000,700000,1000000,83000,-400000,-254000,-1280000,-7834000,-9047000,-10190000,2653000,9941000,2519000,1720000,257000,1901000,-1959000,-1901000,-3250000,-5155000,-4219000,-8793000,-15808000,94919000,-34633000
20,Income Before Tax,-22100000,-6400000,-3800000,9900000,15600000,21000000,25600000,32700000,39900000,50500000,63100000,78074000,95915000,110629000,86457000,81356000,34747000,57483000,104940000,172276000,237352000,412622000,494432000,206138000,164969000,179367000,153660000,-17298000,134394000,198683000,170181000,237179000,126850000
21,Income Before Tax Ratio,-0.1438,-0.0408,-0.0233,0.0552,0.0813,0.0993,0.1126,0.1263,0.1298,0.1435,0.1505,0.1545,0.1688,0.1708,0.1272,0.1037,0.0445,0.0682,0.1124,0.1578,0.1624,0.2154,0.2266,0.0986,0.0840,0.0933,0.0805,-0.0094,0.0743,0.1614,0.1373,0.2255,0.1140
22,Income Tax expense (Gain),-700000,-500000,-300000,4000000,6200000,8800000,10700000,13500000,15700000,19800000,24300000,30293000,38139000,43574000,25309000,23295000,8013000,14430000,28752000,46744000,71700000,132639000,163602000,63757000,39227000,27699000,18537000,-14542000,10420000,84102000,34157000,-6358000,25248000
23,Net Income,-21400000,-5900000,-3500000,21700000,9400000,12200000,14900000,19200000,24200000,30700000,38800000,47781000,57776000,67055000,61148000,58061000,28544000,43053000,76188000,125532000,165613000,279909000,330403000,141565000,106786000,134032000,139899000,-3166000,122283000,33769000,95168000,-85334000,76909000
24,Net Income ratio,-0.1392,-0.0377,-0.0215,0.1211,0.0490,0.0577,0.0656,0.0742,0.0788,0.0872,0.0925,0.0946,0.1017,0.1035,0.0900,0.0740,0.0365,0.0511,0.0816,0.1150,0.1133,0.1462,0.1514,0.0677,0.0544,0.0697,0.0732,-0.0017,0.0676,0.0274,0.0768,-0.0811,0.0691
25,EPS,-2.33,-0.64,-0.36,0.35,0.15,0.19,0.23,0.28,0.35,0.44,0.56,0.69,0.83,0.96,0.87,0.83,0.41,0.61,1.07,1.76,2.32,3.92,4.73,2.11,1.66,2.09,2.17,-0.05,1.93,0.55,1.63,-1.59,1.50
26,EPS Diluted,-2.33,-0.64,-0.36,0.33,0.15,0.19,0.23,0.28,0.35,0.44,0.55,0.68,0.82,0.95,0.87,0.82,0.40,0.61,1.07,1.73,2.28,3.87,4.68,2.09,1.65,2.07,2.14,-0.05,1.91,0.54,1.60,-1.59,1.49
27,Weighted Average Shares Outstanding,9184549,9218750,58520000,62000000,62666667,64210526,64782609,67368421,68169014,69772727,69285714,69247826,69609639,69848958,70285057,69953012,69619512,70578689,71203738,71277000,71384914,71405357,69852643,67092417,64328916,64130144,64469585,64036000,63359067,61398182,58385276,53659000,51322000
28,Weighted Average Shares Outstanding Diluted,9184549,9218750,58520000,65757576,62666667,64210526,64782609,67368421,68169014,69772727,70545455,70266176,70458537,70584211,70285057,70806098,71360000,70578689,71203738,72406000,72637281,72267000,70598932,67734450,64611000,64853000,65277000,64371000,64019000,62280000,59330000,54094000,51645000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730464/000073046497000006/0000730464-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046498000006/0000730464-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046499000012/0000730464-99-000012-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046400000006/0000730464-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046401500009/0000730464-01-500009-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046402000007/0000730464-02-000007-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730464/000114036107017229/0001140361-07-017229-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114036108020341/0001140361-08-020341-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114036109019718/0001140361-09-019718-index.html,https://www.sec.gov/Archives/edgar/data/730464/000095012310080775/0000950123-10-080775-index.html,https://www.sec.gov/Archives/edgar/data/730464/000095012311080434/0000950123-11-080434-index.html,https://www.sec.gov/Archives/edgar/data/730464/000119312512372041/0001193125-12-372041-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420413048520/0001144204-13-048520-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420414052733/0001144204-14-052733-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420415052225/0001144204-15-052225-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420416121173/0001144204-16-121173-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420417044976/0001144204-17-044976-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420418046216/0001144204-18-046216-index.html,https://www.sec.gov/Archives/edgar/data/730464/000155837019008351/atge-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/730464/000155837020010728/0001558370-20-010728-index.htm,https://www.sec.gov/Archives/edgar/data/730464/000155837021011957/0001558370-21-011957-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,22100000,12900000,14200000,16000000,13300000,22700000,26300000,29900000,38900000,31900000,31800000,25851000,29213000,59685000,108699000,146227000,161823000,130583000,129155000,217199000,165202000,307702000,447145000,174076000,196576000,358188000,353022000,308164000,241979000,430690000,299445000,500516000,494613000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20800000,- -,- -,- -,- -,- -,- -,- -,- -,2308000,60174000,15666000,2575000,2632000,2975000,3448000,3579000,3609000,4013000,4255000,8680000,8968000,- -
33,Cash and Short-Term Investments,22100000,12900000,14200000,16000000,13300000,22700000,26300000,29900000,38900000,31900000,52600000,25851000,29213000,59685000,108699000,146227000,161823000,130583000,129155000,219507000,225376000,323368000,449720000,176708000,199551000,361636000,356601000,311773000,245992000,434945000,308125000,509484000,494613000
34,Net Receivables,7200000,8100000,7700000,8900000,7000000,7100000,6200000,9700000,12300000,11900000,14200000,25362000,25664000,26054000,24275000,28150000,39226000,46567000,43084000,55214000,104413000,119210000,114689000,154189000,139932000,132621000,139163000,162389000,173362000,146726000,157829000,87042000,67996000
35,Inventory,3000000,3100000,2700000,2800000,3000000,2900000,3600000,3300000,4500000,5200000,6600000,6371000,4899000,4907000,4315000,3281000,164000,133000,141000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1200000,6700000,7700000,15200000,14400000,16200000,21900000,18700000,14800000,20700000,5500000,24380000,28851000,27181000,32398000,31217000,41125000,50790000,46605000,50867000,55657000,57069000,60241000,70217000,102681000,82834000,105293000,43943000,51853000,106329000,38746000,96240000,952344000
37,Total Current Assets,33500000,30800000,32300000,42900000,37700000,48900000,58000000,61600000,70500000,69700000,78900000,81964000,88627000,117827000,169687000,208875000,242338000,228073000,218985000,325588000,385446000,499647000,624650000,401114000,442164000,577091000,601057000,518105000,471207000,688000000,504700000,692766000,1514953000
38,PP&E,65400000,61600000,57500000,54500000,52900000,51900000,60300000,71400000,90700000,108100000,135200000,158801000,205084000,257627000,285354000,286887000,286767000,272926000,259327000,239315000,307571000,388137000,468244000,558977000,571657000,555837000,545874000,521763000,488826000,388654000,364683000,461037000,466180000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291113000,291113000,308024000,512568000,514864000,523620000,549961000,508937000,519879000,552329000,588007000,851282000,813887000,874451000,686214000,686374000
40,Intangible Assets,26400000,13200000,2600000,2300000,2200000,2100000,3900000,37700000,37800000,37900000,37800000,74134000,78852000,78083000,384309000,370743000,363007000,63762000,56920000,62847000,203195000,194195000,195462000,285220000,281998000,294932000,323731000,342856000,413803000,362931000,418097000,287514000,276249000
41,Intangible Assets,26400000,13200000,2600000,2300000,2200000,2100000,3900000,37700000,37800000,37900000,37800000,74134000,78852000,78083000,384309000,370743000,363007000,354875000,348033000,370871000,715763000,709059000,719082000,835181000,790935000,814811000,876060000,930863000,1265085000,1176818000,1292548000,973728000,962623000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13450000,13450000,13450000,13450000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4658000,1801000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52608000,33772000,38780000,18314000,22277000,22479000
44,Other Non-Current Assets,6900000,3700000,3400000,12700000,6400000,3900000,4500000,7400000,7700000,8200000,8800000,12180000,14454000,12290000,17294000,17627000,17923000,16608000,17768000,82582000,12069000,17533000,25077000,29894000,52262000,49897000,51202000,73657000,55145000,52709000,62451000,78879000,87601000
45,Total Non-Current Assets,98700000,78500000,63500000,69500000,61500000,57900000,68700000,116500000,136200000,154200000,181800000,245115000,303048000,349801000,686957000,675257000,667697000,644409000,625128000,692768000,1048853000,1128179000,1225853000,1437502000,1414854000,1420545000,1473136000,1578891000,1842828000,1656961000,1737996000,1535921000,1538883000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,132200000,109300000,95800000,112400000,99200000,106800000,126700000,178100000,206700000,223900000,260700000,327079000,391675000,467628000,856644000,884132000,910035000,872482000,844113000,1018356000,1434299000,1627826000,1850503000,1838616000,1857018000,1997636000,2074193000,2096996000,2314035000,2344961000,2242696000,2228687000,3053836000
48,Accounts Payable,- -,2700000,7800000,9400000,10400000,11800000,15000000,18900000,22300000,24100000,29100000,31827000,34573000,36284000,34094000,27349000,30681000,39677000,34295000,70368000,71564000,90364000,63611000,63094000,55131000,52260000,63083000,64687000,64285000,47477000,57627000,46484000,56071000
49,Short-Term Debt,17000000,12600000,8700000,12800000,13300000,3600000,- -,- -,- -,- -,- -,- -,- -,- -,15000000,35000000,50000000,60000000,- -,- -,104811000,- -,- -,- -,- -,- -,- -,- -,- -,3000000,3000000,54644000,58329000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10957000,12287000,16291000,21830000,22823000,31769000,37348000,40877000,74664000,86627000,75532000,77551000,97478000,99160000,90232000,100442000,117558000,106773000,99790000,91589000,100697000
52,Other Current Liabilities,27500000,21700000,18100000,19400000,20700000,24800000,33700000,33600000,36000000,41900000,44900000,57358000,48852000,55121000,73126000,72470000,83218000,79823000,94232000,99447000,140978000,166863000,177288000,174564000,163608000,165392000,168594000,196707000,195484000,208531000,151214000,153266000,193710000
53,Total Current Liabilities,44500000,37000000,34600000,41600000,44400000,40200000,48700000,52500000,58300000,66000000,74000000,89185000,94382000,103692000,138511000,156649000,186722000,211269000,165875000,210692000,392017000,343854000,316431000,315209000,316217000,316812000,321909000,361836000,377327000,365781000,311631000,345983000,408807000
54,Long-Term Debt,118000000,112300000,83200000,67300000,42400000,39700000,33000000,61500000,33000000,10000000,- -,- -,- -,- -,275000000,215000000,175000000,65000000,- -,- -,20000000,- -,- -,- -,- -,- -,- -,- -,125000000,290073000,398094000,462147000,1235566000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1000000,700000,500000,1600000,- -,200000,2300000,2200000,3100000,3600000,2100000,- -,- -,- -,13049000,17660000,21408000,12564000,18343000,22163000,51895000,43368000,69029000,62276000,60103000,47921000,56092000,29936000,34712000,29115000,29426000,24975000,26991000
57,Other Non-Current Liabilities,12600000,800000,600000,600000,1400000,3700000,4700000,4600000,7000000,8000000,9300000,12755000,12622000,10390000,14417000,16566000,18981000,19042000,17929000,29512000,43445000,56216000,68772000,96496000,83542000,99510000,111382000,123137000,107957000,140706000,112015000,85161000,81402000
58,Total Non-Current Liabilities,131600000,113800000,84300000,69500000,43800000,43600000,40000000,68300000,43100000,21600000,11400000,12755000,12622000,10390000,302466000,249226000,215389000,96606000,36272000,51675000,115340000,99584000,137801000,158772000,143645000,147431000,167474000,153073000,267669000,459894000,539535000,572283000,1343959000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227676000,223184000
61,Total Liabilities,176100000,150800000,118900000,111100000,88200000,83800000,88700000,120800000,101400000,87600000,85400000,101940000,107004000,114082000,440977000,405875000,402111000,307875000,202147000,262367000,507357000,443438000,454232000,473981000,459862000,464243000,489383000,514909000,644996000,825675000,851166000,918266000,1752766000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,697000,698000,700000,701000,704000,706000,708000,716000,724000,729000,734000,738000,741000,745000,753000,760000,765000,781000,793000,801000,807000,811000
64,Retained Earnings,-44600000,-53800000,-57400000,-35700000,-26300000,-14100000,700000,20000000,44000000,74400000,113200000,160996000,218772000,285827000,346975000,405036000,433580000,441893000,510979000,627064000,791677000,1055591000,1367972000,1488988000,1575009000,1682071000,1796361000,1771068000,1881397000,1917373000,2012902000,1927568000,2005105000
65,Other Comprehensive Income/Loss,-10900000,-16800000,-23000000,-27800000,-32900000,-38000000,-42800000,-49300000,-58300000,-65000000,-80800000,-101393000,-125796000,-150386000,703000,720000,266000,-424000,-918000,-2963000,7157000,9896000,15729000,-5889000,-17101000,-15394000,-77114000,-42467000,-59119000,-142168000,-137290000,-9055000,-7365000
66,Other Total Stockholders Equity,11600000,29100000,57300000,64800000,70200000,75100000,80100000,86600000,119600000,126900000,142200000,164839000,190997000,217405000,67288000,71797000,73372000,122430000,131189000,131164000,127379000,113160000,5077000,-127447000,-161497000,-134037000,-135197000,-147279000,-154020000,-256712000,-484883000,-608899000,-697481000
67,Total Stockholders Equity,-43900000,-41500000,-23100000,1300000,11000000,23000000,38000000,57300000,105300000,136300000,175300000,225139000,284671000,353546000,415667000,478257000,507924000,564607000,641966000,755989000,926942000,1179381000,1389516000,1356393000,1397156000,1533393000,1584810000,1582087000,1669039000,1519286000,1391530000,1310421000,1301070000
68,Total Liabilities And Stockholders Equity,132200000,109300000,95800000,112400000,99200000,106800000,126700000,178100000,206700000,223900000,260700000,327079000,391675000,467628000,856644000,884132000,910035000,872482000,844113000,1018356000,1434299000,1622819000,1843748000,1830374000,1857018000,1997636000,2074193000,2096996000,2314035000,2344961000,2242696000,2228687000,3053836000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5007000,6755000,8242000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,132200000,109300000,95800000,112400000,99200000,106800000,126700000,178100000,206700000,223900000,260700000,327079000,391675000,467628000,856644000,884132000,910035000,872482000,844113000,1018356000,1434299000,1627826000,1850503000,1838616000,1857018000,1997636000,2074193000,2096996000,2314035000,2344961000,2242696000,2228687000,3053836000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730464/000073046497000006/0000730464-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046498000006/0000730464-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046499000012/0000730464-99-000012-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046400000006/0000730464-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046401500009/0000730464-01-500009-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046402000007/0000730464-02-000007-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730464/000114036107017229/0001140361-07-017229-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114036108020341/0001140361-08-020341-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114036109019718/0001140361-09-019718-index.html,https://www.sec.gov/Archives/edgar/data/730464/000095012310080775/0000950123-10-080775-index.html,https://www.sec.gov/Archives/edgar/data/730464/000095012311080434/0000950123-11-080434-index.html,https://www.sec.gov/Archives/edgar/data/730464/000119312512372041/0001193125-12-372041-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420413048520/0001144204-13-048520-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420414052733/0001144204-14-052733-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420415052225/0001144204-15-052225-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420416121173/0001144204-16-121173-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420417044976/0001144204-17-044976-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420418046216/0001144204-18-046216-index.html,https://www.sec.gov/Archives/edgar/data/730464/000155837019008351/atge-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/730464/000155837020010728/0001558370-20-010728-index.htm,https://www.sec.gov/Archives/edgar/data/730464/000155837021011957/0001558370-21-011957-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-5900000,-3500000,21700000,9400000,12200000,14900000,19200000,24200000,30700000,38800000,47781000,57776000,67055000,61148000,58061000,28544000,43053000,76188000,125532000,165613000,279909000,330403000,141565000,106786000,134032000,139899000,-3166000,122283000,33769000,95168000,-85334000,76909000
74,Depreciation and Amortization,- -,19900000,17100000,6800000,6800000,7300000,6200000,7600000,11300000,14000000,17800000,25251000,32036000,33536000,40332000,55584000,57566000,48108000,44007000,39874000,50450000,62222000,64571000,88689000,93250000,89817000,90556000,85551000,84061000,52824000,51741000,100972000,99051000
75,Deferred Income Tax,- -,-500000,-300000,-12300000,5300000,2400000,5500000,-500000,2000000,-1000000,-4500000,-3159000,-4321000,2630000,8940000,5472000,-5775000,-475000,4592000,3110000,344000,-9549000,23966000,-10160000,-7711000,-18115000,3563000,-41648000,5600000,-10595000,20761000,-4548000,1519000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7550000,10148000,14251000,18530000,15493000,17685000,17440000,22368000,16600000,14499000,13217000,14584000,13875000
77,Change in Working Capital,- -,-10000000,3900000,3600000,-8000000,15400000,600000,-200000,3100000,-8500000,1200000,-12121000,1466000,19890000,17041000,21050000,3390000,-38812000,36306000,61786000,-121467000,162364000,152426000,-222314000,40042000,134332000,18869000,-122879000,-62389000,228339000,-129150000,153714000,759363000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89249000,-102588000,-84940000,-90240000,-124448000,-82262000,-96534000,-91649000,-100118000,-43294000,-27706000,-12840000,13259000
79,Inventory,- -,-100000,400000,-200000,-100000,- -,-600000,300000,-1300000,-700000,-1300000,304000,1492000,-8000,592000,1034000,3131000,45000,-2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3084000,18776000,-26808000,-1581000,-6697000,-2883000,10830000,-9612000,755000,9964000,9199000,-6340000,8530000
81,Other Working Capital,- -,-6200000,-2300000,1300000,-6700000,8700000,9300000,9100000,12200000,3700000,4900000,-7221000,-5755000,14135000,31176000,52226000,55616000,16804000,53110000,114896000,-6571000,155793000,308219000,85905000,125947000,260279000,279148000,156269000,93880000,322219000,193069000,346783000,1106146000
82,Other Non-Cash Items,- -,7300000,-3600000,-4500000,10600000,-8900000,1000000,2300000,1800000,12400000,1300000,13582000,-1739000,-7788000,-29210000,-5740000,3833000,38948000,-35917000,-31656000,147036000,-113546000,-177627000,261112000,13645000,-92190000,-67220000,291343000,61809000,-79647000,153121000,-71696000,-758518000
83,Cash Provided by Operating Activities,- -,10800000,13600000,15300000,24100000,28400000,28200000,28400000,42400000,47600000,54600000,71334000,85218000,115323000,98251000,134427000,87558000,90822000,125176000,198646000,249526000,391548000,407990000,277422000,261505000,265561000,203107000,231569000,227964000,239189000,204858000,107692000,192199000
84,CAPEX,- -,-2300000,-2100000,-3900000,-5100000,-6300000,-14600000,-36300000,-28800000,-31800000,-44800000,-40797000,-74552000,-85873000,-43762000,-42808000,-42909000,-25265000,-38558000,-62806000,-74044000,-131009000,-135726000,-129055000,-111775000,-79355000,-88707000,-69396000,-48994000,-66530000,-64751000,-44137000,-48664000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38587000,-8572000,- -,-295908000,-1493000,-4861000,-2530000,- -,-27603000,-315318000,- -,-3027000,-250894000,-39035000,-13570000,-73117000,-176978000,-330567000,-9041000,-118409000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-247013000,-63000,-79000,-101000,-61000,-93000,-135000,-158000,-105000,-93000,-159000,-6321000,-3015000,-10745000
