,https://roic.ai/company/ESE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-2200000,-67400000,1400000,5200000,8300000,-30300000,26100000,11800000,11300000,25500000,16819000,30107000,21781000,-41138000,35671000,43544000,31280000,33713000,46711000,49408000,44846000,52501000,46879000,-25603000,410000,42512000,45882000,53703000,92136000,81039000,101980000,63496000
24,Net Income ratio,-0.0041,-0.1401,0.0034,0.0113,0.0175,-0.0687,0.0595,0.0312,0.0310,0.0613,0.0560,0.0873,0.0593,-0.1037,0.0845,0.1015,0.0682,0.0639,0.0749,0.0798,0.0738,0.0757,0.0681,-0.0522,0.0008,0.0791,0.0803,0.0783,0.1194,0.0997,0.1391,0.0888
25,EPS,-0.10,-3.02,0.06,0.23,0.36,-1.38,1.13,0.48,0.47,1.03,0.69,1.22,0.87,-1.63,1.38,1.71,1.22,1.30,1.80,1.88,1.70,1.97,1.76,1.18,0.02,1.65,1.78,2.08,3.56,3.12,3.92,2.44
26,EPS Diluted,-0.10,-3.02,0.06,0.23,0.36,-1.38,1.13,0.47,0.45,1.01,0.67,1.18,0.83,-1.63,1.34,1.66,1.19,1.28,1.78,1.86,1.68,1.95,1.73,1.17,0.02,1.62,1.77,2.07,3.54,3.10,3.90,2.42
27,Weighted Average Shares Outstanding,22000000,22354892,23333333,22127660,23055556,21956522,23097345,24583333,24042553,24664000,24614000,24764000,25022000,25350000,25802000,25511000,25718000,25865000,25909000,26216000,26450000,26588000,26699000,26440097,26206980,25816650,25716861,25833202,25910828,25981313,26037714,26061432
28,Weighted Average Shares Outstanding Diluted,22000000,22354892,23333333,22608696,23055556,21956522,23200000,24842105,25111111,25228000,25336000,25610000,26044000,26256000,26648000,26306000,26386000,26387000,26315000,26560000,26738000,26903000,27030000,26802000,26644000,26265000,25968000,25995000,26058000,26097000,26135000,26225000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866706/0000950137-97-004130-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866706/000095013401509784/0000950134-01-509784-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866706/000095013707018004/0000950137-07-018004-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000095013708014173/0000950137-08-014173-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000095012309066655/0000950123-09-066655-index.htm,- -,https://www.sec.gov/Archives/edgar/data/866706/000119312511323960/0001193125-11-323960-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000114420412065486/0001144204-12-065486-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000114420413064584/0001144204-13-064584-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000114420414071151/0001144204-14-071151-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000114420415068633/0001144204-15-068633-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000114420416136902/0001144204-16-136902-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000114420417061284/0001144204-17-061284-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000114420418062244/0001144204-18-062244-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000110465919068679/0001104659-19-068679-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000110465920130486/0001104659-20-130486-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000141057821000447/0001410578-21-000447-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3900000,43000000,1600000,10600000,2700000,300000,22200000,5800000,4200000,87700000,5620000,14506000,24930000,31285000,72281000,104484000,36819000,18638000,28667000,44630000,26508000,34158000,30215000,42850000,35131000,39411000,53825000,45516000,30477000,61808000,52560000,56232000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3900000,43000000,1600000,10600000,2700000,300000,22200000,5800000,4200000,87700000,5620000,14506000,24930000,31285000,72281000,104484000,36819000,18638000,28667000,44630000,26508000,34158000,30215000,42850000,35131000,39411000,53825000,45516000,30477000,61808000,52560000,56232000
34,Net Receivables,179200000,104300000,117200000,33500000,94200000,100100000,86200000,103200000,78500000,38700000,58982000,67988000,72447000,74042000,80205000,73211000,85161000,114514000,144531000,108620000,153841000,157057000,165618000,112697000,133247000,130994000,150232000,207866000,216774000,289737000,240828000,240112000
35,Inventory,113500000,77100000,95900000,89700000,85600000,107400000,51200000,45100000,81600000,39500000,44457000,48167000,52579000,48432000,44287000,48645000,50984000,67871000,66962000,82020000,83034000,96986000,108061000,90228000,94292000,99786000,105542000,124515000,135416000,128825000,136189000,147148000
36,Other Current Assets,45600000,19500000,2200000,52200000,6600000,4100000,3100000,2900000,2800000,7600000,9150000,20769000,31432000,52376000,36757000,38613000,34293000,59327000,30476000,44925000,32978000,40153000,39550000,148146000,33283000,28060000,13884000,14895000,13356000,14824000,17053000,22662000
37,Total Current Assets,342200000,243900000,216900000,186000000,189100000,211900000,162700000,157000000,167100000,173500000,118209000,151430000,181388000,206135000,233530000,264953000,207257000,260350000,270636000,280195000,296361000,328354000,343444000,393921000,295953000,298251000,323483000,392792000,396023000,495194000,446630000,466154000
38,PP&E,93600000,88200000,91700000,92300000,93100000,91500000,54000000,96500000,98000000,71300000,62563000,65038000,68522000,71169000,69103000,67190000,68754000,78277000,72591000,69543000,72563000,73067000,75876000,75536000,76465000,77358000,92405000,132748000,134954000,161470000,161260000,186111000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102163000,- -,- -,- -,- -,143450000,149466000,328878000,330719000,355656000,361864000,361280000,282949000,282337000,291157000,323616000,377879000,381652000,409215000,408063000,504853000
40,Intangible Assets,195200000,189800000,198400000,16700000,20300000,20500000,20400000,55000000,72500000,69000000,90997000,- -,103283000,68653000,68949000,68880000,59202000,77242000,238223000,221600000,229736000,231848000,231473000,180200000,182100000,190700000,231800000,351100000,347200000,393000000,346632000,409250000
41,Intangible Assets,195200000,189800000,198400000,16700000,20300000,20500000,20400000,55000000,72500000,69000000,90997000,102163000,103283000,68653000,68949000,68880000,202652000,226708000,567101000,552319000,585392000,593712000,592753000,463149000,464437000,481857000,555416000,728979000,728852000,802215000,754695000,914103000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38573000,26950000,16618000,10055000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,19600000,26000000,34700000,40300000,45000000,54100000,70700000,69700000,71700000,64600000,59364000,18373000,27545000,30806000,20803000,27697000,10031000,10772000,17745000,21630000,19975000,16704000,21680000,159705000,9051000,6694000,7067000,5891000,5293000,7794000,10938000,10977000
45,Total Non-Current Assets,308400000,304000000,324800000,149300000,158400000,166100000,145100000,221200000,242200000,204900000,212924000,224147000,226300000,187246000,168910000,163767000,281437000,315757000,657437000,643492000,677930000,683483000,690309000,698390000,549953000,565909000,654888000,867618000,869099000,971479000,926893000,1111191000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,650600000,547900000,541700000,335300000,347500000,378000000,307800000,378200000,409300000,378400000,331133000,375577000,407688000,393381000,402440000,428720000,488694000,576107000,928073000,923687000,974291000,1011837000,1033753000,1092311000,845906000,864160000,978371000,1260410000,1265122000,1466673000,1373523000,1577345000
48,Accounts Payable,55400000,49800000,40200000,41800000,33900000,42300000,40100000,38200000,39900000,26300000,31206000,35180000,39051000,34940000,32455000,29299000,39496000,54634000,49329000,47218000,59088000,54037000,54049000,38537000,40328000,37863000,42074000,54789000,63033000,71370000,50525000,56669000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1300000,25500000,30100000,20600000,4136000,122000,121000,10143000,151000,- -,- -,2844000,50000000,52840000,50000000,50000000,50000000,50000000,20000000,20000000,20000000,20000000,20000000,21261000,22368000,20000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25239000,18920000,20215000,27636000,48166000,46620000,35051000,34930000,40124000,43399000,51034000,49035000,81177000,100551000,108814000
52,Other Current Liabilities,68600000,66100000,76200000,67400000,68600000,98200000,35100000,31000000,36800000,31300000,27149000,28767000,29615000,40554000,35716000,33458000,36399000,36483000,50434000,43712000,50256000,53634000,53536000,106768000,51842000,45224000,52603000,69146000,68462000,77827000,82585000,92281000
53,Total Current Liabilities,124000000,115900000,116400000,109200000,102500000,140500000,76500000,94700000,106800000,78200000,62491000,64069000,68787000,85637000,68322000,62757000,75895000,119200000,168683000,163985000,186980000,205837000,204205000,230356000,147100000,143211000,158076000,194969000,200530000,251635000,256029000,277764000
54,Long-Term Debt,18100000,13600000,8100000,8100000,25100000,23500000,11400000,50000000,50100000,41900000,610000,8338000,8277000,490000,368000,- -,- -,- -,183650000,130467000,104000000,75000000,65000000,122000000,20000000,30000000,90000000,255000000,200000000,265000000,40000000,162032000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18522000,83515000,78471000,79388000,85313000,88675000,99795000,77440000,74469000,69562000,86378000,64794000,64855000,60938000,73560000
57,Other Non-Current Liabilities,25800000,28500000,26300000,43900000,32500000,31700000,28800000,28500000,28300000,9600000,8610000,15890000,24313000,31865000,26134000,34939000,36365000,22902000,23988000,33424000,47941000,44977000,44560000,38463000,21195000,32346000,45624000,52179000,40388000,59008000,54961000,44293000
58,Total Non-Current Liabilities,43900000,42100000,34400000,52000000,57600000,55200000,40200000,78500000,78400000,51500000,9220000,24228000,32590000,32355000,26502000,34939000,36365000,41424000,291153000,242362000,231329000,205290000,198235000,260258000,118635000,136815000,205186000,393557000,305182000,388863000,155899000,279885000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16785000,28032000
61,Total Liabilities,167900000,158000000,150800000,161200000,160100000,195700000,116700000,173200000,185200000,129700000,71711000,88297000,101377000,117992000,94824000,97696000,112260000,160624000,459836000,406347000,418309000,411127000,402440000,490614000,265735000,280026000,363262000,588526000,505712000,640498000,411928000,557649000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,132000,134000,136000,139000,142000,287000,290000,292000,295000,298000,298000,300000,300000,301000,302000,304000,304000,305000,305000,306000,306000,307000
64,Retained Earnings,- -,-67400000,-66000000,- -,8300000,-22000000,4200000,16000000,27300000,52700000,69542000,99649000,121430000,80292000,115963000,159363000,193046000,226759000,273470000,322878000,359274000,403241000,441566000,407512000,399451000,433632000,471272000,516718000,606837000,684741000,778398000,830989000
65,Other Comprehensive Income/Loss,-82500000,-95500000,-106000000,-112900000,-12100000,-24700000,-26300000,-38500000,-52300000,-38400000,-36844000,-42902000,-52583000,-4982000,-3698000,-5566000,-2070000,6303000,556000,-11598000,-14793000,-19191000,-25378000,-16656000,-19186000,-32538000,-39283000,-27308000,-31528000,-43974000,-3657000,-2161000
66,Other Total Stockholders Equity,565200000,552800000,562900000,287000000,191200000,229000000,213200000,227500000,249100000,234300000,226592000,230399000,237328000,199940000,195209000,176940000,185168000,182129000,193916000,205762000,211203000,216360000,214825000,210557000,199604000,182784000,182816000,182203000,183796000,185149000,186548000,- -
67,Total Stockholders Equity,482700000,389900000,390900000,174100000,187400000,182300000,191100000,205000000,224100000,248700000,259422000,287280000,306311000,275389000,307616000,331024000,376434000,415483000,468237000,517340000,555982000,600710000,631313000,601714000,580171000,584182000,615109000,671918000,759410000,826222000,961595000,1019696000
68,Total Liabilities And Stockholders Equity,650600000,547900000,541700000,335300000,347500000,378000000,307800000,378200000,409300000,378400000,331133000,375577000,407688000,393381000,402440000,428720000,488694000,576107000,928073000,923687000,974291000,1011837000,1033753000,1092328000,845906000,864208000,978371000,1260444000,1265122000,1466720000,1373523000,1577345000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000,- -,-48000,- -,-34000,- -,-47000,- -,- -
70,Total Liabilities & Equity,650600000,547900000,541700000,335300000,347500000,378000000,307800000,378200000,409300000,378400000,331133000,375577000,407688000,393381000,402440000,428720000,488694000,576107000,928073000,923687000,974291000,1011837000,1033753000,1092311000,845906000,864160000,978371000,1260410000,1265122000,1466673000,1373523000,1577345000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866706/0000950137-97-004130-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866706/000095013401509784/0000950134-01-509784-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866706/000095013707018004/0000950137-07-018004-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000095013708014173/0000950137-08-014173-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000095012309066655/0000950123-09-066655-index.htm,- -,https://www.sec.gov/Archives/edgar/data/866706/000119312511323960/0001193125-11-323960-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000114420412065486/0001144204-12-065486-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000114420413064584/0001144204-13-064584-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000114420414071151/0001144204-14-071151-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000114420415068633/0001144204-15-068633-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000114420416136902/0001144204-16-136902-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000114420417061284/0001144204-17-061284-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000114420418062244/0001144204-18-062244-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000110465919068679/0001104659-19-068679-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000110465920130486/0001104659-20-130486-index.htm,https://www.sec.gov/Archives/edgar/data/866706/000141057821000447/0001410578-21-000447-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2200000,-67400000,1400000,5200000,8300000,-30300000,26100000,11800000,11300000,25500000,16819000,30107000,21781000,-41138000,35671000,43544000,31280000,33713000,46711000,49408000,44846000,52501000,46879000,-25603000,410000,42512000,45882000,53703000,92136000,81039000,101980000,63496000
74,Depreciation and Amortization,21700000,21200000,19600000,19900000,13700000,14000000,13500000,14400000,17500000,17000000,14185000,15100000,12377000,13451000,11888000,12184000,17303000,22176000,27634000,30267000,22137000,23521000,24782000,14805000,16362000,18584000,23568000,32229000,37755000,40050000,41338000,42049000
75,Deferred Income Tax,2000000,16500000,- -,- -,- -,- -,-12600000,4800000,6100000,11600000,6270000,-5669000,7238000,10137000,3584000,15221000,3596000,12873000,12349000,-2543000,4059000,3551000,4381000,10084000,-2664000,1417000,-2993000,1360000,-21584000,61000,-2562000,-3041000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4866000,4558000,4670000,4602000,4577000,4815000,4779000,4704000,5444000,5218000,5353000,5550000,6914000
77,Change in Working Capital,-24700000,-90200000,-27500000,-23700000,9800000,-15200000,14800000,-23900000,-2000000,35000000,-39582000,31643000,25240000,7897000,44710000,36988000,-70834000,9788000,-39197000,14257000,-6829000,13136000,16722000,24326000,-14712000,6187000,10367000,32416000,-2330000,48066000,-52958000,-2211000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26090000,-27960000,-1786000,- -,-6377000,-13469000,3848000,-9088000,-23587000,-2789000,-7230000,14633000,11266000
79,Inventory,-4800000,36400000,-12800000,- -,- -,- -,20700000,- -,-17700000,-9200000,1553000,-1650000,-4412000,-3883000,4145000,-4358000,1822000,-16627000,1051000,-17001000,5926000,-12459000,- -,-5219000,-4064000,-5494000,1101000,3959000,-9830000,10150000,-11233000,612000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1764000,10597000,-6118000,- -,3120000,1791000,-2496000,-1953000,8735000,9442000,7400000,-13275000,-688000
81,Other Working Capital,218200000,128000000,100500000,76800000,86600000,71400000,86200000,62300000,60300000,95300000,55718000,87361000,112601000,120498000,165208000,202196000,131362000,141150000,101953000,116210000,109381000,122517000,139239000,163565000,148853000,155040000,165407000,197823000,195493000,243559000,190601000,188390000
82,Other Non-Cash Items,3400000,182900000,20400000,9000000,-43200000,23400000,-40800000,18200000,-12600000,-63200000,22309000,-38195000,-31620000,47669000,-43125000,-39381000,77281000,-33287000,29643000,-18639000,-1748000,-21513000,-44202000,18962000,39231000,-7726000,-7669000,-57812000,-17936000,-69432000,-11068000,15932000
83,Cash Provided by Operating Activities,200000,63000000,13900000,10400000,-11400000,-8100000,1000000,25300000,20300000,25900000,20001000,32986000,35016000,38016000,52728000,68556000,58626000,45263000,77140000,77616000,67023000,75866000,53164000,47151000,43442000,65753000,73859000,67340000,93259000,105137000,82280000,123139000
84,CAPEX,-17600000,-10000000,-11200000,-9900000,-10100000,-11100000,-8600000,-10500000,-24200000,-8300000,-10363000,-11881000,-13179000,-10599000,-10823000,-8848000,-37094000,-49597000,-27695000,-14259000,-22265000,-27860000,-27834000,-22270000,-21343000,-19345000,-22508000,-38730000,-30162000,-45569000,-41131000,-35488000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29996000,-13559000,-9546000,-5364000,-294000,- -,-91968000,-8250000,-345395000,-6442000,-32316000,-4982000,-3345000,-19452000,- -,-20500000,-82062000,-198628000,-11445000,-96777000,- -,-168903000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4966000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-8200000,-6800000,-37300000,-1900000,-7700000,-1600000,110000000,-93200000,- -,85000000,- -,- -,- -,6000000,25395000,-8342000,- -,- -,-6841000,-12070000,-11397000,-26499000,-13387000,-22270000,-21343000,-19345000,-22508000,-35239000,-30162000,-28368000,140953000,-33538000
89,Cash Used for Investing Activites,-25800000,-16800000,-48500000,-11800000,-17800000,-12700000,101400000,-103700000,-24200000,76700000,-40359000,-25440000,-22725000,-9963000,14278000,-17190000,-129062000,-57847000,-374965000,-18512000,-52540000,-31481000,-29812000,-41722000,-21343000,-39845000,-104570000,-233867000,-41607000,-125145000,140953000,-202441000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85183000,-66467000,-78370000,-202455000,-65000000,-216000000,-96000000,-80000000,-92000000,-110000000,-65000000,-235000000,-124368000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2232000,393000,1635000,5525000,4523000,6284000,2761000,1843000,6384000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1900000,-1800000,-800000,- -,-35500000,- -,-700000,-1600000,-6215000,-1681000,-3438000,-1438000,-9981000,-24928000,- -,-10007000,- -,- -,- -,- -,-5403000,-9703000,-11970000,-18248000,-4303000,- -,- -,- -,- -,- -
93,Dividends Paid,-20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6335000,-8534000,-8554000,-8451000,-8472000,-8369000,-8248000,-8257000,-8278000,-8302000,-8323000,-8336000
