,https://roic.ai/company/SGMS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.15,0.15,0.19,0.21,0.19,-0.20,-4.52,0.33,0.33,-0.79,-1.72,-1.09,-0.51,-0.44,0.01,-0.84,-0.19,0.65,0.59,0.72,0.81,0.70,0.68,0.09,-0.43,-1.61,-0.14,-0.70,-0.36,-2.77,-16.23,-4.05,-2.72,-3.87,-1.40,-6.02,3.77
27,Weighted Average Shares Outstanding,7333333,7333333,6842105,7619048,9473684,14500000,17035398,14411765,27272727,27974684,28965000,31305000,34469000,35696000,36118000,36928000,40340000,50221000,60010000,73014000,89327000,91066000,92566000,92875000,92701000,92666000,92068000,90011000,85000000,84600000,85900000,87300000,89100000,91100000,93000000,95000000,96000000
28,Weighted Average Shares Outstanding Diluted,7333333,7333333,6842105,7619048,9473684,14500000,17035398,14848485,27272727,27974684,28965000,31305000,34469000,35696000,38343000,36928000,40340000,80151000,88143000,90710000,92484000,94979000,95996000,94414000,92701000,92666000,92068000,90011000,85000000,84600000,85900000,87300000,89100000,91100000,93000000,95000000,98000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/750004/000095010996000435/0000950109-96-000435-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/750004/000104746903009902/a2105767z10-k.htm,https://www.sec.gov/Archives/edgar/data/750004/000104746904007959/a2130850z10-k.htm,https://www.sec.gov/Archives/edgar/data/750004/000104746905006815/a2153691z10-k.htm,https://www.sec.gov/Archives/edgar/data/750004/000110465906017502/a06-4298_310k.htm,https://www.sec.gov/Archives/edgar/data/750004/000110465907015550/a07-5319_110k.htm,https://www.sec.gov/Archives/edgar/data/750004/000104746908002073/a2182897z10-k.htm,https://www.sec.gov/Archives/edgar/data/750004/000104746909002131/0001047469-09-002131-index.html,https://www.sec.gov/Archives/edgar/data/750004/000104746910001661/0001047469-10-001661-index.html,https://www.sec.gov/Archives/edgar/data/750004/000104746911001634/a2202339z10-k.htm,https://www.sec.gov/Archives/edgar/data/750004/000104746912001929/0001047469-12-001929-index.html,https://www.sec.gov/Archives/edgar/data/750004/000144530513000576/0001445305-13-000576-index.html,https://www.sec.gov/Archives/edgar/data/750004/000144530514001061/sgms1231201310k.htm,https://www.sec.gov/Archives/edgar/data/750004/000075000415000005/sgms1231201410k.htm,https://www.sec.gov/Archives/edgar/data/750004/000075000416000023/0000750004-16-000023-index.html,https://www.sec.gov/Archives/edgar/data/750004/000075000417000018/0000750004-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/750004/000075000418000011/0000750004-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/750004/000075000419000007/0000750004-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/750004/000075000420000007/0000750004-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/750004/000075000421000008/0000750004-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/750004/000075000422000007/0000750004-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1600000,3700000,4000000,4700000,5800000,1800000,2900000,1100000,10400000,6700000,5000000,6000000,18200000,6800000,5100000,- -,12649000,34929000,79373000,66120000,38942000,27791000,29403000,140639000,260131000,124281000,104402000,109015000,153700000,171800000,128700000,115100000,788800000,168200000,313000000,1016000000,585000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,- -,- -,- -,- -,52525000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1600000,3700000,4000000,4700000,5800000,1800000,2900000,1100000,10400000,6700000,5000000,6000000,18200000,6800000,5900000,- -,12649000,34929000,79373000,118645000,38942000,27791000,29403000,140639000,260131000,124281000,104402000,109015000,153700000,171800000,128700000,115100000,788800000,168200000,313000000,1016000000,585000000
34,Net Receivables,600000,1100000,1300000,2000000,2200000,5100000,2700000,4300000,17200000,35100000,25900000,18300000,13600000,21800000,25800000,- -,50410000,53260000,99639000,105789000,129250000,178445000,203074000,212487000,177967000,178179000,182467000,220443000,504700000,657100000,654800000,620400000,684400000,713100000,755000000,616000000,423000000
35,Inventory,300000,600000,700000,1400000,1700000,8100000,4700000,14300000,13600000,10300000,12500000,5800000,6700000,11300000,14600000,- -,19547000,20535000,26896000,28062000,40148000,59464000,92565000,75371000,73940000,68744000,81711000,71255000,137800000,265600000,248500000,242300000,243100000,215600000,244000000,191000000,98000000
36,Other Current Assets,300000,500000,200000,300000,400000,300000,100000,400000,2700000,4700000,4400000,10600000,2700000,2500000,2200000,- -,15537000,22654000,31457000,41799000,46213000,79002000,72835000,83281000,160690000,42461000,40502000,84180000,165300000,283500000,143500000,138800000,160100000,271400000,303000000,358000000,626000000
37,Total Current Assets,2800000,5900000,6200000,8400000,10100000,15300000,10400000,20100000,43900000,56800000,47800000,40700000,41200000,42400000,48500000,- -,98143000,131378000,237365000,294295000,254553000,344702000,397877000,511778000,672728000,413665000,409082000,484893000,961500000,1378000000,1175500000,1116600000,1876400000,1368300000,1615000000,2181000000,1732000000
38,PP&E,6100000,9500000,16000000,20600000,22900000,52500000,26700000,25900000,70800000,121400000,118300000,95900000,76400000,78400000,76700000,- -,196788000,200866000,228730000,271426000,366219000,450660000,561624000,575479000,468439000,450581000,426488000,376877000,772600000,1012800000,794000000,612200000,568200000,547000000,605000000,509000000,264000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195255000,- -,- -,- -,- -,633730000,716856000,657211000,772732000,763915000,766349000,801098000,1186900000,4108300000,3013700000,2888400000,2956100000,3279900000,3280000000,3292000000,2892000000
40,Intangible Assets,- -,500000,400000,400000,1000000,82100000,2100000,1900000,28500000,23100000,27000000,21000000,21800000,18400000,5200000,- -,60154000,257748000,399803000,406133000,412438000,157251000,201332000,120946000,79822000,70613000,86859000,84291000,754600000,2844300000,2405900000,2177400000,1944000000,2094400000,1774000000,1526000000,1063000000
41,Intangible Assets,- -,500000,400000,400000,1000000,82100000,2100000,1900000,28500000,23100000,27000000,21000000,21800000,18400000,5200000,- -,255409000,257748000,399803000,406133000,412438000,790981000,918188000,778157000,852554000,834528000,853208000,885389000,1941500000,6952600000,5419600000,5065800000,4900100000,5374300000,5054000000,4818000000,3955000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317818000,298071000,452764000,340494000,316234000,367200000,288200000,228500000,179900000,253900000,298400000,273000000,262000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85152000,- -,- -,- -,- -,6281000,22600000,- -,20700000,- -,- -,- -,- -,- -,349000000
44,Other Non-Current Assets,1800000,1700000,1400000,1300000,3100000,4200000,3300000,12100000,40100000,44600000,47900000,39200000,14100000,17300000,35200000,- -,51612000,83986000,97091000,120169000,139303000,173267000,137198000,- -,- -,- -,132629000,117234000,176500000,363600000,93900000,112900000,126700000,129800000,262000000,214000000,1583000000
45,Total Non-Current Assets,7900000,11700000,17800000,22300000,27000000,138800000,32100000,39900000,139400000,189100000,193200000,156100000,112300000,114100000,117100000,- -,503809000,542600000,725624000,797728000,917960000,1414908000,1702162000,1671454000,1619064000,1737873000,1752819000,1702015000,3280400000,8617200000,6556700000,5970800000,5848900000,6349500000,6194000000,5803000000,6151000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10700000,17600000,24000000,30700000,37100000,154100000,42500000,60000000,183300000,245900000,241000000,196800000,153500000,156500000,165600000,- -,601952000,673978000,962989000,1092023000,1172513000,1759610000,2100039000,2183232000,2291792000,2151538000,2161901000,2186908000,4241900000,9995200000,7732200000,7087400000,7725300000,7717800000,7809000000,7984000000,7883000000
48,Accounts Payable,- -,- -,- -,- -,1500000,3900000,2700000,7400000,12300000,19200000,16400000,14200000,8700000,13600000,20100000,- -,26632000,23888000,34603000,40923000,54223000,60566000,64108000,64635000,57309000,50642000,66221000,80872000,140900000,155800000,159800000,188900000,190400000,225100000,226000000,203000000,204000000
49,Short-Term Debt,900000,1900000,2500000,1600000,1600000,49000000,2400000,4300000,1200000,1000000,10800000,9200000,2600000,3000000,4300000,- -,9437000,3865000,6327000,4370000,6055000,3148000,4942000,43384000,24808000,8431000,26191000,16458000,30400000,50600000,50300000,49300000,40300000,45000000,45000000,44000000,44000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8873000,17471000,- -,- -,- -,- -,18916000,28057000,39100000,55900000,63800000,58800000,97700000,115900000,129000000,151000000,- -
52,Other Current Liabilities,100000,600000,1000000,2400000,1900000,7300000,9800000,9000000,12900000,20800000,25700000,20500000,24400000,28700000,31900000,- -,59499000,57110000,117493000,97878000,72211000,112838000,148464000,152665000,143086000,136925000,125755000,130960000,246700000,398000000,380000000,395400000,411400000,361300000,366000000,435000000,726000000
53,Total Current Liabilities,1000000,2500000,3500000,4000000,5000000,60200000,14900000,20700000,26400000,41000000,52900000,43900000,35700000,45300000,56300000,- -,95568000,84863000,158423000,143171000,141362000,194023000,217514000,260684000,225203000,195998000,237083000,256347000,457100000,660300000,653900000,692400000,739800000,747300000,766000000,833000000,974000000
54,Long-Term Debt,2000000,6900000,10200000,14300000,11000000,24500000,50200000,51700000,75500000,143200000,166500000,159800000,147200000,155900000,152900000,- -,430298000,356664000,525836000,606508000,574680000,913253000,1072625000,1216264000,1342255000,1388259000,1364476000,1451708000,3162200000,8465400000,8156700000,8024900000,8736300000,8991900000,8680000000,9259000000,8686000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,800000,1000000,1700000,1700000,1900000,16800000,4600000,5100000,4400000,3700000,5800000,7700000,2600000,1800000,1700000,- -,28568000,25207000,4595000,- -,9759000,43143000,51661000,33809000,37418000,60858000,56264000,62265000,138000000,628800000,228200000,70200000,73100000,107600000,91000000,79000000,35000000
57,Other Non-Current Liabilities,- -,- -,100000,400000,600000,1500000,1400000,4000000,1800000,2300000,3900000,5600000,1200000,2100000,2900000,- -,23440000,22318000,36983000,41780000,59879000,81113000,97024000,96048000,67158000,53765000,60364000,51797000,109600000,236800000,188900000,235600000,203100000,334200000,380000000,337000000,294000000
58,Total Non-Current Liabilities,2800000,7900000,12000000,16400000,13500000,42800000,56200000,60800000,81700000,149200000,176200000,173100000,151000000,159800000,157500000,- -,482306000,404189000,567414000,648288000,644318000,1037509000,1221310000,1346121000,1446831000,1502882000,1481104000,1565770000,3409800000,9331000000,8573800000,8330700000,9012500000,9433700000,9151000000,9675000000,9015000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000000,103000000,40000000
61,Total Liabilities,3800000,10400000,15500000,20400000,18500000,103000000,71100000,81500000,108100000,190200000,229100000,217000000,186700000,205100000,213800000,- -,577874000,489052000,725837000,791459000,785680000,1231532000,1438824000,1606805000,1672034000,1698880000,1718187000,1822117000,3866900000,9991300000,9227700000,9023100000,9752300000,10181000000,9917000000,10508000000,9989000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1249000,1326000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,- -,412000,594000,615000,884000,899000,916000,934000,926000,939000,975000,982000,993000,1000000,1000000,1000000,1000000,1100000,1100000,1000000,1000000,- -
64,Retained Earnings,2300000,2500000,3900000,5700000,7500000,4600000,-72400000,-67300000,-58300000,-79600000,-129500000,-163700000,-181400000,-197200000,-196900000,- -,-242545000,-197979000,-169649000,-108628000,-33309000,33452000,97323000,105811000,18180000,-131021000,-143591000,-206218000,-236400000,-470700000,-1865000000,-2218700000,-2461000000,-2824300000,-2954000000,-3529000000,- -
65,Other Comprehensive Income/Loss,-2300000,-3900000,-8300000,-9100000,-12500000,-21400000,-10600000,-16600000,-26100000,-41100000,-67700000,-90400000,-103800000,-118300000,-123000000,- -,-168049000,-203819000,-244880000,-272961000,3000000,36000000,60000000,-49000000,-3000000,-18000000,-33000000,-3000000,18000000,-94000000,-222000000,-334000000,-200000000,-300000000,-292000000,-218000000,-261000000
66,Other Total Stockholders Equity,6900000,8600000,12900000,13700000,23600000,67900000,54400000,62400000,159600000,176400000,209100000,233900000,252000000,266900000,271300000,- -,434260000,584881000,649740000,681269000,416243000,457710000,502958000,518690000,603639000,600704000,619323000,573016000,592400000,567600000,590500000,616000000,632900000,660000000,1033000000,1093000000,- -
67,Total Stockholders Equity,6900000,7200000,8500000,10300000,18600000,51100000,-28600000,-21500000,75200000,55700000,11900000,-20200000,-33200000,-48600000,-48200000,- -,24078000,184926000,237152000,300564000,386833000,528078000,661215000,576427000,619758000,452658000,443714000,364791000,375000000,3900000,-1495500000,-1935700000,-2027000000,-2463200000,-2212000000,-2653000000,-2106000000
68,Total Liabilities And Stockholders Equity,10700000,17600000,24000000,30700000,37100000,154100000,42500000,60000000,183300000,245900000,241000000,196800000,153500000,156500000,165600000,- -,601952000,673978000,962989000,1092023000,1172513000,1759610000,2100039000,2183232000,2291792000,2151538000,2161901000,2186908000,4241900000,9995200000,7732200000,7087400000,7725300000,7717800000,7705000000,7855000000,7883000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104000000,129000000,- -
70,Total Liabilities & Equity,10700000,17600000,24000000,30700000,37100000,154100000,42500000,60000000,183300000,245900000,241000000,196800000,153500000,156500000,165600000,- -,601952000,673978000,962989000,1092023000,1172513000,1759610000,2100039000,2183232000,2291792000,2151538000,2161901000,2186908000,4241900000,9995200000,7732200000,7087400000,7725300000,7717800000,7809000000,7984000000,7883000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/750004/000095010996000435/0000950109-96-000435-index.html,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/750004/000104746903009902/a2105767z10-k.htm,https://www.sec.gov/Archives/edgar/data/750004/000104746904007959/a2130850z10-k.htm,https://www.sec.gov/Archives/edgar/data/750004/000104746905006815/a2153691z10-k.htm,https://www.sec.gov/Archives/edgar/data/750004/000110465906017502/a06-4298_310k.htm,https://www.sec.gov/Archives/edgar/data/750004/000110465907015550/a07-5319_110k.htm,https://www.sec.gov/Archives/edgar/data/750004/000104746908002073/a2182897z10-k.htm,https://www.sec.gov/Archives/edgar/data/750004/000104746909002131/0001047469-09-002131-index.html,https://www.sec.gov/Archives/edgar/data/750004/000104746910001661/0001047469-10-001661-index.html,https://www.sec.gov/Archives/edgar/data/750004/000104746911001634/a2202339z10-k.htm,https://www.sec.gov/Archives/edgar/data/750004/000104746912001929/0001047469-12-001929-index.html,https://www.sec.gov/Archives/edgar/data/750004/000144530513000576/0001445305-13-000576-index.html,https://www.sec.gov/Archives/edgar/data/750004/000144530514001061/sgms1231201310k.htm,https://www.sec.gov/Archives/edgar/data/750004/000075000415000005/sgms1231201410k.htm,https://www.sec.gov/Archives/edgar/data/750004/000075000416000023/0000750004-16-000023-index.html,https://www.sec.gov/Archives/edgar/data/750004/000075000417000018/0000750004-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/750004/000075000418000011/0000750004-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/750004/000075000419000007/0000750004-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/750004/000075000420000007/0000750004-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/750004/000075000421000008/0000750004-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/750004/000075000422000007/0000750004-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1800000,-2700000,-76800000,5100000,9000000,-22100000,-49900000,-34200000,-17700000,-15900000,400000,-5853000,-584000,52050000,52147000,65742000,75319000,66761000,65367000,8488000,-39879000,-149201000,-12570000,-62627000,-30200000,-234300000,-1394300000,-353700000,-242300000,-352400000,-130000000,-569000000,371000000
74,Depreciation and Amortization,- -,- -,- -,- -,4100000,13300000,10300000,7000000,11000000,25400000,35500000,40900000,36700000,29500000,22200000,27826000,55209000,42835000,47685000,61277000,66794000,106006000,160366000,218643000,151784000,141766000,118603000,- -,- -,- -,- -,- -,- -,689700000,647000000,554000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-11500000,500000,-800000,-2300000,900000,1900000,-800000,-600000,100000,120000,-1812000,-37302000,19954000,-6947000,16448000,-8966000,-7224000,-16764000,15196000,124143000,-81000,7877000,-107800000,-264300000,-330600000,-164600000,-5700000,-33300000,-21000000,-22000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34122000,34589000,22807000,21538000,24159000,22300000,24100000,25400000,35300000,27200000,43900000,37000000,61000000,- -
77,Change in Working Capital,- -,- -,- -,- -,700000,700000,-50000000,40400000,3900000,18100000,-1700000,-20900000,1900000,8700000,-8400000,-4900000,10375000,43940000,32427000,72182000,-37933000,37488000,29684000,70731000,196431000,-229858000,-45668000,56547000,275854000,213300000,-196100000,-97400000,712400000,-515600000,228000000,499000000,-199000000
