,https://roic.ai/company/TREX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,19200000,33900000,59500000,113635000,137223000,133570000,138062000,158389000,191210000,198525000,193944000,176336000,137027000,126857000,115212000,104425000,100783000,98716000,100924000,103286000,103110000,117144000,211349000,336537000,494936000
39,Goodwill,- -,10100000,- -,- -,- -,- -,- -,- -,- -,- -,6837000,6837000,6837000,6837000,6837000,10558000,- -,- -,- -,- -,- -,68461000,68461000,- -,- -,- -
40,Intangible Assets,- -,- -,9300000,8300000,7544000,6837000,6837000,6837000,6837000,6837000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2858000,6042000,- -,- -,- -
41,Intangible Assets,- -,10100000,9300000,8300000,7544000,6837000,6837000,6837000,6837000,6837000,6837000,6837000,6837000,6837000,6837000,10558000,10550000,10542000,10534000,10526000,10523000,71319000,74503000,74084000,73665000,19001000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,300000,200000,100000,650000,513000,1323000,1558000,2986000,3443000,3848000,7722000,7557000,6024000,1885000,266000,1003000,652000,1333000,1518000,1972000,3000000,3250000,3602000,- -,5330000
45,Total Non-Current Assets,- -,29600000,43400000,67900000,121829000,144573000,141730000,146457000,168212000,201490000,209210000,208503000,190730000,149888000,135579000,126036000,115978000,111977000,110583000,112968000,115781000,177429000,194897000,289035000,410202000,519267000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,37200000,51300000,79300000,156595000,184637000,183556000,210455000,287051000,286269000,352317000,328726000,320521000,256459000,247815000,228090000,168615000,188157000,195824000,211998000,221430000,326227000,465122000,592239000,732199000,920321000
48,Accounts Payable,- -,1500000,2600000,6400000,17082000,9495000,10056000,10211000,16392000,14405000,40248000,19776000,15427000,16514000,15107000,11892000,11161000,14891000,20050000,17733000,10767000,9953000,31084000,15227000,38622000,24861000
49,Short-Term Debt,- -,- -,6100000,6100000,697000,25759000,795000,886000,8932000,13101000,53247000,1198000,1293000,545000,590000,86425000,5000000,- -,- -,7000000,- -,- -,- -,7079000,6708000,7066000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3072000,2570000,3721000,22956000,1436000
52,Other Current Liabilities,- -,1900000,2400000,3000000,3291000,1594000,6841000,3286000,15104000,17514000,20053000,42667000,34549000,28867000,30482000,22311000,26318000,32295000,29404000,35716000,40618000,49484000,59121000,52643000,38067000,55339000
53,Total Current Liabilities,- -,3400000,11100000,15500000,21070000,36848000,17692000,14383000,40428000,45020000,113548000,63641000,51269000,45926000,46179000,120628000,42479000,47186000,49454000,60449000,51385000,62509000,92775000,78670000,106353000,88702000
54,Long-Term Debt,- -,26300000,27000000,10800000,60702000,60335000,57174000,55692000,69565000,60505000,51390000,131730000,130441000,76634000,84193000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28263000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,3500000,5782000,7800000,9915000,13174000,15808000,15158000,17217000,15763000,15068000,1925000,3614000,2819000,7353000,360000,3708000,4597000,894000,1286000,2125000,9831000,- -,43967000
57,Other Non-Current Liabilities,- -,- -,-100000,100000,- -,-2331000,- -,- -,1736000,1053000,747000,23565000,14255000,6395000,10907000,12144000,24797000,33995000,29277000,30489000,34990000,31182000,27259000,54563000,- -,34355000
58,Total Non-Current Liabilities,- -,26300000,26900000,14400000,66484000,65804000,67089000,68866000,87109000,76716000,69354000,171058000,159764000,84954000,98714000,14963000,32150000,34355000,32985000,35086000,35884000,32468000,29384000,64394000,- -,106585000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75608000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41321000,35287000,35329000
61,Total Liabilities,- -,29700000,38000000,29900000,87554000,102652000,84781000,83249000,127537000,121736000,182902000,234699000,211033000,130880000,144893000,135591000,74629000,81541000,82439000,95535000,87269000,94977000,122159000,143064000,181961000,195287000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,141000,142000,143000,147000,148000,149000,149000,151000,153000,154000,155000,156000,170000,173000,348000,348000,349000,349000,700000,702000,1406000,1407000
64,Retained Earnings,- -,2200000,7900000,8300000,27570000,36620000,53397000,74386000,101541000,104040000,106558000,27910000,41462000,29493000,4046000,-7542000,-4822000,29776000,71297000,119395000,187242000,282370000,416942000,561680000,737311000,946048000
65,Other Comprehensive Income/Loss,- -,-2400000,-4600000,-8200000,-14108000,-21944000,-4119000,-3216000,-2357000,-1557000,-278000,-557000,-1092000,-265000,-184000,- -,-196825000,-176947000,-187148000,-196132000,-206970000,-212870000,-217008000,-222512000,- -,- -
66,Other Total Stockholders Equity,- -,7700000,10000000,49200000,55438000,67167000,49354000,55889000,60182000,61901000,62986000,66523000,68965000,96197000,98905000,99885000,295463000,253614000,228888000,192852000,153540000,161401000,142329000,109305000,-150186000,-222421000
67,Total Stockholders Equity,- -,7500000,13300000,49400000,69041000,81985000,98775000,127206000,159514000,164533000,169415000,94027000,109488000,125579000,102922000,92499000,93986000,106616000,113385000,116463000,134161000,231250000,342963000,449175000,588531000,725034000
68,Total Liabilities And Stockholders Equity,- -,37200000,51300000,79300000,156595000,184637000,183556000,210455000,287051000,286269000,352317000,328726000,320521000,256459000,247815000,228090000,168615000,188157000,195824000,211998000,221430000,326227000,465122000,592239000,770492000,920321000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38293000,- -
70,Total Liabilities & Equity,- -,37200000,51300000,79300000,156595000,184637000,183556000,210455000,287051000,286269000,352317000,328726000,320521000,256459000,247815000,228090000,168615000,188157000,195824000,211998000,221430000,326227000,465122000,592239000,732199000,920321000
