,https://roic.ai/company/OXM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
17,Operating Income,22300000,23700000,-14800000,20100000,16300000,11900000,22200000,26800000,34600000,21800000,9700000,36300000,43800000,47900000,41636000,29621000,17519000,35349000,87013000,104727000,98116000,100487000,40994000,-262022000,41154000,40662000,68807000,68971000,84670000,83603000,97514000,89884000,86000000,90592000,93675000,-123849000,165503000
18,Operating Income ratio,0.0418,0.0428,-0.0251,0.0355,0.0296,0.0235,0.0421,0.0468,0.0554,0.0332,0.0146,0.0516,0.0566,0.0555,0.0496,0.0365,0.0259,0.0462,0.0779,0.0797,0.0885,0.0890,0.0589,-0.2765,0.0514,0.0673,0.0907,0.0806,0.0923,0.0838,0.1006,0.0879,0.0792,0.0818,0.0834,-0.1654,0.1449
19,Total Other Income Expenses (Gains),-3500000,-3300000,-4300000,-3900000,-3500000,-3000000,-1700000,-2200000,-2300000,-4200000,-6000000,-4100000,-3400000,-4600000,-3836000,-4821000,-243000,-1949000,-23913000,-29127000,-24016000,-21887000,-15294000,-15935000,-21354000,-19862000,-25307000,-18071000,-4170000,-3483000,-2458000,-3421000,-3109000,-2283000,-1245000,-2028000,-944000
20,Income Before Tax,18800000,20400000,-19100000,16200000,12800000,8900000,20500000,24600000,32300000,17600000,3700000,32200000,40400000,43300000,37800000,24800000,17276000,33400000,63100000,75600000,74100000,78600000,25700000,-277957000,19800000,20800000,43500000,50900000,80500000,80120000,95056000,86463000,82891000,88309000,92430000,-125877000,164559000
21,Income Before Tax Ratio,0.0352,0.0369,-0.0323,0.0286,0.0233,0.0176,0.0388,0.0429,0.0517,0.0268,0.0056,0.0458,0.0522,0.0502,0.0450,0.0305,0.0255,0.0437,0.0565,0.0576,0.0668,0.0696,0.0369,-0.2934,0.0247,0.0344,0.0573,0.0595,0.0878,0.0803,0.0981,0.0846,0.0763,0.0797,0.0823,-0.1681,0.1441
22,Income Tax expense (Gain),8500000,9800000,-9300000,6300000,4900000,3400000,8000000,9800000,13100000,7100000,1500000,12600000,15700000,16900000,14400000,9400000,6704000,13100000,23400000,25800000,22900000,26300000,6500000,-12145000,5200000,4500000,14281000,19572000,35210000,34362000,36519000,31964000,18190000,22018000,23937000,-30185000,33238000
23,Net Income,10300000,10600000,-9800000,9900000,7900000,5500000,12500000,14800000,19200000,10600000,2200000,19600000,24600000,26400000,23400000,15300000,10572000,20300000,39700000,49800000,70500000,52100000,19200000,-265812000,14600000,78700000,29400000,31300000,45300000,45758000,30562000,52461000,65090000,66291000,68493000,-95692000,131321000
24,Net Income ratio,0.0193,0.0192,-0.0166,0.0175,0.0144,0.0109,0.0237,0.0258,0.0307,0.0161,0.0033,0.0279,0.0318,0.0306,0.0279,0.0188,0.0156,0.0265,0.0356,0.0379,0.0636,0.0462,0.0276,-0.2805,0.0182,0.1303,0.0387,0.0366,0.0494,0.0459,0.0315,0.0513,0.0599,0.0599,0.0610,-0.1278,0.1150
25,EPS,0.47,0.47,-0.47,0.49,0.41,0.31,0.71,0.85,1.11,0.61,0.13,1.13,1.40,1.57,1.52,1.03,0.70,1.35,2.47,2.97,4.03,2.95,1.12,-17.00,0.90,4.77,1.78,1.89,2.75,2.79,1.86,3.18,3.92,3.97,4.09,-5.77,7.92
26,EPS Diluted,0.47,0.47,-0.47,0.49,0.41,0.31,0.71,0.85,1.09,0.60,0.13,1.11,1.38,1.55,1.51,1.02,0.70,1.34,2.38,2.87,3.96,2.92,1.11,-17.00,0.90,4.75,1.78,1.89,2.75,2.78,1.85,3.15,3.89,3.94,4.05,-5.77,7.92
27,Weighted Average Shares Outstanding,22150538,22315789,21075269,20000000,19268293,17741935,17605634,17411765,17219731,17377049,17600000,17422222,17634409,16761905,15302230,14931556,14995745,15034720,16099851,16788000,17492000,17673000,17227000,15637000,16297000,16500000,16510000,16563000,16450000,16429000,16456000,16522000,16600000,16678000,16756000,16576000,16576000
28,Weighted Average Shares Outstanding Diluted,22150538,22315789,21075269,20000000,19268293,17741935,17605634,17411765,17614679,17666667,18000000,17578475,17890909,16977492,15302230,14969516,15102857,15143290,16698744,17350000,17781000,17881000,17358000,15637000,16304000,16551000,16529000,16586000,16482000,16471000,16559000,16649000,16734000,16842000,16914000,16576000,16576000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75288/000007528894000012/0000075288-94-000012-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528895000006/0000075288-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528896000007/0000075288-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528897000011/0000075288-97-000011-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528898000015/0000075288-98-000015-index.html,- -,https://www.sec.gov/Archives/edgar/data/75288/000007528800000010/0000075288-00-000010-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528801500015/0000075288-01-500015-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528802000014/0000075288-02-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/75288/000095014404008083/g90397e10vk.htm,https://www.sec.gov/Archives/edgar/data/75288/000095014405008828/g96912e10vk.htm,https://www.sec.gov/Archives/edgar/data/75288/000095014406007947/g02956e10vk.htm,https://www.sec.gov/Archives/edgar/data/75288/000095014407007028/0000950144-07-007028-index.html,https://www.sec.gov/Archives/edgar/data/75288/000095014408002523/g12568e10vkt.htm,https://www.sec.gov/Archives/edgar/data/75288/000095014409002819/0000950144-09-002819-index.html,https://www.sec.gov/Archives/edgar/data/75288/000104746910002998/0001047469-10-002998-index.html,https://www.sec.gov/Archives/edgar/data/75288/000104746911002966/a2203043z10-k.htm,https://www.sec.gov/Archives/edgar/data/75288/000104746912003586/0001047469-12-003586-index.html,https://www.sec.gov/Archives/edgar/data/75288/000104746913003950/0001047469-13-003950-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528814000013/oxm-2114x10xk.htm,https://www.sec.gov/Archives/edgar/data/75288/000007528815000014/oxm-013115x10xk.htm,https://www.sec.gov/Archives/edgar/data/75288/000007528816000080/0000075288-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528817000016/0000075288-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528818000018/0000075288-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528819000024/0000075288-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/75288/000155837020003379/0001558370-20-003379-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528821000004/0000075288-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/75288/000007528822000004/0000075288-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10200000,2400000,1700000,10100000,2500000,19200000,8400000,3300000,3200000,2200000,1000000,3300000,10100000,11100000,8600000,10200000,17591000,24100000,47600000,6500000,10500000,36900000,14900000,3290000,8300000,44100000,13400000,7500000,8500000,5281000,6323000,6332000,6343000,8327000,52460000,66013000,44859000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164890000
33,Cash and Short-Term Investments,10200000,2400000,1700000,10100000,2500000,19200000,8400000,3300000,3200000,2200000,1000000,3300000,10100000,11100000,8600000,10200000,17591000,24100000,47600000,6500000,10500000,36900000,14900000,3290000,8300000,44100000,13400000,7500000,8500000,5281000,6323000,6332000,6343000,8327000,52460000,66013000,209749000
34,Net Receivables,64300000,72900000,75800000,72000000,74100000,59700000,67200000,68100000,75200000,84000000,84600000,77800000,100800000,114700000,112900000,50700000,103198000,110300000,176400000,197100000,142300000,138000000,105600000,78567000,74400000,50200000,59700000,62800000,75300000,79104000,59065000,58279000,67542000,69037000,58724000,48393000,34550000
35,Inventory,87900000,105900000,99500000,90300000,90800000,66700000,82000000,102600000,114500000,170000000,136800000,149800000,146700000,146900000,153200000,147400000,84541000,104300000,116400000,169300000,123600000,137300000,158900000,129159000,77000000,85300000,103400000,109600000,143700000,148215000,129136000,142175000,126812000,160656000,152229000,123543000,117709000
36,Other Current Assets,1300000,6300000,7400000,5600000,7500000,8600000,9800000,11600000,12400000,13000000,13700000,16000000,13600000,13800000,12900000,11400000,9754000,12700000,16400000,20500000,81200000,22000000,18700000,17273000,24600000,89300000,38800000,42500000,43500000,48722000,22272000,24842000,35421000,31768000,25413000,20367000,38327000
37,Total Current Assets,163700000,187500000,184400000,178000000,174900000,154200000,167400000,185600000,205300000,269200000,236100000,246900000,271200000,286500000,287600000,219700000,215084000,251400000,356800000,393400000,357600000,334200000,298100000,228289000,184300000,268900000,215300000,222400000,271000000,281322000,216796000,231628000,236118000,269788000,288826000,258316000,400335000
38,PP&E,41300000,39900000,36500000,33900000,32800000,32400000,30800000,31000000,33200000,38700000,36700000,34600000,35700000,37300000,37100000,33500000,27188000,22000000,51800000,65100000,73700000,87300000,92500000,89026000,79500000,83900000,93200000,128900000,141500000,155076000,184094000,193931000,193533000,192576000,478698000,393507000,347547000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115400000,188600000,199200000,222400000,257900000,- -,- -,16900000,16500000,17300000,17400000,17295000,17223000,60015000,66703000,66621000,66578000,23910000,23869000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147300000,234900000,234500000,234100000,230900000,135999000,137500000,166700000,165200000,164300000,173000000,167770000,143738000,175245000,178858000,176176000,175005000,156187000,155307000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262700000,423500000,433700000,456500000,488800000,135999000,137500000,183600000,181700000,181600000,190400000,185065000,160961000,235260000,245561000,242797000,241583000,180097000,179176000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,3700000,3900000,- -,3000000,4100000,4000000,2600000,- -,- -,- -,52400000,77200000,76600000,75100000,61000000,- -,28400000,28800000,34900000,34400000,32800000,- -,3657000,13578000,15269000,18411000,16540000,- -,2911000
44,Other Non-Current Assets,2900000,3100000,2100000,1200000,700000,600000,1100000,1600000,-2300000,-2800000,6300000,2600000,500000,7500000,9300000,10000000,8241000,221000000,-28900000,-53300000,-56000000,-44400000,-30100000,20180000,-4500000,-6700000,-15900000,-11200000,-8400000,23604000,17182000,10762000,9460000,3682000,7722000,33714000,27673000
45,Total Non-Current Assets,44200000,43000000,38600000,35100000,33500000,33000000,31900000,32600000,34600000,39800000,43000000,40200000,40300000,48800000,49000000,43500000,35429000,243000000,338000000,512500000,528000000,574500000,612200000,245205000,240900000,289600000,293900000,333700000,356300000,363745000,365894000,453531000,463823000,457466000,744543000,607318000,557307000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,207900000,230500000,223000000,213100000,208400000,187200000,199300000,218200000,239900000,309000000,279100000,287100000,311500000,335300000,336600000,263200000,250513000,494400000,694800000,905900000,885600000,908700000,910300000,473494000,425200000,558500000,509200000,556100000,627300000,645067000,582690000,685159000,699941000,727254000,1033369000,865634000,957642000
48,Accounts Payable,- -,- -,- -,- -,35300000,30000000,38400000,34600000,45000000,54300000,49700000,59500000,57100000,61400000,68400000,54800000,43320000,59000000,100800000,106000000,- -,- -,- -,87723000,- -,- -,- -,90900000,75500000,80856000,68306000,76825000,68267000,81612000,65491000,71148000,80753000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,24900000,48200000,27100000,6800000,11900000,33400000,18700000,300000,255000,100000,100000,3400000,100000,400000,37900000,5083000,- -,- -,2600000,7900000,4000000,4126000,- -,- -,- -,- -,- -,60886000,61272000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4294000,13085000,3138000,8827000,20000,- -,2517000,- -,- -,- -,6584000,- -,1470000,- -,- -,- -,- -,- -,19728000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52419000,77242000,76573000,75108000,60984000,- -,28421000,28846000,34882000,34385000,32759000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,60800000,80800000,77800000,67700000,34700000,26800000,27800000,47200000,26200000,23100000,22000000,30000000,32700000,37000000,37500000,34300000,26580000,42800000,40181000,25758000,103627000,66892000,57516000,14027000,67479000,118254000,80118000,-8885000,20741000,73313000,60593000,54571000,66743000,60597000,112288000,64218000,84141000
53,Total Current Liabilities,60800000,80800000,77800000,67700000,70000000,56800000,66200000,81800000,96100000,125600000,98800000,96300000,101700000,131800000,124600000,89400000,70155000,101900000,193500000,212400000,180300000,142400000,156400000,106833000,95900000,147100000,117600000,124300000,133000000,158295000,128899000,131396000,135010000,142209000,177779000,196252000,226166000
54,Long-Term Debt,18300000,16200000,41500000,36800000,32000000,27300000,22700000,17800000,12400000,47000000,45100000,41800000,41400000,40700000,40500000,400000,139000,198600000,198800000,289100000,200000000,199300000,234400000,194187000,146400000,147100000,103400000,108600000,137600000,104842000,43975000,91509000,45809000,12993000,- -,239963000,199488000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2911000
56,Deferred Tax Liabilities,- -,3100000,- -,900000,2800000,1900000,2100000,3300000,- -,- -,1800000,- -,- -,- -,- -,- -,518000,- -,- -,- -,- -,75108000,60984000,32111000,28421000,28846000,34882000,34385000,32759000,33212000,3657000,13578000,15269000,18411000,16540000,- -,2911000
57,Other Non-Current Liabilities,100000,-100000,- -,100000,-100000,- -,100000,- -,3700000,3800000,4400000,7500000,8600000,8500000,7200000,4500000,4500000,4500000,63500000,100900000,106600000,40992000,50916000,47244000,50079000,55354000,49218000,58915000,63741000,58113000,71759000,72546000,74029000,75286000,310452000,23691000,18502000
58,Total Non-Current Liabilities,18400000,19200000,41500000,37800000,34700000,29200000,24900000,21100000,16100000,50800000,51300000,49300000,50000000,49200000,47700000,4900000,5157000,203100000,262300000,390000000,306600000,315400000,346300000,273542000,224900000,231300000,187500000,201900000,234100000,196167000,119391000,177633000,135107000,106690000,326992000,263654000,223812000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342084000,300849000,- -
61,Total Liabilities,79200000,100000000,119300000,105500000,104700000,86000000,91100000,102900000,112200000,176400000,150100000,145600000,151700000,181000000,172300000,94300000,75312000,305000000,455800000,602400000,486900000,457800000,502700000,380375000,320800000,378400000,305100000,326200000,367100000,354462000,248290000,309029000,270117000,248899000,504771000,459906000,449978000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,8600000,8700000,- -,8800000,8800000,7900000,7700000,7400000,7515000,7500000,16200000,16900000,17600000,17800000,16000000,15866000,16500000,16500000,16500000,16600000,16400000,16478000,16601000,16769000,16839000,16959000,17040000,16889000,16805000
64,Retained Earnings,112200000,113600000,88300000,92300000,89300000,87500000,94400000,101500000,112900000,116900000,111900000,123200000,139400000,135200000,145400000,149800000,153071000,167100000,199100000,240400000,301000000,341400000,293200000,16433000,19400000,90700000,111600000,132900000,153300000,185229000,199151000,233493000,280395000,323515000,366793000,235995000,331175000
65,Other Comprehensive Income/Loss,-51900000,-57500000,-61700000,-65200000,-69400000,-68800000,-64900000,-66800000,-69700000,-71700000,-74200000,-73800000,-74500000,-74600000,-77200000,-77600000,-78667000,-77400000,-77000000,600000,5000000,9000000,13000000,-28000000,-23000000,-24000000,-24000000,-25000000,-24000000,-30000000,-7000000,-5000000,-4000000,-5000000,-5000000,-3664000,-3472000
66,Other Total Stockholders Equity,68400000,74400000,77100000,80500000,83800000,82500000,78700000,80600000,75900000,78700000,91300000,83300000,86100000,85900000,88400000,89300000,93282000,92165000,100677000,45601000,75101000,82745000,85348000,88820000,91517000,96828000,99969000,105345000,114463000,118898000,125648000,130868000,136590000,142881000,149765000,156508000,163156000
67,Total Stockholders Equity,128700000,130500000,103700000,107600000,103700000,101200000,108200000,115300000,127700000,132600000,129000000,141500000,159800000,154400000,164300000,168900000,175201000,189365000,238977000,303501000,398701000,450945000,407548000,93119000,104417000,180028000,204069000,229845000,260163000,290605000,334400000,376130000,429824000,478355000,528598000,405728000,507664000
68,Total Liabilities And Stockholders Equity,207900000,230500000,223000000,213100000,208400000,187200000,199300000,218200000,239900000,309000000,279100000,287100000,311500000,335400000,336600000,263200000,250513000,494365000,694777000,905901000,885601000,908745000,910248000,473494000,425217000,558428000,509169000,556045000,627263000,645067000,582690000,685159000,699941000,727254000,1033369000,865634000,957642000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,35000,23000,-1000,-1000,-45000,52000,- -,-17000,72000,31000,55000,37000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,207900000,230500000,223000000,213100000,208400000,187200000,199300000,218200000,239900000,309000000,279100000,287100000,311500000,335300000,336600000,263200000,250513000,494400000,694800000,905900000,885600000,908700000,910300000,473494000,425200000,558500000,509200000,556100000,627300000,645067000,582690000,685159000,699941000,727254000,1033369000,865634000,957642000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75288/000007528894000012/0000075288-94-000012-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528895000006/0000075288-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528896000007/0000075288-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528897000011/0000075288-97-000011-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528898000015/0000075288-98-000015-index.html,- -,https://www.sec.gov/Archives/edgar/data/75288/000007528800000010/0000075288-00-000010-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528801500015/0000075288-01-500015-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528802000014/0000075288-02-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/75288/000095014404008083/g90397e10vk.htm,https://www.sec.gov/Archives/edgar/data/75288/000095014405008828/g96912e10vk.htm,https://www.sec.gov/Archives/edgar/data/75288/000095014406007947/g02956e10vk.htm,https://www.sec.gov/Archives/edgar/data/75288/000095014407007028/0000950144-07-007028-index.html,https://www.sec.gov/Archives/edgar/data/75288/000095014408002523/g12568e10vkt.htm,https://www.sec.gov/Archives/edgar/data/75288/000095014409002819/0000950144-09-002819-index.html,https://www.sec.gov/Archives/edgar/data/75288/000104746910002998/0001047469-10-002998-index.html,https://www.sec.gov/Archives/edgar/data/75288/000104746911002966/a2203043z10-k.htm,https://www.sec.gov/Archives/edgar/data/75288/000104746912003586/0001047469-12-003586-index.html,https://www.sec.gov/Archives/edgar/data/75288/000104746913003950/0001047469-13-003950-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528814000013/oxm-2114x10xk.htm,https://www.sec.gov/Archives/edgar/data/75288/000007528815000014/oxm-013115x10xk.htm,https://www.sec.gov/Archives/edgar/data/75288/000007528816000080/0000075288-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528817000016/0000075288-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528818000018/0000075288-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528819000024/0000075288-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/75288/000155837020003379/0001558370-20-003379-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528821000004/0000075288-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/75288/000007528822000004/0000075288-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,7900000,5500000,12500000,14800000,19200000,10600000,2200000,19600000,24600000,26400000,23400000,15300000,10572000,20300000,39700000,49800000,70500000,52100000,19200000,-265812000,14600000,78700000,29400000,31300000,45300000,45758000,30562000,52461000,65090000,66291000,68493000,-95692000,131321000
74,Depreciation and Amortization,- -,- -,- -,- -,6600000,6200000,6300000,6500000,7000000,7800000,8900000,9100000,8100000,8900000,9393000,9249000,8888000,5987000,21065000,26916000,25196000,25590000,17733000,24856000,20736000,18813000,27154000,26335000,33902000,37646000,36427000,42219000,42402000,42490000,40287000,40086000,39942000
75,Deferred Income Tax,- -,- -,- -,- -,-300000,-900000,300000,1200000,- -,100000,-2100000,1200000,1100000,-100000,-1395000,-102000,2844000,-2371000,-2379000,-4014000,-2847000,-5962000,-4933000,-22630000,-8114000,-4620000,5375000,-3753000,674000,-3217000,-361000,7880000,1817000,2927000,-1973000,-18332000,4054000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3485000,4365000,4549000,2180000,2756000,1659000,4103000,5241000,6445000,6413000,7327000,7620000,7755000,8186000
