,https://roic.ai/company/NRP,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,- -,392719000,531676000,599926000,684996000,939493000,1320031000,1301340000,1523590000,1664036000,1665649000,1764672000,1991856000,2444724000,1684075000,1444681000,1389164000,1341647000,1085907000,921877000,953823000
48,Accounts Payable,- -,735000,728000,681000,765000,1146000,2671000,1226000,1093000,499000,375000,4650000,9050000,33366000,9929000,7174000,7519000,2414000,1179000,1385000,1956000
49,Short-Term Debt,- -,- -,9350000,9350000,9350000,9542000,17234000,17235000,32235000,31518000,30801000,87230000,80983000,80983000,80983000,138903000,79740000,115184000,45776000,39055000,39102000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3509000,4608000,11485000,11817000
52,Other Current Liabilities,- -,2598000,4666000,5285000,6777000,13594000,16684000,15720000,24060000,24913000,28317000,25935000,33355000,33582000,45735000,41940000,33290000,27639000,11145000,9447000,11510000
53,Total Current Liabilities,- -,3333000,14744000,15316000,16892000,24282000,36589000,34181000,57388000,56930000,59493000,117815000,123388000,147931000,136647000,188017000,120549000,148746000,62708000,61372000,64385000
54,Long-Term Debt,- -,57500000,192650000,156300000,221950000,454291000,496057000,478822000,626587000,661070000,836268000,897039000,1084226000,1394240000,1304013000,987400000,729608000,557574000,470422000,432444000,394443000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,40754000,67018000,109509000,113303000,123506000,142586000,160260000,163665000,116563000,100605000,49044000,47213000,50069000,50045000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,13252000,16124000,19118000,20246000,25233000,42794000,4242000,7371000,11347000,11670000,8865000,24867000,22138000,6808000,4565000,3154000,1150000,4949000,5131000,5018000
58,Total Non-Current Liabilities,- -,70752000,208774000,175418000,242196000,479524000,538851000,523818000,700976000,781926000,961241000,1029410000,1251679000,1576638000,1474486000,1108528000,833367000,607768000,522584000,487644000,449506000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,2969000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,74085000,223518000,190734000,259088000,503806000,575440000,557999000,758364000,838856000,1020734000,1147225000,1375067000,1724569000,1611133000,1296545000,953916000,756514000,585292000,549016000,513891000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173431000,- -,- -,- -,- -
63,Common Stock,- -,148646000,302589000,401138000,416104000,422684000,731113000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-59243000,-83726000,-111116000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-21068000,-457866000,-518301000,-576742000,-2000000,-2000000,-3000000,-3000000,-3000000,322000,3211000
66,Other Total Stockholders Equity,- -,229231000,89295000,119170000,10804000,14003000,14478000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,318634000,308158000,409192000,425908000,435687000,744591000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,439932000
68,Total Liabilities And Stockholders Equity,- -,392719000,531676000,599926000,684996000,939493000,1320031000,557999000,758364000,838856000,1020734000,1147225000,1375067000,1724569000,1611133000,1296545000,953916000,756514000,585292000,921877000,953823000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,743341000,765226000,825180000,644915000,617447000,616789000,720155000,72942000,148136000,435248000,585133000,500615000,- -,- -
70,Total Liabilities & Equity,- -,392719000,531676000,599926000,684996000,939493000,1320031000,1301340000,1523590000,1664036000,1665649000,1764672000,1991856000,2444724000,1684075000,1444681000,1389164000,1341647000,1085907000,921877000,953823000
