,https://roic.ai/company/GHC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,246300000,241900000,374300000,480600000,396500000,360000000,264200000,319200000,369800000,- -,408700000,455100000,568200000,- -,807200000,410452000,604733000,514163000,557884000,- -,697665000,726397000,719910000,457889000,- -,504478000,532984000,531093000,647792000,1960910000,121236000,378074000,329540000,473453000,662067000,697138000,718295000
16,EBITDA ratio,0.2283,0.1991,0.2846,0.3514,0.2746,0.2502,0.1914,0.2200,0.2468,- -,0.2377,0.2455,0.2904,- -,0.3825,0.1702,0.2502,0.1990,0.1965,- -,0.1963,0.1860,0.1722,0.1026,- -,0.1104,0.1265,0.1322,0.1857,0.5547,0.0469,0.1523,0.1271,0.1756,0.2258,0.2413,0.2255
17,Operating Income,204200000,229000000,257000000,268000000,313600000,281700000,192900000,232200000,255200000,- -,270900000,337100000,381300000,- -,379000000,339882000,219932000,377590000,363820000,- -,514914000,459804000,477016000,174208000,- -,193992000,295958000,144531000,345565000,407932000,-80825000,303534000,209102000,246161000,144546000,100407000,77375000
18,Operating Income ratio,0.1893,0.1885,0.1954,0.1960,0.2172,0.1958,0.1398,0.1600,0.1703,- -,0.1576,0.1819,0.1949,- -,0.1796,0.1409,0.0910,0.1461,0.1282,- -,0.1449,0.1177,0.1141,0.0390,- -,0.0425,0.0702,0.0360,0.0991,0.1154,-0.0313,0.1223,0.0807,0.0913,0.0493,0.0348,0.0243
19,Total Other Income Expenses (Gains),17300000,-24300000,74400000,167300000,20400000,9800000,-2700000,-8000000,8300000,- -,40500000,23100000,81800000,- -,289100000,-110012000,167568000,-23890000,18780000,- -,-15270000,59330000,4084000,-29108000,- -,-45192000,-78330000,-23921000,-44339000,919179000,-40065000,-52876000,-26313000,77347000,281933000,306861000,372252000
20,Income Before Tax,221500000,204700000,331400000,435300000,334000000,291500000,190200000,224200000,263500000,- -,311400000,360200000,463100000,- -,668100000,229870000,387500000,353700000,382600000,- -,499644000,519134000,481100000,145100000,- -,148800000,217628000,120610000,301226000,1327111000,-120890000,250658000,182789000,323508000,426479000,407268000,449627000
21,Income Before Tax Ratio,0.2053,0.1685,0.2519,0.3183,0.2313,0.2026,0.1378,0.1545,0.1759,- -,0.1811,0.1943,0.2367,- -,0.3166,0.0953,0.1603,0.1369,0.1348,- -,0.1406,0.1329,0.1151,0.0325,- -,0.0326,0.0516,0.0300,0.0864,0.3754,-0.0467,0.1010,0.0705,0.1200,0.1455,0.1410,0.1411
22,Income Tax expense (Gain),107200000,104500000,144700000,166200000,136100000,116900000,71500000,96400000,109700000,- -,121300000,139400000,181500000,- -,250800000,93400000,157900000,137300000,141500000,- -,185300000,189600000,192500000,79400000,- -,57600000,96300000,71600000,110000000,406100000,20500000,81200000,-119700000,52100000,98600000,107300000,96300000
23,Net Income,114300000,100200000,186700000,269100000,197900000,174600000,118700000,127800000,165400000,- -,190100000,220800000,281600000,- -,417300000,136470000,229600000,204300000,241100000,- -,314344000,324459000,288600000,65700000,- -,92800000,117150000,132113000,236865000,1293843000,-100655000,168590000,302044000,271206000,327855000,300365000,352075000
24,Net Income ratio,0.1060,0.0825,0.1419,0.1968,0.1370,0.1214,0.0860,0.0881,0.1104,- -,0.1106,0.1191,0.1439,- -,0.1977,0.0566,0.0950,0.0791,0.0849,- -,0.0885,0.0831,0.0690,0.0147,- -,0.0203,0.0278,0.0329,0.0679,0.3660,-0.0389,0.0679,0.1165,0.1006,0.1118,0.1040,0.1105
25,EPS,8.66,7.80,14.52,20.91,15.50,14.45,10.00,10.80,14.08,- -,17.15,20.05,26.23,- -,41.27,14.34,24.10,21.38,25.19,- -,32.66,33.81,30.31,6.89,- -,9.78,14.70,17.39,32.10,195.81,-17.87,29.95,54.24,50.55,61.70,58.30,70.65
26,EPS Diluted,8.66,7.80,14.52,20.91,15.50,14.45,10.00,10.80,14.08,- -,17.15,20.05,26.15,- -,41.10,14.32,24.06,21.34,25.12,- -,32.59,33.68,30.19,6.87,- -,9.78,14.70,17.39,32.05,195.03,-17.87,29.80,53.89,50.20,61.21,58.13,70.45
27,Weighted Average Shares Outstanding,13198614,12846154,12858127,12869440,12767742,12083045,11870000,11833333,11747159,- -,11084548,10977556,10697674,- -,10087230,9445188,9484938,9505847,9530012,- -,9594703,9567524,9490432,9407576,- -,9322192,7826000,7360000,7238000,6470000,5727000,5559000,5516000,5333000,5285000,5124000,4951000
28,Weighted Average Shares Outstanding Diluted,13198614,12846154,12858127,12869440,12767742,12083045,11870000,11833333,11747159,- -,11109312,10985816,10730402,- -,10128954,9458380,9500707,9523664,9556568,- -,9615311,9604454,9528155,9429990,- -,9391958,7905000,7404000,7333000,6559000,5727000,5589000,5552000,5370000,5327000,5139000,4965000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/104889/000095013301001017/0000950133-01-001017-index.html,https://www.sec.gov/Archives/edgar/data/104889/000095013302001185/0000950133-02-001185-index.html,https://www.sec.gov/Archives/edgar/data/104889/000095013303000792/0000950133-03-000792-index.html,https://www.sec.gov/Archives/edgar/data/104889/000095013304000785/0000950133-04-000785-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/104889/000095013307000873/w30536e10vk.htm,https://www.sec.gov/Archives/edgar/data/104889/000095013308000866/w48813e10vk.htm,https://www.sec.gov/Archives/edgar/data/104889/000119312509038899/0001193125-09-038899-index.html,undefined,https://www.sec.gov/Archives/edgar/data/104889/000119312510045806/0001193125-10-045806-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488912000006/0000104889-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488913000009/0000104889-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488914000013/d10k.htm,https://www.sec.gov/Archives/edgar/data/104889/000010488915000017/d10k.htm,https://www.sec.gov/Archives/edgar/data/104889/000010488916000088/0000104889-16-000088-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488917000010/0000104889-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488918000011/0000104889-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488919000013/0000104889-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488920000007/0000104889-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488921000018/0000104889-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/104889/000010488922000011/0000104889-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146900000,102300000,21100000,- -,15200000,20345000,31500000,28800000,87400000,- -,215861000,348148000,321500000,390500000,- -,477700000,381099000,512431000,569719000,772751000,754207000,648885000,390014000,253256000,200165000,413991000,145886000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71700000,10948000,16400000,1800000,2600000,- -,67596000,28923000,51700000,357300000,- -,385000000,338674000,418938000,522318000,226752000,379445000,448241000,557153000,514581000,599967000,587582000,824445000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146900000,102300000,21100000,- -,86900000,31293000,47900000,30600000,90000000,- -,283457000,377071000,373200000,747800000,- -,862700000,719773000,931369000,1092037000,999503000,1133652000,1097126000,947167000,767837000,800132000,1001573000,970331000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200700000,233100000,244200000,- -,271900000,306016000,289600000,285400000,334100000,- -,398552000,423403000,480700000,479400000,- -,430700000,409715000,399204000,446644000,571357000,620818000,656736000,644220000,601446000,634951000,566469000,640215000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26800000,24400000,19200000,- -,20200000,15178000,19000000,27600000,27700000,- -,15079000,19973000,23200000,40200000,- -,16000000,6571000,7985000,2924000,11309000,32068000,34818000,60612000,69477000,108928000,120622000,141471000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32200000,22800000,24000000,- -,25900000,52580000,40400000,39400000,44000000,- -,121238000,114378000,117900000,84100000,- -,78700000,109566000,115204000,160782000,108534000,74184000,82666000,83805000,93582000,119474000,85528000,95157000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,406600000,382600000,308500000,- -,404900000,405067000,396900000,383000000,495800000,- -,818326000,934825000,995000000,1351500000,- -,1388100000,1245625000,1453762000,1702387000,1690703000,1860722000,1871346000,1735804000,1532342000,1663485000,1774192000,1847174000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,457400000,511400000,653800000,- -,841100000,927061000,1098200000,1094400000,1051400000,- -,1142632000,1218309000,1280700000,1302300000,- -,1239700000,1152390000,1081237000,927542000,860829000,231123000,233664000,259358000,293085000,911087000,840846000,906095000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,544300000,679700000,- -,883200000,- -,1205700000,770900000,965700000,- -,- -,1240251000,1498200000,1390200000,- -,1423500000,1414997000,1317915000,1288622000,1348710000,1017513000,1122954000,1299710000,1297712000,1388279000,1484750000,1649582000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,472300000,- -,- -,- -,- -,1007720000,- -,484600000,491900000,- -,1643076000,549541000,591300000,625600000,- -,611300000,585263000,585305000,580866000,613700000,129076000,173965000,340171000,362313000,373678000,325083000,389300000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,472300000,544300000,679700000,- -,883200000,1007720000,1205700000,1255500000,1457600000,- -,1643076000,1789792000,2089500000,2015800000,- -,2034800000,2000260000,1903220000,1869488000,1962410000,1146589000,1296919000,1639881000,1660025000,1761957000,1809833000,2038882000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199300000,154800000,- -,253000000,- -,300000000,285500000,306600000,- -,- -,390000000,520200000,76437000,- -,54722000,17101000,15535000,15754000,19811000,59229000,58806000,128590000,143813000,162249000,155777000,155444000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30100000,31300000,- -,83700000,- -,221900000,261200000,303800000,- -,- -,- -,709700000,360400000,- -,422800000,- -,- -,- -,- -,- -,17246000,15367000,13388000,11629000,8396000,7900000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,396600000,202700000,249200000,- -,263800000,860895000,336400000,304300000,286400000,- -,980739000,1048446000,409400000,51963000,- -,46078000,601610000,651315000,1295875000,1218566000,1055288000,954689000,1158823000,1121388000,1420829000,1855075000,2470030000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1326300000,1487800000,1768800000,- -,2324800000,2795676000,3162200000,3200900000,3405800000,- -,3766447000,4446547000,5009500000,3806900000,- -,3798100000,3771361000,3651307000,4108659000,4061616000,2492229000,2561324000,3202019000,3231699000,4267751000,4669927000,5578351000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1732900000,1870400000,2077300000,- -,2729700000,3200743000,3559100000,3583900000,3901600000,- -,4584773000,5381372000,6004500000,5158400000,- -,5186200000,5016986000,5105069000,5811046000,5752319000,4352951000,4432670000,4937823000,4764041000,5931236000,6444119000,7425525000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172000000,- -,- -,- -,- -,273076000,- -,- -,- -,- -,272441000,322044000,6000000,10900000,- -,2100000,- -,310294000,343620000,303111000,285321000,352356000,385927000,337123000,366963000,384743000,126985000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50200000,- -,- -,- -,- -,50000000,- -,259258000,208620000,- -,24820000,5622000,89585000,153822000,- -,3059000,112983000,243327000,3168000,46375000,- -,6128000,6726000,6360000,174893000,93249000,219404000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7499000,- -,8048000,- -,726000,- -,128895000,- -,- -,6109000,10496000,4121000,5140000,4585000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231208000,283475000,46399000,10967000,- -,14633000,387532000,395837000,366831000,410146000,297135000,312107000,339454000,308728000,355156000,331021000,358720000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000000,281600000,608800000,- -,389100000,85721000,434100000,476842000,503280000,- -,166252000,192059000,871516000,918511000,- -,969808000,495041000,176828000,220490000,291160000,142693000,148370000,146505000,159951000,144859000,140633000,461229000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308200000,281600000,608800000,- -,389100000,408797000,434100000,736100000,711900000,- -,694721000,803200000,1013500000,1094200000,- -,989600000,995556000,1126286000,934109000,1050792000,725149000,818961000,878612000,812162000,1041871000,949646000,1166338000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,395000000,873267000,883100000,405500000,422500000,- -,403635000,401571000,400500000,400000000,- -,396200000,452229000,453384000,447608000,399545000,399926000,485719000,486561000,470777000,430650000,934952000,930952000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34600000,- -,- -,- -,- -,117731000,- -,- -,- -,- -,422548000,599487000,- -,- -,- -,- -,545361000,529427000,778735000,754960000,403316000,379092000,362701000,322421000,427372000,521274000,676706000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205900000,254100000,272500000,- -,345600000,306793000,545300000,592100000,679700000,- -,425446000,417600000,1117500000,794900000,- -,849300000,415204000,398658000,339641000,395737000,333862000,295957000,294804000,241899000,704547000,271854000,239860000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240500000,254100000,272500000,- -,740600000,1297791000,1428400000,997600000,1102200000,- -,1251629000,1418658000,1518000000,1194900000,- -,1245500000,1412794000,1381469000,1565984000,1550242000,1137104000,1160768000,1144066000,1035097000,1562569000,1728080000,1847518000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,569718000,515646000,482855000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,548700000,535700000,881300000,- -,1129700000,1706588000,1862500000,1733700000,1814100000,- -,1946350000,2221858000,2531500000,2289100000,- -,2235100000,2408350000,2507755000,2500093000,2601034000,1862253000,1979729000,2022678000,1847259000,2604440000,2677726000,3013856000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11096000,10665000,10510000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,20000000,- -,20000000,20000000,20000000,20000000,20000000,- -,20000000,20000000,20000000,20000000,- -,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1832700000,2002400000,2231300000,- -,2597200000,2854122000,3029600000,3179600000,3364400000,- -,3871587000,4120143000,4329700000,4313300000,- -,4324300000,4561989000,4546775000,4782777000,6008506000,5447677000,5588942000,5791724000,6236125000,6534427000,6804822000,7126761000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-535700000,7900000,-577400000,- -,40400000,-736781000,14600000,10402000,41477000,- -,48696000,377561000,494536000,-10680000,- -,104512000,165321000,252854000,699494000,453480000,314680000,236486000,535555000,203829000,303295000,603314000,971388000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1372709000,-1350936000,- -,- -,-1358190000,-1383077000,-1465080000,- -,-1509262000,-2145414000,-2233601000,-2202204000,-3341687000,-3291659000,-3392487000,-3432134000,-3543172000,-3538483000,-3668834000,-3718566000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1184200000,1334800000,1196000000,- -,1600000000,1494155000,1696600000,1837293000,2074941000,- -,2638423000,3159514000,3461159000,2857540000,- -,2939550000,2601896000,2597124000,3310732000,3150809000,2490698000,2452941000,2915145000,2916782000,3319239000,3759302000,4399583000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1732900000,1870500000,2077300000,- -,2729700000,3200743000,3559100000,3570993000,3889041000,- -,4584773000,5381372000,5992659000,5146640000,- -,5174650000,5010246000,5104879000,5810825000,5751843000,4352951000,4432670000,4937823000,4764041000,5923679000,6437028000,7413439000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,12907000,12559000,- -,- -,- -,11841000,11760000,- -,11550000,6740000,190000,221000,476000,- -,- -,- -,- -,7557000,7091000,12086000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1732900000,1870400000,2077300000,- -,2729700000,3200743000,3559100000,3583900000,3901600000,- -,4584773000,5381372000,6004500000,5158400000,- -,5186200000,5016986000,5105069000,5811046000,5752319000,4352951000,4432670000,4937823000,4764041000,5931236000,6444119000,7425525000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/104889/000095013301001017/0000950133-01-001017-index.html,https://www.sec.gov/Archives/edgar/data/104889/000095013302001185/0000950133-02-001185-index.html,https://www.sec.gov/Archives/edgar/data/104889/000095013303000792/0000950133-03-000792-index.html,https://www.sec.gov/Archives/edgar/data/104889/000095013304000785/0000950133-04-000785-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/104889/000095013307000873/w30536e10vk.htm,https://www.sec.gov/Archives/edgar/data/104889/000095013308000866/w48813e10vk.htm,https://www.sec.gov/Archives/edgar/data/104889/000119312509038899/0001193125-09-038899-index.html,undefined,https://www.sec.gov/Archives/edgar/data/104889/000119312510045806/0001193125-10-045806-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488912000006/0000104889-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488913000009/0000104889-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488914000013/d10k.htm,https://www.sec.gov/Archives/edgar/data/104889/000010488915000017/d10k.htm,https://www.sec.gov/Archives/edgar/data/104889/000010488916000088/0000104889-16-000088-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488917000010/0000104889-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488918000011/0000104889-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488919000013/0000104889-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488920000007/0000104889-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488921000018/0000104889-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/104889/000010488922000011/0000104889-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,114300000,100200000,- -,269100000,197900000,174600000,118700000,127800000,165400000,- -,190100000,220800000,281600000,- -,417300000,136470000,229600000,204300000,241100000,- -,314344000,324459000,288600000,65700000,- -,92800000,117150000,132113000,236865000,1293843000,-100655000,168590000,302044000,271206000,327855000,300365000,352075000
74,Depreciation and Amortization,24800000,37200000,- -,45300000,62500000,68500000,74000000,95000000,94700000,- -,97300000,94900000,105100000,- -,139100000,180582000,217233000,172563000,175284000,- -,198021000,212338000,238810000,288131000,- -,322513000,286308000,291436000,264860000,224381000,168737000,92894000,113310000,112245000,205833000,251163000,235977000
75,Deferred Income Tax,- -,- -,- -,- -,8700000,11300000,-34300000,-1600000,-1700000,- -,5400000,-4300000,3100000,- -,27000000,-7743000,97302000,50115000,30704000,- -,29297000,-38234000,33041000,-4196000,- -,33000,- -,-64383000,11595000,49143000,4060000,10070000,-146452000,-7123000,69751000,14377000,65046000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25163000,17577000,48033000,13418000,10169000,6412000,6278000,6348000,5659000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4400000,2600000,-401300000,- -,316100000,342570000,-33470000,-315900000,137000000,- -,57405000,8020000,-150125000,275800000,- -,141200000,-103531000,77407000,440802000,-128367000,495662000,-83188000,-195193000,-137012000,-98566000,202932000,-111238000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4398000,- -,- -,27895000,-14846000,-81989000,-96844000,-87165000,-47892000,11086000,59847000,-53602000,61328000,-59292000
79,Inventory,- -,- -,- -,- -,9000000,-6400000,5600000,-700000,3800000,- -,-6400000,2300000,5200000,- -,-900000,-1265000,-3390000,-11142000,829000,- -,11483000,-4222000,-3356000,-16907000,- -,24195000,-1587000,-1871000,851000,-2413000,-1778000,-2422000,-541000,-7351000,-5317000,3786000,4551000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34224000,37926000,-39199000,62901000,- -,- -,- -,- -,- -,- -
