,https://roic.ai/company/DG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,121087000,148907000,189676000,235543000,289264000,349302000,154004000,373611000,457265000,511263000,556976000,561867000,248276000,255392000,580486000,953258000,1274065000,1490804000,1655276000,1736185000,1769093000,1940294000,2063449000,2007818000,2116306000,2302304000,3554765000,3220675000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0836,0.0844,0.0889,0.0897,0.0898,0.0898,0.0338,0.0702,0.0750,0.0744,0.0727,0.0655,0.0271,0.0269,0.0555,0.0808,0.0977,0.1007,0.1033,0.0992,0.0936,0.0953,0.0939,0.0855,0.0826,0.0830,0.1053,0.0941
19,Total Other Income Expenses (Gains),-6900000,-6700000,- -,-6400000,-5600000,-5000000,-3100000,-2700000,-2200000,-2799000,-7361000,-4659000,-3543000,-8264000,-5302000,-45004000,-45611000,-42639000,-31263000,-21976000,-16867000,-28276000,-258392000,-386486000,-401258000,-289065000,-265804000,-158276000,-107855000,-88232000,-87270000,-97821000,-100538000,-100890000,-100574000,-150385000,-157526000
20,Income Before Tax,7600000,11600000,- -,16100000,20300000,23100000,34700000,58200000,78000000,118288000,141546000,185017000,232000000,281000000,344000000,109000000,328000000,414626000,480000000,535000000,545000000,220000000,-3000000,194000000,552000000,985000000,1225000000,1497000000,1628330000,1680861000,1853024000,1965628000,1907280000,2015416000,2201730000,3404380000,3063149000
21,Income Before Tax Ratio,0.0135,0.0197,- -,0.0263,0.0330,0.0354,0.0460,0.0632,0.0688,0.0817,0.0802,0.0867,0.0883,0.0872,0.0885,0.0240,0.0616,0.0680,0.0698,0.0698,0.0635,0.0240,-0.0003,0.0186,0.0468,0.0756,0.0827,0.0934,0.0930,0.0889,0.0910,0.0894,0.0813,0.0787,0.0793,0.1009,0.0895
22,Income Tax expense (Gain),3300000,5100000,- -,6100000,7900000,8500000,13200000,22600000,29400000,44654000,53728000,69917000,87000000,99000000,125000000,38000000,120000000,149680000,-26000,191000000,194000000,82000000,-1775000,82420000,212674000,-102448000,458604000,544732000,603214000,615516000,687944000,714495000,368320000,425944000,489175000,749330000,663917000
23,Net Income,4300000,6500000,- -,10000000,12400000,14600000,21500000,35600000,48600000,73634000,87818000,115100000,145000000,182000000,219000000,71000000,208000000,264946000,301000000,344000000,350000000,138000000,-13000000,108000000,339000000,628000000,767000000,953000000,1025116000,1065345000,1165080000,1251133000,1538960000,1589472000,1712555000,2655050000,2399232000
24,Net Income ratio,0.0076,0.0110,- -,0.0163,0.0202,0.0224,0.0285,0.0387,0.0429,0.0508,0.0498,0.0539,0.0552,0.0565,0.0563,0.0156,0.0391,0.0434,0.0438,0.0449,0.0408,0.0150,-0.0014,0.0103,0.0287,0.0482,0.0518,0.0595,0.0586,0.0563,0.0572,0.0569,0.0656,0.0620,0.0617,0.0787,0.0701
25,EPS,0.02,0.02,- -,0.04,0.05,0.05,0.07,0.11,0.15,1.33,1.25,1.30,1.00,1.01,0.89,0.21,0.63,0.80,0.90,1.04,1.09,0.44,-0.04,0.34,1.05,1.84,2.25,2.87,3.17,3.50,3.96,4.45,5.64,5.99,6.68,10.70,10.24
26,EPS Diluted,0.02,0.02,- -,0.04,0.05,0.05,0.07,0.11,0.15,1.33,1.25,1.30,0.84,0.85,0.81,0.21,0.62,0.79,0.89,1.04,1.08,0.44,-0.04,0.34,1.04,1.82,2.22,2.85,3.17,3.49,3.95,4.43,5.63,5.97,6.64,10.62,10.17
27,Weighted Average Shares Outstanding,215000000,325000000,- -,250000000,248000000,292000000,307142857,323636364,324000000,55207000,70231000,88495000,171490000,214719000,269570000,333858000,335017000,333055000,334697000,329376000,321835000,312556000,313567000,317024000,322778000,341047000,341234000,332254000,322886000,304633000,294330000,281317000,272751000,265155000,256553000,248171000,234261000
28,Weighted Average Shares Outstanding Diluted,215000000,325000000,- -,250000000,248000000,292000000,307142857,323636364,324000000,340000000,352142857,334736842,172176190,214719000,270897531,333858000,335017000,335050000,337636000,332068000,324133000,313510000,315928000,317503000,324836000,344800000,345117000,334469000,323854000,305681000,295211000,282261000,273362000,266105000,258053000,250076000,235812000
29,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29534/000002953495000015/0000029534-95-000015-index.html,https://www.sec.gov/Archives/edgar/data/29534/000002953496000021/0000029534-96-000021-index.html,https://www.sec.gov/Archives/edgar/data/29534/000002953497000011/0000029534-97-000011-index.html,https://www.sec.gov/Archives/edgar/data/29534/000095014498004835/0000950144-98-004835-index.html,https://www.sec.gov/Archives/edgar/data/29534/000091431799000239/0000914317-99-000239-index.html,https://www.sec.gov/Archives/edgar/data/29534/000091431700000307/0000914317-00-000307-index.html,- -,https://www.sec.gov/Archives/edgar/data/29534/000091431702000353/0000914317-02-000353-index.html,- -,https://www.sec.gov/Archives/edgar/data/29534/000002953404000034/form10k2003final.htm,https://www.sec.gov/Archives/edgar/data/29534/000002953405000046/f0410kfinal.htm,https://www.sec.gov/Archives/edgar/data/29534/000002953406000030/f200510kfinal.htm,https://www.sec.gov/Archives/edgar/data/29534/000002953407000023/f200610kfinal.htm,https://www.sec.gov/Archives/edgar/data/29534/000100579408000099/dollargeneral10k2008.htm,https://www.sec.gov/Archives/edgar/data/29534/000002953409000014/0000029534-09-000014-index.html,https://www.sec.gov/Archives/edgar/data/29534/000104746910003012/0001047469-10-003012-index.html,https://www.sec.gov/Archives/edgar/data/29534/000002953411000004/f2010form10_kfinal.htm,https://www.sec.gov/Archives/edgar/data/29534/000104746912003084/0001047469-12-003084-index.html,https://www.sec.gov/Archives/edgar/data/29534/000104746913003283/0001047469-13-003283-index.html,https://www.sec.gov/Archives/edgar/data/29534/000104746914002721/a2218572z10-k.htm,https://www.sec.gov/Archives/edgar/data/29534/000104746915002540/a2223543z10-k.htm,https://www.sec.gov/Archives/edgar/data/29534/000104746916011420/0001047469-16-011420-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837017002116/0001558370-17-002116-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837018002366/0001558370-18-002366-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837019002383/0001558370-19-002383-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837020002915/0001558370-20-002915-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837021003245/0001558370-21-003245-index.htm,https://www.sec.gov/Archives/edgar/data/29534/000155837022003921/0001558370-22-003921-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5200000,7300000,- -,5700000,6500000,3900000,7900000,25000000,35400000,33045000,4344000,6563000,7000000,22000000,59000000,162000000,262000000,121318000,398000000,233000000,201000000,189000000,100000000,378000000,222000000,497000000,126000000,141000000,505566000,579823000,157947000,187915000,267441000,235487000,240320000,1376577000,344829000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000000,9000000,30000000,20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5200000,7300000,- -,5700000,6500000,3900000,7900000,25000000,35400000,33045000,4344000,6563000,7000000,22000000,59000000,162000000,262000000,121318000,398000000,276000000,210000000,219000000,120000000,378000000,222000000,497000000,126000000,141000000,505566000,579823000,157947000,187915000,267441000,235487000,240320000,1376577000,344829000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,33000000,6000000,8000000,- -,- -,- -,- -,- -,6843000,11050000,108265000,57804000,76537000,90760000,- -
35,Inventory,183900000,177100000,- -,171000000,140400000,154800000,172800000,216800000,260000000,356111000,488362000,476103000,632000000,812000000,986000000,896000000,1131000000,1123031000,1157000000,1377000000,1474000000,1432000000,1289000000,1415000000,1520000000,1765000000,2009000000,2397000000,2552993000,2782521000,3074153000,3258785000,3609025000,4097004000,4676848000,5247477000,5614325000
36,Other Current Assets,5100000,6000000,- -,5900000,8300000,9500000,11700000,13900000,19600000,20997000,23537000,21933000,28000000,45000000,51000000,67000000,163000000,79559000,97000000,78000000,79000000,82000000,76000000,71000000,95000000,106000000,140000000,139000000,147048000,170265000,193467000,220021000,263121000,272725000,184163000,199405000,344689000
37,Total Current Assets,194200000,190400000,- -,182600000,155200000,168200000,192400000,255700000,315000000,410153000,516243000,504599000,667000000,879000000,1096000000,1125000000,1556000000,1323908000,1652000000,1731000000,1763000000,1743000000,1518000000,1870000000,1845000000,2368000000,2275000000,2677000000,3205607000,3532609000,3432410000,3677771000,4247852000,4663020000,5177868000,6914219000,6303843000
38,PP&E,29100000,25400000,- -,22600000,32900000,34700000,40400000,56100000,77500000,125252000,158587000,208536000,241000000,326000000,346000000,973000000,989000000,993822000,989000000,1081000000,1192000000,1237000000,1274000000,1269000000,1328000000,1525000000,1795000000,2089000000,2080305000,2116075000,2264062000,2434456000,2701282000,2970806000,12074542000,13373327000,14439057000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4345000000,4339000000,4339000000,4339000000,4339000000,4339000000,4338589000,4338589000,4338589000,4338589000,4338589000,4338589000,4338589000,4338589000,4338589000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1371000000,1326000000,1284000000,1257000000,1236000000,1220000000,1207645000,1201870000,1200994000,1200659000,1200428000,1200217000,1200006000,1199870000,1199750000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5716000000,5665000000,5623000000,5596000000,5575000000,5559000000,5546234000,5540459000,5539583000,5539248000,5539017000,5538806000,5538595000,5538459000,5538339000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,30000000,52000000,- -,38000000,- -,67000000,72000000,68000000,42000000,487000000,556000000,546000000,599000000,657000000,647000000,- -,626858000,639955000,652841000,515702000,609687000,- -,- -,825254000
44,Other Non-Current Assets,9100000,9100000,- -,5100000,5700000,4800000,4500000,4600000,4700000,5463000,5166000,5012000,-15000000,-23000000,-43000000,184000000,-31000000,15423000,-55000000,-43000000,-31000000,19000000,-339000000,-471000000,-478000000,-542000000,-613000000,-604000000,35378000,-607359000,-618125000,-632018000,-486942000,-578281000,34079000,36619000,-779122000
45,Total Non-Current Assets,38200000,34500000,- -,27700000,38600000,39500000,44900000,60700000,82200000,130715000,163753000,213548000,248000000,333000000,355000000,1157000000,996000000,1009245000,1001000000,1110000000,1229000000,1298000000,7138000000,7019000000,7019000000,7178000000,7414000000,7691000000,7661917000,7676033000,7825475000,7994527000,8269059000,8541018000,17647216000,18948405000,20023528000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,232400000,224900000,- -,210300000,193800000,207700000,237300000,316400000,397200000,540868000,679996000,718147000,915000000,1212000000,1451000000,2282000000,2552000000,2333153000,2653000000,2841000000,2992000000,3041000000,8656000000,8889000000,8864000000,9546000000,9689000000,10368000000,10867524000,11208642000,11257885000,11672298000,12516911000,13204038000,22825084000,25862624000,26327371000
48,Accounts Payable,- -,- -,- -,- -,22100000,31500000,37800000,64000000,81000000,111675000,103176000,103523000,180000000,258000000,335000000,297000000,322000000,341303000,384000000,409000000,508000000,555000000,551000000,678000000,831000000,954000000,1064000000,1262000000,1286484000,1388154000,1494225000,1557596000,2009771000,2385469000,2860682000,3614089000,3738604000
49,Short-Term Debt,6500000,16300000,- -,800000,7800000,1600000,1300000,11300000,19300000,31041000,73682000,40499000,22000000,- -,- -,- -,- -,16209000,16670000,12860000,8785000,8080000,3246000,14158000,3671000,1157000,590000,892000,75966000,101158000,1379000,500950000,401345000,1950000,965360000,1074079000,1183559000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67091000,45725000,69616000,43706000,15959000,2999000,7611000,4525000,25980000,152381000,184716000,164138000,184293000,169632000,238492000,168555000,193974000,201018000,334615000,97394000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30413000,24908000,11912000,24321000,17297000,4600000,25061000,36854000,3722000,23223000,- -,25268000,639955000,652841000,515702000,609687000,- -,- -,- -
52,Other Current Liabilities,58700000,45100000,- -,51600000,15200000,22000000,23300000,41700000,47900000,66247000,76856000,80443000,106000000,197000000,137000000,241000000,812000000,306989000,312917000,379232000,405303000,245599000,286457000,378242000,347268000,372989000,441688000,452885000,449521000,447892000,-139963000,-88582000,38060000,18751000,717518000,1022615000,1057194000
53,Total Current Liabilities,65200000,61400000,- -,52400000,45100000,55100000,62400000,117000000,148200000,208963000,253714000,224465000,308000000,455000000,472000000,538000000,1134000000,664501000,744000000,826000000,934000000,833000000,858000000,1075000000,1207000000,1365000000,1510000000,1739000000,1811971000,1962472000,1995596000,2622805000,2964878000,3015857000,4543560000,5710783000,5979357000
54,Long-Term Debt,52300000,48900000,- -,45600000,26800000,19100000,21200000,7000000,5700000,4767000,3278000,2582000,1000000,1000000,1000000,721000000,339000000,330337000,265000000,258000000,270000000,262000000,4279000000,4123000000,3400000000,3287000000,2618000000,2771000000,2742788000,2623965000,2969175000,2710576000,2604613000,2862740000,2911438000,12516363000,8890709000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62693000,- -,57017000,61082000,65856000,70139000,- -,- -,825254000
56,Deferred Tax Liabilities,6100000,5100000,- -,700000,1300000,1800000,2800000,2600000,2600000,3382000,2993000,5571000,- -,- -,- -,- -,- -,50247000,- -,- -,- -,- -,- -,- -,- -,- -,656996000,647070000,632828000,601590000,639955000,652841000,515702000,609687000,675227000,710549000,825254000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,30000000,52000000,162000000,38000000,- -,67000000,73000000,67000000,200000000,816000000,860000000,866000000,840000000,235004000,224930000,215051000,310577000,218266000,218700000,240088000,228222000,7992359000,263691000,3544811000
58,Total Non-Current Liabilities,58400000,54000000,- -,46300000,28100000,20900000,24000000,9600000,8300000,8149000,6271000,8153000,23000000,31000000,53000000,883000000,377000000,380584000,332000000,331000000,337000000,462000000,5095000000,4983000000,4266000000,4127000000,3510000000,3643000000,3653360000,3536132000,3884413000,3643199000,3426259000,3770788000,11579024000,13490603000,14086028000
59,Other Liabilities,58400000,54000000,- -,46300000,28100000,20900000,23900000,9600000,8300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8784488000,9459467000,- -
61,Total Liabilities,123600000,115400000,- -,98700000,73200000,76000000,86300000,126600000,156500000,217112000,259985000,232618000,331000000,486000000,525000000,1421000000,1511000000,1045085000,1076000000,1157000000,1271000000,1295000000,5953000000,6058000000,5473000000,5492000000,5020000000,5382000000,5465331000,5498604000,5880009000,6266004000,6391137000,6786645000,16122584000,19201386000,20065385000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,33971000,42762000,53105000,84000000,105000000,132000000,166000000,166000000,166670000,168000000,164000000,158000000,156000000,278000000,278000000,298000000,299000000,296000000,286000000,277424000,265514000,250855000,240811000,235141000,227072000,220444000,210687000,- -
64,Retained Earnings,79400000,82100000,- -,85800000,94500000,105400000,95400000,119600000,156400000,207436000,273309000,302145000,320000000,402000000,538000000,414000000,579000000,812220000,1037000000,1102000000,1106000000,1104000000,-5000000,103000000,203000000,831000000,1417000000,1711000000,2125453000,2403045000,2025545000,2015867000,2698352000,2941107000,3162660000,3006102000,2473999000
65,Other Comprehensive Income/Loss,-20300000,-24500000,- -,-29400000,-30600000,-33400000,-36200000,-37400000,-47300000,-62108000,-84041000,-113381000,-150000000,-202000000,-251000000,-4000000,-12000000,-1349000,-1161000,-973000,-794000,-987000,-49112000,-39430000,-34167000,-20296000,-5191000,-2938000,-9910000,-7327000,-5807000,-4990000,-4181000,-3207000,-3135000,-2163000,-1192000
66,Other Total Stockholders Equity,49700000,51900000,- -,55200000,56700000,59700000,91800000,107600000,131600000,144457000,187981000,243660000,330000000,421000000,507000000,286000000,309000000,310527000,373081000,419438000,457589000,486734000,2479985000,2490125000,2923465000,2944775000,2960686000,2991268000,3009226000,3048806000,3107283000,3154606000,3196462000,3252421000,3322531000,3446612000,3789179000
67,Total Stockholders Equity,108800000,109500000,- -,111600000,120600000,131700000,151000000,189800000,240700000,323756000,420011000,485529000,584000000,726000000,926000000,862000000,1042000000,1288068000,1576920000,1684465000,1720795000,1745747000,2703873000,2831695000,3390298000,4054479000,4668495000,4985330000,5402193000,5710038000,5377876000,5406294000,6125774000,6417393000,6702500000,6661238000,6261986000
68,Total Liabilities And Stockholders Equity,232400000,224900000,- -,210300000,193800000,207700000,237300000,316400000,397200000,540868000,679996000,718147000,915000000,1212000000,1451000000,2283000000,2553000000,2333153000,2652920000,2841465000,2991795000,3040747000,8656873000,8889695000,8863298000,9546479000,9688495000,10367330000,10867524000,11208642000,11257885000,11672298000,12516911000,13204038000,22825084000,25862624000,26327371000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-1000000,- -,80000,-465000,205000,253000,-873000,-695000,702000,-479000,505000,670000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,232400000,224900000,- -,210300000,193800000,207700000,237300000,316400000,397200000,540868000,679996000,718147000,915000000,1212000000,1451000000,2282000000,2552000000,2333153000,2653000000,2841000000,2992000000,3041000000,8656000000,8889000000,8864000000,9546000000,9689000000,10368000000,10867524000,11208642000,11257885000,11672298000,12516911000,13204038000,22825084000,25862624000,26327371000
71,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29534/000002953495000015/0000029534-95-000015-index.html,https://www.sec.gov/Archives/edgar/data/29534/000002953496000021/0000029534-96-000021-index.html,https://www.sec.gov/Archives/edgar/data/29534/000002953497000011/0000029534-97-000011-index.html,https://www.sec.gov/Archives/edgar/data/29534/000095014498004835/0000950144-98-004835-index.html,https://www.sec.gov/Archives/edgar/data/29534/000091431799000239/0000914317-99-000239-index.html,https://www.sec.gov/Archives/edgar/data/29534/000091431700000307/0000914317-00-000307-index.html,- -,https://www.sec.gov/Archives/edgar/data/29534/000091431702000353/0000914317-02-000353-index.html,- -,https://www.sec.gov/Archives/edgar/data/29534/000002953404000034/form10k2003final.htm,https://www.sec.gov/Archives/edgar/data/29534/000002953405000046/f0410kfinal.htm,https://www.sec.gov/Archives/edgar/data/29534/000002953406000030/f200510kfinal.htm,https://www.sec.gov/Archives/edgar/data/29534/000002953407000023/f200610kfinal.htm,https://www.sec.gov/Archives/edgar/data/29534/000100579408000099/dollargeneral10k2008.htm,https://www.sec.gov/Archives/edgar/data/29534/000002953409000014/0000029534-09-000014-index.html,https://www.sec.gov/Archives/edgar/data/29534/000104746910003012/0001047469-10-003012-index.html,https://www.sec.gov/Archives/edgar/data/29534/000002953411000004/f2010form10_kfinal.htm,https://www.sec.gov/Archives/edgar/data/29534/000104746912003084/0001047469-12-003084-index.html,https://www.sec.gov/Archives/edgar/data/29534/000104746913003283/0001047469-13-003283-index.html,https://www.sec.gov/Archives/edgar/data/29534/000104746914002721/a2218572z10-k.htm,https://www.sec.gov/Archives/edgar/data/29534/000104746915002540/a2223543z10-k.htm,https://www.sec.gov/Archives/edgar/data/29534/000104746916011420/0001047469-16-011420-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837017002116/0001558370-17-002116-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837018002366/0001558370-18-002366-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837019002383/0001558370-19-002383-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837020002915/0001558370-20-002915-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837021003245/0001558370-21-003245-index.htm,https://www.sec.gov/Archives/edgar/data/29534/000155837022003921/0001558370-22-003921-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,12400000,14600000,21500000,35600000,48600000,73634000,87818000,115100000,145000000,182000000,219000000,71000000,208000000,264946000,301000000,344000000,350000000,138000000,-13000000,108000000,339000000,628000000,767000000,953000000,1025116000,1065345000,1165080000,1251133000,1538960000,1589472000,1712555000,2655050000,2399232000
