,https://roic.ai/company/VG,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,-70396000,-261724000,-338788000,-267246000,-63898000,-41762000,-83347000,86340000,58722000,45995000,41207000,43453000,30845000,45793000,36525000,-26108000,-31995000,-20062000
21,Income Before Tax Ratio,- -,- -,- -,-0.8832,-0.9722,-0.5578,-0.3227,-0.0710,-0.0470,-0.0942,0.0992,0.0692,0.0555,0.0474,0.0485,0.0323,0.0457,0.0348,-0.0220,-0.0256,-0.0142
22,Income Tax expense (Gain),- -,- -,- -,-475000,-390000,-215000,182000,678000,836000,318000,-322704000,22095000,18194000,21760000,18418000,12938000,79726000,797000,-6626000,-4217000,4435000
23,Net Income,-7217000,-12742000,-29974000,-69921000,-261334000,-338573000,-267428000,-64576000,-42598000,-83665000,409044000,36627000,28289000,20266000,22655000,17907000,-33933000,35728000,-19482000,-27778000,-24497000
24,Net Income ratio,-Infinity,-13.1226,-1.6010,-0.8772,-0.9708,-0.5574,-0.3229,-0.0717,-0.0479,-0.0945,0.4700,0.0431,0.0341,0.0233,0.0253,0.0187,-0.0339,0.0341,-0.0164,-0.0223,-0.0174
25,EPS,-5.68,-8.96,-21.14,-51.41,-189.67,-3.59,-1.72,-0.41,-0.25,-0.40,1.82,0.16,0.13,0.10,0.11,0.08,-0.15,0.15,-0.08,-0.15,-0.10
26,EPS Diluted,-5.68,-8.96,-21.14,-51.41,-189.67,-3.59,-1.72,-0.41,-0.25,-0.40,1.69,0.16,0.13,0.09,0.10,0.08,-0.15,0.14,-0.08,-0.15,-0.10
27,Weighted Average Shares Outstanding,1271000,1422000,1418000,1360000,1381000,94207000,155593000,156258000,170314000,209868000,224324000,224264000,211563000,209822000,213147000,215751000,225311000,237499000,242018000,246082000,246082000
28,Weighted Average Shares Outstanding Diluted,1271000,1422000,1418000,1360000,1381000,94207000,155593000,156258000,170314000,209868000,241744000,232633000,220520000,219419000,224110000,231941000,225311000,248892000,242018000,246082000,246082000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1272830/000119312507082917/0001193125-07-082917-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000119312508059036/0001193125-08-059036-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000119312509043745/0001193125-09-043745-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000119312510043170/0001193125-10-043170-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000119312511038059/0001193125-11-038059-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283012000022/0001272830-12-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283013000018/0001272830-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283014000020/0001272830-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283015000025/0001272830-15-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283016000113/0001272830-16-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283017000018/0001272830-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283018000013/0001272830-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283019000051/0001272830-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283020000049/0001272830-20-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283021000087/0001272830-21-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283022000040/0001272830-22-000040-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,43029000,132549000,210253000,71542000,46134000,32213000,78934000,58863000,97110000,84663000,40797000,57726000,29078000,31360000,5057000,23620000,43078000,18342000
32,Short-Term Investments,- -,- -,- -,62739000,133830000,289483000,79942000,- -,- -,- -,- -,- -,- -,7162000,9908000,601000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,105768000,266379000,499736000,151484000,46134000,32213000,78934000,58863000,97110000,84663000,47959000,67634000,29679000,31360000,5057000,23620000,43078000,18342000
34,Net Receivables,- -,- -,- -,2695000,7435000,16544000,20105000,17696000,15053000,15207000,17862000,27015000,27051000,20501000,22026000,39835000,44159000,75342000,101813000,116304000,147622000
35,Inventory,- -,- -,- -,1190000,15687000,24390000,19604000,10360000,7771000,6143000,6715000,5470000,10584000,10081000,5542000,4116000,2971000,1470000,1475000,- -,- -
36,Other Current Assets,- -,- -,- -,6775000,14353000,29102000,40490000,42327000,56422000,23712000,41330000,30253000,32842000,36857000,41605000,28651000,31285000,45885000,46160000,56522000,61349000
37,Total Current Assets,- -,- -,- -,116428000,303854000,569772000,231683000,116517000,111459000,123996000,124770000,159848000,155140000,115398000,136807000,102281000,109775000,127754000,173068000,215904000,227313000
38,PP&E,2892000,5262000,- -,15320000,102729000,131842000,118666000,98292000,90548000,79050000,67978000,60533000,52243000,49630000,49483000,48415000,46754000,49262000,99218000,31621000,56189000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83627000,191262000,222106000,360363000,373764000,598499000,602970000,624328000,615134000
40,Intangible Assets,- -,- -,- -,970000,909000,4300000,7656000,39768000,40871000,- -,54717000,26241000,97407000,78531000,158909000,221227000,195522000,317341000,290205000,204267000,267650000
41,Intangible Assets,- -,- -,- -,970000,909000,4300000,7656000,39768000,40871000,39702000,54717000,26241000,181034000,269793000,381015000,581590000,569286000,915840000,893175000,828595000,882784000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7162000,9908000,601000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306055000,290166000,246539000,227090000,202587000,188966000,110892000,102560000,108347000,- -,109087000
44,Other Non-Current Assets,- -,- -,- -,3775000,39390000,51610000,104292000,82328000,70506000,17644000,12695000,10601000,7793000,6229000,4766000,18569000,21974000,64072000,90892000,- -,112771000
45,Total Non-Current Assets,- -,- -,- -,20065000,143028000,187752000,230614000,220388000,201925000,136396000,441445000,387541000,487609000,559904000,647759000,838141000,748906000,1131734000,1191632000,860216000,1160831000
46,Other Assets,5898000,10583000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5898000,10583000,- -,136493000,446882000,757524000,462297000,336905000,313384000,260392000,566215000,547389000,642749000,675302000,784566000,940422000,858681000,1259488000,1364700000,1076120000,1388144000
48,Accounts Payable,- -,- -,- -,11295000,16467000,58899000,56235000,33978000,11512000,37128000,66214000,74028000,49867000,42564000,42798000,30751000,29766000,53262000,42366000,17464000,39662000
49,Short-Term Debt,- -,- -,- -,5000,773000,1020000,254355000,2555000,2803000,21783000,30437000,30804000,26222000,23365000,19398000,22038000,18890000,10000000,12477000,11554000,10393000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9747000,18207000,17300000,11808000,18976000,13353000,11189000,22922000,25977000,28214000
51,Deferred Revenue,- -,- -,- -,9672000,20449000,38504000,53653000,63155000,55929000,43397000,38778000,37859000,38618000,37453000,34384000,34516000,32565000,56772000,62236000,65506000,65881000
52,Other Current Liabilities,- -,- -,- -,26189000,98035000,161505000,84360000,73482000,69171000,89407000,69526000,53731000,79408000,82313000,94348000,107121000,83256000,84045000,134817000,158080000,182374000
53,Total Current Liabilities,- -,- -,- -,47161000,135724000,259928000,448603000,173170000,139415000,191715000,204955000,196422000,194115000,185695000,190928000,194426000,164477000,204079000,251896000,252604000,298310000
54,Long-Term Debt,- -,- -,- -,- -,247958000,253430000,- -,192747000,200468000,173004000,42500000,14167000,98333000,137000000,195392000,300124000,213765000,509228000,497158000,203946000,468772000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,23058000,8629000,1784000,1203000,730000,436000,855000,851000,450000,30576000,53447000,59464000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,3884000,43258000,60965000,88821000,38672000,56781000,23536000,17990000,14655000,11791000,8255000,8654000,4125000,-23035000,-43034000,-10880000,- -,3341000
58,Total Non-Current Liabilities,- -,- -,- -,3884000,291216000,314395000,88821000,254477000,265878000,198324000,61693000,29552000,110560000,146110000,204897000,304699000,221306000,519641000,545742000,203946000,472113000
59,Other Liabilities,886000,2952000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,744404000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,21658000,23235000,22200000,22199000,20948000,19448000,17665000,15561000,13090000,10201000,7761000,3428000,140000,- -,58199000,42573000,43056000
61,Total Liabilities,886000,2952000,- -,51045000,426940000,574323000,537424000,427647000,405293000,390039000,266648000,225974000,304675000,331805000,395825000,499125000,385783000,723720000,797638000,793062000,770423000
62,Preferred Stock,- -,- -,- -,192521000,388427000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2000,2000,156000,157000,158000,202000,223000,228000,230000,247000,264000,270000,282000,298000,310000,316000,324000,331000
64,Retained Earnings,- -,- -,- -,-120345000,-382284000,-720857000,-988285000,-1052861000,-1088236000,-1171901000,-762857000,-726230000,-697941000,-677675000,-655020000,-637113000,-672561000,-611985000,-631009000,- -,-691718000
65,Other Comprehensive Income/Loss,- -,- -,- -,-61000,-378000,-5853000,-5100000,-908000,456000,1365000,2237000,2572000,519000,-3131000,-1677000,-13594000,14009000,6770000,9329000,35988000,21451000
66,Other Total Stockholders Equity,5012000,- -,- -,13331000,14175000,909755000,918101000,962869000,995669000,1040666000,1059959000,1044843000,1035249000,1024887000,1045168000,1091722000,1131152000,1140673000,1188426000,566462000,- -
67,Total Stockholders Equity,5012000,-8337000,- -,85448000,19942000,183201000,-75127000,-90742000,-91909000,-129647000,299567000,321415000,338074000,344345000,388741000,441297000,472898000,535768000,567062000,602774000,617721000
68,Total Liabilities And Stockholders Equity,5898000,-5385000,- -,136493000,446882000,757524000,462297000,336905000,313384000,260392000,566215000,547389000,642749000,676150000,784566000,940422000,858681000,1259488000,1364700000,1395836000,1388144000
69,Minority Interest,- -,15968000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-848000,- -,- -,- -,- -,- -,-319716000,- -
70,Total Liabilities & Equity,5898000,10583000,- -,136493000,446882000,757524000,462297000,336905000,313384000,260392000,566215000,547389000,642749000,675302000,784566000,940422000,858681000,1259488000,1364700000,1076120000,1388144000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1272830/000119312507082917/0001193125-07-082917-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000119312508059036/0001193125-08-059036-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000119312509043745/0001193125-09-043745-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000119312510043170/0001193125-10-043170-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000119312511038059/0001193125-11-038059-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283012000022/0001272830-12-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283013000018/0001272830-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283014000020/0001272830-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283015000025/0001272830-15-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283016000113/0001272830-16-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283017000018/0001272830-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283018000013/0001272830-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283019000051/0001272830-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283020000049/0001272830-20-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283021000087/0001272830-21-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283022000040/0001272830-22-000040-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-7217000,-12742000,- -,-69921000,-261334000,-338573000,-267428000,-64576000,-42598000,-83665000,409044000,36627000,28289000,20266000,22655000,17907000,-33933000,35728000,-19482000,-27778000,-24497000
74,Depreciation and Amortization,550000,1114000,- -,3907000,11197000,25676000,40407000,52731000,53391000,53073000,37051000,33324000,36066000,51407000,62024000,72285000,72311000,70901000,86256000,34378000,88780000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-325601000,19488000,16795000,19128000,13949000,7302000,74577000,-4809000,-13411000,-352000,-599000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,12238000,8473000,8255000,14279000,11975000,17843000,21070000,27541000,40682000,37482000,33799000,45242000,- -,79900000
77,Change in Working Capital,- -,- -,- -,69267000,98863000,141714000,-526764000,160267000,28697000,-39763000,-12466000,43611000,-2401000,-31322000,16176000,-38024000,37443000,-21623000,-2503000,42128000,-23067000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,2030000,2930000,573000,-2663000,-3461000,1236000,4887000,185000,-9642000,-7253000,-20485000,-29139000,-14018000,-38920000
79,Inventory,- -,- -,- -,-1289000,-15130000,-10133000,2196000,7472000,203000,-568000,-1362000,748000,-5835000,36000,2815000,800000,789000,1233000,27000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-22029000,-22595000,25606000,29090000,7801000,-26335000,-8454000,-3830000,-13604000,-664000,20099000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,69267000,168130000,309844000,-216920000,-56653000,-27956000,-67719000,-80185000,-36574000,-38975000,-70297000,-54121000,-92145000,-54702000,-76325000,-78828000,-36700000,-36740000
82,Other Non-Cash Items,383000,488000,- -,-41853000,-38491000,-17715000,482859000,-160005000,-9567000,256312000,24479000,-25182000,-8349000,11993000,-12614000,-13140000,-59822000,9209000,-3176000,35504000,38194000
83,Cash Provided by Operating Activities,-6284000,-11140000,- -,-38600000,-189765000,-188898000,-270926000,655000,38396000,194212000,146786000,119843000,88243000,92542000,129731000,87012000,128058000,123205000,92926000,83880000,158711000
84,CAPEX,- -,- -,- -,-10867000,-76261000,-54664000,-47231000,-38476000,-46628000,-40386000,-38653000,-26750000,-22180000,-24255000,-34006000,-37734000,-33289000,-26746000,-49079000,- -,-55975000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100057000,-88098000,-116927000,-163093000,1950000,-380484000,-3000000,- -,-7000000
86,Purchases of Investments,- -,- -,- -,-68798000,-295341000,-639707000,-236875000,-21375000,- -,- -,- -,- -,- -,-7170000,-9982000,-5664000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,6050000,224249000,484116000,446949000,101317000,- -,- -,- -,- -,- -,- -,7223000,14991000,602000,- -,- -,- -,- -
88,Other Investing Activites,-2812000,-4935000,- -,-92000,-7285000,-543000,-31386000,-980000,-3937000,35700000,1049000,1278000,1252000,995000,996000,767000,- -,- -,- -,-41723000,-55719000
89,Cash Used for Investing Activites,-2812000,-4935000,- -,-73707000,-154638000,-210798000,131457000,40486000,-50565000,-4686000,-37604000,-25472000,-120985000,-118528000,-152696000,-190733000,-30737000,-407230000,-52079000,-52723000,-62719000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-288788000,-3060000,-43292000,-232003000,-30437000,-26805000,-44555000,-51049000,-81395000,-107538000,-320328000,-443500000,-80000000,-85000000
91,Common Stock Issued,- -,- -,- -,140820000,195793000,493471000,817000,71000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-11723000,- -,- -,- -,- -,- -,-27545000,-56294000,-49338000,-15911000,-32902000,-9542000,- -,-10000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,11134000,14804000,- -,274000,238213000,-4319000,-572000,223247000,-193000,-100470000,101865000,1725000,104990000,79654000,107165000,188795000,20838000,578540000,431579000,69150000,-32257000
95,Cash Used/Provided by Financing Activities,11134000,14804000,- -,141094000,434006000,477429000,245000,-65470000,-3253000,-143762000,-130138000,-56257000,21891000,-14239000,40205000,74498000,-96242000,258212000,-21921000,-10850000,-117257000
96,Effect of Forex Changes on Cash,- -,- -,- -,-3000,-83000,-29000,513000,-1079000,1501000,957000,885000,133000,-1596000,-3641000,-311000,575000,1319000,-410000,-395000,-945000,-3423000
97,Net Change In Cash,- -,- -,- -,28784000,89520000,77704000,-138711000,-25408000,-13921000,46721000,-20071000,38247000,-12447000,-43866000,16929000,-28648000,2398000,-26223000,18531000,19362000,-24688000
98,Cash at the End of Period,- -,- -,- -,43029000,132549000,210253000,71542000,46134000,32213000,78934000,58863000,97110000,84663000,40797000,57726000,29078000,33327000,7104000,25635000,44997000,20309000
99,Cash at the Beginning of Period,- -,- -,- -,14245000,43029000,132549000,210253000,71542000,46134000,32213000,78934000,58863000,97110000,84663000,40797000,57726000,30929000,33327000,7104000,25635000,44997000
100,Free Cash Flow,-6284000,-11140000,- -,-49467000,-266026000,-243562000,-318157000,-37821000,-8232000,153826000,108133000,93093000,66063000,68287000,95725000,49278000,94769000,96459000,43847000,83880000,102736000
101,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1272830/000119312507082917/0001193125-07-082917-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000119312508059036/0001193125-08-059036-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000119312509043745/0001193125-09-043745-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000119312510043170/0001193125-10-043170-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000119312511038059/0001193125-11-038059-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283012000022/0001272830-12-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283013000018/0001272830-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283014000020/0001272830-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283015000025/0001272830-15-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283016000113/0001272830-16-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283017000018/0001272830-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283018000013/0001272830-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283019000051/0001272830-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283020000049/0001272830-20-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283021000087/0001272830-21-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1272830/000127283022000040/0001272830-22-000040-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
