,https://roic.ai/company/ALX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,23000000,5000000,- -,- -,24998000,- -,- -,- -,- -,- -,9506000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-5100000,-3200000,-11000000,-62800000,-21000000,-16900000,-40200000,-47600000,-65636000,-22995000,-114028000,-218604000,-138942000,337516000,-9608000,-111612000,2916000,-71427000,5917000,-3202000,705077000,-7320000,-56522000,-50826000,-15951000,-201971000,-1137000,-9449000,-32460000,65951000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-5100000,-3200000,-11000000,-62800000,-21000000,-16900000,-40200000,-47600000,-65636000,-22995000,-114028000,-218604000,-138942000,337516000,-9608000,-111612000,-131638000,-201282000,-19393000,383000,710077000,-7320000,-81520000,-25828000,-15951000,-201971000,-1137000,-9449000,-32460000,75457000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-2400000,-2300000,-800000,-39900000,-1100000,-1100000,-42600000,-85600000,-7158000,-149337000,-28024000,-2721000,-256755000,-217895000,-10967000,-14087000,-14851000,-105398000,-68676000,-508479000,-265016000,-15957000,-317179000,-323193000,-3440000,-303707000,-160142000,- -,-50000000,-68000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35571000,- -,-38295000,-61277000,-699791000,-56197000,-66436000,-71571000,-81822000,-86961000,-92100000,-92124000,-92168000,-92220000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,10000000,- -,8100000,142100000,10600000,16600000,90000000,134100000,38272000,295479000,44390000,190399000,475382000,336030000,841000,44122000,128510000,163895000,34828000,586258000,-8200000,-87000,295745000,345925000,-30000,487814000,76057000,-15000,232462000,-74000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,7600000,-2300000,7300000,102200000,9500000,15500000,47400000,48500000,31114000,146142000,16366000,187678000,218627000,118135000,-10126000,30035000,78088000,58497000,-72143000,16502000,-973007000,-72241000,-87870000,-48839000,-85292000,97146000,-176185000,-92139000,90294000,-160294000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,100000,-2300000,-4700000,6100000,-3000000,-2800000,12700000,10700000,-23781000,132986000,-90019000,-23903000,107538000,449532000,37110000,-55285000,-44291000,-103206000,-15514000,109399000,-153223000,-5678000,-119903000,31534000,29577000,18601000,-103784000,24482000,135900000,33628000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,8500000,5500000,2700000,15400000,26100000,2272000,135258000,45239000,21336000,128874000,578406000,615516000,560231000,515940000,412734000,397220000,506619000,353396000,347718000,227815000,259349000,288926000,393279000,289495000,313977000,449877000,483505000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,13500000,28700000,7100000,2400000,8500000,5500000,2700000,15400000,26053000,2272000,135258000,45239000,21336000,128874000,578406000,615516000,560231000,515940000,412734000,397220000,506619000,353396000,347718000,227815000,259349000,374678000,393279000,289495000,313977000,449877000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,-400000,-18600000,-12300000,-79100000,-23700000,-22100000,-13900000,-26500000,-67190000,-38651000,-125607000,-208135000,-118379000,-116600000,48154000,-84015000,-125295000,-35276000,33712000,78099000,109707000,73883000,49487000,106201000,130820000,123426000,73538000,126070000,78066000,118465000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3499/000095012305002232/0000950123-05-002232-index.htm,https://www.sec.gov/Archives/edgar/data/3499/000104746906002476/a2167884z10-k.htm,https://www.sec.gov/Archives/edgar/data/3499/000000349907000009/alx10k.htm,https://www.sec.gov/Archives/edgar/data/3499/000000349908000003/alx_10k-022408.htm,https://www.sec.gov/Archives/edgar/data/3499/000000349909000002/0000003499-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/3499/000000349910000002/0000003499-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/3499/000000349911000003/alx10k2010.htm,https://www.sec.gov/Archives/edgar/data/3499/000000349912000005/0000003499-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/3499/000000349913000006/0000003499-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/3499/000000349914000005/alx201310k.htm,https://www.sec.gov/Archives/edgar/data/3499/000000349915000003/alx201410k.htm,https://www.sec.gov/Archives/edgar/data/3499/000000349916000034/0000003499-16-000034-index.html,https://www.sec.gov/Archives/edgar/data/3499/000000349917000004/0000003499-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/3499/000000349918000006/0000003499-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/3499/000000349919000004/0000003499-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/3499/000000349920000005/0000003499-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/3499/000000349921000005/0000003499-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/3499/000000349922000004/0000003499-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
