,https://roic.ai/company/RS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,- -,- -,- -,391200000,583900000,841400000,900000000,997243000,1082293000,1139247000,1369424000,1563331000,1769070000,3614173000,3983477000,5195485000,4306777000,4668893000,5605900000,5857700000,7341000000,7836600000,7121600000,7411300000,7751000000,8044900000,8131100000,8106800000,9536000000
48,Accounts Payable,- -,- -,- -,50300000,82900000,91600000,104000000,82616000,69870000,77511000,98438000,140323000,188584000,340356000,333986000,248312000,169113000,244988000,335200000,255600000,280300000,286500000,247000000,302200000,346700000,338800000,275000000,259300000,453900000
49,Short-Term Debt,- -,- -,- -,2500000,100000,100000,200000,150000,10325000,325000,22400000,46400000,50061000,22816000,72456000,93877000,86383000,86232000,12200000,83600000,36500000,93900000,500800000,82500000,92000000,65200000,64900000,6000000,63600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82949000,3534000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,455000000,- -
52,Other Current Liabilities,- -,- -,- -,21300000,25800000,37400000,51700000,60971000,57807000,65088000,81986000,102057000,95174000,187567000,193422000,225027000,158539000,177375000,229000000,239000000,256600000,282400000,241900000,271300000,265000000,295100000,335400000,-107300000,547500000
53,Total Current Liabilities,- -,- -,- -,74100000,108800000,129100000,155900000,143737000,138002000,142924000,202824000,288780000,333819000,550739000,599864000,650165000,417569000,508595000,576400000,578200000,573400000,662800000,989700000,656000000,703700000,699100000,675300000,613000000,1065000000
54,Long-Term Debt,- -,- -,- -,107500000,143400000,343300000,318100000,421825000,331975000,344080000,469250000,380850000,301275000,1083095000,1008765000,1671732000,849375000,855085000,1319000000,1123800000,2072500000,2222300000,1427900000,1846700000,1809400000,2138500000,1523600000,1638900000,1804500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,16900000,18500000,23200000,25700000,28642000,28433000,31672000,40349000,55613000,65808000,181628000,200181000,340326000,335897000,372563000,439800000,466300000,690800000,692900000,627100000,626900000,440800000,440100000,469300000,455600000,484800000
