,https://roic.ai/company/ULH,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,157591000,204927000,230693000,252426000,637623000,945304000,640193000,694689000,690111000,459515000,556166000,675380000,967849000,948999000,1110686000,1055378000,1026171000,1191451000,1377914000,1446618000,1310724000,1648020000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,150000,90000,136000,80000,241000,130000,46000,55000,157000,92000,76000,73000,47000,43000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,138000,356000,16000,22000,4224000,4166000,8229000,9235000,8266000,9538000,14669000,17085000,14626000,11642000
14,Depreciation and Amortization,62000,309000,-2410000,-2863000,3913000,4344000,5730000,8163000,9638000,10354000,10996000,11636000,18237000,19686000,33053000,34873000,36702000,46995000,54425000,74765000,74141000,67537000
15,EBITDA,-157529000,-204618000,9593000,10958000,21688000,32435000,39863000,37133000,34031000,18730000,32468000,37885000,90413000,104768000,114381000,109113000,84373000,73674000,138483000,142036000,152677000,177760000
16,EBITDA ratio,-Infinity,-Infinity,0.0379,0.0395,0.0599,0.0610,0.0621,0.0546,0.0448,0.0372,0.0536,0.0541,0.0872,0.1014,0.0960,0.0967,0.0787,0.0606,0.0947,0.0939,0.1098,0.1015
17,Operating Income,6323000,8367000,- -,- -,18552000,27666000,33090000,28026000,26630000,9019000,15367000,24391000,69157000,84493000,80835000,73395000,46580000,25214000,83794000,65380000,80359000,102960000
18,Operating Income ratio,Infinity,Infinity,- -,- -,0.0512,0.0521,0.0516,0.0412,0.0351,0.0179,0.0254,0.0349,0.0667,0.0818,0.0678,0.0650,0.0434,0.0207,0.0573,0.0432,0.0578,0.0588
19,Total Other Income Expenses (Gains),60000,30000,-10116000,-11451000,-777000,425000,1043000,944000,-2375000,-999000,6089000,1836000,-1205000,-3577000,-7736000,-8390000,-7175000,-8073000,-14405000,-15194000,-16449000,-4379000
20,Income Before Tax,6383000,8397000,12003000,13821000,17775000,28091000,34133000,28970000,24255000,8020000,21456000,26227000,67952000,80916000,73099000,65005000,39405000,17141000,69389000,50186000,63910000,98581000
21,Income Before Tax Ratio,Infinity,Infinity,0.0475,0.0498,0.0491,0.0529,0.0532,0.0426,0.0319,0.0159,0.0354,0.0375,0.0655,0.0783,0.0613,0.0576,0.0367,0.0141,0.0475,0.0332,0.0459,0.0563
22,Income Tax expense (Gain),- -,- -,4530000,5103000,6657000,10924000,13124000,11134000,9369000,3120000,8712000,10414000,20264000,30344000,27729000,25004000,15161000,-11012000,17211000,12600000,15778000,24848000
23,Net Income,3924000,5165000,7473000,8718000,11118000,17167000,21009000,17836000,14886000,4900000,12744000,15813000,47688000,50572000,45370000,40001000,24244000,28153000,52178000,37586000,48132000,73733000
24,Net Income ratio,Infinity,Infinity,0.0296,0.0314,0.0307,0.0323,0.0327,0.0262,0.0196,0.0097,0.0210,0.0226,0.0460,0.0489,0.0381,0.0354,0.0226,0.0231,0.0357,0.0249,0.0346,0.0421
25,EPS,0.37,0.49,0.71,0.87,1.11,1.12,1.30,1.11,0.93,0.31,0.80,1.01,1.59,1.68,1.51,1.37,0.85,0.99,1.84,1.34,1.78,2.73
26,EPS Diluted,0.37,0.49,0.71,0.87,1.11,1.12,1.30,1.11,0.93,0.31,0.80,1.01,1.59,1.68,1.51,1.37,0.85,0.99,1.84,1.34,1.78,2.73
27,Weighted Average Shares Outstanding,10550000,10550000,10550000,10023000,10023000,15372000,16118000,16115000,16073000,15982000,15917000,15594000,30032000,30064000,30013000,29233000,28411000,28425000,28384000,28069000,26997000,26997000
28,Weighted Average Shares Outstanding Diluted,10550000,10550000,10550000,10023000,10023000,15372000,16159000,16122000,16077000,15982000,15917000,15594000,30036000,30160000,30044000,29235000,28411000,28428000,28385000,28070000,27000000,27000000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308208/000119312506058799/0001193125-06-058799-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312507058528/0001193125-07-058528-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312508054209/0001193125-08-054209-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312509053874/0001193125-09-053874-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312510057003/0001193125-10-057003-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312511067351/0001193125-11-067351-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312512117205/0001193125-12-117205-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312513112236/0001193125-13-112236-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312514100166/0001193125-14-100166-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312515093987/0001193125-15-093987-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459016014848/0001564590-16-014848-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459017004435/0001564590-17-004435-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459018006046/0001564590-18-006046-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459019008323/0001564590-19-008323-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459020011172/0001564590-20-011172-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459021013627/0001564590-21-013627-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459022010645/0001564590-22-010645-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,798000,423000,904000,10442000,5008000,5416000,28767000,953000,6261000,878000,2554000,10223000,8001000,12930000,1755000,1672000,5727000,7726000,8763000,13932000
32,Short-Term Investments,- -,- -,- -,- -,- -,14356000,15330000,17961000,8808000,15721000,15041000,16059000,9962000,11626000,14309000,13431000,14359000,15144000,9333000,9369000,6534000,8031000
33,Cash and Short-Term Investments,- -,- -,798000,423000,904000,24798000,20338000,23377000,37575000,16674000,21302000,16937000,12516000,21849000,22310000,26361000,16114000,16816000,15060000,17095000,15297000,21963000
34,Net Receivables,- -,- -,37415000,43216000,61707000,72330000,82510000,86670000,70590000,63352000,68913000,75216000,139209000,152250000,166525000,158621000,162663000,191232000,240368000,231304000,282800000,368523000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8250000,8622000,8617000,5342000,6751000,7163000,- -,- -
36,Other Current Assets,- -,- -,1771000,3055000,5991000,10811000,8720000,8204000,9948000,9598000,11282000,17187000,17413000,29290000,19195000,15927000,20057000,15276000,13079000,16281000,23427000,30209000
37,Total Current Assets,- -,- -,39984000,46694000,68602000,107939000,111568000,118251000,118113000,89624000,101497000,109340000,169138000,203389000,216280000,209531000,207451000,228666000,275258000,271843000,321524000,420695000
38,PP&E,- -,- -,12614000,17189000,23831000,34800000,51286000,57149000,61334000,76246000,78206000,89985000,127791000,142656000,178069000,177189000,246277000,267195000,303234000,427032000,462615000,451442000
39,Goodwill,- -,- -,- -,- -,3192000,4748000,10179000,11031000,11891000,14226000,17231000,17722000,17965000,74589000,74484000,74484000,74484000,74484000,145152000,168451000,170730000,170730000
40,Intangible Assets,- -,- -,1021000,1031000,8656000,8630000,16684000,17121000,16682000,14564000,11977000,9490000,7163000,62807000,53820000,44665000,37189000,31259000,113775000,116111000,102236000,88349000
41,Intangible Assets,- -,- -,1021000,1031000,11848000,13378000,26863000,28152000,28573000,28790000,29208000,27212000,25128000,137396000,128304000,119149000,111673000,105743000,258927000,284562000,272966000,259079000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,586000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164000,4154000,2549000,1460000,2159000,2060000
44,Other Non-Current Assets,- -,- -,5000000,1926000,417000,1961000,1183000,3636000,3527000,6951000,3137000,2407000,5312000,6695000,6361000,5129000,4892000,4834000,3179000,3100000,3785000,4215000
45,Total Non-Current Assets,- -,- -,18635000,20146000,36682000,50139000,79332000,88937000,93434000,111987000,110551000,119604000,158231000,286747000,312734000,301467000,363006000,381926000,567889000,716154000,741525000,716796000
46,Other Assets,30711000,39100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30711000,39100000,58619000,66840000,105284000,158078000,190900000,207188000,211547000,201611000,212048000,228944000,327369000,490136000,529014000,510998000,570457000,610592000,843147000,987997000,1063049000,1137491000
48,Accounts Payable,- -,- -,8504000,12174000,22529000,28268000,30156000,29975000,20219000,25100000,23773000,33783000,55248000,46487000,57448000,46347000,65945000,84380000,92019000,91909000,97916000,117837000
49,Short-Term Debt,- -,- -,9825000,15035000,33888000,- -,- -,- -,- -,- -,- -,- -,- -,7074000,10644000,62404000,34555000,40870000,51903000,86960000,81633000,85726000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,365000,- -,- -,- -,4779000,6893000,8995000,8715000,3685000,6204000,12405000,- -,23156000,11455000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,10578000,6536000,61103000,13316000,19561000,18468000,19821000,15205000,18521000,21867000,48469000,47409000,45941000,45353000,44016000,73820000,77247000,72706000,93258000,109146000
53,Total Current Liabilities,- -,- -,28907000,33745000,117520000,41584000,49717000,48443000,40040000,40305000,42294000,55650000,103717000,100970000,114033000,154104000,144516000,199070000,221169000,251575000,272807000,312709000
54,Long-Term Debt,- -,- -,1911000,1609000,4110000,- -,1000000,910000,820000,730000,- -,- -,146000000,232018000,225705000,173425000,226812000,207108000,348549000,459810000,478500000,452172000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,484000,- -,- -,2385000,3958000,5146000,5351000,5823000,5425000,9853000,15599000,43748000,45883000,46840000,47819000,32361000,59228000,65692000,64426000,61250000
57,Other Non-Current Liabilities,- -,- -,- -,- -,479000,937000,1772000,1247000,859000,328000,118000,1305000,4681000,7835000,6232000,5548000,3578000,3288000,4902000,5703000,7743000,9150000
58,Total Non-Current Liabilities,- -,- -,2395000,1609000,4589000,3322000,6730000,7303000,7030000,6881000,5543000,11158000,166280000,283601000,277820000,225813000,278209000,242757000,412679000,531205000,550669000,522572000
59,Other Liabilities,7485000,8664000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4643000,3031000,1981000,192000,- -,- -,89158000,100013000,110550000
61,Total Liabilities,7485000,8664000,31302000,35354000,122109000,44906000,56447000,55746000,47070000,47186000,47837000,66808000,269997000,384571000,391853000,379917000,422725000,441827000,633848000,782780000,823476000,835281000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,10023000,10023000,10023000,16118000,16118000,16122000,- -,- -,- -,- -,30685000,30746000,30857000,30885000,30919000,30943000,30967000,30972000,30981000,30988000
64,Retained Earnings,- -,- -,1423000,5592000,- -,17167000,38176000,56012000,70898000,59815000,72559000,72817000,34589000,80952000,117913000,149743000,166033000,186226000,231525000,251204000,293643000,356071000
65,Other Comprehensive Income/Loss,- -,- -,-10596000,-14502000,-17388000,81000,353000,-20439000,-754000,632000,2241000,1608000,864000,2115000,896000,-2443000,-2627000,-713000,-4961000,-4010000,-7150000,-7103000
66,Other Total Stockholders Equity,23226000,30436000,26467000,30373000,-9460000,79806000,79806000,99747000,94579000,93610000,89652000,87319000,-8766000,-8248000,-12505000,-47104000,-46593000,-47691000,-48232000,-72949000,-77901000,-77746000
67,Total Stockholders Equity,23226000,30436000,27317000,31486000,-16825000,113172000,134453000,151442000,164477000,154425000,164211000,162136000,57372000,105565000,137161000,131081000,147732000,168765000,209299000,205217000,239573000,302210000
68,Total Liabilities And Stockholders Equity,30711000,39100000,58619000,66840000,105284000,158078000,190900000,207188000,211547000,201611000,212048000,228944000,327369000,490136000,529014000,510998000,570457000,610592000,843147000,987997000,1063049000,1137491000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,30711000,39100000,58619000,66840000,105284000,158078000,190900000,207188000,211547000,201611000,212048000,228944000,327369000,490136000,529014000,510998000,570457000,610592000,843147000,987997000,1063049000,1137491000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308208/000119312506058799/0001193125-06-058799-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312507058528/0001193125-07-058528-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312508054209/0001193125-08-054209-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312509053874/0001193125-09-053874-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312510057003/0001193125-10-057003-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312511067351/0001193125-11-067351-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312512117205/0001193125-12-117205-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312513112236/0001193125-13-112236-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312514100166/0001193125-14-100166-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312515093987/0001193125-15-093987-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459016014848/0001564590-16-014848-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459017004435/0001564590-17-004435-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459018006046/0001564590-18-006046-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459019008323/0001564590-19-008323-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459020011172/0001564590-20-011172-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459021013627/0001564590-21-013627-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459022010645/0001564590-22-010645-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3924000,5165000,7473000,8718000,11118000,17167000,21009000,17836000,14886000,4900000,12744000,15813000,47688000,50572000,45370000,40001000,24244000,28153000,52178000,37586000,48132000,73733000
74,Depreciation and Amortization,62000,309000,-2410000,-2863000,3913000,4344000,5730000,8163000,9638000,10354000,10996000,11636000,18237000,19686000,33053000,34873000,36702000,46995000,54425000,74765000,74141000,67537000
75,Deferred Income Tax,- -,- -,633000,52000,-158000,118000,332000,1730000,-1964000,1603000,-740000,4712000,4389000,2495000,1433000,478000,6610000,-19014000,6583000,7161000,-3278000,-3197000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,586000,585000,1485000,494000,571000,414000,413000,73000,195000,162000
77,Change in Working Capital,- -,- -,11077000,1872000,-61867000,115273000,-4504000,7957000,8265000,-28754000,9884000,-5513000,11731000,36998000,-172000,-46820000,7508000,-33339000,24493000,6674000,-27621000,-60456000
78,Accounts Receivable,- -,- -,-4303000,-7466000,-9808000,-13695000,-10784000,-5759000,- -,- -,-7706000,-7632000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,4554000,5054000,6507000,3869000,7606000,-1017000,- -,- -,- -,- -,7922000,-15152000,13027000,-11695000,18003000,40633000,-2139000,-13791000,26729000,36635000
81,Other Working Capital,- -,- -,11077000,12949000,-48918000,66355000,61851000,69808000,78073000,49319000,59203000,53690000,65421000,102419000,102247000,55427000,62935000,29596000,54089000,623000,2728000,1163000
82,Other Non-Cash Items,-3986000,-5474000,-5733000,6181000,58285000,-124104000,5694000,-15475000,3692000,34814000,-20386000,7515000,-12228000,-52746000,-1777000,49278000,-7006000,60640000,-43191000,1777000,7767000,5501000
83,Cash Provided by Operating Activities,- -,- -,11040000,13960000,11291000,12798000,28261000,20211000,34517000,22917000,12498000,34163000,70403000,57590000,79392000,78304000,68629000,83849000,94901000,128036000,99336000,83280000
84,CAPEX,-209000,-139000,-11369000,-3643000,-5096000,-12415000,-15530000,-14774000,-10108000,-22262000,-10256000,-21044000,-29566000,-17035000,-59784000,-26257000,-97351000,-63360000,-66585000,-79753000,-90710000,-38841000
85,Acquisitions Net,- -,- -,- -,-250000,-14919000,-1448000,-19081000,-2811000,-5047000,-6662000,-673000,-1050000,-850000,-121057000,-2648000,- -,- -,- -,-173599000,-75963000,-1295000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-14218000,-26539000,-15593000,-12485000,-6004000,-2582000,-3383000,-19000,-24000,-2063000,-1159000,-17000,-401000,-1228000,-92000,-361000,-114000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,31100000,12410000,17278000,93000,11364000,2398000,7500000,520000,- -,441000,866000,1261000,5733000,1596000,1622000,117000
88,Other Investing Activites,- -,- -,-5000000,-14350000,-5682000,1116000,455000,1333000,-9689000,-21820000,-9818000,-20067000,-28579000,-15245000,-58458000,-25441000,-94925000,-62149000,-60105000,-68601000,-86521000,-33236000
89,Cash Used for Investing Activites,- -,- -,-16369000,-18243000,-25608000,-26176000,-29595000,-19435000,-9943000,-34393000,-1709000,-22102000,-21948000,-135806000,-63169000,-26159000,-94076000,-61289000,-229199000,-143060000,-86555000,-33233000
90,Debt Repayment,- -,- -,-1323000,-1829000,-2786000,-37998000,- -,- -,- -,- -,-914000,-189000,-113932000,-52260000,-141070000,-337771000,-297677000,-369238000,-589916000,-379378000,-457910000,-457698000
91,Common Stock Issued,- -,- -,- -,- -,- -,113367000,- -,112000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-1000000,- -,-2453000,- -,-480000,-1223000,-355000,-4567000,-1700000,-991000,-6000,-5631000,-35065000,-26000,-1488000,-930000,-24785000,-5138000,- -
93,Dividends Paid,- -,- -,- -,- -,-3194000,- -,- -,- -,- -,-15983000,- -,-15555000,-111484000,-4209000,-8409000,-8171000,-7954000,-7960000,-10930000,-15042000,-5731000,-11305000
94,Other Financing Activites,- -,- -,7009000,6737000,20778000,-50000000,1000000,- -,- -,- -,- -,- -,174913000,142464000,137519000,334837000,319771000,355527000,740603000,435952000,459829000,424445000
95,Cash Used/Provided by Financing Activities,- -,- -,5686000,3908000,14798000,22916000,1000000,-368000,-1223000,-16338000,-5481000,-17444000,-51494000,85989000,-17591000,-46170000,14114000,-23159000,138827000,16747000,-8950000,-44558000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82000,-104000,-854000,-1046000,158000,516000,-474000,276000,-2794000,-320000
97,Net Change In Cash,- -,- -,357000,-375000,481000,9538000,-334000,408000,23351000,-27814000,5308000,-5383000,-2957000,7669000,-2222000,4929000,-11175000,-83000,4055000,1999000,1037000,5169000
98,Cash at the End of Period,- -,- -,798000,423000,904000,10442000,5008000,5416000,28767000,953000,6261000,878000,2554000,10223000,8001000,12930000,1755000,1672000,5727000,7726000,8763000,13932000
99,Cash at the Beginning of Period,- -,- -,441000,798000,423000,904000,5342000,5008000,5416000,28767000,953000,6261000,5511000,2554000,10223000,8001000,12930000,1755000,1672000,5727000,7726000,8763000
100,Free Cash Flow,- -,- -,-329000,10317000,6195000,383000,12731000,5437000,24409000,655000,2242000,13119000,40837000,40555000,19608000,52047000,-28722000,20489000,28316000,48283000,8626000,44439000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308208/000119312506058799/0001193125-06-058799-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312507058528/0001193125-07-058528-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312508054209/0001193125-08-054209-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312509053874/0001193125-09-053874-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312510057003/0001193125-10-057003-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312511067351/0001193125-11-067351-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312512117205/0001193125-12-117205-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312513112236/0001193125-13-112236-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312514100166/0001193125-14-100166-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000119312515093987/0001193125-15-093987-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459016014848/0001564590-16-014848-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459017004435/0001564590-17-004435-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459018006046/0001564590-18-006046-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459019008323/0001564590-19-008323-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459020011172/0001564590-20-011172-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459021013627/0001564590-21-013627-index.htm,https://www.sec.gov/Archives/edgar/data/1308208/000156459022010645/0001564590-22-010645-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
