,https://roic.ai/company/REV,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-41700000,17800000,43600000,-143200000,-371500000,-130600000,-153700000,-286500000,-153800000,-142500000,-83700000,-251300000,-16100000,57900000,48800000,327300000,53400000,51100000,-5800000,40900000,56100000,-21900000,-183200000,-294200000,-157700000,-619000000,- -
24,Net Income ratio,-0.0215,0.0082,0.0182,-0.0636,-0.1996,-0.0876,-0.1163,-0.2559,-0.1184,-0.1099,-0.0628,-0.1887,-0.0115,0.0430,0.0377,0.2477,0.0387,0.0358,-0.0039,0.0211,0.0293,-0.0094,-0.0680,-0.1147,-0.0652,-0.3251,- -
25,EPS,-9.70,3.60,8.50,-28.00,-72.50,-25.40,-29.40,-54.90,-24.70,-4.70,-2.30,-6.20,-0.30,1.13,0.95,6.31,1.02,0.98,-0.11,0.78,1.07,-0.42,-3.48,-5.57,-2.97,-11.59,-12.49
26,EPS Diluted,-9.70,3.60,8.50,-28.00,-72.50,-25.40,-29.40,-54.90,-24.70,-4.70,-2.30,-6.20,-0.30,1.13,0.94,6.26,1.02,0.98,-0.11,0.78,1.07,-0.42,-3.48,-5.57,-2.97,-11.59,-12.49
27,Weighted Average Shares Outstanding,4298969,4968750,5113144,5121799,5124022,5133364,5219934,5219946,6232772,30105333,37113230,40454272,50437264,51248710,51552213,51892824,52173906,52348636,52356798,52359897,52431193,52504196,52597582,52797686,53081321,53401324,54025861
28,Weighted Average Shares Outstanding Diluted,4298969,4968750,5154431,5121799,5124022,5133364,5219934,5219946,6232772,30105333,37113230,40454272,50437264,51311010,51725485,52302636,52331807,52356882,52357729,52423939,52591545,52504196,52597582,52797686,53081321,53401324,54025861
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/887921/000095013604000493/file001.htm,https://www.sec.gov/Archives/edgar/data/887921/000095013605001259/file001.htm,https://www.sec.gov/Archives/edgar/data/887921/000095013606001563/file001.htm,https://www.sec.gov/Archives/edgar/data/887921/000095013607001601/file1.htm,https://www.sec.gov/Archives/edgar/data/887921/000095013608001174/file1.htm,https://www.sec.gov/Archives/edgar/data/887921/000095012309003443/0000950123-09-003443-index.html,https://www.sec.gov/Archives/edgar/data/887921/000095012310017173/0000950123-10-017173-index.html,https://www.sec.gov/Archives/edgar/data/887921/000095012311014964/y04550e10vk.htm,https://www.sec.gov/Archives/edgar/data/887921/000119312512065310/0001193125-12-065310-index.html,https://www.sec.gov/Archives/edgar/data/887921/000119312513055685/0001193125-13-055685-index.html,https://www.sec.gov/Archives/edgar/data/887921/000088792114000003/rev-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/887921/000088792115000002/rev-201410xk.htm,https://www.sec.gov/Archives/edgar/data/887921/000088792116000017/0000887921-16-000017-index.html,https://www.sec.gov/Archives/edgar/data/887921/000088792117000004/0000887921-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/887921/000088792118000003/0000887921-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/887921/000088792119000004/0000887921-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/887921/000088792120000006/0000887921-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/887921/000088792121000003/0000887921-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/887921/000088792122000004/0000887921-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,39200000,38600000,42800000,34700000,25400000,56300000,103300000,85800000,56500000,120800000,32500000,35400000,46800000,52800000,54500000,76700000,101700000,116300000,244100000,275300000,326900000,186800000,87100000,87300000,104300000,97100000,102000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,39200000,38600000,42800000,34700000,25400000,56300000,105500000,85800000,56500000,120800000,32500000,35400000,46800000,52800000,54500000,76700000,101700000,116300000,244100000,275300000,326900000,186800000,87100000,87300000,104300000,97100000,102000000
34,Net Receivables,362100000,426300000,493900000,536000000,332600000,220300000,203900000,212300000,182500000,200600000,282200000,207800000,202700000,169900000,181700000,197500000,212000000,216000000,253500000,238900000,244900000,423900000,444800000,431300000,463800000,388400000,- -
35,Inventory,277800000,281000000,349300000,264100000,278300000,184700000,157900000,128100000,142700000,154700000,220600000,186500000,169100000,154200000,119200000,115000000,111000000,114700000,175000000,156600000,183800000,424600000,497900000,523200000,448400000,462600000,- -
36,Other Current Assets,62400000,74500000,97500000,69900000,51300000,66100000,45600000,39600000,33900000,69700000,56700000,58300000,52600000,51600000,48200000,86900000,94000000,94200000,126500000,103000000,111300000,88800000,113400000,152000000,94900000,98300000,47500000
37,Total Current Assets,741500000,820400000,983500000,904700000,687600000,527400000,512900000,465800000,415600000,545800000,592000000,488000000,471200000,428500000,403600000,476100000,518700000,541200000,799100000,773800000,866900000,1124100000,1143200000,1193800000,1111400000,1046400000,- -
38,PP&E,366600000,381100000,378200000,378900000,336400000,221700000,142800000,133400000,132100000,118700000,119700000,115300000,113700000,112800000,111700000,106200000,98900000,99500000,195900000,212000000,215300000,320500000,372700000,354500000,408600000,352000000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186200000,186200000,182600000,182600000,182700000,194700000,217800000,474700000,464100000,469700000,689500000,692500000,673900000,673700000,563700000,- -
40,Intangible Assets,285700000,280600000,329200000,372900000,356800000,206100000,198500000,185900000,186100000,186100000,186000000,- -,- -,- -,- -,- -,- -,68800000,354700000,327800000,318000000,636600000,592100000,532000000,490700000,430800000,- -
41,Intangible Assets,285700000,280600000,329200000,372900000,356800000,206100000,198500000,185900000,186100000,186100000,186000000,186200000,186200000,182600000,182600000,182700000,194700000,286600000,829400000,791900000,787700000,1326100000,1284600000,1205900000,1164400000,994500000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229400000,232100000,215200000,179600000,53100000,40300000,149700000,138000000,131800000,175100000,25700000,- -
44,Other Non-Current Assets,142900000,139200000,143700000,173500000,177500000,146300000,143400000,154400000,158400000,149900000,146000000,142400000,118200000,89500000,96300000,92300000,112700000,94100000,119900000,113300000,104100000,103100000,118400000,130800000,121100000,109100000,- -
45,Total Non-Current Assets,795200000,800900000,851100000,925300000,870700000,574100000,484700000,473700000,476600000,454700000,451700000,443900000,418100000,384900000,390600000,610600000,638400000,695400000,1324800000,1170300000,1147400000,1899400000,1913700000,1823000000,1869200000,1481300000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2432500000
47,Total Assets,1536700000,1621300000,1834600000,1830000000,1558300000,1101500000,997600000,939500000,892200000,1000500000,1043700000,931900000,889300000,813400000,794200000,1086700000,1157100000,1236600000,2123900000,1944100000,2014300000,3023500000,3056900000,3016800000,2980600000,2527700000,2432500000
48,Accounts Payable,150600000,161900000,195500000,134800000,139800000,86300000,87000000,92900000,97400000,95200000,133100000,95100000,89700000,78100000,82400000,88300000,89800000,101900000,165700000,153500000,201300000,296900000,336900000,332100000,251800000,203300000,- -
49,Short-Term Debt,- -,35900000,48200000,33900000,47800000,30700000,17500000,25000000,28000000,47100000,9000000,9600000,8600000,19400000,13900000,11700000,13900000,26500000,73300000,38100000,41300000,28900000,182600000,357400000,290200000,220000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,- -
52,Other Current Liabilities,401500000,365200000,366100000,389700000,409700000,309900000,281300000,392300000,321900000,283200000,328400000,272500000,250400000,225900000,213000000,218500000,231700000,324700000,313700000,273300000,272400000,382900000,412800000,430900000,414900000,420875000,- -
53,Total Current Liabilities,552100000,563000000,609800000,558400000,597300000,426900000,385800000,510200000,447300000,425500000,470500000,377200000,348700000,323400000,309300000,318500000,335400000,453100000,552700000,464900000,515000000,708700000,932300000,1120400000,956900000,844200000,- -
54,Long-Term Debt,1467500000,1352200000,1458700000,1654000000,1761900000,1563100000,1643600000,1750100000,1869500000,1308200000,1413400000,1501800000,1432400000,1310200000,1186200000,1159300000,1165400000,1145800000,1862300000,1832400000,1803700000,2663100000,2653700000,2727700000,2906200000,3105000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,215700000,202800000,224600000,265600000,214000000,217600000,250900000,320000000,301000000,286700000,255700000,282700000,190200000,292600000,332300000,305300000,349200000,287000000,305400000,290900000,283100000,266500000,241300000,225500000,338700000,440500000,- -
58,Total Non-Current Liabilities,1683200000,1555000000,1683300000,1919600000,1975900000,1780700000,1894500000,2070100000,2170500000,1594900000,1669100000,1784500000,1622600000,1602800000,1518500000,1464600000,1514600000,1432800000,2167700000,2123300000,2086800000,2929600000,2895000000,2953200000,3244900000,3545500000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2432000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14500000,16600000,- -
61,Total Liabilities,2235300000,2118000000,2293100000,2478000000,2573200000,2207600000,2280300000,2580300000,2617800000,2020400000,2139600000,2161700000,1971300000,1926200000,1827800000,1783100000,1850000000,1885900000,2720400000,2588200000,2601800000,3638300000,3827300000,4073600000,4201800000,4389700000,2432000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,54600000,54600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,500000,500000,500000,500000,700000,3700000,3700000,4100000,5200000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,- -
64,Retained Earnings,-313400000,-300400000,-258800000,-402000000,-773500000,-904100000,-1075400000,-1361900000,-1515700000,-1658200000,-1741900000,-1993200000,-1985400000,-1927500000,-1878700000,-1551400000,-1498000000,-1446900000,-1452700000,-1411800000,-1355700000,-1377600000,-1560800000,-1855000000,-2012700000,-2631700000,-2838600000
65,Other Comprehensive Income/Loss,-190800000,-199500000,-217000000,-231600000,-258500000,-241200000,-189500000,-205000000,-220500000,-250800000,-122000000,-124000000,-89000000,-183000000,-158000000,-150000000,-201000000,-208000000,-150000000,-243000000,-245000000,-252000000,-228000000,-234000000,-247000000,-277000,-234000000
66,Other Total Stockholders Equity,- -,3200000,17300000,- -,16600000,38700000,- -,-129000000,-44700000,885400000,764300000,883300000,987200000,997200000,1002600000,1004500000,1005600000,1005100000,1005700000,1010200000,1012700000,1014300000,1017900000,1031700000,1038000000,769477000,- -
67,Total Stockholders Equity,-698600000,-496700000,-458500000,-648000000,-1014900000,-1106100000,-1282700000,-1640800000,-1725600000,-1019900000,-1095900000,-1229800000,-1082000000,-1112800000,-1033600000,-696400000,-692900000,-649300000,-596500000,-644100000,-587500000,-614800000,-770400000,-1056800000,-1221200000,-1862000000,-2014000000
68,Total Liabilities And Stockholders Equity,1536700000,1621300000,1834600000,1830000000,1558300000,1101500000,997600000,939500000,892200000,1000500000,1043700000,931900000,889300000,813400000,794200000,1086700000,1157100000,1236600000,2123900000,1944100000,2014300000,3023500000,3056900000,3016800000,2980600000,2527700000,418000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2014500000
70,Total Liabilities & Equity,1536700000,1621300000,1834600000,1830000000,1558300000,1101500000,997600000,939500000,892200000,1000500000,1043700000,931900000,889300000,813400000,794200000,1086700000,1157100000,1236600000,2123900000,1944100000,2014300000,3023500000,3056900000,3016800000,2980600000,2527700000,2432500000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/887921/000095013604000493/file001.htm,https://www.sec.gov/Archives/edgar/data/887921/000095013605001259/file001.htm,https://www.sec.gov/Archives/edgar/data/887921/000095013606001563/file001.htm,https://www.sec.gov/Archives/edgar/data/887921/000095013607001601/file1.htm,https://www.sec.gov/Archives/edgar/data/887921/000095013608001174/file1.htm,https://www.sec.gov/Archives/edgar/data/887921/000095012309003443/0000950123-09-003443-index.html,https://www.sec.gov/Archives/edgar/data/887921/000095012310017173/0000950123-10-017173-index.html,https://www.sec.gov/Archives/edgar/data/887921/000095012311014964/y04550e10vk.htm,https://www.sec.gov/Archives/edgar/data/887921/000119312512065310/0001193125-12-065310-index.html,https://www.sec.gov/Archives/edgar/data/887921/000119312513055685/0001193125-13-055685-index.html,https://www.sec.gov/Archives/edgar/data/887921/000088792114000003/rev-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/887921/000088792115000002/rev-201410xk.htm,https://www.sec.gov/Archives/edgar/data/887921/000088792116000017/0000887921-16-000017-index.html,https://www.sec.gov/Archives/edgar/data/887921/000088792117000004/0000887921-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/887921/000088792118000003/0000887921-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/887921/000088792119000004/0000887921-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/887921/000088792120000006/0000887921-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/887921/000088792121000003/0000887921-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/887921/000088792122000004/0000887921-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-41700000,17800000,43600000,-143200000,-371500000,-130600000,-153700000,-286500000,-153800000,-142500000,-83700000,-251300000,-16100000,57900000,48800000,327300000,53400000,51100000,-5800000,40900000,56100000,-21900000,-183200000,-294200000,-157700000,-619000000,- -
74,Depreciation and Amortization,88300000,90900000,103800000,111300000,126100000,126900000,115100000,118900000,112900000,114300000,103100000,136500000,100700000,91900000,60100000,57000000,60800000,65000000,76700000,102600000,103200000,123200000,155800000,177200000,162900000,143300000,125000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-259300000,13400000,28400000,30800000,64300000,28300000,-6200000,22600000,1700000,-30000000,152800000,-20000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,1900000,300000,200000,5500000,5100000,6400000,6800000,17200000,8100000,10400000,14000000
77,Change in Working Capital,-53500000,68000000,116300000,-27400000,-256000000,10200000,26600000,-171500000,12700000,152000000,1200000,-10700000,11700000,-17400000,-10800000,63300000,25700000,-95200000,158300000,62500000,43000000,63500000,-204500000,-137500000,81100000,47700000,49800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18300000,-4700000,40100000,-5500000,-18500000,-59500000,-9900000,-300000,9300000,76700000,-38000000
79,Inventory,-15300000,-5500000,-21400000,-4600000,-22500000,32700000,10200000,30300000,-5700000,-7800000,-69800000,36500000,22100000,1800000,41500000,7000000,3600000,-4400000,10200000,9200000,-30600000,74500000,-63000000,-36400000,74500000,-8400000,35000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10400000,-5900000,20800000,5000000,4500000,19000000,200000,34900000,-12600000,26800000,1600000,-73200000,-53100000,30000000
81,Other Working Capital,189400000,257400000,373700000,346300000,90300000,100500000,127100000,-44400000,-31700000,120300000,121500000,110800000,122500000,105100000,94300000,157600000,183300000,88100000,246400000,308900000,351900000,415400000,210900000,73400000,154500000,202200000,252000000
82,Other Non-Cash Items,-42600000,-186800000,-256800000,-9500000,418600000,-91900000,-74500000,226800000,-138200000,-218000000,-160300000,-13200000,-92500000,-110100000,11600000,-94700000,-67200000,54500000,-136900000,-101800000,-80400000,-48100000,63200000,64800000,-132700000,167500000,-179800000
83,Cash Provided by Operating Activities,-49500000,-10100000,6900000,-68800000,-82800000,-85400000,-86500000,-112300000,-166400000,-94200000,-139700000,-138700000,3800000,22300000,109700000,97200000,88000000,104100000,123300000,174000000,155300000,116900000,-139300000,-170800000,-68300000,-97300000,-11000000
84,CAPEX,-54200000,-58000000,-56500000,-118400000,-42300000,-19000000,-15100000,-16000000,-28600000,-18900000,-25800000,-22400000,-20000000,-20700000,-15200000,-15200000,-13900000,-20900000,-28600000,-55500000,-48300000,-59300000,-108300000,-57200000,-29000000,-10300000,-14000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000000,- -,- -,-39000000,-66000000,-628000000,- -,-42000000,-1029000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-18200000,-7100000,-51900000,27400000,1600000,341100000,102300000,- -,5300000,- -,10000000,- -,2400000,-7500000,-12700000,-14900000,-13600000,-20300000,-11400000,-52100000,-41800000,-58500000,-108300000,-57200000,2100000,-10300000,-12000000
89,Cash Used for Investing Activites,-72400000,-65100000,-108400000,-91000000,-40700000,322100000,87200000,-14200000,-23300000,-18900000,-15800000,-22400000,-17600000,100500000,-12700000,-14900000,-52600000,-86300000,-639400000,-52100000,-83800000,-1087500000,-108300000,-57200000,2100000,-10300000,-12000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-285000000,-430000000,-849100000,-798000000,-8000000,-443000000,-65400000,-31400000,-1341100000,-18000000,-18000000,-80600000,-457800000,-29000000
91,Common Stock Issued,- -,187800000,200000,1100000,100000,- -,- -,- -,96900000,- -,100000,107400000,98900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-50000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48600000,- -,- -,-2700000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,125200000,-109400000,109100000,158000000,118400000,-202300000,46300000,110300000,104200000,174500000,67500000,55800000,-74300000,172700000,332400000,786300000,790500000,4600000,1140600000,-9700000,19300000,2176900000,154900000,251100000,164900000,560300000,73000000
95,Cash Used/Provided by Financing Activities,125200000,78400000,109300000,159100000,118500000,-202300000,46300000,110300000,151100000,174500000,67600000,163200000,24600000,-112300000,-97600000,-62800000,-7500000,-3400000,649000000,-75100000,-12100000,833100000,136900000,233100000,84300000,102500000,44000000
96,Effect of Forex Changes on Cash,-100000,-900000,-3600000,-2000000,-4300000,-3500000,- -,-1300000,9300000,2900000,-400000,800000,600000,-1800000,2300000,2700000,-2900000,200000,-5100000,-15600000,-7800000,-2600000,11300000,-5000000,-1100000,3100000,-2000000
97,Net Change In Cash,- -,- -,- -,- -,-9300000,30900000,47000000,-17500000,-29300000,64300000,-88300000,2900000,11400000,7700000,1700000,22200000,25000000,14600000,127800000,31200000,51600000,-140100000,-99400000,100000,17000000,-2000000,18000000
98,Cash at the End of Period,- -,- -,- -,- -,25400000,56300000,103300000,85800000,56500000,120800000,32500000,35400000,46800000,52800000,54500000,76700000,101700000,116300000,244100000,275300000,326900000,186800000,87400000,87500000,104500000,102500000,120000000
99,Cash at the Beginning of Period,36000000,36300000,38600000,37400000,34700000,25400000,56300000,103300000,85800000,56500000,120800000,32500000,35400000,45100000,52800000,54500000,76700000,101700000,116300000,244100000,275300000,326900000,186800000,87400000,87500000,104500000,102000000
100,Free Cash Flow,-103700000,-68100000,-49600000,-187200000,-125100000,-104400000,-101600000,-128300000,-195000000,-113100000,-165500000,-161100000,-16200000,1600000,94500000,82000000,74100000,83200000,94700000,118500000,107000000,57600000,-247600000,-228000000,-97300000,-107600000,-25000000
