,https://roic.ai/company/SD,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,22193000,- -,27861000,21857000,79745000,-1479608000,-1782048000,-251670000,156571000,146209000,-508795000,349605000,-4320928000,-4320928000,38313000,-9146000,-449305000,-277999000,116738000
21,Income Before Tax Ratio,0.1429,- -,0.0968,0.0563,0.1177,-1.2520,-3.0151,-0.2701,0.1106,0.0535,-0.2565,0.2243,-5.6210,-5.6210,0.1072,-0.0262,-1.6838,-2.4179,0.6912
22,Income Tax expense (Gain),7585000,- -,9968000,6236000,29524000,-38328000,-8716000,-446680000,-5817000,-100362000,5684000,-2293000,123000,123000,-8749000,-71000,- -,-646000,- -
23,Net Income,12887000,25392000,18122000,15621000,50221000,-1441280000,-1775590000,190565000,108065000,141571000,-553889000,253285000,-3697545000,-3697545000,47062000,-9075000,-449305000,-277353000,116738000
24,Net Income ratio,0.0830,0.1443,0.0630,0.0402,0.0741,-1.2195,-3.0042,0.2045,0.0764,0.0518,-0.2793,0.1625,-4.8101,-4.8101,0.1317,-0.0260,-1.6838,-2.4123,0.6912
25,EPS,0.23,0.45,0.32,0.16,0.09,-9.36,-10.20,0.52,0.13,0.19,-1.27,0.42,-7.16,-7.16,1.45,-0.26,-12.68,-7.77,3.19
26,EPS Diluted,0.23,0.23,0.32,0.16,0.09,-9.36,-10.20,0.52,0.13,0.19,-1.27,0.42,-7.16,-7.16,1.44,-0.26,-12.68,-7.77,3.16
27,Weighted Average Shares Outstanding,56312000,56312000,56559000,73727000,108828000,155619000,175005000,291869000,398851000,453595000,481148000,479644000,521936000,521936000,32442000,35057000,35427000,35689000,36577000
28,Weighted Average Shares Outstanding Diluted,56312000,56312000,56737000,74664000,110041000,155619000,175005000,315349000,406645000,456015000,481148000,499743000,521936000,521936000,32663000,35057000,35427000,35689000,36996000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1349436/000095013408004343/0000950134-08-004343-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000095013409003880/0000950134-09-003880-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1349436/000119312511048650/0001193125-11-048650-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000119312512079901/0001193125-12-079901-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943613000114/0001349436-13-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943614000063/0001349436-14-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943615000082/0001349436-15-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943616000213/0001349436-16-000213-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943617000004/0001349436-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943618000008/0001349436-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943619000009/0001349436-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943620000012/0001349436-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000162828021003933/0001628280-21-003933-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000162828022005741/0001628280-22-005741-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,176000,- -,45731000,38948000,63135000,636000,7861000,5863000,207681000,309766000,814663000,181253000,435588000,121231000,99143000,17660000,4275000,22130000,137260000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,176000,- -,45731000,38948000,63135000,636000,7861000,5863000,207681000,309766000,814663000,181253000,435588000,121231000,99143000,17660000,4275000,22130000,137260000
34,Net Receivables,- -,- -,64556000,95505000,114759000,109073000,105476000,146118000,206336000,456735000,353297000,330077000,127387000,74097000,71277000,45503000,28644000,19576000,21505000
35,Inventory,- -,- -,1606000,2544000,3993000,3686000,3707000,3945000,6903000,3618000,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,6940000,37809000,44565000,242518000,138920000,19664000,20920000,372766000,73863000,320588000,111113000,61848000,24677000,10164000,5687000,9106000,2970000
37,Total Current Assets,- -,- -,118833000,174806000,226452000,355913000,255964000,175590000,441840000,1142885000,1241823000,831918000,674088000,257176000,195097000,73327000,38606000,50812000,161735000
38,PP&E,70289000,- -,337881000,2134718000,3337410000,3175559000,2433643000,4733865000,5389424000,8479977000,6307675000,6215057000,2234702000,817932000,923240000,949949000,567943000,209340000,190845000
39,Goodwill,- -,- -,- -,26198000,- -,- -,- -,234356000,235396000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,26198000,- -,- -,- -,234356000,235396000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,38931000,32894000,4826000,7138000,10348000,13708000,11106000,10106000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95843000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1969000,52662000,66704000,84655000,57816000,82811000,145811000,157521000,121589000,105301000,72259000,6284000,1290000,1062000,1140000,680000,332000
45,Total Non-Current Assets,- -,- -,339850000,2213578000,3404114000,3299145000,2524353000,5055858000,5777769000,8647846000,6442972000,6427307000,2317067000,824216000,924530000,951011000,569083000,210020000,191177000
46,Other Assets,127744000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,127744000,- -,458683000,2388384000,3630566000,3655058000,2780317000,5231448000,6219609000,9790731000,7684795000,7259225000,2991155000,1081392000,1119627000,1024338000,607689000,260832000,352912000
48,Accounts Payable,- -,- -,95513000,131633000,215892000,302407000,134212000,275385000,- -,461067000,341008000,392500000,231697000,65408000,94406000,78219000,29423000,23017000,13727000
49,Short-Term Debt,- -,- -,12997000,26201000,15350000,16532000,12003000,7293000,1051000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3902000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,15546000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,2132000,958000,864000,83685000,79329000,261780000,698445000,693841000,592810000,391951000,205692000,148298000,104508000,58971000,59000000,45860000,50306000
53,Total Current Liabilities,- -,- -,110642000,158792000,232106000,402624000,225544000,544458000,699496000,1170454000,933818000,784451000,437389000,213706000,198914000,137190000,88423000,68877000,64033000
54,Long-Term Debt,- -,- -,30136000,1040630000,1052299000,2358784000,2566935000,2901793000,2813125000,4301083000,3194907000,3195436000,3631506000,305308000,37502000,- -,57500000,20000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,13747000,24922000,49350000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,6979000,509130000,525248000,100099000,183743000,237714000,158038000,456739000,380443000,69518000,109993000,49461000,43271000,39427000,59314000,43889000,43557000
58,Total Non-Current Liabilities,- -,- -,50862000,1574682000,1626897000,2458883000,2750678000,3139507000,2971163000,4757822000,3575350000,3264954000,3741499000,354769000,80773000,39427000,116814000,63889000,43557000
59,Other Liabilities,93804000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,19024000,13133000,17046000,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,93804000,- -,161504000,1733474000,1859003000,2861507000,2976222000,3683965000,3670659000,5928276000,4509168000,4049405000,4178888000,568475000,279687000,176617000,205237000,132766000,107590000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,5000,8000,8000,8000,8000,6000,6000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,73000,92000,140000,163000,203000,398000,399000,476000,483000,477000,630000,20000,36000,36000,36000,36000,37000
64,Retained Earnings,- -,- -,77229000,92693000,99216000,-1358296000,-3142699000,-2989576000,-2937094000,-2851048000,-3460462000,-3257202000,-6992697000,-333982000,-286920000,-295995000,-745357000,-1022710000,-905972000
65,Other Comprehensive Income/Loss,- -,- -,-35029000,-129084000,-350061000,-2564112000,- -,-4744476000,-5084999000,-5515453000,-6049178000,-6664569000,-11273748000,-356919000,-476317000,-605476000,-1163823000,- -,- -
66,Other Total Stockholders Equity,33940000,- -,246729000,686117000,2017596000,4715766000,2936534000,9269841000,9647697000,10734870000,11334959000,11859113000,16567892000,1203798000,1603141000,1749156000,2311596000,1150740000,- -
67,Total Stockholders Equity,33940000,- -,289002000,649818000,1766891000,793521000,-205957000,1536195000,1626011000,2368853000,1825810000,1937825000,-1697917000,512917000,839940000,847721000,402452000,128066000,245322000
68,Total Liabilities And Stockholders Equity,127744000,- -,450506000,2383292000,3625894000,3655028000,2770265000,5220160000,5296670000,8297129000,6334978000,5987230000,2480971000,1081392000,1119627000,1024338000,607689000,260832000,352912000
69,Minority Interest,- -,- -,8177000,5092000,4672000,30000,10052000,11288000,922939000,1493602000,1349817000,1271995000,510184000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,127744000,- -,458683000,2388384000,3630566000,3655058000,2780317000,5231448000,6219609000,9790731000,7684795000,7259225000,2991155000,1081392000,1119627000,1024338000,607689000,260832000,352912000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1349436/000095013408004343/0000950134-08-004343-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000095013409003880/0000950134-09-003880-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1349436/000119312511048650/0001193125-11-048650-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000119312512079901/0001193125-12-079901-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943613000114/0001349436-13-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943614000063/0001349436-14-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943615000082/0001349436-15-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943616000213/0001349436-16-000213-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943617000004/0001349436-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943618000008/0001349436-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943619000009/0001349436-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943620000012/0001349436-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000162828021003933/0001628280-21-003933-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000162828022005741/0001628280-22-005741-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,18122000,15621000,50221000,-1441280000,-1775590000,190565000,108065000,141571000,-553889000,253285000,-3697545000,-3697545000,47062000,-9075000,-449305000,-277353000,116738000
74,Depreciation and Amortization,- -,- -,24206000,55626000,243107000,- -,235359000,326111000,380244000,60805000,62136000,59636000,47382000,47382000,13852000,11982000,- -,58085000,- -
75,Deferred Income Tax,- -,- -,9460000,348000,28923000,-47530000,- -,-447500000,-6986000,-100288000,3842000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,18784000,22793000,37681000,38684000,42795000,85270000,19994000,18380000,18380000,15750000,23377000,4254000,3012000,1394000
77,Change in Working Capital,- -,- -,7798000,-21668000,-41057000,77131000,-399288000,111212000,230087000,335574000,-260538000,189232000,-193229000,-47287000,-60046000,14046000,31752000,80185000,-2432000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-141534000,90048000,-63492000,201907000,201907000,115000,16560000,- -,- -,- -
79,Inventory,- -,- -,-46000,-938000,-1730000,307000,61000,-238000,-2958000,3111000,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,16014000,-5654000,-46711000,30420000,-368868000,-257656000,-27569000,308005000,47467000,236699000,43470000,-3817000,-63863000,-49817000,-18065000,62120000,-3296000
82,Other Non-Cash Items,- -,- -,4058000,17422000,76258000,1972084000,2228285000,172059000,-274609000,302703000,1531809000,98967000,4198549000,4052607000,164561000,105184000,534623000,172233000,-5440000
83,Cash Provided by Operating Activities,- -,- -,63644000,67349000,357452000,579189000,311559000,390128000,475485000,783160000,868630000,621114000,373537000,373537000,181179000,145514000,121324000,36162000,110260000
84,CAPEX,- -,- -,-134596000,-306541000,-1280848000,-2058415000,-715205000,-1044371000,-1743637000,-2146372000,-1496731000,-1553332000,-879201000,-879201000,-219246000,-187047000,-191678000,-8762000,-11642000
85,Acquisitions Net,- -,- -,-21247000,-1054075000,-116650000,- -,-795074000,-138428000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,413000,2373000,- -,-9809000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-3342000,17676000,11917000,-1899634000,-451985000,-824325000,-884232000,-2555945000,1070356000,-857241000,-1039640000,-1039640000,-245724000,-183453000,-189849000,25093000,23032000
89,Cash Used for Investing Activites,- -,- -,-158772000,-1340567000,-1385581000,-1909443000,-1247059000,-962753000,-918860000,-2555945000,1070356000,-857241000,-1039640000,-1039640000,-245724000,-183453000,-189849000,25093000,22973000
90,Debt Repayment,- -,- -,- -,- -,- -,-1962446000,-2435285000,-1789919000,-2160631000,-366873000,-1177497000,- -,-939466000,-939466000,- -,-46304000,-154970000,-97733000,-21024000
91,Common Stock Issued,- -,- -,173122000,540262000,1114660000,- -,324830000,- -,917528000,726446000,28985000,22119000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-500000,-1661000,-3553000,-5747000,-7169000,-13796000,-14723000,-32976000,-120529000,-3535000,-154000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-1000,- -,-33321000,-23049000,-26000,-28525000,-56742000,-55525000,-55525000,-55525000,-11262000,-11262000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-46708000,726673000,-27362000,3256803000,3058953000,2396240000,1958834000,1585545000,-197076000,-243348000,1874701000,1871320000,-8218000,2580000,209818000,58776000,-951000
95,Cash Used/Provided by Financing Activities,- -,- -,126413000,1266435000,1052316000,1267755000,942725000,570627000,645193000,1874870000,-1434089000,-397283000,920438000,920438000,-8218000,-43724000,54848000,-38957000,-21975000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,32758000,-6783000,24187000,-62499000,7225000,-1998000,201818000,102085000,504897000,-633410000,254335000,254335000,-72763000,-81663000,-13677000,22298000,111258000
98,Cash at the End of Period,- -,- -,45731000,38948000,63135000,636000,7861000,5863000,207681000,309766000,814663000,181253000,435588000,435588000,101308000,19645000,5968000,28266000,139524000
99,Cash at the Beginning of Period,- -,- -,12973000,45731000,38948000,63135000,636000,7861000,5863000,207681000,309766000,814663000,181253000,181253000,174071000,101308000,19645000,5968000,28266000
100,Free Cash Flow,- -,- -,-70952000,-239192000,-923396000,-1479226000,-403646000,-654243000,-1268152000,-1363212000,-628101000,-932218000,-505664000,-505664000,-38067000,-41533000,-70354000,27400000,98618000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1349436/000095013408004343/0000950134-08-004343-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000095013409003880/0000950134-09-003880-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1349436/000119312511048650/0001193125-11-048650-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000119312512079901/0001193125-12-079901-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943613000114/0001349436-13-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943614000063/0001349436-14-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943615000082/0001349436-15-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943616000213/0001349436-16-000213-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943617000004/0001349436-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943618000008/0001349436-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943619000009/0001349436-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000134943620000012/0001349436-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000162828021003933/0001628280-21-003933-index.htm,https://www.sec.gov/Archives/edgar/data/1349436/000162828022005741/0001628280-22-005741-index.htm
102,false,,,,,,,,,,,,,,,,,,,
