,https://roic.ai/company/CHS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
16,EBITDA ratio,0.1859,0.1130,0.0763,- -,0.0619,0.0890,0.1603,0.1839,0.2011,0.2090,0.2349,0.2404,0.2485,0.2589,0.2075,0.1438,0.0415,0.1213,0.1442,0.1480,0.1541,0.1007,0.0892,0.0383,0.0993,0.1044,0.0630,0.0376,-0.2995,0.0254
17,Operating Income,7900000,5700000,3500000,- -,3700000,4900000,15100000,24805774,45363473,67535886,106793255,160774000,224376000,298313000,251053000,121458000,-39594000,108153000,177082000,222377000,287538000,141183000,116343000,-13084000,140702000,145170000,43666000,-12073000,-456943000,66580000
18,Operating Income ratio,0.1688,0.0961,0.0580,- -,0.0546,0.0651,0.1415,0.1600,0.1749,0.1786,0.2011,0.2092,0.2103,0.2124,0.1525,0.0708,-0.0250,0.0631,0.0930,0.1012,0.1114,0.0546,0.0435,-0.0049,0.0568,0.0636,0.0205,-0.0059,-0.3451,36.7845
19,Total Other Income Expenses (Gains),100000,-100000,-600000,- -,-1000000,-300000,-100000,194226,436527,464114,906745,888000,2324000,8187000,10647000,17742000,7757000,1647000,1718000,1623000,862000,517000,98000,-1870000,-1973000,-1570000,-353000,119000,-3101000,-66534000
20,Income Before Tax,8000000,5600000,2900000,- -,2700000,4600000,15000000,25000000,45800000,68000000,107700000,161662000,226700000,306500000,261700000,139200000,-31837000,109800000,178800000,224000000,288400000,141700000,116441000,-14954000,138729000,143600000,43313000,-11954000,-460044000,46000
21,Income Before Tax Ratio,0.1709,0.0944,0.0481,- -,0.0398,0.0611,0.1406,0.1613,0.1766,0.1798,0.2028,0.2104,0.2125,0.2182,0.1589,0.0812,-0.0201,0.0641,0.0939,0.1020,0.1117,0.0548,0.0435,-0.0056,0.0560,0.0629,0.0203,-0.0059,-0.3475,0.0254
22,Income Tax expense (Gain),3100000,2300000,1200000,- -,1100000,1800000,5800000,9500000,17400000,25900000,40900000,61432000,85497000,112568000,95043000,48012000,-12700000,40200000,63400000,83100000,108200000,75800000,51800000,-16900000,47500000,42600000,7700000,800000,-99900000,- -
23,Net Income,4900000,3300000,1700000,- -,1600000,2800000,9100000,15500000,28400000,42200000,66800000,100230000,141200000,194000000,166600000,88900000,-19137000,69600000,115400000,140900000,180200000,65900000,64641000,1946000,91229000,101000000,35613000,-12754000,-360144000,46000
24,Net Income ratio,0.1047,0.0556,0.0282,- -,0.0236,0.0372,0.0853,0.1000,0.1095,0.1116,0.1258,0.1304,0.1323,0.1381,0.1012,0.0519,-0.0121,0.0406,0.0606,0.0642,0.0698,0.0255,0.0242,0.0007,0.0368,0.0443,0.0167,-0.0063,-0.2720,0.0254
25,EPS,0.03,0.02,0.01,- -,0.01,0.02,0.06,0.10,0.18,0.26,0.40,0.58,0.79,1.07,0.94,0.51,-0.11,0.39,0.65,0.82,1.09,0.41,0.42,0.01,0.69,0.79,0.28,-0.11,-3.11,0.39
26,EPS Diluted,0.03,0.02,0.01,- -,0.01,0.02,0.06,0.10,0.17,0.25,0.39,0.57,0.78,1.06,0.93,0.50,-0.11,0.39,0.64,0.82,1.08,0.41,0.42,0.01,0.69,0.79,0.28,-0.11,-3.11,0.37
27,Weighted Average Shares Outstanding,142115491,141285268,138945648,- -,131406045,142418268,146102593,152327732,156011528,160730700,166617658,172806000,178256000,180465000,177273000,175574000,175861000,177499000,176778000,169153000,162989000,155048000,148622000,138366000,128995000,125341000,122662000,114859000,115994000,117100000
28,Weighted Average Shares Outstanding Diluted,142115491,141285268,138945648,- -,142354087,144591678,151515152,158970332,163167576,167556672,172064104,176284000,180149000,182408000,178452000,176355000,175861000,178858000,178034000,170250000,164119000,155995000,149126000,138741000,129237000,125403000,122729000,114859000,115994000,122341000
29,SEC Link,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897429/000095016800001085/0000950168-00-001085-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/897429/000095014403005664/g82275e10vk.htm,https://www.sec.gov/Archives/edgar/data/897429/000095014404003715/g88364e10vk.htm,https://www.sec.gov/Archives/edgar/data/897429/000095014405003691/g93676e10vk.htm,https://www.sec.gov/Archives/edgar/data/897429/000095014406003320/g00160e10vk.htm,https://www.sec.gov/Archives/edgar/data/897429/000095014407002986/0000950144-07-002986-index.html,https://www.sec.gov/Archives/edgar/data/897429/000095014408002380/g12323e10vk.htm,https://www.sec.gov/Archives/edgar/data/897429/000095014409002658/0000950144-09-002658-index.html,https://www.sec.gov/Archives/edgar/data/897429/000095012310027761/0000950123-10-027761-index.html,https://www.sec.gov/Archives/edgar/data/897429/000095012311027819/g26251e10vk.htm,https://www.sec.gov/Archives/edgar/data/897429/000119312512125556/0001193125-12-125556-index.html,https://www.sec.gov/Archives/edgar/data/897429/000119312513117526/0001193125-13-117526-index.html,https://www.sec.gov/Archives/edgar/data/897429/000119312514099917/d633897d10k.htm,https://www.sec.gov/Archives/edgar/data/897429/000089742915000087/chs131201510-k.htm,https://www.sec.gov/Archives/edgar/data/897429/000089742916000311/0000897429-16-000311-index.html,https://www.sec.gov/Archives/edgar/data/897429/000089742917000067/0000897429-17-000067-index.html,https://www.sec.gov/Archives/edgar/data/897429/000089742918000043/0000897429-18-000043-index.html,https://www.sec.gov/Archives/edgar/data/897429/000089742919000061/0000897429-19-000061-index.html,https://www.sec.gov/Archives/edgar/data/897429/000089742920000052/0000897429-20-000052-index.html,https://www.sec.gov/Archives/edgar/data/897429/000089742921000038/0000897429-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/897429/000089742922000055/0000897429-22-000055-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1300000,800000,1100000,- -,800000,2900000,14500000,4000000,3900000,13400000,8800000,15676000,14400000,3000000,37200000,13800000,26549000,37000000,14700000,58900000,56900000,36400000,133351000,89951000,142135000,160071000,124128000,63972000,90791000,115105000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,14000000,14200000,40400000,91200000,104453000,251200000,401400000,238300000,260500000,242153000,386500000,534000000,188900000,272500000,116000000,126561000,50194000,50370000,60060000,61987000,63893000,18559000,- -
33,Cash and Short-Term Investments,1300000,800000,1100000,- -,800000,2900000,14500000,18000000,18100000,53800000,100000000,120129000,265600000,404400000,275500000,274300000,268702000,423500000,548700000,247800000,329400000,152400000,259912000,140145000,192505000,220131000,186115000,127865000,109350000,115105000
34,Net Receivables,600000,1100000,600000,- -,800000,900000,1100000,1700000,3000000,2100000,2200000,6368000,5100000,12300000,14200000,35900000,45699000,4200000,10400000,15600000,10200000,10300000,7427000,36638000,12911000,8479000,21394000,19452000,66865000,- -
35,Inventory,7000000,6600000,6800000,- -,7800000,9500000,10100000,14800000,24400000,28900000,44900000,54896000,73200000,95400000,110800000,144300000,132413000,138500000,159800000,194500000,206800000,238100000,235159000,233834000,232363000,233726000,235218000,246737000,203983000,323389000
36,Other Current Assets,1200000,1400000,1200000,- -,1800000,2000000,2100000,2700000,5300000,8200000,13300000,16180000,20700000,25900000,71400000,32200000,39561000,33800000,37900000,39500000,51600000,40500000,60461000,54704000,39847000,52189000,42451000,28748000,21840000,55569000
37,Total Current Assets,10100000,9900000,9700000,- -,11200000,15300000,27800000,37200000,50800000,93000000,160400000,197573000,364600000,538000000,471900000,486700000,486375000,600000000,756800000,497400000,598000000,441300000,562959000,465321000,477626000,514525000,485178000,422802000,402038000,494063000
38,PP&E,6000000,16600000,16200000,- -,17200000,17000000,19700000,31300000,65600000,91300000,138700000,173725000,248000000,345900000,456700000,568000000,560545000,521500000,517400000,550200000,608100000,631100000,606147000,550953000,477185000,421038000,370932000,963779000,827431000,658409000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61800000,61800000,62600000,96800000,96774000,96800000,96800000,238700000,238700000,171400000,145627000,96774000,96774000,96774000,96774000,96774000,16360000,16360000
40,Intangible Assets,200000,- -,- -,- -,500000,- -,400000,200000,200000,100000,- -,94157000,34000000,34000000,34000000,38900000,38930000,38900000,38900000,132100000,127800000,118200000,109538000,38930000,38930000,38930000,38930000,38930000,5000000,5000000
41,Intangible Assets,200000,- -,- -,- -,500000,- -,400000,200000,200000,100000,- -,94157000,95800000,95800000,96600000,135700000,135704000,135700000,135700000,370800000,366500000,289600000,255165000,135704000,135704000,135704000,135704000,135704000,21360000,21360000
42,Investments,- -,- -,- -,- -,1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12400000,5100000,- -,- -,38458000,- -,- -,52100000,52600000,49900000,- -,15171000,9883000,7372000,5237000,212000,- -,- -
44,Other Non-Current Assets,300000,900000,1100000,- -,700000,2200000,1100000,1600000,1200000,2000000,2400000,5399000,-5100000,14600000,32900000,59700000,5101000,61600000,6100000,-45300000,-44600000,-40700000,14310000,-1097000,8596000,8966000,9983000,20162000,24049000,- -
45,Total Non-Current Assets,6500000,17500000,17300000,- -,20000000,19200000,21200000,33100000,67000000,93400000,141100000,273281000,351100000,461400000,586200000,763400000,739808000,718800000,659200000,927800000,982600000,929900000,875622000,700731000,631368000,573080000,521856000,1119857000,872840000,679769000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16600000,27400000,27000000,- -,31200000,34500000,49000000,70300000,117800000,186400000,301500000,470854000,715700000,999400000,1058100000,1250100000,1226183000,1318800000,1416000000,1425200000,1580600000,1371200000,1438581000,1166052000,1108994000,1087605000,1007034000,1542659000,1274878000,1173832000
48,Accounts Payable,2500000,3300000,2000000,- -,3300000,3500000,4000000,6000000,13800000,18100000,28500000,27796000,36700000,47400000,55700000,88100000,56542000,79200000,106700000,100400000,129400000,131300000,144534000,129343000,116378000,118253000,143404000,134204000,116506000,180828000
49,Short-Term Debt,100000,2400000,700000,- -,- -,300000,- -,- -,- -,- -,171217,599000,- -,648000,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,16250000,15000000,- -,157043000,194551000,172506000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13698000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42600000,40100000,- -,- -
52,Other Current Liabilities,2700000,2800000,2500000,- -,2900000,2500000,4000000,4800000,11500000,16800000,26228783,43187000,58600000,74652000,88500000,93100000,90194000,115500000,114600000,137700000,173000000,142000000,158396000,158788000,170232000,133715000,89220000,74398000,120729000,134051000
53,Total Current Liabilities,5300000,8500000,5200000,- -,6200000,6300000,8000000,10800000,25300000,34900000,54900000,71582000,95300000,122700000,144200000,181200000,146736000,194700000,221300000,238100000,302400000,273300000,302930000,298131000,302860000,266968000,275224000,405745000,431786000,487385000
54,Long-Term Debt,600000,4700000,5900000,- -,7000000,6700000,5300000,5200000,5200000,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82219000,68535000,53601000,57500000,42500000,664797000,480081000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50529000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11724000,- -,- -,- -,- -,- -,- -,- -,52125000,52644000,49887000,49659000,15171000,9883000,7372000,5237000,212000,1313000,- -
57,Other Non-Current Liabilities,- -,- -,-100000,- -,- -,- -,1400000,1700000,2000000,3000000,6500000,12713000,59600000,70300000,110000000,156400000,177251000,142200000,129800000,125675000,132356000,138913000,142371000,130743000,118543000,52753000,89109000,564110000,11863000,7867000
58,Total Non-Current Liabilities,600000,4700000,5800000,- -,7000000,6700000,6700000,6900000,7200000,8000000,6500000,24437000,59600000,70300000,110000000,156400000,177251000,142200000,129800000,177800000,185000000,188800000,192030000,228133000,196961000,164255000,151846000,606822000,677973000,487948000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,712965000,710348000,- -
61,Total Liabilities,5900000,13200000,11000000,- -,13200000,13000000,14700000,17700000,32500000,42900000,61400000,96019000,154900000,193000000,254200000,337600000,323987000,336900000,351100000,415900000,487400000,462100000,494960000,526264000,499821000,431223000,427070000,1012567000,1109759000,952328000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,100000,- -,100000,200000,200000,800000,900000,875000,1800000,1800000,1800000,1800000,1771000,1800000,1800000,1700000,1600000,1500000,1529000,1355000,1288000,1275000,1169000,1184000,1197000,1225000
64,Retained Earnings,3800000,7100000,8800000,- -,10400000,13200000,22300000,37800000,66200000,108400000,175100000,275339000,411600000,605500000,572200000,661100000,641978000,711600000,780200000,704600000,742600000,525400000,534255000,492325000,541251000,599810000,587145000,531602000,159765000,206020000
65,Other Comprehensive Income/Loss,-2200000,-2600000,-3800000,- -,-5100000,-6600000,-8000000,-9900000,-14600000,200000,185452,35000,-130000,-3805000,-184500000,-257400000,135000,404000,388000,328000,216000,112000,562000,40000,-28000,-44000,-361000,-428000,64000,- -
66,Other Total Stockholders Equity,9100000,9700000,11000000,- -,12600000,14900000,19900000,24500000,33500000,34100000,63947670,98586000,147598000,202932000,414431000,507016000,258312000,268114000,282519000,302600000,348783000,382091000,407275000,146068000,66662000,55341000,-7989000,-2266000,4093000,14259000
67,Total Stockholders Equity,10700000,14200000,16000000,- -,18000000,21500000,34300000,52600000,85300000,143500000,240133122,374835000,560868000,806427000,803931000,912516000,902196000,981918000,1064907000,1009228000,1093199000,909103000,943621000,639788000,609173000,656382000,579964000,530092000,165119000,221504000
68,Total Liabilities And Stockholders Equity,16600000,27400000,27000000,- -,31200000,34500000,49000000,70300000,117800000,186400000,301533122,470854000,715768000,999427000,1058131000,1250116000,1226183000,1318818000,1416007000,1425128000,1580599000,1371203000,1438581000,1166052000,1108994000,1087605000,1007034000,1542659000,1274878000,1173832000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33122,- -,-68000,-27000,-31000,-16000,- -,-18000,-7000,72000,1000,-3000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16600000,27400000,27000000,- -,31200000,34500000,49000000,70300000,117800000,186400000,301500000,470854000,715700000,999400000,1058100000,1250100000,1226183000,1318800000,1416000000,1425200000,1580600000,1371200000,1438581000,1166052000,1108994000,1087605000,1007034000,1542659000,1274878000,1173832000
71,SEC Link,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897429/000095016800001085/0000950168-00-001085-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/897429/000095014403005664/g82275e10vk.htm,https://www.sec.gov/Archives/edgar/data/897429/000095014404003715/g88364e10vk.htm,https://www.sec.gov/Archives/edgar/data/897429/000095014405003691/g93676e10vk.htm,https://www.sec.gov/Archives/edgar/data/897429/000095014406003320/g00160e10vk.htm,https://www.sec.gov/Archives/edgar/data/897429/000095014407002986/0000950144-07-002986-index.html,https://www.sec.gov/Archives/edgar/data/897429/000095014408002380/g12323e10vk.htm,https://www.sec.gov/Archives/edgar/data/897429/000095014409002658/0000950144-09-002658-index.html,https://www.sec.gov/Archives/edgar/data/897429/000095012310027761/0000950123-10-027761-index.html,https://www.sec.gov/Archives/edgar/data/897429/000095012311027819/g26251e10vk.htm,https://www.sec.gov/Archives/edgar/data/897429/000119312512125556/0001193125-12-125556-index.html,https://www.sec.gov/Archives/edgar/data/897429/000119312513117526/0001193125-13-117526-index.html,https://www.sec.gov/Archives/edgar/data/897429/000119312514099917/d633897d10k.htm,https://www.sec.gov/Archives/edgar/data/897429/000089742915000087/chs131201510-k.htm,https://www.sec.gov/Archives/edgar/data/897429/000089742916000311/0000897429-16-000311-index.html,https://www.sec.gov/Archives/edgar/data/897429/000089742917000067/0000897429-17-000067-index.html,https://www.sec.gov/Archives/edgar/data/897429/000089742918000043/0000897429-18-000043-index.html,https://www.sec.gov/Archives/edgar/data/897429/000089742919000061/0000897429-19-000061-index.html,https://www.sec.gov/Archives/edgar/data/897429/000089742920000052/0000897429-20-000052-index.html,https://www.sec.gov/Archives/edgar/data/897429/000089742921000038/0000897429-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/897429/000089742922000055/0000897429-22-000055-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4900000,3300000,1700000,- -,1600000,2800000,9100000,15500000,28400000,42200000,66800000,100230000,141200000,194000000,166600000,88900000,-19137000,69600000,115400000,140900000,180200000,65900000,64641000,1946000,91229000,101000000,35613000,-12754000,-360144000,46000
74,Depreciation and Amortization,700000,1100000,1700000,- -,1900000,2100000,2400000,3307539,5977744,10406874,16143229,23100000,36086000,48852000,69404000,91979000,97572000,96372000,94113000,99430000,108471000,118303000,122269000,118800000,109251000,96310000,91333000,88411000,63472000,- -
75,Deferred Income Tax,-1000000,-700000,300000,- -,-500000,- -,-600000,-746000,-606000,-1816000,-1651000,1336000,-2986000,-8411000,-22324000,-6635000,-20507000,5647000,32501000,19489000,-4211000,10231000,-9598000,-34415000,-8427000,-2070000,-2100000,-3326000,1396000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7402000,10548000,15198000,26453000,27145000,26487000,30062000,21249000,20677000,19783000,7145000,7100000,- -
77,Change in Working Capital,1900000,-3400000,3100000,- -,500000,4000000,10800000,6600000,-900000,32600000,47400000,20491000,143309000,146000000,-87600000,-22200000,34139000,65661000,130200000,-276200000,36300000,-127600000,92029000,-92839000,7576000,72791000,-37603000,-192897000,-46805000,36426000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-3500000,500000,-100000,- -,-1700000,-1700000,-600000,-4729647,-9559362,-4510904,-16002438,-4658000,-18280000,-22198000,-14696000,-32388000,11847000,-6103000,-21298000,-20812000,-12379000,-31296000,2986000,-6719000,1472000,-1363000,-2316000,-11519000,-23962000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22677000,27446000,-14571000,28992000,1867000,13280000,-12101000,-13015000,1950000,25097000,-9525000,-17897000,- -
81,Other Working Capital,4800000,1400000,4500000,- -,5000000,9000000,19800000,26400000,25500000,58100000,105500000,125991000,269300000,415300000,327700000,305500000,339639000,405300000,535500000,259300000,295600000,168000000,260029000,167190000,174766000,247557000,209954000,17057000,-29748000,6678000
82,Other Non-Cash Items,-1700000,5500000,-4700000,- -,-300000,-5300000,-9400000,-8686624,6294956,-17898412,-19884758,223000,-93989000,-112035000,162914000,56603000,7379000,-29312000,-143136000,256364000,21060000,142703000,-13345000,173437000,9832000,-121835000,51048000,146765000,237149000,-36472000
83,Cash Provided by Operating Activities,4800000,5800000,2100000,- -,3200000,3600000,12300000,15974915,39166700,65492462,108807471,145380000,223620000,268406000,288994000,208647000,99446000,215370000,239626000,255181000,368273000,236682000,282483000,196991000,230710000,166873000,158074000,33344000,-97832000,- -
84,CAPEX,-4300000,-11500000,-1000000,- -,-2900000,-2000000,-5000000,-15169791,-40468993,-37436496,-64741870,-52300000,-93065000,-147635000,-218311000,-235119000,-104615000,-67920000,-73045000,-131757000,-164690000,-138510000,-119817000,-84841000,-47836000,-48530000,-54187000,-33939000,-11360000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1307000,-10418000,-8338000,-6361000,- -,- -,- -,-213561000,- -,- -,- -,9000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-14019861,-30131458,-56396476,-134918633,-166855000,-404211000,-357237000,-162690000,-1213435000,-569358000,-590223000,-579488000,-592962000,-298460000,-96374000,-128696000,-52668000,-50717000,-39794000,-38693000,-49663000,-5477000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,600000,1000000,- -,29977045,30244500,84235160,153447000,257299000,207026000,325894000,1206392000,587809000,446146000,431953000,937987000,214783000,252768000,118062000,129000000,50508000,30045000,37007000,47955000,50702000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87636000,- -,- -,- -,13426000,- -,- -,- -,- -,- -,- -,- -,- -,16217000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-4300000,-11500000,-1000000,- -,-2900000,-1400000,-4000000,-29189652,-40623406,-63588472,-115425343,-153344000,-241284000,-308264000,-63445000,-235097000,-86164000,-211997000,-220580000,-293000,-248367000,17884000,-130451000,491000,-31828000,-58279000,-55873000,-35647000,33865000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31500000,-7500000,-16250000,-72500000,-15000000,-149000000,- -
91,Common Stock Issued,- -,100000,- -,- -,500000,700000,3700000,2872663,1543144,7702836,7247222,15231000,22684000,28467000,6402000,3533000,306000,4857000,3648000,4549000,16531000,12395000,6268000,10613000,4359000,2127000,1548000,1143000,412000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4992000,- -,-200148000,-694000,-311000,-930000,-19208000,-183290000,-111521000,-251646000,-18124000,-302849000,-101878000,-27398000,-81052000,- -,- -,- -
93,Dividends Paid,-6200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28489000,-34152000,-34928000,-38255000,-45773000,-43729000,-42254000,-42516000,-43208000,-41179000,-10701000,- -
94,Other Financing Activites,5200000,5000000,-700000,- -,-100000,-800000,-400000,-161772,-153250,-144080,-5253125,-344000,-1278000,- -,2365000,209000,-529000,3194000,2655000,2229000,7952000,2483000,1981000,127084000,604000,-6740000,57535000,-2550000,250081000,- -
95,Cash Used/Provided by Financing Activities,-1000000,5100000,-700000,- -,- -,-100000,3300000,2710891,1389894,7558756,1994097,14887000,16414000,28467000,-191381000,3048000,-534000,7121000,-41394000,-210664000,-121966000,-275023000,-55648000,-240381000,-146669000,-90777000,-137677000,-57586000,90792000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000,523000,-501000,-29000,119000,-467000,-267000,-6000,- -
