,https://roic.ai/company/FLL,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1300000,2900000,3900000,2900000,3100000,2900000,4500000,2432187,7892365,2946672,2726613,2821489,2611906,2705773,8259252,750962,8781564,5182497,29925351,45748000,56429000,56162000,50824000,58998000,62358000,58208000,65420000,55674000,74622000
11,COGS and Expenses,4100000,6300000,7900000,6800000,6500000,3600000,4800000,2961084,8014806,2946672,2726613,2821489,2611906,2705773,12448371,5471881,13023210,9358090,81368259,120311000,137767000,123340000,119541000,139459000,154198000,156371000,159208000,114429000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,11616,- -,- -,30280,- -,60631,88329,- -,171962,389008,120750,8056,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,328379,- -,- -,99173,- -,147411,189539,- -,532499,173819,58368,2838205,2731000,7268000,6272000,5100000,8422000,9974000,9370000,9544000,8547000,-23657000
14,Depreciation and Amortization,400000,500000,1200000,500000,600000,800000,700000,586483,572369,216550,176559,102256,76960,75080,1270273,1213635,1070752,1049051,4204570,6884000,9389000,9183000,7893000,7928000,8602000,8397000,8331000,7666000,- -
15,EBITDA,500000,-900000,-6300000,-300000,1900000,1800000,-1100000,1560344,-2724289,2045838,819077,769506,1857389,1441515,2651888,4671509,9197765,14516096,12625373,52624000,12334000,-6378000,11334000,11886000,13398000,13872000,12133000,16268000,-11516000
16,EBITDA ratio,0.1136,-0.1607,-1.1250,-0.0390,0.2289,0.3913,-0.3056,0.3977,-0.5453,0.4247,0.2453,0.2146,0.5019,0.3734,0.2773,0.4830,0.4838,0.4413,0.1197,0.4087,0.0852,-0.0525,0.0910,0.0814,0.0831,0.0846,0.0733,0.1295,-0.0639
17,Operating Income,300000,-700000,-2300000,900000,1800000,1000000,-1200000,962245,-3018980,1871009,612238,764671,1089010,1154520,-2883960,3615060,8585932,23539039,19173098,49638000,2960000,-13838000,5044000,6189000,7057000,7426000,6216000,10476000,37554000
18,Operating Income ratio,0.0682,-0.1250,-0.4107,0.1169,0.2169,0.2174,-0.3333,0.2453,-0.6043,0.3884,0.1834,0.2132,0.2943,0.2991,-0.3015,0.3738,0.4516,0.7155,0.1818,0.3855,0.0205,-0.1140,0.0405,0.0424,0.0438,0.0453,0.0376,0.0834,0.2084
19,Total Other Income Expenses (Gains),200000,100000,-5200000,-800000,-500000,- -,-100000,-316763,-277678,-41721,-68893,-97421,544008,22376,3979281,-727830,215189,62382,-3343477,-4448000,-7283000,-7995000,-6703000,-10653000,-12235000,-11321000,-11958000,-10421000,-25413000
20,Income Before Tax,- -,- -,-7500000,- -,1300000,1000000,-1300000,645482,-3296658,1829288,543345,667250,1633018,1176896,1095321,2887230,8801121,23601421,15829621,45190000,-4323000,-21833000,-1659000,-4464000,-5178000,-3895000,-5742000,55000,12141000
21,Income Before Tax Ratio,- -,- -,-1.3393,- -,0.1566,0.2174,-0.3611,0.1645,-0.6599,0.3797,0.1627,0.1861,0.4412,0.3049,0.1145,0.2985,0.4629,0.7174,0.1501,0.3510,-0.0299,-0.1798,-0.0133,-0.0306,-0.0321,-0.0238,-0.0347,0.0004,0.0674
22,Income Tax expense (Gain),- -,- -,-1900000,- -,300000,300000,-300000,490393,-846047,873531,350148,347459,793680,537221,441024,1307085,3184955,5739430,3239599,15175000,-361000,-988000,-342000,630000,-150000,476000,80000,-92000,435000
23,Net Income,100000,-1400000,-5600000,-800000,1000000,700000,-1500000,155089,-2450611,955757,193197,319791,839338,639675,940591,1618290,4768239,7669247,2342999,27834000,-3962000,-20845000,-1317000,-5094000,-5028000,-4371000,-5822000,147000,11706000
24,Net Income ratio,0.0227,-0.2500,-1.0000,-0.1039,0.1205,0.1522,-0.4167,0.0395,-0.4905,0.1984,0.0579,0.0892,0.2268,0.1657,0.0983,0.1673,0.2508,0.2331,0.0222,0.2162,-0.0274,-0.1717,-0.0106,-0.0349,-0.0312,-0.0267,-0.0352,0.0012,0.0650
25,EPS,-0.03,-0.18,-0.56,-0.09,0.08,0.05,-0.16,-0.01,-0.25,0.07,0.02,0.01,0.06,0.04,0.05,0.08,0.25,0.41,0.12,1.42,-0.20,-1.04,-0.07,-0.26,-0.22,-0.17,-0.22,0.01,0.34
26,EPS Diluted,-0.03,-0.18,-0.56,-0.09,0.08,0.05,-0.16,-0.01,-0.25,0.07,0.02,0.01,0.05,0.04,0.05,0.08,0.25,0.41,0.12,1.42,-0.20,-1.04,-0.07,-0.26,-0.22,-0.23,-0.22,0.01,0.32
27,Weighted Average Shares Outstanding,3508783,8864295,10347937,10884245,10526350,10884645,10884645,10884645,10884645,10884645,10884645,10884645,10884645,11485518,20320330,20122498,18974089,18953103,19365956,19660636,19726550,19867432,19934801,19602000,22883000,26012000,26980000,27094000,34227000
28,Weighted Average Shares Outstanding Diluted,3508783,8864295,10347937,10884245,10526350,10884645,10884645,10884645,10884645,10884645,10884645,10884645,11621490,12264460,20320330,20122498,18974089,18953103,19365956,19660636,19726550,19867432,19934801,19602000,22883000,26461000,26980000,27784000,36636000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891482/0000950170-97-000330-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891482/000110465902001174/0001104659-02-001174-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000110465903005295/0001104659-03-005295-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000110465904008885/0001104659-04-008885-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000119312505074183/0001193125-05-074183-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000119312506080604/0001193125-06-080604-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000119312507071829/0001193125-07-071829-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000136231008001730/0001362310-08-001730-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000136231009004477/0001362310-09-004477-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000095012310027760/0000950123-10-027760-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000095012311022778/0000950123-11-022778-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000119312512101745/0001193125-12-101745-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000118811213000562/0001188112-13-000562-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000157104914000726/0001571049-14-000726-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000157104915002337/0001571049-15-002337-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000089148216000028/0000891482-16-000028-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000089148217000007/0000891482-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000089148218000010/0000891482-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000089148219000006/0000891482-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000089148220000011/0000891482-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000089148221000020/0000891482-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000155837022003680/0001558370-22-003680-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,600000,1000000,2400000,1100000,400000,455143,867419,1164053,1942430,2466365,3275270,22117482,7975860,5304755,9198399,13294496,14707464,20603000,14936000,15639000,14574000,27038000,19910000,20634000,28851000,37698000,88721000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,600000,1000000,2400000,1100000,400000,455143,867419,1164053,1942430,2466365,3275270,22117482,7975860,5304755,9198399,13294496,14707464,20603000,14936000,15639000,14574000,27038000,19910000,20634000,28851000,37698000,88721000
34,Net Receivables,- -,- -,11300000,600000,500000,- -,- -,- -,209992,186969,125000,42500,- -,- -,319865,597848,6484520,2875308,4865195,2657000,1869000,4668000,1714000,1909000,1760000,2035000,2206000,4904000,4693000
35,Inventory,- -,- -,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1125000,1329000,1692000,1425000,2292000,1511000,1660000
36,Other Current Assets,- -,- -,300000,1000000,1300000,300000,200000,92804,93878,106656,110932,179684,118810,191204,7484540,940828,599546,1005085,3641726,9079000,7014000,2833000,5869000,2809000,2849000,2899000,4340000,2461000,- -
37,Total Current Assets,- -,- -,12300000,2700000,4300000,1400000,600000,547947,1171289,1457678,2178362,2688549,3394080,22308686,15780265,6843431,16282465,17174889,23214385,32339000,23819000,23140000,23282000,33085000,26211000,26993000,37689000,46574000,95074000
38,PP&E,- -,- -,6600000,- -,- -,- -,100000,47202,23374,23612,12610,3858832,3988832,130000,9227113,8630024,7961734,7372251,38668283,83673000,91168000,95040000,98982000,111465000,114058000,122076000,140658000,133133000,165354000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10308520,10308520,10308520,10308520,7455718,22127000,18127000,16480000,16480000,21286000,21286000,21286000,21286000,21286000,21286000
40,Intangible Assets,- -,- -,2900000,2400000,1900000,1400000,900000,379713,- -,- -,- -,4927814,5087752,5160185,14761133,16795552,15617016,13244811,11720727,23265000,19091000,6032000,2127000,10966000,10936000,11145000,11056000,10963000,10896000
41,Intangible Assets,- -,- -,2900000,2400000,1900000,1400000,900000,379713,- -,- -,- -,4927814,5087752,5160185,25069653,27104072,25925536,23553331,19176445,45392000,37218000,22512000,18607000,32252000,32222000,32431000,32342000,32249000,32182000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1375949,712418,626270,459398,- -,159054,- -,- -,- -,- -,645617,1020000,1321000,74000,- -,42000,- -,- -,- -,- -,1055000
44,Other Non-Current Assets,- -,- -,4200000,12000000,11500000,12700000,12300000,12477817,8894312,8953496,8628880,1996040,4467603,12398195,13046746,5890596,1415851,8350315,12913211,301000,761000,178000,1899000,404000,994000,772000,646000,660000,- -
45,Total Non-Current Assets,- -,- -,13700000,14400000,13400000,14100000,13300000,12904732,10293635,9689526,9267760,11242084,13544187,17847434,47343512,41624692,35303121,39275897,71403556,130386000,130468000,117804000,119488000,144163000,147274000,155279000,173646000,166042000,198591000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,26000000,17100000,17700000,15500000,13900000,13452679,11464924,11147204,11446122,13930633,16938267,40156120,63123777,48468123,51585586,56450786,94617941,162725000,154287000,140944000,142770000,177248000,173485000,182272000,211335000,212616000,293665000
48,Accounts Payable,- -,- -,400000,100000,100000,- -,- -,18106,21468,13426,33465,371144,130580,153330,274411,239059,136485,181604,1613819,2532000,2661000,4102000,3703000,4910000,5182000,5917000,5216000,4191000,8411000
49,Short-Term Debt,- -,- -,11000000,700000,700000,- -,- -,- -,3000000,2381260,2381260,2381260,- -,2809311,259124,225224,1450087,- -,4950000,2500000,736000,2027000,6665000,2107000,1421000,1497000,4255000,4200000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2273777,384333,2409612,7000,- -,1961000,1871000,3205000,3365000,3642000,3812000,3255000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,1372000,- -
52,Other Current Liabilities,- -,- -,600000,900000,500000,1100000,300000,209855,219349,172654,258336,155961,690380,4038685,1364293,1021817,3286003,1364002,10621656,10300000,8480000,11695000,7098000,11845000,11961000,14197000,15612000,14488000,- -
53,Total Current Liabilities,- -,- -,12000000,1700000,1300000,1100000,300000,227961,3240817,2567340,2673061,2908365,820960,7001326,1897828,1486100,4872575,1545606,17185475,15332000,11877000,17824000,17466000,18862000,18564000,21611000,25183000,24251000,8411000
54,Long-Term Debt,- -,- -,4500000,6300000,6200000,3000000,3800000,3150000,600000,- -,- -,- -,2619773,- -,22948792,6204239,- -,- -,21987422,66250000,57500000,59294000,62000000,94246000,93566000,94194000,102923000,106832000,301619000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5398000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,124807,- -,359023,1594424,1756085,2110333,- -,10000,113000,99000,1276000,1226000,1757000,2232000,712000,620000,1055000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,100000,-100000,- -,- -,2381260,2381260,- -,272137,- -,17231,- -,- -,- -,- -,- -,6983000,6230000,5505000,6435000,7550000,4490000,26421000,18838000,- -
58,Total Non-Current Liabilities,- -,- -,4500000,6300000,6200000,3200000,3700000,3150000,600000,2381260,2381260,- -,3016717,- -,23325046,7798663,1756085,2110333,21987422,66260000,64596000,65623000,68781000,101907000,102873000,100916000,130056000,131688000,302674000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7719000,6920000,6170000,5737000,5282000,4821000,23690000,21986000,- -
61,Total Liabilities,- -,- -,16500000,8000000,7500000,4300000,4000000,3377961,3840817,2567340,2673061,2908365,3837677,7001326,25222874,9284763,6628660,3655939,39172897,81592000,76473000,83447000,86247000,120769000,121437000,122527000,155239000,155939000,311085000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,70,70,70,70,70,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,1034,1034,1034,1034,1034,1034,1841,1934,1935,1936,1936,2003,2000,2000,2000,2000,2000,2000,3000,3000,3000,4000
64,Retained Earnings,- -,- -,-7000000,-7700000,-6700000,-6000000,-7500000,-7356275,-9806886,-8851129,-8657932,-8338141,-6429031,-8831440,-7890849,-6272559,-1504320,6164927,8507926,38078000,34116000,13271000,11954000,6860000,1832000,-2539000,-6761000,-6614000,5092000
65,Other Comprehensive Income/Loss,- -,- -,-1700000,- -,- -,- -,-100000,-84389,-84389,-124475,-135477,- -,- -,-2245981,-1145329,-4985766,-5940540,-6888958,-11080559,-16284000,-23096000,-29842000,-36223000,-43673000,-52050000,-60254000,-68071000,- -,- -
66,Other Total Stockholders Equity,- -,- -,18200000,16800000,16900000,17200000,17500000,17514348,17514348,17554364,17565366,17429889,17429889,42195263,42702372,45839682,46951855,47934416,52874282,59337000,66792000,74066000,80790000,93290000,102264000,122535000,130925000,63288000,- -
67,Total Stockholders Equity,- -,- -,9500000,9100000,10200000,11200000,9900000,10074718,7624107,8579864,8773061,9092852,11001962,31119753,33668128,34583292,39508931,47212321,50303652,81133000,77814000,57497000,56523000,56479000,52048000,59745000,56096000,56677000,-17420000
68,Total Liabilities And Stockholders Equity,- -,- -,26000000,17100000,17700000,15500000,13900000,13452679,11464924,11147204,11446122,12001217,14839639,38121079,58891002,43868055,46137591,50868260,89476549,162725000,154287000,140944000,142770000,177248000,173485000,182272000,211335000,212616000,293665000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1929416,2098628,2035041,4232775,4600068,5447995,5582526,5141392,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,26000000,17100000,17700000,15500000,13900000,13452679,11464924,11147204,11446122,13930633,16938267,40156120,63123777,48468123,51585586,56450786,94617941,162725000,154287000,140944000,142770000,177248000,173485000,182272000,211335000,212616000,293665000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/891482/0000950170-97-000330-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891482/000110465902001174/0001104659-02-001174-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000110465903005295/0001104659-03-005295-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000110465904008885/0001104659-04-008885-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000119312505074183/0001193125-05-074183-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000119312506080604/0001193125-06-080604-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000119312507071829/0001193125-07-071829-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000136231008001730/0001362310-08-001730-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000136231009004477/0001362310-09-004477-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000095012310027760/0000950123-10-027760-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000095012311022778/0000950123-11-022778-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000119312512101745/0001193125-12-101745-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000118811213000562/0001188112-13-000562-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000157104914000726/0001571049-14-000726-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000157104915002337/0001571049-15-002337-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000089148216000028/0000891482-16-000028-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000089148217000007/0000891482-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000089148218000010/0000891482-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000089148219000006/0000891482-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000089148220000011/0000891482-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000089148221000020/0000891482-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/891482/000155837022003680/0001558370-22-003680-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,100000,-1400000,-5600000,-800000,1000000,700000,-1500000,155089,-2450611,955757,193197,319791,839338,639675,940591,1618290,4768239,7669247,2342999,27834000,-3962000,-20845000,-1317000,-5094000,-5028000,-4371000,-5822000,147000,11706000
74,Depreciation and Amortization,400000,500000,1200000,500000,600000,800000,700000,586483,572369,216550,176559,102256,76960,75080,1270273,1213635,1070752,1049051,4204570,6884000,9389000,9183000,7893000,7928000,8602000,8397000,8331000,7666000,- -
75,Deferred Income Tax,- -,- -,-1900000,- -,- -,100000,-500000,319183,-1081049,- -,86148,166872,189064,-283861,171133,941803,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-92000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,799056,309293,17460,748332,1259000,643000,528000,343000,409000,525000,632000,348000,405000,- -
77,Change in Working Capital,-100000,- -,300000,700000,2000000,-2700000,- -,19986,-2389514,959866,614963,274883,2792936,12734240,-1424923,-8525106,6052559,4219393,-9600373,10978090,-5065000,-6626000,500000,8407000,-6576000,-2265000,7124000,9817000,64340000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-277983,-1204252,-1390788,-701643,2840000,788000,296000,193000,-445000,149000,-275000,-171000,-2698000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-403000,- -,- -,1660000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-567000,-2359000,1754000,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,300000,1000000,3000000,300000,300000,319986,-2069528,-1109662,-494699,-219816,2573120,15307360,13882437,5357331,11409890,15629283,6028910,17007000,11942000,5316000,5816000,14223000,7647000,5382000,12506000,22323000,86663000
82,Other Non-Cash Items,- -,900000,4800000,-900000,-1500000,3500000,- -,498101,7311081,-360303,-622868,-92741,-1529863,-13278790,3155420,6229207,-545937,5111519,29311526,-51256090,11274000,25321000,90000,-3730000,9620000,7431000,488000,-8952000,-76046000
83,Cash Provided by Operating Activities,400000,- -,-1200000,-500000,2100000,2400000,-1300000,1578842,1962276,1771870,447999,771061,2368435,-113656,4112494,2276885,11654906,18066670,27007054,-4301000,12279000,7561000,7509000,7920000,7143000,9824000,10469000,8991000,- -
84,CAPEX,-200000,-3700000,-400000,- -,- -,-4000000,- -,-2564,- -,-16496,- -,- -,-463155,-139033,-732728,-2642109,-404679,-360481,-3251085,-4279000,-6495000,-9567000,-11354000,-31865000,-11070000,-17051000,-8088000,-2638000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6961020,- -,-5122245,-19438739,49658000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9253467,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-300000,-800000,-10700000,9600000,-500000,4100000,-100000,-959935,-200000,-240000,330378,-247126,-1096375,-2436632,-9697426,-2178843,21423,4986100,-52502,-115000,29000,643000,-3448000,3355000,-141000,-379000,-582000,19000,- -
89,Cash Used for Investing Activites,-500000,-4500000,-11100000,9600000,-500000,100000,-100000,-962499,-2000000,-256496,330378,-247126,-1559530,-2575665,-10430154,13486255,-383256,-496626,-22725225,45271000,-6466000,-8924000,-14802000,-28510000,-11211000,-17430000,-8670000,-2619000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18660575,-7616863,-3415734,-6600000,-28187000,-11250000,-799000,-2250000,-2433000,-2704000,-98623000,-1619000,-1588000,- -
91,Common Stock Issued,6700000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21531533,- -,- -,- -,- -,- -,- -,- -,- -,- -,4641000,- -,11435000,- -,- -,- -
92,Common Stock Repurchased,- -,-1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1502182,-151893,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3042084,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-400000,-1700000,12500000,-8400000,-300000,-3900000,800000,-600000,450000,-1218740,- -,- -,- -,- -,-4781878,1728512,390750,-10058213,3731139,-6887000,-230000,2865000,8478000,30846000,-356000,95518000,9037000,3063000,- -
95,Cash Used/Provided by Financing Activities,6300000,-1700000,12500000,-8400000,-300000,-3900000,800000,-600000,450000,-1218740,- -,- -,- -,21531533,-7823962,-18434245,-7378006,-13473947,-2868861,-35074000,-11480000,2066000,6228000,33054000,-3060000,8330000,7418000,1475000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,6300000,- -,- -,700000,- -,- -,-700000,16343,412276,296634,778377,523935,808905,18842212,-14141622,-2671105,3893644,4096097,1412968,5896000,-5667000,703000,-1065000,12464000,-7128000,724000,9217000,7847000,- -
98,Cash at the End of Period,- -,- -,- -,1100000,- -,- -,400000,455143,867419,1164053,1942430,2466365,3275270,22117482,7975860,5304755,9198399,13294496,14707464,20603000,14936000,15639000,14574000,27038000,19910000,20634000,29851000,37698000,- -
99,Cash at the Beginning of Period,400000,6600000,400000,400000,1000000,2400000,1100000,438800,455143,867419,1164053,1942430,2466365,3275270,22117482,7975860,5304755,9198399,13294496,14707000,20603000,14936000,15639000,14574000,27038000,19910000,20634000,29851000,37698000
100,Free Cash Flow,200000,-3700000,-1600000,-500000,2100000,-1600000,-1300000,1576278,1962276,1755374,447999,771061,1905280,-252689,3379766,-365224,11250227,17706189,23755969,-8580000,5784000,-2006000,-3845000,-23945000,-3927000,-7227000,2381000,6353000,- -
