,https://roic.ai/company/ABIO,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,-36765000,- -,- -,- -,- -,- -,- -,- -,-11419000,-8420000,-5364000,-4320000,-6939000,-9689000,-11445000,-16444000,-18551000,-7964000,-5649000,-9747000,-19322000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-1.4951,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-293000,- -,- -,- -,- -,- -,- -,- -,-2281000,- -,- -,- -,- -,- -,- -,- -,-61000,-31000,-167000,-9000,- -
23,Net Income,-4800000,-6500000,-16400000,-18500000,-22253000,-36472000,-44978000,-50187000,-52489000,-71611000,-130553000,-12301000,-29923000,-9138000,-8420000,-5364000,-4320000,-6939000,-9689000,-11445000,-16463000,-18473000,-7931000,-5482000,-9738000,-19322000
24,Net Income ratio,-12.0000,-1.0484,-1.7083,-2.8906,-1.4261,-1.4832,-1.7016,-21.9157,-269.1744,-131.3963,-33.5784,-0.2625,-1.9620,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-41277.23,-23214.29,-57543.86,-64236.11,-73685.43,-85816.47,-88365.42,-35834.08,-25703.77,-26157.36,-38404.45,-3477.57,-8444.44,-1073.51,-748.43,-400.68,-244.44,-131.04,-59.22,-32.76,-32.58,-31.86,-10.26,-4.15,-2.07,-1.39
26,EPS Diluted,-41277.23,-23214.29,-57543.86,-64236.11,-73685.43,-85816.47,-88365.42,-35834.08,-25703.77,-26157.36,-38404.45,-3477.57,-8444.44,-1073.51,-748.43,-400.68,-244.44,-131.04,-59.22,-32.76,-32.58,-31.86,-10.26,-4.15,-2.07,-1.39
27,Weighted Average Shares Outstanding,280,280,285,288,302,425,509,1392,2041,2730,3402,3527,3543,9381,11251,13278,17647,68488,162709,349408,503750,579526,769398,1321234,4710237,13903871
28,Weighted Average Shares Outstanding Diluted,280,280,285,288,302,425,509,1392,2041,2730,3402,3527,3543,9381,11251,13278,17647,68488,162709,349408,503750,579526,769398,1321234,4710237,13903871
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/907654/000089161802001598/f79510e10-k.htm,https://www.sec.gov/Archives/edgar/data/907654/000089161803001536/f88137e10vk.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312504040668/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312505052738/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312506054722/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312507044087/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312508053074/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312509064819/0001193125-09-064819-index.html,https://www.sec.gov/Archives/edgar/data/907654/000119312510048017/0001193125-10-048017-index.html,https://www.sec.gov/Archives/edgar/data/907654/000119312511059626/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312512134451/0001193125-12-134451-index.html,https://www.sec.gov/Archives/edgar/data/907654/000119312513119763/0001193125-13-119763-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459014000934/abio-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/907654/000156459015001840/abio-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/907654/000156459016014989/0001564590-16-014989-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459017004897/0001564590-17-004897-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459018006566/0001564590-18-006566-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459019004882/0001564590-19-004882-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459020005032/0001564590-20-005032-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459021014148/0001564590-21-014148-index.htm,https://www.sec.gov/Archives/edgar/data/907654/000156459022010075/0001564590-22-010075-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6700000,23200000,21600000,13700000,2699000,12329000,2225000,13141000,16811000,37764000,60335000,32061000,35891000,7763000,7025000,5943000,2920000,16756000,15354000,38802000,7401000,8702000,6608000,8363000,49071000,53359000
32,Short-Term Investments,- -,- -,- -,17000000,- -,- -,- -,21048000,33814000,32572000,92791000,65506000,15081000,- -,- -,- -,- -,- -,- -,- -,13762000,3050000,- -,- -,- -,- -
33,Cash and Short-Term Investments,6700000,23200000,21600000,30700000,2699000,12329000,2225000,34189000,50625000,70336000,153126000,97567000,50972000,7763000,7025000,5943000,2920000,16756000,15354000,38802000,21163000,11752000,6608000,8363000,49071000,53359000
34,Net Receivables,100000,2200000,700000,1300000,22000,1090000,632000,341000,271000,72000,8559000,588000,441000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,12637000,12261000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,400000,34800000,25900000,1000000,2906000,2882000,3025000,5327000,2462000,3096000,4650000,1831000,715000,522000,137000,269000,125000,169000,134000,114000,282000,547000,169000,117000,897000,1062000
37,Total Current Assets,7200000,60200000,48200000,33000000,5627000,16301000,5882000,39857000,65995000,85765000,166335000,99986000,52128000,8285000,7162000,6212000,3045000,16925000,15488000,38916000,21445000,12299000,6777000,8480000,49968000,54421000
38,PP&E,1600000,3900000,6900000,8400000,12465000,18988000,15142000,9955000,6048000,15165000,11978000,8906000,6833000,1026000,690000,66000,23000,29000,36000,28000,66000,42000,24000,32000,449000,485000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4671000,4671000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,600000,700000,700000,1800000,1090000,3009000,2142000,7496000,7030000,7116000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,600000,700000,700000,1800000,1090000,3009000,2142000,7496000,7030000,7116000,4671000,4671000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2352000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2200000,2100000,2200000,2106000,1606000,3906000,501000,191000,- -,1421000,7120000,7084000,61000,304000,224000,144000,130000,608000,630000,766000,24000,24000,24000,12000,18000
45,Total Non-Current Assets,2200000,6800000,9700000,12400000,15661000,23603000,21190000,17952000,13269000,22281000,18070000,20697000,13917000,1087000,994000,290000,167000,159000,644000,658000,3184000,66000,48000,56000,461000,503000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9400000,67000000,57900000,45400000,21288000,39904000,27072000,57809000,79264000,108046000,184405000,120683000,66045000,9372000,8156000,6502000,3212000,17084000,16132000,39574000,24629000,12365000,6825000,8536000,50429000,54924000
48,Accounts Payable,600000,1600000,1900000,1500000,1979000,3210000,2235000,1712000,3107000,4919000,7026000,2760000,1262000,533000,388000,260000,65000,597000,795000,364000,1205000,622000,230000,418000,1773000,1117000
49,Short-Term Debt,300000,300000,1400000,2100000,2379000,2506000,1216000,4741000,4409000,8299000,3659000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,3702000,525000,- -,- -,1813000,3640000,250000,1709000,114000,121000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,300000,1500000,2600000,7300000,3846000,8600000,22634000,7632000,15097000,29884000,29514000,15177000,8375000,997000,681000,494000,240000,905000,593000,1140000,1191000,1448000,563000,508000,1726000,2381000
53,Total Current Liabilities,1200000,3400000,5900000,10900000,8204000,18018000,26610000,14085000,22613000,44915000,43839000,18187000,11346000,1644000,1190000,754000,305000,1502000,1388000,1504000,2396000,2070000,793000,926000,3499000,3498000
54,Long-Term Debt,800000,600000,4500000,5200000,4722000,6228000,5026000,14392000,10949000,3784000,125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,409000,383000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4951000,316000,195000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,-100000,100000,- -,125000,- -,6631000,113000,2583000,70598000,34837000,7240000,- -,- -,16000,- -,1000,3000,- -,39000,20000,- -,- -,- -,- -
58,Total Non-Current Liabilities,800000,700000,4400000,5300000,4722000,6353000,5026000,21023000,11062000,6367000,70723000,34837000,12191000,316000,195000,16000,- -,1000,3000,- -,39000,20000,- -,- -,409000,383000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,1079000,113000,13000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,409000,- -
61,Total Liabilities,2000000,4100000,10300000,16200000,12926000,24371000,31636000,35108000,33675000,51282000,114562000,53024000,23537000,1960000,1385000,770000,305000,1503000,1391000,1504000,2435000,2090000,793000,926000,3908000,3881000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,82500000,14000,19000,23000,26000,32000,44000,53000,53000,3000,8000,9000,12000,3000,16000,21000,9000,9000,12000,14000,2000,10000,14000
64,Retained Earnings,-8200000,-14800000,-31100000,-49700000,-71922000,-108394000,-153372000,-203559000,-256048000,-327659000,-458212000,-470513000,-500436000,-49890000,-58310000,-63674000,-67994000,-74933000,-84622000,-96067000,-112511000,-131001000,-138934000,-144416000,-154154000,-173476000
65,Other Comprehensive Income/Loss,-500000,-1300000,-3000000,-5800000,-8894000,-14952000,-6000,-45000,-206000,-250000,10000,49000,11000,-641000,-976000,-467000,-510000,-485000,-382000,-387000,-19000,-2000,- -,-367000,- -,- -
66,Other Total Stockholders Equity,16100000,79000000,81700000,2200000,89164000,138860000,148791000,226279000,301811000,384629000,527992000,538070000,542930000,57935000,66048000,69861000,71408000,90983000,99724000,134515000,134715000,141266000,144952000,152391000,200665000,224505000
67,Total Stockholders Equity,7400000,62900000,47600000,29200000,8362000,15533000,-4564000,22701000,45589000,56764000,69843000,67659000,42508000,7412000,6771000,5732000,2907000,15581000,14741000,38070000,22194000,10275000,6032000,7610000,46521000,51043000
68,Total Liabilities And Stockholders Equity,9400000,67000000,57900000,45400000,21288000,39904000,27072000,57809000,79264000,108046000,184405000,120683000,66045000,9372000,8156000,6502000,3212000,17084000,16132000,39574000,24629000,12365000,6825000,8536000,50429000,54924000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9400000,67000000,57900000,45400000,21288000,39904000,27072000,57809000,79264000,108046000,184405000,120683000,66045000,9372000,8156000,6502000,3212000,17084000,16132000,39574000,24629000,12365000,6825000,8536000,50429000,54924000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/907654/000089161802001598/f79510e10-k.htm,https://www.sec.gov/Archives/edgar/data/907654/000089161803001536/f88137e10vk.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312504040668/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312505052738/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312506054722/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312507044087/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312508053074/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312509064819/0001193125-09-064819-index.html,https://www.sec.gov/Archives/edgar/data/907654/000119312510048017/0001193125-10-048017-index.html,https://www.sec.gov/Archives/edgar/data/907654/000119312511059626/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312512134451/0001193125-12-134451-index.html,https://www.sec.gov/Archives/edgar/data/907654/000119312513119763/0001193125-13-119763-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459014000934/abio-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/907654/000156459015001840/abio-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/907654/000156459016014989/0001564590-16-014989-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459017004897/0001564590-17-004897-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459018006566/0001564590-18-006566-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459019004882/0001564590-19-004882-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459020005032/0001564590-20-005032-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459021014148/0001564590-21-014148-index.htm,https://www.sec.gov/Archives/edgar/data/907654/000156459022010075/0001564590-22-010075-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4800000,-6500000,-16400000,-18500000,-22253000,-36472000,-44978000,-50187000,-52489000,-71611000,-130553000,-12301000,-29923000,-9138000,-8420000,-5364000,-4320000,-6939000,-9689000,-11445000,-16463000,-18473000,-7931000,-5482000,-9738000,-19322000
74,Depreciation and Amortization,400000,1200000,2000000,3000000,3124000,5104000,6262000,5529000,4117000,2668000,3182000,2343000,2285000,457000,338000,602000,43000,26000,12000,19000,320000,356000,22000,89000,93000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4609000,845000,458000,308000,306000,283000,647000,599000,576000,458000,273000,151000,43000,- -
77,Change in Working Capital,100000,50800000,-14500000,-20200000,-24677000,860000,-19011000,46500000,17610000,-2532000,81646000,-40697000,-41017000,-34141000,-669000,-514000,-2718000,12683000,-1323000,23312000,-18363000,-8820000,-4245000,1570000,38915000,4454000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-8611000,-1624000,12448000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1045000,-2460000,-145000,-128000,-195000,532000,198000,-431000,841000,-583000,-392000,188000,1101000,- -
81,Other Working Capital,6000000,56800000,42300000,22100000,-2577000,-1717000,-20728000,25772000,43382000,40850000,122496000,81799000,40782000,6641000,5972000,5458000,2740000,15423000,14100000,37412000,19049000,10229000,5984000,7554000,46469000,50923000
82,Other Non-Cash Items,- -,-53600000,17200000,22700000,22819000,8970000,26408000,-46908000,-19350000,12440000,8665000,4697000,17538000,251000,-31000,-1991000,2611000,-11341000,947000,-23019000,18943000,9007000,3637000,-1129000,-37038000,14868000
83,Cash Provided by Operating Activities,-4300000,-8100000,-11700000,-13000000,-20987000,-21538000,-31319000,-45066000,-50112000,-59035000,-37060000,-45958000,-46508000,-41726000,-8324000,-6959000,-4078000,-5288000,-9406000,-10534000,-14987000,-17472000,-8244000,-4801000,-7725000,- -
84,CAPEX,-900000,-3100000,-4600000,-4400000,-8269000,-12582000,-2063000,-320000,-664000,-2570000,-2442000,-381000,-222000,-185000,-4000,-19000,- -,-32000,-19000,-11000,-12000,-3000,-4000,-4000,-19000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30392000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-38900000,-44500000,-16400000,-57101000,- -,- -,-20227000,-63823000,-62766000,-114586000,-116606000,-44609000,- -,- -,- -,- -,- -,- -,- -,-20504000,-5471000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,5000000,53600000,24300000,74095000,- -,- -,22480000,50866000,64161000,54424000,143936000,94996000,15106000,263000,- -,- -,- -,- -,- -,4102000,18400000,3050000,- -,- -,- -
88,Other Investing Activites,- -,-100000,- -,- -,9000,-542000,473000,26460000,45000,- -,540000,-5864000,18000,322000,6000,2025000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-900000,-37100000,4500000,3500000,8734000,-13124000,-1590000,28393000,-13576000,-1175000,-62064000,21085000,50183000,45635000,265000,2006000,- -,-32000,-19000,-11000,-16414000,12926000,3046000,-4000,-19000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46000,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,10200000,61500000,500000,200000,1487000,22159000,14796000,28010000,71789000,84347000,130037000,426000,201000,114000,7659000,4726000,1528000,1741000,9038000,37000000,- -,6551000,3532000,7281000,50894000,- -
92,Common Stock Repurchased,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1000000,100000,5100000,1500000,-210000,22133000,8009000,-421000,-4431000,-3184000,-8342000,-3827000,- -,- -,-338000,-855000,-473000,17415000,-1015000,-3007000,- -,-704000,-428000,-721000,-2442000,- -
95,Cash Used/Provided by Financing Activities,11200000,61600000,5600000,1600000,1277000,44292000,22805000,27589000,67358000,81163000,121695000,-3401000,155000,-3886000,7321000,3871000,1055000,19156000,8023000,33993000,- -,5847000,3104000,6560000,48452000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-7900000,-10976000,9630000,-10104000,10916000,3670000,20953000,22571000,-28274000,3830000,23000,-738000,-1082000,-3023000,13836000,-1402000,23448000,-31401000,1301000,-2094000,1755000,40708000,- -
98,Cash at the End of Period,- -,- -,- -,13700000,2699000,12329000,2225000,13141000,16811000,37764000,60335000,32061000,35891000,7763000,7025000,5943000,2920000,16756000,15354000,38802000,7401000,8702000,6608000,8363000,49071000,- -
99,Cash at the Beginning of Period,800000,6700000,23200000,21600000,13675000,2699000,12329000,2225000,13141000,16811000,37764000,60335000,32061000,7740000,7763000,7025000,5943000,2920000,16756000,15354000,38802000,7401000,8702000,6608000,8363000,49071000
100,Free Cash Flow,-5200000,-11200000,-16300000,-17400000,-29256000,-34120000,-33382000,-45386000,-50776000,-61605000,-39502000,-46339000,-46730000,-41911000,-8328000,-6978000,-4078000,-5320000,-9425000,-10545000,-14999000,-17475000,-8248000,-4805000,-7744000,- -
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/907654/000089161802001598/f79510e10-k.htm,https://www.sec.gov/Archives/edgar/data/907654/000089161803001536/f88137e10vk.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312504040668/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312505052738/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312506054722/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312507044087/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312508053074/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312509064819/0001193125-09-064819-index.html,https://www.sec.gov/Archives/edgar/data/907654/000119312510048017/0001193125-10-048017-index.html,https://www.sec.gov/Archives/edgar/data/907654/000119312511059626/d10k.htm,https://www.sec.gov/Archives/edgar/data/907654/000119312512134451/0001193125-12-134451-index.html,https://www.sec.gov/Archives/edgar/data/907654/000119312513119763/0001193125-13-119763-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459014000934/abio-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/907654/000156459015001840/abio-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/907654/000156459016014989/0001564590-16-014989-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459017004897/0001564590-17-004897-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459018006566/0001564590-18-006566-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459019004882/0001564590-19-004882-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459020005032/0001564590-20-005032-index.html,https://www.sec.gov/Archives/edgar/data/907654/000156459021014148/0001564590-21-014148-index.htm,https://www.sec.gov/Archives/edgar/data/907654/000156459022010075/0001564590-22-010075-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
