,https://roic.ai/company/CTSH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,17700000,26100000,40466000,51310000,61187000,94185000,149243000,228299000,377401000,548020000,726818000,810730000,1075968000,1446066000,1706735000,1899810000,2236685000,2833800000,3090000000,3177000000,3486000000,3479000000,3652000000,4077000000
11,COGS and Expenses,49600000,72300000,110903000,142158000,183888000,293909000,469053000,708214000,1165324000,1754055000,2299634000,2660173000,3730537000,4984688000,5984976000,7165279000,8377803000,10274000000,11198000000,12329000000,13324000000,14113000000,14323000000,15681000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15895000,25793000,39249000,44514000,48896000,62444000,83700000,115000000,133000000,177000000,176000000,119000000,30000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2468000,17700000,19000000,23000000,27000000,26000000,24000000,9000000
14,Depreciation and Amortization,2200000,3000000,4507000,6367000,7842000,11936000,16447000,21400000,34163000,53918000,74797000,89371000,110172000,124175000,156588000,179930000,208067000,330000000,379000000,443000000,498000000,526000000,559000000,574000000
15,EBITDA,11800000,20900000,32754000,41766000,52933000,84167000,138542000,206672000,311974000,468274000,590007000,726322000,988752000,1293324000,1544184000,1867847000,2134566000,2511300000,2756000000,3123000000,3324000000,3037000000,2679000000,3413000000
16,EBITDA ratio,0.2014,0.2351,0.2390,0.2349,0.2311,0.2286,0.2361,0.2333,0.2190,0.2193,0.2095,0.2215,0.2153,0.2113,0.2102,0.2112,0.2080,0.2023,0.2043,0.2109,0.2061,0.1810,0.1609,0.1844
17,Operating Income,9000000,16600000,26128000,35620000,45198000,72312000,117620000,177616000,258943000,381522000,516670000,618490000,861852000,1136468000,1361496000,1677910000,1884878000,2142000000,2289000000,2481000000,2801000000,2453000000,2114000000,2826000000
18,Operating Income ratio,0.1536,0.1867,0.1907,0.2004,0.1973,0.1964,0.2005,0.2005,0.1818,0.1787,0.1835,0.1886,0.1877,0.1857,0.1853,0.1897,0.1837,0.1725,0.1697,0.1675,0.1737,0.1462,0.1270,0.1527
19,Total Other Income Expenses (Gains),600000,1300000,2119000,-221000,-107000,-81000,4475000,7656000,18868000,32834000,-1460000,18461000,16728000,32681000,26100000,10007000,39153000,21600000,68000000,174000000,-4000000,90000000,-18000000,1000000
20,Income Before Tax,9600000,17900000,28247000,35399000,45091000,72231000,122095000,185272000,277811000,414356000,515210000,636951000,878580000,1169149000,1387596000,1687917000,1924031000,2163600000,2357000000,2655000000,2797000000,2543000000,2096000000,2827000000
21,Income Before Tax Ratio,0.1638,0.2013,0.2061,0.1991,0.1968,0.1962,0.2081,0.2092,0.1951,0.1940,0.1829,0.1943,0.1913,0.1910,0.1889,0.1909,0.1875,0.1743,0.1748,0.1793,0.1735,0.1515,0.1259,0.1528
22,Income Tax expense (Gain),3600000,6700000,10564000,13239000,10529000,14866000,21852000,19006000,45016000,64223000,84365000,101988000,145040000,285531000,336333000,459339000,484764000,540000000,805000000,1153000000,698000000,643000000,704000000,693000000
23,Net Income,6000000,11200000,17683000,22160000,34562000,57365000,100243000,166266000,232795000,350133000,430845000,534963000,733540000,883618000,1051263000,1228578000,1439267000,1623600000,1553000000,1504000000,2101000000,1842000000,1392000000,2137000000
24,Net Income ratio,0.1024,0.1260,0.1290,0.1246,0.1509,0.1558,0.1709,0.1877,0.1634,0.1640,0.1530,0.1632,0.1597,0.1444,0.1431,0.1389,0.1402,0.1308,0.1151,0.1016,0.1303,0.1098,0.0836,0.1155
25,EPS,0.02,0.03,0.04,0.05,0.07,0.12,0.19,0.30,0.41,0.61,0.74,0.91,1.22,1.46,1.75,2.04,2.37,2.67,2.56,2.54,3.61,3.30,2.58,3.96
26,EPS Diluted,0.02,0.02,0.04,0.05,0.07,0.10,0.17,0.28,0.39,0.57,0.72,0.89,1.19,1.43,1.72,2.02,2.35,2.65,2.55,2.53,3.60,3.29,2.57,3.96
27,Weighted Average Shares Outstanding,381264000,440208000,445560000,456408000,473928000,500040000,523960000,545976000,563432000,576310000,580242000,586608000,601562000,606554000,602582000,604014000,608126000,609100000,607000000,593000000,582000000,559000000,540000000,525000000
28,Weighted Average Shares Outstanding Diluted,396912000,465984000,486144000,488904000,509544000,543256000,570224000,587580000,602248000,607186000,597880000,602230000,618274000,620702000,611722000,609662000,612489000,613300000,610000000,595000000,584000000,560000000,541000000,526000000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1058290/000101535799000036/0001015357-99-000036-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000101535700000035/0001015357-00-000035-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000090310001000038/0000903100-01-000038-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000090310002000082/0000903100-02-000082-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000090310003000057/0000903100-03-000057-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000090310004000126/0000903100-04-000126-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000095012305003226/0000950123-05-003226-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000119312506054940/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058290/000119312507034095/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058290/000119312508042031/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058290/000119312509042103/0001193125-09-042103-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000119312510040500/0001193125-10-040500-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000119312511043696/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058290/000119312512081638/0001193125-12-081638-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000119312513077271/0001193125-13-077271-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000119312514067531/d675333d10k.htm,https://www.sec.gov/Archives/edgar/data/1058290/000105829015000006/ctsh20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/1058290/000105829016000049/0001058290-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000105829017000008/0001058290-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000105829018000009/0001058290-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000105829019000009/0001058290-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000105829020000008/0001058290-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000105829021000031/0001058290-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1058290/000105829022000023/0001058290-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,28400000,42600000,61976000,84977000,126211000,194221000,293446000,196938000,265937000,339845000,735066000,1100930000,1540969000,1310906000,1570077000,2213006000,2010149000,2125200000,2034000000,1925000000,1161000000,2645000000,2680000000,1792000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,21315000,227063000,382222000,330580000,27513000,298402000,685419000,1121358000,1293681000,1534467000,1764577000,2824300000,3135000000,3131000000,3350000000,779000000,44000000,927000000
33,Cash and Short-Term Investments,28400000,42600000,61976000,84977000,126211000,194221000,314761000,424001000,648159000,670425000,762579000,1399332000,2226388000,2432264000,2863758000,3747473000,3774726000,4949500000,5169000000,5056000000,4511000000,3424000000,2724000000,2719000000
34,Net Receivables,12200000,11100000,22489000,27966000,41005000,61796000,110517000,176696000,298475000,436456000,579639000,709240000,1014268000,1318670000,1528746000,1875272000,2293264000,2621600000,2905000000,3222000000,3257000000,3256000000,3087000000,3557000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1800000,3000000,3758000,4392000,8618000,22480000,28719000,62726000,93757000,135298000,125901000,198996000,277578000,334572000,421790000,525137000,682307000,337500000,526000000,833000000,909000000,931000000,1040000000,1066000000
37,Total Current Assets,42400000,56700000,88223000,117335000,175834000,278497000,453997000,663423000,1040391000,1242179000,1468119000,2307568000,3518234000,4085506000,4814294000,6147882000,6750297000,7908600000,8600000000,9111000000,8677000000,7611000000,6851000000,7342000000
38,PP&E,6300000,9500000,15937000,24339000,39090000,58438000,90705000,146982000,220154000,356047000,455254000,481516000,570448000,758034000,971486000,1081164000,1247205000,1271400000,1311000000,1324000000,1394000000,2235000000,2264000000,2104000000
39,Goodwill,- -,- -,- -,- -,878000,- -,- -,- -,27190000,148789000,154035000,192372000,223963000,288772000,309185000,444236000,2413564000,2404700000,2554000000,2704000000,3481000000,3979000000,5031000000,5620000000
40,Intangible Assets,1800000,1500000,1195000,878000,12870000,20913000,21827000,34500000,20463000,45565000,47790000,75757000,85136000,97616000,87475000,131274000,953749000,864300000,951000000,981000000,1150000000,1041000000,1046000000,1218000000
41,Intangible Assets,1800000,1500000,1195000,878000,13748000,20913000,21827000,34500000,47653000,194354000,201825000,268129000,309099000,386388000,396660000,575510000,3367313000,3269000000,3505000000,3685000000,4631000000,5020000000,6077000000,6838000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162000000,151131000,- -,- -,- -,- -,- -,- -,62000000,235000000,80000000,17000000,440000000,463000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,17247000,1024000,11949000,- -,80618000,109808000,164192000,178824000,221345000,144438000,347800000,425000000,418000000,442000000,585000000,445000000,404000000
44,Other Non-Current Assets,1200000,1300000,4185000,2431000,2801000,2741000,6216000,7741000,16759000,33777000,87362000,49278000,75485000,113813000,160307000,183013000,209663000,268600000,359000000,448000000,689000000,736000000,846000000,701000000
45,Total Non-Current Assets,9300000,12300000,21317000,27648000,55639000,82092000,118748000,206470000,285590000,596127000,906441000,1030672000,1064840000,1422427000,1707277000,2061032000,4968619000,5156800000,5662000000,6110000000,7236000000,8593000000,10072000000,10510000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,51700000,69000000,109540000,144983000,231473000,360589000,572745000,869893000,1325981000,1838306000,2374560000,3338240000,4583074000,5507933000,6521571000,8208914000,11718916000,13065400000,14262000000,15221000000,15913000000,16204000000,16923000000,17852000000
48,Accounts Payable,1700000,1400000,2857000,3652000,6948000,9423000,11190000,16420000,27839000,36176000,39970000,54640000,75373000,72205000,108707000,113394000,145687000,165300000,175000000,210000000,215000000,239000000,389000000,361000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700002000,406300000,81000000,175000000,9000000,240000000,249000000,233000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27676000,29570000,24312000,23846000,17100000,10000000,48000000,162000000,152000000,34000000,74000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,15044000,19867000,19401000,29020000,38123000,51605000,84590000,105713000,149696000,182893000,224114000,323700000,306000000,383000000,286000000,313000000,383000000,403000000
52,Other Current Liabilities,11300000,11800000,23865000,18046000,34539000,53213000,88826000,119461000,202263000,275488000,309484000,540363000,770763000,1031787000,1118927000,1478221000,1522291000,1818400000,1856000000,2071000000,2267000000,2191000000,2519000000,2532000000
53,Total Current Liabilities,13000000,13200000,26722000,21698000,41487000,62636000,115060000,155748000,249503000,340684000,387577000,646608000,930726000,1209705000,1377330000,1774508000,2592094000,2713700000,2418000000,2839000000,2777000000,2983000000,3540000000,3529000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,937500000,881200000,797000000,698000000,736000000,700000000,1509000000,1409000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80956000,49300000,151000000,104000000,62000000,23000000,36000000,40000000
56,Deferred Tax Liabilities,- -,10400000,16702000,24493000,24505000,23883000,4156000,- -,- -,15145000,7294000,- -,4946000,3339000,2777000,21170000,251724000,3300000,6000000,146000000,183000000,35000000,206000000,218000000
57,Other Non-Current Liabilities,6100000,-100000,- -,- -,- -,- -,- -,- -,2979000,14267000,14111000,38455000,62971000,342003000,287081000,277445000,116424000,139800000,162000000,765000000,731000000,1441000000,796000000,665000000
58,Total Non-Current Liabilities,6100000,10300000,16702000,24493000,24505000,23883000,4156000,- -,2979000,29412000,21405000,38455000,67917000,345342000,289858000,298615000,1386604000,1073600000,1116000000,1713000000,1712000000,2199000000,2547000000,2332000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,947000000,1057000000,978000000
61,Total Liabilities,19100000,23500000,43424000,46191000,65992000,86519000,119216000,155748000,252482000,370096000,408982000,685063000,998643000,1555047000,1667188000,2073123000,3978698000,3787300000,3534000000,4552000000,4489000000,5182000000,6087000000,5861000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,100000,186000,193000,204000,643000,1342000,1393000,1425000,2880000,2917000,2972000,3039000,3031000,3017000,3039000,6094000,6100000,6000000,6000000,6000000,5000000,5000000,5000000
64,Retained Earnings,8000000,19200000,36886000,59046000,93608000,150973000,251216000,417482000,650277000,999560000,1430405000,1965368000,2698908000,3582526000,4633789000,5862367000,7301634000,8925200000,10478000000,10544000000,11485000000,11022000000,10689000000,11922000000
65,Other Comprehensive Income/Loss,-4100000,-6800000,-10997000,-16805000,-185000,4000000,9649000,2121000,11778000,15203000,-9479000,20000000,35598000,-325394000,-239683000,-276259000,-123068000,-106200000,-114000000,70000000,-114000000,-38000000,110000000,37000000
66,Other Total Stockholders Equity,28700000,33000000,40041000,56358000,71854000,118454000,191322000,293149000,410019000,450567000,541735000,664837000,846886000,692723000,457260000,546644000,555558000,453000000,358000000,49000000,47000000,33000000,32000000,27000000
67,Total Stockholders Equity,32600000,45500000,66116000,98792000,165481000,274070000,453529000,714145000,1073499000,1468210000,1965578000,2653177000,3584431000,3952886000,4854383000,6135791000,7740218000,9278100000,10728000000,10669000000,11424000000,11022000000,10836000000,11991000000
68,Total Liabilities And Stockholders Equity,51700000,69000000,109540000,144983000,231473000,360589000,572745000,869893000,1325981000,1838306000,2374560000,3338240000,4583074000,5507933000,6521571000,8208914000,11718916000,13065400000,14262000000,15221000000,15913000000,16204000000,16923000000,17852000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,51700000,69000000,109540000,144983000,231473000,360589000,572745000,869893000,1325981000,1838306000,2374560000,3338240000,4583074000,5507933000,6521571000,8208914000,11718916000,13065400000,14262000000,15221000000,15913000000,16204000000,16923000000,17852000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1058290/000101535799000036/0001015357-99-000036-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000101535700000035/0001015357-00-000035-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000090310001000038/0000903100-01-000038-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000090310002000082/0000903100-02-000082-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000090310003000057/0000903100-03-000057-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000090310004000126/0000903100-04-000126-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000095012305003226/0000950123-05-003226-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000119312506054940/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058290/000119312507034095/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058290/000119312508042031/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058290/000119312509042103/0001193125-09-042103-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000119312510040500/0001193125-10-040500-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000119312511043696/d10k.htm,https://www.sec.gov/Archives/edgar/data/1058290/000119312512081638/0001193125-12-081638-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000119312513077271/0001193125-13-077271-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000119312514067531/d675333d10k.htm,https://www.sec.gov/Archives/edgar/data/1058290/000105829015000006/ctsh20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/1058290/000105829016000049/0001058290-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000105829017000008/0001058290-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000105829018000009/0001058290-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000105829019000009/0001058290-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000105829020000008/0001058290-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1058290/000105829021000031/0001058290-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1058290/000105829022000023/0001058290-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6000000,11200000,17683000,22160000,34562000,57365000,100243000,166266000,232795000,350133000,430845000,534963000,733540000,883618000,1051263000,1228578000,1439267000,1623600000,1553000000,1504000000,2101000000,1842000000,1392000000,2137000000
74,Depreciation and Amortization,2200000,3000000,4507000,6367000,7842000,11936000,16447000,21400000,34163000,53918000,74797000,89371000,110172000,124175000,156588000,179930000,208067000,330000000,379000000,443000000,498000000,526000000,559000000,574000000
75,Deferred Income Tax,3500000,4300000,6341000,7791000,12000,-622000,-22326000,-47340000,-2282000,25061000,-5028000,-26589000,-51909000,-8599000,-117908000,-88194000,-99580000,-126100000,-91000000,124000000,8000000,-306000000,184000000,27000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13260000,-14935000,90232000,107355000,118800000,134825000,192000000,217000000,221000000,267000000,217000000,232000000,246000000
77,Change in Working Capital,1500000,14100000,18001000,34136000,38710000,81514000,123076000,168738000,283213000,110607000,179047000,580418000,926548000,288293000,561163000,936410000,-215171000,1036697000,987100000,90000000,-372000000,-1272000000,-1317000000,-488000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98451000,-278418000,-284167000,-158603000,-258469000,-259332000,-322400000,-330000000,-249000000,-365000000,37000000,264000000,-407000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6675000,18597000,-8593000,32773000,-12123000,25681000,19400000,6000000,16000000,-4000000,8000000,109000000,-35000000
81,Other Working Capital,29400000,43500000,61501000,95637000,134347000,215861000,338937000,507675000,790888000,901495000,1080542000,1660960000,2587508000,2875801000,3436964000,4373374000,4158203000,5194900000,6182000000,6272000000,5900000000,4628000000,3311000000,19000000
82,Other Non-Cash Items,200000,-14000000,-16312000,-38375000,-24444000,-70331000,-90107000,-149304000,-295013000,-195399000,-249956000,-519098000,-938762000,-502567000,-585878000,-951748000,5602000,-902897000,-1424100000,25000000,90000000,1492000000,2249000000,-1000000
83,Cash Provided by Operating Activities,13400000,18600000,30220000,32079000,56682000,79862000,127333000,159760000,252876000,344320000,429705000,672325000,764654000,875152000,1172583000,1423776000,1473010000,2153300000,1621000000,2407000000,2592000000,2499000000,3299000000,2495000000
84,CAPEX,-3700000,-5900000,-10652000,-14953000,-22268000,-29991000,-46581000,-71770000,-104734000,-182467000,-169410000,-76639000,-185512000,-288221000,-334465000,-261626000,-212203000,-272800000,-300000000,-284000000,-377000000,-392000000,-398000000,-279000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-7823000,-1495000,-19811000,-14773000,-146820000,-20956000,-68613000,-33863000,-82800000,-59894000,-193805000,-2691437000,-1700000,-334000000,-216000000,-1111000000,-617000000,-1123000000,-970000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-43351000,-625792000,-488161000,-968669000,-135200000,-348209000,-934185000,-1338664000,-1428508000,-1848744000,-2497299000,-3003700000,-5169000000,-4726000000,-3506000000,-1509000000,-733000000,-2293000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,23033000,512827000,335330000,1020617000,270560000,98697000,706670000,859404000,1252821000,1573412000,2240245000,1907600000,4840000000,4644000000,3367000000,4106000000,1016000000,1378000000
88,Other Investing Activites,- -,- -,-1955000,- -,-13196000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-3700000,-5900000,-12607000,-14953000,-35464000,-37814000,-68394000,-204546000,-272338000,-277339000,-55006000,-394764000,-446890000,-850281000,-570046000,-730763000,-3160694000,-1370600000,-963000000,-582000000,-1627000000,1588000000,-1238000000,-2164000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14184000,-53400000,-57000000,-95000000,-91000000,-28000000,-1790000000,-53000000
91,Common Stock Issued,23300000,1600000,1755000,5991000,20043000,24740000,36768000,47451000,51400000,67103000,54876000,61651000,107084000,79551000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27835000,-16259000,-59000000,-374147000,-520845000,-179004000,-248317000,-460000000,-512000000,-1889000000,-1261000000,-2247000000,-1621000000,-771000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-265000000,-468000000,-453000000,-480000000,-509000000
94,Other Financing Activites,-6400000,- -,8000,-8000,- -,-2963000,- -,- -,31495000,-63095000,16993000,31556000,71919000,39141000,177857000,148137000,1765911000,-134700000,-150000000,264000000,127000000,159000000,1882000000,130000000
95,Cash Used/Provided by Financing Activities,16100000,1600000,1763000,5983000,20043000,21777000,36768000,47451000,82895000,4008000,44034000,76948000,120003000,-255455000,-342988000,-30867000,1503410000,-648100000,-719000000,-1985000000,-1693000000,-2569000000,-2009000000,-1203000000
96,Effect of Forex Changes on Cash,- -,- -,-41000,-108000,-27000,4185000,3518000,-5023000,5566000,2919000,-23512000,11355000,2272000,521000,-378000,-19217000,-18583000,-19500000,-30000000,51000000,-36000000,-34000000,-17000000,-16000000
97,Net Change In Cash,- -,14200000,19335000,23001000,41234000,68010000,99225000,-2358000,68999000,73908000,395221000,365864000,440039000,-230063000,259171000,642929000,-202857000,115100000,-91000000,-109000000,-764000000,1484000000,35000000,-888000000
98,Cash at the End of Period,- -,42600000,61976000,84977000,126211000,194221000,293446000,196938000,265937000,339845000,735066000,1100930000,1540969000,1310906000,1570077000,2213006000,2010149000,2125200000,2034000000,1925000000,1161000000,2645000000,2680000000,1792000000
99,Cash at the Beginning of Period,2700000,28400000,42641000,61976000,84977000,126211000,194221000,199296000,196938000,265937000,339845000,735066000,1100930000,1540969000,1310906000,1570077000,2213006000,2010100000,2125000000,2034000000,1925000000,1161000000,2645000000,2680000000
100,Free Cash Flow,9700000,12700000,19568000,17126000,34414000,49871000,80752000,87990000,148142000,161853000,260295000,595686000,579142000,586931000,838118000,1162150000,1260807000,1880500000,1321000000,2123000000,2215000000,2107000000,2901000000,2216000000
