,https://roic.ai/company/CBRE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1138118/000091205702011967/0000912057-02-011967-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000104746903010098/0001047469-03-010098-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312504053937/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312505051169/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312506055100/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312507044383/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312508043674/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312509042445/0001193125-09-042445-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312510044595/0001193125-10-044595-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312511051618/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312512089257/0001193125-12-089257-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312513087299/0001193125-13-087299-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312514080228/d641129d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312515073030/d837146d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312516484680/0001193125-16-484680-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312517064772/0001193125-17-064772-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000156459018003991/0001564590-18-003991-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000156459019005666/0001564590-19-005666-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000156459020008056/0001564590-20-008056-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000113811821000012/0001138118-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1138118/000113811822000010/0001138118-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,57450000,79701000,163881000,256896000,449289000,244476000,342874000,158823000,741557000,506574000,1093182000,1089297000,491912000,740884000,540403000,762576000,751774000,777219000,971781000,1896188000,2430951000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,4700000,- -,865000,3018000,154274000,102010000,58442000,63467000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,57450000,79701000,163881000,256896000,449289000,244476000,347574000,158823000,742422000,509592000,1247456000,1191307000,550354000,804351000,540403000,762576000,751774000,777219000,971781000,1896188000,2430951000
34,Net Receivables,263224000,229353000,553206000,532295000,739138000,984801000,1337430000,962413000,1253994000,1425600000,1855432000,2329010000,1868034000,2255232000,4298178000,3927275000,4184951000,5389763000,5881659000,6218071000,6837043000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130499000,19133000,3845000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,40072000,36886000,121895000,74504000,104520000,982736000,675826000,794297000,270309000,325678000,447159000,433734000,442291000,461076000,466642000,432599000,515802000,587228000,681024000,731372000,814371000
37,Total Current Assets,360746000,345940000,838982000,863695000,1292947000,2212013000,2360830000,1915533000,2266725000,2260870000,3550047000,4084550000,2879812000,3524504000,5305223000,5122450000,5452527000,6754210000,7534464000,8845631000,10082365000
38,PP&E,68451000,66634000,113569000,137703000,137655000,180546000,216214000,207976000,339139000,188397000,295488000,379176000,458596000,497926000,529823000,560756000,617739000,721692000,1834172000,1835361000,1862469000
39,Goodwill,609543000,577137000,819558000,- -,- -,2188352000,2174710000,1251823000,1306372000,1323801000,1828407000,1889602000,2290474000,2333821000,3085997000,2981392000,3254740000,3652309000,3753493000,3821609000,4995175000
40,Intangible Assets,38117000,91082000,131731000,935161000,989719000,441073000,404104000,311447000,322904000,332855000,794325000,786793000,841228000,802360000,1450469000,1411039000,1399112000,1441308000,1379546000,1367913000,2409427000
41,Intangible Assets,647660000,668219000,951289000,935161000,989719000,2629425000,2578814000,1563270000,1629276000,1656656000,2622732000,2676395000,3131702000,3136181000,4536466000,4392431000,4653852000,5093617000,5133039000,5189522000,7404602000
42,Investments,- -,50208000,68361000,- -,113000000,256000000,267000000,175000000,693781000,797304000,605135000,263919000,255496000,277792000,217943000,232238000,238001000,216174000,426711000,854866000,1196088000
43,Tax Assets,62903000,36376000,32179000,78471000,86217000,- -,17932000,44483000,3395000,10320000,- -,- -,188533000,- -,135252000,105324000,98746000,51703000,73864000,91529000,157032000
44,Other Non-Current Assets,219593000,157499000,209101000,256606000,196134000,666647000,801783000,820152000,107090000,208021000,145741000,405502000,84275000,210702000,293236000,366388000,422965000,619397000,1194946000,1222234000,1370935000
45,Total Non-Current Assets,998607000,978936000,1374499000,1407941000,1522725000,3732618000,3881743000,2810881000,2772681000,2860698000,3669096000,3724992000,4118602000,4122601000,5712720000,5657137000,6031303000,6702583000,8662732000,9193512000,11991126000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1359353000,1324876000,2213481000,2271636000,2815672000,5944631000,6242573000,4726414000,5039406000,5121568000,7219143000,7809542000,6998414000,7647105000,11017943000,10779587000,11483830000,13456793000,16197196000,18039143000,22073491000
48,Accounts Payable,151100000,181600000,338661000,185877000,254085000,480852000,493804000,395658000,- -,791876000,972824000,584738000,817519000,827530000,1484119000,1446438000,1674287000,1919827000,2436084000,2692939000,2916331000
49,Short-Term Debt,165841000,121776000,281422000,171923000,284065000,272331000,706757000,633099000,638375000,663666000,972161000,1207729000,621359000,571686000,1785225000,1254680000,910790000,1331907000,1152186000,1599334000,1542542000
50,Tax Payable,- -,15451000,- -,- -,- -,- -,- -,- -,- -,18398000,28368000,- -,11111000,- -,82194000,58351000,70634000,68100000,30207000,57892000,246035000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82227000,108671000,162045000,280659000
52,Other Current Liabilities,106924000,103858000,213334000,451288000,599653000,1152830000,1227800000,844088000,990666000,501226000,735663000,1078284000,1166862000,1476418000,1724813000,1824311000,2021568000,2469419000,2739510000,2689665000,3679337000
53,Total Current Liabilities,423865000,407234000,833417000,809088000,1137803000,1906013000,2428361000,1872845000,1629041000,1956768000,2680648000,2870751000,2605740000,2875634000,4994157000,4525429000,4606645000,5803380000,6436451000,7143983000,8418869000
54,Long-Term Debt,522063000,511133000,791420000,600884000,549156000,2232857000,1991857000,1866759000,2372302000,1851901000,2611187000,2645249000,1866890000,1852416000,2645111000,2548126000,1999603000,1767260000,1761245000,2496997000,2654685000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,80603000,- -,- -,73462000,78306000,228896000,191962000,160777000,149233000,100361000,70719000,114017000,107425000,34593000,124485000,405258000
57,Other Non-Current Liabilities,151765000,149553000,249059000,295791000,328204000,465381000,570199000,641087000,180306000,168798000,281249000,419768000,429001000,468424000,519244000,578068000,684017000,768826000,1691795000,1153591000,1235562000
58,Total Non-Current Liabilities,673828000,660686000,1040479000,896675000,877360000,2778841000,2562056000,2507846000,2626070000,2099005000,3121332000,3256979000,2456668000,2470073000,3264716000,3196913000,2797637000,2643511000,3487633000,3775073000,4295505000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1226421000,1325321000,1348985000
61,Total Liabilities,1097693000,1067920000,1873896000,1705763000,2015163000,4684854000,4990417000,4380691000,4255111000,4055773000,5801980000,6127730000,5062408000,5345707000,8258873000,7722342000,7404282000,8446891000,9924084000,10919056000,12714374000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,144000,144000,220000,710000,738000,2275000,2016000,2623000,3218000,3236000,3280000,3301000,3319000,3330000,3342000,3373000,3395000,3369000,3348000,3356000,3329000
64,Retained Earnings,17426000,36153000,1449000,66174000,283515000,602086000,963530000,-48349000,-15008000,185337000,424499000,740054000,1056592000,1541095000,2088227000,2656906000,3348385000,4504684000,5793149000,6530057000,8366631000
65,Other Comprehensive Income/Loss,- -,-18998000,-23780000,-20737000,-40696000,-33126000,-17564000,-125413000,-115077000,-94602000,-158439000,-165044000,-146123000,-324020000,-485675000,-791018000,-552858000,-718269000,-679748000,-529726000,-640659000
66,Other Total Stockholders Equity,244090000,234042000,355040000,513801000,550128000,610406000,40561000,285825000,755989000,814244000,882141000,960900000,981997000,1039425000,1106758000,1145226000,1220508000,1149013000,1115944000,1074639000,- -
67,Total Stockholders Equity,261660000,251341000,332929000,559948000,793685000,1181641000,988543000,114686000,629122000,908215000,1151481000,1539211000,1895785000,2259830000,2712652000,3014487000,4019430000,4938797000,6232693000,7078326000,8528193000
68,Total Liabilities And Stockholders Equity,1359353000,1319261000,2206825000,2265711000,2808848000,5866495000,5978960000,4495377000,4884233000,4963988000,6953461000,7666941000,6958193000,7605537000,10971525000,10736829000,11423712000,13385688000,16156777000,17997382000,21242567000
69,Minority Interest,- -,5615000,6656000,5925000,6824000,78136000,263613000,231037000,155173000,157580000,265682000,142601000,40221000,41568000,46418000,42758000,60118000,71105000,40419000,41761000,830924000
70,Total Liabilities & Equity,1359353000,1324876000,2213481000,2271636000,2815672000,5944631000,6242573000,4726414000,5039406000,5121568000,7219143000,7809542000,6998414000,7647105000,11017943000,10779587000,11483830000,13456793000,16197196000,18039143000,22073491000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1138118/000091205702011967/0000912057-02-011967-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000104746903010098/0001047469-03-010098-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312504053937/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312505051169/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312506055100/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312507044383/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312508043674/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312509042445/0001193125-09-042445-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312510044595/0001193125-10-044595-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312511051618/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312512089257/0001193125-12-089257-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312513087299/0001193125-13-087299-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312514080228/d641129d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312515073030/d837146d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312516484680/0001193125-16-484680-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312517064772/0001193125-17-064772-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000156459018003991/0001564590-18-003991-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000156459019005666/0001564590-19-005666-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000156459020008056/0001564590-20-008056-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000113811821000012/0001138118-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1138118/000113811822000010/0001138118-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,17426000,18727000,-34704000,64725000,217341000,318571000,390505000,-1012066000,33341000,200345000,239162000,315555000,316538000,484503000,547132000,571973000,691479000,1063219000,1282357000,751989000,1836574000
74,Depreciation and Amortization,12198000,24614000,92622000,69544000,52119000,87690000,121652000,114571000,99473000,108962000,116930000,170905000,191270000,265101000,314096000,366927000,406114000,451988000,439224000,501728000,525871000
75,Deferred Income Tax,-1948000,5158000,-12750000,15803000,-5659000,-23055000,5322000,-62163000,5702000,1228000,- -,- -,-11591000,-28469000,-14935000,-9642000,-8989000,-11401000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,37925000,- -,- -,51712000,48429000,59757000,74709000,63484000,93087000,128171000,127738000,60391000,184934000
77,Change in Working Capital,7742000,1825000,66859000,49042000,100537000,150856000,-373531000,110219000,594996000,-333582000,565297000,344400000,-939727000,374798000,-337804000,285955000,248861000,104948000,147183000,603635000,155615000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-76946000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34776000,-105619000,-54658000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306677000,- -,104749000
81,Other Working Capital,-63119000,-61294000,5565000,54607000,155144000,306000000,-67531000,42688000,637684000,304102000,869399000,1213799000,274072000,648870000,311066000,597021000,845882000,950830000,1098013000,1701648000,977996000
82,Other Non-Cash Items,59973000,14558000,-48086000,-16939000,-4682000,-163581000,504262000,719066000,-557792000,639634000,-560170000,-591491000,1140189000,-493910000,68699000,-828382000,-720047000,-605676000,-773122000,-86964000,-338816000
83,Cash Provided by Operating Activities,95391000,64882000,63941000,182175000,359656000,370481000,648210000,-130373000,213645000,616587000,361219000,291081000,745108000,661780000,651897000,450315000,710505000,1131249000,1223380000,1830779000,2364178000
84,CAPEX,-50732000,-14266000,-26961000,-52953000,-102579000,-55298000,-282557000,-184837000,-28200000,-68464000,-147980000,-150232000,-156358000,-171242000,-139464000,-191205000,-178042000,-227803000,-293514000,-266575000,-209851000
85,Acquisitions Net,- -,- -,-263683000,-25142000,-75694000,-1784913000,-184956000,-239926000,-30670000,-70390000,-630685000,-118018000,-553741000,-206234000,-1653977000,-108927000,-211133000,-385375000,-461873000,-174257000,-1336034000
86,Purchases of Investments,-1081000,-1012000,- -,- -,- -,- -,-97830000,- -,-74058000,-54061000,-66936000,- -,-65111000,-89885000,-40287000,-37661000,-34864000,-44762000,-20870000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,3408000,76504000,231678000,- -,69688000,88214000,42572000,35051000,31377000,22106000,20294000,- -,212722000
88,Other Investing Activites,-213637000,-23118000,-21112000,54776000,62764000,-221722000,280922000,5754000,-18042000,-14556000,-14312000,-79653000,84170000,56349000,32733000,104098000,73205000,-152653000,-258575000,-167328000,-157585000
89,Cash Used for Investing Activites,-265450000,-24130000,-284795000,-23319000,-115509000,-2061933000,-284421000,-419009000,-119362000,-62503000,-480255000,-197671000,-464994000,-151556000,-1618959000,-7439000,-141415000,-560684000,-721024000,-341585000,-1280897000
90,Debt Repayment,-524045000,-238000000,-225850000,- -,- -,- -,- -,- -,-1302260000,-1906062000,-1318542000,-158757000,-2842239000,-2496853000,-3308262000,-3083296000,-2285432000,-4573353000,-4019687000,-1360027000,-409461000
91,Common Stock Issued,92156000,180000,120980000,144643000,11450000,15572000,11867000,471833000,440173000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-100000,- -,- -,- -,- -,- -,-635000000,- -,- -,- -,- -,- -,-16628000,-16685000,-24523000,-27426000,-29549000,-190420000,-163563000,-93863000,-407467000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-13496000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,645820000,219982000,408534000,-212009000,-58722000,1463551000,345880000,-97874000,1352351000,1121840000,2029867000,58068000,1992586000,2281469000,4122333000,2911079000,1711245000,4257173000,3911301000,828634000,326297000
95,Cash Used/Provided by Financing Activities,213831000,-17838000,303664000,-67366000,-47272000,1479123000,-277253000,373959000,476768000,-784222000,711325000,-100689000,-866281000,-232069000,789548000,-199643000,-603736000,-506600000,-271949000,-625256000,-490631000
96,Effect of Forex Changes on Cash,16000,-663000,1370000,1525000,-4482000,7516000,11862000,-8628000,11683000,-4845000,-5681000,3394000,-11218000,-29183000,-22967000,-21060000,23844000,-24840000,-606000,81564000,-92116000
97,Net Change In Cash,43788000,22251000,84180000,93015000,192393000,-204813000,98398000,-184051000,582734000,-234983000,586608000,-3885000,-597385000,248972000,-200481000,222173000,-10802000,39125000,229801000,945502000,500534000
98,Cash at the End of Period,57450000,79701000,163881000,256896000,449289000,244476000,342874000,158823000,741557000,506574000,1093182000,1089297000,491912000,740884000,540403000,762576000,751774000,863944000,1093745000,2039247000,2539781000
99,Cash at the Beginning of Period,13662000,57450000,79701000,163881000,256896000,449289000,244476000,342874000,158823000,741557000,506574000,1093182000,1089297000,491912000,740884000,540403000,762576000,824819000,863944000,1093745000,2039247000
100,Free Cash Flow,44659000,50616000,36980000,129222000,257077000,315183000,365653000,-315210000,185445000,548123000,213239000,140849000,588750000,490538000,512433000,259110000,532463000,903446000,929866000,1564204000,2154327000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1138118/000091205702011967/0000912057-02-011967-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000104746903010098/0001047469-03-010098-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312504053937/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312505051169/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312506055100/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312507044383/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312508043674/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312509042445/0001193125-09-042445-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312510044595/0001193125-10-044595-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312511051618/d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312512089257/0001193125-12-089257-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312513087299/0001193125-13-087299-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312514080228/d641129d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312515073030/d837146d10k.htm,https://www.sec.gov/Archives/edgar/data/1138118/000119312516484680/0001193125-16-484680-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000119312517064772/0001193125-17-064772-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000156459018003991/0001564590-18-003991-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000156459019005666/0001564590-19-005666-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000156459020008056/0001564590-20-008056-index.html,https://www.sec.gov/Archives/edgar/data/1138118/000113811821000012/0001138118-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1138118/000113811822000010/0001138118-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
