,https://roic.ai/company/WSTG,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,741000,521000,405000,368000,557000,562000,472000,368000,318000,699000,907000,500000,73000,372000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,562000,472000,368000,318000,699000,907000,500000,116000,68000
14,Depreciation and Amortization,500000,600000,1300000,1800000,2000000,3100000,2566000,804000,394000,313000,191000,246000,270000,361000,355000,297000,317000,325000,302000,274000,226000,253000,296000,477000,482000,858000,1105000,2002000
15,EBITDA,1500000,3100000,4600000,8200000,7800000,3700000,-12425000,-3635000,152000,1360000,2469000,3313000,5817000,6506000,5689000,5092000,7527000,9312000,9391000,10248000,9456000,9479000,9547000,9729000,6506000,10406000,7441000,14434000
16,EBITDA ratio,0.0210,0.0332,0.0360,0.0465,0.0333,0.0152,-0.0574,-0.0406,0.0023,0.0195,0.0238,0.0241,0.0319,0.0362,0.0327,0.0348,0.0364,0.0372,0.0316,0.0341,0.0277,0.0248,0.0228,0.0216,0.0359,0.0498,0.0296,0.0511
17,Operating Income,1300000,2300000,3000000,6200000,5500000,-100000,-5454000,-4757000,-657000,817000,2166000,2767000,4806000,5154000,4590000,4274000,6803000,8618000,8515000,8850000,8297000,8510000,8616000,7813000,4155000,8466000,5303000,12051000
18,Operating Income ratio,0.0182,0.0247,0.0235,0.0352,0.0235,-0.0004,-0.0252,-0.0531,-0.0101,0.0117,0.0209,0.0201,0.0264,0.0287,0.0264,0.0292,0.0329,0.0344,0.0287,0.0295,0.0243,0.0223,0.0206,0.0174,0.0229,0.0406,0.0211,0.0426
19,Total Other Income Expenses (Gains),-300000,200000,300000,200000,300000,700000,-9537000,318000,415000,230000,112000,300000,741000,991000,744000,521000,407000,369000,574000,562000,461000,348000,317000,740000,962000,582000,917000,313000
20,Income Before Tax,1000000,2500000,3300000,6400000,5800000,600000,-14991000,-4439000,-242000,1047000,2278000,3067000,5547000,6145000,5334000,4795000,7210000,8987000,9089000,9412000,8758000,8858000,8933000,8553000,5117000,9048000,6220000,12364000
21,Income Before Tax Ratio,0.0140,0.0268,0.0258,0.0363,0.0247,0.0025,-0.0692,-0.0496,-0.0037,0.0150,0.0220,0.0223,0.0304,0.0342,0.0307,0.0328,0.0349,0.0359,0.0306,0.0313,0.0257,0.0232,0.0214,0.0190,0.0282,0.0433,0.0247,0.0438
22,Income Tax expense (Gain),-100000,-1700000,1000000,2400000,2400000,1300000,2483000,83000,-270000,81000,-4044000,414000,2279000,2442000,2168000,1928000,2789000,3448000,3600000,3019000,2998000,3028000,3032000,3491000,1579000,2261000,1746000,3166000
23,Net Income,1100000,4200000,2300000,4000000,3400000,-700000,-17474000,-4522000,28000,966000,6322000,2653000,3268000,3703000,3166000,2867000,4421000,5539000,5489000,6393000,5760000,5830000,5901000,5062000,3538000,6787000,4474000,9198000
24,Net Income ratio,0.0154,0.0450,0.0180,0.0227,0.0145,-0.0029,-0.0807,-0.0505,0.0004,0.0139,0.0610,0.0193,0.0179,0.0206,0.0182,0.0196,0.0214,0.0221,0.0185,0.0213,0.0169,0.0153,0.0141,0.0113,0.0195,0.0325,0.0178,0.0325
25,EPS,0.35,1.03,0.44,0.84,0.72,-0.14,-3.51,-0.91,0.01,0.26,1.65,0.67,0.78,0.84,0.72,0.65,1.01,1.26,1.23,1.44,1.24,1.26,1.31,1.13,0.78,1.51,1.01,2.15
26,EPS Diluted,0.35,1.03,0.44,0.75,0.66,-0.14,-3.51,-0.91,0.01,0.25,1.51,0.61,0.72,0.80,0.71,0.65,0.98,1.20,1.19,1.41,1.23,1.25,1.31,1.13,0.78,1.51,1.01,2.15
27,Weighted Average Shares Outstanding,3142857,4077670,5197994,4740000,4797000,5100000,4983000,4987000,4459000,3724000,3828000,3976000,4191000,4406000,4414000,4399000,4386000,4412000,4476000,4454000,4661000,4634000,4503000,4299000,4358000,4421000,4288000,4288000
28,Weighted Average Shares Outstanding Diluted,3142857,4077670,5197994,5280000,5249000,5100000,4983000,4987000,4480000,3900000,4180000,4384000,4521000,4656000,4461000,4427000,4500000,4606000,4628000,4526000,4702000,4653000,4514000,4299000,4358000,4421000,4288000,4288000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945983/000089457904000031/ppi10k305457.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/945983/000089457907000124/wt821901.htm,https://www.sec.gov/Archives/edgar/data/945983/000089457908000080/wayside10k031008.htm,https://www.sec.gov/Archives/edgar/data/945983/000119380509000568/0001193805-09-000568-index.html,https://www.sec.gov/Archives/edgar/data/945983/000119380510000544/0001193805-10-000544-index.html,https://www.sec.gov/Archives/edgar/data/945983/000110465911008404/a11-4216_110k.htm,https://www.sec.gov/Archives/edgar/data/945983/000110465912012554/0001104659-12-012554-index.html,https://www.sec.gov/Archives/edgar/data/945983/000110465913011183/0001104659-13-011183-index.html,https://www.sec.gov/Archives/edgar/data/945983/000110465914012049/a14-2750_110k.htm,https://www.sec.gov/Archives/edgar/data/945983/000110465915012475/a14-26223_110k.htm,https://www.sec.gov/Archives/edgar/data/945983/000110465916098838/0001104659-16-098838-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837017000723/0001558370-17-000723-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837018002127/0001558370-18-002127-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837019002250/0001558370-19-002250-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837020002020/0001558370-20-002020-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837021003044/0001558370-21-003044-index.htm,https://www.sec.gov/Archives/edgar/data/945983/000155837022003146/0001558370-22-003146-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,16300000,20600000,21200000,17600000,2091000,11425000,6072000,5878000,4888000,7369000,13832000,14241000,9349000,8560000,10955000,9202000,9835000,19609000,23124000,23823000,13524000,5530000,14883000,14984000,29348000,29272000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,5110000,5033000,6595000,7884000,7032000,9641000,9367000,7571000,4528000,5375000,4411000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,16300000,20600000,21200000,17600000,2091000,11425000,11182000,10911000,11483000,15253000,20864000,23882000,18716000,16131000,15483000,14577000,14246000,19609000,23124000,23823000,13524000,5530000,14883000,14984000,29348000,29272000
34,Net Receivables,- -,- -,26800000,38500000,53000000,46300000,13048000,8449000,6342000,7783000,14173000,21185000,28045000,24824000,16940000,27040000,42486000,47066000,61388000,60796000,60782000,58965000,83317000,76937000,81351000,100987000,93821000,122502000
35,Inventory,- -,- -,4500000,4600000,5300000,5600000,2631000,686000,1151000,1119000,1423000,1956000,1265000,1116000,1058000,967000,1164000,1240000,1717000,1315000,1491000,1954000,2324000,2794000,1473000,2760000,4936000,2022000
36,Other Current Assets,- -,- -,4000000,4200000,4900000,6200000,14505000,2806000,264000,333000,2096000,2471000,2239000,1757000,1488000,1675000,1766000,2326000,1561000,2335000,1178000,1249000,948000,7830000,5160000,2818000,5072000,5532000
37,Total Current Assets,- -,- -,51600000,67900000,84400000,75700000,32275000,23366000,18939000,20146000,29175000,40865000,52413000,51579000,38202000,45813000,60899000,65209000,78912000,84055000,86575000,85991000,100113000,93091000,102867000,121549000,133177000,159328000
38,PP&E,- -,- -,1700000,1900000,2300000,2100000,934000,634000,460000,292000,303000,434000,488000,619000,549000,432000,545000,458000,375000,324000,412000,362000,1937000,1828000,1588000,3007000,4241000,3560000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16816000,17188000
40,Intangible Assets,- -,- -,12800000,14200000,15600000,14500000,255000,- -,- -,- -,- -,- -,16000,11000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10625000,9950000
41,Intangible Assets,- -,- -,12800000,14200000,15600000,14500000,255000,- -,- -,- -,- -,- -,16000,11000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27441000,27138000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2855000,2516000,1453000,1086000,808000,483000,336000,251000,236000,216000,182000,261000,416000,138000,145000,256000,113000,189000
44,Other Non-Current Assets,- -,- -,3100000,2400000,2600000,3500000,391000,57000,69000,51000,581000,453000,2911000,3458000,7926000,6939000,6903000,8943000,11922000,10165000,7812000,7468000,11232000,7668000,3371000,1469000,561000,537000
45,Total Non-Current Assets,- -,- -,17600000,18500000,20500000,20100000,1580000,691000,529000,343000,3739000,3403000,4868000,5174000,9283000,7854000,7784000,9652000,12533000,10705000,8406000,8091000,13585000,9634000,5104000,4732000,32356000,31424000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,69200000,86400000,104900000,95800000,33855000,24057000,19468000,20489000,32914000,44268000,57281000,56753000,47485000,53667000,68683000,74861000,91445000,94760000,94981000,94082000,113698000,102725000,107971000,126281000,165533000,190752000
48,Accounts Payable,- -,- -,35800000,47000000,58100000,50400000,14939000,9649000,6568000,8919000,15994000,25751000,33955000,30597000,21212000,27552000,- -,42417000,55734000,56973000,52328000,52808000,72093000,60131000,62751000,73310000,107045000,125908000
49,Short-Term Debt,- -,- -,1100000,1000000,700000,2600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000,55000,- -,- -,- -,- -,- -,- -,383000,490000,475000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113000,- -
52,Other Current Liabilities,- -,- -,2300000,3800000,7900000,7900000,10000,350000,1204000,375000,425000,519000,1987000,1503000,2184000,1678000,41866000,3379000,3531000,3066000,3086000,2615000,3994000,3882000,3902000,5054000,9534000,8363000
53,Total Current Liabilities,- -,- -,39200000,51800000,66700000,60900000,14949000,9999000,7772000,9294000,16419000,26270000,35942000,32100000,23396000,29230000,41866000,45872000,59320000,60039000,55414000,55423000,76087000,64013000,66653000,78747000,117182000,134746000
54,Long-Term Debt,- -,- -,1100000,2200000,1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1810000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1467000,1780000
57,Other Non-Current Liabilities,- -,- -,100000,200000,200000,100000,- -,- -,- -,- -,- -,- -,41000,161000,205000,78000,138000,55000,- -,- -,- -,- -,- -,- -,745000,2278000,2167000,- -
58,Total Non-Current Liabilities,- -,- -,1200000,2400000,2000000,100000,- -,- -,- -,- -,- -,- -,41000,161000,205000,78000,138000,55000,- -,- -,- -,- -,- -,- -,745000,2278000,3634000,3590000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000,55000,- -,- -,- -,- -,- -,- -,2572000,2657000,2285000
61,Total Liabilities,- -,- -,40400000,54200000,68700000,61000000,14949000,9999000,7772000,9294000,16419000,26270000,35983000,32261000,23601000,29308000,42004000,45927000,59320000,60039000,55414000,55423000,76087000,64013000,67398000,81025000,120816000,138336000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,100000,53000,53000,52000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
64,Retained Earnings,- -,- -,-4200000,-300000,3200000,2500000,-15017000,-19539000,-19511000,-18545000,-12223000,-9570000,-6302000,-2599000,567000,2727000,4267000,6818000,9316000,12695000,15225000,17813000,20515000,22522000,22994000,26715000,28191000,34396000
65,Other Comprehensive Income/Loss,- -,- -,-1600000,-2100000,-2900000,-3300000,-3330000,-1381000,-145000,78000,153000,187000,200000,461000,11000,308000,456000,329000,417000,199000,-558000,-1451000,-1611000,-913000,-1419000,-1130000,-742000,-250000
66,Other Total Stockholders Equity,- -,- -,34600000,34600000,35900000,35500000,37200000,34925000,31300000,29609000,28512000,27328000,27347000,26577000,23253000,21271000,21903000,21734000,22339000,21774000,24847000,22244000,18654000,17050000,18945000,19618000,17215000,- -
67,Total Stockholders Equity,- -,- -,28800000,32200000,36200000,34800000,18906000,14058000,11696000,11195000,16495000,17998000,21298000,24492000,23884000,24359000,26679000,28934000,32125000,34721000,39567000,38659000,37611000,38712000,40573000,45256000,44717000,52416000
68,Total Liabilities And Stockholders Equity,- -,- -,69200000,86400000,104900000,95800000,33855000,24057000,19468000,20489000,32914000,44268000,57281000,56753000,47485000,53667000,68683000,74861000,91445000,94760000,94981000,94082000,113698000,102725000,107971000,126281000,165533000,190752000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,69200000,86400000,104900000,95800000,33855000,24057000,19468000,20489000,32914000,44268000,57281000,56753000,47485000,53667000,68683000,74861000,91445000,94760000,94981000,94082000,113698000,102725000,107971000,126281000,165533000,190752000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945983/000089457904000031/ppi10k305457.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/945983/000089457907000124/wt821901.htm,https://www.sec.gov/Archives/edgar/data/945983/000089457908000080/wayside10k031008.htm,https://www.sec.gov/Archives/edgar/data/945983/000119380509000568/0001193805-09-000568-index.html,https://www.sec.gov/Archives/edgar/data/945983/000119380510000544/0001193805-10-000544-index.html,https://www.sec.gov/Archives/edgar/data/945983/000110465911008404/a11-4216_110k.htm,https://www.sec.gov/Archives/edgar/data/945983/000110465912012554/0001104659-12-012554-index.html,https://www.sec.gov/Archives/edgar/data/945983/000110465913011183/0001104659-13-011183-index.html,https://www.sec.gov/Archives/edgar/data/945983/000110465914012049/a14-2750_110k.htm,https://www.sec.gov/Archives/edgar/data/945983/000110465915012475/a14-26223_110k.htm,https://www.sec.gov/Archives/edgar/data/945983/000110465916098838/0001104659-16-098838-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837017000723/0001558370-17-000723-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837018002127/0001558370-18-002127-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837019002250/0001558370-19-002250-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837020002020/0001558370-20-002020-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837021003044/0001558370-21-003044-index.htm,https://www.sec.gov/Archives/edgar/data/945983/000155837022003146/0001558370-22-003146-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1100000,4200000,2300000,4000000,3400000,-700000,-17474000,-4522000,28000,966000,6322000,2653000,3268000,3703000,3166000,2867000,4421000,5539000,5489000,6393000,5760000,5830000,5901000,5062000,3538000,6787000,4474000,9198000
74,Depreciation and Amortization,500000,600000,1300000,1800000,2000000,3100000,2566000,804000,394000,313000,191000,246000,270000,361000,355000,297000,317000,325000,302000,274000,226000,253000,296000,477000,482000,858000,1105000,2002000
75,Deferred Income Tax,-300000,-2800000,- -,- -,100000,- -,2834000,- -,- -,- -,- -,- -,1214000,1170000,395000,271000,273000,272000,64000,82000,7000,-43000,105000,278000,-7000,-111000,-170000,228000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,735000,893000,1187000,1059000,1071000,1127000,1305000,1213000,1673000,1512000,2769000,759000,1278000,1546000
77,Change in Working Capital,2600000,- -,12400000,3700000,1600000,-2900000,2526000,-3959000,-2200000,-315000,1904000,1839000,1876000,3008000,-4673000,1777000,2450000,304000,255000,4424000,7145000,-593000,-6542000,5052000,7136000,6588000,-26807000,-8233000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2844000,-8972000,-15436000,-6876000,-17463000,1975000,1740000,1085000,-27939000,10710000,1538000,-17134000,26727000,-28577000
79,Inventory,-100000,-1700000,2300000,200000,-700000,-300000,791000,1945000,-465000,32000,-304000,-533000,691000,149000,54000,93000,-197000,-76000,-477000,402000,-176000,-481000,-361000,-461000,1312000,-1284000,-1997000,2914000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,12400000,16100000,17700000,14800000,17326000,13367000,11167000,10852000,12756000,14595000,16471000,19479000,14806000,16583000,19033000,19337000,19592000,24016000,31161000,30568000,24026000,29078000,36214000,42802000,15995000,-222000
82,Other Non-Cash Items,200000,7200000,-14800000,-3300000,-4200000,2000000,11783000,7709000,1986000,-21000,-6492000,713000,-543000,-2991000,-466000,-5106000,-5731000,-3798000,-3806000,-1962000,-8698000,1525000,-1949000,-14402000,-17000,-11632000,58089000,-29000
83,Cash Provided by Operating Activities,4100000,9200000,1200000,6200000,2900000,1500000,2235000,32000,208000,943000,1925000,5451000,6085000,5251000,-488000,999000,2917000,3701000,3375000,10338000,5745000,8185000,-516000,-2021000,13901000,3249000,37969000,4712000
84,CAPEX,-400000,-600000,-600000,-3100000,-2000000,-3300000,-581000,-201000,-191000,-122000,-187000,-367000,-329000,-482000,-308000,-179000,-176000,-234000,-215000,-219000,-311000,-200000,-1040000,-359000,-266000,-106000,-23000,-258000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16782000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-10219000,-5473000,-7084000,-16077000,-17089000,-21189000,-16788000,-10379000,-6206000,-5623000,-7295000,-920000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,4904000,- -,5500000,14800000,17950000,18588000,17080000,12138000,9255000,4760000,8268000,5342000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,600000,-1500000,-11300000,- -,- -,- -,-14407000,9828000,2335000,5550000,- -,- -,10000,- -,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,200000,-2100000,-11900000,-3100000,-2000000,-3300000,-14988000,9627000,-3171000,-45000,-1771000,-1644000,542000,-3083000,-8000,1580000,2873000,-1097000,758000,4203000,-311000,-200000,-1040000,-359000,-266000,-106000,-16805000,-258000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34000,-83000,-76000,-55000,- -,- -,- -,- -,-10000000,- -,-6800000,- -
91,Common Stock Issued,- -,18100000,100000,200000,1000000,600000,35000,7000,- -,175000,359000,510000,1216000,1074000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-400000,- -,-500000,-1100000,-35000,-148000,-2711000,-377000,- -,- -,-53000,-924000,-1449000,-718000,-608000,-1536000,-1120000,-2056000,-772000,-4638000,-5404000,-2954000,-1039000,-86000,-3681000,-544000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1113000,-1600000,-1858000,-2231000,-2684000,-2811000,-2813000,-2881000,-2988000,-2991000,-3014000,-3230000,-3242000,-3199000,-3055000,-3066000,-3066000,-2998000,-2993000
94,Other Financing Activites,-1200000,-1100000,-400000,1000000,-800000,200000,-2628000,- -,- -,- -,- -,- -,901000,522000,201000,-51000,53000,308000,654000,364000,2507000,787000,141000,- -,10000000,- -,6739000,-862000
95,Cash Used/Provided by Financing Activities,-1200000,17000000,-700000,1200000,-300000,-300000,-2628000,-141000,-2711000,-1315000,-1241000,-1348000,-167000,-2012000,-4059000,-3582000,-3470000,-4299000,-3533000,-4761000,-1495000,-7093000,-8462000,-6009000,-4105000,-3152000,-6740000,-4399000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-1400000,-125000,-184000,321000,223000,97000,22000,3000,253000,-337000,214000,75000,-58000,33000,-6000,-424000,-193000,-281000,395000,-177000,110000,-60000,-131000
97,Net Change In Cash,-1200000,17000000,- -,- -,- -,-3600000,-15506000,9334000,-5353000,-194000,-990000,2481000,6463000,409000,-4892000,-789000,2395000,-1753000,633000,9774000,3515000,699000,-10299000,-7994000,9353000,101000,14364000,-76000
98,Cash at the End of Period,- -,- -,- -,- -,- -,17600000,2091000,11425000,6072000,5878000,4888000,7369000,13832000,14241000,9349000,8560000,10955000,9202000,9835000,19609000,23124000,23823000,13524000,5530000,14883000,14984000,29348000,29272000
99,Cash at the Beginning of Period,500000,3500000,27700000,16300000,20600000,21200000,17597000,2091000,11425000,6072000,5878000,4888000,7369000,13832000,14241000,9349000,8560000,10955000,9202000,9835000,19609000,23124000,23823000,13524000,5530000,14883000,14984000,29348000
100,Free Cash Flow,3700000,8600000,600000,3100000,900000,-1800000,1654000,-169000,17000,821000,1738000,5084000,5756000,4769000,-796000,820000,2741000,3467000,3160000,10119000,5434000,7985000,-1556000,-2380000,13635000,3143000,37946000,4454000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945983/000089457904000031/ppi10k305457.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/945983/000089457907000124/wt821901.htm,https://www.sec.gov/Archives/edgar/data/945983/000089457908000080/wayside10k031008.htm,https://www.sec.gov/Archives/edgar/data/945983/000119380509000568/0001193805-09-000568-index.html,https://www.sec.gov/Archives/edgar/data/945983/000119380510000544/0001193805-10-000544-index.html,https://www.sec.gov/Archives/edgar/data/945983/000110465911008404/a11-4216_110k.htm,https://www.sec.gov/Archives/edgar/data/945983/000110465912012554/0001104659-12-012554-index.html,https://www.sec.gov/Archives/edgar/data/945983/000110465913011183/0001104659-13-011183-index.html,https://www.sec.gov/Archives/edgar/data/945983/000110465914012049/a14-2750_110k.htm,https://www.sec.gov/Archives/edgar/data/945983/000110465915012475/a14-26223_110k.htm,https://www.sec.gov/Archives/edgar/data/945983/000110465916098838/0001104659-16-098838-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837017000723/0001558370-17-000723-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837018002127/0001558370-18-002127-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837019002250/0001558370-19-002250-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837020002020/0001558370-20-002020-index.html,https://www.sec.gov/Archives/edgar/data/945983/000155837021003044/0001558370-21-003044-index.htm,https://www.sec.gov/Archives/edgar/data/945983/000155837022003146/0001558370-22-003146-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
