,https://roic.ai/company/UVE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,7100000,7600000,- -,- -,- -,- -,- -,13000000,38000000,99000000,117000000,164000000,178000000,192000000,217000000,201000000,242000000,372000000,522000000,581000000,671000000,876000000,1048539000,- -
11,COGS and Expenses,400000,1200000,1900000,2000000,1600000,400000,7100000,7600000,6472519,8711025,9191057,6761544,8258906,13610375,38426441,98964692,116660531,164479305,177645429,192143000,217380000,200603000,241672000,371521000,522406000,581432000,670943000,875834000,1048539000,1093438000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,348000,346000,248000,102000,652000
14,Depreciation and Amortization,- -,-200000,- -,-300000,-300000,- -,- -,200000,98455,157308,236316,268953,390247,377748,373533,371663,707040,490059,831159,639000,840000,1012000,1194000,2033000,3242000,4058000,4820000,4957000,5107000,6913000
15,EBITDA,-400000,-1100000,-1300000,-1600000,-1800000,-2400000,2100000,1400000,-1389709,-2882042,307367,-12575,130114,6429190,27037633,89921452,66713805,46652883,63108962,34357000,53399000,101568000,128798000,177056000,166125000,174890000,158039000,68722000,29440000,35978000
16,EBITDA ratio,-4.0000,-2.7500,-1.0833,-1.6000,-4.5000,-24.0000,0.2471,0.1728,-0.1519,-0.2144,0.0332,-0.0019,0.0163,0.3270,0.4150,0.4770,0.3652,0.2215,0.2630,0.1521,0.1978,0.3373,0.3488,0.3240,0.2424,0.2326,0.1918,0.0732,0.0274,0.0321
17,Operating Income,- -,- -,- -,- -,- -,- -,2100000,1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,0.2471,0.1481,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,400000,- -,- -,- -,- -,- -,- -,2778971,5727851,4008862,3703388,3694770,- -,- -,- -,- -,- -,- -,5811000,- -,- -,- -,- -,- -,7002000,7163000,7972000,- -,38531000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,2100000,1200000,- -,- -,- -,- -,- -,6051442,26721309,89549789,66006765,46162824,62277803,33718000,52559000,100556000,127604000,175023000,162883000,170484000,152873000,63517000,24231000,28413000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.2471,0.1481,- -,- -,- -,- -,- -,0.3078,0.4102,0.4750,0.3613,0.2192,0.2596,0.1493,0.1947,0.3339,0.3456,0.3202,0.2377,0.2267,0.1856,0.0676,0.0226,0.0253
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-455155,9477240,35547501,25969442,17375526,25294041,13609000,22247000,41579000,54616000,68539000,63473000,63549000,35822000,17003000,5126000,8006000
23,Net Income,-500000,-1000000,-1400000,-1300000,-1500000,-2400000,2100000,1200000,-1488164,-3039350,71051,-281528,-260133,6506597,17186860,54002288,40037323,28787298,36983762,20109000,30312000,58977000,72988000,106484000,99410000,106935000,117051000,46514000,19105000,20407000
24,Net Income ratio,-5.0000,-2.5000,-1.1667,-1.3000,-3.7500,-24.0000,0.2471,0.1481,-0.1627,-0.2261,0.0077,-0.0434,-0.0325,0.3309,0.2638,0.2865,0.2192,0.1367,0.1541,0.0890,0.1123,0.1958,0.1977,0.1948,0.1451,0.1422,0.1421,0.0495,0.0178,0.0182
25,EPS,-0.03,-0.07,-0.09,-0.09,-0.10,-0.16,0.13,0.08,-0.10,-0.21,0.00,-0.01,-0.01,0.20,0.50,1.52,1.07,0.76,0.95,0.51,0.76,1.64,2.17,3.06,2.85,3.07,3.36,1.37,0.60,0.64
26,EPS Diluted,-0.03,-0.07,-0.09,-0.09,-0.10,-0.16,0.13,0.08,-0.10,-0.21,0.00,-0.01,-0.01,0.19,0.44,1.31,0.99,0.71,0.92,0.50,0.75,1.56,2.08,2.97,2.79,2.99,3.27,1.36,0.60,0.64
27,Weighted Average Shares Outstanding,14794584,14794584,14794584,14794584,14794584,14794584,16600000,15900000,14788000,14698000,15600921,23777515,30214169,32807521,34409415,35550503,37418253,37617885,39113302,39184000,39614000,35866000,33569000,34799000,34919000,34841000,34856000,33893000,31884000,31884000
28,Weighted Average Shares Outstanding Diluted,14794584,14794584,14794584,14794584,14794584,14794584,16600000,15900000,14788000,14698000,16173956,23777515,30214169,33945639,39078643,41360020,40274507,40471524,40249677,40442000,40616000,37776000,35150000,35884000,35650000,35809000,35786000,34233000,31972000,31972000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891166/000089843209000397/0000898432-09-000397-index.html,https://www.sec.gov/Archives/edgar/data/891166/000089843210000383/0000898432-10-000383-index.html,https://www.sec.gov/Archives/edgar/data/891166/000095012311031614/g26664e10vk.htm,https://www.sec.gov/Archives/edgar/data/891166/000119312512131878/0001193125-12-131878-index.html,https://www.sec.gov/Archives/edgar/data/891166/000119312513098582/0001193125-13-098582-index.html,https://www.sec.gov/Archives/edgar/data/891166/000119312514080124/d643835d10k.htm,https://www.sec.gov/Archives/edgar/data/891166/000156459015000943/uve-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/891166/000156459016013205/0001564590-16-013205-index.html,https://www.sec.gov/Archives/edgar/data/891166/000156459017002401/0001564590-17-002401-index.html,https://www.sec.gov/Archives/edgar/data/891166/000156459018003039/0001564590-18-003039-index.html,https://www.sec.gov/Archives/edgar/data/891166/000089116619000006/0000891166-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/891166/000089116620000016/0000891166-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/891166/000089116621000018/0000891166-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/891166/000089116622000018/0000891166-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,1800000,500000,100000,- -,- -,12000000,16300000,10400000,10500000,4587920,8011278,22443579,48038736,232890297,214745606,256964637,192924291,147585464,229685000,347392000,117275000,115397000,197014000,105730000,213486000,166428000,182109000,167156000,250508000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65022000,49990000,25021000,5002000,10000000,820438000,855284000,819861000,1040455000
33,Cash and Short-Term Investments,300000,1800000,500000,100000,- -,- -,12000000,16300000,10400000,10500000,4587920,8011278,22443579,48038736,232890297,214745606,256964637,192924291,147585464,229685000,347392000,182297000,165387000,222035000,110732000,223486000,986866000,1037393000,987017000,1290963000
34,Net Receivables,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,1201574,536586,88751894,127411762,234052555,84444362,45489122,51903324,64042324,58297000,169357000,165250000,122080000,84232000,63025000,248377000,489620000,291402000,257876000,267459000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-621941847,-812438315,-4852163548,598928000,756378000,105607000,-71093000,357810000,570167000,437457000,-1250200000,-168217000,-446791000,-646071000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-319488088,-567610700,-4640535760,886910000,1273127000,453154000,216374000,664077000,743924000,909320000,226286000,1160578000,798102000,912351000
38,PP&E,100000,300000,500000,300000,100000,- -,- -,200000,641122,961861,1114156,1416386,2590006,888332,3871976,4267257,864125,1245858,5406766,7116000,8968000,9289000,17254000,27065000,32162000,32866000,34991000,41351000,53572000,53682000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2319000,2319000,2319000,2319000,2319000
40,Intangible Assets,- -,100000,100000,100000,700000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,100000,100000,100000,700000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2319000,2319000,2319000,2319000,2319000
42,Investments,- -,- -,- -,- -,- -,- -,2600000,3300000,- -,- -,229280,149796,- -,- -,- -,- -,5648775,114797010,224532404,99146000,89050000,354440000,423581000,483318000,640166000,711549000,883715000,899001000,904748000,1087789000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,857612100,1129815132,5176826830,-99146000,-445410000,103207000,254565000,-180912000,-356245000,-201055000,711079000,-383397000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,864125000,1245858000,5406766000,7116000,-347392000,466936000,695400000,329471000,316083000,545679000,1632104000,559274000,960639000,1143790000
46,Other Assets,1400000,3900000,2900000,1900000,2400000,- -,26700000,30100000,30065904,29789785,33392425,35235489,114001968,181033434,481610424,490733140,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2719380000,3199931000
47,Total Assets,1400000,3900000,2900000,1900000,2400000,- -,26700000,30100000,30065904,29789785,33392425,35235489,114001968,181033434,481610424,490733140,544636912,678247300,766230240,894026000,925735000,920090000,911774000,993548000,1060007000,1454999000,1858390000,1719852000,1758741000,2056141000
48,Accounts Payable,500000,200000,500000,700000,900000,- -,- -,- -,- -,- -,1335219,1176654,3522511,1943363,2726049,2972147,28405449,76277221,41713777,91811000,89627000,89673000,70187000,73963000,84078000,113247000,96365000,124680000,10312000,188662000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20297061,23030315,25485000,25994000,14947000,5924000,- -,- -,36715000,102843000,90401000,59399000,26759000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14969270,- -,- -,368968,8282030,12740000,699000,2566000,1799000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1600000,- -,- -,- -,- -,- -,- -,431773951,390227853,389694551,443825718,538455908,605004000,626379000,602680000,586137000,602443000,589711000,853652000,1147623000,1002415000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,434500000,393200000,418100000,540400000,603200000,722300000,742000000,707300000,662248000,676406000,673789000,1003614000,1346831000,1217496000,69711000,215421000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,444084,699432,841269,703880,1152087,37381544,25002820,25000000,24632353,23161764,21691000,20221000,37300000,30600000,24050000,15028000,12868000,11397000,9926000,8456000,103676000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,-12281544,-2820,- -,-32353,38236,9000,-21000,-100000,10000,- -,- -,-1471000,-1471000,-1471000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,444084,699432,841269,703880,1152087,25100000,25000000,25000000,24600000,23200000,21700000,20200000,37200000,30610000,24050000,15028000,11397000,9926000,8455000,8456000,103676000
59,Other Liabilities,2000000,1400000,1800000,1200000,1300000,- -,19200000,21300000,23173574,26577314,30404128,32603492,111376256,172234393,- -,- -,- -,- -,46440612,43421000,40421000,- -,- -,- -,- -,- -,- -,- -,1248224000,1514694000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2000000,1400000,1800000,1200000,1300000,- -,19300000,21300000,23173574,26133230,29704696,31762223,110672376,171082306,459562506,418157955,443083257,564972843,626440612,744021000,762221000,744481000,692858000,700456000,688817000,1015011000,1356757000,1225951000,1309479000,1626439000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1387,1387,1387,1387,1387,1387,1387,1087,1077,1000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,100000,100000,148946,148946,167175,215008,265493,286037,380572,393072,401578,402146,404069,411000,419000,436000,19448000,455000,453000,458000,465000,467000,468000,470000
64,Retained Earnings,-600000,-1600000,-3000000,-4300000,-5700000,- -,-7800000,-6700000,-8240119,-11329419,-11308318,-11639794,-11949875,-5488807,5390392,50724674,75654070,84100372,108819040,116158000,127511000,168734000,222469000,306656000,381864000,464748000,553224000,573619000,567512000,563713000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,400000,- -,- -,-74671,-25657,- -,- -,- -,- -,24834,563654,- -,- -,- -,-376000,-1835000,-4006000,-6408000,-6281000,-8010000,20364000,3343000,-15568000
66,Other Total Stockholders Equity,- -,4100000,4100000,5000000,6800000,- -,15100000,15000000,14983503,14837028,14902156,14922322,15012587,15117511,16275567,21456052,25471786,28207198,30565442,33435000,35583000,6815000,-21166000,-10013000,-4719000,-18937000,-44046000,-100549000,-122061000,-118913000
67,Total Stockholders Equity,-600000,2500000,1100000,700000,1100000,- -,7400000,8800000,6892330,3656555,3687729,3473266,3329592,9916128,22047918,72575185,101553655,113274457,139789628,150005000,163514000,175609000,218916000,293092000,371190000,439988000,501633000,493901000,449262000,429702000
68,Total Liabilities And Stockholders Equity,1400000,3900000,2900000,1900000,2400000,- -,26700000,30100000,30065904,29789785,33392425,35235489,114001968,180998434,481610424,490733140,544636912,678247300,766230240,894026000,925735000,920090000,911774000,993548000,1060007000,1454999000,1858390000,1719852000,1758741000,2056141000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1400000,3900000,2900000,1900000,2400000,- -,26700000,30100000,30065904,29789785,33392425,35235489,114001968,181033434,481610424,490733140,544636912,678247300,766230240,894026000,925735000,920090000,911774000,993548000,1060007000,1454999000,1858390000,1719852000,1758741000,2056141000
71,SEC Link,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891166/000089843209000397/0000898432-09-000397-index.html,https://www.sec.gov/Archives/edgar/data/891166/000089843210000383/0000898432-10-000383-index.html,https://www.sec.gov/Archives/edgar/data/891166/000095012311031614/g26664e10vk.htm,https://www.sec.gov/Archives/edgar/data/891166/000119312512131878/0001193125-12-131878-index.html,https://www.sec.gov/Archives/edgar/data/891166/000119312513098582/0001193125-13-098582-index.html,https://www.sec.gov/Archives/edgar/data/891166/000119312514080124/d643835d10k.htm,https://www.sec.gov/Archives/edgar/data/891166/000156459015000943/uve-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/891166/000156459016013205/0001564590-16-013205-index.html,https://www.sec.gov/Archives/edgar/data/891166/000156459017002401/0001564590-17-002401-index.html,https://www.sec.gov/Archives/edgar/data/891166/000156459018003039/0001564590-18-003039-index.html,https://www.sec.gov/Archives/edgar/data/891166/000089116619000006/0000891166-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/891166/000089116620000016/0000891166-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/891166/000089116621000018/0000891166-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/891166/000089116622000018/0000891166-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-500000,-1000000,-1400000,-1300000,-1500000,-2400000,2100000,1200000,-1488164,-3039350,71051,-281528,-260133,6506597,17186860,54002288,40037323,28787298,36983762,20109000,30312000,58977000,72988000,106484000,99410000,106935000,117051000,46514000,19105000,20407000
74,Depreciation and Amortization,- -,-200000,- -,-300000,-300000,- -,- -,200000,98455,157308,236316,268953,390247,377748,373533,371663,707040,490059,831159,639000,840000,1012000,1194000,2033000,3242000,4058000,4820000,4957000,5107000,6913000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-607299,-8064457,-5531200,73898,1605154,-1333361,-9543000,3813000,7363000,1118000,-693000,4724000,1309000,-3740000,1972000,2789000,-4267000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3830000,6417000,12342000,17386000,10288000,10515000,12786000,13008000,8695000,5815000
77,Change in Working Capital,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-434500000,41300000,-344388088,-370422612,-4135725060,5408345760,366517000,-785273000,-191728000,433545000,82464000,-164429000,-1026251000,1063627000,56918000,228649000
78,Accounts Receivable,- -,- -,-100000,100000,- -,100000,- -,- -,-5782222,1756405,-11669044,1661768,-63410597,-39389626,-106132971,-23670722,-4731235,1693785,-7574296,-2855000,22797000,8731000,40484000,39064000,19665000,-185275000,-240021000,220892000,29294000,-23677000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,500000,-200000,300000,200000,200000,100000,400000,- -,59097,1250930,2269305,1915690,79047542,19800275,235658790,-14934621,1449054,49145713,-34563444,12491000,-2183000,46000,-19486000,3776000,10115000,29169000,-16882000,28315000,-112269000,178351000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-434500000,-393200000,-737588088,-1108010700,-5243735760,164610000,531127000,-254146000,-445874000,-12329000,70135000,-94294000,-1120545000,-56918000,- -,- -
82,Other Non-Cash Items,-900000,-400000,400000,1200000,1400000,1900000,6300000,3500000,-3414861,4810493,-8824889,3599161,15758415,20697565,578388273,-89605408,356405215,377325619,4090007952,-5309421760,-263315000,868463000,227432000,-339484000,-78732000,286622000,1125439000,-1045480000,-63266000,-23139000
83,Cash Provided by Operating Activities,-700000,-1600000,-1000000,-400000,-400000,-500000,8400000,4900000,-4804570,1928451,-8517522,3586586,15888529,26974611,153384209,537343,52835388,37785518,-9235548,110129000,141997000,156959000,123346000,219271000,121396000,245010000,230105000,84598000,29348000,234378000
84,CAPEX,-100000,-300000,-300000,-100000,-100000,- -,- -,-300000,-458715,-505767,-280487,- -,-1680001,-1514226,-230936,-259210,-713469,-762075,-1713848,-2395000,-2726000,-1350000,-9267000,-11869000,-8223000,-4618000,-6731000,-11314000,-17216000,-7226000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1890407,-728608,-18160,- -,- -,- -,- -,- -,-5643441,-531727709,-209870694,- -,- -,-383189000,-273426000,-330774000,-386819000,-279906000,-463438000,-222998000,-1190894000,-505830000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,1372576,1035633,- -,133414,194976,- -,- -,- -,- -,446668169,186918656,- -,- -,31848000,205421000,266725000,226191000,206010000,264223000,252946000,1229977000,271610000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-2900000,-200000,- -,-216558,2716992,91469,216134,-302907,14818,-545364,2500,- -,32608,64000,28000,8000,84000,-6134000,-5460000,-7195000,-6340000,9692000,175000,12042000
89,Cash Used for Investing Activites,-100000,-300000,-300000,-100000,-100000,- -,-2900000,-500000,-976546,-415300,2418345,224883,-1268891,-1817133,-216118,-804574,-6354410,-85821615,-24633278,-2331000,-2698000,-352683000,-77188000,-83052000,-174311000,-85709000,-212286000,28326000,22042000,-229404000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-665163,-797412,-591730,-770543,-12378724,-2820,-367647,-1470589,-1471000,-1471000,-1471000,-7471000,-8470000,-2136000,-2170000,-1471000,-1471000,-1470000,-1471000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49251,846000,130530,55000,14000,5000,207000,- -,19073000,511000,3084000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-84254,-17566,- -,- -,- -,- -,- -,-872926,-6418257,- -,- -,- -,- -,-32366000,-29736000,-18905000,-8510000,-18141000,-25276000,-66186000,-28921000,-1609000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-100000,-49949,-198895,-49950,-49948,-49948,-49950,-4555817,-7329717,-18349073,-20340997,-12553326,-12770000,-18956000,-17754000,-19253000,-22297000,-24202000,-24011000,-25518000,-26116000,-24557000,-24201000
94,Other Financing Activites,1000000,3500000,- -,100000,400000,500000,- -,- -,- -,306665,255348,327000,660023,1079359,36960579,1857907,20377673,4649395,2539914,2478000,-1372000,17198000,-10649000,-5441000,-6605000,-7223000,-12612000,-3470000,-1315000,95579000
95,Cash Used/Provided by Financing Activities,1000000,3500000,- -,100000,400000,500000,- -,-100000,-134203,90204,205398,-388111,-187337,437679,31683470,-17877460,-4261947,-16004249,-11470001,-11758000,-21592000,-34393000,-48036000,-54602000,-38369000,-51545000,-64877000,-97243000,-56263000,68298000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1000000,3500000,- -,100000,400000,500000,5500000,4300000,-5915319,1603355,-5893779,3423358,14432301,25595157,184851561,-18144691,42219031,-64040346,-45338827,96040000,117707000,-230117000,-1878000,81617000,-91284000,107756000,-47058000,15681000,-4873000,73272000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,6700000,16300000,10357663,10481699,4587920,8011278,22443579,48038736,232890297,214745606,256964637,192924291,147585464,229685000,347392000,117275000,115397000,197014000,105730000,213486000,169063000,184744000,179871000,253143000
99,Cash at the Beginning of Period,200000,300000,1800000,500000,100000,- -,1200000,12000000,16272982,8878344,10481699,4587920,8011278,22443579,48038736,232890297,214745606,256964637,192924291,133645000,229685000,347392000,117275000,115397000,197014000,105730000,216121000,169063000,184744000,179871000
100,Free Cash Flow,-800000,-1900000,-1300000,-500000,-500000,-500000,8400000,4600000,-5263285,1422684,-8798009,3586586,14208528,25460385,153153273,278133,52121919,37023443,-10949396,107734000,139271000,155609000,114079000,207402000,113173000,240392000,223374000,73284000,12132000,227152000
