,https://roic.ai/company/GTIM,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-1.65,-6.45,-3.15,-0.60,-4.50,-4.65,-2.70,-0.60,0.09,-0.36,-0.12,0.33,-0.30,-0.87,-1.20,0.03,0.03,-0.84,-1.26,-2.25,-0.42,-0.29,-0.27,-0.12,-0.08,-0.11,-0.18,-0.08,-0.41,-1.10,1.32
26,EPS Diluted,-1.65,-6.45,-3.15,-0.60,-4.50,-4.65,-2.70,-0.60,0.09,-0.36,-0.12,0.33,-0.30,-0.87,-1.20,0.03,0.03,-0.84,-1.26,-2.25,-0.42,-0.29,-0.27,-0.12,-0.08,-0.11,-0.18,-0.08,-0.41,-1.10,1.31
27,Weighted Average Shares Outstanding,181818,51282,190476,333333,457532,436599,425078,448384,640453,741956,746555,750387,755028,768999,800519,971024,1279621,1295575,1299518,1299518,2440860,2726214,2967310,6152000,10510000,12269000,12321000,12464000,12523000,12595000,12677000
28,Weighted Average Shares Outstanding Diluted,181818,51282,190476,333333,458333,444444,425078,448384,648888,741956,746555,774588,755028,768999,800519,1018316,1325317,1295575,1299518,1299518,2440860,2726214,2967310,6152000,10510000,12269000,12321000,12464000,12523000,12595000,12828000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/825324/000082532401500036/0000825324-01-500036-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532402000037/0000825324-02-000037-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532403000034/0000825324-03-000034-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532404000013/0000825324-04-000013-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532405000048/0000825324-05-000048-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532406000029/0000825324-06-000029-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532407000024/0000825324-07-000024-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532408000025/0000825324-08-000025-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532409000021/0000825324-09-000021-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532410000029/0000825324-10-000029-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532411000016/0000825324-11-000016-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532412000023/0000825324-12-000023-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532413000043/0000825324-13-000043-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532414000040/0000825324-14-000040-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000121465915008534/0001214659-15-008534-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000121465916015468/0001214659-16-015468-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000121465917007435/0001214659-17-007435-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000121465918007685/0001214659-18-007685-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000121465919007819/0001214659-19-007819-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000121465920010527/0001214659-20-010527-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000121465921013281/0001214659-21-013281-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,800000,500000,400000,800000,1700000,1126000,1201000,971000,1480000,1796000,1763000,2613000,2465000,1414000,815000,429000,847000,616000,6143000,9894000,13809000,6330000,4337000,3477000,2745000,11454000,8856000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,300000,299000,199000,201000,- -,- -,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,800000,500000,400000,800000,2000000,1425000,1400000,1172000,1480000,1796000,3663000,2613000,2465000,1414000,815000,429000,847000,616000,6143000,9894000,13809000,6330000,4337000,3477000,2745000,11454000,8856000
34,Net Receivables,- -,- -,- -,- -,100000,200000,100000,300000,200000,223000,92000,178000,272000,157000,223000,187000,275000,195000,158000,166000,111000,1650000,208000,160000,248000,483000,586000,1749000,822000,- -,644000
35,Inventory,- -,- -,- -,- -,100000,- -,100000,100000,100000,85000,95000,96000,112000,118000,132000,204000,191000,240000,220000,201000,191000,159000,184000,282000,510000,631000,847000,1004000,1128000,1093000,1303000
36,Other Current Assets,- -,- -,- -,- -,200000,100000,300000,- -,100000,38000,23000,- -,- -,- -,37000,43000,39000,79000,32000,38000,47000,1433000,106000,55000,161000,349000,296000,151000,220000,944000,641000
37,Total Current Assets,- -,- -,- -,- -,1200000,800000,900000,1200000,2400000,1771000,1610000,1446000,1864000,2071000,4055000,3047000,2970000,1928000,1225000,834000,1196000,3858000,6641000,10391000,14728000,7793000,6066000,6381000,4915000,13491000,11444000
38,PP&E,- -,- -,- -,- -,7200000,5700000,5800000,4900000,5600000,6436000,7166000,6958000,5093000,4457000,4839000,7202000,7416000,8284000,7288000,4875000,5722000,3082000,2851000,5754000,14222000,19599000,28469000,35245000,35677000,27669000,72964000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000,96000,15066000,15076000,15150000,15150000,15150000,5150000,5150000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4017000,3989000,3961000,3935000,3951000,22000,3904000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000,96000,19083000,19065000,19111000,19085000,19101000,5172000,9054000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273000,502000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,900000,700000,500000,500000,500000,483000,466000,595000,630000,664000,537000,444000,1158000,1708000,1741000,2609000,81000,121000,14000,138000,195000,420000,1507000,239000,212000,- -,219000
45,Total Non-Current Assets,- -,- -,- -,- -,8100000,6400000,6300000,5400000,6100000,6919000,7632000,7553000,5723000,5121000,5376000,7646000,8574000,9992000,9029000,7484000,5803000,3203000,3234000,6490000,33500000,39084000,49087000,54569000,54990000,32841000,82237000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,9300000,7200000,7200000,6600000,8500000,8690000,9242000,8999000,7587000,7192000,9431000,10693000,11544000,11920000,10254000,8318000,6999000,7061000,9875000,16881000,48228000,46877000,55153000,60950000,59905000,46332000,93681000
48,Accounts Payable,- -,- -,- -,- -,600000,400000,500000,400000,600000,579000,643000,203000,209000,300000,363000,267000,387000,628000,355000,716000,496000,493000,701000,1085000,2733000,1918000,3311000,3774000,3774000,2581000,1496000
49,Short-Term Debt,- -,- -,- -,- -,300000,100000,100000,100000,600000,329000,466000,417000,338000,515000,217000,229000,870000,2304000,1027000,702000,195000,1586000,44000,69000,2617000,19000,17000,17000,- -,10931000,4935000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505000,594000,829000,1105000,1394000,1516000,1670000,1397000,1334000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000,66000,85000,47000,48000,162000,119000,- -,113000,89000,101000,75000,79000,88000,25000,23000,41000,92000,79000,69000,436000
52,Other Current Liabilities,- -,- -,- -,- -,1100000,1100000,800000,800000,600000,595000,642000,683000,542000,583000,705000,842000,1062000,1078000,930000,1196000,892000,856000,983000,1308000,1883000,3162000,3547000,4452000,5375000,5055000,6019000
53,Total Current Liabilities,- -,- -,- -,- -,2000000,1600000,1400000,1300000,1800000,1503000,1800000,1369000,1174000,1445000,1333000,1500000,2438000,4010000,2425000,2703000,1684000,3010000,1807000,2550000,7258000,5122000,6916000,8335000,9228000,18636000,12886000
54,Long-Term Debt,- -,- -,- -,- -,400000,700000,1000000,500000,1000000,1803000,2121000,2152000,1230000,747000,522000,1293000,970000,846000,2478000,3005000,2067000,139000,94000,219000,1093000,19000,5339000,7472000,12850000,6242000,49723000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,200000,200000,300000,600000,300000,346000,476000,408000,487000,984000,957000,1023000,1052000,1071000,973000,916000,728000,652000,653000,791000,1620000,5658000,8327000,11160000,10429000,- -,202000
58,Total Non-Current Liabilities,- -,- -,- -,- -,600000,900000,1300000,1100000,1300000,2149000,2597000,2560000,1717000,1731000,1479000,2316000,2022000,1917000,3451000,3921000,2795000,791000,747000,1010000,2713000,5677000,13666000,18632000,23279000,6242000,49925000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53680000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000,11000,- -,- -,- -,- -,58420000,54658000
61,Total Liabilities,- -,- -,- -,- -,2600000,2500000,2700000,2400000,3100000,3652000,4397000,3929000,2891000,3176000,2812000,3816000,4460000,5927000,5876000,6624000,4479000,3801000,2554000,3560000,9971000,10799000,20582000,26967000,32507000,66074000,62811000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,- -,- -,- -,- -,- -,- -,1000,4000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,2000,2000,2000,2000,2000,4000,4000,4000,4000,4000,8000,3000,5000,8000,12000,12000,12000,12000,13000,- -,13000
64,Retained Earnings,- -,- -,- -,- -,-5800000,-7800000,-8900000,-9200000,-9100000,-9387000,-9468000,-9220000,-9452000,-10117000,-11068000,-11112000,-11084000,-12160000,-13805000,-16737000,-17680000,-18457000,-19264000,-20013000,-20804000,-22125000,-24380000,-25414000,-30551000,- -,-27680000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1300000,-1800000,-2500000,-2600000,-3100000,-3854000,-4610000,-5532000,-6112000,-6663000,-7412000,-8386000,-26000,-68000,- -,-12828000,-12533000,-12415000,-12444000,-12488000,-13222000,-15512000,-18636000,-22549000,-29100000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,13800000,14300000,15900000,16000000,17600000,18277000,18921000,19820000,19484000,20124000,24465000,25576000,17439000,17633000,17751000,30981000,32510000,33925000,38778000,45535000,70656000,73703000,77575000,81934000,87036000,13690000,57413000
67,Total Stockholders Equity,- -,- -,- -,- -,6700000,4700000,4500000,4200000,5400000,5038000,4845000,5070000,3922000,3346000,5999000,6082000,6333000,5409000,3950000,1420000,2305000,3057000,7079000,13042000,36642000,36078000,34571000,33983000,27398000,13690000,29746000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,9300000,7200000,7200000,6600000,8500000,8690000,9242000,8999000,6813000,6522000,8811000,9898000,10793000,11336000,9826000,8044000,6784000,6858000,9633000,16602000,46613000,46877000,55153000,60950000,59905000,79764000,92557000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,774000,670000,620000,795000,751000,584000,428000,274000,215000,203000,242000,279000,1615000,- -,- -,- -,- -,-33432000,1124000
70,Total Liabilities & Equity,- -,- -,- -,- -,9300000,7200000,7200000,6600000,8500000,8690000,9242000,8999000,7587000,7192000,9431000,10693000,11544000,11920000,10254000,8318000,6999000,7061000,9875000,16881000,48228000,46877000,55153000,60950000,59905000,46332000,93681000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/825324/000082532401500036/0000825324-01-500036-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532402000037/0000825324-02-000037-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532403000034/0000825324-03-000034-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532404000013/0000825324-04-000013-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532405000048/0000825324-05-000048-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532406000029/0000825324-06-000029-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532407000024/0000825324-07-000024-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532408000025/0000825324-08-000025-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532409000021/0000825324-09-000021-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532410000029/0000825324-10-000029-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532411000016/0000825324-11-000016-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532412000023/0000825324-12-000023-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532413000043/0000825324-13-000043-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000082532414000040/0000825324-14-000040-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000121465915008534/0001214659-15-008534-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000121465916015468/0001214659-16-015468-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000121465917007435/0001214659-17-007435-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000121465918007685/0001214659-18-007685-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000121465919007819/0001214659-19-007819-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000121465920010527/0001214659-20-010527-index.htm,https://www.sec.gov/Archives/edgar/data/825324/000121465921013281/0001214659-21-013281-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-300000,-500000,-600000,-200000,-2100000,-2000000,-1100000,-200000,100000,58000,-81000,248000,-232000,-665000,-418000,17000,29000,-1076000,-1646000,-2932000,-1013000,-777000,-687000,-690000,-791000,-1321000,-2255000,-1034000,-5137000,-12794000,16787000
74,Depreciation and Amortization,100000,400000,400000,500000,700000,800000,700000,700000,700000,665000,921000,1023000,950000,836000,811000,997000,1223000,1283000,1277000,943000,888000,795000,719000,682000,1332000,2336000,3101000,3951000,4590000,8338000,7507000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77000,88000,61000,69000,171000,162000,477000,718000,748000,417000,719000,283000,362000
77,Change in Working Capital,100000,- -,- -,-800000,- -,300000,400000,700000,-332000,-458000,267000,613000,-64000,2096000,-1175000,-1015000,-2614000,882000,-669000,1381000,1336000,3986000,3007000,-371000,-4799000,-3521000,-1104000,-2359000,-832000,3703000,-5315000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000,-11000,- -,-16000,-6000,-14000,-72000,13000,-35000,20000,10000,10000,32000,-25000,-98000,-95000,-121000,-216000,-157000,-124000,35000,-210000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-273000,361000,-220000,-11000,208000,384000,1442000,-89000,777000,194000,317000,-496000,-1389000
81,Other Working Capital,- -,- -,- -,-800000,-800000,-500000,-100000,600000,268000,-190000,77000,690000,626000,2722000,1547000,532000,-2082000,-1200000,-1869000,-488000,848000,4834000,7841000,7470000,2671000,-850000,-1954000,-4313000,-5145000,-1442000,-8000
82,Other Non-Cash Items,-100000,200000,- -,1600000,900000,- -,- -,-800000,732000,969000,241000,-729000,53000,-1796000,1448000,1455000,3125000,-470000,366000,-217000,-1811000,-4095000,-2507000,1655000,6949000,7186000,4493000,5529000,7431000,8839000,-10202000
83,Cash Provided by Operating Activities,-200000,100000,-200000,1100000,-500000,-900000,- -,400000,1200000,1234000,1348000,1155000,707000,471000,666000,1454000,1763000,619000,-595000,-737000,-539000,-22000,703000,1438000,3168000,5398000,4983000,6504000,6771000,8369000,9145000
84,CAPEX,-500000,-700000,-2000000,-6100000,-2800000,-400000,-800000,-200000,-900000,-935000,-1692000,-807000,-182000,-187000,-2770000,-3975000,-3738000,-3282000,-284000,-61000,-189000,-314000,-2506000,-3397000,-7633000,-8501000,-14513000,-10444000,-8079000,-2596000,-3198000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-375000,-375000,-17612000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-1900000,- -,-1000000,-1500000,- -,- -,- -,-300000,-299000,- -,- -,- -,- -,-1900000,- -,- -,- -,-31000,- -,- -,-16000,- -,- -,- -,- -,-54000,- -,-3009000,- -,- -
87,Sales/Maturities of Investments,400000,- -,100000,- -,2500000,- -,- -,- -,- -,- -,101000,- -,201000,- -,- -,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,3200000,2800000,400000,2800000,800000,-100000,700000,300000,331000,38000,-142000,429000,499000,1664000,693000,1681000,495000,31000,115000,1143000,924000,3334000,-77000,1530000,19000,1939000,1410000,29000,-8000,13000
89,Cash Used for Investing Activites,-100000,600000,900000,-6700000,1000000,400000,-900000,500000,-900000,-903000,-1553000,-949000,448000,312000,-3006000,-1382000,-2057000,-2787000,-284000,54000,954000,594000,453000,-3849000,-23715000,-8482000,-12628000,-9034000,-11059000,-2604000,-3185000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-123000,-144000,-1617000,-650000,-1593000,-46000,-139000,-3683000,-26000,-1617000,-2980000,-12650000,-5500000
91,Common Stock Issued,- -,- -,- -,4600000,- -,- -,800000,- -,1300000,1336000,- -,27000,89000,89000,3071000,157000,164000,104000,- -,- -,1727000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1533000
93,Dividends Paid,- -,- -,- -,- -,- -,-200000,-300000,- -,- -,- -,- -,- -,-344000,-223000,-251000,-61000,- -,- -,- -,- -,- -,- -,-90000,-59000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,300000,-400000,-400000,700000,-300000,400000,200000,-600000,-700000,-687000,280000,-463000,-391000,-333000,-513000,712000,-18000,1013000,403000,441000,-107000,-153000,6054000,6267000,24601000,-712000,5678000,3287000,6536000,15594000,-1525000
95,Cash Used/Provided by Financing Activities,300000,-400000,-400000,5300000,-300000,200000,700000,-600000,600000,649000,280000,-436000,-646000,-467000,2307000,778000,146000,1117000,280000,297000,3000,-803000,4371000,6162000,24462000,-4395000,5652000,1670000,3556000,2944000,-8558000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,300000,-400000,-400000,5300000,-300000,200000,700000,-600000,900000,980000,75000,-230000,509000,316000,-33000,850000,-148000,-1051000,-599000,-386000,418000,-231000,5527000,3751000,3915000,-7479000,-1993000,-860000,-732000,8709000,-2598000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,1700000,1748000,1201000,971000,1480000,1796000,1763000,2613000,2465000,1414000,815000,429000,847000,616000,6143000,9894000,13809000,6330000,4337000,3477000,2745000,11454000,8856000
